2#app#app08#app0861/8  0.504 0.983  0.440 1.092  0.376 1.201  0.202 1.201  0.029 1.201  -0.144 1.201  -0.318 1.201  -0.487 1.190  -0.619 1.092  -0.694 0.993  -0.646 0.850  -0.491 0.772  -0.442 0.622  -0.307 0.517  -0.152 0.439  -0.094 0.301  0.061 0.224  0.108 0.072  0.244 -0.031  0.399 -0.110  0.512 -0.238  0.567 -0.403  0.613 -0.569  0.613 -0.742  0.613 -0.915  0.613 -1.088  0.504 -1.217  0.420 -1.306  0.290 -1.411  0.163 -1.523  -0.010 -1.523  -0.183 -1.523  -0.328 -1.454  -0.450 -1.331  -0.476 -1.169  -0.476 -0.995  -0.476 -0.822  -0.475 -0.649  -0.420 -0.484  -0.367 -0.320  -0.318 -0.167  -0.219 -0.027  -0.149 0.130  -0.091 0.279  0.032 0.401  0.077 0.556  0.200 0.678  0.323 0.801  0.427 0.937  0.504 1.092
2#app#app08#app0861/;  0.004 1.695  0.087 1.695  0.084 1.629  0.064 1.548  0.044 1.468  0.024 1.387  0.004 1.307  -0.016 1.226  -0.036 1.146  -0.057 1.065  -0.077 0.985  -0.097 0.905  -0.117 0.824  -0.137 0.744  -0.157 0.663  -0.177 0.583  -0.197 0.502  -0.217 0.422  -0.238 0.342  -0.258 0.261  -0.278 0.181  -0.244 0.143  -0.169 0.122  -0.111 0.063  -0.052 0.005  0.008 -0.051  0.090 -0.051  0.101 -0.124  0.127 -0.201  0.164 -0.275  0.198 -0.350  0.198 -0.433  0.252 -0.493  0.295 -0.558  0.295 -0.641  0.295 -0.724  0.295 -0.807  0.295 -0.890  0.261 -0.959  0.202 -1.017  0.198 -1.098  0.154 -1.163  0.095 -1.222  0.036 -1.280  -0.029 -1.329  -0.103 -1.366  -0.177 -1.404  -0.239 -1.458  -0.301 -1.507  -0.384 -1.507
2#app#app08#app0861/>  -1.589 0.938  -1.502 0.851  -1.414 0.763  -1.296 0.752  -1.173 0.752  -1.050 0.752  -0.926 0.752  -0.808 0.733  -0.698 0.678  -0.587 0.623  -0.477 0.567  -0.354 0.567  -0.237 0.540  -0.127 0.485  -0.017 0.430  0.095 0.381  0.218 0.381  0.341 0.381  0.464 0.381  0.588 0.381  0.711 0.381  0.834 0.381  0.957 0.381  1.080 0.381  1.187 0.374  1.100 0.287  1.013 0.200  1.008 0.079  0.953 0.010  0.830 0.010  0.741 -0.072  0.654 -0.159  0.637 -0.275  0.600 -0.361  0.477 -0.361  0.382 -0.430  0.295 -0.517  0.266 -0.629  0.246 -0.732  0.123 -0.732  0.023 -0.789  -0.064 -0.876  -0.170 -0.917  -0.290 -0.920  -0.290 -1.043  -0.354 -1.103  -0.477 -1.103  -0.600 -1.103  -0.661 -1.165  -0.661 -1.288
2#app#app08#app0861/S  0.736 0.723  0.653 0.805  0.571 0.887  0.488 0.970  0.406 1.052  0.296 1.068  0.180 1.068  0.063 1.068  -0.053 1.068  -0.170 1.068  -0.286 1.068  -0.403 1.068  -0.519 1.068  -0.636 1.068  -0.722 0.995  -0.763 0.896  -0.763 0.779  -0.721 0.680  -0.639 0.598  -0.556 0.515  -0.474 0.433  -0.392 0.351  -0.309 0.268  -0.207 0.214  -0.103 0.162  -0.035 0.073  0.017 -0.031  0.095 -0.110  0.199 -0.162  0.297 -0.223  0.379 -0.305  0.462 -0.387  0.544 -0.470  0.620 -0.555  0.620 -0.671  0.620 -0.788  0.620 -0.904  0.611 -1.017  0.528 -1.099  0.421 -1.122  0.330 -1.182  0.236 -1.238  0.120 -1.238  0.003 -1.238  -0.113 -1.238  -0.230 -1.238  -0.346 -1.238  -0.463 -1.238  -0.566 -1.205  -0.648 -1.122
2#app#app08#app0861/i  -0.770 0.035  -0.658 0.035  -0.546 0.035  -0.435 0.033  -0.356 -0.047  -0.277 -0.126  -0.272 -0.236  -0.272 -0.348  -0.272 -0.459  -0.272 -0.571  -0.272 -0.683  -0.271 -0.795  -0.192 -0.874  -0.113 -0.953  -0.107 -1.062  -0.107 -1.174  -0.107 -1.286  -0.107 -1.398  -0.098 -1.405  -0.081 -1.295  -0.063 -1.184  -0.046 -1.074  -0.029 -0.963  -0.011 -0.853  0.006 -0.742  0.024 -0.631  0.041 -0.521  0.059 -0.410  0.076 -0.300  0.094 -0.189  0.111 -0.079  0.129 0.032  0.146 0.142  0.164 0.253  0.181 0.364  0.198 0.474  0.216 0.585  0.233 0.695  0.251 0.806  0.268 0.916  0.286 1.027  0.303 1.138  0.321 1.248  0.338 1.359  0.356 1.469  0.373 1.580  0.390 1.690  0.391 1.802  0.391 1.914  0.391 2.026
2#app#app08#app0861/m  -1.379 0.340  -1.379 0.174  -1.379 0.008  -1.276 -0.115  -1.159 -0.232  -1.132 -0.389  -1.058 -0.537  -0.959 -0.667  -0.911 -0.813  -0.911 -0.685  -0.911 -0.519  -0.911 -0.353  -0.911 -0.187  -0.911 -0.022  -0.801 0.098  -0.794 0.261  -0.707 0.340  -0.677 0.475  -0.610 0.574  -0.560 0.690  -0.395 0.691  -0.230 0.691  -0.067 0.679  0.081 0.605  0.143 0.477  0.246 0.354  0.325 0.209  0.377 0.056  0.446 -0.081  0.494 -0.227  0.494 -0.393  0.494 -0.558  0.494 -0.724  0.494 -0.773  0.494 -0.608  0.494 -0.442  0.494 -0.276  0.590 -0.150  0.620 0.005  0.694 0.153  0.728 0.310  0.825 0.436  0.982 0.457  1.080 0.389  1.197 0.340  1.314 0.223  1.431 0.105  1.548 -0.012  1.665 -0.129  1.782 -0.246
2#app#app08#app0861/i  -0.387 0.444  -0.387 0.330  -0.387 0.217  -0.387 0.104  -0.387 -0.009  -0.387 -0.122  -0.362 -0.225  -0.282 -0.305  -0.259 -0.408  -0.259 -0.522  -0.259 -0.635  -0.259 -0.748  -0.259 -0.861  -0.259 -0.974  -0.259 -1.087  -0.259 -1.201  -0.259 -1.314  -0.259 -1.427  -0.245 -1.429  -0.218 -1.320  -0.190 -1.210  -0.163 -1.100  -0.135 -0.990  -0.108 -0.880  -0.081 -0.771  -0.053 -0.661  -0.026 -0.551  0.002 -0.441  0.029 -0.331  0.057 -0.222  0.084 -0.112  0.112 -0.002  0.139 0.108  0.166 0.218  0.194 0.327  0.221 0.437  0.249 0.547  0.276 0.657  0.304 0.766  0.331 0.876  0.359 0.986  0.386 1.096  0.413 1.206  0.441 1.315  0.468 1.425  0.496 1.535  0.512 1.646  0.512 1.759  0.512 1.872  0.512 1.986
2#app#app08#app0861/l  -0.146 1.706  -0.146 1.635  -0.146 1.563  -0.146 1.492  -0.146 1.420  -0.146 1.349  -0.146 1.277  -0.146 1.206  -0.146 1.135  -0.146 1.063  -0.146 0.992  -0.146 0.920  -0.146 0.849  -0.146 0.777  -0.146 0.706  -0.146 0.635  -0.146 0.563  -0.132 0.495  -0.100 0.431  -0.068 0.367  -0.036 0.303  -0.004 0.239  0.002 0.169  0.002 0.098  0.002 0.027  0.002 -0.045  0.002 -0.116  0.002 -0.188  0.002 -0.259  0.002 -0.331  0.028 -0.392  0.079 -0.442  0.129 -0.493  0.151 -0.555  0.151 -0.627  0.151 -0.698  0.151 -0.769  0.151 -0.841  0.151 -0.912  0.151 -0.984  0.151 -1.055  0.151 -1.127  0.151 -1.198  0.151 -1.269  0.151 -1.341  0.151 -1.412  0.151 -1.484  0.151 -1.555  0.151 -1.627  0.151 -1.698
2#app#app08#app0861/a  0.454 0.405  0.671 0.405  0.730 0.563  0.730 0.781  0.691 0.959  0.474 0.959  0.454 1.156  0.316 1.235  0.099 1.235  -0.100 1.216  -0.100 0.999  -0.225 0.834  -0.379 0.682  -0.597 0.682  -0.653 0.521  -0.725 0.334  -0.879 0.180  -1.075 0.129  -1.206 0.043  -1.206 -0.174  -1.206 -0.391  -1.206 -0.609  -1.206 -0.826  -1.141 -0.978  -0.924 -0.978  -0.707 -0.978  -0.537 -0.862  -0.384 -0.708  -0.169 -0.701  0.048 -0.701  0.177 -0.613  0.197 -0.404  0.351 -0.250  0.454 -0.075  0.463 0.138  0.616 0.292  0.730 0.462  0.730 0.679  0.730 0.468  0.575 0.405  0.454 0.310  0.454 0.093  0.454 -0.125  0.454 -0.342  0.454 -0.559  0.454 -0.777  0.454 -0.994  0.454 -1.211  0.577 -1.378  0.730 -1.531
2#app#app08#app0861/r  -0.483 1.156  -0.483 1.025  -0.483 0.893  -0.483 0.762  -0.483 0.630  -0.483 0.499  -0.483 0.367  -0.483 0.235  -0.483 0.104  -0.483 -0.028  -0.483 -0.159  -0.483 -0.291  -0.483 -0.423  -0.483 -0.554  -0.483 -0.686  -0.483 -0.817  -0.483 -0.949  -0.483 -1.080  -0.483 -1.212  -0.393 -1.306  -0.300 -1.399  -0.268 -1.346  -0.266 -1.216  -0.134 -1.216  -0.052 -1.167  -0.052 -1.035  -0.052 -0.904  -0.043 -0.776  0.050 -0.683  0.143 -0.590  0.164 -0.467  0.164 -0.335  0.164 -0.204  0.164 -0.072  0.164 0.059  0.244 0.158  0.337 0.251  0.380 0.365  0.380 0.496  0.433 0.615  0.491 0.733  0.550 0.851  0.595 0.972  0.595 1.103  0.674 1.156  0.805 1.156  0.900 1.245  0.993 1.339  1.111 1.372  1.242 1.372
2#app#app08#app0861/?  -0.278 1.037  -0.179 1.042  -0.170 1.136  -0.066 1.136  0.038 1.136  0.141 1.136  0.245 1.136  0.349 1.136  0.441 1.108  0.515 1.037  0.612 1.029  0.624 0.938  0.710 0.921  0.710 0.817  0.692 0.721  0.618 0.648  0.545 0.574  0.471 0.501  0.392 0.443  0.296 0.424  0.223 0.351  0.131 0.302  0.039 0.256  -0.063 0.246  -0.166 0.246  -0.244 0.182  -0.333 0.147  -0.377 0.087  -0.435 0.019  -0.527 -0.027  -0.558 -0.099  -0.524 -0.197  -0.489 -0.294  -0.455 -0.392  -0.420 -0.490  -0.385 -0.588  -0.351 -0.686  -0.316 -0.783  -0.282 -0.881  -0.247 -0.979  -0.213 -1.077  -0.178 -1.175  -0.144 -1.272  -0.109 -1.370  -0.075 -1.468  -0.040 -1.566  -0.006 -1.664  -0.004 -1.710  -0.077 -1.636  -0.081 -1.534
