3#apb#apb05#app0541/B  -0.290 0.982  -0.256 0.830  -0.272 0.574  -0.273 0.318  -0.306 0.065  -0.368 -0.183  -0.416 -0.435  -0.461 -0.688  -0.524 -0.936  -0.563 -1.189  -0.605 -1.129  -0.605 -0.872  -0.605 -0.616  -0.605 -0.359  -0.605 -0.103  -0.605 0.154  -0.605 0.410  -0.605 0.667  -0.605 0.923  -0.520 1.140  -0.294 1.259  -0.055 1.352  0.191 1.422  0.437 1.418  0.665 1.302  0.809 1.108  0.768 0.863  0.623 0.654  0.450 0.465  0.263 0.290  0.066 0.127  -0.157 0.002  -0.314 0.051  -0.105 0.191  0.139 0.267  0.392 0.301  0.647 0.285  0.885 0.194  1.014 -0.021  1.033 -0.276  0.968 -0.521  0.870 -0.757  0.748 -0.983  0.590 -1.184  0.388 -1.339  0.159 -1.455  -0.085 -1.389  -0.292 -1.244  -0.476 -1.066  -0.639 -0.868
3#apb#apb05#app0541/C  0.750 1.016  0.701 0.946  0.658 0.838  0.642 0.724  0.634 0.608  0.618 0.492  0.601 0.377  0.597 0.261  0.634 0.187  0.651 0.302  0.671 0.417  0.682 0.532  0.674 0.647  0.631 0.755  0.573 0.855  0.506 0.951  0.414 1.020  0.313 1.058  0.200 1.027  0.105 0.966  0.019 0.887  -0.066 0.808  -0.147 0.724  -0.226 0.639  -0.306 0.554  -0.373 0.461  -0.425 0.356  -0.477 0.252  -0.530 0.148  -0.572 0.040  -0.614 -0.069  -0.655 -0.178  -0.680 -0.291  -0.696 -0.406  -0.712 -0.522  -0.719 -0.637  -0.713 -0.754  -0.707 -0.870  -0.687 -0.984  -0.653 -1.095  -0.594 -1.191  -0.511 -1.274  -0.421 -1.342  -0.308 -1.370  -0.193 -1.380  -0.077 -1.371  0.034 -1.340  0.144 -1.301  0.253 -1.259  0.361 -1.216
3#apb#apb05#app0541/e  -0.954 -0.299  -0.862 -0.414  -0.773 -0.532  -0.629 -0.550  -0.482 -0.560  -0.335 -0.549  -0.188 -0.537  -0.057 -0.474  0.071 -0.400  0.198 -0.327  0.327 -0.255  0.455 -0.183  0.584 -0.111  0.688 -0.010  0.782 0.104  0.877 0.217  0.962 0.337  1.047 0.458  1.090 0.596  1.119 0.740  1.074 0.879  1.024 1.018  0.929 1.128  0.821 1.224  0.674 1.224  0.533 1.196  0.399 1.135  0.269 1.067  0.148 0.983  0.026 0.899  -0.084 0.803  -0.184 0.695  -0.284 0.586  -0.371 0.470  -0.434 0.336  -0.497 0.203  -0.560 0.070  -0.611 -0.068  -0.663 -0.206  -0.715 -0.344  -0.728 -0.490  -0.738 -0.637  -0.735 -0.784  -0.714 -0.930  -0.693 -1.076  -0.601 -1.188  -0.502 -1.298  -0.379 -1.361  -0.233 -1.382  -0.087 -1.403
3#apb#apb05#app0541/d  0.188 -0.580  0.210 -0.371  0.232 -0.162  0.250 0.045  0.206 0.248  0.076 0.401  -0.121 0.460  -0.328 0.446  -0.520 0.361  -0.693 0.247  -0.851 0.108  -0.992 -0.046  -1.126 -0.208  -1.219 -0.395  -1.302 -0.587  -1.302 -0.797  -1.235 -0.991  -1.097 -1.129  -0.899 -1.199  -0.694 -1.167  -0.489 -1.124  -0.288 -1.064  -0.102 -0.973  0.064 -0.844  0.209 -0.695  0.337 -0.529  0.445 -0.350  0.540 -0.163  0.598 0.039  0.643 0.243  0.660 0.452  0.674 0.661  0.674 0.871  0.674 1.081  0.656 1.290  0.628 1.498  0.545 1.673  0.467 1.498  0.427 1.292  0.396 1.085  0.380 0.876  0.364 0.666  0.350 0.457  0.336 0.247  0.321 0.038  0.305 -0.171  0.296 -0.380  0.313 -0.590  0.349 -0.793  0.448 -0.978
3#apb#apb05#app0541/a  0.734 0.594  0.772 0.785  0.764 0.973  0.699 1.156  0.571 1.298  0.382 1.310  0.204 1.230  0.043 1.126  -0.089 0.983  -0.221 0.840  -0.361 0.704  -0.504 0.572  -0.646 0.439  -0.785 0.302  -0.923 0.164  -1.056 0.023  -1.143 -0.151  -1.231 -0.325  -1.253 -0.515  -1.246 -0.708  -1.167 -0.886  -1.022 -0.990  -0.835 -1.041  -0.645 -1.000  -0.454 -0.959  -0.269 -0.900  -0.084 -0.838  0.086 -0.748  0.242 -0.631  0.380 -0.499  0.473 -0.328  0.536 -0.147  0.552 0.047  0.568 0.241  0.583 0.436  0.588 0.630  0.588 0.825  0.476 0.790  0.382 0.619  0.310 0.438  0.267 0.252  0.267 0.057  0.267 -0.138  0.267 -0.333  0.270 -0.527  0.337 -0.710  0.409 -0.891  0.497 -1.065  0.630 -1.198  0.793 -1.306
3#apb#apb05#app0541/r  -0.481 0.540  -0.532 0.439  -0.555 0.328  -0.577 0.217  -0.585 0.105  -0.585 -0.009  -0.585 -0.122  -0.585 -0.235  -0.585 -0.348  -0.585 -0.461  -0.596 -0.574  -0.612 -0.686  -0.628 -0.798  -0.627 -0.910  -0.606 -1.021  -0.586 -1.132  -0.585 -1.245  -0.581 -1.231  -0.570 -1.118  -0.557 -1.006  -0.524 -0.897  -0.491 -0.789  -0.458 -0.681  -0.426 -0.572  -0.394 -0.464  -0.362 -0.355  -0.330 -0.247  -0.273 -0.149  -0.213 -0.053  -0.153 0.043  -0.093 0.139  -0.023 0.227  0.055 0.309  0.133 0.391  0.210 0.474  0.288 0.556  0.371 0.632  0.470 0.687  0.569 0.742  0.668 0.797  0.767 0.852  0.873 0.881  0.986 0.890  1.099 0.898  1.212 0.897  1.325 0.888  1.438 0.879  1.536 0.834  1.626 0.765  1.715 0.695
3#apb#apb05#app0541/F  -0.013 0.842  -0.014 0.730  -0.050 0.516  -0.093 0.302  -0.141 0.090  -0.193 -0.121  -0.246 -0.333  -0.310 -0.540  -0.379 -0.747  -0.457 -0.949  -0.548 -1.147  -0.636 -1.346  -0.722 -1.546  -0.734 -1.587  -0.732 -1.374  -0.754 -1.158  -0.775 -0.941  -0.797 -0.725  -0.818 -0.508  -0.840 -0.292  -0.861 -0.075  -0.883 0.142  -0.904 0.358  -0.834 0.510  -0.621 0.557  -0.408 0.601  -0.194 0.642  0.019 0.684  0.233 0.727  0.446 0.769  0.661 0.806  0.875 0.841  1.086 0.896  1.297 0.951  1.506 1.011  1.381 0.900  1.210 0.766  1.039 0.632  0.867 0.498  0.696 0.363  0.525 0.229  0.353 0.095  0.182 -0.039  0.011 -0.174  -0.161 -0.308  -0.084 -0.361  0.132 -0.350  0.346 -0.312  0.561 -0.278  0.777 -0.246
3#apb#apb05#app0541/a  0.294 -0.019  0.386 0.141  0.428 0.320  0.467 0.501  0.500 0.682  0.505 0.866  0.418 1.009  0.244 1.059  0.067 1.052  -0.102 0.978  -0.268 0.900  -0.422 0.797  -0.575 0.695  -0.714 0.576  -0.832 0.435  -0.950 0.293  -1.059 0.145  -1.157 -0.012  -1.250 -0.170  -1.275 -0.353  -1.292 -0.535  -1.268 -0.718  -1.222 -0.891  -1.099 -1.029  -0.938 -1.102  -0.759 -1.135  -0.582 -1.083  -0.405 -1.031  -0.233 -0.964  -0.062 -0.896  0.067 -0.768  0.188 -0.629  0.304 -0.485  0.408 -0.333  0.513 -0.181  0.596 -0.017  0.675 0.150  0.750 0.318  0.812 0.492  0.873 0.666  0.902 0.844  0.902 0.660  0.892 0.476  0.864 0.294  0.812 0.117  0.750 -0.056  0.730 -0.239  0.719 -0.423  0.706 -0.607  0.692 -0.791
3#apb#apb05#app0541/l  0.457 1.674  0.442 1.605  0.409 1.539  0.378 1.473  0.347 1.407  0.317 1.340  0.286 1.274  0.264 1.204  0.245 1.134  0.225 1.063  0.206 0.993  0.186 0.922  0.167 0.852  0.149 0.781  0.130 0.710  0.112 0.639  0.094 0.569  0.075 0.498  0.053 0.428  0.027 0.360  0.002 0.291  -0.024 0.223  -0.050 0.154  -0.075 0.086  -0.101 0.017  -0.123 -0.052  -0.142 -0.123  -0.161 -0.194  -0.180 -0.264  -0.200 -0.335  -0.219 -0.405  -0.237 -0.476  -0.255 -0.547  -0.273 -0.618  -0.290 -0.689  -0.308 -0.760  -0.325 -0.831  -0.325 -0.904  -0.325 -0.977  -0.325 -1.050  -0.315 -1.121  -0.279 -1.184  -0.239 -1.244  -0.175 -1.279  -0.110 -1.314  -0.046 -1.349  0.024 -1.365  0.097 -1.375  0.169 -1.385  0.242 -1.396
3#apb#apb05#app0541/l  0.634 1.607  0.595 1.545  0.556 1.483  0.512 1.425  0.468 1.366  0.423 1.308  0.382 1.248  0.352 1.181  0.322 1.115  0.291 1.048  0.261 0.981  0.232 0.914  0.206 0.845  0.179 0.777  0.152 0.709  0.126 0.641  0.099 0.573  0.072 0.504  0.045 0.436  0.019 0.368  -0.008 0.300  -0.035 0.232  -0.062 0.163  -0.089 0.095  -0.116 0.027  -0.144 -0.040  -0.172 -0.108  -0.200 -0.176  -0.227 -0.244  -0.248 -0.314  -0.268 -0.385  -0.287 -0.455  -0.306 -0.526  -0.325 -0.597  -0.345 -0.667  -0.365 -0.738  -0.386 -0.808  -0.392 -0.880  -0.381 -0.952  -0.371 -1.025  -0.352 -1.094  -0.316 -1.158  -0.279 -1.221  -0.236 -1.279  -0.174 -1.317  -0.111 -1.354  -0.042 -1.375  0.031 -1.384  0.103 -1.393  0.176 -1.402
3#apb#apb05#app0541/s  0.287 1.442  0.183 1.398  0.069 1.408  -0.046 1.418  -0.144 1.361  -0.241 1.299  -0.337 1.236  -0.431 1.170  -0.525 1.104  -0.583 1.005  -0.619 0.900  -0.619 0.785  -0.587 0.677  -0.524 0.584  -0.434 0.513  -0.343 0.443  -0.246 0.381  -0.149 0.319  -0.050 0.261  0.051 0.207  0.153 0.152  0.256 0.101  0.360 0.053  0.464 0.005  0.570 -0.040  0.676 -0.085  0.775 -0.138  0.844 -0.230  0.913 -0.322  0.962 -0.419  0.941 -0.531  0.865 -0.617  0.789 -0.703  0.691 -0.758  0.583 -0.796  0.475 -0.835  0.367 -0.876  0.260 -0.917  0.153 -0.958  0.038 -0.959  -0.077 -0.959  -0.192 -0.959  -0.307 -0.959  -0.422 -0.959  -0.537 -0.956  -0.648 -0.928  -0.760 -0.901  -0.866 -0.858  -0.969 -0.806  -1.071 -0.755
3#apb#apb05#app0541/C  0.705 0.829  0.646 0.763  0.609 0.654  0.591 0.538  0.587 0.420  0.587 0.302  0.587 0.184  0.632 0.151  0.687 0.254  0.722 0.366  0.738 0.482  0.738 0.600  0.732 0.718  0.712 0.834  0.670 0.942  0.608 1.042  0.516 1.115  0.398 1.115  0.303 1.057  0.216 0.977  0.131 0.896  0.048 0.812  -0.036 0.729  -0.115 0.642  -0.187 0.549  -0.260 0.455  -0.331 0.361  -0.389 0.259  -0.448 0.157  -0.507 0.055  -0.566 -0.047  -0.612 -0.156  -0.655 -0.266  -0.698 -0.375  -0.738 -0.486  -0.772 -0.599  -0.806 -0.712  -0.827 -0.827  -0.820 -0.944  -0.813 -1.062  -0.747 -1.157  -0.671 -1.246  -0.556 -1.270  -0.440 -1.295  -0.323 -1.301  -0.205 -1.307  -0.087 -1.310  0.031 -1.305  0.149 -1.300  0.266 -1.295
3#apb#apb05#app0541/o  -0.097 0.868  -0.189 0.953  -0.290 0.872  -0.376 0.776  -0.450 0.669  -0.525 0.563  -0.582 0.447  -0.637 0.330  -0.691 0.212  -0.726 0.088  -0.747 -0.040  -0.769 -0.168  -0.780 -0.297  -0.790 -0.427  -0.800 -0.556  -0.781 -0.684  -0.758 -0.811  -0.713 -0.929  -0.630 -1.029  -0.530 -1.107  -0.416 -1.170  -0.299 -1.211  -0.171 -1.188  -0.044 -1.165  0.068 -1.103  0.173 -1.028  0.279 -0.953  0.385 -0.877  0.475 -0.784  0.561 -0.688  0.648 -0.591  0.709 -0.478  0.764 -0.360  0.818 -0.243  0.832 -0.119  0.812 0.009  0.793 0.137  0.766 0.264  0.735 0.390  0.703 0.516  0.672 0.642  0.613 0.757  0.548 0.869  0.484 0.982  0.414 1.090  0.318 1.177  0.222 1.264  0.126 1.352  0.003 1.380  -0.126 1.396
3#apb#apb05#app0541/r  -0.101 1.120  -0.083 0.997  -0.135 0.877  -0.172 0.752  -0.192 0.623  -0.212 0.493  -0.233 0.364  -0.257 0.235  -0.281 0.106  -0.305 -0.022  -0.316 -0.152  -0.316 -0.283  -0.316 -0.414  -0.316 -0.545  -0.330 -0.675  -0.347 -0.805  -0.365 -0.935  -0.378 -1.065  -0.378 -1.196  -0.378 -1.327  -0.414 -1.452  -0.453 -1.546  -0.439 -1.427  -0.401 -1.302  -0.362 -1.177  -0.329 -1.050  -0.299 -0.922  -0.269 -0.795  -0.239 -0.667  -0.205 -0.541  -0.167 -0.415  -0.130 -0.290  -0.092 -0.165  -0.054 -0.039  0.003 0.078  0.073 0.188  0.143 0.299  0.213 0.410  0.282 0.521  0.353 0.631  0.424 0.741  0.495 0.851  0.566 0.961  0.637 1.071  0.729 1.162  0.836 1.237  0.943 1.312  1.063 1.359  1.190 1.394  1.316 1.428
3#apb#apb05#app0541/a  0.553 0.826  0.513 1.003  0.433 1.153  0.251 1.153  0.077 1.104  -0.093 1.041  -0.241 0.935  -0.389 0.829  -0.514 0.699  -0.632 0.560  -0.749 0.421  -0.868 0.284  -0.992 0.150  -1.116 0.017  -1.203 -0.139  -1.271 -0.308  -1.303 -0.482  -1.284 -0.663  -1.210 -0.829  -1.067 -0.905  -0.887 -0.933  -0.710 -0.902  -0.533 -0.861  -0.360 -0.806  -0.193 -0.733  -0.027 -0.660  0.118 -0.550  0.262 -0.439  0.406 -0.327  0.517 -0.183  0.628 -0.039  0.733 0.109  0.836 0.259  0.880 0.427  0.880 0.609  0.890 0.790  0.839 0.923  0.739 0.780  0.664 0.615  0.602 0.444  0.555 0.268  0.508 0.093  0.475 -0.086  0.443 -0.265  0.432 -0.446  0.443 -0.627  0.454 -0.809  0.467 -0.990  0.489 -1.170  0.553 -1.340
3#apb#apb05#app0541/l  0.602 1.505  0.597 1.561  0.560 1.495  0.509 1.439  0.457 1.383  0.406 1.327  0.365 1.263  0.330 1.196  0.295 1.129  0.260 1.061  0.224 0.994  0.190 0.926  0.156 0.858  0.122 0.790  0.088 0.722  0.054 0.654  0.020 0.586  -0.014 0.518  -0.042 0.447  -0.068 0.376  -0.094 0.304  -0.121 0.233  -0.147 0.162  -0.174 0.091  -0.200 0.019  -0.225 -0.053  -0.251 -0.124  -0.276 -0.196  -0.302 -0.267  -0.327 -0.339  -0.348 -0.412  -0.358 -0.487  -0.368 -0.563  -0.378 -0.638  -0.387 -0.714  -0.389 -0.789  -0.373 -0.863  -0.357 -0.937  -0.333 -1.008  -0.287 -1.069  -0.242 -1.130  -0.195 -1.189  -0.125 -1.220  -0.056 -1.250  0.014 -1.281  0.085 -1.302  0.162 -1.302  0.238 -1.302  0.314 -1.302  0.390 -1.302
3#apb#apb05#app0541/G  0.184 1.051  0.263 1.199  0.337 1.350  0.327 1.464  0.174 1.413  0.037 1.316  -0.078 1.194  -0.193 1.071  -0.304 0.944  -0.413 0.817  -0.521 0.687  -0.621 0.552  -0.721 0.417  -0.810 0.275  -0.890 0.127  -0.969 -0.021  -1.027 -0.178  -1.076 -0.339  -1.091 -0.503  -1.066 -0.669  -1.002 -0.820  -0.903 -0.955  -0.753 -1.030  -0.603 -1.105  -0.435 -1.103  -0.267 -1.097  -0.101 -1.076  0.063 -1.040  0.224 -0.994  0.374 -0.919  0.525 -0.844  0.668 -0.756  0.804 -0.659  0.905 -0.525  0.931 -0.366  0.923 -0.198  0.903 -0.031  0.818 0.110  0.700 0.226  0.554 0.308  0.396 0.366  0.243 0.301  0.099 0.215  0.027 0.093  0.148 -0.011  0.308 -0.060  0.476 -0.047  0.643 -0.058  0.811 -0.048  0.979 -0.045
3#apb#apb05#app0541/a  0.374 0.979  0.425 1.136  0.339 1.223  0.181 1.153  0.045 1.049  -0.082 0.932  -0.207 0.813  -0.329 0.691  -0.451 0.569  -0.558 0.435  -0.652 0.290  -0.746 0.145  -0.844 0.003  -0.946 -0.137  -1.048 -0.276  -1.115 -0.433  -1.166 -0.598  -1.205 -0.764  -1.188 -0.936  -1.106 -1.080  -0.977 -1.178  -0.805 -1.198  -0.642 -1.145  -0.479 -1.087  -0.327 -1.007  -0.179 -0.918  -0.033 -0.827  0.078 -0.695  0.190 -0.563  0.285 -0.420  0.366 -0.268  0.447 -0.115  0.510 0.045  0.561 0.210  0.611 0.375  0.651 0.543  0.690 0.711  0.734 0.878  0.763 1.047  0.757 0.895  0.729 0.725  0.707 0.554  0.696 0.381  0.685 0.209  0.685 0.036  0.685 -0.136  0.685 -0.309  0.685 -0.481  0.734 -0.646  0.789 -0.810
3#apb#apb05#app0541/b  0.087 1.961  -0.008 1.823  -0.083 1.673  -0.133 1.515  -0.174 1.352  -0.213 1.190  -0.251 1.027  -0.289 0.864  -0.331 0.702  -0.379 0.542  -0.427 0.382  -0.475 0.222  -0.525 0.062  -0.574 -0.098  -0.624 -0.257  -0.664 -0.420  -0.705 -0.582  -0.746 -0.744  -0.789 -0.906  -0.814 -1.070  -0.751 -1.028  -0.678 -0.878  -0.607 -0.726  -0.516 -0.586  -0.425 -0.446  -0.332 -0.307  -0.238 -0.168  -0.144 -0.030  -0.029 0.090  0.092 0.206  0.213 0.321  0.354 0.411  0.497 0.498  0.651 0.561  0.809 0.568  0.934 0.469  0.983 0.314  1.002 0.148  0.987 -0.018  0.961 -0.183  0.911 -0.342  0.850 -0.497  0.775 -0.647  0.681 -0.781  0.553 -0.889  0.417 -0.985  0.274 -1.072  0.119 -1.134  -0.038 -1.087  -0.190 -1.019
