3#app#app25#app2579/I  0.747 1.421  0.666 1.421  0.585 1.421  0.555 1.370  0.555 1.290  0.535 1.229  0.454 1.229  0.373 1.229  0.363 1.158  0.363 1.077  0.363 0.996  0.363 0.915  0.363 0.835  0.363 0.754  0.363 0.673  0.320 0.610  0.262 0.553  0.205 0.496  0.172 0.429  0.172 0.348  0.169 0.268  0.112 0.211  0.055 0.154  -0.002 0.097  -0.020 0.023  -0.020 -0.058  -0.020 -0.138  -0.020 -0.219  -0.020 -0.300  -0.074 -0.359  -0.131 -0.416  -0.188 -0.473  -0.212 -0.544  -0.212 -0.625  -0.212 -0.706  -0.212 -0.787  -0.212 -0.868  -0.280 -0.880  -0.361 -0.880  -0.404 -0.918  -0.404 -0.999  -0.412 -1.072  -0.493 -1.072  -0.573 -1.072  -0.596 -1.131  -0.596 -1.212  -0.616 -1.284  -0.673 -1.341  -0.730 -1.398  -0.787 -1.456
3#app#app25#app2579/o  0.437 0.175  0.437 0.349  0.437 0.522  0.342 0.600  0.169 0.600  -0.004 0.600  -0.177 0.600  -0.306 0.493  -0.436 0.388  -0.609 0.388  -0.624 0.230  -0.743 0.175  -0.893 0.119  -1.015 -0.003  -1.137 -0.126  -1.260 -0.248  -1.261 -0.421  -1.261 -0.594  -1.195 -0.740  -1.072 -0.862  -0.909 -0.886  -0.765 -0.957  -0.643 -1.079  -0.478 -1.098  -0.304 -1.098  -0.131 -1.098  0.042 -1.098  0.215 -1.098  0.340 -0.983  0.463 -0.860  0.585 -0.738  0.649 -0.591  0.680 -0.431  0.802 -0.308  0.861 -0.160  0.861 0.013  0.861 0.187  0.861 0.360  0.964 0.490  1.061 0.613  0.938 0.735  0.861 0.876  0.836 1.024  0.663 1.024  0.490 1.024  0.352 0.939  0.230 0.817  0.059 0.812  -0.077 0.722  -0.200 0.600
3#app#app25#app2579/u  0.014 1.286  0.014 1.500  0.014 1.364  -0.123 1.286  -0.239 1.188  -0.298 1.033  -0.493 1.012  -0.493 0.798  -0.631 0.641  -0.746 0.474  -0.759 0.273  -0.973 0.273  -0.999 0.084  -0.999 -0.130  -1.110 -0.233  -1.252 -0.306  -1.252 -0.520  -1.252 -0.734  -1.043 -0.740  -0.829 -0.740  -0.653 -0.833  -0.501 -0.984  -0.291 -0.993  -0.239 -0.830  -0.115 -0.740  0.074 -0.679  0.226 -0.528  0.267 -0.330  0.384 -0.233  0.520 -0.155  0.548 0.048  0.700 0.199  0.851 0.351  1.003 0.503  1.027 0.707  1.027 0.637  0.954 0.453  0.802 0.302  0.600 0.273  0.520 0.138  0.424 0.020  0.267 -0.038  0.267 -0.252  0.267 -0.466  0.267 -0.681  0.422 -0.740  0.637 -0.740  0.851 -0.740  1.066 -0.740  1.280 -0.740
3#app#app25#app2579/r  0.541 1.415  0.541 1.254  0.470 1.164  0.309 1.164  0.291 1.021  0.237 0.914  0.076 0.914  0.040 0.789  0.040 0.627  0.040 0.466  -0.036 0.336  -0.150 0.222  -0.264 0.108  -0.378 -0.005  -0.462 -0.132  -0.462 -0.293  -0.542 -0.421  -0.656 -0.535  -0.713 -0.673  -0.713 -0.834  -0.865 -0.842  -1.008 -0.887  -1.122 -1.001  -1.184 -1.093  -1.023 -1.093  -0.861 -1.093  -0.713 -1.081  -0.713 -0.919  -0.653 -0.783  -0.539 -0.669  -0.462 -0.540  -0.462 -0.379  -0.339 -0.341  -0.211 -0.307  -0.211 -0.146  -0.106 -0.090  0.051 -0.079  0.165 0.035  0.279 0.149  0.435 0.161  0.596 0.161  0.757 0.161  0.792 0.287  0.829 0.412  0.990 0.412  1.151 0.412  1.312 0.412  1.473 0.412  1.634 0.412  1.796 0.412
3#app#app25#app2579/F  0.218 0.841  0.088 0.712  -0.041 0.582  -0.171 0.452  -0.340 0.420  -0.422 0.256  -0.476 0.085  -0.524 -0.087  -0.606 -0.251  -0.632 -0.425  -0.762 -0.555  -0.891 -0.685  -1.021 -0.814  -1.151 -0.944  -1.171 -1.119  -1.231 -1.242  -1.252 -1.155  -1.150 -1.002  -1.048 -0.850  -0.947 -0.697  -0.845 -0.545  -0.743 -0.392  -0.641 -0.239  -0.540 -0.087  -0.438 0.066  -0.336 0.219  -0.234 0.371  -0.115 0.509  0.046 0.564  0.230 0.564  0.413 0.564  0.596 0.564  0.737 0.666  0.906 0.703  1.089 0.703  1.273 0.703  1.419 0.613  1.582 0.564  1.472 0.482  1.314 0.388  1.157 0.294  1.000 0.199  0.843 0.105  0.685 0.011  0.528 -0.084  0.371 -0.178  0.223 -0.270  0.407 -0.270  0.496 -0.175  0.635 -0.131
3#app#app25#app2579/r  0.991 1.503  0.873 1.385  0.756 1.267  0.638 1.150  0.521 1.032  0.403 0.914  0.371 0.761  0.371 0.595  0.227 0.573  0.062 0.572  0.062 0.405  0.037 0.263  -0.129 0.263  -0.282 0.230  -0.399 0.112  -0.517 -0.005  -0.558 -0.155  -0.558 -0.321  -0.651 -0.449  -0.768 -0.567  -0.868 -0.692  -0.868 -0.858  -0.902 -1.010  -1.020 -1.128  -1.138 -1.246  -1.100 -1.208  -0.982 -1.090  -0.868 -0.972  -0.868 -0.805  -0.848 -0.647  -0.731 -0.529  -0.613 -0.412  -0.496 -0.294  -0.378 -0.176  -0.260 -0.059  -0.099 -0.046  0.062 -0.041  0.062 0.126  0.090 0.263  0.257 0.263  0.423 0.263  0.590 0.263  0.756 0.263  0.922 0.263  0.991 0.166  0.991 -0.001  1.112 -0.046  1.278 -0.046  1.444 -0.046  1.611 -0.046
3#app#app25#app2579/i  0.129 0.672  0.129 0.528  0.083 0.402  -0.020 0.300  -0.122 0.198  -0.224 0.096  -0.318 -0.009  -0.318 -0.154  -0.394 -0.222  -0.539 -0.222  -0.542 -0.364  -0.586 -0.490  -0.688 -0.592  -0.765 -0.704  -0.765 -0.849  -0.765 -0.993  -0.744 -1.116  -0.600 -1.116  -0.542 -1.030  -0.534 -0.893  -0.390 -0.893  -0.246 -0.893  -0.101 -0.893  0.043 -0.893  0.070 -0.893  -0.075 -0.893  -0.219 -0.893  -0.298 -0.852  -0.234 -0.723  -0.169 -0.594  -0.104 -0.465  -0.040 -0.336  0.025 -0.206  0.089 -0.077  0.154 0.052  0.219 0.181  0.283 0.310  0.348 0.439  0.412 0.569  0.477 0.698  0.542 0.827  0.606 0.956  0.671 1.085  0.735 1.215  0.800 1.344  0.864 1.473  0.929 1.602  0.994 1.731  0.944 1.790  0.799 1.790
3#app#app25#app2579/e  -0.155 0.134  -0.155 0.307  -0.155 0.197  -0.045 0.134  0.128 0.134  0.301 0.134  0.473 0.134  0.646 0.134  0.819 0.134  0.865 0.261  0.960 0.338  1.069 0.402  1.069 0.575  1.069 0.748  1.069 0.921  0.927 0.951  0.754 0.951  0.581 0.951  0.408 0.951  0.241 0.938  0.118 0.816  -0.026 0.746  -0.198 0.746  -0.368 0.738  -0.490 0.616  -0.612 0.494  -0.734 0.371  -0.893 0.338  -0.972 0.244  -1.035 0.134  -1.176 0.102  -1.176 -0.071  -1.176 -0.243  -1.033 -0.274  -0.972 -0.385  -0.972 -0.558  -0.937 -0.716  -0.815 -0.838  -0.662 -0.886  -0.489 -0.886  -0.317 -0.886  -0.147 -0.894  -0.025 -1.016  0.117 -1.090  0.290 -1.090  0.463 -1.090  0.635 -1.090  0.765 -0.986  0.897 -0.886  1.069 -0.886
3#app#app25#app2579/n  0.250 1.038  0.250 1.229  0.250 1.420  0.250 1.371  0.250 1.180  0.216 1.004  0.081 0.869  0.024 0.702  -0.051 0.586  -0.202 0.547  -0.205 0.357  -0.340 0.222  -0.474 0.088  -0.609 -0.047  -0.654 -0.219  -0.719 -0.383  -0.854 -0.518  -0.880 -0.697  -0.963 -0.854  -1.098 -0.989  -1.106 -1.176  -1.106 -1.079  -1.106 -0.889  -1.034 -0.771  -0.843 -0.771  -0.654 -0.769  -0.654 -0.578  -0.497 -0.545  -0.428 -0.423  -0.428 -0.232  -0.378 -0.092  -0.191 -0.082  -0.057 0.053  0.078 0.188  0.213 0.323  0.348 0.458  0.485 0.586  0.676 0.586  0.866 0.586  0.929 0.457  1.022 0.360  1.155 0.302  1.155 0.112  1.155 -0.079  1.155 -0.270  1.013 -0.318  0.929 -0.425  0.929 -0.615  0.929 -0.806  0.929 -0.997
3#app#app25#app2579/d  -0.315 -0.196  -0.382 -0.071  -0.573 -0.071  -0.764 -0.071  -0.951 -0.082  -1.095 -0.196  -1.258 -0.265  -1.393 -0.400  -1.439 -0.572  -1.371 -0.696  -1.219 -0.791  -1.040 -0.821  -0.849 -0.821  -0.667 -0.798  -0.532 -0.663  -0.396 -0.527  -0.261 -0.392  -0.126 -0.257  0.009 -0.121  0.167 -0.017  0.324 0.083  0.410 0.254  0.530 0.400  0.666 0.535  0.801 0.670  0.936 0.806  1.059 0.946  1.059 1.137  1.202 1.196  1.309 1.262  1.202 1.178  1.135 1.053  0.977 0.972  0.842 0.836  0.707 0.701  0.572 0.566  0.436 0.430  0.297 0.304  0.149 0.233  0.064 0.062  -0.065 -0.076  -0.116 -0.247  -0.277 -0.321  -0.315 -0.474  -0.221 -0.571  -0.154 -0.696  0.007 -0.768  0.177 -0.821  0.309 -0.879  0.434 -0.946
3#app#app25#app2579/,  0.482 1.703  0.482 1.619  0.482 1.535  0.482 1.451  0.482 1.367  0.482 1.283  0.482 1.199  0.482 1.115  0.482 1.031  0.482 0.947  0.482 0.863  0.482 0.779  0.482 0.695  0.482 0.611  0.482 0.527  0.482 0.444  0.482 0.360  0.482 0.276  0.482 0.192  0.482 0.108  0.482 0.024  0.471 -0.056  0.412 -0.115  0.352 -0.174  0.293 -0.234  0.234 -0.293  0.174 -0.352  0.115 -0.412  0.056 -0.471  -0.024 -0.482  -0.108 -0.482  -0.192 -0.482  -0.276 -0.482  -0.360 -0.482  -0.392 -0.533  -0.392 -0.617  -0.392 -0.701  -0.392 -0.785  -0.392 -0.869  -0.426 -0.919  -0.510 -0.919  -0.594 -0.919  -0.678 -0.919  -0.762 -0.919  -0.846 -0.919  -0.930 -0.919  -1.014 -0.919  -1.098 -0.919  -1.182 -0.919  -1.266 -0.919
3#app#app25#app2579/\"  -0.269 0.494  -0.395 0.494  -0.521 0.494  -0.618 0.425  -0.707 0.336  -0.796 0.247  -0.885 0.158  -0.974 0.069  -1.063 -0.020  -1.152 -0.109  -1.241 -0.198  -1.330 -0.287  -1.390 -0.388  -1.390 -0.514  -1.378 -0.622  -1.261 -0.575  -1.144 -0.528  -1.027 -0.482  -0.910 -0.435  -0.794 -0.388  -0.677 -0.341  -0.560 -0.295  -0.443 -0.248  -0.326 -0.201  -0.209 -0.154  -0.092 -0.108  0.025 -0.061  0.141 -0.014  0.258 0.033  0.375 0.079  0.492 0.126  0.609 0.173  0.726 0.220  0.843 0.266  0.960 0.313  1.076 0.360  1.193 0.407  1.310 0.453  1.412 0.478  1.412 0.352  1.412 0.226  1.298 0.214  1.172 0.214  1.132 0.129  1.132 0.003  1.075 -0.066  0.949 -0.066  0.852 -0.095  0.852 -0.221  0.852 -0.347
