1c#apb#apb38#app3891/g  0.214 1.024  0.245 1.170  0.141 1.277  0.005 1.250  -0.123 1.173  -0.246 1.086  -0.362 0.990  -0.476 0.892  -0.561 0.768  -0.647 0.643  -0.669 0.495  -0.672 0.345  -0.654 0.196  -0.569 0.084  -0.437 0.023  -0.289 0.005  -0.151 0.066  -0.020 0.137  0.082 0.248  0.167 0.370  0.234 0.505  0.281 0.645  0.291 0.796  0.303 0.946  0.263 1.072  0.226 0.940  0.210 0.790  0.202 0.640  0.206 0.490  0.219 0.340  0.235 0.190  0.272 0.044  0.308 -0.102  0.362 -0.243  0.416 -0.384  0.456 -0.529  0.495 -0.674  0.502 -0.824  0.502 -0.975  0.443 -1.113  0.379 -1.249  0.280 -1.362  0.177 -1.471  0.050 -1.553  -0.083 -1.615  -0.233 -1.625  -0.384 -1.620  -0.511 -1.572  -0.560 -1.438  -0.521 -1.292
1c#apb#apb38#app3891/i  -1.312 -0.598  -1.348 -0.714  -1.237 -0.776  -1.094 -0.704  -0.965 -0.607  -0.837 -0.510  -0.711 -0.410  -0.593 -0.302  -0.491 -0.178  -0.388 -0.054  -0.302 0.082  -0.220 0.220  -0.179 0.371  -0.310 0.303  -0.407 0.174  -0.494 0.039  -0.573 -0.101  -0.629 -0.251  -0.665 -0.406  -0.665 -0.566  -0.607 -0.714  -0.508 -0.836  -0.373 -0.892  -0.215 -0.863  -0.062 -0.816  0.087 -0.755  0.224 -0.674  0.349 -0.572  0.473 -0.470  0.594 -0.365  0.716 -0.259  0.849 -0.170  0.992 -0.103  1.050 -0.126  1.058 -0.285  1.010 -0.184  0.950 -0.035  0.889 0.114  0.829 0.263  0.768 0.412  0.707 0.561  0.647 0.710  0.586 0.859  0.526 1.008  0.465 1.157  0.405 1.306  0.344 1.455  0.283 1.604  0.223 1.753  0.162 1.902
1c#apb#apb38#app3891/s  -1.258 -0.726  -1.371 -0.835  -1.381 -1.000  -1.228 -0.907  -1.106 -0.776  -0.990 -0.638  -0.872 -0.501  -0.752 -0.367  -0.631 -0.233  -0.510 -0.099  -0.391 0.036  -0.279 0.177  -0.167 0.319  -0.055 0.460  0.057 0.602  0.170 0.742  0.284 0.882  0.397 1.022  0.519 1.155  0.654 1.274  0.794 1.388  0.910 1.296  1.011 1.152  1.072 0.982  1.125 0.811  1.125 0.631  1.125 0.450  1.125 0.270  1.123 0.090  1.059 -0.077  0.915 -0.185  0.761 -0.278  0.600 -0.358  0.422 -0.370  0.242 -0.370  0.061 -0.370  -0.119 -0.370  -0.300 -0.370  -0.480 -0.370  -0.660 -0.370  -0.840 -0.365  -0.922 -0.291  -0.770 -0.317  -0.596 -0.355  -0.418 -0.383  -0.245 -0.432  -0.071 -0.480  0.108 -0.498  0.288 -0.516  0.467 -0.534
1c#apb#apb38#app3891/t  -1.105 -1.397  -1.024 -1.464  -0.851 -1.275  -0.730 -1.044  -0.584 -0.829  -0.432 -0.618  -0.282 -0.406  -0.134 -0.192  -0.010 0.036  0.102 0.271  0.168 0.522  0.225 0.775  0.259 1.033  0.276 1.292  0.276 1.553  0.223 1.617  0.126 1.376  0.079 1.120  0.035 0.864  0.008 0.605  -0.017 0.346  -0.030 0.086  -0.044 -0.173  -0.047 -0.433  -0.038 -0.693  -0.025 -0.953  -0.003 -1.212  0.025 -1.471  0.115 -1.705  0.343 -1.596  0.430 -1.384  0.411 -1.125  0.393 -0.865  0.375 -0.606  0.356 -0.346  0.338 -0.087  0.319 0.173  0.301 0.432  0.283 0.692  0.110 0.759  -0.144 0.707  -0.386 0.613  -0.610 0.480  -0.595 0.366  -0.356 0.468  -0.108 0.546  0.137 0.631  0.372 0.743  0.612 0.843  0.858 0.929
1c#apb#apb38#app3891/a  0.494 0.559  0.533 0.718  0.611 0.836  0.695 0.891  0.704 1.026  0.540 1.026  0.377 1.026  0.213 1.026  0.050 1.026  -0.094 0.977  -0.215 0.866  -0.335 0.756  -0.453 0.643  -0.556 0.517  -0.660 0.390  -0.763 0.263  -0.866 0.136  -0.938 -0.010  -1.008 -0.158  -1.077 -0.306  -1.143 -0.455  -1.168 -0.616  -1.193 -0.778  -1.162 -0.921  -1.047 -1.037  -0.915 -1.124  -0.756 -1.163  -0.605 -1.129  -0.456 -1.061  -0.313 -0.984  -0.193 -0.874  -0.072 -0.763  0.048 -0.653  0.143 -0.520  0.236 -0.386  0.329 -0.251  0.421 -0.116  0.490 0.031  0.558 0.180  0.628 0.328  0.701 0.474  0.727 0.554  0.727 0.391  0.735 0.228  0.775 0.070  0.847 -0.072  0.952 -0.197  1.044 -0.333  1.146 -0.460  1.261 -0.575
1c#apb#apb38#app3891/u  -0.178 1.341  -0.178 1.478  -0.183 1.577  -0.216 1.444  -0.249 1.310  -0.299 1.183  -0.350 1.055  -0.401 0.927  -0.452 0.800  -0.510 0.676  -0.572 0.553  -0.633 0.430  -0.695 0.307  -0.756 0.184  -0.807 0.058  -0.836 -0.077  -0.864 -0.211  -0.893 -0.345  -0.889 -0.479  -0.856 -0.612  -0.823 -0.746  -0.773 -0.870  -0.676 -0.967  -0.567 -1.044  -0.437 -1.088  -0.320 -1.044  -0.211 -0.962  -0.102 -0.878  -0.023 -0.766  0.056 -0.653  0.134 -0.541  0.213 -0.428  0.292 -0.316  0.371 -0.203  0.440 -0.085  0.501 0.038  0.559 0.162  0.603 0.293  0.624 0.427  0.680 0.408  0.723 0.277  0.762 0.146  0.800 0.014  0.873 -0.101  0.953 -0.213  1.031 -0.326  1.107 -0.441  1.220 -0.503  1.345 -0.557  1.462 -0.627
1c#apb#apb38#app3891/d  -0.206 -0.044  -0.361 -0.029  -0.545 -0.086  -0.719 -0.170  -0.869 -0.283  -0.937 -0.464  -0.991 -0.650  -0.995 -0.838  -0.851 -0.939  -0.666 -0.909  -0.513 -0.796  -0.379 -0.657  -0.259 -0.505  -0.162 -0.338  -0.076 -0.165  -0.016 0.019  0.039 0.205  0.088 0.392  0.127 0.581  0.127 0.774  0.127 0.968  0.104 1.160  0.080 1.352  0.038 1.539  -0.040 1.717  -0.142 1.606  -0.199 1.422  -0.230 1.231  -0.257 1.039  -0.271 0.846  -0.285 0.653  -0.305 0.460  -0.324 0.268  -0.313 0.076  -0.277 -0.114  -0.227 -0.300  -0.154 -0.479  -0.056 -0.643  0.076 -0.784  0.240 -0.883  0.418 -0.949  0.612 -0.949  0.795 -0.891  0.971 -0.814  1.128 -0.700  1.277 -0.577  1.409 -0.437  1.457 -0.264  1.300 -0.243  1.207 -0.410
1c#apb#apb38#app3891/e  -1.011 -0.995  -0.866 -1.032  -0.716 -1.032  -0.593 -0.958  -0.479 -0.860  -0.372 -0.755  -0.271 -0.643  -0.170 -0.531  -0.069 -0.421  0.038 -0.315  0.144 -0.208  0.250 -0.102  0.349 0.011  0.445 0.127  0.541 0.242  0.638 0.358  0.716 0.486  0.793 0.615  0.863 0.746  0.863 0.896  0.863 1.047  0.826 1.192  0.774 1.328  0.640 1.395  0.507 1.395  0.375 1.322  0.244 1.249  0.125 1.157  0.007 1.064  -0.111 0.971  -0.229 0.878  -0.303 0.755  -0.348 0.611  -0.394 0.468  -0.439 0.325  -0.484 0.181  -0.523 0.036  -0.560 -0.110  -0.596 -0.256  -0.570 -0.398  -0.520 -0.540  -0.469 -0.682  -0.413 -0.819  -0.297 -0.915  -0.180 -1.010  -0.064 -1.105  0.062 -1.186  0.195 -1.257  0.327 -1.328  0.459 -1.400
1c#apb#apb38#app3891/r  -1.031 -1.430  -0.927 -1.511  -0.815 -1.510  -0.698 -1.450  -0.589 -1.372  -0.515 -1.264  -0.447 -1.150  -0.379 -1.036  -0.306 -0.925  -0.232 -0.814  -0.168 -0.698  -0.120 -0.574  -0.072 -0.451  -0.026 -0.326  -0.013 -0.194  0.001 -0.062  0.014 0.071  0.011 0.203  -0.001 0.335  -0.014 0.467  -0.027 0.600  -0.077 0.723  -0.127 0.846  -0.177 0.969  -0.228 1.092  -0.263 1.220  -0.297 1.348  -0.338 1.474  -0.270 1.410  -0.165 1.330  -0.076 1.231  0.013 1.132  0.099 1.031  0.185 0.930  0.271 0.828  0.336 0.713  0.402 0.597  0.463 0.479  0.505 0.353  0.547 0.227  0.580 0.099  0.606 -0.032  0.632 -0.162  0.621 -0.294  0.606 -0.426  0.590 -0.558  0.556 -0.686  0.521 -0.814  0.453 -0.928  0.384 -1.042
1c#apb#apb38#app3891/d  -0.048 -0.717  -0.050 -0.594  -0.102 -0.582  -0.155 -0.475  -0.294 -0.440  -0.442 -0.516  -0.567 -0.613  -0.651 -0.756  -0.730 -0.903  -0.765 -1.060  -0.730 -1.218  -0.681 -1.376  -0.540 -1.424  -0.384 -1.368  -0.240 -1.286  -0.115 -1.175  -0.013 -1.045  0.080 -0.908  0.155 -0.760  0.229 -0.611  0.286 -0.456  0.341 -0.299  0.389 -0.140  0.415 0.024  0.441 0.188  0.468 0.352  0.472 0.518  0.472 0.684  0.472 0.850  0.466 1.015  0.436 1.179  0.406 1.342  0.370 1.503  0.311 1.659  0.217 1.771  0.106 1.649  0.046 1.494  -0.013 1.339  -0.026 1.173  -0.040 1.008  -0.048 0.842  -0.048 0.676  -0.048 0.510  -0.039 0.344  -0.018 0.180  0.003 0.015  0.024 -0.150  0.042 -0.315  0.060 -0.480  0.078 -0.645
1c#apb#apb38#app3891/a  1.243 0.754  1.243 0.901  1.231 1.045  1.198 1.184  1.056 1.220  0.915 1.255  0.778 1.216  0.643 1.161  0.507 1.107  0.378 1.038  0.250 0.969  0.121 0.900  -0.007 0.830  -0.119 0.737  -0.232 0.643  -0.344 0.550  -0.456 0.456  -0.549 0.344  -0.639 0.229  -0.730 0.115  -0.820 -0.000  -0.905 -0.118  -0.948 -0.257  -0.991 -0.397  -1.034 -0.536  -1.056 -0.679  -1.023 -0.815  -0.914 -0.873  -0.769 -0.852  -0.626 -0.823  -0.484 -0.788  -0.352 -0.733  -0.237 -0.643  -0.122 -0.553  -0.006 -0.464  0.109 -0.374  0.224 -0.284  0.336 -0.191  0.439 -0.088  0.491 -0.008  0.426 -0.139  0.360 -0.269  0.295 -0.400  0.230 -0.531  0.164 -0.661  0.103 -0.794  0.057 -0.932  0.077 -1.062  0.182 -1.158  0.307 -1.233
1c#apb#apb38#app3891/l  -0.347 -1.288  -0.391 -1.406  -0.447 -1.500  -0.318 -1.475  -0.211 -1.386  -0.126 -1.275  -0.046 -1.159  0.036 -1.045  0.117 -0.930  0.158 -0.796  0.199 -0.662  0.232 -0.525  0.262 -0.388  0.293 -0.251  0.309 -0.112  0.322 0.028  0.335 0.168  0.344 0.308  0.344 0.449  0.344 0.589  0.344 0.730  0.344 0.870  0.336 1.011  0.328 1.151  0.320 1.291  0.309 1.431  0.284 1.569  0.220 1.649  0.137 1.536  0.066 1.415  0.003 1.289  -0.059 1.164  -0.100 1.029  -0.140 0.894  -0.180 0.760  -0.213 0.623  -0.246 0.487  -0.279 0.350  -0.305 0.212  -0.314 0.072  -0.323 -0.068  -0.331 -0.208  -0.309 -0.347  -0.287 -0.486  -0.264 -0.625  -0.234 -0.762  -0.200 -0.898  -0.166 -1.034  -0.106 -1.161  -0.046 -1.288
1c#apb#apb38#app3891/e  -0.604 -0.291  -0.526 -0.404  -0.516 -0.556  -0.530 -0.706  -0.430 -0.742  -0.281 -0.767  -0.178 -0.653  -0.075 -0.538  0.030 -0.425  0.139 -0.316  0.248 -0.207  0.357 -0.098  0.432 0.036  0.508 0.170  0.583 0.304  0.648 0.442  0.666 0.595  0.684 0.748  0.702 0.901  0.683 1.052  0.643 1.200  0.604 1.349  0.535 1.482  0.409 1.501  0.268 1.440  0.149 1.343  0.031 1.243  -0.086 1.144  -0.187 1.030  -0.262 0.896  -0.338 0.761  -0.413 0.627  -0.461 0.483  -0.490 0.331  -0.519 0.180  -0.548 0.029  -0.567 -0.123  -0.537 -0.274  -0.507 -0.425  -0.477 -0.576  -0.446 -0.727  -0.357 -0.851  -0.263 -0.972  -0.168 -1.094  -0.073 -1.216  0.029 -1.328  0.167 -1.397  0.305 -1.465  0.442 -1.534  0.580 -1.603
1c#apb#apb38#app3891/u  -1.799 -0.500  -1.667 -0.584  -1.509 -0.567  -1.361 -0.501  -1.221 -0.420  -1.088 -0.328  -0.955 -0.236  -0.838 -0.125  -0.723 -0.011  -0.609 0.104  -0.495 0.218  -0.380 0.333  -0.266 0.447  -0.149 0.559  -0.026 0.664  0.025 0.727  -0.111 0.643  -0.244 0.552  -0.354 0.433  -0.464 0.314  -0.573 0.194  -0.636 0.046  -0.700 -0.103  -0.739 -0.257  -0.721 -0.413  -0.627 -0.545  -0.485 -0.584  -0.324 -0.584  -0.166 -0.550  -0.010 -0.507  0.122 -0.417  0.251 -0.319  0.379 -0.220  0.499 -0.111  0.618 -0.002  0.722 0.120  0.805 0.259  0.888 0.398  0.989 0.522  1.111 0.627  1.186 0.754  1.147 0.597  1.146 0.438  1.173 0.278  1.201 0.119  1.230 -0.040  1.283 -0.191  1.355 -0.336  1.479 -0.421  1.633 -0.472
1c#apb#apb38#app3891/n  -1.957 -0.599  -1.824 -0.516  -1.664 -0.494  -1.545 -0.375  -1.426 -0.256  -1.302 -0.141  -1.176 -0.029  -1.050 0.084  -0.920 0.190  -0.785 0.292  -0.651 0.394  -0.517 0.497  -0.373 0.584  -0.225 0.666  -0.077 0.747  0.081 0.804  0.189 0.722  0.208 0.560  0.198 0.392  0.142 0.235  0.066 0.085  -0.009 -0.066  -0.100 -0.209  -0.191 -0.350  -0.283 -0.492  -0.373 -0.635  -0.474 -0.769  -0.415 -0.649  -0.309 -0.518  -0.201 -0.388  -0.085 -0.266  0.031 -0.143  0.148 -0.021  0.276 0.088  0.405 0.197  0.534 0.306  0.680 0.389  0.829 0.469  0.990 0.515  1.157 0.529  1.185 0.401  1.147 0.238  1.091 0.079  1.033 -0.080  0.971 -0.236  1.029 -0.389  1.149 -0.509  1.315 -0.516  1.467 -0.449  1.615 -0.369
1c#apb#apb38#app3891/i  -1.272 -1.374  -1.193 -1.276  -1.064 -1.177  -0.958 -1.051  -0.851 -0.925  -0.742 -0.801  -0.632 -0.677  -0.528 -0.549  -0.428 -0.418  -0.328 -0.287  -0.217 -0.165  -0.104 -0.044  -0.015 0.092  0.048 0.245  0.117 0.394  0.147 0.519  -0.010 0.492  -0.120 0.368  -0.210 0.231  -0.284 0.083  -0.332 -0.073  -0.362 -0.235  -0.370 -0.399  -0.359 -0.564  -0.325 -0.725  -0.208 -0.823  -0.056 -0.864  0.106 -0.831  0.259 -0.777  0.398 -0.687  0.536 -0.597  0.674 -0.505  0.809 -0.410  0.944 -0.316  1.017 -0.206  0.939 -0.060  0.862 0.085  0.784 0.231  0.706 0.377  0.629 0.522  0.551 0.668  0.473 0.814  0.395 0.960  0.318 1.105  0.240 1.251  0.162 1.397  0.085 1.542  0.007 1.688  -0.071 1.834  -0.168 1.918
1c#apb#apb38#app3891/c  0.720 1.537  0.644 1.479  0.566 1.423  0.487 1.370  0.407 1.317  0.343 1.247  0.278 1.177  0.213 1.107  0.148 1.036  0.083 0.966  0.019 0.895  -0.043 0.823  -0.105 0.750  -0.168 0.678  -0.230 0.605  -0.292 0.533  -0.354 0.460  -0.416 0.387  -0.477 0.314  -0.539 0.241  -0.601 0.168  -0.663 0.095  -0.705 0.011  -0.738 -0.079  -0.771 -0.169  -0.803 -0.258  -0.783 -0.349  -0.753 -0.439  -0.723 -0.530  -0.653 -0.587  -0.568 -0.632  -0.484 -0.677  -0.400 -0.722  -0.315 -0.767  -0.229 -0.806  -0.134 -0.820  -0.040 -0.834  0.055 -0.849  0.149 -0.863  0.244 -0.877  0.338 -0.891  0.433 -0.888  0.527 -0.874  0.621 -0.859  0.716 -0.845  0.810 -0.830  0.905 -0.816  0.999 -0.801  1.094 -0.787  1.188 -0.772
1c#apb#apb38#app3891/h  -1.165 -1.189  -1.041 -1.047  -0.885 -0.941  -0.755 -0.804  -0.634 -0.659  -0.520 -0.507  -0.409 -0.354  -0.304 -0.197  -0.200 -0.039  -0.122 0.134  -0.045 0.307  0.007 0.489  0.054 0.672  0.091 0.857  0.110 1.045  0.128 1.234  0.143 1.423  0.155 1.611  0.171 1.800  0.134 1.700  0.076 1.519  0.018 1.339  -0.037 1.158  -0.074 0.972  -0.111 0.787  -0.150 0.601  -0.191 0.417  -0.233 0.232  -0.266 0.046  -0.291 -0.142  -0.316 -0.329  -0.335 -0.518  -0.354 -0.706  -0.367 -0.895  -0.351 -0.969  -0.230 -0.824  -0.110 -0.677  0.015 -0.535  0.133 -0.388  0.256 -0.246  0.396 -0.205  0.396 -0.394  0.412 -0.582  0.474 -0.757  0.617 -0.864  0.799 -0.866  0.980 -0.817  1.146 -0.725  1.311 -0.632  1.475 -0.538
