3#apa#apa01#app0118/a  0.463 0.073  0.463 0.034  0.463 0.256  0.361 0.435  0.333 0.645  0.203 0.737  0.098 0.853  0.007 0.983  -0.085 1.113  -0.307 1.113  -0.528 1.113  -0.620 0.983  -0.837 0.979  -0.837 0.758  -0.968 0.666  -1.073 0.488  -1.098 0.277  -1.228 0.185  -1.228 -0.037  -1.228 -0.258  -1.228 -0.480  -1.104 -0.578  -1.012 -0.708  -0.921 -0.838  -0.707 -0.846  -0.608 -0.968  -0.386 -0.968  -0.187 -0.945  -0.073 -0.838  0.019 -0.708  0.110 -0.578  0.203 -0.449  0.333 -0.281  0.424 -0.097  0.488 0.098  0.594 0.276  0.628 0.463  0.724 0.589  0.724 0.636  0.724 0.414  0.624 0.234  0.594 0.025  0.594 -0.197  0.695 -0.318  0.724 -0.510  0.854 -0.602  0.969 -0.708  1.061 -0.838  1.283 -0.838  1.504 -0.838
3#apa#apa01#app0118/l  -0.047 1.588  0.027 1.588  0.067 1.553  0.067 1.479  0.067 1.405  0.067 1.330  0.067 1.256  0.067 1.181  0.041 1.133  -0.033 1.133  -0.047 1.072  -0.047 0.998  -0.047 0.923  -0.047 0.849  -0.047 0.774  -0.047 0.700  -0.047 0.626  -0.047 0.551  -0.047 0.477  -0.047 0.402  -0.047 0.328  -0.047 0.254  -0.047 0.179  -0.047 0.105  -0.047 0.030  -0.047 -0.044  -0.047 -0.118  -0.047 -0.193  -0.047 -0.267  -0.047 -0.342  -0.047 -0.416  -0.047 -0.490  -0.047 -0.565  -0.047 -0.639  -0.047 -0.714  -0.047 -0.788  -0.047 -0.862  -0.047 -0.937  -0.047 -1.011  0.006 -1.032  0.067 -1.046  0.067 -1.120  0.067 -1.195  0.067 -1.269  0.067 -1.344  0.067 -1.418  0.071 -1.488  0.146 -1.488  0.181 -1.527  0.181 -1.602
3#apa#apa01#app0118/m  -1.306 0.348  -1.114 0.348  -1.069 0.200  -1.069 0.007  -1.011 -0.127  -0.950 -0.259  -0.950 -0.451  -0.950 -0.644  -0.950 -0.837  -0.831 -0.910  -0.831 -0.813  -0.831 -0.620  -0.831 -0.428  -0.831 -0.235  -0.831 -0.043  -0.831 0.150  -0.751 0.309  -0.699 0.480  -0.594 0.629  -0.476 0.704  -0.402 0.822  -0.210 0.822  -0.119 0.721  -0.001 0.647  0.008 0.458  0.118 0.311  0.118 0.118  0.118 -0.074  0.118 -0.267  0.118 -0.459  0.118 -0.552  0.118 -0.359  0.174 -0.190  0.237 -0.023  0.296 0.110  0.356 0.243  0.443 0.348  0.593 0.391  0.710 0.466  0.902 0.466  1.068 0.439  1.169 0.348  1.243 0.229  1.397 0.137  1.424 -0.044  1.424 -0.237  1.543 -0.380  1.543 -0.573  1.543 -0.765  1.543 -0.958
3#apa#apa01#app0118/n  -0.903 0.779  -0.903 0.613  -0.903 0.448  -0.903 0.283  -0.803 0.159  -0.730 0.024  -0.730 -0.142  -0.730 -0.307  -0.730 -0.472  -0.730 -0.638  -0.713 -0.796  -0.596 -0.913  -0.557 -1.062  -0.557 -1.021  -0.557 -0.856  -0.557 -0.691  -0.557 -0.525  -0.557 -0.360  -0.557 -0.195  -0.557 -0.029  -0.557 0.136  -0.557 0.301  -0.523 0.433  -0.384 0.459  -0.384 0.624  -0.373 0.779  -0.211 0.782  -0.211 0.947  -0.050 0.952  0.115 0.952  0.280 0.952  0.446 0.952  0.481 0.821  0.604 0.779  0.654 0.664  0.761 0.606  0.827 0.506  0.919 0.433  1.000 0.348  1.000 0.183  1.000 0.018  1.000 -0.148  1.000 -0.313  1.000 -0.478  1.000 -0.644  1.000 -0.809  1.000 -0.974  1.000 -1.140  1.000 -1.290  1.000 -1.124
3#apa#apa01#app0118/o  -0.546 0.743  -0.664 0.625  -0.685 0.466  -0.803 0.348  -0.821 0.187  -0.856 0.056  -0.958 -0.010  -0.958 -0.177  -0.958 -0.345  -0.940 -0.494  -0.821 -0.542  -0.821 -0.709  -0.713 -0.769  -0.546 -0.769  -0.516 -0.907  -0.348 -0.907  -0.181 -0.907  -0.133 -1.026  0.016 -1.044  0.142 -1.003  0.214 -0.907  0.381 -0.907  0.549 -0.907  0.578 -0.769  0.746 -0.769  0.830 -0.686  0.943 -0.632  0.967 -0.488  0.992 -0.332  1.105 -0.211  1.077 -0.055  0.967 0.067  0.967 0.235  0.896 0.331  0.830 0.432  0.698 0.468  0.668 0.606  0.555 0.659  0.555 0.827  0.441 0.881  0.280 0.886  0.244 1.018  0.076 1.018  -0.091 1.018  -0.258 1.018  -0.426 1.018  -0.546 0.970  -0.623 0.881  -0.683 0.773  -0.821 0.743
3#apa#apa01#app0118/p  -0.412 0.684  -0.412 0.688  -0.412 0.482  -0.412 0.276  -0.412 0.070  -0.412 -0.136  -0.307 -0.237  -0.307 -0.443  -0.232 -0.574  -0.202 -0.750  -0.202 -0.956  -0.202 -1.162  -0.202 -1.368  -0.202 -1.574  -0.202 -1.780  -0.146 -1.832  -0.202 -1.683  -0.202 -1.477  -0.202 -1.271  -0.202 -1.065  -0.202 -0.859  -0.202 -0.653  -0.202 -0.447  -0.202 -0.241  -0.202 -0.035  -0.202 0.170  -0.202 0.376  -0.202 0.582  -0.202 0.788  -0.202 0.994  -0.202 1.200  -0.048 1.313  0.053 1.418  0.259 1.418  0.465 1.418  0.566 1.313  0.667 1.208  0.741 1.076  0.741 0.870  0.846 0.769  0.846 0.563  0.763 0.391  0.672 0.264  0.636 0.094  0.469 0.055  0.368 -0.050  0.162 -0.050  -0.044 -0.050  -0.145 0.055  -0.307 0.160
3#apa#apa01#app0118/q  0.192 0.205  0.192 0.396  0.192 0.587  0.192 0.778  0.089 0.926  0.088 1.117  -0.015 1.204  -0.173 1.237  -0.364 1.237  -0.548 1.219  -0.703 1.133  -0.791 1.030  -0.867 0.900  -0.943 0.741  -0.943 0.550  -0.943 0.359  -0.906 0.205  -0.818 0.102  -0.627 0.102  -0.436 0.102  -0.246 0.102  -0.055 0.102  0.088 0.150  0.192 0.237  0.192 0.428  0.193 0.618  0.295 0.707  0.295 0.751  0.192 0.663  0.192 0.472  0.192 0.281  0.192 0.091  0.192 -0.100  0.192 -0.291  0.192 -0.482  0.192 -0.673  0.192 -0.863  0.192 -1.054  0.192 -1.245  0.192 -1.436  0.192 -1.627  0.192 -1.691  0.295 -1.603  0.398 -1.516  0.483 -1.360  0.563 -1.239  0.604 -1.089  0.635 -0.929  0.707 -0.811  0.810 -0.723
3#apa#apa01#app0118/r  -0.669 1.044  -0.669 0.899  -0.669 0.754  -0.555 0.722  -0.508 0.624  -0.508 0.479  -0.508 0.334  -0.508 0.189  -0.508 0.044  -0.494 -0.095  -0.391 -0.197  -0.347 -0.324  -0.347 -0.469  -0.347 -0.614  -0.347 -0.759  -0.347 -0.904  -0.347 -1.049  -0.347 -1.194  -0.347 -1.339  -0.347 -1.484  -0.244 -1.526  -0.187 -1.438  -0.187 -1.293  -0.187 -1.148  -0.187 -1.003  -0.187 -0.858  -0.187 -0.713  -0.187 -0.568  -0.187 -0.423  -0.187 -0.278  -0.187 -0.133  -0.121 -0.015  -0.026 0.090  -0.026 0.235  -0.026 0.380  0.098 0.401  0.134 0.510  0.227 0.562  0.295 0.639  0.357 0.722  0.502 0.722  0.638 0.744  0.740 0.847  0.870 0.883  1.015 0.883  1.098 0.945  1.145 1.044  1.290 1.044  1.435 1.044  1.580 1.044
3#apa#apa01#app0118/s  0.611 0.400  0.633 0.559  0.743 0.674  0.611 0.711  0.611 0.879  0.512 0.949  0.344 0.949  0.312 1.086  0.144 1.086  -0.024 1.086  -0.193 1.086  -0.358 1.077  -0.477 0.958  -0.641 0.949  -0.761 0.900  -0.841 0.811  -0.898 0.700  -0.903 0.537  -1.035 0.501  -1.035 0.332  -0.937 0.262  -0.768 0.262  -0.607 0.246  -0.488 0.126  -0.320 0.125  -0.151 0.125  -0.010 0.060  0.129 -0.012  0.200 -0.109  0.328 -0.149  0.490 -0.165  0.609 -0.284  0.748 -0.315  0.790 -0.466  0.886 -0.595  0.886 -0.763  0.886 -0.932  0.758 -0.973  0.733 -1.125  0.614 -1.244  0.447 -1.247  0.279 -1.247  0.136 -1.184  -0.001 -1.110  -0.170 -1.110  -0.301 -1.021  -0.450 -0.973  -0.580 -0.880  -0.730 -0.835  -0.761 -0.698
3#apa#apa01#app0118/t  0.232 2.221  0.232 2.044  0.232 1.867  0.232 1.690  0.232 1.513  0.145 1.372  0.080 1.222  0.080 1.045  0.080 0.867  0.080 0.690  0.080 0.513  0.024 0.392  -0.073 0.311  -0.073 0.134  -0.073 -0.043  -0.073 -0.220  -0.073 -0.397  -0.073 -0.574  -0.073 -0.751  -0.073 -0.928  -0.073 -1.105  -0.073 -1.283  -0.049 -1.436  0.057 -1.394  -0.028 -1.239  -0.113 -1.083  -0.198 -0.928  -0.282 -0.772  -0.367 -0.617  -0.452 -0.461  -0.537 -0.306  -0.622 -0.150  -0.706 0.005  -0.791 0.161  -0.835 0.153  -0.723 0.088  -0.682 -0.048  -0.521 -0.065  -0.377 -0.098  -0.320 -0.217  -0.143 -0.217  0.035 -0.217  0.212 -0.217  0.389 -0.217  0.566 -0.217  0.743 -0.217  0.920 -0.217  1.097 -0.217  1.274 -0.217  1.451 -0.217
3#apa#apa01#app0118/u  -0.729 0.981  -0.881 0.973  -0.881 0.812  -0.898 0.659  -1.012 0.546  -1.033 0.394  -1.172 0.372  -1.185 0.225  -1.188 0.068  -1.338 0.057  -1.338 -0.104  -1.318 -0.256  -1.204 -0.370  -1.185 -0.522  -1.044 -0.541  -0.883 -0.541  -0.723 -0.541  -0.562 -0.541  -0.402 -0.541  -0.272 -0.510  -0.233 -0.389  -0.120 -0.342  -0.064 -0.237  0.077 -0.192  0.194 -0.084  0.337 -0.067  0.362 0.068  0.489 0.101  0.519 0.250  0.632 0.363  0.641 0.520  0.793 0.528  0.793 0.689  0.773 0.829  0.641 0.800  0.641 0.640  0.641 0.480  0.641 0.319  0.641 0.159  0.641 -0.002  0.641 -0.162  0.727 -0.237  0.793 -0.331  0.793 -0.492  0.904 -0.541  1.065 -0.541  1.098 -0.669  1.234 -0.693  1.394 -0.693  1.555 -0.693
3#apa#apa01#app0118/v  -1.383 0.900  -1.243 0.900  -1.214 0.789  -1.132 0.732  -1.046 0.678  -1.028 0.545  -0.929 0.446  -0.877 0.327  -0.839 0.225  -0.708 0.216  -0.708 0.076  -0.623 -0.029  -0.539 -0.134  -0.539 -0.274  -0.406 -0.281  -0.370 -0.386  -0.317 -0.504  -0.218 -0.603  -0.201 -0.736  -0.113 -0.788  -0.032 -0.847  -0.032 -0.988  -0.031 -1.127  0.068 -1.226  0.136 -1.251  0.136 -1.111  0.136 -0.971  0.262 -0.957  0.305 -0.860  0.305 -0.720  0.305 -0.580  0.316 -0.450  0.456 -0.450  0.474 -0.328  0.474 -0.188  0.474 -0.048  0.510 0.056  0.643 0.064  0.643 0.204  0.643 0.344  0.643 0.484  0.643 0.624  0.675 0.732  0.812 0.735  0.812 0.875  0.812 1.015  0.898 1.069  0.981 1.127  0.981 1.267  0.981 1.407
3#apa#apa01#app0118/w  -1.201 1.050  -1.201 0.887  -1.201 0.725  -1.136 0.590  -1.070 0.455  -1.070 0.292  -1.070 0.130  -1.070 -0.033  -1.070 -0.195  -1.005 -0.331  -0.938 -0.465  -0.938 -0.628  -0.938 -0.790  -0.807 -0.763  -0.747 -0.661  -0.675 -0.570  -0.554 -0.529  -0.529 -0.383  -0.414 -0.268  -0.384 -0.134  -0.281 -0.076  -0.281 0.087  -0.160 0.129  -0.129 0.260  -0.017 0.311  0.064 0.392  0.114 0.280  0.122 0.121  0.237 0.006  0.246 -0.153  0.246 -0.315  0.326 -0.397  0.377 -0.508  0.519 -0.529  0.640 -0.570  0.712 -0.661  0.772 -0.558  0.903 -0.527  0.936 -0.397  1.035 -0.334  1.035 -0.171  1.035 -0.009  1.052 0.146  1.167 0.261  1.167 0.424  1.167 0.586  1.167 0.749  1.254 0.875  1.298 1.019  1.298 1.181
3#apa#apa01#app0118/x  -1.276 0.973  -1.106 0.931  -1.021 0.803  -0.935 0.676  -0.815 0.513  -0.765 0.321  -0.595 0.278  -0.595 0.065  -0.496 -0.049  -0.424 -0.190  -0.254 -0.232  -0.198 -0.389  -0.014 -0.459  0.157 -0.560  0.337 -0.639  0.512 -0.730  0.598 -0.857  0.767 -0.900  0.938 -0.942  1.023 -1.071  1.082 -0.947  1.038 -0.739  0.993 -0.531  0.948 -0.323  0.904 -0.114  0.859 0.094  0.815 0.302  0.770 0.510  0.726 0.718  0.681 0.926  0.636 1.134  0.598 1.285  0.527 1.144  0.427 1.030  0.271 0.973  0.237 0.783  0.087 0.633  -0.064 0.482  -0.084 0.277  -0.141 0.122  -0.254 0.022  -0.396 -0.049  -0.438 -0.219  -0.595 -0.276  -0.694 -0.389  -0.765 -0.531  -0.895 -0.690  -0.935 -0.886  -1.076 -1.041  -1.106 -1.241
3#apa#apa01#app0118/y  -0.965 1.207  -0.819 1.175  -0.755 1.061  -0.673 0.965  -0.673 0.787  -0.527 0.755  -0.527 0.576  -0.471 0.421  -0.381 0.281  -0.381 0.102  -0.266 0.039  -0.234 -0.108  -0.202 -0.253  -0.023 -0.253  0.058 -0.350  0.187 -0.399  0.259 -0.248  0.320 -0.080  0.381 0.087  0.442 0.255  0.502 0.422  0.563 0.590  0.624 0.757  0.685 0.924  0.746 1.092  0.788 1.152  0.701 1.061  0.642 0.942  0.636 0.769  0.496 0.731  0.496 0.553  0.394 0.477  0.350 0.343  0.232 0.213  0.204 0.047  0.180 -0.107  0.058 -0.163  0.058 -0.341  0.058 -0.520  -0.088 -0.552  -0.116 -0.719  -0.234 -0.848  -0.234 -1.026  -0.234 -1.204  -0.234 -1.382  -0.332 -1.520  -0.381 -1.678  -0.381 -1.856  -0.401 -2.026  -0.527 -2.152
3#apa#apa01#app0118/z  -0.877 1.459  -0.877 1.315  -0.738 1.309  -0.632 1.215  -0.511 1.158  -0.366 1.158  -0.237 1.121  -0.135 1.018  0.006 1.007  0.150 1.007  0.295 1.007  0.440 1.007  0.479 0.902  0.479 0.757  0.479 0.612  0.392 0.555  0.329 0.474  0.253 0.405  0.178 0.335  0.114 0.254  0.027 0.196  -0.025 0.103  -0.156 0.071  -0.258 -0.032  -0.274 -0.170  -0.391 -0.198  -0.425 -0.309  -0.529 -0.349  -0.576 -0.448  -0.668 -0.500  -0.726 -0.587  -0.807 -0.650  -0.802 -0.650  -0.657 -0.650  -0.512 -0.650  -0.368 -0.650  -0.238 -0.687  -0.136 -0.789  0.004 -0.801  0.149 -0.801  0.294 -0.801  0.438 -0.801  0.479 -0.905  0.577 -0.952  0.722 -0.952  0.867 -0.952  1.012 -0.952  1.135 -1.004  1.239 -1.102  1.383 -1.102
