2#apa#apa03#app0326/T  0.095 0.873  0.230 0.849  0.230 0.689  0.230 0.530  0.230 0.371  0.230 0.212  0.230 0.053  0.230 -0.107  0.230 -0.266  0.230 -0.425  0.230 -0.584  0.136 -0.704  0.095 -0.847  0.095 -1.006  0.095 -1.165  0.067 -1.313  -0.040 -1.428  -0.056 -1.526  -0.135 -1.388  -0.214 -1.250  -0.293 -1.112  -0.372 -0.973  -0.451 -0.835  -0.530 -0.697  -0.609 -0.559  -0.688 -0.420  -0.767 -0.282  -0.846 -0.144  -0.925 -0.006  -1.004 0.132  -1.083 0.271  -1.032 0.334  -0.905 0.412  -0.770 0.468  -0.610 0.468  -0.451 0.468  -0.294 0.476  -0.151 0.548  -0.005 0.603  0.137 0.645  0.257 0.738  0.416 0.738  0.576 0.738  0.705 0.809  0.838 0.873  0.997 0.873  1.157 0.873  1.274 0.973  1.419 1.008  1.578 1.008
2#apa#apa03#app0326/d  0.045 2.158  0.152 2.052  0.182 1.914  0.182 1.763  0.182 1.613  0.192 1.467  0.298 1.361  0.318 1.218  0.318 1.068  0.318 0.918  0.318 0.767  0.318 0.617  0.318 0.466  0.318 0.316  0.318 0.166  0.318 0.015  0.318 -0.135  0.318 -0.285  0.323 -0.433  0.430 -0.540  0.454 -0.680  0.454 -0.830  0.454 -0.691  0.437 -0.547  0.331 -0.441  0.318 -0.296  0.182 -0.282  0.165 -0.138  0.058 -0.032  -0.087 -0.019  -0.237 -0.019  -0.388 -0.019  -0.526 -0.047  -0.633 -0.153  -0.739 -0.259  -0.771 -0.397  -0.891 -0.427  -0.907 -0.561  -0.907 -0.712  -0.888 -0.854  -0.782 -0.961  -0.636 -0.972  -0.486 -0.972  -0.336 -0.972  -0.185 -0.972  -0.035 -0.972  0.095 -0.922  0.209 -0.836  0.347 -0.806  0.454 -0.700
2#apa#apa03#app0326/p  -0.478 0.739  -0.478 0.564  -0.478 0.388  -0.478 0.212  -0.478 0.037  -0.429 -0.127  -0.351 -0.284  -0.350 -0.460  -0.350 -0.636  -0.350 -0.811  -0.394 -0.969  -0.478 -1.109  -0.478 -1.285  -0.478 -1.461  -0.478 -1.636  -0.478 -1.576  -0.478 -1.400  -0.478 -1.225  -0.478 -1.049  -0.478 -0.873  -0.478 -0.698  -0.478 -0.522  -0.478 -0.347  -0.478 -0.171  -0.478 0.005  -0.421 0.156  -0.350 0.303  -0.263 0.442  -0.222 0.601  -0.196 0.766  -0.062 0.867  0.034 0.947  0.161 0.995  0.285 1.119  0.459 1.123  0.635 1.123  0.810 1.123  0.986 1.123  1.131 1.050  1.186 0.897  1.174 0.727  1.058 0.599  1.032 0.430  0.953 0.273  0.806 0.227  0.681 0.105  0.519 0.072  0.418 -0.062  0.338 -0.157  0.162 -0.157
2#apa#apa03#app0326/o  0.374 1.133  0.287 1.220  0.199 1.308  0.112 1.390  0.024 1.303  -0.063 1.216  -0.150 1.128  -0.238 1.041  -0.325 0.953  -0.416 0.873  -0.539 0.873  -0.663 0.873  -0.665 0.752  -0.665 0.628  -0.665 0.505  -0.665 0.381  -0.665 0.257  -0.665 0.134  -0.665 0.010  -0.665 -0.113  -0.665 -0.237  -0.665 -0.361  -0.665 -0.484  -0.665 -0.608  -0.633 -0.718  -0.545 -0.805  -0.458 -0.893  -0.371 -0.980  -0.283 -1.068  -0.196 -1.155  -0.093 -1.205  0.031 -1.205  0.143 -1.177  0.230 -1.089  0.317 -1.002  0.405 -0.915  0.492 -0.827  0.580 -0.740  0.634 -0.639  0.634 -0.515  0.658 -0.402  0.746 -0.314  0.833 -0.227  0.894 -0.128  0.894 -0.005  0.894 0.119  0.894 0.243  0.894 0.366  0.894 0.490  0.894 0.613
2#apa#apa03#app0326/s  0.432 1.329  0.319 1.329  0.207 1.329  0.094 1.329  -0.018 1.329  -0.131 1.329  -0.157 1.243  -0.159 1.133  -0.272 1.133  -0.354 1.102  -0.354 0.990  -0.413 0.936  -0.525 0.936  -0.550 0.849  -0.550 0.736  -0.550 0.624  -0.550 0.511  -0.550 0.399  -0.489 0.347  -0.377 0.347  -0.354 0.258  -0.348 0.151  -0.236 0.151  -0.157 0.117  -0.157 0.004  -0.095 -0.045  0.018 -0.045  0.039 -0.137  0.046 -0.242  0.159 -0.242  0.235 -0.278  0.235 -0.390  0.300 -0.438  0.412 -0.438  0.497 -0.504  0.577 -0.583  0.628 -0.675  0.628 -0.787  0.628 -0.900  0.628 -1.012  0.559 -1.096  0.480 -1.176  0.392 -1.244  0.291 -1.294  0.191 -1.344  0.090 -1.395  -0.016 -1.420  -0.129 -1.420  -0.241 -1.420  -0.354 -1.420
2#apa#apa03#app0326/e  -0.452 -0.529  -0.281 -0.529  -0.110 -0.529  0.062 -0.529  0.233 -0.529  0.403 -0.528  0.403 -0.357  0.532 -0.315  0.704 -0.315  0.830 -0.271  0.830 -0.100  0.830 0.072  0.830 0.243  0.830 0.414  0.830 0.585  0.830 0.756  0.830 0.928  0.699 0.967  0.617 1.056  0.570 1.181  0.399 1.181  0.228 1.181  0.057 1.181  -0.025 1.091  -0.072 0.967  -0.243 0.967  -0.414 0.967  -0.452 0.834  -0.543 0.754  -0.666 0.705  -0.671 0.540  -0.843 0.540  -0.880 0.406  -0.880 0.234  -0.880 0.063  -0.880 -0.108  -0.880 -0.279  -0.784 -0.411  -0.666 -0.533  -0.666 -0.704  -0.533 -0.743  -0.452 -0.833  -0.405 -0.956  -0.235 -0.960  -0.114 -1.081  0.007 -1.202  0.128 -1.323  0.274 -1.384  0.445 -1.384  0.617 -1.384
2#apa#apa03#app0326/d  0.300 1.971  0.453 1.966  0.453 1.809  0.453 1.651  0.453 1.494  0.453 1.337  0.453 1.180  0.453 1.022  0.453 0.865  0.453 0.708  0.453 0.551  0.453 0.393  0.453 0.236  0.453 0.079  0.453 -0.079  0.453 -0.236  0.453 -0.393  0.453 -0.550  0.453 -0.708  0.453 -0.865  0.453 -0.837  0.453 -0.680  0.453 -0.523  0.453 -0.365  0.375 -0.241  0.263 -0.129  0.152 -0.018  0.041 0.093  -0.097 0.139  -0.255 0.139  -0.412 0.139  -0.569 0.139  -0.726 0.139  -0.884 0.139  -1.006 0.054  -1.073 -0.075  -1.073 -0.233  -1.073 -0.390  -1.073 -0.547  -0.993 -0.624  -0.861 -0.684  -0.742 -0.777  -0.594 -0.799  -0.482 -0.910  -0.333 -0.930  -0.176 -0.930  -0.019 -0.930  0.139 -0.930  0.296 -0.930  0.453 -0.930
2#apa#apa03#app0326/a  0.350 0.366  0.350 0.543  0.350 0.719  0.202 0.748  0.025 0.748  -0.032 0.867  -0.137 0.939  -0.314 0.939  -0.491 0.939  -0.650 0.896  -0.775 0.771  -0.942 0.748  -0.988 0.618  -0.988 0.441  -1.061 0.294  -1.180 0.166  -1.180 -0.011  -1.180 -0.188  -1.180 -0.364  -1.079 -0.500  -0.988 -0.639  -0.955 -0.782  -0.797 -0.801  -0.792 -0.973  -0.615 -0.973  -0.438 -0.973  -0.261 -0.973  -0.085 -0.973  0.056 -0.885  0.181 -0.760  0.306 -0.635  0.350 -0.476  0.421 -0.329  0.542 -0.202  0.542 -0.025  0.661 0.102  0.733 0.249  0.733 0.426  0.765 0.590  0.891 0.715  0.924 0.619  0.924 0.442  0.924 0.265  0.924 0.088  0.924 -0.089  0.924 -0.266  0.924 -0.443  0.953 -0.591  1.115 -0.605  1.115 -0.782
2#apa#apa03#app0326/l  0.182 1.684  0.182 1.612  0.182 1.541  0.182 1.469  0.182 1.397  0.182 1.325  0.169 1.259  0.118 1.208  0.067 1.157  0.045 1.095  0.045 1.023  0.045 0.951  0.045 0.879  0.045 0.807  0.045 0.736  0.045 0.664  0.045 0.592  0.045 0.520  0.045 0.448  0.045 0.377  0.042 0.306  0.010 0.241  -0.022 0.177  -0.054 0.113  -0.087 0.049  -0.092 -0.022  -0.092 -0.094  -0.092 -0.166  -0.092 -0.237  -0.092 -0.309  -0.092 -0.381  -0.092 -0.453  -0.092 -0.525  -0.092 -0.597  -0.092 -0.668  -0.092 -0.740  -0.092 -0.812  -0.092 -0.884  -0.092 -0.956  -0.092 -1.027  -0.092 -1.099  -0.092 -1.171  -0.092 -1.243  -0.092 -1.315  -0.092 -1.387  -0.092 -1.458  -0.033 -1.471  0.039 -1.471  0.045 -1.537  0.045 -1.608
2#apa#apa03#app0326/o  0.424 1.236  0.424 1.368  0.378 1.454  0.246 1.454  0.115 1.454  -0.011 1.448  -0.011 1.316  -0.048 1.200  -0.141 1.107  -0.234 1.014  -0.327 0.921  -0.420 0.828  -0.446 0.707  -0.452 0.578  -0.545 0.485  -0.638 0.392  -0.664 0.271  -0.664 0.139  -0.664 0.007  -0.664 -0.124  -0.664 -0.256  -0.664 -0.387  -0.664 -0.519  -0.664 -0.651  -0.602 -0.721  -0.470 -0.721  -0.446 -0.828  -0.431 -0.953  -0.338 -1.046  -0.245 -1.139  -0.120 -1.156  0.012 -1.156  0.143 -1.156  0.275 -1.156  0.407 -1.156  0.424 -1.041  0.424 -0.909  0.424 -0.778  0.498 -0.721  0.630 -0.721  0.641 -0.601  0.641 -0.469  0.641 -0.337  0.641 -0.206  0.641 -0.074  0.641 0.058  0.641 0.189  0.641 0.321  0.641 0.452  0.641 0.584
2#apa#apa03#app0326/n  -0.805 1.571  -0.805 1.416  -0.719 1.295  -0.614 1.183  -0.614 1.028  -0.614 0.872  -0.614 0.716  -0.639 0.566  -0.708 0.427  -0.778 0.288  -0.805 0.138  -0.805 -0.018  -0.805 -0.173  -0.805 -0.329  -0.805 -0.485  -0.805 -0.641  -0.751 -0.774  -0.641 -0.884  -0.614 -1.029  -0.555 -1.044  -0.445 -0.934  -0.335 -0.823  -0.232 -0.710  -0.232 -0.555  -0.140 -0.437  -0.041 -0.322  -0.041 -0.167  0.056 -0.051  0.150 0.066  0.150 0.222  0.251 0.336  0.361 0.446  0.471 0.556  0.532 0.686  0.567 0.808  0.722 0.808  0.723 0.653  0.808 0.532  0.914 0.420  0.914 0.265  0.914 0.109  0.914 -0.047  0.914 -0.203  0.914 -0.358  0.914 -0.514  0.914 -0.670  0.914 -0.826  0.914 -0.981  0.914 -1.137  0.914 -1.293
2#apa#apa03#app0326/g  0.317 1.615  0.217 1.520  0.082 1.380  -0.030 1.223  -0.158 1.114  -0.184 0.945  -0.284 0.791  -0.368 0.630  -0.384 0.442  -0.337 0.266  -0.184 0.233  -0.084 0.328  -0.006 0.491  0.116 0.636  0.129 0.826  0.249 0.978  0.317 1.157  0.317 1.276  0.222 1.120  0.217 0.927  0.116 0.773  0.116 0.578  0.116 0.382  0.116 0.187  0.116 -0.008  0.116 -0.204  0.116 -0.399  0.116 -0.595  0.116 -0.790  0.116 -0.985  0.116 -1.181  -0.004 -1.330  -0.084 -1.506  -0.184 -1.602  -0.291 -1.690  -0.484 -1.688  -0.582 -1.590  -0.585 -1.397  -0.585 -1.202  -0.484 -1.048  -0.388 -0.893  -0.279 -0.731  -0.167 -0.571  -0.029 -0.433  0.110 -0.295  0.248 -0.157  0.386 -0.018  0.517 0.064  0.622 0.213  0.818 0.213
2#apa#apa03#app0326/s  0.461 0.676  0.461 0.805  0.461 0.935  0.461 1.064  0.461 1.194  0.356 1.219  0.226 1.219  0.097 1.219  -0.032 1.219  -0.162 1.219  -0.283 1.199  -0.375 1.107  -0.444 1.006  -0.444 0.877  -0.553 0.857  -0.666 0.816  -0.757 0.724  -0.806 0.615  -0.806 0.485  -0.806 0.356  -0.743 0.252  -0.652 0.160  -0.560 0.069  -0.469 -0.023  -0.350 -0.048  -0.220 -0.048  -0.091 -0.048  -0.082 -0.168  -0.013 -0.228  0.117 -0.228  0.246 -0.228  0.280 -0.324  0.324 -0.409  0.454 -0.409  0.461 -0.532  0.532 -0.590  0.641 -0.610  0.641 -0.739  0.641 -0.869  0.595 -0.952  0.466 -0.952  0.461 -1.076  0.409 -1.184  0.317 -1.276  0.204 -1.314  0.074 -1.314  -0.055 -1.314  -0.082 -1.417  -0.133 -1.495  -0.263 -1.495
2#apa#apa03#app0326/i  -0.135 0.141  -0.135 0.032  -0.135 -0.077  -0.135 -0.187  -0.135 -0.296  -0.142 -0.402  -0.219 -0.479  -0.297 -0.557  -0.314 -0.659  -0.314 -0.768  -0.314 -0.877  -0.275 -0.970  -0.198 -1.047  -0.135 -1.131  -0.135 -1.240  -0.135 -1.349  -0.135 -1.458  -0.123 -1.368  -0.111 -1.259  -0.098 -1.151  -0.085 -1.042  -0.072 -0.934  -0.060 -0.825  -0.047 -0.717  -0.034 -0.609  -0.021 -0.500  -0.009 -0.392  0.004 -0.283  0.017 -0.175  0.030 -0.066  0.042 0.042  0.055 0.151  0.068 0.259  0.081 0.367  0.093 0.476  0.106 0.584  0.119 0.693  0.132 0.801  0.144 0.910  0.157 1.018  0.170 1.127  0.183 1.235  0.195 1.344  0.208 1.452  0.221 1.560  0.321 1.570  0.401 1.600  0.401 1.709  0.401 1.818  0.401 1.928
2#apa#apa03#app0326/d  0.302 2.046  0.319 1.911  0.436 1.876  0.436 1.724  0.436 1.572  0.436 1.420  0.436 1.268  0.436 1.116  0.436 0.964  0.436 0.812  0.436 0.660  0.436 0.508  0.436 0.356  0.436 0.204  0.436 0.052  0.436 -0.100  0.436 -0.252  0.436 -0.405  0.436 -0.557  0.436 -0.709  0.359 -0.783  0.302 -0.878  0.302 -0.805  0.302 -0.653  0.293 -0.505  0.185 -0.397  0.167 -0.253  0.065 -0.143  -0.042 -0.035  -0.169 0.025  -0.297 0.085  -0.417 0.160  -0.570 0.160  -0.722 0.160  -0.776 0.062  -0.891 0.025  -0.911 -0.107  -0.911 -0.259  -0.911 -0.411  -0.911 -0.563  -0.863 -0.696  -0.756 -0.803  -0.648 -0.911  -0.499 -0.918  -0.354 -0.935  -0.247 -1.043  -0.099 -1.052  0.053 -1.052  0.194 -1.025  0.302 -0.918
2#apa#apa03#app0326/e  -0.134 -0.375  0.012 -0.375  0.158 -0.375  0.305 -0.375  0.445 -0.361  0.548 -0.258  0.619 -0.141  0.624 0.001  0.770 0.001  0.807 0.110  0.807 0.256  0.807 0.403  0.807 0.549  0.807 0.695  0.720 0.754  0.619 0.799  0.616 0.942  0.469 0.942  0.431 1.050  0.365 1.131  0.219 1.131  0.073 1.131  -0.074 1.131  -0.134 1.045  -0.178 0.942  -0.324 0.942  -0.470 0.942  -0.511 0.836  -0.556 0.709  -0.659 0.605  -0.699 0.475  -0.699 0.329  -0.699 0.183  -0.699 0.037  -0.699 -0.110  -0.699 -0.256  -0.699 -0.402  -0.699 -0.548  -0.699 -0.695  -0.636 -0.815  -0.533 -0.918  -0.429 -1.022  -0.326 -1.125  -0.322 -1.270  -0.223 -1.317  -0.093 -1.358  0.010 -1.461  0.138 -1.505  0.284 -1.505  0.431 -1.505
2#apa#apa03#app0326/a  0.203 0.700  0.203 0.870  0.043 0.880  0.023 1.031  -0.076 1.160  -0.213 1.241  -0.383 1.241  -0.554 1.241  -0.698 1.214  -0.714 1.061  -0.878 1.054  -0.878 0.884  -0.878 0.713  -0.878 0.543  -0.878 0.373  -0.878 0.203  -0.878 0.032  -0.878 -0.138  -0.878 -0.308  -0.878 -0.479  -0.790 -0.561  -0.698 -0.639  -0.630 -0.742  -0.459 -0.742  -0.289 -0.742  -0.119 -0.742  0.023 -0.713  0.042 -0.561  0.203 -0.553  0.203 -0.383  0.323 -0.262  0.384 -0.117  0.384 0.054  0.384 0.224  0.384 0.394  0.384 0.475  0.384 0.305  0.384 0.135  0.390 -0.034  0.466 -0.186  0.543 -0.339  0.564 -0.504  0.677 -0.561  0.817 -0.634  0.924 -0.760  0.933 -0.922  1.103 -0.922  1.224 -1.041  1.344 -1.162  1.465 -1.282
