3#apb#apb25#app2570/a  0.547 -0.184  0.572 -0.045  0.611 0.128  0.645 0.304  0.693 0.476  0.652 0.649  0.607 0.822  0.556 0.993  0.476 1.154  0.340 1.270  0.187 1.362  0.013 1.384  -0.156 1.343  -0.315 1.260  -0.468 1.168  -0.585 1.038  -0.682 0.887  -0.768 0.731  -0.832 0.564  -0.883 0.393  -0.914 0.216  -0.946 0.040  -0.957 -0.139  -0.969 -0.317  -0.947 -0.495  -0.922 -0.672  -0.855 -0.838  -0.778 -0.998  -0.651 -1.125  -0.490 -1.193  -0.319 -1.210  -0.149 -1.153  -0.014 -1.036  0.102 -0.901  0.200 -0.752  0.271 -0.587  0.291 -0.409  0.298 -0.231  0.298 -0.051  0.298 0.128  0.283 0.299  0.338 0.164  0.392 -0.007  0.443 -0.178  0.495 -0.350  0.574 -0.511  0.662 -0.666  0.776 -0.802  0.914 -0.916  1.069 -1.004
3#apb#apb25#app2570/l  -0.625 1.410  -0.564 1.457  -0.504 1.505  -0.440 1.484  -0.416 1.411  -0.391 1.338  -0.381 1.262  -0.371 1.185  -0.361 1.108  -0.352 1.032  -0.342 0.955  -0.333 0.878  -0.323 0.802  -0.313 0.725  -0.304 0.648  -0.294 0.572  -0.285 0.495  -0.279 0.418  -0.274 0.341  -0.268 0.264  -0.263 0.187  -0.256 0.110  -0.246 0.034  -0.236 -0.043  -0.226 -0.119  -0.215 -0.196  -0.205 -0.273  -0.191 -0.349  -0.177 -0.425  -0.164 -0.501  -0.139 -0.571  -0.085 -0.626  -0.030 -0.680  0.024 -0.735  0.079 -0.790  0.140 -0.836  0.207 -0.873  0.275 -0.910  0.343 -0.947  0.412 -0.977  0.490 -0.977  0.567 -0.977  0.644 -0.977  0.721 -0.977  0.799 -0.977  0.876 -0.977  0.953 -0.977  1.030 -0.977  1.108 -0.977  1.185 -0.977
3#apb#apb25#app2570/m  -0.934 0.321  -0.893 0.510  -0.949 0.501  -0.971 0.306  -0.960 0.113  -0.930 -0.080  -0.901 -0.274  -0.871 -0.467  -0.836 -0.658  -0.762 -0.840  -0.744 -0.869  -0.778 -0.678  -0.782 -0.483  -0.823 -0.292  -0.845 -0.099  -0.845 0.096  -0.828 0.290  -0.775 0.477  -0.728 0.667  -0.636 0.834  -0.474 0.912  -0.301 0.830  -0.158 0.697  -0.044 0.539  0.058 0.373  0.144 0.198  0.191 0.008  0.230 -0.183  0.244 -0.377  0.220 -0.571  0.147 -0.715  0.043 -0.563  0.024 -0.368  0.024 -0.173  0.071 0.016  0.134 0.200  0.232 0.369  0.378 0.487  0.558 0.563  0.732 0.525  0.901 0.428  1.076 0.341  1.229 0.224  1.361 0.080  1.463 -0.085  1.551 -0.260  1.627 -0.440  1.695 -0.623  1.739 -0.812  1.695 -0.994
3#apb#apb25#app2570/n  -0.914 0.518  -0.867 0.560  -0.877 0.434  -0.882 0.309  -0.857 0.185  -0.831 0.061  -0.802 -0.063  -0.773 -0.187  -0.743 -0.310  -0.712 -0.433  -0.664 -0.550  -0.608 -0.663  -0.567 -0.784  -0.536 -0.850  -0.556 -0.726  -0.595 -0.605  -0.657 -0.495  -0.701 -0.382  -0.749 -0.302  -0.760 -0.227  -0.792 -0.109  -0.796 0.018  -0.771 0.142  -0.714 0.255  -0.640 0.358  -0.543 0.436  -0.432 0.497  -0.313 0.541  -0.193 0.584  -0.068 0.598  0.059 0.608  0.185 0.606  0.312 0.596  0.437 0.581  0.560 0.549  0.683 0.516  0.799 0.470  0.904 0.398  1.008 0.326  1.105 0.245  1.190 0.151  1.275 0.056  1.318 -0.061  1.355 -0.183  1.393 -0.304  1.434 -0.424  1.474 -0.544  1.474 -0.671  1.474 -0.798  1.474 -0.925
3#apb#apb25#app2570/o  -0.413 0.250  -0.338 0.363  -0.263 0.476  -0.191 0.591  -0.146 0.718  -0.104 0.846  -0.122 0.962  -0.252 0.930  -0.368 0.859  -0.483 0.788  -0.589 0.703  -0.689 0.612  -0.789 0.520  -0.854 0.401  -0.917 0.281  -0.981 0.161  -1.018 0.031  -1.049 -0.101  -1.080 -0.233  -1.041 -0.362  -0.998 -0.491  -0.934 -0.606  -0.832 -0.695  -0.729 -0.784  -0.624 -0.866  -0.489 -0.884  -0.355 -0.903  -0.220 -0.921  -0.086 -0.921  0.048 -0.899  0.182 -0.877  0.316 -0.854  0.439 -0.807  0.550 -0.729  0.661 -0.650  0.772 -0.572  0.875 -0.484  0.979 -0.396  1.070 -0.300  1.120 -0.174  1.171 -0.048  1.182 0.084  1.165 0.218  1.148 0.353  1.085 0.472  1.018 0.591  0.952 0.709  0.848 0.795  0.741 0.879  0.634 0.963
3#apb#apb25#app2570/p  -0.044 0.636  -0.070 0.470  -0.074 0.267  -0.064 0.064  -0.042 -0.138  -0.016 -0.340  -0.009 -0.543  -0.008 -0.746  0.013 -0.949  0.049 -1.148  0.110 -1.342  0.187 -1.530  0.173 -1.459  0.079 -1.278  -0.015 -1.098  -0.108 -0.917  -0.202 -0.737  -0.296 -0.557  -0.390 -0.376  -0.484 -0.196  -0.578 -0.015  -0.671 0.165  -0.765 0.345  -0.859 0.526  -0.953 0.706  -1.047 0.887  -1.105 1.065  -0.971 1.213  -0.771 1.246  -0.567 1.246  -0.365 1.236  -0.166 1.193  0.030 1.141  0.214 1.056  0.399 0.971  0.569 0.860  0.739 0.747  0.890 0.614  1.021 0.459  1.123 0.289  1.169 0.091  1.103 -0.095  0.998 -0.264  0.832 -0.381  0.652 -0.469  0.455 -0.522  0.259 -0.572  0.059 -0.609  -0.141 -0.627  -0.340 -0.585
3#apb#apb25#app2570/q  -0.058 0.763  0.012 0.911  0.032 1.071  -0.022 1.216  -0.122 1.347  -0.275 1.391  -0.435 1.372  -0.570 1.288  -0.669 1.156  -0.748 1.012  -0.782 0.853  -0.752 0.698  -0.665 0.562  -0.527 0.483  -0.368 0.487  -0.220 0.552  -0.092 0.654  0.005 0.782  0.032 0.941  0.007 0.872  -0.027 0.711  -0.019 0.547  -0.003 0.384  0.022 0.222  0.041 0.059  0.055 -0.105  0.072 -0.268  0.091 -0.432  0.107 -0.595  0.114 -0.759  0.120 -0.923  0.127 -1.087  0.135 -1.252  0.159 -1.414  0.185 -1.576  0.241 -1.721  0.375 -1.661  0.482 -1.537  0.531 -1.380  0.560 -1.218  0.584 -1.056  0.556 -0.895  0.525 -0.733  0.478 -0.577  0.417 -0.424  0.349 -0.277  0.211 -0.188  0.073 -0.098  -0.089 -0.083  -0.253 -0.075
3#apb#apb25#app2570/r  -0.462 0.718  -0.434 0.860  -0.360 0.960  -0.296 0.956  -0.221 0.831  -0.198 0.692  -0.198 0.547  -0.198 0.402  -0.160 0.263  -0.114 0.126  -0.068 -0.012  -0.033 -0.153  -0.007 -0.295  0.019 -0.438  0.046 -0.581  0.075 -0.723  0.103 -0.865  0.127 -1.009  0.141 -1.153  0.141 -1.298  0.131 -1.436  0.043 -1.538  -0.027 -1.500  -0.152 -1.443  -0.267 -1.362  -0.348 -1.244  -0.413 -1.114  -0.436 -0.972  -0.451 -0.828  -0.456 -0.684  -0.427 -0.542  -0.399 -0.399  -0.362 -0.259  -0.319 -0.121  -0.275 0.018  -0.232 0.156  -0.180 0.291  -0.096 0.409  -0.011 0.527  0.073 0.645  0.157 0.763  0.261 0.863  0.371 0.958  0.481 1.052  0.592 1.147  0.702 1.241  0.834 1.300  0.968 1.357  1.101 1.414  1.234 1.472
3#apb#apb25#app2570/s  0.124 0.918  0.115 1.041  -0.005 1.066  -0.132 1.028  -0.258 0.978  -0.391 0.954  -0.515 0.908  -0.627 0.831  -0.743 0.763  -0.867 0.707  -0.970 0.624  -1.060 0.522  -1.136 0.410  -1.195 0.290  -1.151 0.173  -1.015 0.175  -0.882 0.199  -0.748 0.219  -0.613 0.229  -0.478 0.240  -0.344 0.261  -0.210 0.282  -0.076 0.301  0.059 0.301  0.195 0.301  0.331 0.301  0.462 0.272  0.593 0.236  0.723 0.199  0.846 0.142  0.967 0.081  1.078 0.005  1.164 -0.087  1.153 -0.222  1.134 -0.355  1.064 -0.471  0.994 -0.587  0.909 -0.689  0.802 -0.772  0.694 -0.854  0.585 -0.935  0.459 -0.983  0.332 -1.031  0.205 -1.080  0.075 -1.112  -0.060 -1.130  -0.194 -1.149  -0.328 -1.166  -0.464 -1.166  -0.599 -1.166
3#apb#apb25#app2570/t  -0.242 1.601  -0.217 1.775  -0.186 1.608  -0.114 1.445  -0.069 1.272  -0.024 1.100  0.029 0.930  0.106 0.770  0.183 0.609  0.260 0.448  0.326 0.282  0.385 0.114  0.444 -0.054  0.501 -0.223  0.557 -0.392  0.614 -0.561  0.676 -0.728  0.745 -0.893  0.812 -1.058  0.873 -1.225  0.851 -1.332  0.695 -1.247  0.545 -1.150  0.395 -1.053  0.246 -0.956  0.096 -0.859  -0.054 -0.762  -0.203 -0.665  -0.353 -0.568  -0.503 -0.472  -0.652 -0.375  -0.802 -0.278  -0.952 -0.181  -1.102 -0.084  -1.251 0.013  -1.401 0.110  -1.242 0.180  -1.066 0.204  -0.888 0.222  -0.711 0.236  -0.533 0.228  -0.355 0.221  -0.176 0.214  0.002 0.212  0.180 0.212  0.358 0.212  0.537 0.213  0.715 0.221  0.893 0.229  1.071 0.237
3#apb#apb25#app2570/u  -1.151 1.014  -1.074 1.029  -1.078 0.937  -1.091 0.845  -1.094 0.753  -1.075 0.662  -1.057 0.571  -1.034 0.481  -1.007 0.392  -0.979 0.303  -0.952 0.214  -0.911 0.131  -0.867 0.049  -0.823 -0.033  -0.779 -0.114  -0.725 -0.190  -0.669 -0.264  -0.612 -0.337  -0.555 -0.411  -0.491 -0.476  -0.407 -0.515  -0.323 -0.554  -0.238 -0.593  -0.152 -0.628  -0.064 -0.655  0.025 -0.682  0.114 -0.710  0.204 -0.711  0.296 -0.695  0.387 -0.678  0.475 -0.650  0.560 -0.611  0.644 -0.573  0.723 -0.527  0.776 -0.451  0.829 -0.374  0.882 -0.298  0.911 -0.211  0.935 -0.121  0.959 -0.031  0.982 0.059  1.002 0.150  1.018 0.241  1.034 0.333  1.050 0.424  1.066 0.516  1.074 0.608  1.081 0.701  1.088 0.794  1.094 0.886
3#apb#apb25#app2570/v  -1.000 0.666  -0.981 0.781  -1.000 0.891  -1.025 0.843  -1.019 0.728  -0.976 0.620  -0.933 0.512  -0.883 0.407  -0.831 0.303  -0.779 0.199  -0.723 0.097  -0.662 -0.001  -0.600 -0.100  -0.538 -0.198  -0.479 -0.298  -0.424 -0.401  -0.369 -0.503  -0.314 -0.606  -0.263 -0.710  -0.214 -0.816  -0.166 -0.921  -0.118 -1.027  -0.070 -1.133  -0.022 -1.239  0.033 -1.278  0.091 -1.178  0.122 -1.065  0.152 -0.953  0.185 -0.842  0.220 -0.731  0.255 -0.620  0.290 -0.509  0.327 -0.399  0.372 -0.292  0.417 -0.185  0.462 -0.077  0.506 0.030  0.551 0.137  0.597 0.244  0.644 0.350  0.691 0.457  0.737 0.563  0.784 0.670  0.831 0.776  0.881 0.881  0.933 0.985  0.985 1.089  1.037 1.193  1.105 1.286  1.179 1.376
3#apb#apb25#app2570/w  -1.012 0.745  -1.147 0.783  -1.245 0.827  -1.288 0.736  -1.271 0.596  -1.218 0.467  -1.160 0.339  -1.102 0.212  -1.043 0.084  -0.981 -0.042  -0.918 -0.167  -0.864 -0.297  -0.810 -0.426  -0.743 -0.549  -0.669 -0.669  -0.541 -0.660  -0.438 -0.566  -0.354 -0.456  -0.320 -0.320  -0.284 -0.184  -0.247 -0.049  -0.207 0.086  -0.165 0.220  -0.102 0.345  -0.054 0.424  -0.075 0.287  -0.092 0.147  -0.089 0.009  -0.061 -0.129  -0.034 -0.266  -0.005 -0.403  0.077 -0.518  0.192 -0.580  0.330 -0.607  0.467 -0.585  0.605 -0.558  0.738 -0.518  0.864 -0.455  0.989 -0.392  1.102 -0.310  1.211 -0.221  1.309 -0.122  1.391 -0.008  1.395 0.131  1.395 0.271  1.380 0.411  1.362 0.550  1.326 0.682  1.244 0.795  1.161 0.909
3#apb#apb25#app2570/x  1.458 0.958  1.350 0.970  1.218 0.838  1.086 0.706  0.954 0.574  0.840 0.426  0.727 0.277  0.613 0.129  0.485 -0.006  0.345 -0.130  0.206 -0.254  0.066 -0.378  -0.077 -0.498  -0.222 -0.615  -0.367 -0.733  -0.504 -0.860  -0.629 -0.999  -0.753 -1.139  -0.874 -1.281  -0.974 -1.321  -0.927 -1.140  -0.881 -0.960  -0.834 -0.779  -0.787 -0.598  -0.741 -0.417  -0.694 -0.236  -0.647 -0.055  -0.600 0.126  -0.554 0.307  -0.507 0.488  -0.460 0.668  -0.414 0.849  -0.367 1.030  -0.320 1.211  -0.274 1.392  -0.270 1.232  -0.270 1.045  -0.214 0.869  -0.149 0.694  -0.081 0.520  0.003 0.353  0.086 0.186  0.170 0.019  0.272 -0.137  0.389 -0.283  0.505 -0.428  0.649 -0.540  0.819 -0.616  0.990 -0.693  1.160 -0.770
3#apb#apb25#app2570/y  -0.697 1.044  -0.787 0.924  -0.877 0.805  -0.914 0.658  -0.935 0.510  -0.926 0.360  -0.917 0.209  -0.878 0.064  -0.834 -0.081  -0.755 -0.209  -0.651 -0.305  -0.503 -0.334  -0.354 -0.317  -0.211 -0.279  -0.087 -0.193  0.038 -0.107  0.141 0.003  0.242 0.115  0.333 0.235  0.424 0.356  0.472 0.497  0.507 0.644  0.542 0.791  0.578 0.937  0.615 1.084  0.683 1.218  0.719 1.304  0.656 1.167  0.613 1.023  0.569 0.878  0.526 0.733  0.483 0.589  0.439 0.444  0.396 0.299  0.352 0.155  0.311 0.010  0.270 -0.136  0.229 -0.281  0.188 -0.427  0.147 -0.572  0.108 -0.718  0.069 -0.864  0.030 -1.010  -0.009 -1.156  -0.041 -1.303  -0.055 -1.453  -0.069 -1.604  -0.080 -1.754  -0.059 -1.903  -0.038 -2.053
3#apb#apb25#app2570/z  -0.645 1.198  -0.531 1.362  -0.310 1.418  -0.085 1.459  0.140 1.426  0.362 1.373  0.577 1.305  0.710 1.119  0.824 0.921  0.776 0.704  0.665 0.509  0.519 0.333  0.354 0.176  0.175 0.035  -0.009 -0.102  -0.203 -0.223  -0.396 -0.345  -0.601 -0.446  -0.809 -0.542  -0.985 -0.687  -1.044 -0.814  -0.815 -0.814  -0.586 -0.814  -0.358 -0.814  -0.129 -0.814  0.099 -0.802  0.327 -0.779  0.554 -0.756  0.783 -0.755  1.012 -0.755  1.239 -0.736  1.446 -0.722  1.230 -0.647  1.014 -0.572  0.798 -0.496  0.582 -0.421  0.366 -0.346  0.150 -0.271  -0.066 -0.196  -0.282 -0.121  -0.498 -0.046  -0.714 0.030  -0.930 0.105  -1.146 0.180  -1.165 0.222  -0.936 0.222  -0.708 0.208  -0.480 0.193  -0.251 0.178  -0.023 0.162
