2#apa#apa01#app0155/!  -0.133 1.766  -0.133 1.690  -0.133 1.614  -0.133 1.538  -0.133 1.462  -0.133 1.386  -0.133 1.310  -0.133 1.234  -0.133 1.158  -0.133 1.081  -0.133 1.005  -0.133 0.929  -0.133 0.853  -0.133 0.777  -0.133 0.701  -0.133 0.625  -0.133 0.549  -0.133 0.473  -0.133 0.397  -0.133 0.320  -0.133 0.244  -0.133 0.168  -0.133 0.092  -0.133 0.016  -0.133 -0.060  -0.133 -0.136  -0.133 -0.212  -0.133 -0.288  -0.133 -0.365  -0.133 -0.441  -0.133 -0.517  -0.084 -0.543  -0.008 -0.543  0.052 -0.574  0.094 -0.637  0.136 -0.701  0.179 -0.764  0.221 -0.827  0.263 -0.890  0.305 -0.954  0.348 -1.017  0.361 -1.089  0.361 -1.165  0.361 -1.241  0.361 -1.317  0.336 -1.368  0.260 -1.368  0.196 -1.381  0.196 -1.457  0.196 -1.533
2#apa#apa01#app0155/~  -1.391 -0.704  -1.391 -0.581  -1.391 -0.457  -1.345 -0.380  -1.228 -0.373  -1.228 -0.250  -1.228 -0.126  -1.192 -0.018  -1.105 0.069  -1.066 0.176  -1.036 0.269  -0.913 0.269  -0.789 0.269  -0.742 0.345  -0.705 0.431  -0.582 0.431  -0.580 0.310  -0.497 0.269  -0.374 0.269  -0.255 0.265  -0.255 0.142  -0.167 0.107  -0.093 0.057  -0.093 -0.066  -0.093 -0.189  -0.093 -0.313  -0.037 -0.380  0.069 -0.397  0.069 -0.520  0.171 -0.542  0.294 -0.542  0.418 -0.542  0.541 -0.542  0.632 -0.465  0.720 -0.380  0.843 -0.380  0.880 -0.293  0.914 -0.184  1.001 -0.096  1.042 0.010  1.042 0.133  1.042 0.256  1.153 0.269  1.205 0.341  1.205 0.464  1.205 0.587  1.321 0.594  1.367 0.672  1.367 0.795  1.367 0.918
2#apa#apa01#app0155/  -1.698 0.000  -1.628 0.000  -1.559 0.000  -1.490 0.000  -1.421 0.000  -1.351 0.000  -1.282 0.000  -1.213 0.000  -1.143 0.000  -1.074 0.000  -1.005 0.000  -0.935 0.000  -0.866 0.000  -0.797 0.000  -0.728 0.000  -0.658 0.000  -0.589 0.000  -0.520 0.000  -0.450 0.000  -0.381 0.000  -0.312 0.000  -0.243 0.000  -0.173 0.000  -0.104 0.000  -0.035 0.000  0.035 0.000  0.104 0.000  0.173 0.000  0.243 0.000  0.312 0.000  0.381 0.000  0.450 0.000  0.520 0.000  0.589 0.000  0.658 0.000  0.728 0.000  0.797 0.000  0.866 0.000  0.935 0.000  1.005 0.000  1.074 0.000  1.143 0.000  1.213 0.000  1.282 0.000  1.351 0.000  1.421 0.000  1.490 0.000  1.559 0.000  1.628 0.000  1.698 0.000
2#apa#apa01#app0155/_  -1.572 0.147  -1.572 0.076  -1.572 0.005  -1.525 -0.019  -1.454 -0.019  -1.382 -0.019  -1.311 -0.019  -1.240 -0.019  -1.168 -0.019  -1.097 -0.019  -1.026 -0.019  -0.955 -0.019  -0.883 -0.019  -0.812 -0.019  -0.741 -0.019  -0.670 -0.019  -0.598 -0.019  -0.527 -0.019  -0.456 -0.019  -0.384 -0.019  -0.313 -0.019  -0.242 -0.019  -0.171 -0.019  -0.099 -0.019  -0.028 -0.019  0.043 -0.019  0.115 -0.019  0.186 -0.019  0.257 -0.019  0.328 -0.019  0.400 -0.019  0.471 -0.019  0.542 -0.019  0.613 -0.019  0.685 -0.019  0.756 -0.019  0.827 -0.019  0.899 -0.019  0.970 -0.019  1.041 -0.019  1.112 -0.019  1.184 -0.019  1.255 -0.019  1.326 -0.019  1.397 -0.019  1.421 0.029  1.421 0.100  1.445 0.147  1.516 0.147  1.588 0.147
2#apa#apa01#app0155/+  -0.330 1.818  -0.138 1.818  -0.076 1.688  -0.076 1.496  -0.071 1.306  0.065 1.170  0.179 1.025  0.179 0.833  0.179 0.640  0.179 0.448  0.179 0.256  0.179 0.064  0.179 -0.128  0.179 -0.321  0.179 -0.513  0.179 -0.705  0.301 -0.846  0.433 -0.984  0.433 -1.176  0.433 -1.368  0.433 -1.561  0.433 -1.728  0.433 -1.535  0.433 -1.343  0.380 -1.171  0.255 -1.025  0.130 -0.879  0.005 -0.733  -0.120 -0.587  -0.245 -0.441  -0.370 -0.295  -0.495 -0.149  -0.620 -0.003  -0.745 0.143  -0.871 0.289  -0.996 0.435  -1.049 0.547  -0.857 0.547  -0.838 0.374  -0.727 0.293  -0.534 0.293  -0.342 0.293  -0.150 0.293  0.042 0.293  0.234 0.293  0.427 0.293  0.619 0.293  0.687 0.169  0.749 0.039  0.941 0.039
2#apa#apa01#app0155/=  -0.877 0.886  -0.759 0.768  -0.641 0.650  -0.480 0.638  -0.313 0.638  -0.146 0.638  0.020 0.638  0.187 0.638  0.354 0.638  0.520 0.638  0.665 0.691  0.783 0.809  0.918 0.886  1.084 0.886  1.251 0.886  1.357 0.825  1.357 0.658  1.223 0.577  1.071 0.508  0.920 0.439  0.768 0.370  0.616 0.301  0.464 0.232  0.313 0.163  0.161 0.094  0.009 0.025  -0.143 -0.044  -0.294 -0.113  -0.446 -0.182  -0.598 -0.250  -0.750 -0.319  -0.901 -0.388  -1.053 -0.457  -1.205 -0.526  -1.357 -0.595  -1.225 -0.603  -1.059 -0.603  -0.892 -0.603  -0.725 -0.603  -0.629 -0.673  -0.629 -0.840  -0.473 -0.851  -0.307 -0.851  -0.140 -0.851  0.027 -0.851  0.193 -0.851  0.360 -0.851  0.364 -1.014  0.445 -1.099  0.612 -1.099
2#apa#apa01#app0155/[  0.739 1.186  0.639 1.186  0.539 1.186  0.439 1.186  0.344 1.173  0.273 1.102  0.178 1.090  0.078 1.090  -0.022 1.090  -0.122 1.090  -0.222 1.090  -0.322 1.090  -0.409 1.077  -0.409 0.977  -0.388 0.899  -0.314 0.873  -0.314 0.772  -0.314 0.672  -0.314 0.572  -0.314 0.472  -0.314 0.372  -0.314 0.272  -0.354 0.189  -0.409 0.112  -0.409 0.012  -0.409 -0.088  -0.409 -0.188  -0.409 -0.289  -0.409 -0.389  -0.409 -0.489  -0.409 -0.589  -0.409 -0.689  -0.409 -0.789  -0.344 -0.824  -0.264 -0.873  -0.184 -0.919  -0.084 -0.919  -0.027 -0.962  0.021 -1.015  0.121 -1.015  0.221 -1.015  0.321 -1.015  0.421 -1.015  0.452 -1.084  0.526 -1.111  0.626 -1.111  0.726 -1.111  0.826 -1.111  0.926 -1.111  1.026 -1.111
2#apa#apa01#app0155/]  -1.229 0.916  -1.129 0.916  -1.030 0.916  -0.930 0.916  -0.831 0.916  -0.731 0.916  -0.631 0.916  -0.532 0.916  -0.432 0.916  -0.333 0.916  -0.233 0.916  -0.133 0.916  -0.034 0.916  0.066 0.916  0.165 0.916  0.265 0.916  0.365 0.916  0.398 0.849  0.348 0.799  0.282 0.766  0.282 0.667  0.282 0.567  0.282 0.467  0.282 0.368  0.282 0.268  0.282 0.169  0.282 0.069  0.282 -0.031  0.282 -0.130  0.282 -0.230  0.282 -0.329  0.282 -0.429  0.282 -0.529  0.282 -0.628  0.282 -0.728  0.282 -0.827  0.381 -0.827  0.398 -0.910  0.398 -1.010  0.398 -1.110  0.365 -1.176  0.282 -1.193  0.282 -1.292  0.182 -1.292  0.082 -1.292  -0.017 -1.292  -0.117 -1.292  -0.216 -1.292  -0.299 -1.309  -0.299 -1.408
2#apa#apa01#app0155/{  0.847 1.422  0.712 1.422  0.577 1.422  0.441 1.422  0.333 1.358  0.208 1.331  0.126 1.279  0.036 1.234  -0.017 1.151  -0.055 1.053  -0.002 0.971  0.043 0.880  0.126 0.828  0.133 0.700  0.216 0.648  0.209 0.520  0.126 0.467  0.057 0.361  -0.070 0.339  -0.145 0.279  -0.250 0.249  -0.325 0.189  -0.430 0.159  -0.548 0.116  -0.664 0.069  -0.606 -0.011  -0.475 -0.022  -0.340 -0.022  -0.295 -0.112  -0.160 -0.112  -0.145 -0.232  -0.070 -0.292  -0.055 -0.412  -0.130 -0.473  -0.145 -0.593  -0.220 -0.653  -0.256 -0.764  -0.325 -0.871  -0.325 -1.006  -0.325 -1.142  -0.325 -1.277  -0.197 -1.284  -0.062 -1.284  0.036 -1.374  0.171 -1.374  0.306 -1.374  0.396 -1.329  0.487 -1.284  0.622 -1.284  0.757 -1.284
2#apa#apa01#app0155/}  -0.900 1.500  -0.857 1.403  -0.717 1.403  -0.578 1.403  -0.511 1.330  -0.395 1.306  -0.256 1.306  -0.147 1.233  -0.048 1.134  -0.026 1.003  -0.080 0.918  -0.123 0.821  -0.220 0.722  -0.264 0.626  -0.317 0.539  -0.414 0.497  -0.414 0.357  -0.394 0.238  -0.254 0.238  -0.114 0.238  0.025 0.238  0.165 0.238  0.305 0.238  0.281 0.238  0.238 0.141  0.099 0.141  0.056 0.044  -0.026 -0.014  -0.026 -0.154  0.020 -0.248  0.071 -0.336  0.202 -0.345  0.266 -0.421  0.385 -0.442  0.460 -0.506  0.557 -0.549  0.610 -0.636  0.654 -0.731  0.654 -0.871  0.654 -1.011  0.634 -1.142  0.526 -1.219  0.460 -1.292  0.344 -1.316  0.222 -1.359  0.104 -1.413  -0.035 -1.413  -0.175 -1.413  -0.287 -1.346  -0.414 -1.316
2#apa#apa01#app0155/\\  -1.215 1.130  -1.127 1.130  -1.039 1.130  -0.968 1.113  -0.968 1.026  -0.899 1.007  -0.845 0.973  -0.845 0.885  -0.759 0.883  -0.721 0.833  -0.706 0.760  -0.619 0.760  -0.598 0.693  -0.566 0.636  -0.478 0.636  -0.437 0.561  -0.397 0.482  -0.358 0.404  -0.300 0.339  -0.238 0.276  -0.176 0.214  -0.114 0.152  -0.104 0.068  -0.065 0.019  0.019 0.016  0.019 -0.072  0.075 -0.104  0.143 -0.125  0.143 -0.212  0.194 -0.279  0.256 -0.341  0.266 -0.425  0.305 -0.475  0.390 -0.477  0.390 -0.565  0.445 -0.598  0.513 -0.618  0.513 -0.706  0.585 -0.722  0.637 -0.758  0.638 -0.845  0.725 -0.845  0.798 -0.883  0.860 -0.945  0.938 -0.969  1.026 -0.969  1.114 -0.969  1.131 -1.040  1.166 -1.092  1.254 -1.092
2#apa#apa01#app0155/,  -0.737 1.145  -0.660 1.145  -0.583 1.145  -0.506 1.145  -0.429 1.145  -0.353 1.145  -0.276 1.145  -0.199 1.145  -0.122 1.145  -0.046 1.145  0.031 1.145  0.099 1.136  0.099 1.059  0.099 0.982  0.099 0.906  0.099 0.829  0.099 0.752  0.099 0.675  0.099 0.599  0.099 0.522  0.099 0.445  0.099 0.368  0.099 0.291  0.099 0.215  0.099 0.138  0.099 0.061  0.099 -0.016  0.099 -0.092  0.099 -0.169  0.099 -0.246  0.099 -0.323  0.099 -0.400  0.099 -0.476  0.099 -0.553  0.099 -0.630  0.099 -0.707  0.099 -0.784  0.099 -0.860  0.099 -0.937  0.099 -1.014  0.099 -1.091  0.099 -1.167  0.099 -1.244  0.099 -1.321  0.099 -1.398  0.099 -1.475  0.099 -1.551  0.099 -1.628  0.099 -1.705  0.099 -1.782
2#apa#apa01#app0155/  0.793 1.301  0.851 1.243  0.910 1.184  0.876 1.164  0.793 1.164  0.793 1.082  0.793 0.999  0.793 0.917  0.737 0.890  0.655 0.889  0.596 0.831  0.538 0.772  0.519 0.697  0.517 0.616  0.435 0.616  0.382 0.587  0.382 0.504  0.324 0.479  0.245 0.476  0.245 0.393  0.223 0.320  0.164 0.262  0.106 0.203  0.047 0.145  -0.011 0.086  -0.055 0.017  -0.091 -0.057  -0.128 -0.130  -0.165 -0.204  -0.166 -0.287  -0.193 -0.342  -0.276 -0.342  -0.303 -0.398  -0.303 -0.480  -0.362 -0.538  -0.420 -0.597  -0.479 -0.655  -0.537 -0.713  -0.577 -0.780  -0.577 -0.862  -0.631 -0.890  -0.713 -0.890  -0.713 -0.973  -0.734 -1.047  -0.792 -1.106  -0.850 -1.164  -0.850 -1.247  -0.871 -1.321  -0.929 -1.379  -0.987 -1.438
2#apa#apa01#app0155/?  -0.161 -1.674  -0.261 -1.685  -0.261 -1.750  -0.253 -1.640  -0.229 -1.531  -0.205 -1.422  -0.181 -1.314  -0.156 -1.205  -0.132 -1.096  -0.108 -0.988  -0.084 -0.879  -0.061 -0.770  -0.079 -0.676  -0.161 -0.647  -0.161 -0.536  -0.161 -0.424  -0.225 -0.377  -0.261 -0.301  -0.261 -0.190  -0.162 -0.178  -0.050 -0.178  0.039 -0.155  0.073 -0.078  0.184 -0.078  0.238 -0.021  0.307 0.022  0.395 0.079  0.473 0.157  0.537 0.242  0.560 0.344  0.637 0.424  0.637 0.535  0.637 0.646  0.637 0.758  0.602 0.854  0.523 0.933  0.444 1.012  0.336 1.019  0.229 1.028  0.150 1.107  0.043 1.119  -0.068 1.119  -0.179 1.119  -0.291 1.119  -0.402 1.119  -0.460 1.065  -0.525 1.019  -0.636 1.019  -0.748 1.019  -0.759 0.919
2#apa#apa01#app0155/'  -0.212 1.712  -0.212 1.638  -0.212 1.565  -0.212 1.491  -0.212 1.418  -0.212 1.345  -0.212 1.271  -0.212 1.198  -0.212 1.124  -0.212 1.051  -0.212 0.977  -0.212 0.904  -0.212 0.830  -0.212 0.757  -0.212 0.683  -0.212 0.610  -0.212 0.537  -0.212 0.463  -0.212 0.390  -0.212 0.316  -0.212 0.243  -0.212 0.169  -0.212 0.096  -0.212 0.022  -0.212 -0.051  -0.212 -0.125  -0.212 -0.198  -0.212 -0.272  -0.168 -0.327  -0.116 -0.379  -0.064 -0.431  -0.012 -0.483  0.040 -0.534  0.092 -0.586  0.144 -0.638  0.196 -0.690  0.248 -0.742  0.299 -0.794  0.351 -0.846  0.403 -0.898  0.453 -0.951  0.453 -1.025  0.453 -1.098  0.453 -1.171  0.453 -1.245  0.453 -1.318  0.453 -1.392  0.453 -1.465  0.453 -1.539  0.453 -1.612
2#apa#apa01#app0155/\"  -0.814 0.709  -0.814 0.599  -0.814 0.488  -0.814 0.378  -0.814 0.267  -0.814 0.157  -0.814 0.046  -0.814 -0.064  -0.814 -0.175  -0.873 -0.260  -0.951 -0.338  -1.029 -0.417  -1.107 -0.495  -1.117 -0.601  -1.117 -0.712  -1.104 -0.799  -1.010 -0.741  -0.917 -0.682  -0.823 -0.624  -0.729 -0.565  -0.636 -0.506  -0.542 -0.448  -0.448 -0.389  -0.355 -0.331  -0.261 -0.272  -0.167 -0.214  -0.074 -0.155  0.020 -0.097  0.114 -0.038  0.207 0.020  0.301 0.079  0.395 0.137  0.488 0.196  0.582 0.255  0.676 0.313  0.769 0.372  0.863 0.430  0.957 0.489  1.050 0.547  1.144 0.606  1.237 0.664  1.309 0.683  1.309 0.572  1.309 0.462  1.309 0.352  1.309 0.241  1.309 0.131  1.309 0.020  1.309 -0.090  1.309 -0.201
2#apa#apa01#app0155/<  0.582 1.643  0.582 1.526  0.476 1.516  0.455 1.420  0.455 1.303  0.379 1.262  0.328 1.196  0.289 1.096  0.207 1.014  0.092 1.009  0.075 0.909  0.075 0.792  -0.004 0.755  -0.052 0.686  -0.111 0.628  -0.179 0.579  -0.206 0.474  -0.289 0.391  -0.306 0.282  -0.388 0.247  -0.433 0.175  -0.495 0.121  -0.560 0.069  -0.589 -0.036  -0.671 -0.118  -0.686 -0.229  -0.772 -0.260  -0.813 -0.335  -0.748 -0.387  -0.686 -0.442  -0.642 -0.514  -0.525 -0.514  -0.408 -0.514  -0.306 -0.528  -0.302 -0.641  -0.185 -0.641  -0.101 -0.719  -0.004 -0.767  0.075 -0.805  0.102 -0.894  0.214 -0.907  0.296 -0.989  0.400 -1.021  0.516 -1.021  0.582 -1.072  0.623 -1.148  0.740 -1.148  0.856 -1.148  0.973 -1.148  1.090 -1.148
2#apa#apa01#app0155/|  -0.333 1.532  -0.257 1.532  -0.181 1.532  -0.114 1.523  -0.114 1.447  -0.114 1.371  -0.114 1.295  -0.114 1.219  -0.114 1.142  -0.114 1.066  -0.114 0.990  -0.114 0.914  -0.114 0.838  -0.114 0.762  -0.114 0.686  -0.114 0.609  -0.114 0.533  -0.114 0.457  -0.114 0.381  -0.114 0.305  -0.114 0.229  -0.051 0.215  0.025 0.215  0.101 0.215  0.106 0.144  0.106 0.068  0.106 -0.009  0.106 -0.085  0.106 -0.161  0.106 -0.237  0.106 -0.313  0.106 -0.389  0.106 -0.465  0.106 -0.542  0.106 -0.618  0.106 -0.694  0.106 -0.770  0.106 -0.846  0.106 -0.922  0.106 -0.998  0.106 -1.075  0.106 -1.151  0.106 -1.227  0.106 -1.303  0.106 -1.379  0.106 -1.455  0.106 -1.531  0.106 -1.607  0.106 -1.684  0.106 -1.760
2#apa#apa01#app0155/>  -0.961 1.384  -0.859 1.384  -0.823 1.317  -0.801 1.223  -0.729 1.151  -0.644 1.107  -0.542 1.107  -0.439 1.107  -0.408 1.035  -0.372 0.968  -0.270 0.968  -0.269 0.866  -0.222 0.783  -0.150 0.710  -0.055 0.691  0.008 0.651  0.012 0.553  0.114 0.553  0.196 0.503  0.269 0.430  0.285 0.334  0.329 0.276  0.423 0.267  0.423 0.165  0.476 0.084  0.549 0.012  0.561 -0.086  0.610 -0.139  0.691 -0.149  0.618 -0.221  0.561 -0.300  0.561 -0.403  0.472 -0.416  0.423 -0.470  0.411 -0.567  0.338 -0.640  0.266 -0.712  0.193 -0.785  0.146 -0.868  0.146 -0.970  0.043 -0.970  0.008 -1.037  -0.015 -1.131  -0.087 -1.203  -0.131 -1.288  -0.136 -1.385  -0.238 -1.385  -0.269 -1.457  -0.305 -1.524  -0.408 -1.524
