2#app#app25#app2545/p  0.046 0.475  -0.119 0.455  -0.119 0.270  -0.119 0.085  -0.175 -0.076  -0.305 -0.207  -0.436 -0.337  -0.448 -0.517  -0.464 -0.695  -0.595 -0.826  -0.772 -0.844  -0.792 -1.009  -0.943 -1.042  -0.943 -1.227  -0.943 -1.412  -0.943 -1.411  -0.830 -1.339  -0.778 -1.206  -0.670 -1.066  -0.509 -1.009  -0.448 -0.885  -0.347 -0.742  -0.284 -0.584  -0.202 -0.433  -0.119 -0.283  -0.119 -0.098  -0.119 0.086  0.007 0.145  0.046 0.291  0.046 0.476  0.067 0.640  0.211 0.680  0.272 0.804  0.376 0.885  0.376 1.069  0.496 1.134  0.541 1.274  0.700 1.299  0.720 1.134  0.905 1.134  1.035 1.080  1.035 0.895  1.035 0.710  1.035 0.525  0.901 0.475  0.870 0.321  0.697 0.310  0.520 0.290  0.390 0.159  0.211 0.145
2#lav#lav2#mp_0005/p  -0.386 0.422  -0.375 0.622  -0.349 0.647  -0.320 0.449  -0.320 0.248  -0.320 0.047  -0.320 -0.154  -0.320 -0.355  -0.320 -0.555  -0.323 -0.756  -0.340 -0.956  -0.353 -1.157  -0.353 -1.358  -0.364 -1.558  -0.383 -1.758  -0.409 -1.603  -0.404 -1.404  -0.416 -1.203  -0.428 -1.003  -0.432 -0.802  -0.424 -0.601  -0.421 -0.400  -0.434 -0.200  -0.456 -0.000  -0.461 0.199  -0.411 0.394  -0.361 0.588  -0.277 0.770  -0.187 0.950  -0.079 1.119  0.066 1.254  0.236 1.357  0.434 1.358  0.628 1.318  0.804 1.222  0.974 1.114  1.099 0.960  1.137 0.763  1.158 0.564  1.113 0.368  1.055 0.178  0.939 0.014  0.760 -0.055  0.564 -0.098  0.392 -0.199  0.202 -0.244  0.005 -0.229  -0.191 -0.187  -0.360 -0.136  -0.271 0.044
2#lav#lav2#mp_0005/p  -0.589 0.403  -0.509 0.234  -0.489 0.051  -0.492 -0.136  -0.498 -0.323  -0.501 -0.510  -0.495 -0.698  -0.489 -0.885  -0.489 -1.072  -0.493 -1.259  -0.501 -1.446  -0.489 -1.633  -0.496 -1.458  -0.503 -1.271  -0.503 -1.084  -0.497 -0.897  -0.483 -0.710  -0.465 -0.525  -0.416 -0.345  -0.405 -0.158  -0.369 0.026  -0.326 0.208  -0.272 0.387  -0.208 0.563  -0.134 0.735  -0.053 0.903  0.041 1.065  0.152 1.215  0.289 1.339  0.465 1.404  0.639 1.392  0.789 1.280  0.907 1.135  1.039 1.003  1.151 0.859  1.199 0.677  1.191 0.493  1.171 0.307  1.075 0.151  0.943 0.028  0.768 -0.036  0.597 -0.112  0.413 -0.140  0.226 -0.157  0.040 -0.172  -0.147 -0.182  -0.334 -0.182  -0.515 -0.228  -0.535 -0.186  -0.403 -0.054
2#app#app08#app0867/p  -0.202 0.696  -0.300 0.568  -0.370 0.429  -0.398 0.273  -0.398 0.105  -0.398 -0.063  -0.398 -0.231  -0.398 -0.399  -0.398 -0.567  -0.398 -0.735  -0.398 -0.903  -0.398 -1.071  -0.398 -1.240  -0.398 -1.408  -0.398 -1.576  -0.398 -1.744  -0.398 -1.617  -0.361 -1.455  -0.308 -1.296  -0.300 -1.129  -0.300 -0.961  -0.300 -0.793  -0.300 -0.625  -0.300 -0.457  -0.256 -0.299  -0.202 -0.144  -0.202 0.024  -0.174 0.188  -0.121 0.347  -0.103 0.513  -0.077 0.676  -0.024 0.836  0.072 0.969  0.094 1.128  0.170 1.264  0.289 1.383  0.457 1.384  0.586 1.345  0.691 1.279  0.782 1.148  0.859 1.012  0.881 0.853  0.881 0.685  0.881 0.517  0.829 0.400  0.697 0.315  0.575 0.204  0.487 0.123  0.353 0.038  0.192 0.007
3#kai#kai1#jhkim5/p  -0.170 1.167  -0.028 1.262  0.071 1.400  0.043 1.292  0.000 1.126  -0.015 0.957  -0.054 0.792  -0.099 0.627  -0.140 0.461  -0.185 0.296  -0.239 0.134  -0.274 -0.031  -0.274 -0.202  -0.274 -0.373  -0.309 -0.539  -0.345 -0.705  -0.373 -0.874  -0.377 -1.045  -0.409 -1.213  -0.440 -1.381  -0.468 -1.549  -0.511 -1.714  -0.532 -1.670  -0.532 -1.499  -0.532 -1.328  -0.519 -1.158  -0.478 -0.992  -0.436 -0.826  -0.395 -0.660  -0.346 -0.497  -0.305 -0.331  -0.266 -0.166  -0.159 -0.032  -0.054 0.103  0.040 0.245  0.117 0.398  0.206 0.544  0.301 0.686  0.409 0.817  0.534 0.934  0.671 1.036  0.826 1.103  0.862 0.982  0.862 0.811  0.811 0.648  0.800 0.481  0.707 0.338  0.707 0.167  0.707 -0.004  0.862 -0.020
3#kai#kai1#jhkim5/p  0.050 1.045  0.148 1.192  0.201 1.034  0.190 0.859  0.138 0.690  0.094 0.520  0.029 0.356  -0.051 0.204  -0.054 0.028  -0.112 -0.139  -0.191 -0.297  -0.270 -0.454  -0.304 -0.623  -0.374 -0.779  -0.405 -0.946  -0.432 -1.114  -0.538 -1.255  -0.592 -1.421  -0.643 -1.590  -0.658 -1.764  -0.572 -1.656  -0.510 -1.492  -0.414 -1.344  -0.405 -1.170  -0.372 -0.997  -0.308 -0.834  -0.254 -0.670  -0.254 -0.493  -0.228 -0.319  -0.194 -0.146  -0.129 0.018  -0.077 0.186  -0.034 0.358  0.022 0.523  0.100 0.676  0.103 0.853  0.146 1.024  0.200 1.192  0.297 1.340  0.464 1.389  0.616 1.324  0.697 1.176  0.707 1.001  0.665 0.829  0.612 0.661  0.568 0.490  0.555 0.315  0.508 0.146  0.560 -0.013  0.707 0.085
3#kai#kai1#jhkim5/p  0.193 1.407  0.247 1.571  0.193 1.409  0.139 1.246  0.097 1.079  0.047 0.915  0.028 0.746  -0.039 0.594  -0.081 0.435  -0.139 0.280  -0.191 0.124  -0.191 -0.048  -0.203 -0.218  -0.245 -0.383  -0.245 -0.555  -0.245 -0.727  -0.245 -0.899  -0.267 -1.068  -0.300 -1.234  -0.300 -1.407  -0.327 -1.574  -0.381 -1.737  -0.410 -1.741  -0.410 -1.569  -0.410 -1.397  -0.410 -1.225  -0.410 -1.053  -0.410 -0.881  -0.410 -0.709  -0.403 -0.537  -0.361 -0.371  -0.309 -0.207  -0.300 -0.036  -0.252 0.128  -0.209 0.295  -0.137 0.448  -0.041 0.591  0.067 0.721  0.208 0.820  0.329 0.942  0.468 1.043  0.629 1.079  0.713 0.967  0.740 0.798  0.702 0.638  0.617 0.490  0.576 0.324  0.618 0.175  0.761 0.107  0.904 0.203
3#kai#kai1#jhkim5/p  -0.153 0.508  -0.050 0.663  0.013 0.837  0.072 1.014  0.155 1.180  0.186 1.359  0.186 1.277  0.102 1.117  0.031 0.946  0.016 0.763  -0.034 0.585  -0.040 0.400  -0.084 0.219  -0.129 0.038  -0.175 -0.142  -0.210 -0.324  -0.210 -0.510  -0.233 -0.692  -0.266 -0.873  -0.266 -1.059  -0.320 -1.236  -0.322 -1.422  -0.322 -1.608  -0.322 -1.794  -0.342 -1.862  -0.379 -1.682  -0.399 -1.499  -0.435 -1.317  -0.435 -1.131  -0.418 -0.947  -0.373 -0.766  -0.328 -0.586  -0.271 -0.409  -0.202 -0.236  -0.153 -0.059  -0.136 0.125  -0.084 0.302  0.020 0.457  0.123 0.611  0.207 0.777  0.276 0.949  0.408 1.053  0.570 1.141  0.671 1.085  0.730 0.909  0.712 0.732  0.694 0.549  0.648 0.370  0.637 0.186  0.637 -0.000
3#apa#apa09#app0993/p  0.123 0.743  0.021 0.640  -0.072 0.530  -0.153 0.409  -0.233 0.289  -0.314 0.168  -0.361 0.037  -0.361 -0.108  -0.361 -0.253  -0.361 -0.398  -0.361 -0.543  -0.361 -0.688  -0.361 -0.833  -0.361 -0.978  -0.361 -1.123  -0.361 -1.268  -0.361 -1.413  -0.361 -1.558  -0.361 -1.657  -0.361 -1.512  -0.361 -1.367  -0.361 -1.222  -0.342 -1.078  -0.318 -0.935  -0.294 -0.792  -0.270 -0.649  -0.246 -0.506  -0.222 -0.363  -0.198 -0.220  -0.170 -0.078  -0.142 0.064  -0.113 0.207  -0.085 0.349  -0.056 0.491  -0.014 0.629  0.050 0.758  0.115 0.888  0.180 1.018  0.245 1.147  0.338 1.245  0.475 1.291  0.613 1.337  0.750 1.382  0.769 1.264  0.804 1.124  0.850 0.987  0.895 0.849  0.931 0.710  0.931 0.565  0.931 0.420
2#apb#apb33#app3354/p  0.525 0.928  0.332 0.700  0.085 0.444  -0.138 0.157  -0.383 -0.109  -0.599 -0.401  -0.792 -0.710  -0.987 -1.017  -1.163 -1.334  -1.409 -1.599  -1.387 -1.360  -1.218 -1.043  -1.023 -0.738  -0.749 -0.504  -0.486 -0.252  -0.223 -0.001  -0.005 0.287  0.236 0.557  0.524 0.779  0.840 0.920  1.176 0.905  1.218 0.559  1.087 0.223  0.840 -0.044  0.535 -0.215  0.179 -0.251  -0.163 -0.164  -0.417 0.080  -0.301 0.395  0.025 0.542  0.213 0.338  0.144 -0.014  0.314 -0.275  0.674 -0.288  1.033 -0.260  1.391 -0.207  1.755 -0.192  1.442 -0.139  1.085 -0.064  0.729 0.012  0.373 0.088  0.016 0.164  -0.340 0.240  -0.696 0.315  -1.015 0.258  -1.342 0.285  -1.002 0.378  -0.646 0.451  -0.296 0.524  0.012 0.652
1c#app#app35#app3542/p  -0.274 0.599  -0.359 0.669  -0.359 0.483  -0.359 0.298  -0.359 0.113  -0.325 -0.065  -0.274 -0.238  -0.274 -0.423  -0.215 -0.599  -0.189 -0.780  -0.137 -0.953  -0.104 -1.131  -0.018 -1.281  -0.018 -1.466  0.007 -1.641  0.051 -1.786  -0.018 -1.670  -0.077 -1.498  -0.104 -1.319  -0.167 -1.149  -0.189 -0.969  -0.189 -0.783  -0.214 -0.602  -0.273 -0.426  -0.274 -0.241  -0.274 -0.056  -0.274 0.130  -0.274 0.315  -0.274 0.500  -0.274 0.686  -0.274 0.871  -0.274 1.056  -0.241 1.228  -0.189 1.392  -0.062 1.450  0.123 1.450  0.309 1.450  0.469 1.389  0.600 1.258  0.706 1.109  0.748 0.933  0.748 0.748  0.748 0.563  0.748 0.377  0.663 0.227  0.570 0.080  0.439 -0.051  0.267 -0.083  0.082 -0.083  -0.104 -0.083
2#apb#apb14#app1430/p  -0.697 0.014  -0.565 -0.080  -0.459 -0.202  -0.362 -0.332  -0.297 -0.478  -0.255 -0.635  -0.208 -0.790  -0.151 -0.942  -0.094 -1.094  -0.087 -1.256  -0.083 -1.418  -0.078 -1.576  -0.198 -1.533  -0.305 -1.412  -0.397 -1.280  -0.439 -1.123  -0.481 -0.966  -0.510 -0.806  -0.536 -0.646  -0.551 -0.485  -0.531 -0.324  -0.511 -0.163  -0.491 -0.002  -0.453 0.156  -0.409 0.312  -0.365 0.469  -0.321 0.625  -0.240 0.766  -0.158 0.906  -0.077 1.047  0.052 1.142  0.190 1.228  0.330 1.308  0.489 1.340  0.649 1.372  0.788 1.296  0.924 1.207  1.007 1.068  1.046 0.923  0.998 0.768  0.930 0.623  0.829 0.496  0.727 0.369  0.608 0.261  0.477 0.164  0.346 0.068  0.211 -0.019  0.057 -0.071  -0.097 -0.122  -0.251 -0.174
2#apb#apb14#app1430/p  -0.646 0.080  -0.587 -0.064  -0.526 -0.207  -0.469 -0.353  -0.418 -0.499  -0.367 -0.646  -0.319 -0.795  -0.272 -0.943  -0.223 -1.091  -0.163 -1.235  -0.104 -1.379  -0.054 -1.526  -0.046 -1.605  -0.140 -1.490  -0.205 -1.349  -0.259 -1.203  -0.310 -1.056  -0.335 -0.903  -0.347 -0.748  -0.359 -0.593  -0.365 -0.437  -0.365 -0.281  -0.365 -0.126  -0.364 0.030  -0.338 0.183  -0.312 0.337  -0.287 0.491  -0.252 0.642  -0.201 0.789  -0.150 0.936  -0.097 1.082  -0.008 1.210  0.080 1.339  0.212 1.408  0.361 1.447  0.513 1.414  0.648 1.353  0.753 1.237  0.822 1.102  0.862 0.952  0.861 0.798  0.843 0.644  0.787 0.502  0.709 0.367  0.631 0.232  0.504 0.143  0.376 0.055  0.238 -0.018  0.096 -0.082  -0.046 -0.145
3#apb#apb21#app2168/p  -0.017 0.267  -0.072 0.246  -0.134 0.077  -0.161 -0.101  -0.203 -0.275  -0.269 -0.443  -0.326 -0.614  -0.389 -0.783  -0.461 -0.949  -0.542 -1.110  -0.640 -1.262  -0.721 -1.423  -0.856 -1.519  -0.913 -1.355  -0.946 -1.177  -0.949 -0.998  -0.933 -0.819  -0.880 -0.646  -0.825 -0.474  -0.745 -0.313  -0.664 -0.151  -0.589 0.013  -0.511 0.176  -0.430 0.338  -0.340 0.494  -0.241 0.645  -0.130 0.787  0.005 0.907  0.152 1.010  0.320 1.055  0.490 1.098  0.562 0.976  0.478 0.820  0.364 0.681  0.244 0.545  0.124 0.410  0.021 0.263  -0.121 0.158  -0.006 0.107  0.173 0.083  0.353 0.078  0.532 0.095  0.712 0.113  0.881 0.174  1.050 0.240  1.214 0.314  1.376 0.395  1.532 0.483  1.654 0.616  1.777 0.748
1c#mot#mot1#bb2/p  -1.304 0.021  -1.058 0.017  -0.815 0.071  -0.581 0.154  -0.355 0.258  -0.142 0.384  0.062 0.527  0.247 0.692  0.418 0.873  0.569 1.066  0.472 0.839  0.405 0.599  0.334 0.361  0.264 0.123  0.188 -0.114  0.106 -0.349  0.013 -0.580  -0.089 -0.807  -0.193 -1.032  -0.313 -1.250  -0.466 -1.446  -0.647 -1.616  -0.881 -1.676  -1.006 -1.474  -1.005 -1.226  -0.960 -0.982  -0.884 -0.745  -0.793 -0.514  -0.673 -0.296  -0.547 -0.082  -0.411 0.127  -0.264 0.328  -0.111 0.524  0.059 0.705  0.238 0.878  0.427 1.039  0.643 1.162  0.879 1.234  1.093 1.135  1.131 0.894  1.080 0.652  0.983 0.423  0.845 0.217  0.677 0.034  0.478 -0.113  0.239 -0.167  0.117 -0.078  0.268 -0.269  0.511 -0.289  0.753 -0.234
1c#mot#mot1#bb2/p  -1.073 -0.107  -1.297 -0.200  -1.180 -0.225  -0.952 -0.143  -0.733 -0.038  -0.521 0.081  -0.315 0.211  -0.107 0.336  0.077 0.496  0.258 0.658  0.426 0.834  0.568 1.030  0.479 0.861  0.393 0.633  0.318 0.402  0.250 0.168  0.187 -0.066  0.115 -0.299  0.037 -0.529  -0.049 -0.756  -0.148 -0.978  -0.278 -1.184  -0.422 -1.380  -0.583 -1.562  -0.798 -1.659  -0.924 -1.486  -0.914 -1.244  -0.859 -1.008  -0.784 -0.777  -0.694 -0.551  -0.579 -0.337  -0.457 -0.127  -0.321 0.075  -0.172 0.266  -0.005 0.443  0.166 0.616  0.342 0.783  0.537 0.928  0.739 1.064  0.960 1.163  1.179 1.133  1.192 0.896  1.122 0.665  1.003 0.453  0.843 0.272  0.645 0.131  0.417 0.050  0.400 -0.024  0.641 -0.019  0.874 0.050
1c#mot#mot1#bb2/p  -1.964 -0.343  -1.908 -0.533  -1.648 -0.524  -1.397 -0.449  -1.155 -0.347  -0.919 -0.231  -0.695 -0.095  -0.476 0.052  -0.263 0.206  -0.058 0.370  0.137 0.546  0.328 0.727  0.498 0.928  0.517 0.856  0.417 0.613  0.323 0.368  0.232 0.121  0.136 -0.124  0.041 -0.369  -0.059 -0.612  -0.170 -0.850  -0.299 -1.079  -0.456 -1.290  -0.657 -1.449  -0.695 -1.228  -0.636 -0.972  -0.557 -0.722  -0.451 -0.481  -0.338 -0.244  -0.212 -0.013  -0.085 0.217  0.058 0.438  0.206 0.654  0.389 0.844  0.591 1.010  0.826 1.064  0.868 0.819  0.756 0.582  0.619 0.357  0.447 0.158  0.234 0.004  -0.003 -0.106  0.034 -0.030  0.287 0.038  0.548 0.075  0.809 0.101  1.071 0.132  1.328 0.183  1.578 0.262  1.820 0.365
1c#mot#mot1#bb2/p  -1.020 -0.206  -0.979 -0.261  -0.790 -0.154  -0.610 -0.034  -0.434 0.092  -0.258 0.219  -0.092 0.358  0.069 0.503  0.223 0.656  0.374 0.811  0.524 0.968  0.664 1.133  0.791 1.309  0.911 1.489  0.924 1.530  0.827 1.336  0.741 1.137  0.651 0.940  0.565 0.741  0.472 0.546  0.379 0.349  0.287 0.153  0.189 -0.040  0.093 -0.234  0.000 -0.430  -0.095 -0.625  -0.189 -0.820  -0.280 -1.017  -0.382 -1.208  -0.488 -1.397  -0.605 -1.579  -0.770 -1.710  -0.850 -1.542  -0.826 -1.327  -0.773 -1.117  -0.702 -0.912  -0.622 -0.711  -0.533 -0.513  -0.424 -0.326  -0.304 -0.146  -0.171 0.025  -0.016 0.176  0.154 0.310  0.340 0.420  0.541 0.498  0.735 0.446  0.685 0.247  0.541 0.086  0.364 -0.039  0.169 -0.132
