3#apb#apb31#app3177/G  0.423 1.590  0.266 1.527  0.109 1.466  -0.051 1.410  -0.201 1.335  -0.342 1.243  -0.454 1.117  -0.565 0.989  -0.664 0.853  -0.758 0.713  -0.840 0.566  -0.905 0.410  -0.969 0.254  -0.995 0.087  -1.018 -0.080  -1.018 -0.246  -0.985 -0.412  -0.953 -0.578  -0.877 -0.729  -0.802 -0.880  -0.668 -0.975  -0.519 -1.054  -0.351 -1.038  -0.189 -1.005  -0.044 -0.918  0.100 -0.830  0.229 -0.721  0.358 -0.612  0.481 -0.496  0.451 -0.386  0.319 -0.281  0.187 -0.175  0.056 -0.070  -0.074 0.000  -0.035 -0.137  0.125 -0.099  0.279 -0.028  0.415 0.071  0.552 0.170  0.697 0.256  0.843 0.341  1.012 0.341  1.084 0.194  1.043 0.031  0.998 -0.132  0.952 -0.295  0.902 -0.456  0.851 -0.617  0.798 -0.777  0.745 -0.937
3#apb#apb31#app3177/J  0.282 0.976  0.266 0.969  0.253 0.815  0.239 0.661  0.220 0.508  0.195 0.356  0.185 0.202  0.181 0.047  0.179 -0.107  0.183 -0.262  0.188 -0.416  0.195 -0.571  0.203 -0.725  0.210 -0.879  0.215 -1.034  0.220 -1.188  0.235 -1.342  0.230 -1.496  0.110 -1.463  -0.015 -1.374  -0.126 -1.267  -0.234 -1.158  -0.364 -1.074  -0.502 -1.006  -0.636 -1.030  -0.636 -0.914  -0.629 -0.760  -0.621 -0.605  -0.613 -0.451  -0.606 -0.296  -0.598 -0.142  -0.591 0.012  -0.583 0.167  -0.576 0.321  -0.568 0.475  -0.561 0.630  -0.553 0.784  -0.518 0.826  -0.367 0.810  -0.214 0.825  -0.061 0.849  0.091 0.877  0.242 0.906  0.392 0.946  0.540 0.988  0.689 1.031  0.837 1.076  0.985 1.121  1.132 1.168  1.279 1.215
3#apb#apb31#app3177/o  0.073 1.082  -0.049 1.060  -0.161 0.991  -0.261 0.901  -0.353 0.804  -0.440 0.702  -0.520 0.596  -0.585 0.478  -0.649 0.361  -0.707 0.241  -0.752 0.114  -0.796 -0.012  -0.818 -0.143  -0.825 -0.277  -0.831 -0.411  -0.828 -0.544  -0.822 -0.678  -0.817 -0.812  -0.758 -0.927  -0.679 -1.035  -0.599 -1.143  -0.489 -1.208  -0.362 -1.251  -0.237 -1.239  -0.112 -1.189  0.012 -1.139  0.113 -1.054  0.208 -0.959  0.302 -0.864  0.397 -0.769  0.461 -0.652  0.522 -0.533  0.584 -0.414  0.645 -0.295  0.697 -0.172  0.736 -0.044  0.775 0.084  0.814 0.212  0.853 0.341  0.861 0.474  0.868 0.608  0.870 0.741  0.825 0.867  0.771 0.986  0.656 1.053  0.535 1.091  0.403 1.066  0.274 1.034  0.156 0.971  0.038 0.908
3#apb#apb31#app3177/y  -0.925 0.819  -1.005 0.705  -1.031 0.556  -1.047 0.405  -1.045 0.255  -1.019 0.105  -0.983 -0.043  -0.939 -0.188  -0.831 -0.294  -0.708 -0.379  -0.568 -0.436  -0.417 -0.453  -0.301 -0.376  -0.197 -0.265  -0.094 -0.153  0.010 -0.042  0.113 0.070  0.216 0.181  0.320 0.293  0.423 0.404  0.527 0.515  0.630 0.627  0.733 0.738  0.837 0.850  0.940 0.961  1.044 1.073  1.147 1.184  1.086 1.096  1.000 0.971  0.919 0.842  0.839 0.713  0.761 0.582  0.684 0.452  0.604 0.322  0.517 0.197  0.430 0.073  0.344 -0.052  0.262 -0.181  0.182 -0.310  0.102 -0.439  0.021 -0.568  -0.063 -0.694  -0.150 -0.819  -0.236 -0.944  -0.323 -1.069  -0.405 -1.197  -0.486 -1.325  -0.568 -1.454  -0.640 -1.587  -0.710 -1.722
3#apb#apb31#app3177/n  -0.226 0.810  -0.289 0.658  -0.351 0.505  -0.446 0.371  -0.543 0.239  -0.631 0.100  -0.703 -0.048  -0.774 -0.196  -0.846 -0.344  -0.917 -0.493  -0.988 -0.641  -1.055 -0.792  -1.104 -0.947  -1.020 -0.895  -0.944 -0.749  -0.868 -0.603  -0.793 -0.457  -0.717 -0.311  -0.642 -0.165  -0.562 -0.020  -0.482 0.123  -0.402 0.267  -0.322 0.411  -0.222 0.540  -0.183 0.469  -0.189 0.304  -0.197 0.140  -0.190 -0.024  -0.182 -0.189  -0.174 -0.353  -0.147 -0.513  -0.081 -0.664  0.023 -0.779  0.186 -0.754  0.318 -0.657  0.447 -0.556  0.557 -0.433  0.667 -0.311  0.769 -0.182  0.866 -0.049  0.963 0.084  1.057 0.219  1.151 0.354  1.238 0.494  1.315 0.639  1.393 0.784  1.467 0.931  1.538 1.079  1.609 1.228  1.625 1.374
3#apb#apb31#app3177/e  -1.196 -0.379  -1.301 -0.500  -1.329 -0.655  -1.217 -0.772  -1.060 -0.821  -0.903 -0.811  -0.745 -0.766  -0.587 -0.722  -0.432 -0.667  -0.279 -0.609  -0.126 -0.550  0.021 -0.477  0.168 -0.404  0.314 -0.330  0.432 -0.216  0.548 -0.100  0.659 0.020  0.763 0.147  0.863 0.277  0.941 0.421  0.954 0.574  0.917 0.734  0.860 0.887  0.794 1.038  0.670 1.137  0.531 1.224  0.379 1.283  0.222 1.332  0.061 1.351  -0.095 1.336  -0.196 1.206  -0.278 1.067  -0.328 0.910  -0.377 0.754  -0.398 0.592  -0.415 0.429  -0.398 0.267  -0.367 0.106  -0.336 -0.055  -0.291 -0.213  -0.244 -0.370  -0.176 -0.518  -0.093 -0.660  0.000 -0.792  0.130 -0.892  0.274 -0.965  0.432 -1.007  0.595 -1.005  0.749 -0.962  0.887 -0.874
3#apb#apb31#app3177/r  -0.490 -0.267  -0.538 -0.356  -0.585 -0.444  -0.623 -0.536  -0.657 -0.630  -0.684 -0.727  -0.710 -0.824  -0.741 -0.919  -0.777 -1.013  -0.800 -1.108  -0.800 -1.209  -0.757 -1.252  -0.678 -1.190  -0.612 -1.117  -0.556 -1.034  -0.499 -0.951  -0.443 -0.869  -0.393 -0.782  -0.342 -0.695  -0.292 -0.608  -0.242 -0.521  -0.195 -0.433  -0.153 -0.342  -0.111 -0.251  -0.068 -0.161  -0.026 -0.070  0.018 0.020  0.063 0.110  0.109 0.199  0.155 0.288  0.201 0.377  0.247 0.466  0.289 0.557  0.328 0.649  0.366 0.742  0.405 0.834  0.444 0.926  0.491 1.014  0.552 1.094  0.612 1.173  0.674 1.252  0.751 1.316  0.807 1.253  0.837 1.157  0.867 1.061  0.881 0.962  0.893 0.863  0.906 0.764  0.927 0.666  0.948 0.568
3#apb#apb31#app3177/K  -0.120 1.493  -0.187 1.556  -0.237 1.343  -0.299 1.132  -0.347 0.917  -0.389 0.701  -0.434 0.486  -0.484 0.272  -0.533 0.057  -0.573 -0.159  -0.609 -0.376  -0.645 -0.593  -0.664 -0.812  -0.679 -1.031  -0.705 -1.249  -0.673 -1.240  -0.621 -1.027  -0.541 -0.822  -0.439 -0.628  -0.325 -0.440  -0.209 -0.253  -0.085 -0.072  0.040 0.109  0.173 0.284  0.312 0.454  0.452 0.625  0.603 0.783  0.762 0.936  0.929 1.075  1.126 1.174  1.285 1.124  1.224 0.922  1.106 0.738  0.959 0.574  0.801 0.422  0.632 0.281  0.461 0.144  0.283 0.014  0.106 -0.117  -0.063 -0.258  -0.232 -0.398  -0.406 -0.532  -0.572 -0.676  -0.641 -0.858  -0.470 -0.989  -0.253 -1.024  -0.034 -1.017  0.185 -1.001  0.405 -1.014  0.624 -1.030
3#apb#apb31#app3177/a  0.065 0.973  -0.069 0.822  -0.198 0.667  -0.312 0.501  -0.426 0.333  -0.536 0.164  -0.646 -0.005  -0.745 -0.181  -0.843 -0.358  -0.937 -0.536  -1.025 -0.718  -1.105 -0.903  -1.130 -1.043  -0.998 -0.893  -0.897 -0.719  -0.794 -0.545  -0.687 -0.374  -0.580 -0.203  -0.473 -0.031  -0.365 0.140  -0.258 0.311  -0.150 0.482  -0.050 0.657  0.050 0.833  0.145 1.011  0.223 1.197  0.258 1.299  0.158 1.124  0.076 0.940  -0.003 0.753  -0.062 0.560  -0.121 0.367  -0.164 0.170  -0.206 -0.028  -0.187 -0.228  -0.166 -0.429  -0.095 -0.616  -0.005 -0.796  0.175 -0.880  0.366 -0.894  0.559 -0.837  0.742 -0.755  0.912 -0.646  1.078 -0.533  1.221 -0.390  1.364 -0.247  1.505 -0.102  1.644 0.044  1.779 0.194  1.911 0.347
3#apb#apb31#app3177/t  0.632 1.790  0.604 1.590  0.570 1.391  0.534 1.193  0.466 1.005  0.376 0.824  0.286 0.644  0.208 0.458  0.132 0.271  0.056 0.084  -0.013 -0.105  -0.079 -0.296  -0.145 -0.486  -0.208 -0.678  -0.270 -0.870  -0.332 -1.062  -0.366 -1.260  -0.387 -1.460  -0.258 -1.550  -0.078 -1.482  0.075 -1.350  0.229 -1.221  0.386 -1.094  0.540 -0.963  0.692 -0.831  0.848 -0.703  0.998 -0.568  0.976 -0.449  0.799 -0.351  0.623 -0.254  0.446 -0.156  0.270 -0.058  0.093 0.039  -0.083 0.137  -0.260 0.234  -0.436 0.332  -0.613 0.429  -0.789 0.527  -0.966 0.625  -1.142 0.722  -1.272 0.806  -1.104 0.698  -0.931 0.596  -0.748 0.510  -0.559 0.447  -0.360 0.409  -0.162 0.371  0.039 0.371  0.241 0.371  0.443 0.371
3#apb#apb31#app3177/z  -0.842 1.012  -0.889 1.010  -0.700 1.144  -0.492 1.236  -0.271 1.304  -0.048 1.363  0.176 1.419  0.407 1.407  0.624 1.337  0.765 1.175  0.780 0.953  0.709 0.738  0.585 0.543  0.449 0.357  0.311 0.171  0.161 -0.004  0.007 -0.176  -0.146 -0.349  -0.284 -0.535  -0.421 -0.720  -0.556 -0.908  -0.687 -1.098  -0.783 -1.306  -0.720 -1.410  -0.512 -1.309  -0.304 -1.209  -0.085 -1.136  0.132 -1.058  0.334 -0.945  0.537 -0.835  0.745 -0.736  0.955 -0.639  1.149 -0.522  1.044 -0.416  0.825 -0.342  0.606 -0.269  0.388 -0.195  0.169 -0.121  -0.050 -0.047  -0.269 0.027  -0.488 0.101  -0.707 0.175  -0.925 0.249  -0.911 0.157  -0.698 0.073  -0.473 0.031  -0.242 0.031  -0.012 0.046  0.214 0.091  0.441 0.136
