1d#app#app34#app3492/!  -0.101 1.836  -0.111 1.758  -0.178 1.738  -0.178 1.650  -0.178 1.562  -0.178 1.474  -0.178 1.386  -0.178 1.298  -0.177 1.211  -0.114 1.148  -0.101 1.066  -0.101 0.978  -0.101 0.890  -0.101 0.802  -0.101 0.714  -0.101 0.626  -0.101 0.538  -0.101 0.450  -0.101 0.362  -0.100 0.274  -0.078 0.189  -0.057 0.103  -0.036 0.018  -0.014 -0.067  0.007 -0.153  0.028 -0.238  0.050 -0.323  0.071 -0.409  0.092 -0.494  0.114 -0.580  0.135 -0.665  0.156 -0.750  0.178 -0.836  0.199 -0.921  0.174 -0.970  0.086 -0.970  0.055 -1.028  0.055 -1.116  0.110 -1.181  0.133 -1.149  0.199 -1.126  0.211 -1.051  0.204 -0.970  0.116 -0.970  0.055 -0.998  0.093 -1.048  0.133 -1.000  0.075 -0.970  0.055 -1.038  -0.023 -1.048
1d#app#app34#app3492/~  -1.507 -0.431  -1.507 -0.311  -1.507 -0.191  -1.507 -0.071  -1.496 0.039  -1.376 0.039  -1.260 0.050  -1.175 0.135  -1.090 0.220  -1.005 0.305  -0.920 0.390  -0.835 0.475  -0.729 0.509  -0.609 0.509  -0.567 0.430  -0.567 0.310  -0.483 0.274  -0.363 0.274  -0.332 0.184  -0.332 0.064  -0.237 0.039  -0.117 0.039  -0.098 -0.062  -0.098 -0.182  -0.023 -0.271  0.062 -0.356  0.137 -0.445  0.137 -0.565  0.157 -0.666  0.277 -0.666  0.372 -0.641  0.372 -0.521  0.403 -0.431  0.523 -0.431  0.607 -0.395  0.607 -0.275  0.649 -0.196  0.769 -0.196  0.842 -0.149  0.842 -0.029  0.895 0.039  1.015 0.039  1.118 0.080  1.203 0.165  1.288 0.250  1.373 0.335  1.458 0.420  1.543 0.505  1.547 0.623  1.547 0.743
1d#app#app34#app3492/  -1.461 -0.290  -1.374 -0.290  -1.288 -0.290  -1.230 -0.261  -1.230 -0.174  -1.230 -0.088  -1.172 -0.060  -1.085 -0.060  -1.002 -0.060  -1.088 -0.060  -1.175 -0.060  -1.200 -0.060  -1.113 -0.060  -1.027 -0.060  -0.940 -0.060  -0.854 -0.060  -0.767 -0.060  -0.681 -0.060  -0.594 -0.060  -0.507 -0.060  -0.421 -0.060  -0.334 -0.060  -0.248 -0.060  -0.161 -0.060  -0.075 -0.060  0.012 -0.060  0.098 -0.060  0.185 -0.060  0.271 -0.060  0.358 -0.060  0.444 -0.060  0.531 -0.060  0.616 -0.056  0.677 0.005  0.738 0.066  0.799 0.128  0.868 0.170  0.955 0.170  1.041 0.170  1.128 0.170  1.214 0.170  1.301 0.170  1.387 0.170  1.474 0.170  1.505 0.170  1.418 0.170  1.332 0.170  1.302 0.227  1.302 0.314  1.302 0.400
1d#app#app34#app3492/_  -1.719 0.119  -1.640 0.119  -1.560 0.119  -1.480 0.119  -1.413 0.148  -1.356 0.205  -1.298 0.257  -1.218 0.257  -1.138 0.257  -1.059 0.257  -0.979 0.257  -0.899 0.257  -0.840 0.208  -0.783 0.151  -0.717 0.119  -0.637 0.119  -0.558 0.119  -0.478 0.119  -0.420 0.065  -0.364 0.009  -0.296 -0.020  -0.216 -0.020  -0.136 -0.020  -0.058 -0.022  -0.058 -0.102  -0.035 -0.158  0.044 -0.158  0.124 -0.158  0.204 -0.158  0.284 -0.158  0.363 -0.158  0.443 -0.158  0.523 -0.158  0.603 -0.158  0.683 -0.158  0.762 -0.158  0.842 -0.158  0.922 -0.158  1.002 -0.158  1.081 -0.158  1.161 -0.158  1.241 -0.158  1.321 -0.158  1.401 -0.158  1.464 -0.142  1.464 -0.062  1.426 -0.020  1.347 -0.020  1.326 0.039  1.326 0.119
1d#app#app34#app3492/+  0.355 1.747  0.355 1.575  0.200 1.559  0.167 1.421  0.167 1.249  0.167 1.078  0.167 0.907  0.167 0.736  0.167 0.565  0.139 0.405  0.018 0.284  -0.020 0.129  -0.020 -0.042  -0.080 -0.188  -0.201 -0.309  -0.208 -0.478  -0.208 -0.649  -0.208 -0.820  -0.208 -0.991  -0.208 -1.163  -0.264 -1.197  -0.385 -1.076  -0.507 -0.955  -0.628 -0.834  -0.749 -0.713  -0.870 -0.592  -0.991 -0.471  -1.112 -0.350  -1.233 -0.229  -1.303 -0.128  -1.132 -0.128  -0.961 -0.128  -0.790 -0.128  -0.619 -0.128  -0.447 -0.128  -0.311 -0.044  -0.183 0.059  -0.012 0.059  0.160 0.059  0.331 0.059  0.502 0.059  0.673 0.059  0.844 0.059  1.015 0.059  1.187 0.059  1.292 -0.006  1.341 -0.128  1.480 -0.096  1.480 0.043  1.480 -0.128
1d#app#app34#app3492/=  -1.382 0.621  -1.201 0.621  -1.058 0.713  -0.930 0.841  -0.754 0.853  -0.573 0.853  -0.393 0.853  -0.212 0.853  -0.031 0.853  0.150 0.853  0.331 0.853  0.512 0.853  0.693 0.853  0.874 0.853  0.939 0.738  1.003 0.621  1.172 0.608  1.172 0.428  1.039 0.336  0.872 0.269  0.704 0.202  0.536 0.135  0.368 0.067  0.200 0.000  0.032 -0.067  -0.136 -0.134  -0.304 -0.201  -0.472 -0.269  -0.640 -0.336  -0.808 -0.403  -0.976 -0.470  -1.144 -0.537  -1.150 -0.714  -1.026 -0.772  -0.917 -0.699  -0.896 -0.540  -0.716 -0.540  -0.535 -0.540  -0.354 -0.540  -0.173 -0.540  0.008 -0.540  0.189 -0.540  0.370 -0.540  0.475 -0.615  0.499 -0.772  0.680 -0.772  0.861 -0.772  0.939 -0.874  0.991 -1.004  1.172 -1.004
1d#app#app34#app3492/[  0.788 1.077  0.868 1.077  0.776 1.077  0.683 1.077  0.598 1.095  0.533 1.161  0.442 1.164  0.352 1.158  0.286 1.093  0.200 1.077  0.108 1.077  0.015 1.077  -0.077 1.077  -0.160 1.068  -0.160 0.975  -0.160 0.883  -0.160 0.790  -0.160 0.698  -0.160 0.605  -0.194 0.527  -0.247 0.456  -0.247 0.364  -0.247 0.271  -0.247 0.179  -0.247 0.086  -0.247 -0.006  -0.271 -0.093  -0.313 -0.176  -0.333 -0.263  -0.333 -0.356  -0.333 -0.448  -0.333 -0.541  -0.384 -0.612  -0.419 -0.690  -0.419 -0.783  -0.419 -0.875  -0.419 -0.968  -0.419 -1.060  -0.367 -1.131  -0.289 -1.165  -0.196 -1.165  -0.104 -1.165  -0.011 -1.165  0.081 -1.165  0.174 -1.165  0.258 -1.202  0.340 -1.243  0.431 -1.251  0.523 -1.251  0.616 -1.251
1d#app#app34#app3492/]  -0.543 1.248  -0.540 1.341  -0.451 1.334  -0.440 1.248  -0.344 1.248  -0.248 1.248  -0.152 1.248  -0.056 1.248  0.040 1.248  0.105 1.217  0.139 1.155  0.197 1.117  0.197 1.021  0.197 0.925  0.197 0.829  0.249 0.785  0.290 0.730  0.290 0.634  0.290 0.538  0.290 0.442  0.290 0.346  0.290 0.250  0.290 0.154  0.290 0.058  0.290 -0.038  0.290 -0.135  0.290 -0.231  0.290 -0.327  0.290 -0.423  0.290 -0.519  0.290 -0.615  0.290 -0.711  0.290 -0.807  0.290 -0.903  0.265 -0.974  0.197 -1.002  0.197 -1.098  0.162 -1.159  0.066 -1.159  -0.030 -1.159  -0.113 -1.127  -0.184 -1.067  -0.280 -1.067  -0.371 -1.054  -0.438 -0.986  -0.529 -0.974  -0.626 -0.974  -0.722 -0.974  -0.728 -1.063  -0.636 -1.067
1d#app#app34#app3492/{  0.718 1.155  0.700 1.237  0.635 1.275  0.580 1.320  0.478 1.320  0.378 1.316  0.287 1.271  0.193 1.237  0.105 1.205  0.025 1.155  -0.077 1.155  -0.111 1.087  -0.172 1.011  -0.194 0.919  -0.194 0.817  -0.194 0.716  -0.194 0.614  -0.150 0.531  -0.079 0.459  -0.028 0.379  0.006 0.291  0.055 0.210  0.106 0.160  0.138 0.090  0.138 -0.011  0.121 -0.106  0.047 -0.172  -0.054 -0.172  -0.156 -0.172  -0.149 -0.217  -0.063 -0.255  -0.028 -0.321  -0.028 -0.423  -0.042 -0.518  -0.111 -0.591  -0.134 -0.669  -0.194 -0.711  -0.194 -0.813  -0.273 -0.835  -0.277 -0.933  -0.277 -1.034  -0.277 -1.136  -0.277 -1.237  -0.277 -1.339  -0.259 -1.433  -0.194 -1.507  -0.166 -1.581  -0.065 -1.581  0.036 -1.581  0.138 -1.581
1d#app#app34#app3492/}  -0.362 1.504  -0.243 1.504  -0.124 1.504  -0.005 1.504  0.113 1.504  0.231 1.501  0.311 1.415  0.311 1.297  0.311 1.178  0.293 1.066  0.227 0.975  0.167 0.916  0.136 0.825  0.052 0.741  -0.035 0.664  -0.109 0.619  -0.165 0.524  -0.249 0.440  -0.356 0.411  -0.391 0.327  -0.446 0.263  -0.446 0.144  -0.446 0.026  -0.386 -0.068  -0.278 -0.093  -0.163 -0.109  -0.056 -0.162  0.059 -0.177  0.143 -0.212  0.074 -0.261  -0.015 -0.335  -0.109 -0.365  -0.109 -0.484  -0.046 -0.576  0.059 -0.602  0.098 -0.682  0.143 -0.756  0.227 -0.791  0.269 -0.892  0.311 -0.993  0.377 -1.084  0.395 -1.196  0.364 -1.302  0.267 -1.354  0.148 -1.354  0.059 -1.384  -0.005 -1.438  -0.124 -1.438  -0.194 -1.389  -0.278 -1.354
1d#app#app34#app3492/\\  -0.915 1.445  -0.915 1.539  -0.915 1.519  -0.915 1.426  -0.915 1.332  -0.861 1.261  -0.795 1.195  -0.729 1.129  -0.662 1.063  -0.596 0.997  -0.530 0.931  -0.497 0.844  -0.467 0.756  -0.438 0.667  -0.408 0.578  -0.361 0.501  -0.295 0.435  -0.241 0.360  -0.200 0.276  -0.158 0.192  -0.106 0.116  -0.040 0.050  0.026 -0.016  0.092 -0.082  0.158 -0.149  0.224 -0.215  0.290 -0.281  0.356 -0.347  0.389 -0.427  0.396 -0.517  0.462 -0.583  0.519 -0.653  0.519 -0.746  0.519 -0.840  0.552 -0.901  0.645 -0.901  0.650 -0.990  0.650 -1.083  0.650 -1.147  0.650 -1.053  0.578 -1.031  0.519 -0.997  0.519 -0.903  0.519 -0.810  0.465 -0.771  0.389 -0.753  0.389 -0.660  0.315 -0.640  0.259 -0.603  0.259 -0.510
1d#app#app34#app3492/,  -0.338 1.540  -0.254 1.540  -0.170 1.540  -0.129 1.498  -0.129 1.414  -0.129 1.330  -0.129 1.246  -0.129 1.162  -0.085 1.121  -0.001 1.121  0.081 1.119  0.081 1.035  0.081 0.951  0.081 0.867  0.081 0.783  0.081 0.700  0.081 0.616  0.081 0.532  0.101 0.452  0.139 0.377  0.176 0.302  0.214 0.227  0.251 0.152  0.289 0.077  0.290 -0.007  0.290 -0.091  0.290 -0.175  0.290 -0.259  0.290 -0.343  0.290 -0.426  0.290 -0.510  0.261 -0.582  0.202 -0.642  0.142 -0.701  0.083 -0.760  0.081 -0.843  0.081 -0.927  0.042 -0.972  -0.042 -0.972  -0.126 -0.972  -0.129 -1.054  -0.129 -1.138  -0.169 -1.181  -0.253 -1.181  -0.337 -1.181  -0.338 -1.264  -0.338 -1.348  -0.379 -1.391  -0.463 -1.391  -0.547 -1.391
1d#app#app34#app3492/  0.902 1.044  0.902 1.119  0.902 1.193  0.863 1.229  0.809 1.208  0.806 1.137  0.731 1.137  0.674 1.094  0.621 1.041  0.569 0.989  0.522 0.932  0.489 0.865  0.455 0.798  0.411 0.739  0.359 0.686  0.306 0.633  0.254 0.580  0.220 0.514  0.187 0.447  0.154 0.380  0.120 0.313  0.087 0.247  0.044 0.187  -0.009 0.134  -0.047 0.071  -0.080 0.004  -0.114 -0.062  -0.147 -0.129  -0.180 -0.196  -0.207 -0.264  -0.207 -0.339  -0.207 -0.413  -0.245 -0.472  -0.298 -0.525  -0.332 -0.591  -0.365 -0.658  -0.402 -0.722  -0.455 -0.774  -0.508 -0.827  -0.561 -0.880  -0.577 -0.948  -0.577 -1.023  -0.588 -1.092  -0.641 -1.145  -0.704 -1.173  -0.761 -1.190  -0.761 -1.265  -0.814 -1.318  -0.836 -1.358  -0.761 -1.358
1d#app#app34#app3492/?  -0.616 1.078  -0.584 1.182  -0.447 1.182  -0.310 1.182  -0.174 1.182  -0.037 1.182  0.100 1.182  0.236 1.182  0.373 1.182  0.510 1.182  0.642 1.172  0.740 1.078  0.841 1.042  0.841 0.906  0.841 0.769  0.820 0.641  0.723 0.544  0.633 0.445  0.592 0.350  0.476 0.297  0.361 0.245  0.253 0.178  0.131 0.141  0.029 0.058  -0.068 -0.039  -0.193 -0.067  -0.291 -0.158  -0.408 -0.186  -0.455 -0.275  -0.592 -0.275  -0.622 -0.385  -0.719 -0.482  -0.690 -0.587  -0.616 -0.650  -0.521 -0.691  -0.384 -0.691  -0.247 -0.691  -0.111 -0.691  0.026 -0.691  0.092 -0.738  0.038 -0.863  -0.015 -0.989  -0.069 -1.114  -0.123 -1.240  -0.177 -1.366  -0.122 -1.420  -0.102 -1.316  -0.200 -1.277  -0.200 -1.283  -0.200 -1.420
1d#app#app34#app3492/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
1d#app#app34#app3492/\"  -0.382 1.461  -0.382 1.311  -0.382 1.160  -0.495 1.123  -0.646 1.123  -0.720 1.047  -0.720 0.896  -0.720 0.745  -0.720 0.595  -0.720 0.444  -0.720 0.294  -0.720 0.143  -0.720 -0.008  -0.720 -0.158  -0.720 -0.309  -0.720 -0.459  -0.720 -0.610  -0.720 -0.761  -0.720 -0.911  -0.720 -1.062  -0.720 -1.212  -0.645 -1.155  -0.548 -1.039  -0.452 -0.924  -0.356 -0.808  -0.259 -0.692  -0.163 -0.577  -0.066 -0.461  0.030 -0.345  0.126 -0.230  0.223 -0.114  0.319 0.002  0.416 0.117  0.512 0.233  0.608 0.349  0.705 0.464  0.801 0.580  0.898 0.696  0.972 0.749  0.972 0.599  0.972 0.448  0.972 0.298  0.972 0.147  0.972 -0.004  0.972 -0.154  0.972 -0.305  0.972 -0.455  0.972 -0.606  0.972 -0.757  0.972 -0.907
1d#app#app34#app3492/<  1.154 1.458  1.057 1.458  1.027 1.391  1.001 1.305  0.932 1.236  0.863 1.167  0.795 1.099  0.726 1.030  0.657 0.961  0.589 0.892  0.520 0.824  0.451 0.755  0.382 0.686  0.314 0.618  0.245 0.549  0.176 0.480  0.108 0.411  0.039 0.343  -0.030 0.274  -0.099 0.205  -0.188 0.187  -0.273 0.158  -0.342 0.089  -0.411 0.020  -0.479 -0.048  -0.548 -0.117  -0.617 -0.186  -0.685 -0.254  -0.755 -0.322  -0.852 -0.322  -0.880 -0.391  -0.880 -0.488  -0.871 -0.576  -0.774 -0.576  -0.753 -0.652  -0.706 -0.703  -0.609 -0.703  -0.512 -0.703  -0.439 -0.762  -0.370 -0.830  -0.273 -0.830  -0.183 -0.861  -0.096 -0.904  -0.009 -0.948  0.085 -0.958  0.169 -0.990  0.238 -1.058  0.324 -1.085  0.391 -1.115  0.391 -1.212
1d#app#app34#app3492/|  0.115 1.685  0.115 1.616  0.115 1.546  0.106 1.478  0.075 1.416  0.043 1.353  0.021 1.289  0.021 1.219  0.021 1.149  0.021 1.079  0.021 1.009  0.021 0.940  0.021 0.870  0.021 0.800  0.021 0.730  0.021 0.660  0.021 0.591  0.021 0.521  0.021 0.451  0.021 0.381  0.021 0.311  0.021 0.242  0.021 0.172  0.021 0.102  0.021 0.032  0.021 -0.038  0.021 -0.108  0.021 -0.177  0.021 -0.247  0.021 -0.317  0.021 -0.387  0.021 -0.457  0.006 -0.524  -0.017 -0.590  -0.039 -0.656  -0.061 -0.723  -0.073 -0.790  -0.073 -0.860  -0.073 -0.930  -0.073 -1.000  -0.073 -1.070  -0.073 -1.140  -0.073 -1.209  -0.073 -1.279  -0.073 -1.349  -0.073 -1.419  -0.073 -1.489  -0.073 -1.558  -0.073 -1.628  -0.073 -1.698
1d#app#app34#app3492/>  -0.867 1.498  -0.770 1.498  -0.738 1.434  -0.706 1.370  -0.610 1.370  -0.610 1.273  -0.564 1.196  -0.496 1.128  -0.428 1.059  -0.360 0.991  -0.314 0.907  -0.271 0.821  -0.228 0.734  -0.162 0.665  -0.092 0.600  0.004 0.600  0.081 0.551  0.149 0.483  0.160 0.391  0.194 0.309  0.262 0.241  0.348 0.215  0.417 0.187  0.417 0.091  0.482 0.021  0.545 -0.049  0.545 -0.145  0.596 -0.221  0.664 -0.289  0.674 -0.381  0.674 -0.477  0.656 -0.556  0.559 -0.556  0.463 -0.556  0.417 -0.606  0.399 -0.684  0.302 -0.684  0.230 -0.743  0.162 -0.811  0.094 -0.879  0.023 -0.941  -0.073 -0.941  -0.096 -1.014  -0.126 -1.099  -0.194 -1.167  -0.262 -1.235  -0.330 -1.303  -0.353 -1.390  -0.385 -1.454  -0.482 -1.454
