1c#apa#apa13#app1304/f  -0.353 -0.254  -0.243 -0.330  -0.134 -0.405  0.022 -0.334  0.152 -0.203  0.230 -0.050  0.321 0.110  0.432 0.255  0.481 0.429  0.556 0.596  0.556 0.781  0.606 0.958  0.631 1.139  0.586 1.306  0.508 1.459  0.431 1.612  0.278 1.689  0.111 1.681  0.016 1.553  -0.126 1.471  -0.161 1.300  -0.201 1.132  -0.201 0.947  -0.255 0.774  -0.277 0.594  -0.277 0.409  -0.220 0.237  -0.201 0.057  -0.201 -0.128  -0.201 -0.314  -0.160 -0.489  -0.111 -0.662  -0.050 -0.833  -0.013 -1.010  0.070 -1.175  0.140 -1.314  0.113 -1.355  -0.050 -1.267  -0.213 -1.179  -0.376 -1.092  -0.539 -1.004  -0.702 -0.916  -0.741 -0.860  -0.556 -0.860  -0.371 -0.860  -0.212 -0.795  -0.037 -0.754  0.141 -0.708  0.326 -0.708  0.480 -0.632
1c#apa#apa13#app1304/i  0.085 -0.377  0.085 -0.468  0.085 -0.558  0.097 -0.644  0.161 -0.708  0.213 -0.776  0.213 -0.867  0.213 -0.957  0.213 -1.048  0.213 -1.138  0.213 -1.229  0.213 -1.319  0.211 -1.386  0.197 -1.297  0.182 -1.208  0.168 -1.118  0.154 -1.029  0.139 -0.940  0.125 -0.850  0.111 -0.761  0.097 -0.672  0.082 -0.583  0.068 -0.493  0.054 -0.404  0.039 -0.315  0.025 -0.226  0.011 -0.136  -0.003 -0.047  -0.018 0.042  -0.032 0.132  -0.046 0.221  -0.061 0.310  -0.075 0.399  -0.089 0.489  -0.103 0.578  -0.118 0.667  -0.132 0.756  -0.146 0.846  -0.160 0.935  -0.175 1.024  -0.189 1.114  -0.203 1.203  -0.218 1.292  -0.232 1.381  -0.246 1.471  -0.260 1.560  -0.275 1.649  -0.289 1.738  -0.297 1.828  -0.297 1.919
1c#apa#apa13#app1304/v  -0.878 0.974  -0.878 0.859  -0.878 0.745  -0.878 0.630  -0.838 0.525  -0.787 0.423  -0.755 0.316  -0.755 0.201  -0.755 0.086  -0.755 -0.028  -0.748 -0.140  -0.667 -0.221  -0.632 -0.321  -0.632 -0.435  -0.632 -0.550  -0.604 -0.653  -0.523 -0.734  -0.509 -0.843  -0.509 -0.957  -0.431 -0.994  -0.317 -0.994  -0.263 -1.055  -0.263 -1.065  -0.219 -0.994  -0.140 -0.959  -0.121 -0.852  -0.040 -0.771  0.041 -0.690  0.106 -0.603  0.106 -0.488  0.110 -0.375  0.191 -0.294  0.263 -0.206  0.327 -0.110  0.390 -0.015  0.454 0.080  0.529 0.166  0.606 0.250  0.657 0.353  0.708 0.455  0.781 0.542  0.862 0.623  0.943 0.704  1.024 0.785  1.090 0.872  1.099 0.983  1.180 1.064  1.261 1.145  1.336 1.228  1.336 1.343
1c#apa#apa13#app1304/e  -0.757 -0.553  -0.596 -0.527  -0.469 -0.419  -0.313 -0.379  -0.218 -0.247  -0.152 -0.116  0.002 -0.039  0.052 0.102  0.161 0.230  0.282 0.351  0.404 0.473  0.457 0.623  0.552 0.756  0.592 0.911  0.592 1.083  0.538 1.201  0.365 1.201  0.193 1.201  0.030 1.148  -0.133 1.094  -0.276 1.007  -0.398 0.885  -0.520 0.764  -0.641 0.642  -0.763 0.520  -0.885 0.399  -0.892 0.230  -0.937 0.076  -1.027 -0.058  -1.027 -0.230  -1.027 -0.403  -0.958 -0.558  -0.866 -0.688  -0.757 -0.752  -0.657 -0.823  -0.485 -0.823  -0.313 -0.823  -0.141 -0.823  0.031 -0.823  0.187 -0.756  0.344 -0.688  0.516 -0.688  0.688 -0.688  0.846 -0.629  1.000 -0.552  1.154 -0.475  1.310 -0.404  1.473 -0.350  1.636 -0.295  1.806 -0.284
1c#apa#apa13#app1304/r  -0.494 0.185  -0.494 0.060  -0.490 -0.063  -0.402 -0.151  -0.372 -0.263  -0.372 -0.387  -0.372 -0.512  -0.372 -0.637  -0.372 -0.761  -0.305 -0.858  -0.250 -0.960  -0.250 -1.084  -0.250 -1.209  -0.212 -1.318  -0.128 -1.396  -0.128 -1.271  -0.128 -1.146  -0.128 -1.022  -0.128 -0.897  -0.147 -0.791  -0.250 -0.770  -0.250 -0.646  -0.269 -0.529  -0.357 -0.441  -0.372 -0.322  -0.477 -0.303  -0.494 -0.195  -0.494 -0.071  -0.494 0.054  -0.494 0.179  -0.494 0.303  -0.409 0.392  -0.320 0.480  -0.228 0.562  -0.116 0.618  -0.005 0.674  0.083 0.762  0.194 0.795  0.310 0.831  0.421 0.887  0.522 0.957  0.612 1.043  0.723 1.099  0.835 1.154  0.958 1.161  1.082 1.161  1.207 1.161  1.331 1.161  1.456 1.161  1.581 1.161
1c#apa#apa13#app1304/w  -0.926 1.347  -0.956 1.181  -1.060 1.046  -1.060 0.868  -1.060 0.690  -1.111 0.520  -1.168 0.352  -1.195 0.178  -1.195 -0.000  -1.069 -0.126  -1.060 -0.300  -0.986 -0.404  -0.808 -0.404  -0.630 -0.404  -0.452 -0.404  -0.274 -0.404  -0.142 -0.294  -0.016 -0.168  0.110 -0.042  0.152 0.119  0.152 0.297  0.152 0.475  0.152 0.653  0.129 0.808  0.017 0.741  -0.060 0.596  -0.117 0.441  -0.117 0.263  -0.117 0.085  -0.117 -0.093  -0.117 -0.271  -0.117 -0.449  -0.117 -0.627  0.000 -0.733  0.152 -0.817  0.204 -0.943  0.382 -0.943  0.560 -0.943  0.724 -0.910  0.850 -0.784  0.960 -0.651  1.007 -0.493  1.148 -0.404  1.230 -0.308  1.292 -0.144  1.364 0.017  1.364 0.195  1.364 0.373  1.355 0.547  1.230 0.673
1c#apa#apa13#app1304/h  -0.669 1.933  -0.669 1.773  -0.669 1.613  -0.669 1.453  -0.669 1.293  -0.669 1.133  -0.669 0.974  -0.669 0.814  -0.669 0.654  -0.669 0.494  -0.669 0.334  -0.669 0.175  -0.669 0.015  -0.669 -0.145  -0.621 -0.285  -0.534 -0.409  -0.534 -0.568  -0.534 -0.728  -0.534 -0.888  -0.401 -0.916  -0.377 -1.051  -0.262 -1.006  -0.231 -0.854  -0.160 -0.711  -0.066 -0.584  0.009 -0.455  0.064 -0.318  0.145 -0.192  0.194 -0.052  0.280 0.072  0.315 0.221  0.403 0.354  0.492 0.487  0.551 0.629  0.628 0.712  0.687 0.611  0.687 0.451  0.687 0.291  0.660 0.143  0.551 0.028  0.551 -0.132  0.551 -0.292  0.551 -0.452  0.551 -0.611  0.641 -0.734  0.687 -0.875  0.771 -1.000  0.910 -1.051  0.958 -1.163  1.094 -1.187
1c#apa#apa13#app1304/i  -0.068 0.301  -0.068 0.188  -0.068 0.076  -0.068 -0.036  -0.068 -0.148  -0.068 -0.260  -0.068 -0.372  -0.068 -0.484  -0.068 -0.596  -0.068 -0.708  -0.068 -0.820  -0.068 -0.932  -0.068 -1.044  -0.068 -1.156  -0.068 -1.268  -0.068 -1.380  -0.013 -1.470  0.033 -1.469  0.033 -1.357  0.033 -1.245  0.033 -1.133  0.033 -1.021  0.033 -0.909  0.033 -0.797  0.033 -0.685  0.033 -0.572  0.033 -0.460  0.033 -0.348  0.033 -0.236  0.033 -0.124  0.033 -0.012  0.033 0.100  0.033 0.212  0.033 0.324  0.033 0.436  0.033 0.548  0.033 0.660  0.033 0.772  0.033 0.884  0.033 0.996  0.033 1.108  0.033 1.220  0.033 1.332  0.033 1.445  0.033 1.557  0.033 1.669  0.033 1.781  0.033 1.893  0.033 1.825  0.033 1.713
1c#apa#apa13#app1304/l  -0.153 1.688  -0.153 1.617  -0.153 1.545  -0.138 1.480  -0.087 1.430  -0.056 1.371  -0.056 1.300  -0.056 1.229  -0.056 1.157  -0.056 1.086  -0.056 1.015  -0.056 0.944  -0.056 0.872  -0.056 0.801  -0.056 0.730  -0.056 0.658  -0.056 0.587  -0.056 0.516  -0.056 0.444  -0.056 0.373  -0.056 0.302  -0.056 0.231  -0.056 0.159  -0.056 0.088  -0.056 0.017  -0.056 -0.055  -0.056 -0.126  -0.056 -0.197  -0.056 -0.269  -0.056 -0.340  -0.056 -0.411  -0.056 -0.482  -0.056 -0.554  -0.055 -0.625  -0.023 -0.688  0.009 -0.752  0.040 -0.816  0.040 -0.888  0.040 -0.959  0.056 -1.023  0.107 -1.074  0.136 -1.133  0.138 -1.204  0.170 -1.267  0.202 -1.331  0.232 -1.395  0.232 -1.467  0.282 -1.488  0.329 -1.513  0.329 -1.584
1c#apa#apa13#app1304/e  -0.978 -0.122  -0.852 -0.236  -0.751 -0.307  -0.620 -0.350  -0.447 -0.350  -0.281 -0.335  -0.158 -0.212  -0.022 -0.122  0.139 -0.075  0.290 0.008  0.412 0.130  0.534 0.253  0.657 0.375  0.779 0.497  0.926 0.560  0.956 0.704  0.956 0.876  0.921 1.015  0.776 1.081  0.623 1.129  0.450 1.129  0.277 1.129  0.104 1.129  -0.050 1.065  -0.194 0.969  -0.332 0.866  -0.454 0.743  -0.576 0.621  -0.715 0.521  -0.865 0.441  -0.865 0.268  -0.920 0.108  -0.978 -0.051  -0.978 -0.224  -0.978 -0.397  -0.903 -0.539  -0.781 -0.661  -0.634 -0.750  -0.476 -0.821  -0.312 -0.875  -0.146 -0.919  0.027 -0.919  0.200 -0.919  0.373 -0.919  0.546 -0.919  0.719 -0.919  0.892 -0.919  1.065 -0.919  1.238 -0.919  1.411 -0.919
1c#apa#apa13#app1304/d  0.414 1.959  0.414 1.801  0.392 1.652  0.319 1.524  0.319 1.366  0.319 1.208  0.319 1.050  0.319 0.892  0.319 0.734  0.319 0.576  0.319 0.417  0.319 0.259  0.342 0.107  0.413 -0.035  0.414 -0.193  0.434 -0.342  0.509 -0.469  0.604 -0.532  0.604 -0.523  0.604 -0.365  0.604 -0.207  0.545 -0.073  0.434 0.038  0.322 0.150  0.319 0.307  0.210 0.398  0.081 0.486  -0.058 0.534  -0.216 0.534  -0.361 0.479  -0.490 0.391  -0.601 0.279  -0.683 0.145  -0.761 0.008  -0.848 -0.124  -0.917 -0.261  -0.917 -0.419  -0.917 -0.577  -0.917 -0.735  -0.916 -0.893  -0.846 -1.035  -0.720 -1.089  -0.598 -1.177  -0.440 -1.177  -0.282 -1.177  -0.124 -1.177  0.034 -1.177  0.193 -1.177  0.351 -1.177  0.509 -1.177
1c#apa#apa13#app1304/r  -0.218 0.779  -0.218 0.619  -0.218 0.459  -0.218 0.298  -0.218 0.138  -0.218 -0.022  -0.218 -0.182  -0.218 -0.343  -0.136 -0.421  0.022 -0.423  0.022 -0.584  0.022 -0.744  0.025 -0.903  0.138 -1.017  0.251 -1.130  0.262 -1.286  0.327 -1.381  0.487 -1.381  0.648 -1.381  0.742 -1.315  0.742 -1.155  0.596 -1.141  0.502 -1.074  0.502 -0.914  0.398 -0.797  0.285 -0.684  0.172 -0.570  0.058 -0.457  -0.055 -0.344  -0.168 -0.230  -0.218 -0.090  -0.225 0.067  -0.339 0.180  -0.452 0.293  -0.458 0.451  -0.530 0.539  -0.690 0.539  -0.698 0.692  -0.698 0.852  -0.698 1.013  -0.544 1.019  -0.392 1.052  -0.248 1.124  -0.105 1.196  0.035 1.272  0.148 1.386  0.262 1.499  0.422 1.499  0.582 1.499  0.742 1.499
1c#apa#apa13#app1304/i  0.099 0.202  0.099 0.094  0.099 -0.015  0.099 -0.124  0.099 -0.233  0.099 -0.342  0.099 -0.450  0.099 -0.559  0.099 -0.668  0.099 -0.777  0.099 -0.886  0.099 -0.995  0.099 -1.103  0.099 -1.212  0.099 -1.321  0.167 -1.402  0.238 -1.467  0.219 -1.360  0.200 -1.252  0.182 -1.145  0.163 -1.038  0.144 -0.931  0.126 -0.824  0.107 -0.716  0.088 -0.609  0.070 -0.502  0.051 -0.395  0.032 -0.287  0.014 -0.180  -0.005 -0.073  -0.024 0.034  -0.042 0.141  -0.061 0.249  -0.079 0.356  -0.098 0.463  -0.117 0.570  -0.135 0.677  -0.154 0.785  -0.173 0.892  -0.191 0.999  -0.210 1.106  -0.229 1.213  -0.247 1.321  -0.266 1.428  -0.285 1.535  -0.303 1.642  -0.309 1.739  -0.200 1.739  -0.118 1.802  -0.041 1.879
1c#apa#apa13#app1304/n  -0.931 0.857  -0.926 0.704  -0.778 0.695  -0.778 0.538  -0.778 0.380  -0.778 0.223  -0.778 0.065  -0.792 -0.089  -0.862 -0.230  -0.931 -0.372  -0.931 -0.529  -0.931 -0.687  -0.918 -0.839  -0.807 -0.951  -0.778 -1.096  -0.657 -1.133  -0.624 -1.008  -0.533 -0.888  -0.471 -0.756  -0.471 -0.598  -0.415 -0.464  -0.318 -0.346  -0.300 -0.196  -0.189 -0.085  -0.165 0.063  -0.108 0.207  -0.037 0.348  0.060 0.470  0.171 0.581  0.283 0.693  0.294 0.845  0.397 0.960  0.509 1.072  0.628 1.164  0.753 1.131  0.753 0.974  0.753 0.816  0.753 0.659  0.753 0.501  0.753 0.343  0.753 0.186  0.782 0.035  0.852 -0.106  0.907 -0.251  0.936 -0.396  1.047 -0.508  1.060 -0.660  1.204 -0.674  1.213 -0.822  1.366 -0.827
1c#apa#apa13#app1304/k  -0.868 2.067  -0.868 1.907  -0.868 1.747  -0.768 1.629  -0.755 1.474  -0.721 1.322  -0.649 1.179  -0.540 1.063  -0.530 0.907  -0.530 0.747  -0.473 0.600  -0.417 0.453  -0.417 0.293  -0.325 0.171  -0.304 0.020  -0.304 -0.140  -0.304 -0.300  -0.304 -0.460  -0.262 -0.610  -0.191 -0.754  -0.157 -0.899  -0.052 -0.937  0.034 -0.802  0.120 -0.667  0.206 -0.532  0.292 -0.397  0.377 -0.261  0.463 -0.126  0.549 0.009  0.635 0.144  0.692 0.263  0.532 0.263  0.372 0.263  0.226 0.229  0.099 0.150  0.034 0.054  -0.078 0.007  -0.078 -0.153  -0.073 -0.312  -0.002 -0.455  0.034 -0.607  0.124 -0.729  0.237 -0.843  0.386 -0.872  0.530 -0.944  0.682 -0.978  0.842 -0.978  0.983 -1.024  1.115 -1.091  1.275 -1.091
1c#apa#apa13#app1304/i  0.006 -0.112  0.006 -0.214  0.006 -0.316  0.006 -0.418  -0.031 -0.505  -0.103 -0.577  -0.112 -0.675  -0.112 -0.777  -0.087 -0.873  -0.041 -0.964  0.004 -1.056  0.006 -1.157  0.064 -1.235  0.136 -1.307  0.208 -1.380  0.235 -1.363  0.220 -1.263  0.204 -1.162  0.189 -1.061  0.173 -0.960  0.158 -0.859  0.142 -0.759  0.127 -0.658  0.111 -0.557  0.096 -0.456  0.080 -0.355  0.065 -0.254  0.049 -0.154  0.034 -0.053  0.018 0.048  0.003 0.149  -0.013 0.250  -0.028 0.350  -0.044 0.451  -0.059 0.552  -0.075 0.653  -0.090 0.754  -0.106 0.855  -0.121 0.955  -0.137 1.056  -0.152 1.157  -0.168 1.258  -0.183 1.359  -0.199 1.459  -0.214 1.560  -0.230 1.661  -0.132 1.665  -0.054 1.723  0.023 1.783  0.125 1.783
1c#apa#apa13#app1304/n  -0.716 0.968  -0.716 0.816  -0.716 0.664  -0.716 0.511  -0.814 0.399  -0.873 0.272  -0.873 0.119  -0.873 -0.033  -0.912 -0.169  -1.019 -0.277  -1.030 -0.425  -1.030 -0.577  -1.030 -0.730  -0.943 -0.846  -0.873 -0.969  -0.824 -1.073  -0.672 -1.073  -0.559 -1.034  -0.524 -0.916  -0.402 -0.886  -0.384 -0.741  -0.276 -0.633  -0.169 -0.526  -0.088 -0.407  -0.064 -0.264  0.044 -0.156  0.106 -0.021  0.154 0.124  0.202 0.269  0.226 0.417  0.277 0.548  0.384 0.656  0.452 0.793  0.520 0.929  0.617 1.045  0.736 1.125  0.854 1.092  0.854 0.939  0.854 0.787  0.854 0.634  0.854 0.482  0.854 0.330  0.854 0.177  0.854 0.025  0.854 -0.127  0.959 -0.236  1.067 -0.344  1.168 -0.454  1.173 -0.602  1.325 -0.602
1c#apa#apa13#app1304/g  0.433 0.986  0.525 1.029  0.525 1.163  0.397 1.169  0.262 1.169  0.128 1.169  0.002 1.137  -0.119 1.078  -0.239 1.046  -0.349 0.986  -0.483 0.986  -0.578 0.891  -0.665 0.793  -0.665 0.658  -0.665 0.524  -0.665 0.390  -0.601 0.282  -0.479 0.254  -0.345 0.254  -0.210 0.254  -0.076 0.254  0.049 0.291  0.167 0.354  0.267 0.437  0.384 0.479  0.497 0.529  0.422 0.518  0.342 0.417  0.342 0.283  0.335 0.150  0.275 0.030  0.250 -0.098  0.250 -0.232  0.250 -0.366  0.250 -0.501  0.296 -0.616  0.342 -0.731  0.342 -0.865  0.342 -0.999  0.266 -1.102  0.250 -1.230  0.250 -1.364  0.176 -1.467  0.049 -1.485  -0.086 -1.485  -0.220 -1.485  -0.354 -1.485  -0.488 -1.485  -0.622 -1.485  -0.757 -1.485
