2#apa#apa14#app1488/j  0.243 0.300  0.238 0.418  0.147 0.327  0.161 0.218  0.219 0.102  0.243 -0.022  0.288 -0.138  0.360 -0.245  0.432 -0.353  0.501 -0.463  0.559 -0.579  0.613 -0.695  0.605 -0.823  0.547 -0.939  0.489 -1.055  0.367 -1.096  0.244 -1.137  0.121 -1.178  -0.009 -1.178  -0.138 -1.178  -0.268 -1.178  -0.397 -1.178  -0.518 -1.157  -0.610 -1.065  -0.537 -0.973  -0.480 -0.863  -0.450 -0.737  -0.420 -0.611  -0.390 -0.485  -0.360 -0.359  -0.329 -0.233  -0.299 -0.107  -0.269 0.019  -0.239 0.146  -0.209 0.272  -0.179 0.398  -0.149 0.524  -0.119 0.650  -0.089 0.776  -0.059 0.902  -0.029 1.028  0.001 1.154  0.031 1.280  0.061 1.406  0.091 1.532  0.117 1.656  0.001 1.714  -0.115 1.772  -0.010 1.778  -0.003 1.655
2#apa#apa14#app1488/d  0.025 2.174  0.025 2.014  0.025 1.853  0.026 1.692  0.065 1.537  0.104 1.381  0.143 1.225  0.182 1.069  0.221 0.913  0.260 0.757  0.263 0.597  0.263 0.436  0.263 0.276  0.263 0.115  0.263 -0.046  0.263 -0.206  0.263 -0.367  0.300 -0.519  0.372 -0.663  0.444 -0.806  0.501 -0.887  0.501 -0.726  0.501 -0.565  0.501 -0.405  0.501 -0.244  0.501 -0.083  0.469 0.064  0.355 0.178  0.233 0.270  0.072 0.270  -0.088 0.270  -0.249 0.270  -0.410 0.270  -0.535 0.186  -0.649 0.072  -0.736 -0.061  -0.808 -0.205  -0.879 -0.348  -0.927 -0.498  -0.927 -0.658  -0.830 -0.779  -0.717 -0.893  -0.580 -0.974  -0.437 -1.046  -0.293 -1.118  -0.142 -1.158  0.019 -1.158  0.180 -1.158  0.340 -1.158  0.501 -1.158
2#apa#apa14#app1488/e  -0.594 -0.695  -0.594 -0.542  -0.591 -0.392  -0.438 -0.392  -0.292 -0.386  -0.292 -0.233  -0.284 -0.083  -0.176 0.025  -0.068 0.133  0.048 0.231  0.184 0.299  0.321 0.367  0.458 0.436  0.595 0.504  0.615 0.644  0.615 0.797  0.615 0.950  0.615 1.103  0.493 1.180  0.356 1.249  0.219 1.317  0.083 1.385  -0.041 1.370  -0.149 1.262  -0.257 1.154  -0.338 1.027  -0.406 0.890  -0.475 0.753  -0.543 0.616  -0.594 0.476  -0.594 0.323  -0.594 0.170  -0.594 0.017  -0.594 -0.136  -0.594 -0.289  -0.559 -0.427  -0.451 -0.535  -0.343 -0.643  -0.235 -0.752  -0.127 -0.860  -0.019 -0.968  0.089 -1.076  0.197 -1.184  0.306 -1.292  0.455 -1.299  0.608 -1.299  0.761 -1.299  0.914 -1.299  1.067 -1.299  1.220 -1.299
2#apa#apa14#app1488/n  -1.344 -0.140  -1.269 -0.215  -1.194 -0.290  -1.119 -0.365  -1.107 -0.466  -1.107 -0.572  -1.061 -0.659  -0.986 -0.734  -0.911 -0.809  -0.849 -0.808  -0.801 -0.713  -0.754 -0.618  -0.706 -0.523  -0.659 -0.428  -0.612 -0.333  -0.564 -0.238  -0.517 -0.143  -0.469 -0.049  -0.422 0.046  -0.396 0.146  -0.396 0.253  -0.396 0.359  -0.396 0.465  -0.396 0.571  -0.322 0.646  -0.247 0.721  -0.172 0.796  -0.096 0.745  -0.021 0.670  0.054 0.595  0.146 0.548  0.247 0.515  0.347 0.481  0.448 0.448  0.549 0.414  0.649 0.381  0.750 0.347  0.854 0.334  0.960 0.334  1.043 0.298  1.091 0.203  1.138 0.108  1.186 0.013  1.233 -0.082  1.291 -0.169  1.366 -0.244  1.441 -0.319  1.499 -0.401  1.499 -0.507  1.499 -0.613
2#apa#apa14#app1488/b  -0.763 1.744  -0.763 1.595  -0.763 1.445  -0.763 1.296  -0.763 1.146  -0.763 0.997  -0.732 0.854  -0.665 0.721  -0.599 0.587  -0.555 0.448  -0.555 0.298  -0.555 0.148  -0.555 -0.001  -0.555 -0.151  -0.555 -0.300  -0.555 -0.450  -0.555 -0.599  -0.555 -0.737  -0.555 -0.588  -0.555 -0.438  -0.538 -0.293  -0.471 -0.159  -0.404 -0.025  -0.348 0.111  -0.348 0.261  -0.266 0.376  -0.160 0.482  -0.018 0.501  0.131 0.501  0.279 0.496  0.384 0.390  0.494 0.293  0.643 0.293  0.735 0.200  0.802 0.066  0.869 -0.068  0.959 -0.185  1.065 -0.290  1.103 -0.424  1.103 -0.574  1.103 -0.723  1.103 -0.873  1.038 -0.982  0.904 -1.049  0.771 -1.116  0.634 -1.139  0.492 -1.092  0.350 -1.045  0.208 -0.997  0.066 -0.950
2#apa#apa14#app1488/y  -0.993 0.841  -0.993 1.001  -0.993 0.896  -0.918 0.767  -0.806 0.654  -0.735 0.512  -0.664 0.370  -0.576 0.239  -0.464 0.126  -0.351 0.014  -0.239 -0.099  -0.126 -0.212  -0.001 -0.307  0.141 -0.378  0.284 -0.449  0.325 -0.336  0.341 -0.178  0.356 -0.019  0.372 0.139  0.388 0.298  0.404 0.456  0.420 0.615  0.436 0.773  0.451 0.931  0.467 1.090  0.483 1.248  0.498 1.394  0.498 1.235  0.498 1.076  0.457 0.924  0.398 0.777  0.339 0.629  0.280 0.481  0.220 0.333  0.161 0.185  0.118 0.033  0.098 -0.125  0.078 -0.283  0.059 -0.441  0.039 -0.599  0.019 -0.757  -0.001 -0.915  -0.020 -1.073  -0.040 -1.231  -0.060 -1.389  -0.061 -1.548  -0.061 -1.707  -0.105 -1.856  -0.176 -1.998  -0.247 -2.141
2#apa#apa14#app1488/q  0.327 0.090  0.327 0.248  0.327 0.405  0.327 0.562  0.327 0.720  0.327 0.877  0.267 1.009  0.156 1.120  -0.001 1.121  -0.158 1.121  -0.309 1.081  -0.458 1.031  -0.608 0.981  -0.724 0.897  -0.783 0.751  -0.841 0.605  -0.900 0.459  -0.958 0.313  -1.016 0.167  -1.047 0.016  -0.993 -0.108  -0.852 -0.179  -0.712 -0.249  -0.580 -0.171  -0.449 -0.084  -0.318 0.004  -0.187 0.090  -0.030 0.090  0.085 0.192  0.196 0.303  0.307 0.414  0.327 0.563  0.327 0.491  0.327 0.333  0.366 0.185  0.436 0.045  0.499 -0.098  0.499 -0.255  0.499 -0.412  0.499 -0.570  0.499 -0.727  0.499 -0.884  0.499 -1.041  0.499 -1.199  0.499 -1.356  0.499 -1.513  0.499 -1.671  0.499 -1.828  0.513 -1.971  0.671 -1.971
2#apa#apa14#app1488/u  -0.817 0.670  -0.817 0.783  -0.817 0.868  -0.817 0.755  -0.817 0.643  -0.817 0.530  -0.817 0.418  -0.817 0.306  -0.817 0.193  -0.817 0.081  -0.817 -0.032  -0.817 -0.144  -0.817 -0.257  -0.817 -0.369  -0.817 -0.481  -0.817 -0.594  -0.768 -0.695  -0.718 -0.795  -0.668 -0.896  -0.617 -0.996  -0.518 -1.018  -0.406 -1.018  -0.311 -0.962  -0.217 -0.900  -0.124 -0.837  -0.030 -0.775  0.063 -0.713  0.157 -0.650  0.246 -0.584  0.309 -0.490  0.371 -0.397  0.434 -0.303  0.496 -0.209  0.558 -0.116  0.621 -0.022  0.697 0.055  0.797 0.106  0.898 0.156  0.999 0.206  1.082 0.267  1.082 0.379  1.082 0.492  1.082 0.604  1.082 0.717  1.082 0.829  1.040 0.924  0.961 1.003  0.881 1.083  0.773 1.093  0.660 1.093
2#apa#apa14#app1488/i  0.283 0.120  0.198 0.205  0.113 0.289  0.084 0.240  0.084 0.120  0.084 0.000  0.084 -0.119  0.084 -0.239  0.064 -0.356  0.035 -0.472  0.006 -0.588  -0.023 -0.704  -0.052 -0.820  -0.081 -0.936  -0.110 -1.052  -0.114 -1.171  -0.114 -1.291  -0.114 -1.411  -0.050 -1.466  0.070 -1.466  0.078 -1.361  0.072 -1.242  0.065 -1.122  0.059 -1.003  0.052 -0.884  0.045 -0.764  0.039 -0.645  0.032 -0.525  0.025 -0.406  0.019 -0.286  0.012 -0.167  0.005 -0.047  -0.001 0.072  -0.008 0.191  -0.014 0.311  -0.021 0.430  -0.028 0.550  -0.034 0.669  -0.041 0.789  -0.048 0.908  -0.054 1.028  -0.061 1.147  -0.068 1.267  -0.074 1.386  -0.081 1.505  -0.087 1.625  -0.094 1.744  -0.101 1.864  -0.107 1.983  -0.114 2.103
2#apa#apa14#app1488/e  -0.615 -0.562  -0.615 -0.413  -0.577 -0.303  -0.428 -0.303  -0.302 -0.248  -0.197 -0.143  -0.091 -0.038  0.014 0.067  0.119 0.172  0.224 0.278  0.329 0.383  0.421 0.494  0.421 0.642  0.421 0.791  0.421 0.940  0.421 1.089  0.421 1.238  0.288 1.253  0.139 1.253  -0.010 1.253  -0.159 1.253  -0.308 1.253  -0.427 1.182  -0.532 1.076  -0.615 0.962  -0.615 0.813  -0.615 0.665  -0.615 0.516  -0.615 0.367  -0.615 0.218  -0.615 0.069  -0.599 -0.076  -0.533 -0.209  -0.466 -0.342  -0.400 -0.475  -0.333 -0.608  -0.267 -0.741  -0.200 -0.874  -0.133 -1.007  -0.030 -1.080  0.119 -1.080  0.268 -1.080  0.417 -1.080  0.566 -1.080  0.714 -1.080  0.863 -1.080  1.012 -1.080  1.161 -1.080  1.310 -1.080  1.458 -1.080
2#apa#apa14#app1488/t  -1.007 1.377  -0.883 1.253  -0.758 1.128  -0.675 0.974  -0.597 0.816  -0.518 0.659  -0.439 0.502  -0.361 0.344  -0.282 0.187  -0.226 0.024  -0.226 -0.152  -0.226 -0.328  -0.226 -0.504  -0.226 -0.680  -0.226 -0.856  -0.179 -1.012  -0.055 -1.137  0.034 -1.276  0.034 -1.452  0.109 -1.365  0.203 -1.216  0.296 -1.067  0.389 -0.917  0.482 -0.768  0.576 -0.619  0.669 -0.470  0.762 -0.320  0.855 -0.171  0.949 -0.022  1.042 0.127  1.135 0.276  1.228 0.426  1.322 0.575  1.184 0.596  1.008 0.596  0.832 0.596  0.665 0.546  0.498 0.491  0.331 0.435  0.164 0.379  -0.005 0.336  -0.181 0.336  -0.357 0.336  -0.528 0.315  -0.686 0.237  -0.843 0.158  -1.000 0.079  -1.176 0.076  -1.352 0.076  -1.528 0.076
2#apa#apa14#app1488/z  -0.766 0.863  -0.766 0.983  -0.826 1.044  -0.946 1.044  -0.828 1.044  -0.707 1.044  -0.586 1.044  -0.466 1.044  -0.345 1.044  -0.224 1.044  -0.104 1.044  0.017 1.044  0.138 1.044  0.258 1.044  0.323 0.989  0.323 0.868  0.323 0.748  0.299 0.633  0.245 0.525  0.191 0.417  0.136 0.309  0.069 0.209  0.002 0.109  -0.065 0.008  -0.132 -0.092  -0.199 -0.192  -0.266 -0.293  -0.333 -0.393  -0.399 -0.494  -0.466 -0.594  -0.533 -0.694  -0.584 -0.800  -0.584 -0.920  -0.496 -0.952  -0.375 -0.952  -0.254 -0.952  -0.134 -0.952  -0.013 -0.952  0.108 -0.952  0.226 -0.931  0.343 -0.902  0.460 -0.873  0.577 -0.844  0.694 -0.814  0.811 -0.785  0.930 -0.771  1.051 -0.771  1.171 -0.771  1.292 -0.771  1.412 -0.771
2#apa#apa14#app1488/e  -0.696 -0.998  -0.582 -0.884  -0.468 -0.770  -0.428 -0.627  -0.428 -0.466  -0.288 -0.391  -0.144 -0.319  0.000 -0.248  0.137 -0.165  0.250 -0.052  0.364 0.062  0.478 0.176  0.591 0.289  0.705 0.403  0.819 0.517  0.914 0.638  0.914 0.799  0.914 0.960  0.914 1.121  0.780 1.148  0.619 1.148  0.459 1.148  0.298 1.148  0.137 1.148  -0.024 1.148  -0.185 1.148  -0.345 1.148  -0.447 1.072  -0.486 0.916  -0.525 0.760  -0.564 0.604  -0.603 0.448  -0.642 0.292  -0.681 0.136  -0.696 -0.023  -0.696 -0.184  -0.696 -0.345  -0.676 -0.501  -0.604 -0.645  -0.532 -0.789  -0.460 -0.933  -0.340 -0.998  -0.179 -0.998  -0.022 -1.032  0.134 -1.071  0.290 -1.110  0.446 -1.149  0.602 -1.188  0.758 -1.227  0.914 -1.266
2#apa#apa14#app1488/a  -0.129 -0.822  -0.004 -0.697  0.122 -0.571  0.247 -0.446  0.373 -0.320  0.498 -0.195  0.623 -0.070  0.673 0.087  0.673 0.264  0.673 0.442  0.673 0.619  0.664 0.793  0.538 0.918  0.413 1.043  0.239 1.051  0.061 1.051  -0.116 1.051  -0.294 1.051  -0.471 1.051  -0.648 1.051  -0.754 0.916  -0.852 0.768  -0.951 0.621  -1.049 0.473  -1.147 0.326  -1.199 0.164  -1.199 -0.013  -1.199 -0.191  -1.199 -0.368  -1.199 -0.545  -1.031 -0.555  -0.854 -0.555  -0.676 -0.555  -0.547 -0.438  -0.422 -0.312  -0.270 -0.224  -0.111 -0.144  0.047 -0.065  0.214 -0.020  0.391 -0.020  0.569 -0.020  0.696 -0.089  0.753 -0.257  0.809 -0.425  0.865 -0.593  0.921 -0.762  1.021 -0.903  1.147 -1.028  1.208 -1.180  1.208 -1.357
2#apa#apa14#app1488/l  -0.490 1.501  -0.490 1.428  -0.490 1.354  -0.490 1.281  -0.442 1.256  -0.369 1.256  -0.296 1.256  -0.246 1.233  -0.246 1.160  -0.246 1.086  -0.246 1.013  -0.246 0.940  -0.246 0.867  -0.246 0.793  -0.246 0.720  -0.246 0.647  -0.246 0.574  -0.230 0.507  -0.178 0.455  -0.127 0.403  -0.075 0.352  -0.023 0.300  0.007 0.236  0.021 0.165  0.036 0.093  0.050 0.021  0.064 -0.051  0.079 -0.123  0.093 -0.194  0.107 -0.266  0.122 -0.338  0.136 -0.410  0.151 -0.482  0.165 -0.554  0.179 -0.625  0.194 -0.697  0.208 -0.769  0.222 -0.841  0.237 -0.913  0.256 -0.983  0.279 -1.053  0.302 -1.122  0.325 -1.191  0.349 -1.261  0.372 -1.330  0.395 -1.400  0.418 -1.469  0.441 -1.539  0.464 -1.608  0.488 -1.678
