2#apa#apa14#app1457/I  0.136 1.572  0.066 1.572  -0.004 1.572  -0.010 1.508  -0.010 1.438  -0.010 1.368  -0.010 1.298  -0.010 1.228  -0.010 1.158  -0.010 1.088  -0.010 1.018  -0.010 0.948  -0.010 0.878  -0.010 0.808  -0.010 0.738  -0.010 0.668  -0.010 0.598  -0.010 0.528  -0.010 0.457  -0.010 0.387  -0.010 0.317  -0.010 0.247  -0.010 0.177  -0.010 0.107  -0.010 0.037  -0.010 -0.033  -0.010 -0.103  -0.010 -0.173  -0.010 -0.243  -0.010 -0.313  -0.010 -0.383  -0.010 -0.453  -0.010 -0.523  -0.010 -0.593  -0.010 -0.663  -0.010 -0.733  -0.010 -0.803  -0.010 -0.873  -0.010 -0.943  -0.010 -1.014  -0.010 -1.084  -0.010 -1.154  -0.010 -1.224  -0.010 -1.294  -0.010 -1.364  -0.010 -1.434  -0.010 -1.504  0.037 -1.554  0.087 -1.604  0.136 -1.653
2#apa#apa14#app1457/o  0.168 0.686  0.168 0.838  0.129 0.951  -0.022 0.951  -0.174 0.951  -0.326 0.951  -0.362 0.835  -0.364 0.686  -0.516 0.686  -0.627 0.645  -0.627 0.493  -0.627 0.341  -0.627 0.189  -0.745 0.156  -0.892 0.151  -0.892 -0.001  -0.892 -0.153  -0.892 -0.304  -0.892 -0.456  -0.892 -0.608  -0.892 -0.760  -0.883 -0.903  -0.732 -0.903  -0.594 -0.936  -0.486 -1.044  -0.379 -1.151  -0.234 -1.168  -0.083 -1.168  0.069 -1.168  0.205 -1.131  0.313 -1.024  0.420 -0.916  0.527 -0.809  0.635 -0.702  0.698 -0.576  0.698 -0.424  0.769 -0.302  0.877 -0.195  0.963 -0.079  0.963 0.073  0.963 0.225  0.963 0.376  0.963 0.528  0.963 0.680  0.860 0.789  0.752 0.896  0.623 0.951  0.472 0.951  0.320 0.951  0.168 0.951
2#apa#apa14#app1457/u  -0.875 0.616  -0.875 0.720  -0.875 0.824  -0.875 0.850  -0.875 0.746  -0.875 0.642  -0.875 0.538  -0.875 0.434  -0.875 0.329  -0.875 0.225  -0.875 0.121  -0.875 0.017  -0.875 -0.087  -0.875 -0.192  -0.875 -0.296  -0.875 -0.400  -0.857 -0.497  -0.784 -0.570  -0.710 -0.644  -0.636 -0.718  -0.546 -0.753  -0.442 -0.753  -0.338 -0.753  -0.234 -0.753  -0.130 -0.753  -0.025 -0.753  0.079 -0.753  0.183 -0.753  0.267 -0.705  0.341 -0.631  0.415 -0.557  0.488 -0.484  0.562 -0.410  0.636 -0.336  0.709 -0.263  0.783 -0.189  0.857 -0.115  0.931 -0.042  1.004 0.032  1.041 0.121  1.041 0.225  1.041 0.329  1.041 0.434  1.041 0.538  1.041 0.642  1.041 0.746  1.041 0.850  1.041 0.955  1.041 1.059  1.041 1.163
2#apa#apa14#app1457/r  -0.840 0.834  -0.840 0.966  -0.840 1.099  -0.759 1.037  -0.665 0.943  -0.572 0.850  -0.556 0.723  -0.556 0.591  -0.556 0.458  -0.556 0.325  -0.556 0.192  -0.556 0.060  -0.532 -0.067  -0.472 -0.186  -0.413 -0.305  -0.354 -0.424  -0.294 -0.542  -0.271 -0.670  -0.271 -0.802  -0.271 -0.935  -0.271 -1.068  -0.271 -1.201  -0.271 -1.334  -0.271 -1.416  -0.271 -1.284  -0.271 -1.151  -0.271 -1.018  -0.271 -0.885  -0.186 -0.788  -0.092 -0.694  0.001 -0.600  0.013 -0.472  0.013 -0.339  0.057 -0.217  0.116 -0.098  0.175 0.021  0.235 0.139  0.294 0.258  0.386 0.353  0.480 0.447  0.574 0.541  0.697 0.588  0.823 0.630  0.949 0.672  1.075 0.714  1.201 0.756  1.327 0.798  1.454 0.834  1.587 0.834  1.719 0.834
2#apa#apa14#app1457/F  -0.386 0.730  -0.534 0.681  -0.432 0.476  -0.386 0.259  -0.386 0.030  -0.386 -0.198  -0.386 -0.427  -0.331 -0.647  -0.259 -0.863  -0.212 -1.084  -0.212 -1.313  -0.212 -1.541  -0.212 -1.770  -0.341 -1.870  -0.386 -1.687  -0.386 -1.458  -0.386 -1.230  -0.386 -1.001  -0.386 -0.773  -0.386 -0.544  -0.386 -0.316  -0.386 -0.087  -0.386 0.141  -0.386 0.370  -0.415 0.586  -0.535 0.738  -0.319 0.810  -0.102 0.882  0.076 1.018  0.280 1.077  0.507 1.085  0.724 1.158  0.941 1.230  1.166 1.250  1.001 1.203  0.924 1.009  0.752 0.859  0.580 0.708  0.408 0.558  0.236 0.407  0.064 0.257  -0.108 0.107  -0.280 -0.044  -0.298 -0.137  -0.070 -0.137  0.159 -0.137  0.387 -0.137  0.616 -0.137  0.839 -0.125  1.001 0.037
2#apa#apa14#app1457/r  -0.730 -0.013  -0.730 0.132  -0.730 0.278  -0.871 0.282  -1.017 0.282  -1.026 0.418  -1.026 0.564  -1.026 0.445  -1.026 0.300  -0.898 0.282  -0.753 0.282  -0.675 0.172  -0.610 0.042  -0.545 -0.088  -0.480 -0.218  -0.404 -0.340  -0.301 -0.443  -0.198 -0.545  -0.140 -0.667  -0.140 -0.812  -0.099 -0.940  0.004 -1.043  0.107 -1.146  0.078 -1.194  -0.067 -1.194  -0.140 -1.122  -0.140 -0.976  -0.140 -0.831  -0.140 -0.685  -0.140 -0.540  -0.140 -0.395  -0.140 -0.249  -0.140 -0.104  -0.101 0.025  0.002 0.128  0.104 0.231  0.207 0.334  0.310 0.437  0.413 0.539  0.543 0.577  0.688 0.577  0.824 0.616  0.954 0.681  1.084 0.746  1.214 0.811  1.345 0.872  1.491 0.872  1.636 0.872  1.781 0.872  1.927 0.872
2#apa#apa14#app1457/i  -0.244 0.968  -0.303 1.028  -0.363 1.087  -0.422 1.146  -0.481 1.206  -0.541 1.265  -0.500 1.283  -0.416 1.283  -0.332 1.283  -0.248 1.283  -0.244 1.204  -0.244 1.120  -0.244 1.036  -0.244 0.952  -0.244 0.868  -0.244 0.784  -0.244 0.700  -0.227 0.620  -0.190 0.545  -0.152 0.470  -0.114 0.394  -0.077 0.319  -0.039 0.244  -0.002 0.169  0.036 0.094  0.071 0.018  0.071 -0.066  0.071 -0.150  0.071 -0.234  0.071 -0.318  0.071 -0.402  0.071 -0.486  0.071 -0.570  0.104 -0.640  0.164 -0.699  0.223 -0.759  0.283 -0.818  0.342 -0.878  0.386 -0.943  0.386 -1.027  0.386 -1.111  0.386 -1.195  0.386 -1.279  0.386 -1.363  0.386 -1.447  0.386 -1.531  0.386 -1.489  0.386 -1.405  0.386 -1.321  0.386 -1.237
2#apa#apa14#app1457/e  -0.259 0.175  -0.414 0.252  -0.569 0.330  -0.723 0.407  -0.605 0.420  -0.453 0.369  -0.331 0.247  -0.195 0.207  -0.040 0.284  0.114 0.362  0.274 0.420  0.447 0.420  0.620 0.420  0.721 0.492  0.721 0.665  0.721 0.838  0.620 0.910  0.447 0.910  0.274 0.910  0.101 0.910  -0.072 0.910  -0.245 0.910  -0.418 0.910  -0.504 0.823  -0.517 0.658  -0.672 0.581  -0.827 0.504  -0.982 0.426  -0.994 0.261  -0.994 0.088  -0.983 -0.081  -0.861 -0.203  -0.742 -0.328  -0.665 -0.483  -0.588 -0.637  -0.510 -0.792  -0.392 -0.917  -0.269 -1.039  -0.101 -1.050  0.072 -1.050  0.245 -1.050  0.418 -1.050  0.591 -1.050  0.764 -1.050  0.937 -1.050  1.068 -0.948  1.190 -0.825  1.355 -0.805  1.528 -0.805  1.701 -0.805
2#apa#apa14#app1457/n  -0.932 0.605  -0.791 0.605  -0.739 0.517  -0.739 0.377  -0.739 0.236  -0.739 0.096  -0.739 -0.045  -0.739 -0.185  -0.739 -0.326  -0.739 -0.466  -0.739 -0.606  -0.738 -0.747  -0.639 -0.846  -0.546 -0.930  -0.546 -0.790  -0.614 -0.678  -0.713 -0.578  -0.739 -0.448  -0.739 -0.308  -0.739 -0.167  -0.739 -0.027  -0.739 0.113  -0.739 0.254  -0.739 0.394  -0.652 0.499  -0.553 0.598  -0.415 0.605  -0.275 0.605  -0.134 0.605  0.006 0.605  0.147 0.605  0.287 0.605  0.428 0.605  0.568 0.605  0.709 0.605  0.849 0.605  0.989 0.605  1.091 0.512  1.191 0.413  1.191 0.272  1.191 0.132  1.191 -0.008  1.191 -0.149  1.191 -0.289  1.191 -0.430  1.191 -0.570  1.191 -0.711  1.191 -0.851  1.191 -0.992  1.191 -1.132
2#apa#apa14#app1457/d  0.117 1.645  -0.011 1.773  -0.077 1.749  -0.022 1.590  0.106 1.462  0.235 1.333  0.311 1.183  0.311 1.001  0.327 0.822  0.384 0.649  0.442 0.477  0.499 0.305  0.505 0.124  0.505 -0.058  0.505 -0.240  0.505 -0.422  0.505 -0.603  0.505 -0.785  0.597 -0.875  0.699 -0.795  0.631 -0.681  0.505 -0.626  0.505 -0.444  0.482 -0.271  0.354 -0.143  0.311 0.021  0.234 0.171  0.105 0.300  -0.023 0.428  -0.183 0.482  -0.364 0.482  -0.546 0.482  -0.708 0.433  -0.836 0.304  -0.965 0.176  -1.046 0.027  -1.046 -0.154  -1.046 -0.336  -1.046 -0.518  -1.030 -0.689  -0.867 -0.771  -0.704 -0.852  -0.542 -0.933  -0.379 -1.015  -0.210 -1.069  -0.029 -1.069  0.153 -1.069  0.335 -1.069  0.505 -1.057  0.505 -0.875
2#apa#apa14#app1457/,  0.414 0.202  0.342 0.274  0.270 0.346  0.197 0.418  0.125 0.491  0.053 0.563  -0.019 0.635  -0.092 0.707  -0.164 0.780  -0.236 0.852  -0.308 0.924  -0.381 0.996  -0.453 1.069  -0.525 1.141  -0.597 1.213  -0.658 1.269  -0.612 1.178  -0.567 1.087  -0.521 0.995  -0.475 0.904  -0.430 0.812  -0.384 0.721  -0.338 0.630  -0.293 0.538  -0.247 0.447  -0.201 0.355  -0.155 0.264  -0.110 0.173  -0.064 0.081  -0.018 -0.010  0.027 -0.102  0.073 -0.193  0.119 -0.284  0.164 -0.376  0.210 -0.467  0.256 -0.559  0.302 -0.650  0.347 -0.741  0.393 -0.833  0.414 -0.930  0.414 -1.032  0.414 -1.134  0.414 -1.236  0.414 -1.339  0.414 -1.441  0.414 -1.543  0.414 -1.645  0.414 -1.747  0.414 -1.850  0.414 -1.952
2#apa#apa14#app1457/\"  0.042 0.398  -0.116 0.398  -0.273 0.398  -0.431 0.398  -0.588 0.398  -0.746 0.398  -0.855 0.350  -0.855 0.193  -0.855 0.035  -0.855 -0.123  -0.855 -0.280  -0.855 -0.438  -0.855 -0.595  -0.855 -0.753  -0.855 -0.910  -0.855 -1.068  -0.855 -1.226  -0.855 -1.383  -0.775 -1.276  -0.688 -1.145  -0.600 -1.013  -0.513 -0.882  -0.425 -0.751  -0.338 -0.620  -0.251 -0.489  -0.163 -0.358  -0.076 -0.227  0.012 -0.096  0.099 0.035  0.186 0.166  0.274 0.298  0.361 0.429  0.449 0.560  0.536 0.691  0.623 0.822  0.711 0.953  0.798 1.084  0.886 1.215  0.939 1.234  0.939 1.077  0.939 0.919  0.939 0.762  0.939 0.604  0.939 0.447  0.939 0.289  0.939 0.131  0.939 -0.026  0.939 -0.184  0.939 -0.341  0.939 -0.499
