3#apa#apa13#app1334/<  1.113 1.052  1.221 1.052  1.194 1.052  1.085 1.052  0.977 1.052  0.896 0.984  0.819 0.907  0.713 0.903  0.604 0.903  0.495 0.903  0.387 0.903  0.305 0.839  0.228 0.762  0.123 0.754  0.031 0.714  -0.046 0.637  -0.078 0.542  -0.101 0.456  -0.209 0.456  -0.291 0.392  -0.368 0.315  -0.473 0.308  -0.525 0.250  -0.541 0.159  -0.650 0.159  -0.673 0.074  -0.718 0.010  -0.822 0.005  -0.822 -0.103  -0.822 -0.212  -0.822 -0.320  -0.822 -0.429  -0.722 -0.437  -0.673 -0.497  -0.659 -0.600  -0.583 -0.676  -0.498 -0.734  -0.389 -0.734  -0.309 -0.801  -0.232 -0.878  -0.126 -0.883  -0.035 -0.926  0.042 -1.003  0.119 -1.080  0.195 -1.157  0.294 -1.181  0.402 -1.181  0.511 -1.181  0.590 -1.253  0.666 -1.330
2#tos#f3#f3067059/<  0.171 1.639  0.221 1.593  0.308 1.584  0.308 1.488  0.354 1.437  0.354 1.341  0.345 1.246  0.315 1.155  0.287 1.068  0.219 1.000  0.171 0.924  0.148 0.837  0.080 0.769  0.012 0.701  -0.056 0.633  -0.100 0.547  -0.143 0.461  -0.186 0.375  -0.249 0.303  -0.311 0.230  -0.364 0.150  -0.417 0.070  -0.471 -0.011  -0.557 -0.054  -0.620 -0.125  -0.668 -0.207  -0.736 -0.275  -0.756 -0.286  -0.671 -0.314  -0.582 -0.332  -0.506 -0.383  -0.420 -0.426  -0.334 -0.469  -0.239 -0.472  -0.171 -0.540  -0.090 -0.591  -0.004 -0.634  0.063 -0.698  0.117 -0.778  0.198 -0.827  0.270 -0.889  0.351 -0.927  0.406 -1.005  0.456 -1.086  0.504 -1.169  0.537 -1.251  0.537 -1.348  0.590 -1.412  0.652 -1.478  0.675 -1.569
1d#apa#apa02#app0272/<  0.925 1.027  1.030 1.027  1.066 1.094  1.036 1.168  0.932 1.168  0.925 1.070  0.864 1.027  0.767 1.010  0.694 0.936  0.610 0.886  0.506 0.886  0.431 0.815  0.358 0.741  0.284 0.668  0.206 0.604  0.102 0.604  0.022 0.546  -0.052 0.473  -0.142 0.423  -0.235 0.376  -0.328 0.329  -0.405 0.260  -0.479 0.186  -0.581 0.181  -0.625 0.121  -0.648 0.040  -0.752 0.040  -0.830 -0.024  -0.903 -0.097  -0.836 -0.171  -0.763 -0.245  -0.689 -0.318  -0.611 -0.382  -0.507 -0.382  -0.484 -0.463  -0.440 -0.523  -0.343 -0.531  -0.343 -0.635  -0.290 -0.717  -0.217 -0.791  -0.143 -0.864  -0.069 -0.938  -0.061 -1.039  -0.022 -1.126  0.052 -1.200  0.126 -1.274  0.199 -1.347  0.221 -1.442  0.221 -1.547  0.221 -1.651
2#ibm#ibm0#r0414/<  1.137 1.238  1.023 1.238  0.909 1.238  0.820 1.175  0.739 1.095  0.659 1.014  0.564 0.952  0.462 0.900  0.360 0.849  0.258 0.798  0.155 0.747  0.067 0.677  -0.014 0.596  -0.095 0.515  -0.186 0.449  -0.288 0.398  -0.391 0.347  -0.493 0.296  -0.595 0.245  -0.686 0.178  -0.767 0.097  -0.848 0.016  -0.941 -0.034  -1.056 -0.034  -1.153 -0.051  -1.153 -0.166  -1.153 -0.280  -1.047 -0.289  -0.932 -0.289  -0.818 -0.289  -0.704 -0.289  -0.589 -0.289  -0.475 -0.289  -0.364 -0.301  -0.262 -0.352  -0.159 -0.404  -0.057 -0.455  0.045 -0.506  0.147 -0.557  0.250 -0.608  0.352 -0.659  0.454 -0.710  0.556 -0.761  0.652 -0.821  0.733 -0.902  0.814 -0.983  0.895 -1.064  0.976 -1.145  1.057 -1.225  1.137 -1.306
2#ibm#ibm0#r0414/<  1.064 1.515  0.973 1.424  0.882 1.334  0.792 1.243  0.685 1.174  0.571 1.117  0.456 1.060  0.342 1.002  0.227 0.945  0.121 0.875  0.031 0.785  -0.060 0.694  -0.151 0.604  -0.241 0.513  -0.332 0.422  -0.422 0.332  -0.451 0.216  -0.451 0.088  -0.492 -0.000  -0.620 -0.000  -0.748 -0.000  -0.754 -0.122  -0.754 -0.250  -0.829 -0.303  -0.958 -0.303  -1.057 -0.332  -1.057 -0.460  -1.057 -0.588  -0.948 -0.606  -0.820 -0.606  -0.710 -0.562  -0.619 -0.471  -0.529 -0.380  -0.438 -0.317  -0.347 -0.407  -0.257 -0.498  -0.166 -0.588  -0.045 -0.606  0.083 -0.606  0.211 -0.606  0.339 -0.606  0.467 -0.606  0.595 -0.606  0.723 -0.606  0.851 -0.606  0.980 -0.606  1.095 -0.637  1.185 -0.728  1.276 -0.819  1.367 -0.909
2#ibm#ibm0#r0414/<  1.036 1.181  0.903 1.181  0.770 1.181  0.669 1.106  0.575 1.012  0.481 0.918  0.360 0.889  0.227 0.889  0.113 0.842  0.019 0.748  -0.075 0.654  -0.178 0.574  -0.297 0.514  -0.416 0.455  -0.535 0.396  -0.654 0.336  -0.716 0.242  -0.716 0.109  -0.753 0.013  -0.886 0.013  -1.008 0.002  -1.008 -0.131  -1.008 -0.264  -1.126 -0.279  -1.259 -0.279  -1.209 -0.279  -1.076 -0.279  -0.943 -0.279  -0.810 -0.279  -0.677 -0.279  -0.544 -0.279  -0.411 -0.279  -0.278 -0.279  -0.145 -0.279  -0.012 -0.279  0.121 -0.279  0.160 -0.372  0.160 -0.505  0.227 -0.571  0.360 -0.571  0.493 -0.571  0.626 -0.571  0.757 -0.578  0.876 -0.637  0.995 -0.697  1.114 -0.756  1.233 -0.815  1.355 -0.863  1.488 -0.863  1.620 -0.863
2#ibm#ibm0#r0414/<  1.022 1.400  0.934 1.334  0.846 1.268  0.758 1.203  0.670 1.137  0.579 1.077  0.485 1.020  0.391 0.963  0.297 0.907  0.202 0.850  0.111 0.791  0.021 0.727  -0.068 0.663  -0.157 0.599  -0.242 0.529  -0.324 0.456  -0.406 0.384  -0.488 0.311  -0.570 0.238  -0.650 0.163  -0.728 0.086  -0.805 0.008  -0.888 -0.064  -0.971 -0.135  -1.055 -0.207  -1.138 -0.278  -1.082 -0.329  -0.982 -0.373  -0.882 -0.418  -0.782 -0.463  -0.691 -0.457  -0.591 -0.463  -0.486 -0.492  -0.380 -0.521  -0.274 -0.550  -0.168 -0.579  -0.059 -0.586  0.050 -0.586  0.160 -0.586  0.270 -0.586  0.374 -0.616  0.477 -0.655  0.580 -0.693  0.682 -0.731  0.771 -0.796  0.860 -0.861  0.949 -0.925  1.037 -0.990  1.126 -1.054  1.215 -1.119
2#ibm#ibm0#r0414/<  1.015 1.396  0.928 1.330  0.841 1.265  0.754 1.200  0.667 1.135  0.577 1.075  0.483 1.019  0.390 0.963  0.297 0.906  0.204 0.850  0.113 0.791  0.024 0.728  -0.064 0.665  -0.153 0.602  -0.237 0.533  -0.318 0.461  -0.400 0.389  -0.481 0.317  -0.562 0.245  -0.643 0.172  -0.724 0.099  -0.805 0.026  -0.885 -0.047  -0.966 -0.120  -1.046 -0.193  -1.127 -0.266  -1.097 -0.321  -0.998 -0.365  -0.898 -0.410  -0.799 -0.454  -0.698 -0.492  -0.590 -0.510  -0.483 -0.528  -0.376 -0.546  -0.269 -0.564  -0.162 -0.581  -0.053 -0.585  0.056 -0.585  0.164 -0.585  0.273 -0.585  0.376 -0.617  0.478 -0.655  0.580 -0.693  0.681 -0.732  0.769 -0.796  0.857 -0.860  0.945 -0.924  1.033 -0.988  1.121 -1.052  1.209 -1.116
2#tos#f2#f2067064/<  0.290 1.430  0.283 1.330  0.182 1.301  0.140 1.220  0.072 1.180  0.040 1.105  -0.034 1.043  -0.138 1.029  -0.211 0.994  -0.241 0.899  -0.318 0.825  -0.414 0.776  -0.490 0.700  -0.562 0.651  -0.562 0.544  -0.612 0.486  -0.711 0.478  -0.798 0.427  -0.855 0.377  -0.913 0.298  -0.863 0.241  -0.779 0.185  -0.673 0.177  -0.576 0.134  -0.521 0.044  -0.445 -0.024  -0.345 -0.057  -0.262 -0.123  -0.211 -0.180  -0.166 -0.269  -0.110 -0.325  -0.020 -0.365  0.056 -0.441  0.140 -0.485  0.207 -0.525  0.251 -0.597  0.311 -0.676  0.391 -0.703  0.422 -0.791  0.491 -0.856  0.558 -0.926  0.625 -0.993  0.661 -1.077  0.769 -1.077  0.792 -1.161  0.884 -1.177  0.991 -1.177  1.043 -1.263  1.135 -1.277  1.093 -1.327
2#app#app25#app2575/<  0.985 1.317  0.870 1.317  0.755 1.317  0.639 1.317  0.583 1.258  0.583 1.143  0.495 1.116  0.381 1.113  0.381 0.998  0.350 0.914  0.235 0.914  0.180 0.854  0.180 0.738  0.116 0.649  0.035 0.568  -0.057 0.512  -0.173 0.512  -0.223 0.446  -0.223 0.331  -0.317 0.310  -0.430 0.304  -0.512 0.223  -0.593 0.141  -0.695 0.109  -0.810 0.109  -0.826 0.010  -0.826 -0.106  -0.826 -0.221  -0.826 -0.336  -0.826 -0.451  -0.754 -0.495  -0.639 -0.495  -0.524 -0.495  -0.424 -0.510  -0.424 -0.625  -0.379 -0.696  -0.264 -0.696  -0.148 -0.696  -0.033 -0.696  0.052 -0.769  0.133 -0.851  0.229 -0.897  0.345 -0.897  0.437 -0.953  0.518 -1.034  0.583 -1.123  0.583 -1.239  0.621 -1.338  0.702 -1.420  0.784 -1.501
1d#app#app18#app1852/<  0.943 1.296  0.807 1.296  0.671 1.296  0.646 1.186  0.646 1.050  0.560 0.999  0.424 0.999  0.306 0.957  0.210 0.860  0.114 0.764  0.003 0.702  -0.133 0.702  -0.246 0.679  -0.246 0.543  -0.246 0.407  -0.379 0.404  -0.515 0.404  -0.544 0.297  -0.544 0.161  -0.626 0.107  -0.762 0.107  -0.841 0.050  -0.841 -0.086  -0.873 -0.191  -1.009 -0.191  -1.138 -0.197  -1.138 -0.333  -1.138 -0.469  -1.021 -0.488  -0.885 -0.488  -0.749 -0.488  -0.613 -0.488  -0.477 -0.488  -0.341 -0.488  -0.205 -0.488  -0.069 -0.488  0.067 -0.488  0.203 -0.488  0.339 -0.488  0.348 -0.614  0.348 -0.751  0.450 -0.785  0.586 -0.785  0.722 -0.785  0.858 -0.785  0.994 -0.785  1.130 -0.785  1.266 -0.785  1.402 -0.785  1.538 -0.785
1d#apa#apa02#app0273/<  0.904 1.498  0.825 1.418  0.745 1.338  0.666 1.259  0.634 1.159  0.589 1.092  0.483 1.076  0.403 0.997  0.307 0.957  0.204 0.933  0.125 0.853  0.045 0.774  -0.034 0.694  -0.114 0.615  -0.200 0.551  -0.313 0.551  -0.392 0.471  -0.472 0.392  -0.551 0.312  -0.631 0.233  -0.711 0.153  -0.790 0.073  -0.877 0.011  -0.988 0.010  -0.988 -0.103  -0.988 -0.216  -0.920 -0.260  -0.807 -0.260  -0.695 -0.260  -0.582 -0.260  -0.469 -0.260  -0.383 -0.324  -0.300 -0.395  -0.188 -0.395  -0.075 -0.395  -0.042 -0.474  -0.002 -0.570  0.078 -0.650  0.184 -0.665  0.276 -0.713  0.356 -0.793  0.436 -0.872  0.499 -0.959  0.499 -1.071  0.612 -1.071  0.634 -1.161  0.702 -1.206  0.769 -1.251  0.769 -1.364  0.769 -1.476
2#app#app34#app3491/<  1.048 1.494  0.937 1.494  0.893 1.427  0.893 1.316  0.893 1.205  0.803 1.184  0.738 1.138  0.736 1.027  0.658 0.949  0.579 0.870  0.501 0.791  0.420 0.718  0.309 0.718  0.272 0.644  0.251 0.541  0.172 0.463  0.084 0.407  -0.027 0.407  -0.039 0.308  -0.094 0.252  -0.194 0.241  -0.194 0.129  -0.273 0.096  -0.374 0.072  -0.452 -0.006  -0.542 -0.059  -0.653 -0.059  -0.660 -0.163  -0.720 -0.214  -0.816 -0.230  -0.816 -0.341  -0.816 -0.452  -0.816 -0.563  -0.816 -0.674  -0.710 -0.680  -0.660 -0.741  -0.643 -0.835  -0.532 -0.835  -0.421 -0.835  -0.310 -0.835  -0.199 -0.835  -0.194 -0.942  -0.132 -0.991  -0.020 -0.991  0.091 -0.991  0.177 -1.051  0.255 -1.130  0.360 -1.146  0.471 -1.146  0.582 -1.146
1d#apa#apa19#app1992/<  0.706 1.307  0.706 1.410  0.623 1.430  0.521 1.430  0.461 1.387  0.438 1.307  0.336 1.305  0.263 1.232  0.215 1.149  0.215 1.046  0.215 0.943  0.145 0.869  0.073 0.796  -0.000 0.723  -0.073 0.650  -0.146 0.577  -0.195 0.487  -0.241 0.395  -0.293 0.308  -0.366 0.235  -0.438 0.162  -0.511 0.089  -0.523 -0.009  -0.570 -0.092  -0.643 -0.165  -0.715 -0.238  -0.788 -0.311  -0.861 -0.384  -0.832 -0.414  -0.741 -0.442  -0.668 -0.515  -0.574 -0.537  -0.471 -0.537  -0.377 -0.560  -0.305 -0.632  -0.213 -0.660  -0.123 -0.691  -0.050 -0.764  0.022 -0.837  0.097 -0.906  0.200 -0.906  0.303 -0.906  0.386 -0.954  0.458 -1.027  0.561 -1.029  0.663 -1.029  0.706 -1.089  0.746 -1.152  0.829 -1.172  0.829 -1.275
2#apa#apa13#app1350/<  0.591 1.047  0.477 1.047  0.377 1.015  0.288 0.957  0.191 0.919  0.111 0.838  0.023 0.776  -0.090 0.776  -0.183 0.726  -0.279 0.685  -0.370 0.630  -0.450 0.550  -0.544 0.504  -0.650 0.472  -0.751 0.421  -0.835 0.346  -0.915 0.266  -1.015 0.233  -1.128 0.233  -1.151 0.142  -1.219 0.097  -1.152 0.052  -1.039 0.052  -0.925 0.052  -0.812 0.052  -0.699 0.052  -0.586 0.051  -0.505 -0.029  -0.396 -0.039  -0.286 -0.053  -0.185 -0.104  -0.094 -0.169  -0.002 -0.220  0.112 -0.220  0.216 -0.259  0.317 -0.309  0.398 -0.389  0.478 -0.469  0.568 -0.537  0.663 -0.600  0.757 -0.663  0.839 -0.740  0.919 -0.820  1.000 -0.900  1.080 -0.980  1.171 -1.035  1.266 -1.077  1.360 -1.125  1.473 -1.125  1.586 -1.125
1d#app#app35#app3508/<  0.808 1.592  0.808 1.483  0.708 1.474  0.689 1.382  0.607 1.355  0.538 1.289  0.489 1.191  0.433 1.098  0.355 1.021  0.278 0.943  0.200 0.866  0.123 0.788  0.045 0.710  -0.032 0.633  -0.110 0.555  -0.206 0.522  -0.262 0.468  -0.293 0.372  -0.371 0.294  -0.477 0.285  -0.561 0.223  -0.638 0.146  -0.716 0.068  -0.817 0.047  -0.856 -0.024  -0.856 -0.133  -0.804 -0.191  -0.737 -0.234  -0.713 -0.334  -0.636 -0.411  -0.558 -0.489  -0.481 -0.566  -0.403 -0.644  -0.303 -0.666  -0.262 -0.735  -0.202 -0.785  -0.107 -0.821  -0.030 -0.898  0.077 -0.904  0.187 -0.904  0.214 -0.987  0.288 -1.023  0.397 -1.023  0.507 -1.023  0.617 -1.023  0.653 -1.023  0.571 -0.996  0.571 -0.923  0.580 -1.023  0.689 -1.023
1d#tos#t1#t1041065/<  0.859 1.440  0.766 1.393  0.727 1.313  0.628 1.308  0.525 1.304  0.451 1.230  0.396 1.149  0.396 1.044  0.293 1.043  0.195 1.034  0.162 0.935  0.127 0.837  0.069 0.750  0.011 0.664  -0.084 0.646  -0.172 0.607  -0.246 0.533  -0.320 0.459  -0.394 0.385  -0.466 0.311  -0.513 0.217  -0.530 0.117  -0.634 0.117  -0.672 0.051  -0.777 0.051  -0.774 -0.016  -0.670 -0.016  -0.662 -0.112  -0.597 -0.170  -0.498 -0.203  -0.464 -0.283  -0.428 -0.365  -0.334 -0.411  -0.275 -0.497  -0.217 -0.584  -0.194 -0.679  -0.093 -0.704  0.009 -0.729  0.065 -0.789  0.078 -0.888  0.159 -0.951  0.258 -0.984  0.343 -1.033  0.389 -1.127  0.396 -1.229  0.457 -1.273  0.507 -1.362  0.529 -1.461  0.557 -1.537  0.661 -1.537
1d#tos#f3#f3007066/<  0.774 1.488  0.774 1.395  0.823 1.350  0.791 1.298  0.712 1.250  0.629 1.209  0.545 1.167  0.470 1.115  0.404 1.049  0.338 0.982  0.272 0.916  0.206 0.850  0.140 0.784  0.076 0.716  0.024 0.639  -0.028 0.561  -0.093 0.497  -0.170 0.445  -0.248 0.393  -0.316 0.329  -0.396 0.283  -0.471 0.234  -0.500 0.145  -0.530 0.056  -0.604 0.007  -0.673 -0.044  -0.714 -0.097  -0.741 -0.162  -0.720 -0.234  -0.640 -0.267  -0.585 -0.340  -0.543 -0.424  -0.464 -0.465  -0.376 -0.494  -0.309 -0.548  -0.267 -0.632  -0.235 -0.720  -0.206 -0.808  -0.146 -0.854  -0.052 -0.854  0.014 -0.920  0.080 -0.987  0.146 -1.053  0.212 -1.119  0.278 -1.185  0.344 -1.251  0.410 -1.317  0.476 -1.383  0.526 -1.460  0.568 -1.543
1d#app#app07#app0717/<  1.410 1.100  1.296 1.100  1.183 1.100  1.070 1.100  0.956 1.100  0.875 1.020  0.776 0.986  0.682 0.940  0.601 0.860  0.521 0.780  0.426 0.721  0.324 0.671  0.217 0.644  0.109 0.620  0.008 0.569  -0.089 0.511  -0.169 0.431  -0.272 0.387  -0.379 0.351  -0.487 0.316  -0.577 0.251  -0.657 0.171  -0.737 0.091  -0.844 0.075  -0.931 0.011  -1.024 -0.039  -1.094 -0.082  -1.094 -0.195  -1.051 -0.266  -0.950 -0.296  -0.870 -0.376  -0.758 -0.380  -0.645 -0.380  -0.531 -0.380  -0.418 -0.380  -0.316 -0.428  -0.214 -0.478  -0.104 -0.494  -0.070 -0.573  -0.014 -0.663  0.066 -0.743  0.146 -0.823  0.226 -0.904  0.321 -0.949  0.386 -0.998  0.434 -1.063  0.499 -1.111  0.533 -1.210  0.613 -1.291  0.613 -1.404
