3#apa#apa04#app0425/f  1.182 0.807  1.182 0.667  1.182 0.527  1.182 0.655  1.182 0.795  1.182 0.935  1.104 0.998  1.060 1.093  0.920 1.093  0.780 1.093  0.640 1.093  0.499 1.093  0.366 1.066  0.241 1.003  0.115 0.941  0.039 0.848  -0.050 0.763  -0.164 0.688  -0.226 0.563  -0.313 0.455  -0.343 0.328  -0.343 0.187  -0.343 0.047  -0.343 -0.093  -0.343 -0.233  -0.343 -0.373  -0.343 -0.513  -0.343 -0.653  -0.290 -0.771  -0.247 -0.894  -0.247 -1.034  -0.173 -1.099  -0.172 -1.181  -0.288 -1.104  -0.405 -1.026  -0.522 -0.948  -0.638 -0.871  -0.755 -0.793  -0.871 -0.715  -0.988 -0.638  -0.915 -0.605  -0.852 -0.527  -0.712 -0.527  -0.572 -0.527  -0.461 -0.455  -0.331 -0.432  -0.191 -0.432  -0.051 -0.432  0.089 -0.432  0.229 -0.432
3#apa#apa04#app0425/d  0.282 -0.373  0.234 -0.188  0.067 -0.098  -0.138 -0.098  -0.320 -0.151  -0.490 -0.236  -0.690 -0.247  -0.842 -0.373  -1.019 -0.439  -1.090 -0.614  -1.090 -0.818  -1.090 -1.023  -0.922 -1.059  -0.718 -1.059  -0.513 -1.059  -0.309 -1.059  -0.112 -1.040  0.007 -0.885  0.111 -0.784  0.168 -0.623  0.282 -0.466  0.282 -0.261  0.408 -0.109  0.419 0.091  0.419 0.295  0.419 0.500  0.419 0.704  0.549 0.855  0.556 1.056  0.556 1.261  0.556 1.465  0.556 1.670  0.504 1.822  0.419 1.703  0.287 1.553  0.255 1.357  0.163 1.174  0.144 0.974  0.144 0.770  0.073 0.582  0.007 0.393  0.007 0.189  0.007 -0.015  0.007 -0.220  0.007 -0.424  0.007 -0.629  0.139 -0.779  0.186 -0.964  0.282 -1.129  0.419 -1.196
3#apa#apa04#app0425/k  -0.199 1.733  -0.199 1.659  -0.337 1.733  -0.342 1.527  -0.435 1.354  -0.485 1.163  -0.485 0.952  -0.485 0.740  -0.549 0.540  -0.616 0.339  -0.627 0.130  -0.627 -0.082  -0.627 -0.293  -0.696 -0.476  -0.770 -0.657  -0.913 -0.725  -0.913 -0.937  -0.885 -1.121  -0.674 -1.121  -0.516 -1.000  -0.372 -0.844  -0.229 -0.689  -0.086 -0.534  0.058 -0.379  0.201 -0.223  0.344 -0.068  0.488 0.087  0.631 0.242  0.774 0.398  0.918 0.553  1.061 0.708  0.942 0.700  0.840 0.591  0.637 0.571  0.487 0.422  0.324 0.306  0.147 0.224  -0.040 0.163  -0.108 0.021  -0.199 -0.100  -0.199 -0.311  -0.118 -0.489  0.068 -0.550  0.137 -0.693  0.313 -0.777  0.500 -0.835  0.696 -0.874  0.864 -0.978  1.075 -0.978  1.227 -1.121
3#apa#apa04#app0425/n  -0.782 0.707  -0.620 0.707  -0.678 0.615  -0.782 0.496  -0.782 0.333  -0.782 0.170  -0.782 0.007  -0.782 -0.156  -0.782 -0.318  -0.782 -0.481  -0.782 -0.644  -0.782 -0.807  -0.782 -0.970  -0.782 -1.132  -0.782 -1.209  -0.782 -1.046  -0.782 -0.883  -0.643 -0.860  -0.586 -0.754  -0.534 -0.612  -0.419 -0.497  -0.391 -0.346  -0.391 -0.183  -0.351 -0.037  -0.236 0.078  -0.121 0.193  -0.006 0.308  0.070 0.452  0.143 0.598  0.226 0.736  0.341 0.851  0.393 0.992  0.449 1.099  0.612 1.099  0.775 1.099  0.938 1.099  0.981 0.979  0.981 0.816  0.981 0.654  0.981 0.491  0.981 0.328  0.981 0.165  0.981 0.002  0.981 -0.160  0.945 -0.308  0.830 -0.423  0.785 -0.568  0.785 -0.731  0.785 -0.893  0.785 -1.056
3#apa#apa04#app0425/e  -0.919 0.281  -0.756 0.281  -0.593 0.281  -0.430 0.281  -0.268 0.281  -0.134 0.352  -0.016 0.460  0.147 0.460  0.310 0.460  0.473 0.460  0.636 0.460  0.799 0.460  0.866 0.556  0.866 0.718  0.866 0.881  0.816 0.995  0.653 0.995  0.491 0.995  0.328 0.995  0.165 0.995  0.046 0.889  -0.087 0.817  -0.205 0.772  -0.231 0.625  -0.377 0.552  -0.523 0.479  -0.646 0.376  -0.770 0.281  -0.919 0.267  -0.919 0.105  -0.919 -0.058  -0.919 -0.221  -0.919 -0.384  -0.919 -0.547  -0.820 -0.611  -0.682 -0.670  -0.567 -0.785  -0.406 -0.790  -0.243 -0.790  -0.117 -0.878  0.009 -0.968  0.166 -0.982  0.281 -1.098  0.424 -1.147  0.587 -1.147  0.749 -1.147  0.912 -1.147  1.075 -1.147  1.238 -1.147  1.401 -1.147
3#apa#apa04#app0425/w  -1.077 0.601  -1.077 0.467  -1.163 0.368  -1.223 0.258  -1.261 0.161  -1.370 0.135  -1.370 0.000  -1.369 -0.133  -1.234 -0.133  -1.223 -0.257  -1.111 -0.280  -1.077 -0.380  -0.989 -0.426  -0.854 -0.426  -0.719 -0.426  -0.636 -0.375  -0.596 -0.280  -0.470 -0.260  -0.374 -0.165  -0.279 -0.070  -0.184 0.026  -0.089 0.121  -0.049 0.239  0.018 0.308  0.044 0.308  -0.049 0.266  -0.028 0.140  0.068 0.044  0.098 -0.078  0.155 -0.189  0.250 -0.285  0.345 -0.380  0.440 -0.475  0.536 -0.570  0.669 -0.573  0.685 -0.455  0.792 -0.426  0.899 -0.360  0.979 -0.258  0.986 -0.126  1.081 -0.031  1.126 0.085  1.126 0.220  1.173 0.308  1.273 0.343  1.289 0.471  1.384 0.566  1.419 0.686  1.471 0.800  1.566 0.895
3#apa#apa04#app0425/t  -0.388 1.046  -0.213 1.110  -0.141 1.266  0.053 1.274  -0.046 1.377  -0.057 1.186  -0.174 1.032  -0.264 0.852  -0.355 0.671  -0.395 0.479  -0.486 0.299  -0.576 0.118  -0.699 -0.038  -0.719 -0.231  -0.719 -0.433  -0.719 -0.635  -0.714 -0.834  -0.556 -0.940  -0.358 -0.955  -0.178 -1.045  0.022 -1.050  0.224 -1.050  0.426 -1.050  0.613 -0.991  0.803 -0.940  1.005 -0.940  1.206 -0.940  1.367 -0.840  1.487 -0.753  1.435 -0.586  1.250 -0.506  1.065 -0.425  0.880 -0.345  0.695 -0.265  0.510 -0.184  0.325 -0.104  0.140 -0.023  -0.045 0.057  -0.230 0.137  -0.415 0.218  -0.600 0.298  -0.785 0.379  -0.969 0.459  -0.936 0.494  -0.734 0.494  -0.533 0.494  -0.388 0.551  -0.240 0.604  -0.038 0.604  0.164 0.604
3#apa#apa04#app0425/h  0.170 2.102  0.170 1.966  0.151 1.835  0.090 1.714  0.056 1.587  0.056 1.451  0.011 1.326  -0.050 1.205  -0.111 1.084  -0.171 0.963  -0.198 0.830  -0.225 0.697  -0.251 0.564  -0.278 0.431  -0.286 0.297  -0.287 0.161  -0.348 0.040  -0.400 -0.083  -0.400 -0.219  -0.443 -0.336  -0.514 -0.442  -0.514 -0.578  -0.570 -0.690  -0.628 -0.802  -0.628 -0.937  -0.628 -1.073  -0.623 -1.204  -0.495 -1.186  -0.400 -1.090  -0.304 -0.994  -0.208 -0.898  -0.112 -0.803  -0.032 -0.696  0.029 -0.575  0.109 -0.467  0.205 -0.372  0.301 -0.276  0.396 -0.180  0.492 -0.084  0.512 0.043  0.641 0.050  0.740 0.014  0.740 -0.122  0.740 -0.257  0.669 -0.363  0.626 -0.481  0.626 -0.617  0.543 -0.718  0.512 -0.841  0.512 -0.976
3#apa#apa04#app0425/a  0.253 0.951  0.143 1.061  0.033 1.171  -0.120 1.176  -0.276 1.176  -0.428 1.169  -0.538 1.059  -0.648 0.949  -0.758 0.839  -0.868 0.729  -0.871 0.574  -0.954 0.501  -1.096 0.488  -1.096 0.332  -1.096 0.177  -1.096 0.021  -1.096 -0.134  -1.096 -0.290  -1.062 -0.432  -0.952 -0.542  -0.831 -0.623  -0.675 -0.623  -0.519 -0.623  -0.364 -0.623  -0.208 -0.623  -0.053 -0.623  0.103 -0.623  0.257 -0.620  0.367 -0.510  0.477 -0.400  0.478 -0.245  0.478 -0.089  0.478 0.067  0.478 0.222  0.478 0.378  0.478 0.469  0.478 0.313  0.478 0.158  0.478 0.002  0.478 -0.153  0.574 -0.269  0.684 -0.379  0.703 -0.527  0.762 -0.623  0.918 -0.623  1.073 -0.623  1.207 -0.677  1.317 -0.787  1.447 -0.848  1.602 -0.848
3#apa#apa04#app0425/t  0.518 1.957  0.433 1.842  0.403 1.671  0.303 1.511  0.231 1.326  0.166 1.137  0.076 0.957  0.056 0.761  -0.000 0.574  -0.059 0.387  -0.077 0.190  -0.166 0.011  -0.175 -0.188  -0.175 -0.389  -0.175 -0.590  -0.175 -0.790  -0.175 -0.991  -0.071 -1.149  0.105 -1.209  0.278 -1.276  0.479 -1.276  0.680 -1.276  0.852 -1.266  0.698 -1.137  0.544 -1.009  0.390 -0.880  0.236 -0.752  0.081 -0.623  -0.073 -0.495  -0.227 -0.366  -0.381 -0.238  -0.536 -0.109  -0.690 0.019  -0.844 0.148  -0.998 0.276  -1.152 0.405  -1.208 0.341  -1.098 0.250  -0.922 0.225  -0.721 0.225  -0.521 0.225  -0.320 0.225  -0.119 0.225  0.079 0.214  0.258 0.124  0.456 0.110  0.656 0.110  0.857 0.110  1.010 0.225  1.211 0.225
3#apa#apa04#app0425/s  1.216 0.786  1.058 0.786  0.936 0.874  0.821 0.978  0.663 0.978  0.505 0.978  0.347 0.978  0.188 0.978  0.030 0.978  -0.128 0.978  -0.286 0.978  -0.408 0.890  -0.523 0.786  -0.681 0.786  -0.839 0.786  -0.968 0.714  -1.080 0.602  -1.088 0.447  -1.008 0.322  -0.896 0.210  -0.738 0.210  -0.616 0.122  -0.501 0.018  -0.343 0.018  -0.199 -0.042  -0.058 -0.113  0.086 -0.174  0.244 -0.174  0.403 -0.174  0.528 -0.254  0.640 -0.366  0.798 -0.366  0.956 -0.366  1.024 -0.456  0.968 -0.558  0.832 -0.580  0.832 -0.738  0.686 -0.750  0.527 -0.750  0.369 -0.750  0.211 -0.750  0.053 -0.750  -0.105 -0.750  -0.224 -0.846  -0.340 -0.952  -0.481 -1.023  -0.623 -1.094  -0.771 -1.134  -0.930 -1.134  -1.088 -1.134
3#apa#apa04#app0425/o  -0.454 0.949  -0.554 0.849  -0.654 0.750  -0.790 0.739  -0.931 0.739  -1.072 0.739  -1.084 0.610  -1.084 0.469  -1.084 0.328  -1.084 0.187  -1.084 0.046  -1.084 -0.095  -1.084 -0.236  -1.019 -0.311  -0.878 -0.311  -0.777 -0.408  -0.678 -0.508  -0.578 -0.607  -0.478 -0.707  -0.347 -0.731  -0.210 -0.748  -0.084 -0.811  0.042 -0.874  0.168 -0.937  0.308 -0.941  0.449 -0.941  0.590 -0.941  0.691 -0.845  0.791 -0.745  0.926 -0.731  1.015 -0.679  1.015 -0.538  1.015 -0.397  1.015 -0.256  1.015 -0.115  1.015 0.026  1.015 0.166  1.015 0.307  0.886 0.319  0.805 0.379  0.805 0.520  0.673 0.529  0.595 0.592  0.595 0.733  0.460 0.739  0.319 0.739  0.178 0.739  0.037 0.739  -0.104 0.739  -0.245 0.739
3#apa#apa04#app0425/m  -1.041 0.209  -1.045 0.049  -1.159 -0.065  -1.198 -0.211  -1.198 -0.373  -1.198 -0.535  -1.284 -0.661  -1.355 -0.793  -1.289 -0.889  -1.148 -0.838  -1.030 -0.732  -0.885 -0.715  -0.863 -0.575  -0.728 -0.548  -0.706 -0.396  -0.591 -0.281  -0.438 -0.261  -0.414 -0.123  -0.414 0.039  -0.309 0.157  -0.218 0.288  -0.146 0.433  -0.100 0.584  -0.054 0.726  0.056 0.831  0.056 0.669  0.056 0.507  0.056 0.345  0.056 0.184  0.056 0.022  0.092 -0.104  0.254 -0.104  0.370 -0.059  0.421 0.052  0.527 0.108  0.587 0.209  0.684 0.275  0.754 0.366  0.894 0.419  1.008 0.534  1.123 0.648  1.271 0.680  1.311 0.558  1.311 0.396  1.311 0.234  1.311 0.072  1.311 -0.090  1.311 -0.251  1.311 -0.413  1.311 -0.575
3#apa#apa04#app0425/e  -0.519 0.439  -0.373 0.431  -0.357 0.293  -0.202 0.293  -0.048 0.293  0.106 0.293  0.261 0.293  0.415 0.293  0.504 0.358  0.556 0.491  0.650 0.606  0.630 0.752  0.521 0.861  0.373 0.877  0.219 0.877  0.065 0.877  -0.090 0.877  -0.244 0.877  -0.391 0.859  -0.500 0.750  -0.646 0.731  -0.761 0.635  -0.870 0.526  -0.958 0.408  -0.985 0.265  -1.094 0.156  -1.104 0.006  -1.104 -0.148  -1.104 -0.303  -1.090 -0.451  -0.981 -0.561  -0.837 -0.584  -0.720 -0.675  -0.589 -0.730  -0.434 -0.730  -0.280 -0.730  -0.126 -0.730  0.028 -0.730  0.183 -0.730  0.337 -0.730  0.491 -0.730  0.646 -0.730  0.800 -0.730  0.954 -0.730  1.103 -0.716  1.212 -0.607  1.357 -0.584  1.511 -0.584  1.665 -0.584  1.820 -0.584
