3#app#app34#app3456/a  -0.736 1.548  -0.736 1.545  -0.578 1.611  -0.403 1.644  -0.259 1.600  -0.123 1.548  -0.031 1.453  0.123 1.418  0.154 1.262  0.231 1.141  0.314 0.972  0.314 0.785  0.409 0.636  0.409 0.448  0.505 0.300  0.575 0.141  0.600 -0.036  0.600 -0.224  0.600 -0.412  0.600 -0.600  0.505 -0.692  0.547 -0.838  0.600 -0.895  0.505 -0.802  0.409 -0.710  0.388 -0.531  0.314 -0.374  0.218 -0.225  0.123 -0.133  -0.007 -0.075  -0.099 0.021  -0.287 0.021  -0.450 -0.004  -0.546 -0.097  -0.641 -0.189  -0.736 -0.281  -0.813 -0.438  -0.832 -0.618  -0.832 -0.806  -0.832 -0.993  -0.696 -1.069  -0.536 -1.115  -0.383 -1.029  -0.235 -0.934  -0.081 -0.851  0.080 -0.786  0.236 -0.686  0.409 -0.641  0.508 -0.552  0.600 -0.457
3#app#app34#app3456/l  -0.336 1.585  -0.330 1.518  -0.269 1.506  -0.252 1.451  -0.202 1.428  -0.202 1.355  -0.178 1.292  -0.134 1.237  -0.134 1.164  -0.124 1.094  -0.092 1.029  -0.067 0.962  -0.067 0.889  -0.067 0.816  -0.067 0.743  -0.049 0.675  -0.016 0.610  -0.000 0.541  -0.000 0.468  -0.000 0.395  -0.000 0.322  0.026 0.255  0.059 0.190  0.067 0.119  0.067 0.046  0.067 -0.026  0.067 -0.099  0.067 -0.172  0.067 -0.245  0.067 -0.318  0.067 -0.391  0.067 -0.463  0.067 -0.536  0.067 -0.609  0.067 -0.682  0.067 -0.755  0.067 -0.828  0.067 -0.901  0.067 -0.973  0.067 -1.046  0.067 -1.119  0.067 -1.192  0.095 -1.237  0.134 -1.270  0.134 -1.343  0.134 -1.416  0.134 -1.489  0.190 -1.506  0.202 -1.567  0.202 -1.506
3#app#app34#app3456/m  -1.014 0.790  -0.920 0.832  -0.920 0.590  -0.920 0.349  -0.920 0.107  -0.920 -0.135  -0.920 -0.377  -0.920 -0.619  -0.920 -0.861  -0.920 -1.103  -0.825 -1.149  -0.825 -0.907  -0.825 -0.665  -0.825 -0.423  -0.802 -0.184  -0.721 0.042  -0.635 0.249  -0.556 0.411  -0.448 0.599  -0.351 0.801  -0.288 0.980  -0.141 0.885  -0.067 0.717  0.022 0.511  0.028 0.272  0.122 0.069  0.122 -0.173  0.122 -0.415  0.122 -0.657  0.122 -0.899  0.217 -0.785  0.217 -0.543  0.312 -0.340  0.312 -0.098  0.391 0.111  0.407 0.347  0.465 0.564  0.502 0.791  0.691 0.899  0.852 0.980  0.965 0.801  1.013 0.601  1.070 0.416  1.165 0.213  1.165 -0.029  1.165 -0.271  1.165 -0.513  1.252 -0.719  1.259 -0.958  1.354 -1.105
3#app#app34#app3456/n  -0.704 0.785  -0.704 0.608  -0.704 0.431  -0.704 0.254  -0.704 0.077  -0.704 -0.100  -0.655 -0.256  -0.594 -0.408  -0.594 -0.585  -0.594 -0.761  -0.594 -0.938  -0.594 -1.115  -0.594 -1.292  -0.594 -1.369  -0.588 -1.198  -0.484 -1.125  -0.484 -0.948  -0.484 -0.772  -0.484 -0.595  -0.484 -0.418  -0.484 -0.241  -0.461 -0.074  -0.374 0.067  -0.374 0.244  -0.374 0.421  -0.272 0.556  -0.209 0.674  -0.143 0.785  -0.043 0.862  0.067 0.929  0.168 1.005  0.234 1.115  0.301 1.225  0.478 1.225  0.545 1.115  0.618 1.011  0.678 0.895  0.728 0.768  0.728 0.591  0.838 0.524  0.838 0.348  0.838 0.171  0.930 0.032  0.948 -0.137  0.948 -0.314  0.948 -0.491  0.948 -0.668  0.948 -0.845  0.992 -0.978  1.058 -1.088
3#app#app34#app3456/o  -0.087 1.178  -0.215 1.145  -0.315 1.046  -0.414 0.946  -0.469 0.827  -0.547 0.719  -0.579 0.591  -0.659 0.483  -0.659 0.342  -0.670 0.203  -0.733 0.077  -0.754 -0.059  -0.754 -0.200  -0.754 -0.341  -0.754 -0.482  -0.754 -0.623  -0.662 -0.726  -0.630 -0.853  -0.530 -0.953  -0.414 -1.014  -0.368 -1.110  -0.242 -1.145  -0.126 -1.205  0.015 -1.205  0.156 -1.205  0.296 -1.202  0.396 -1.103  0.496 -1.003  0.602 -0.919  0.675 -0.851  0.688 -0.715  0.770 -0.608  0.770 -0.467  0.770 -0.326  0.770 -0.185  0.770 -0.044  0.770 0.097  0.694 0.206  0.675 0.340  0.675 0.481  0.664 0.617  0.564 0.717  0.465 0.817  0.365 0.916  0.253 0.987  0.199 1.074  0.066 1.082  -0.050 1.141  -0.150 1.241  -0.278 1.273
3#app#app34#app3456/p  -0.335 1.149  -0.253 1.191  -0.253 0.988  -0.253 0.785  -0.253 0.582  -0.253 0.379  -0.220 0.183  -0.171 -0.008  -0.171 -0.211  -0.171 -0.414  -0.171 -0.618  -0.171 -0.821  -0.171 -1.024  -0.171 -1.227  -0.171 -1.430  -0.171 -1.633  -0.171 -1.836  -0.089 -1.800  -0.115 -1.608  -0.171 -1.428  -0.171 -1.225  -0.171 -1.022  -0.171 -0.819  -0.253 -0.650  -0.253 -0.447  -0.253 -0.243  -0.253 -0.040  -0.253 0.163  -0.253 0.366  -0.253 0.569  -0.253 0.772  -0.253 0.975  -0.223 1.149  -0.171 1.300  -0.012 1.389  0.189 1.394  0.310 1.312  0.479 1.231  0.566 1.066  0.710 0.923  0.738 0.731  0.811 0.558  0.771 0.372  0.729 0.186  0.657 0.013  0.513 -0.131  0.404 -0.242  0.235 -0.324  0.075 -0.282  -0.089 -0.242
3#app#app34#app3456/q  -0.172 1.226  -0.155 1.299  -0.286 1.372  -0.461 1.303  -0.611 1.205  -0.684 1.031  -0.757 0.901  -0.830 0.771  -0.830 0.567  -0.757 0.437  -0.684 0.307  -0.542 0.205  -0.340 0.201  -0.172 0.279  -0.098 0.409  -0.052 0.567  -0.025 0.743  -0.025 0.947  -0.025 1.150  -0.025 0.952  -0.025 0.748  -0.025 0.545  -0.025 0.341  -0.025 0.137  -0.059 -0.052  -0.098 -0.239  -0.098 -0.443  -0.098 -0.646  -0.098 -0.850  -0.098 -1.053  -0.098 -1.257  -0.025 -1.430  0.048 -1.560  0.182 -1.630  0.386 -1.630  0.487 -1.527  0.621 -1.422  0.707 -1.297  0.775 -1.122  0.780 -0.920  0.746 -0.751  0.707 -0.586  0.654 -0.405  0.605 -0.238  0.500 -0.105  0.414 0.063  0.316 0.226  0.223 0.392  0.105 0.494  0.048 0.347
3#app#app34#app3456/r  -0.447 0.658  -0.315 0.658  -0.307 0.535  -0.307 0.403  -0.307 0.271  -0.307 0.139  -0.307 0.007  -0.307 -0.125  -0.307 -0.257  -0.307 -0.389  -0.307 -0.520  -0.307 -0.652  -0.307 -0.784  -0.307 -0.916  -0.307 -1.048  -0.307 -1.180  -0.302 -1.310  -0.209 -1.403  -0.166 -1.518  -0.166 -1.523  -0.166 -1.391  -0.166 -1.259  -0.166 -1.127  -0.166 -0.996  -0.166 -0.864  -0.166 -0.732  -0.166 -0.600  -0.166 -0.468  -0.166 -0.336  -0.082 -0.239  -0.026 -0.130  -0.026 0.002  -0.026 0.134  -0.026 0.265  -0.026 0.397  -0.026 0.529  -0.026 0.661  -0.026 0.793  0.063 0.888  0.156 0.981  0.250 1.075  0.343 1.168  0.453 1.220  0.585 1.220  0.717 1.220  0.849 1.220  0.956 1.245  0.973 1.360  1.105 1.360  1.237 1.360
3#app#app34#app3456/s  0.385 1.457  0.253 1.457  0.121 1.457  0.027 1.365  -0.066 1.272  -0.164 1.190  -0.281 1.176  -0.294 1.057  -0.423 1.048  -0.516 0.955  -0.548 0.836  -0.634 0.790  -0.681 0.706  -0.764 0.657  -0.815 0.575  -0.815 0.443  -0.815 0.311  -0.815 0.180  -0.815 0.048  -0.740 -0.010  -0.681 -0.083  -0.610 -0.143  -0.478 -0.143  -0.346 -0.143  -0.214 -0.143  -0.082 -0.143  0.050 -0.143  0.182 -0.143  0.314 -0.143  0.446 -0.143  0.578 -0.143  0.693 -0.184  0.786 -0.277  0.918 -0.277  0.919 -0.408  0.919 -0.540  0.919 -0.672  0.919 -0.804  0.919 -0.936  0.831 -1.031  0.717 -1.077  0.586 -1.077  0.454 -1.077  0.322 -1.077  0.190 -1.077  0.058 -1.077  -0.057 -1.035  -0.151 -0.943  -0.283 -0.943  -0.415 -0.943
3#app#app34#app3456/t  0.376 1.873  0.376 1.703  0.376 1.533  0.376 1.364  0.376 1.194  0.376 1.024  0.376 0.854  0.376 0.684  0.287 0.551  0.263 0.390  0.263 0.220  0.263 0.050  0.263 -0.120  0.263 -0.290  0.263 -0.460  0.263 -0.629  0.263 -0.799  0.263 -0.969  0.263 -1.139  0.263 -1.309  0.263 -1.479  0.343 -1.462  0.218 -1.346  0.094 -1.230  -0.031 -1.115  -0.155 -0.999  -0.280 -0.883  -0.405 -0.768  -0.529 -0.652  -0.654 -0.536  -0.778 -0.421  -0.903 -0.305  -1.027 -0.189  -1.152 -0.074  -1.195 0.077  -1.026 0.078  -0.858 0.081  -0.798 0.191  -0.628 0.191  -0.477 0.235  -0.335 0.303  -0.167 0.312  -0.015 0.388  0.148 0.415  0.313 0.440  0.465 0.516  0.632 0.527  0.776 0.591  0.925 0.639  1.049 0.752
3#app#app34#app3456/u  -1.011 1.575  -1.011 1.406  -0.918 1.330  -0.889 1.191  -0.889 1.022  -0.811 0.885  -0.766 0.734  -0.766 0.565  -0.766 0.396  -0.766 0.227  -0.766 0.058  -0.766 -0.111  -0.766 -0.280  -0.766 -0.449  -0.689 -0.586  -0.643 -0.736  -0.643 -0.905  -0.591 -1.053  -0.451 -1.123  -0.282 -1.123  -0.124 -1.094  -0.005 -0.974  0.092 -0.846  0.170 -0.755  0.215 -0.630  0.249 -0.475  0.338 -0.343  0.378 -0.183  0.454 -0.032  0.460 0.135  0.460 0.304  0.548 0.437  0.583 0.592  0.583 0.761  0.583 0.930  0.583 1.071  0.583 0.902  0.583 0.733  0.583 0.564  0.583 0.395  0.583 0.225  0.583 0.056  0.583 -0.113  0.583 -0.282  0.628 -0.432  0.706 -0.569  0.706 -0.738  0.828 -0.784  0.904 -0.877  0.951 -1.000
3#app#app34#app3456/v  -1.013 1.307  -1.013 1.178  -0.931 1.083  -0.870 0.979  -0.849 0.859  -0.758 0.767  -0.728 0.651  -0.728 0.522  -0.686 0.411  -0.595 0.319  -0.586 0.194  -0.513 0.095  -0.443 -0.005  -0.443 -0.133  -0.441 -0.261  -0.350 -0.352  -0.301 -0.461  -0.301 -0.590  -0.301 -0.719  -0.287 -0.842  -0.196 -0.933  -0.159 -1.047  -0.159 -1.176  -0.124 -1.290  -0.032 -1.381  -0.016 -1.291  0.049 -1.189  0.126 -1.092  0.126 -0.963  0.126 -0.835  0.213 -0.742  0.268 -0.636  0.294 -0.518  0.385 -0.426  0.411 -0.308  0.467 -0.202  0.553 -0.109  0.553 0.020  0.553 0.149  0.630 0.246  0.695 0.348  0.695 0.477  0.703 0.602  0.794 0.694  0.837 0.804  0.837 0.933  0.837 1.062  0.837 1.191  0.851 1.307  0.980 1.307
3#app#app34#app3456/w  -1.455 1.121  -1.317 0.984  -1.210 0.833  -1.210 0.639  -1.088 0.495  -1.088 0.300  -0.975 0.153  -0.966 -0.038  -0.959 -0.230  -0.830 -0.373  -0.743 -0.547  -0.722 -0.737  -0.624 -0.833  -0.600 -1.004  -0.479 -1.078  -0.427 -0.905  -0.355 -0.740  -0.355 -0.546  -0.355 -0.351  -0.233 -0.207  -0.233 -0.013  -0.207 0.171  -0.111 0.325  -0.111 0.520  -0.111 0.715  0.011 0.722  0.116 0.633  0.172 0.472  0.255 0.312  0.255 0.117  0.355 0.022  0.377 -0.150  0.377 -0.344  0.500 -0.488  0.500 -0.683  0.617 -0.829  0.688 -0.955  0.744 -0.817  0.832 -0.711  0.866 -0.550  0.866 -0.356  0.866 -0.161  0.961 -0.006  0.988 0.177  0.988 0.372  0.988 0.566  0.993 0.759  1.110 0.905  1.110 1.099  1.232 1.243
3#app#app34#app3456/x  -1.245 1.038  -1.099 0.983  -0.988 0.891  -0.834 0.774  -0.691 0.631  -0.652 0.445  -0.509 0.302  -0.366 0.159  -0.275 -0.022  -0.165 -0.189  -0.022 -0.332  0.121 -0.475  0.223 -0.635  0.303 -0.804  0.370 -0.979  0.517 -1.034  0.568 -1.216  0.664 -1.378  0.786 -1.458  0.784 -1.283  0.754 -1.083  0.724 -0.883  0.694 -0.683  0.664 -0.483  0.634 -0.283  0.604 -0.083  0.574 0.117  0.544 0.317  0.514 0.517  0.484 0.717  0.454 0.918  0.424 1.118  0.394 1.318  0.370 1.439  0.370 1.237  0.264 1.079  0.223 0.893  0.076 0.838  -0.001 0.667  -0.144 0.524  -0.217 0.353  -0.326 0.195  -0.365 0.009  -0.508 -0.134  -0.600 -0.314  -0.658 -0.502  -0.785 -0.577  -0.805 -0.760  -0.896 -0.871  -0.952 -1.018
3#app#app34#app3456/y  -1.037 1.350  -0.879 1.350  -0.756 1.266  -0.688 1.169  -0.576 1.057  -0.465 0.946  -0.449 0.794  -0.431 0.641  -0.360 0.500  -0.289 0.359  -0.281 0.203  -0.223 0.059  -0.197 -0.093  -0.134 -0.224  -0.082 -0.361  -0.030 -0.497  0.107 -0.445  0.162 -0.302  0.194 -0.148  0.227 0.007  0.259 0.161  0.292 0.315  0.324 0.470  0.357 0.624  0.389 0.779  0.422 0.933  0.454 1.087  0.474 1.122  0.474 0.964  0.419 0.819  0.390 0.668  0.331 0.535  0.306 0.387  0.306 0.229  0.233 0.102  0.222 -0.051  0.190 -0.205  0.152 -0.358  0.138 -0.515  0.135 -0.672  0.064 -0.813  0.054 -0.968  0.054 -1.126  0.054 -1.284  0.007 -1.430  -0.030 -1.580  -0.030 -1.737  -0.030 -1.895  -0.113 -2.018  -0.113 -2.176
3#app#app34#app3456/z  -0.902 0.923  -0.768 0.923  -0.640 0.948  -0.520 1.008  -0.391 1.028  -0.257 1.028  -0.135 1.058  -0.032 1.133  0.102 1.133  0.236 1.133  0.370 1.133  0.504 1.133  0.638 1.133  0.773 1.133  0.784 1.011  0.752 0.890  0.679 0.787  0.637 0.670  0.542 0.575  0.468 0.472  0.416 0.370  0.296 0.310  0.257 0.200  0.173 0.100  0.078 0.006  0.007 -0.106  -0.053 -0.226  -0.145 -0.323  -0.165 -0.449  -0.260 -0.543  -0.355 -0.638  -0.450 -0.733  -0.545 -0.828  -0.586 -0.945  -0.690 -0.975  -0.711 -1.100  -0.784 -1.186  -0.662 -1.156  -0.560 -1.080  -0.426 -1.080  -0.291 -1.080  -0.190 -1.001  -0.067 -0.975  0.061 -0.960  0.158 -0.869  0.292 -0.869  0.407 -0.825  0.516 -0.764  0.650 -0.764  0.784 -0.764
