2#apb#apb41#app4131/S  1.326 0.758  1.314 0.908  1.206 0.999  1.055 0.999  0.906 0.985  0.757 0.957  0.609 0.930  0.465 0.886  0.321 0.840  0.177 0.795  0.035 0.744  -0.104 0.687  -0.244 0.630  -0.384 0.573  -0.521 0.511  -0.658 0.446  -0.794 0.382  -0.922 0.303  -1.044 0.215  -0.956 0.138  -0.808 0.129  -0.658 0.144  -0.508 0.159  -0.359 0.181  -0.210 0.202  -0.060 0.220  0.091 0.228  0.241 0.237  0.390 0.223  0.537 0.188  0.656 0.112  0.741 -0.012  0.730 -0.159  0.698 -0.305  0.628 -0.439  0.559 -0.573  0.455 -0.683  0.351 -0.792  0.240 -0.893  0.121 -0.986  -0.002 -1.072  -0.137 -1.140  -0.278 -1.185  -0.428 -1.200  -0.577 -1.183  -0.724 -1.150  -0.865 -1.095  -1.001 -1.031  -1.132 -0.957  -1.236 -0.854
2#apb#apb41#app4131/n  -0.545 0.996  -0.563 1.023  -0.468 1.034  -0.438 1.031  -0.438 0.866  -0.438 0.700  -0.462 0.536  -0.488 0.372  -0.513 0.209  -0.543 0.046  -0.576 -0.116  -0.610 -0.279  -0.643 -0.441  -0.692 -0.599  -0.748 -0.755  -0.793 -0.914  -0.823 -1.077  -0.845 -1.168  -0.798 -1.010  -0.729 -0.859  -0.659 -0.709  -0.588 -0.559  -0.518 -0.409  -0.452 -0.257  -0.386 -0.105  -0.320 0.047  -0.252 0.198  -0.184 0.349  -0.116 0.500  -0.039 0.647  0.038 0.793  0.135 0.925  0.253 1.042  0.387 1.028  0.509 0.919  0.616 0.793  0.707 0.656  0.775 0.505  0.843 0.354  0.887 0.196  0.911 0.032  0.935 -0.132  0.959 -0.296  0.977 -0.461  0.994 -0.625  1.016 -0.790  1.041 -0.953  1.071 -1.114  1.227 -1.102  1.389 -1.066
2#apb#apb41#app4131/t  0.071 1.333  0.216 1.454  0.308 1.309  0.337 1.122  0.351 0.931  0.358 0.740  0.358 0.549  0.358 0.358  0.358 0.167  0.342 -0.024  0.327 -0.214  0.311 -0.405  0.294 -0.595  0.265 -0.784  0.236 -0.973  0.207 -1.162  0.198 -1.353  0.197 -1.544  0.218 -1.734  0.236 -1.601  0.207 -1.412  0.145 -1.235  0.043 -1.074  -0.058 -0.912  -0.162 -0.751  -0.266 -0.591  -0.370 -0.430  -0.466 -0.265  -0.559 -0.097  -0.651 0.070  -0.740 0.239  -0.823 0.411  -0.906 0.584  -0.988 0.757  -1.066 0.890  -1.081 0.703  -1.026 0.528  -0.880 0.408  -0.703 0.336  -0.515 0.316  -0.324 0.308  -0.133 0.319  0.057 0.336  0.248 0.353  0.438 0.376  0.627 0.399  0.817 0.425  1.006 0.454  1.195 0.480  1.385 0.503
2#apb#apb41#app4131/o  -0.342 -0.026  -0.226 0.107  -0.110 0.238  -0.012 0.377  -0.088 0.524  -0.234 0.590  -0.405 0.570  -0.562 0.491  -0.706 0.396  -0.819 0.262  -0.930 0.125  -1.025 -0.022  -1.112 -0.173  -1.123 -0.348  -1.127 -0.522  -1.048 -0.679  -0.931 -0.806  -0.797 -0.918  -0.633 -0.967  -0.459 -0.992  -0.285 -1.014  -0.110 -1.007  0.066 -1.000  0.240 -0.988  0.403 -0.922  0.565 -0.855  0.727 -0.787  0.881 -0.702  1.034 -0.616  1.160 -0.501  1.260 -0.356  1.296 -0.195  1.278 -0.021  1.248 0.150  1.151 0.296  1.053 0.442  0.956 0.588  0.836 0.713  0.696 0.820  0.556 0.926  0.408 1.007  0.232 1.007  0.060 0.992  -0.104 0.927  -0.255 0.846  -0.361 0.707  -0.468 0.567  -0.550 0.414  -0.611 0.249  -0.672 0.084
2#apb#apb41#app4131/n  -0.978 0.440  -0.858 0.522  -0.792 0.460  -0.834 0.317  -0.879 0.175  -0.926 0.033  -0.976 -0.107  -1.040 -0.242  -1.101 -0.378  -1.148 -0.518  -1.046 -0.561  -0.920 -0.488  -0.812 -0.386  -0.710 -0.277  -0.630 -0.154  -0.581 -0.013  -0.542 0.130  -0.525 0.278  -0.509 0.426  -0.491 0.574  -0.495 0.656  -0.513 0.508  -0.517 0.359  -0.512 0.210  -0.495 0.063  -0.448 -0.078  -0.399 -0.218  -0.293 -0.324  -0.188 -0.429  -0.051 -0.481  0.093 -0.519  0.238 -0.555  0.387 -0.564  0.536 -0.572  0.684 -0.580  0.831 -0.552  0.977 -0.523  1.119 -0.482  1.244 -0.401  1.359 -0.312  1.423 -0.177  1.437 -0.037  1.402 0.108  1.364 0.253  1.317 0.394  1.270 0.536  1.222 0.677  1.173 0.818  1.112 0.953  1.023 1.041
2#apb#apb41#app4131/U  -0.840 0.519  -0.823 0.623  -0.837 0.692  -0.872 0.590  -0.898 0.485  -0.921 0.378  -0.943 0.271  -0.957 0.164  -0.957 0.055  -0.957 -0.054  -0.957 -0.163  -0.932 -0.269  -0.903 -0.374  -0.874 -0.479  -0.825 -0.575  -0.766 -0.666  -0.703 -0.753  -0.605 -0.802  -0.508 -0.851  -0.402 -0.873  -0.294 -0.884  -0.186 -0.896  -0.079 -0.882  0.027 -0.858  0.134 -0.834  0.234 -0.797  0.322 -0.733  0.410 -0.669  0.498 -0.604  0.576 -0.529  0.653 -0.452  0.730 -0.375  0.787 -0.283  0.835 -0.185  0.884 -0.088  0.901 0.017  0.897 0.125  0.894 0.234  0.885 0.342  0.857 0.447  0.828 0.553  0.799 0.658  0.763 0.760  0.720 0.860  0.678 0.961  0.635 1.061  0.590 1.160  0.543 1.258  0.495 1.356  0.461 1.355
2#apb#apb41#app4131/r  -0.657 0.213  -0.657 0.327  -0.657 0.441  -0.623 0.378  -0.635 0.265  -0.647 0.151  -0.658 0.038  -0.667 -0.076  -0.676 -0.190  -0.685 -0.303  -0.699 -0.416  -0.723 -0.528  -0.747 -0.639  -0.771 -0.750  -0.775 -0.864  -0.775 -0.978  -0.747 -1.087  -0.700 -1.191  -0.603 -1.167  -0.532 -1.078  -0.462 -0.988  -0.397 -0.894  -0.341 -0.795  -0.285 -0.696  -0.229 -0.597  -0.176 -0.496  -0.127 -0.393  -0.077 -0.290  -0.028 -0.188  0.022 -0.085  0.073 0.017  0.124 0.119  0.175 0.221  0.226 0.323  0.293 0.415  0.365 0.503  0.437 0.591  0.509 0.679  0.594 0.753  0.690 0.815  0.786 0.877  0.888 0.925  0.996 0.961  1.105 0.986  1.217 0.966  1.320 0.922  1.401 0.845  1.467 0.752  1.529 0.656  1.539 0.551
2#apb#apb41#app4131/b  -0.708 1.552  -0.708 1.677  -0.687 1.588  -0.655 1.436  -0.628 1.282  -0.615 1.127  -0.601 0.972  -0.599 0.817  -0.599 0.661  -0.599 0.506  -0.607 0.351  -0.617 0.195  -0.626 0.040  -0.630 -0.115  -0.630 -0.271  -0.630 -0.427  -0.630 -0.582  -0.621 -0.737  -0.614 -0.893  -0.614 -0.748  -0.570 -0.599  -0.515 -0.454  -0.439 -0.319  -0.362 -0.184  -0.272 -0.057  -0.175 0.064  -0.077 0.185  0.041 0.287  0.160 0.385  0.307 0.437  0.455 0.468  0.608 0.439  0.739 0.365  0.856 0.263  0.955 0.145  1.043 0.016  1.092 -0.128  1.123 -0.281  1.146 -0.435  1.165 -0.589  1.151 -0.744  1.053 -0.860  0.914 -0.930  0.762 -0.945  0.607 -0.945  0.456 -0.913  0.308 -0.866  0.158 -0.824  0.016 -0.763  -0.084 -0.648
2#apb#apb41#app4131/a  0.477 0.089  0.497 0.273  0.539 0.453  0.539 0.638  0.513 0.817  0.410 0.971  0.262 1.070  0.083 1.087  -0.099 1.055  -0.270 0.989  -0.429 0.894  -0.588 0.798  -0.717 0.667  -0.845 0.532  -0.973 0.398  -1.075 0.243  -1.172 0.086  -1.265 -0.074  -1.312 -0.254  -1.359 -0.433  -1.338 -0.616  -1.257 -0.768  -1.104 -0.868  -0.922 -0.905  -0.740 -0.907  -0.559 -0.871  -0.382 -0.821  -0.229 -0.716  -0.076 -0.611  0.063 -0.490  0.194 -0.359  0.295 -0.207  0.375 -0.039  0.438 0.133  0.450 0.318  0.463 0.503  0.477 0.688  0.477 0.545  0.469 0.360  0.460 0.175  0.468 -0.010  0.491 -0.194  0.535 -0.373  0.598 -0.542  0.757 -0.638  0.934 -0.689  1.114 -0.703  1.294 -0.658  1.467 -0.590  1.572 -0.449
2#apb#apb41#app4131/n  -0.879 0.310  -0.808 0.438  -0.720 0.483  -0.755 0.341  -0.791 0.199  -0.836 0.061  -0.886 -0.077  -0.928 -0.216  -0.964 -0.358  -0.997 -0.500  -1.023 -0.644  -0.973 -0.617  -0.892 -0.495  -0.820 -0.368  -0.755 -0.238  -0.700 -0.102  -0.646 0.033  -0.588 0.168  -0.531 0.302  -0.469 0.435  -0.405 0.565  -0.351 0.511  -0.342 0.365  -0.342 0.219  -0.343 0.073  -0.348 -0.073  -0.354 -0.219  -0.333 -0.362  -0.290 -0.501  -0.197 -0.611  -0.069 -0.680  0.066 -0.706  0.207 -0.667  0.348 -0.628  0.477 -0.561  0.607 -0.493  0.734 -0.422  0.846 -0.328  0.958 -0.235  1.071 -0.141  1.155 -0.023  1.239 0.097  1.318 0.219  1.360 0.359  1.402 0.499  1.444 0.639  1.473 0.782  1.500 0.926  1.544 1.065  1.582 1.175
2#apb#apb41#app4131/V  -0.862 0.376  -0.816 0.479  -0.786 0.588  -0.765 0.559  -0.742 0.448  -0.728 0.336  -0.715 0.224  -0.700 0.112  -0.684 0.000  -0.668 -0.112  -0.652 -0.224  -0.637 -0.336  -0.623 -0.448  -0.608 -0.560  -0.594 -0.672  -0.576 -0.784  -0.550 -0.894  -0.525 -1.004  -0.485 -1.108  -0.420 -1.200  -0.317 -1.246  -0.222 -1.193  -0.128 -1.131  -0.065 -1.038  -0.006 -0.941  0.053 -0.845  0.112 -0.749  0.165 -0.649  0.216 -0.548  0.268 -0.447  0.320 -0.347  0.371 -0.246  0.413 -0.141  0.455 -0.036  0.496 0.069  0.538 0.174  0.579 0.279  0.609 0.388  0.635 0.498  0.661 0.608  0.687 0.718  0.714 0.828  0.738 0.938  0.763 1.049  0.787 1.159  0.812 1.269  0.840 1.379  0.869 1.488  0.881 1.522  0.890 1.410
2#apb#apb41#app4131/o  0.487 -0.017  0.447 0.149  0.350 0.288  0.201 0.368  0.031 0.381  -0.131 0.324  -0.288 0.258  -0.427 0.158  -0.566 0.057  -0.678 -0.072  -0.789 -0.202  -0.891 -0.339  -0.970 -0.491  -1.050 -0.643  -1.084 -0.807  -1.094 -0.978  -0.972 -1.092  -0.827 -1.162  -0.656 -1.156  -0.485 -1.150  -0.321 -1.108  -0.163 -1.043  -0.004 -0.977  0.154 -0.912  0.292 -0.812  0.428 -0.707  0.563 -0.602  0.691 -0.489  0.809 -0.365  0.927 -0.240  1.020 -0.099  1.097 0.055  1.148 0.214  1.148 0.385  1.102 0.544  1.012 0.689  0.921 0.835  0.778 0.928  0.634 1.022  0.475 1.073  0.305 1.094  0.136 1.105  -0.026 1.049  -0.188 0.993  -0.336 0.915  -0.457 0.794  -0.578 0.673  -0.669 0.532  -0.725 0.371  -0.782 0.209
2#apb#apb41#app4131/g  0.460 1.044  0.357 1.173  0.193 1.196  0.029 1.196  -0.131 1.156  -0.281 1.081  -0.423 0.995  -0.558 0.897  -0.659 0.767  -0.743 0.624  -0.805 0.469  -0.781 0.306  -0.625 0.246  -0.460 0.260  -0.294 0.279  -0.138 0.336  0.017 0.398  0.152 0.495  0.282 0.599  0.399 0.718  0.511 0.841  0.611 0.974  0.622 0.985  0.604 0.819  0.585 0.653  0.565 0.488  0.546 0.322  0.530 0.156  0.515 -0.010  0.499 -0.176  0.482 -0.342  0.464 -0.508  0.445 -0.674  0.422 -0.839  0.387 -1.002  0.352 -1.165  0.288 -1.318  0.213 -1.467  0.103 -1.591  -0.048 -1.594  -0.192 -1.514  -0.327 -1.416  -0.419 -1.277  -0.503 -1.134  -0.541 -0.972  -0.578 -0.809  -0.588 -0.644  -0.588 -0.477  -0.541 -0.317  -0.407 -0.224
2#apb#apb41#app4131/e  -0.853 -0.230  -0.994 -0.116  -1.077 -0.178  -1.030 -0.343  -0.908 -0.479  -0.740 -0.543  -0.566 -0.596  -0.385 -0.571  -0.204 -0.545  -0.030 -0.493  0.141 -0.428  0.307 -0.355  0.444 -0.234  0.581 -0.113  0.707 0.018  0.827 0.156  0.927 0.306  0.999 0.474  0.982 0.647  0.918 0.817  0.815 0.967  0.710 1.116  0.559 1.220  0.409 1.323  0.232 1.358  0.055 1.361  -0.102 1.267  -0.249 1.162  -0.363 1.019  -0.477 0.876  -0.573 0.723  -0.641 0.554  -0.709 0.384  -0.751 0.210  -0.751 0.027  -0.751 -0.156  -0.728 -0.334  -0.665 -0.506  -0.592 -0.670  -0.441 -0.773  -0.291 -0.877  -0.113 -0.914  0.067 -0.948  0.248 -0.958  0.430 -0.948  0.603 -0.904  0.764 -0.818  0.929 -0.739  1.092 -0.657  1.244 -0.556
2#apb#apb41#app4131/l  0.073 1.554  0.061 1.627  0.047 1.623  0.027 1.552  0.021 1.478  0.014 1.404  0.008 1.330  0.001 1.256  -0.005 1.182  -0.012 1.108  -0.019 1.034  -0.026 0.960  -0.033 0.886  -0.040 0.812  -0.047 0.738  -0.052 0.664  -0.055 0.590  -0.059 0.515  -0.062 0.441  -0.066 0.367  -0.070 0.293  -0.073 0.219  -0.077 0.145  -0.080 0.070  -0.082 -0.004  -0.084 -0.078  -0.086 -0.152  -0.088 -0.227  -0.090 -0.301  -0.092 -0.375  -0.094 -0.449  -0.095 -0.524  -0.092 -0.598  -0.090 -0.672  -0.087 -0.746  -0.084 -0.820  -0.081 -0.895  -0.068 -0.967  -0.050 -1.039  -0.032 -1.112  -0.014 -1.184  0.010 -1.254  0.040 -1.322  0.081 -1.380  0.145 -1.402  0.217 -1.381  0.268 -1.330  0.317 -1.274  0.356 -1.211  0.396 -1.148
