3#app#app32#app3256/!  -0.046 1.319  0.036 1.319  0.060 1.377  0.060 1.459  0.060 1.520  0.060 1.438  0.060 1.356  0.060 1.274  0.039 1.212  -0.043 1.212  -0.046 1.133  -0.046 1.051  -0.046 0.969  -0.046 0.886  -0.046 0.804  -0.046 0.722  -0.046 0.640  -0.046 0.557  -0.046 0.475  -0.046 0.393  -0.083 0.326  -0.141 0.268  -0.152 0.190  -0.152 0.108  -0.152 0.025  -0.152 -0.057  -0.152 -0.139  -0.152 -0.221  -0.152 -0.304  -0.152 -0.386  -0.152 -0.468  -0.152 -0.550  -0.113 -0.593  -0.041 -0.608  -0.012 -0.685  0.017 -0.762  0.046 -0.839  0.075 -0.916  0.104 -0.993  0.133 -1.070  0.161 -1.147  0.190 -1.224  0.219 -1.301  0.248 -1.378  0.259 -1.442  0.177 -1.442  0.166 -1.371  0.118 -1.336  0.060 -1.360  0.060 -1.442
3#app#app32#app3256/~  -1.501 -0.388  -1.501 -0.281  -1.489 -0.179  -1.414 -0.103  -1.338 -0.028  -1.303 0.064  -1.303 0.171  -1.230 0.205  -1.123 0.205  -1.042 0.268  -0.967 0.344  -0.891 0.419  -0.815 0.495  -0.740 0.570  -0.646 0.601  -0.539 0.601  -0.432 0.601  -0.325 0.601  -0.314 0.504  -0.309 0.403  -0.202 0.403  -0.117 0.382  -0.117 0.275  -0.090 0.179  -0.014 0.103  0.061 0.028  0.081 -0.071  0.081 -0.178  0.176 -0.190  0.281 -0.193  0.357 -0.268  0.433 -0.344  0.477 -0.433  0.477 -0.539  0.537 -0.586  0.644 -0.586  0.751 -0.586  0.858 -0.586  0.965 -0.586  1.071 -0.584  1.147 -0.509  1.222 -0.433  1.268 -0.345  1.268 -0.238  1.268 -0.131  1.268 -0.025  1.268 0.082  1.268 0.189  1.268 0.296  1.268 0.403
3#app#app32#app3256/  -1.388 0.268  -1.388 0.192  -1.388 0.116  -1.388 0.040  -1.388 -0.036  -1.388 -0.111  -1.375 -0.174  -1.299 -0.174  -1.223 -0.174  -1.147 -0.174  -1.071 -0.174  -0.995 -0.174  -0.919 -0.174  -0.844 -0.174  -0.768 -0.174  -0.692 -0.174  -0.616 -0.174  -0.540 -0.174  -0.464 -0.174  -0.388 -0.174  -0.312 -0.174  -0.236 -0.174  -0.160 -0.174  -0.085 -0.174  -0.009 -0.174  0.067 -0.174  0.143 -0.174  0.219 -0.174  0.295 -0.174  0.371 -0.174  0.427 -0.127  0.481 -0.073  0.534 -0.019  0.588 0.034  0.642 0.088  0.695 0.142  0.749 0.195  0.803 0.249  0.871 0.268  0.947 0.268  1.023 0.268  1.099 0.268  1.174 0.268  1.250 0.268  1.326 0.268  1.402 0.268  1.478 0.268  1.554 0.268  1.630 0.268  1.706 0.268
3#app#app32#app3256/_  -1.879 -0.036  -1.796 -0.036  -1.712 -0.036  -1.629 -0.036  -1.545 -0.036  -1.462 -0.036  -1.378 -0.036  -1.295 -0.036  -1.211 -0.036  -1.128 -0.036  -1.044 -0.036  -0.961 -0.036  -0.877 -0.036  -0.794 -0.036  -0.710 -0.036  -0.627 -0.036  -0.543 -0.036  -0.460 -0.036  -0.376 -0.036  -0.293 -0.036  -0.209 -0.036  -0.126 -0.036  -0.042 -0.036  0.041 -0.036  0.125 -0.036  0.208 -0.036  0.292 -0.036  0.375 -0.036  0.459 -0.036  0.542 -0.036  0.626 -0.036  0.709 -0.036  0.793 -0.036  0.876 -0.036  0.960 -0.036  1.043 -0.036  1.127 -0.036  1.210 -0.036  1.182 -0.036  1.099 -0.036  1.043 -0.008  1.043 0.075  1.043 0.159  1.043 0.242  1.043 0.326  1.043 0.298  1.043 0.214  1.043 0.131  1.043 0.047  1.043 -0.036
3#app#app32#app3256/+  0.079 1.755  0.247 1.755  0.391 1.731  0.391 1.563  0.391 1.395  0.391 1.227  0.391 1.059  0.391 0.890  0.391 0.722  0.391 0.554  0.391 0.386  0.391 0.218  0.391 0.050  0.391 -0.118  0.391 -0.286  0.414 -0.431  0.582 -0.431  0.703 -0.478  0.703 -0.646  0.753 -0.793  0.872 -0.912  0.991 -1.031  0.891 -1.009  0.733 -0.950  0.576 -0.891  0.419 -0.832  0.261 -0.773  0.104 -0.714  -0.053 -0.655  -0.211 -0.596  -0.368 -0.537  -0.525 -0.478  -0.683 -0.419  -0.840 -0.360  -0.997 -0.301  -1.155 -0.242  -1.312 -0.183  -1.469 -0.124  -1.328 -0.119  -1.160 -0.119  -0.992 -0.119  -0.834 -0.095  -0.715 0.024  -0.596 0.143  -0.449 0.193  -0.281 0.193  -0.113 0.193  0.055 0.193  0.223 0.193  0.391 0.193
3#app#app32#app3256/=  -1.381 0.364  -1.248 0.364  -1.116 0.364  -1.020 0.453  -0.926 0.546  -0.832 0.636  -0.699 0.636  -0.567 0.636  -0.434 0.636  -0.302 0.636  -0.170 0.636  -0.037 0.636  0.095 0.636  0.227 0.636  0.360 0.636  0.492 0.636  0.625 0.636  0.757 0.636  0.889 0.636  1.022 0.636  1.154 0.636  1.286 0.636  1.279 0.590  1.174 0.511  1.068 0.431  0.962 0.352  0.856 0.272  0.750 0.193  0.644 0.113  0.538 0.034  0.432 -0.045  0.326 -0.125  0.221 -0.204  0.115 -0.284  0.009 -0.363  -0.097 -0.442  -0.203 -0.522  -0.309 -0.601  -0.415 -0.681  -0.521 -0.760  -0.627 -0.840  -0.733 -0.919  -0.834 -0.999  -0.741 -1.092  -0.647 -1.186  -0.549 -1.269  -0.417 -1.269  -0.284 -1.269  -0.152 -1.269  -0.020 -1.269
3#app#app32#app3256/[  1.104 0.899  1.002 0.899  0.900 0.899  0.798 0.899  0.696 0.899  0.594 0.899  0.493 0.899  0.391 0.899  0.289 0.899  0.187 0.899  0.085 0.899  0.020 0.936  0.020 1.038  -0.066 1.054  -0.167 1.054  -0.269 1.054  -0.289 0.972  -0.289 0.870  -0.289 0.769  -0.344 0.689  -0.416 0.617  -0.444 0.527  -0.444 0.425  -0.444 0.323  -0.444 0.222  -0.444 0.120  -0.444 0.018  -0.444 -0.084  -0.444 -0.186  -0.444 -0.288  -0.444 -0.390  -0.444 -0.492  -0.345 -0.494  -0.289 -0.540  -0.289 -0.642  -0.289 -0.744  -0.247 -0.804  -0.145 -0.804  -0.135 -0.895  -0.107 -0.986  -0.035 -1.058  0.020 -1.136  0.020 -1.238  0.092 -1.268  0.189 -1.282  0.261 -1.354  0.334 -1.423  0.436 -1.423  0.485 -1.476  0.485 -1.578
3#app#app32#app3256/]  -0.753 0.936  -0.692 0.998  -0.631 1.059  -0.551 1.076  -0.464 1.076  -0.378 1.076  -0.291 1.076  -0.204 1.076  -0.196 1.154  -0.170 1.215  -0.084 1.215  -0.014 1.173  0.047 1.112  0.108 1.050  0.169 0.989  0.222 0.924  0.222 0.837  0.222 0.751  0.222 0.664  0.222 0.577  0.222 0.491  0.222 0.404  0.222 0.317  0.222 0.231  0.222 0.144  0.222 0.057  0.222 -0.029  0.222 -0.116  0.222 -0.203  0.222 -0.289  0.222 -0.376  0.222 -0.463  0.222 -0.550  0.222 -0.636  0.222 -0.723  0.222 -0.810  0.222 -0.896  0.222 -0.983  0.222 -1.070  0.220 -1.155  0.159 -1.217  0.097 -1.278  0.036 -1.339  -0.025 -1.401  -0.099 -1.432  -0.186 -1.432  -0.250 -1.378  -0.311 -1.317  -0.388 -1.293  -0.475 -1.293
3#app#app32#app3256/{  -0.112 1.660  -0.112 1.542  -0.112 1.425  -0.112 1.308  -0.037 1.266  0.047 1.211  0.099 1.107  0.151 1.002  0.151 0.884  0.255 0.872  0.282 0.781  0.358 0.740  0.414 0.678  0.414 0.561  0.380 0.478  0.268 0.464  0.186 0.381  0.083 0.346  -0.034 0.346  -0.152 0.346  -0.269 0.346  -0.386 0.346  -0.503 0.346  -0.620 0.346  -0.566 0.275  -0.474 0.215  -0.357 0.215  -0.243 0.211  -0.243 0.094  -0.137 0.084  -0.047 0.018  0.036 -0.065  0.119 -0.148  0.151 -0.252  0.151 -0.369  0.151 -0.486  0.151 -0.603  0.151 -0.720  0.151 -0.838  0.151 -0.955  0.151 -1.072  0.151 -1.189  0.151 -1.306  0.107 -1.405  0.024 -1.488  0.019 -1.604  -0.049 -1.692  -0.112 -1.784  -0.112 -1.901  -0.112 -2.018
3#app#app32#app3256/}  -0.063 1.392  -0.035 1.478  0.081 1.478  0.196 1.478  0.311 1.478  0.370 1.422  0.370 1.306  0.351 1.199  0.283 1.111  0.249 1.010  0.155 0.958  0.060 0.909  -0.021 0.827  -0.103 0.745  -0.150 0.650  -0.204 0.557  -0.237 0.455  -0.225 0.351  -0.109 0.351  0.006 0.351  0.093 0.421  0.193 0.438  0.110 0.405  0.110 0.290  0.046 0.201  0.023 0.095  0.023 -0.020  0.023 -0.135  0.106 -0.169  0.110 -0.279  0.147 -0.379  0.217 -0.469  0.269 -0.573  0.283 -0.684  0.283 -0.800  0.283 -0.915  0.283 -1.030  0.205 -1.113  0.098 -1.134  0.014 -1.209  -0.101 -1.209  -0.217 -1.209  -0.245 -1.295  -0.361 -1.295  -0.457 -1.342  -0.497 -1.323  -0.583 -1.295  -0.583 -1.179  -0.583 -1.180  -0.583 -1.122
3#app#app32#app3256/\\  -0.192 1.171  -0.192 1.249  -0.192 1.327  -0.192 1.404  -0.192 1.482  -0.192 1.473  -0.192 1.395  -0.192 1.318  -0.192 1.240  -0.192 1.162  -0.192 1.084  -0.192 1.007  -0.192 0.929  -0.192 0.851  -0.192 0.773  -0.192 0.696  -0.192 0.618  -0.192 0.540  -0.192 0.462  -0.192 0.385  -0.192 0.307  -0.192 0.229  -0.192 0.151  -0.192 0.074  -0.192 -0.004  -0.192 -0.082  -0.192 -0.160  -0.172 -0.229  -0.117 -0.284  -0.062 -0.339  -0.012 -0.397  0.023 -0.467  0.058 -0.537  0.093 -0.606  0.127 -0.676  0.154 -0.747  0.154 -0.825  0.155 -0.902  0.210 -0.957  0.265 -1.012  0.320 -1.067  0.326 -1.142  0.326 -1.220  0.378 -1.246  0.456 -1.246  0.499 -1.280  0.499 -1.358  0.499 -1.436  0.499 -1.514  0.499 -1.591
3#app#app32#app3256/,  -0.408 1.653  -0.349 1.594  -0.291 1.536  -0.232 1.477  -0.173 1.418  -0.114 1.359  -0.055 1.301  0.003 1.242  0.062 1.183  0.121 1.124  0.180 1.065  0.227 1.002  0.227 0.919  0.227 0.835  0.227 0.752  0.227 0.669  0.227 0.586  0.227 0.503  0.227 0.420  0.227 0.337  0.227 0.253  0.227 0.170  0.227 0.087  0.227 0.004  0.227 -0.079  0.227 -0.162  0.227 -0.246  0.227 -0.329  0.227 -0.412  0.227 -0.495  0.227 -0.578  0.227 -0.661  0.227 -0.744  0.227 -0.828  0.204 -0.888  0.121 -0.888  0.038 -0.888  -0.046 -0.888  -0.129 -0.888  -0.212 -0.888  -0.295 -0.888  -0.378 -0.888  -0.408 -0.941  -0.408 -1.024  -0.408 -1.107  -0.408 -1.190  -0.408 -1.273  -0.408 -1.356  -0.408 -1.440  -0.408 -1.523
3#app#app32#app3256/  1.089 0.951  1.089 1.026  1.089 1.099  1.089 1.024  1.086 0.951  1.011 0.951  0.936 0.948  0.883 0.895  0.830 0.841  0.776 0.788  0.723 0.734  0.670 0.681  0.606 0.652  0.531 0.652  0.466 0.627  0.413 0.573  0.359 0.520  0.319 0.457  0.285 0.390  0.252 0.322  0.218 0.255  0.179 0.191  0.126 0.137  0.073 0.084  0.015 0.036  -0.048 -0.006  -0.111 -0.048  -0.173 -0.090  -0.236 -0.132  -0.299 -0.174  -0.362 -0.215  -0.422 -0.261  -0.475 -0.314  -0.528 -0.367  -0.555 -0.432  -0.555 -0.507  -0.583 -0.571  -0.636 -0.625  -0.689 -0.678  -0.704 -0.747  -0.704 -0.823  -0.744 -0.882  -0.797 -0.935  -0.851 -0.989  -0.854 -1.063  -0.854 -1.138  -0.926 -1.141  -1.002 -1.141  -1.003 -1.215  -1.003 -1.291
3#app#app32#app3256/?  -0.670 0.909  -0.569 0.909  -0.491 0.964  -0.418 1.033  -0.317 1.033  -0.216 1.033  -0.115 1.033  -0.014 1.033  0.088 1.033  0.189 1.033  0.290 1.033  0.391 1.033  0.479 1.002  0.550 0.930  0.643 0.909  0.696 0.861  0.696 0.760  0.696 0.659  0.696 0.558  0.696 0.457  0.656 0.372  0.584 0.301  0.513 0.229  0.441 0.158  0.370 0.086  0.288 0.040  0.190 0.031  0.119 -0.040  0.036 -0.084  -0.060 -0.096  -0.132 -0.167  -0.216 -0.208  -0.297 -0.228  -0.297 -0.329  -0.297 -0.430  -0.297 -0.531  -0.297 -0.632  -0.297 -0.734  -0.297 -0.835  -0.297 -0.936  -0.297 -1.037  -0.297 -1.138  -0.297 -1.239  -0.297 -1.340  -0.297 -1.441  -0.297 -1.542  -0.367 -1.574  -0.468 -1.574  -0.546 -1.597  -0.546 -1.698
3#app#app32#app3256/'  0.208 1.674  0.208 1.596  0.208 1.517  0.208 1.439  0.208 1.361  0.208 1.283  0.208 1.205  0.208 1.127  0.208 1.049  0.208 0.970  0.208 0.892  0.208 0.814  0.208 0.736  0.150 0.716  0.072 0.716  -0.007 0.716  -0.085 0.716  -0.111 0.664  -0.111 0.586  -0.111 0.508  -0.111 0.430  -0.111 0.352  -0.111 0.274  -0.111 0.195  -0.111 0.117  -0.111 0.039  -0.111 -0.039  -0.111 -0.117  -0.111 -0.195  -0.111 -0.274  -0.111 -0.352  -0.111 -0.430  -0.111 -0.508  -0.111 -0.586  -0.111 -0.664  -0.111 -0.742  -0.111 -0.821  -0.111 -0.899  -0.111 -0.977  -0.111 -1.055  -0.111 -1.133  -0.111 -1.211  -0.111 -1.289  -0.111 -1.368  -0.111 -1.446  -0.104 -1.517  -0.026 -1.517  0.052 -1.517  0.130 -1.517  0.208 -1.517
3#app#app32#app3256/\"  -0.422 1.115  -0.422 0.982  -0.422 0.849  -0.526 0.820  -0.659 0.820  -0.718 0.746  -0.718 0.613  -0.762 0.525  -0.895 0.525  -1.013 0.509  -1.013 0.377  -1.013 0.244  -1.013 0.111  -1.013 -0.022  -1.013 -0.155  -1.013 -0.288  -1.013 -0.421  -1.013 -0.554  -0.986 -0.641  -0.871 -0.575  -0.755 -0.509  -0.640 -0.443  -0.524 -0.377  -0.409 -0.311  -0.294 -0.245  -0.178 -0.179  -0.063 -0.113  0.053 -0.047  0.168 0.019  0.283 0.085  0.399 0.151  0.514 0.217  0.630 0.283  0.745 0.349  0.860 0.414  0.976 0.480  1.054 0.482  1.054 0.349  1.054 0.216  1.054 0.083  1.054 -0.050  1.054 -0.183  1.054 -0.316  1.054 -0.449  1.054 -0.582  1.054 -0.715  1.054 -0.848  1.054 -0.981  1.054 -1.113  1.054 -1.246
3#app#app32#app3256/<  1.270 1.306  1.165 1.306  1.083 1.282  1.083 1.177  1.050 1.086  0.976 1.011  0.901 0.937  0.827 0.862  0.753 0.788  0.665 0.744  0.560 0.744  0.475 0.697  0.400 0.623  0.322 0.557  0.217 0.557  0.148 0.521  0.148 0.416  0.088 0.370  -0.017 0.370  -0.098 0.312  -0.172 0.237  -0.247 0.163  -0.321 0.088  -0.396 0.014  -0.493 -0.004  -0.599 -0.004  -0.704 -0.004  -0.788 -0.025  -0.788 -0.131  -0.833 -0.191  -0.938 -0.191  -0.907 -0.191  -0.802 -0.191  -0.724 -0.256  -0.649 -0.330  -0.601 -0.415  -0.601 -0.521  -0.558 -0.608  -0.484 -0.683  -0.409 -0.757  -0.335 -0.832  -0.261 -0.906  -0.186 -0.980  -0.112 -1.055  -0.037 -1.129  0.037 -1.204  0.111 -1.278  0.186 -1.352  0.260 -1.427  0.335 -1.501
3#app#app32#app3256/|  0.415 1.652  0.415 1.580  0.415 1.509  0.415 1.437  0.415 1.365  0.411 1.294  0.379 1.230  0.347 1.166  0.315 1.102  0.283 1.038  0.251 0.974  0.219 0.909  0.187 0.845  0.155 0.781  0.122 0.717  0.090 0.653  0.066 0.587  0.066 0.515  0.066 0.443  0.040 0.378  0.008 0.313  -0.024 0.249  -0.056 0.185  -0.088 0.121  -0.109 0.054  -0.109 -0.018  -0.109 -0.089  -0.109 -0.161  -0.109 -0.233  -0.109 -0.305  -0.109 -0.376  -0.109 -0.448  -0.109 -0.520  -0.109 -0.592  -0.109 -0.663  -0.109 -0.735  -0.118 -0.803  -0.169 -0.854  -0.219 -0.904  -0.270 -0.955  -0.283 -1.021  -0.283 -1.093  -0.283 -1.165  -0.283 -1.237  -0.283 -1.308  -0.283 -1.380  -0.283 -1.452  -0.283 -1.524  -0.283 -1.595  -0.283 -1.667
3#app#app32#app3256/>  -0.896 1.616  -0.896 1.515  -0.881 1.421  -0.809 1.349  -0.738 1.278  -0.666 1.206  -0.595 1.135  -0.537 1.058  -0.537 0.957  -0.507 0.868  -0.436 0.796  -0.364 0.725  -0.266 0.718  -0.169 0.709  -0.097 0.637  -0.026 0.566  0.046 0.495  0.117 0.423  0.188 0.352  0.260 0.280  0.331 0.209  0.403 0.137  0.474 0.066  0.546 -0.006  0.617 -0.077  0.689 -0.149  0.760 -0.220  0.832 -0.292  0.901 -0.364  0.901 -0.465  0.883 -0.559  0.811 -0.630  0.740 -0.702  0.646 -0.720  0.545 -0.720  0.444 -0.720  0.343 -0.720  0.242 -0.720  0.153 -0.749  0.081 -0.821  0.010 -0.892  -0.088 -0.900  -0.189 -0.900  -0.290 -0.900  -0.357 -0.934  -0.357 -1.035  -0.414 -1.080  -0.515 -1.080  -0.616 -1.080  -0.717 -1.080
