3#apa#apa03#app0344/w  -0.944 0.728  -0.944 0.845  -0.944 0.693  -0.997 0.594  -1.078 0.524  -1.118 0.381  -1.186 0.245  -1.213 0.100  -1.213 -0.052  -1.213 -0.204  -1.110 -0.313  -1.078 -0.452  -1.078 -0.603  -0.936 -0.613  -0.785 -0.613  -0.645 -0.583  -0.538 -0.475  -0.431 -0.368  -0.289 -0.345  -0.271 -0.211  -0.139 -0.190  -0.113 -0.050  -0.005 0.058  0.007 0.204  0.114 0.311  0.129 0.457  0.114 0.326  -0.005 0.293  -0.005 0.141  -0.005 -0.010  -0.005 -0.162  0.068 -0.284  0.129 -0.410  0.212 -0.479  0.334 -0.550  0.460 -0.613  0.588 -0.556  0.708 -0.479  0.842 -0.437  0.949 -0.329  1.057 -0.222  1.164 -0.115  1.271 -0.007  1.363 0.111  1.431 0.247  1.470 0.389  1.470 0.541  1.470 0.693  1.470 0.845  1.470 0.997
3#apa#apa03#app0344/o  0.510 0.878  0.510 1.007  0.510 1.136  0.510 1.264  0.479 1.362  0.351 1.362  0.236 1.329  0.145 1.238  0.054 1.147  -0.037 1.056  -0.128 0.965  -0.221 0.878  -0.349 0.878  -0.457 0.857  -0.457 0.728  -0.483 0.611  -0.574 0.520  -0.665 0.429  -0.698 0.314  -0.698 0.185  -0.698 0.057  -0.698 -0.072  -0.698 -0.200  -0.698 -0.329  -0.698 -0.458  -0.698 -0.586  -0.698 -0.715  -0.669 -0.814  -0.540 -0.814  -0.457 -0.859  -0.457 -0.988  -0.396 -1.056  -0.267 -1.056  -0.139 -1.056  -0.010 -1.056  0.119 -1.056  0.247 -1.056  0.269 -0.948  0.269 -0.820  0.391 -0.814  0.517 -0.807  0.608 -0.716  0.699 -0.625  0.752 -0.518  0.752 -0.390  0.801 -0.281  0.892 -0.191  0.983 -0.100  0.994 0.024  0.994 0.153
3#apa#apa03#app0344/u  -1.107 0.943  -1.107 0.804  -1.107 0.666  -1.107 0.527  -1.107 0.389  -1.107 0.250  -1.107 0.111  -1.107 -0.027  -1.107 -0.166  -1.107 -0.304  -1.107 -0.443  -1.107 -0.582  -0.983 -0.596  -0.888 -0.639  -0.888 -0.778  -0.787 -0.816  -0.648 -0.816  -0.510 -0.816  -0.394 -0.762  -0.296 -0.664  -0.198 -0.566  -0.100 -0.468  -0.008 -0.367  -0.008 -0.228  0.058 -0.156  0.197 -0.156  0.267 -0.045  0.329 0.079  0.391 0.203  0.466 0.318  0.564 0.416  0.651 0.518  0.651 0.656  0.651 0.795  0.651 0.934  0.781 0.943  0.871 0.895  0.871 0.756  0.871 0.618  0.871 0.479  0.871 0.341  0.871 0.202  0.871 0.063  0.871 -0.075  0.871 -0.214  0.871 -0.352  0.986 -0.376  1.115 -0.400  1.213 -0.498  1.311 -0.596
3#apa#apa03#app0344/s  0.339 1.243  0.213 1.243  0.086 1.243  -0.041 1.243  -0.167 1.243  -0.294 1.243  -0.420 1.243  -0.511 1.207  -0.511 1.080  -0.630 1.073  -0.681 0.997  -0.704 0.880  -0.793 0.790  -0.851 0.688  -0.851 0.561  -0.851 0.434  -0.766 0.393  -0.681 0.351  -0.681 0.225  -0.556 0.223  -0.453 0.165  -0.364 0.076  -0.247 0.053  -0.171 0.002  -0.164 -0.117  -0.037 -0.117  0.089 -0.117  0.169 -0.164  0.173 -0.287  0.299 -0.287  0.426 -0.287  0.540 -0.318  0.629 -0.407  0.719 -0.497  0.808 -0.586  0.918 -0.627  1.019 -0.653  1.019 -0.779  0.911 -0.797  0.803 -0.843  0.714 -0.933  0.601 -0.967  0.485 -0.992  0.395 -1.081  0.292 -1.137  0.166 -1.137  0.039 -1.137  -0.088 -1.137  -0.171 -1.181  -0.171 -1.307
3#apa#apa03#app0344/h  -0.548 1.928  -0.548 1.783  -0.548 1.638  -0.548 1.492  -0.548 1.347  -0.548 1.202  -0.548 1.057  -0.548 0.912  -0.548 0.766  -0.548 0.621  -0.548 0.476  -0.548 0.331  -0.548 0.186  -0.548 0.041  -0.548 -0.105  -0.548 -0.250  -0.548 -0.395  -0.548 -0.540  -0.548 -0.685  -0.548 -0.831  -0.548 -0.976  -0.548 -1.121  -0.440 -1.158  -0.408 -1.044  -0.290 -1.018  -0.268 -0.894  -0.268 -0.749  -0.174 -0.643  -0.071 -0.540  0.032 -0.438  0.134 -0.335  0.237 -0.232  0.340 -0.130  0.439 -0.025  0.504 0.105  0.569 0.235  0.669 0.340  0.795 0.385  0.855 0.471  0.855 0.434  0.855 0.289  0.855 0.144  0.855 -0.001  0.855 -0.146  0.855 -0.292  0.855 -0.437  0.855 -0.582  0.855 -0.727  0.855 -0.872  0.855 -1.018
3#apa#apa03#app0344/o  -0.083 0.712  -0.083 0.839  -0.088 0.960  -0.216 0.960  -0.343 0.960  -0.470 0.960  -0.580 0.943  -0.580 0.816  -0.596 0.695  -0.686 0.605  -0.776 0.515  -0.828 0.410  -0.828 0.283  -0.828 0.155  -0.828 0.028  -0.828 -0.099  -0.828 -0.226  -0.828 -0.353  -0.828 -0.481  -0.828 -0.608  -0.828 -0.735  -0.746 -0.780  -0.619 -0.780  -0.518 -0.842  -0.428 -0.932  -0.338 -1.022  -0.213 -1.029  -0.086 -1.029  0.041 -1.029  0.168 -1.027  0.258 -0.937  0.348 -0.847  0.438 -0.757  0.528 -0.667  0.617 -0.577  0.707 -0.487  0.797 -0.397  0.887 -0.307  0.912 -0.190  0.912 -0.063  0.912 0.064  0.912 0.191  0.912 0.318  0.912 0.446  0.912 0.573  0.912 0.700  0.912 0.827  0.912 0.954  0.912 1.082  0.912 1.209
3#apa#apa03#app0344/u  -0.995 1.273  -0.995 1.123  -0.995 0.973  -1.043 0.843  -1.149 0.737  -1.186 0.603  -1.186 0.453  -1.186 0.303  -1.186 0.153  -1.186 0.003  -1.127 -0.122  -1.021 -0.228  -0.995 -0.367  -0.944 -0.496  -0.838 -0.602  -0.702 -0.635  -0.570 -0.679  -0.464 -0.785  -0.331 -0.826  -0.232 -0.775  -0.222 -0.635  -0.072 -0.635  0.078 -0.635  0.150 -0.557  0.176 -0.418  0.282 -0.312  0.340 -0.187  0.366 -0.063  0.516 -0.063  0.531 0.072  0.531 0.222  0.531 0.372  0.540 0.518  0.646 0.624  0.722 0.742  0.722 0.891  0.722 0.741  0.722 0.591  0.722 0.441  0.750 0.319  0.900 0.319  0.913 0.182  0.913 0.032  0.913 -0.118  0.913 -0.267  0.913 -0.417  0.913 -0.567  0.995 -0.635  1.104 -0.676  1.104 -0.826
3#apa#apa03#app0344/l  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#apa#apa03#app0344/d  0.270 2.223  0.386 2.107  0.397 1.948  0.397 1.784  0.397 1.620  0.391 1.459  0.275 1.343  0.270 1.181  0.270 1.017  0.270 0.853  0.225 0.697  0.173 0.541  0.144 0.382  0.144 0.218  0.144 0.054  0.144 -0.109  0.144 -0.273  0.141 -0.436  0.025 -0.552  0.017 -0.713  0.017 -0.876  0.017 -0.838  0.144 -0.801  0.144 -0.637  0.230 -0.560  0.270 -0.436  0.270 -0.272  0.270 -0.108  0.270 0.056  0.166 0.177  0.012 0.199  -0.152 0.199  -0.316 0.199  -0.480 0.199  -0.517 0.073  -0.615 0.007  -0.688 -0.127  -0.742 -0.268  -0.742 -0.432  -0.742 -0.596  -0.690 -0.738  -0.615 -0.871  -0.519 -0.939  -0.394 -1.034  -0.244 -1.066  -0.088 -1.086  0.032 -1.192  0.195 -1.192  0.359 -1.192  0.523 -1.192
3#apa#apa03#app0344/n  -0.780 1.121  -0.614 1.121  -0.779 1.121  -0.780 0.955  -0.780 1.119  -0.780 1.285  -0.616 1.287  -0.613 1.123  -0.450 1.121  -0.447 0.957  -0.447 0.791  -0.447 0.625  -0.447 0.459  -0.447 0.293  -0.447 0.127  -0.447 -0.039  -0.447 -0.205  -0.447 -0.372  -0.447 -0.538  -0.447 -0.704  -0.447 -0.870  -0.447 -1.036  -0.447 -1.202  -0.447 -1.052  -0.447 -0.886  -0.336 -0.766  -0.281 -0.623  -0.193 -0.544  -0.114 -0.457  -0.114 -0.291  -0.053 -0.150  0.060 -0.029  0.134 0.119  0.209 0.268  0.320 0.390  0.459 0.455  0.626 0.455  0.792 0.455  0.885 0.382  0.885 0.216  0.885 0.049  0.885 -0.117  0.935 -0.262  1.051 -0.380  1.051 -0.546  1.051 -0.712  1.051 -0.878  1.051 -1.044  1.051 -1.211  1.051 -1.377
3#apa#apa03#app0344/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#apa#apa03#app0344/t  0.296 2.249  0.296 2.089  0.296 1.929  0.296 1.770  0.296 1.610  0.296 1.450  0.296 1.290  0.296 1.130  0.296 0.970  0.296 0.811  0.296 0.651  0.296 0.491  0.296 0.331  0.296 0.171  0.296 0.012  0.296 -0.148  0.262 -0.294  0.149 -0.407  0.139 -0.563  0.139 -0.722  0.139 -0.882  0.139 -1.042  0.139 -1.202  0.137 -1.356  0.046 -1.226  -0.046 -1.095  -0.138 -0.964  -0.229 -0.833  -0.321 -0.702  -0.413 -0.571  -0.504 -0.440  -0.596 -0.309  -0.688 -0.178  -0.779 -0.047  -0.871 0.084  -0.959 0.204  -0.950 0.053  -0.794 0.045  -0.681 -0.068  -0.547 -0.153  -0.404 -0.224  -0.253 -0.261  -0.117 -0.318  0.001 -0.418  0.161 -0.418  0.321 -0.418  0.478 -0.430  0.621 -0.502  0.764 -0.573  0.923 -0.575
3#apa#apa03#app0344/o  0.754 1.144  0.616 1.144  0.478 1.144  0.340 1.144  0.202 1.144  0.064 1.144  -0.073 1.144  -0.184 1.078  -0.282 0.981  -0.379 0.883  -0.505 0.853  -0.642 0.853  -0.700 0.772  -0.700 0.635  -0.700 0.497  -0.700 0.359  -0.700 0.221  -0.700 0.083  -0.700 -0.055  -0.700 -0.193  -0.700 -0.331  -0.700 -0.469  -0.700 -0.606  -0.700 -0.744  -0.700 -0.882  -0.608 -0.982  -0.511 -1.080  -0.413 -1.177  -0.277 -1.182  -0.139 -1.182  -0.001 -1.182  0.137 -1.182  0.173 -1.080  0.173 -0.942  0.260 -0.891  0.397 -0.891  0.463 -0.819  0.463 -0.681  0.504 -0.560  0.601 -0.462  0.699 -0.365  0.754 -0.250  0.754 -0.112  0.754 0.026  0.754 0.164  0.754 0.302  0.754 0.440  0.754 0.577  0.754 0.715  0.754 0.853
3#apa#apa03#app0344/f  0.723 1.111  0.723 1.255  0.723 1.398  0.664 1.483  0.599 1.562  0.501 1.608  0.357 1.608  0.337 1.483  0.226 1.451  0.189 1.322  0.102 1.215  0.102 1.071  0.102 0.927  0.102 0.783  0.102 0.639  0.102 0.495  0.102 0.351  0.102 0.207  0.102 0.064  0.050 -0.059  -0.023 -0.173  -0.023 -0.317  -0.023 -0.460  -0.023 -0.604  -0.023 -0.748  -0.023 -0.892  -0.023 -1.036  -0.023 -1.180  -0.023 -1.324  -0.023 -1.468  -0.023 -1.386  -0.091 -1.261  -0.165 -1.138  -0.239 -1.015  -0.313 -0.891  -0.387 -0.768  -0.461 -0.644  -0.535 -0.521  -0.609 -0.398  -0.683 -0.274  -0.757 -0.151  -0.646 -0.132  -0.544 -0.232  -0.410 -0.256  -0.304 -0.348  -0.174 -0.380  -0.064 -0.463  0.062 -0.505  0.206 -0.505  0.350 -0.505
