2#app#app12#app1274/j  0.221 1.308  0.221 1.172  0.229 1.040  0.307 0.937  0.307 0.802  0.307 0.666  0.307 0.531  0.394 0.431  0.394 0.295  0.394 0.160  0.394 0.024  0.394 -0.111  0.394 -0.247  0.394 -0.382  0.350 -0.507  0.307 -0.633  0.307 -0.768  0.307 -0.904  0.307 -1.039  0.307 -1.175  0.227 -1.277  0.193 -1.398  0.134 -1.510  0.037 -1.531  -0.051 -1.430  -0.112 -1.309  -0.139 -1.182  -0.211 -1.076  -0.270 -0.965  -0.297 -0.841  -0.297 -0.706  -0.313 -0.577  -0.384 -0.471  -0.384 -0.335  -0.373 -0.200  -0.362 -0.065  -0.351 0.070  -0.341 0.205  -0.330 0.340  -0.319 0.475  -0.308 0.610  -0.297 0.745  -0.287 0.881  -0.276 1.016  -0.265 1.151  -0.254 1.286  -0.243 1.421  -0.233 1.556  -0.222 1.691  -0.211 1.826
2#app#app12#app1274/d  -0.118 0.059  -0.190 0.153  -0.341 0.120  -0.402 -0.021  -0.497 -0.092  -0.520 -0.248  -0.592 -0.384  -0.592 -0.550  -0.627 -0.710  -0.680 -0.868  -0.686 -1.032  -0.686 -1.198  -0.592 -1.269  -0.592 -1.435  -0.486 -1.551  -0.320 -1.551  -0.199 -1.442  -0.118 -1.310  -0.064 -1.157  0.011 -1.009  0.093 -0.866  0.166 -0.730  0.183 -0.569  0.257 -0.420  0.260 -0.255  0.279 -0.094  0.353 0.054  0.355 0.220  0.355 0.385  0.355 0.551  0.355 0.717  0.355 0.883  0.355 1.049  0.355 1.214  0.314 1.371  0.260 1.524  0.260 1.690  0.260 1.670  0.260 1.504  0.260 1.338  0.260 1.172  0.260 1.006  0.260 0.841  0.260 0.675  0.260 0.509  0.260 0.343  0.260 0.177  0.260 0.012  0.260 -0.154  0.260 -0.320
2#app#app12#app1274/e  0.793 1.344  0.714 1.344  0.636 1.344  0.558 1.344  0.479 1.344  0.414 1.313  0.358 1.258  0.303 1.202  0.271 1.137  0.271 1.059  0.260 0.985  0.204 0.930  0.149 0.874  0.094 0.819  0.038 0.763  -0.017 0.708  -0.073 0.653  -0.077 0.576  -0.077 0.498  -0.116 0.435  -0.171 0.380  -0.227 0.325  -0.251 0.256  -0.251 0.178  -0.251 0.100  -0.251 0.021  -0.251 -0.057  -0.251 -0.136  -0.251 -0.214  -0.251 -0.292  -0.251 -0.371  -0.251 -0.449  -0.251 -0.527  -0.251 -0.606  -0.251 -0.684  -0.251 -0.762  -0.251 -0.841  -0.251 -0.919  -0.251 -0.998  -0.251 -1.076  -0.251 -1.154  -0.251 -1.233  -0.206 -1.266  -0.127 -1.266  -0.057 -1.286  -0.002 -1.341  0.054 -1.396  0.114 -1.440  0.192 -1.440  0.271 -1.440
2#app#app12#app1274/n  -0.963 1.196  -0.963 1.054  -0.963 0.913  -0.963 0.771  -0.963 0.630  -0.963 0.489  -0.963 0.347  -0.963 0.206  -0.963 0.064  -0.963 -0.077  -0.963 -0.219  -0.963 -0.360  -0.963 -0.502  -0.904 -0.619  -0.804 -0.719  -0.670 -0.736  -0.529 -0.736  -0.436 -0.687  -0.421 -0.560  -0.280 -0.560  -0.261 -0.438  -0.198 -0.322  -0.098 -0.222  -0.085 -0.086  -0.085 0.055  -0.061 0.191  0.003 0.317  0.066 0.444  0.151 0.554  0.251 0.654  0.266 0.789  0.353 0.845  0.494 0.845  0.617 0.827  0.617 0.685  0.706 0.580  0.799 0.476  0.844 0.342  0.888 0.207  0.933 0.073  0.969 -0.062  0.969 -0.204  0.969 -0.345  0.969 -0.487  0.969 -0.628  0.993 -0.760  1.093 -0.860  1.144 -0.980  1.144 -1.121  1.144 -1.263
2#app#app12#app1274/b  -0.571 2.188  -0.571 2.023  -0.571 1.858  -0.551 1.702  -0.455 1.577  -0.455 1.413  -0.455 1.248  -0.455 1.084  -0.408 0.930  -0.339 0.782  -0.339 0.617  -0.339 0.453  -0.339 0.288  -0.339 0.124  -0.330 -0.039  -0.257 -0.186  -0.222 -0.343  -0.222 -0.507  -0.222 -0.672  -0.222 -0.836  -0.222 -1.001  -0.222 -1.166  -0.202 -1.042  -0.178 -0.879  -0.155 -0.716  -0.132 -0.553  -0.109 -0.390  -0.085 -0.228  -0.062 -0.065  -0.039 0.098  -0.016 0.261  0.008 0.424  0.147 0.422  0.272 0.327  0.394 0.257  0.468 0.110  0.592 0.064  0.648 -0.078  0.708 -0.217  0.798 -0.345  0.825 -0.498  0.825 -0.663  0.825 -0.828  0.797 -0.981  0.669 -1.069  0.504 -1.069  0.340 -1.069  0.195 -1.021  0.059 -0.953  0.010 -0.837
2#app#app12#app1274/y  -1.128 1.242  -1.125 1.092  -1.018 0.985  -0.912 0.879  -0.816 0.765  -0.748 0.630  -0.677 0.497  -0.571 0.391  -0.539 0.253  -0.429 0.212  -0.392 0.098  -0.392 -0.053  -0.306 -0.168  -0.245 -0.293  -0.177 -0.376  -0.074 -0.308  -0.022 -0.167  0.029 -0.025  0.081 0.117  0.133 0.259  0.184 0.400  0.236 0.542  0.287 0.684  0.339 0.826  0.390 0.967  0.442 1.109  0.490 1.232  0.490 1.081  0.490 0.931  0.490 0.780  0.490 0.629  0.470 0.487  0.363 0.380  0.343 0.238  0.343 0.087  0.343 -0.064  0.343 -0.215  0.343 -0.366  0.280 -0.502  0.213 -0.637  0.196 -0.783  0.196 -0.934  0.196 -1.085  0.196 -1.236  0.196 -1.387  0.196 -1.537  0.196 -1.688  0.196 -1.839  0.196 -1.990  0.196 -2.141
2#app#app12#app1274/q  0.245 1.245  0.004 1.245  -0.167 1.175  -0.375 1.141  -0.579 1.026  -0.682 0.827  -0.814 0.701  -0.888 0.491  -0.991 0.353  -0.991 0.112  -0.750 0.112  -0.552 0.215  -0.432 0.362  -0.302 0.562  -0.146 0.689  -0.070 0.918  0.039 1.115  0.191 1.294  0.245 1.184  0.177 0.971  0.142 0.744  0.112 0.507  0.053 0.273  0.039 0.033  0.034 -0.207  -0.064 -0.425  -0.064 -0.666  -0.064 -0.907  -0.064 -1.148  -0.064 -1.389  0.002 -1.603  0.039 -1.829  0.220 -1.949  0.398 -1.796  0.451 -1.576  0.451 -1.335  0.451 -1.094  0.451 -0.853  0.451 -0.612  0.451 -0.371  0.451 -0.130  0.359 0.090  0.268 0.295  0.097 0.376  0.039 0.159  0.103 -0.055  0.245 -0.177  0.462 -0.187  0.632 -0.016  0.760 0.112
2#app#app12#app1274/u  -0.869 1.050  -0.869 0.933  -0.869 0.815  -0.869 0.698  -0.869 0.581  -0.869 0.463  -0.869 0.346  -0.869 0.228  -0.869 0.111  -0.869 -0.007  -0.869 -0.124  -0.869 -0.241  -0.867 -0.358  -0.784 -0.441  -0.701 -0.524  -0.669 -0.628  -0.669 -0.745  -0.563 -0.757  -0.468 -0.779  -0.468 -0.897  -0.411 -0.957  -0.294 -0.957  -0.176 -0.957  -0.066 -0.950  -0.066 -0.833  -0.025 -0.757  0.092 -0.757  0.188 -0.703  0.271 -0.620  0.354 -0.537  0.437 -0.454  0.520 -0.371  0.536 -0.260  0.547 -0.154  0.665 -0.154  0.737 -0.109  0.737 0.008  0.737 0.126  0.737 0.243  0.737 0.361  0.758 0.469  0.841 0.552  0.924 0.635  0.937 0.747  0.937 0.865  0.937 0.982  0.937 1.099  0.937 1.217  1.021 1.251  1.138 1.251
2#app#app12#app1274/i  0.000 0.363  0.000 0.251  0.000 0.139  0.000 0.027  0.000 -0.085  0.000 -0.197  0.000 -0.309  0.000 -0.421  0.000 -0.533  0.000 -0.645  0.000 -0.757  0.000 -0.869  0.000 -0.981  0.000 -1.093  0.000 -1.205  0.000 -1.317  0.000 -1.429  0.000 -1.518  0.000 -1.406  0.000 -1.294  0.000 -1.182  0.000 -1.070  0.000 -0.958  0.000 -0.846  0.000 -0.734  0.000 -0.622  0.000 -0.510  0.000 -0.398  0.000 -0.286  0.000 -0.174  0.000 -0.062  0.000 0.050  0.000 0.163  0.000 0.275  0.000 0.387  0.000 0.499  0.000 0.611  0.000 0.723  0.000 0.835  0.000 0.947  0.000 1.059  0.000 1.171  0.000 1.283  0.000 1.395  0.000 1.507  0.000 1.619  0.000 1.731  0.000 1.843  0.000 1.955  0.000 2.067
2#app#app12#app1274/e  0.645 1.399  0.551 1.399  0.457 1.399  0.363 1.399  0.269 1.399  0.195 1.351  0.129 1.285  0.062 1.218  0.042 1.133  0.042 1.039  0.005 0.960  -0.061 0.893  -0.128 0.827  -0.160 0.746  -0.160 0.652  -0.196 0.594  -0.290 0.594  -0.361 0.571  -0.361 0.477  -0.361 0.383  -0.361 0.289  -0.361 0.195  -0.401 0.111  -0.443 0.026  -0.485 -0.058  -0.527 -0.142  -0.562 -0.228  -0.562 -0.322  -0.560 -0.415  -0.493 -0.481  -0.427 -0.548  -0.361 -0.614  -0.361 -0.708  -0.361 -0.802  -0.303 -0.872  -0.236 -0.939  -0.170 -1.005  -0.080 -1.016  0.014 -1.016  0.108 -1.016  0.202 -1.016  0.296 -1.016  0.390 -1.016  0.484 -1.016  0.578 -1.016  0.672 -1.016  0.766 -1.016  0.860 -1.016  0.954 -1.016  1.048 -1.016
2#app#app12#app1274/t  -0.217 1.315  -0.217 1.135  -0.217 0.954  -0.217 0.774  -0.152 0.620  -0.024 0.492  -0.007 0.319  -0.007 0.139  0.090 0.055  0.203 -0.012  0.203 -0.193  0.203 -0.374  0.203 -0.554  0.203 -0.735  0.203 -0.915  0.203 -1.096  0.274 -1.206  0.413 -1.247  0.413 -1.427  0.413 -1.608  0.413 -1.789  0.369 -1.711  0.308 -1.541  0.247 -1.371  0.187 -1.201  0.126 -1.031  0.065 -0.861  0.004 -0.691  -0.056 -0.521  -0.117 -0.351  -0.178 -0.181  -0.238 -0.011  -0.299 0.159  -0.360 0.329  -0.421 0.499  -0.481 0.670  -0.542 0.840  -0.603 1.010  -0.637 1.026  -0.637 0.846  -0.623 0.699  -0.495 0.827  -0.343 0.895  -0.163 0.895  0.018 0.895  0.198 0.895  0.328 1.019  0.473 1.105  0.653 1.105  0.834 1.105
2#app#app12#app1274/z  -0.929 1.085  -0.940 0.968  -1.030 0.953  -0.940 0.863  -0.818 0.852  -0.690 0.852  -0.580 0.868  -0.554 0.977  -0.433 1.017  -0.313 1.057  -0.190 1.085  -0.063 1.085  0.065 1.085  0.192 1.085  0.319 1.085  0.446 1.085  0.468 0.979  0.468 0.852  0.468 0.725  0.468 0.598  0.468 0.471  0.438 0.356  0.352 0.265  0.340 0.142  0.250 0.052  0.235 -0.069  0.153 -0.162  0.083 -0.266  0.027 -0.380  0.002 -0.502  -0.073 -0.582  -0.186 -0.639  -0.230 -0.739  -0.293 -0.840  -0.347 -0.945  -0.347 -1.073  -0.347 -1.200  -0.263 -1.243  -0.230 -1.149  -0.125 -1.127  0.002 -1.127  0.126 -1.120  0.216 -1.030  0.335 -1.011  0.462 -1.011  0.473 -0.894  0.600 -0.894  0.720 -0.875  0.810 -0.785  0.934 -0.778
2#app#app12#app1274/e  -0.956 -0.364  -0.781 -0.364  -0.741 -0.499  -0.646 -0.579  -0.471 -0.579  -0.311 -0.564  -0.311 -0.389  -0.160 -0.364  0.015 -0.364  0.170 -0.314  0.293 -0.190  0.452 -0.149  0.604 -0.095  0.728 0.029  0.888 0.066  0.980 0.149  1.011 0.312  1.135 0.436  1.195 0.586  1.146 0.712  0.980 0.721  0.980 0.896  0.836 0.927  0.765 1.031  0.700 1.142  0.525 1.142  0.350 1.142  0.175 1.142  0.035 1.057  -0.089 0.933  -0.262 0.927  -0.400 0.838  -0.524 0.714  -0.648 0.590  -0.741 0.453  -0.741 0.278  -0.741 0.103  -0.741 -0.072  -0.741 -0.247  -0.741 -0.423  -0.728 -0.592  -0.604 -0.716  -0.526 -0.859  -0.501 -1.010  -0.326 -1.010  -0.311 -1.170  -0.191 -1.225  -0.096 -1.305  -0.056 -1.440  0.120 -1.440
2#app#app12#app1274/a  0.026 1.296  -0.100 1.296  -0.225 1.296  -0.351 1.296  -0.395 1.215  -0.395 1.089  -0.517 1.086  -0.605 1.048  -0.605 0.923  -0.605 0.797  -0.605 0.672  -0.724 0.665  -0.815 0.631  -0.815 0.506  -0.815 0.380  -0.815 0.255  -0.815 0.129  -0.815 0.003  -0.815 -0.122  -0.815 -0.248  -0.815 -0.373  -0.703 -0.387  -0.605 -0.414  -0.605 -0.539  -0.557 -0.645  -0.468 -0.734  -0.373 -0.807  -0.248 -0.807  -0.122 -0.807  0.003 -0.807  0.129 -0.807  0.254 -0.807  0.380 -0.807  0.446 -0.748  0.446 -0.623  0.517 -0.526  0.606 -0.438  0.694 -0.349  0.783 -0.260  0.867 -0.170  0.867 -0.044  0.915 0.034  1.040 0.034  1.077 -0.054  1.077 -0.180  1.077 -0.305  1.121 -0.387  1.247 -0.387  1.288 -0.471  1.288 -0.597
2#app#app12#app1274/l  -0.186 1.670  -0.186 1.599  -0.184 1.529  -0.134 1.478  -0.083 1.428  -0.047 1.372  -0.047 1.300  -0.047 1.229  -0.047 1.158  -0.047 1.087  -0.047 1.015  -0.047 0.944  -0.047 0.873  -0.047 0.801  -0.047 0.730  -0.047 0.659  -0.047 0.588  -0.047 0.516  -0.047 0.445  -0.047 0.374  -0.047 0.303  -0.047 0.231  -0.047 0.160  -0.047 0.089  -0.047 0.018  -0.047 -0.054  -0.047 -0.125  -0.047 -0.196  -0.047 -0.268  -0.047 -0.339  -0.047 -0.410  -0.003 -0.463  0.047 -0.514  0.092 -0.566  0.092 -0.637  0.092 -0.709  0.092 -0.780  0.092 -0.851  0.092 -0.922  0.092 -0.994  0.092 -1.065  0.092 -1.136  0.092 -1.208  0.092 -1.279  0.092 -1.350  0.104 -1.419  0.136 -1.482  0.168 -1.546  0.200 -1.610  0.232 -1.674
