3#apb#apb05#app0587/P  0.362 0.281  0.388 0.459  0.324 0.342  0.255 0.176  0.182 0.011  0.108 -0.154  0.019 -0.311  -0.079 -0.462  -0.176 -0.614  -0.277 -0.764  -0.378 -0.913  -0.484 -1.060  -0.600 -1.198  -0.716 -1.336  -0.868 -1.433  -1.030 -1.425  -1.083 -1.265  -1.060 -1.086  -1.023 -0.911  -0.954 -0.744  -0.885 -0.577  -0.800 -0.419  -0.696 -0.271  -0.593 -0.123  -0.488 0.024  -0.379 0.168  -0.271 0.312  -0.162 0.456  -0.053 0.600  0.074 0.728  0.202 0.856  0.329 0.984  0.463 1.104  0.615 1.201  0.767 1.298  0.942 1.336  1.063 1.229  1.097 1.059  1.097 0.879  1.038 0.710  0.970 0.543  0.866 0.398  0.746 0.263  0.624 0.130  0.501 -0.002  0.348 -0.091  0.178 -0.144  -0.003 -0.144  -0.177 -0.099  -0.325 0.003
3#apb#apb05#app0587/t  -1.126 -0.219  -0.977 -0.219  -0.829 -0.219  -0.680 -0.219  -0.531 -0.219  -0.383 -0.219  -0.235 -0.232  -0.088 -0.257  0.058 -0.281  0.206 -0.295  0.353 -0.312  0.476 -0.360  0.493 -0.212  0.510 -0.064  0.527 0.083  0.544 0.231  0.561 0.379  0.578 0.526  0.595 0.674  0.612 0.822  0.629 0.970  0.646 1.117  0.663 1.265  0.680 1.413  0.683 1.512  0.616 1.379  0.550 1.246  0.483 1.113  0.417 0.980  0.350 0.847  0.286 0.713  0.221 0.580  0.156 0.446  0.091 0.312  0.026 0.178  -0.039 0.044  -0.103 -0.089  -0.168 -0.223  -0.233 -0.357  -0.298 -0.491  -0.354 -0.628  -0.408 -0.767  -0.462 -0.906  -0.515 -1.044  -0.569 -1.183  -0.645 -1.310  -0.726 -1.435  -0.807 -1.560  -0.880 -1.689  -0.951 -1.820
3#apb#apb05#app0587/s  1.071 1.170  0.952 1.170  0.832 1.170  0.713 1.175  0.594 1.181  0.475 1.187  0.359 1.176  0.245 1.141  0.131 1.106  0.017 1.072  -0.096 1.033  -0.207 0.990  -0.318 0.947  -0.425 0.896  -0.523 0.828  -0.596 0.745  -0.609 0.626  -0.566 0.519  -0.509 0.414  -0.434 0.323  -0.352 0.236  -0.271 0.149  -0.187 0.065  -0.090 -0.005  0.006 -0.075  0.103 -0.145  0.196 -0.219  0.286 -0.297  0.375 -0.376  0.465 -0.454  0.541 -0.546  0.617 -0.637  0.666 -0.741  0.670 -0.855  0.585 -0.939  0.500 -1.021  0.381 -1.032  0.263 -1.044  0.144 -1.055  0.026 -1.050  -0.092 -1.034  -0.210 -1.017  -0.327 -0.998  -0.438 -0.955  -0.549 -0.911  -0.660 -0.868  -0.773 -0.828  -0.885 -0.788  -0.994 -0.742  -1.101 -0.688
3#apb#apb05#app0587/o  0.461 0.815  0.322 0.792  0.185 0.757  0.049 0.719  -0.087 0.681  -0.215 0.628  -0.324 0.539  -0.433 0.449  -0.542 0.359  -0.650 0.268  -0.742 0.161  -0.834 0.054  -0.925 -0.054  -1.001 -0.172  -1.064 -0.298  -1.127 -0.424  -1.145 -0.559  -1.132 -0.700  -1.085 -0.827  -1.000 -0.940  -0.883 -0.998  -0.743 -1.016  -0.603 -1.035  -0.467 -1.009  -0.333 -0.965  -0.199 -0.920  -0.066 -0.875  0.064 -0.820  0.189 -0.755  0.314 -0.689  0.439 -0.623  0.560 -0.551  0.675 -0.469  0.790 -0.387  0.898 -0.300  0.957 -0.171  1.016 -0.043  1.053 0.090  1.053 0.231  1.053 0.372  1.005 0.502  0.938 0.626  0.872 0.751  0.777 0.847  0.653 0.914  0.528 0.980  0.400 1.028  0.259 1.020  0.118 1.012  -0.023 1.003
3#apb#apb05#app0587/n  -0.158 0.647  -0.158 0.508  -0.219 0.387  -0.292 0.269  -0.367 0.151  -0.451 0.041  -0.536 -0.069  -0.620 -0.180  -0.711 -0.285  -0.802 -0.389  -0.894 -0.494  -0.991 -0.593  -1.089 -0.692  -1.192 -0.785  -1.278 -0.808  -1.278 -0.669  -1.210 -0.550  -1.134 -0.433  -1.047 -0.327  -0.945 -0.232  -0.844 -0.137  -0.740 -0.044  -0.635 0.046  -0.529 0.137  -0.424 0.227  -0.314 0.312  -0.197 0.388  -0.081 0.464  0.035 0.540  0.152 0.616  0.282 0.661  0.415 0.702  0.548 0.742  0.683 0.769  0.822 0.769  0.961 0.769  1.060 0.672  1.158 0.574  1.180 0.439  1.194 0.301  1.205 0.163  1.181 0.026  1.157 -0.111  1.133 -0.248  1.098 -0.382  1.058 -0.515  1.018 -0.648  0.972 -0.779  0.922 -0.909  0.902 -1.044
3#apb#apb05#app0587/S  1.332 0.913  1.344 1.046  1.347 1.170  1.222 1.199  1.089 1.185  0.959 1.161  0.831 1.122  0.704 1.082  0.575 1.047  0.446 1.015  0.316 0.982  0.195 0.927  0.073 0.872  -0.040 0.803  -0.143 0.719  -0.189 0.594  -0.177 0.465  -0.133 0.340  -0.065 0.225  0.009 0.115  0.097 0.015  0.182 -0.087  0.249 -0.203  0.316 -0.318  0.370 -0.440  0.421 -0.563  0.387 -0.689  0.319 -0.796  0.206 -0.867  0.086 -0.920  -0.045 -0.942  -0.177 -0.964  -0.309 -0.949  -0.440 -0.928  -0.570 -0.898  -0.693 -0.848  -0.817 -0.797  -0.922 -0.715  -1.014 -0.624  -1.051 -0.496  -1.056 -0.365  -1.002 -0.251  -0.895 -0.183  -0.765 -0.190  -0.645 -0.245  -0.539 -0.326  -0.463 -0.435  -0.388 -0.546  -0.311 -0.654  -0.228 -0.759
3#apb#apb05#app0587/n  -0.242 0.615  -0.329 0.504  -0.416 0.394  -0.502 0.282  -0.585 0.169  -0.669 0.056  -0.752 -0.058  -0.825 -0.178  -0.896 -0.300  -0.966 -0.421  -1.043 -0.539  -1.124 -0.654  -1.206 -0.768  -1.284 -0.885  -1.211 -0.812  -1.117 -0.708  -1.025 -0.601  -0.935 -0.493  -0.846 -0.384  -0.754 -0.278  -0.647 -0.187  -0.539 -0.096  -0.432 -0.004  -0.326 0.088  -0.224 0.185  -0.123 0.283  -0.021 0.380  0.081 0.477  0.189 0.566  0.305 0.646  0.421 0.725  0.538 0.804  0.664 0.860  0.801 0.890  0.934 0.888  1.057 0.820  1.123 0.702  1.172 0.570  1.206 0.437  1.185 0.297  1.164 0.158  1.138 0.020  1.090 -0.112  1.042 -0.244  0.994 -0.376  0.930 -0.501  0.858 -0.622  0.787 -0.744  0.715 -0.864  0.642 -0.985
3#apb#apb05#app0587/y  -0.402 0.894  -0.500 0.788  -0.597 0.682  -0.690 0.572  -0.769 0.453  -0.830 0.322  -0.860 0.182  -0.816 0.047  -0.694 -0.005  -0.553 -0.022  -0.412 0.006  -0.271 0.034  -0.134 0.078  -0.001 0.134  0.131 0.190  0.260 0.256  0.385 0.326  0.511 0.397  0.630 0.478  0.745 0.565  0.858 0.653  0.956 0.759  1.048 0.868  1.100 1.002  1.061 1.083  0.948 0.999  0.860 0.885  0.772 0.771  0.682 0.659  0.591 0.547  0.500 0.434  0.422 0.314  0.349 0.190  0.275 0.066  0.201 -0.058  0.132 -0.184  0.063 -0.311  -0.006 -0.437  -0.075 -0.564  -0.139 -0.693  -0.204 -0.821  -0.268 -0.950  -0.334 -1.078  -0.417 -1.197  -0.499 -1.315  -0.583 -1.431  -0.678 -1.540  -0.778 -1.641  -0.913 -1.690  -1.057 -1.694
3#apb#apb05#app0587/d  1.276 1.614  1.263 1.580  1.185 1.459  1.107 1.339  1.035 1.215  0.967 1.089  0.899 0.963  0.830 0.838  0.764 0.710  0.700 0.582  0.636 0.454  0.572 0.326  0.508 0.198  0.440 0.072  0.371 -0.054  0.302 -0.179  0.233 -0.305  0.163 -0.430  0.093 -0.555  0.024 -0.681  -0.040 -0.809  -0.093 -0.924  -0.063 -0.786  -0.007 -0.655  0.039 -0.519  0.084 -0.383  0.113 -0.243  0.141 -0.102  0.145 0.041  0.145 0.184  0.086 0.314  -0.034 0.361  -0.177 0.377  -0.308 0.326  -0.437 0.265  -0.557 0.188  -0.663 0.092  -0.769 -0.004  -0.865 -0.110  -0.953 -0.223  -1.040 -0.336  -1.116 -0.458  -1.179 -0.583  -1.179 -0.726  -1.106 -0.844  -0.991 -0.912  -0.850 -0.934  -0.707 -0.945  -0.564 -0.945  -0.421 -0.945
3#apb#apb05#app0587/e  -0.296 0.306  -0.185 0.271  -0.055 0.236  0.082 0.222  0.219 0.232  0.355 0.242  0.478 0.300  0.598 0.366  0.725 0.417  0.845 0.480  0.944 0.572  0.998 0.698  0.965 0.830  0.871 0.926  0.761 1.003  0.628 1.034  0.494 1.055  0.359 1.031  0.224 1.008  0.089 0.984  -0.034 0.930  -0.151 0.858  -0.268 0.786  -0.384 0.714  -0.476 0.614  -0.565 0.509  -0.653 0.404  -0.739 0.298  -0.793 0.172  -0.847 0.046  -0.901 -0.080  -0.924 -0.213  -0.924 -0.350  -0.924 -0.487  -0.876 -0.611  -0.807 -0.729  -0.737 -0.847  -0.633 -0.929  -0.512 -0.992  -0.390 -1.055  -0.269 -1.119  -0.136 -1.137  0.001 -1.137  0.138 -1.137  0.275 -1.137  0.412 -1.137  0.549 -1.127  0.686 -1.116  0.822 -1.106  0.959 -1.095
3#apb#apb05#app0587/r  -0.072 1.025  -0.072 0.897  -0.072 0.769  -0.112 0.648  -0.153 0.526  -0.193 0.405  -0.226 0.281  -0.257 0.157  -0.288 0.033  -0.319 -0.091  -0.354 -0.214  -0.391 -0.336  -0.429 -0.459  -0.466 -0.581  -0.504 -0.703  -0.543 -0.825  -0.582 -0.947  -0.621 -1.069  -0.672 -1.186  -0.724 -1.302  -0.752 -1.374  -0.723 -1.250  -0.694 -1.125  -0.654 -1.004  -0.611 -0.883  -0.568 -0.763  -0.508 -0.650  -0.446 -0.538  -0.383 -0.427  -0.320 -0.316  -0.251 -0.208  -0.176 -0.105  -0.100 -0.001  -0.025 0.102  0.051 0.205  0.128 0.307  0.226 0.389  0.325 0.470  0.423 0.552  0.521 0.634  0.619 0.716  0.735 0.770  0.853 0.820  0.970 0.870  1.088 0.920  1.208 0.962  1.336 0.967  1.463 0.972  1.591 0.977  1.719 0.982
3#apb#apb05#app0587/T  0.334 0.461  0.277 0.370  0.226 0.248  0.177 0.126  0.107 0.015  0.032 -0.093  -0.044 -0.201  -0.112 -0.313  -0.173 -0.430  -0.233 -0.547  -0.296 -0.663  -0.365 -0.776  -0.433 -0.888  -0.501 -1.001  -0.567 -1.115  -0.631 -1.230  -0.680 -1.279  -0.694 -1.148  -0.708 -1.017  -0.722 -0.886  -0.736 -0.754  -0.750 -0.623  -0.763 -0.492  -0.777 -0.361  -0.791 -0.230  -0.805 -0.099  -0.819 0.032  -0.833 0.163  -0.832 0.273  -0.703 0.282  -0.573 0.306  -0.446 0.340  -0.319 0.374  -0.192 0.409  -0.064 0.443  0.063 0.477  0.190 0.511  0.317 0.546  0.445 0.580  0.572 0.614  0.701 0.640  0.830 0.666  0.959 0.692  1.089 0.718  1.218 0.744  1.347 0.771  1.476 0.797  1.605 0.824  1.734 0.850  1.863 0.876
3#apb#apb05#app0587/h  0.118 0.765  0.210 0.922  0.289 1.087  0.346 1.260  0.467 1.390  0.379 1.302  0.278 1.151  0.176 0.999  0.075 0.847  -0.032 0.698  -0.138 0.550  -0.245 0.402  -0.355 0.256  -0.468 0.113  -0.582 -0.030  -0.695 -0.173  -0.813 -0.313  -0.931 -0.452  -1.050 -0.591  -1.168 -0.730  -1.286 -0.870  -1.349 -0.976  -1.212 -0.856  -1.070 -0.741  -0.926 -0.628  -0.779 -0.521  -0.631 -0.413  -0.484 -0.305  -0.339 -0.193  -0.195 -0.082  -0.050 0.030  0.095 0.141  0.240 0.251  0.386 0.362  0.553 0.434  0.721 0.505  0.898 0.545  1.061 0.503  1.113 0.352  1.090 0.170  1.031 -0.001  0.956 -0.167  0.877 -0.332  0.780 -0.486  0.682 -0.641  0.584 -0.795  0.485 -0.948  0.395 -1.107  0.308 -1.268  0.202 -1.416
3#apb#apb05#app0587/o  0.138 1.064  0.036 0.996  -0.066 0.927  -0.162 0.850  -0.254 0.770  -0.347 0.689  -0.440 0.609  -0.525 0.520  -0.604 0.427  -0.684 0.334  -0.764 0.241  -0.828 0.136  -0.888 0.029  -0.947 -0.079  -1.007 -0.186  -1.046 -0.301  -1.066 -0.422  -1.086 -0.543  -1.044 -0.658  -1.002 -0.774  -0.916 -0.841  -0.798 -0.873  -0.679 -0.905  -0.560 -0.914  -0.441 -0.883  -0.323 -0.852  -0.204 -0.821  -0.085 -0.790  0.030 -0.750  0.140 -0.695  0.250 -0.640  0.360 -0.585  0.469 -0.530  0.574 -0.467  0.667 -0.387  0.760 -0.306  0.852 -0.226  0.938 -0.140  0.989 -0.028  1.041 0.083  1.083 0.197  1.091 0.319  1.098 0.442  1.106 0.564  1.052 0.673  0.991 0.779  0.929 0.885  0.827 0.953  0.725 1.021  0.622 1.089
3#apb#apb05#app0587/m  -0.666 0.587  -0.736 0.397  -0.825 0.215  -0.936 0.045  -1.043 -0.127  -1.149 -0.301  -1.258 -0.473  -1.368 -0.643  -1.485 -0.809  -1.392 -0.643  -1.267 -0.484  -1.140 -0.325  -1.012 -0.167  -0.879 -0.014  -0.740 0.134  -0.596 0.278  -0.445 0.413  -0.293 0.549  -0.125 0.661  0.056 0.737  0.216 0.654  0.261 0.462  0.240 0.263  0.182 0.068  0.085 -0.109  -0.019 -0.284  -0.125 -0.457  -0.244 -0.622  -0.359 -0.718  -0.266 -0.540  -0.148 -0.374  -0.001 -0.235  0.147 -0.096  0.290 0.048  0.435 0.191  0.586 0.327  0.737 0.463  0.901 0.581  1.073 0.690  1.261 0.757  1.442 0.711  1.484 0.529  1.462 0.329  1.412 0.132  1.334 -0.053  1.232 -0.229  1.114 -0.393  0.981 -0.547  0.854 -0.705  0.736 -0.871
3#apb#apb05#app0587/a  0.948 0.944  1.050 1.096  0.914 1.195  0.736 1.152  0.557 1.110  0.390 1.037  0.227 0.953  0.064 0.868  -0.099 0.783  -0.242 0.669  -0.377 0.546  -0.513 0.422  -0.649 0.298  -0.779 0.169  -0.905 0.035  -1.030 -0.099  -1.150 -0.238  -1.264 -0.382  -1.377 -0.527  -1.380 -0.709  -1.307 -0.863  -1.159 -0.959  -0.980 -0.997  -0.801 -1.004  -0.626 -0.951  -0.450 -0.898  -0.282 -0.828  -0.125 -0.732  0.032 -0.636  0.177 -0.526  0.307 -0.396  0.436 -0.266  0.553 -0.125  0.653 0.029  0.752 0.183  0.847 0.340  0.938 0.500  1.000 0.667  0.905 0.674  0.758 0.566  0.668 0.406  0.578 0.246  0.483 0.089  0.384 -0.066  0.289 -0.223  0.219 -0.392  0.150 -0.562  0.094 -0.736  0.113 -0.917  0.275 -0.945
3#apb#apb05#app0587/s  0.879 0.969  0.881 1.064  0.764 1.110  0.639 1.132  0.514 1.154  0.387 1.157  0.261 1.150  0.134 1.144  0.009 1.125  -0.113 1.093  -0.236 1.060  -0.356 1.019  -0.473 0.970  -0.563 0.888  -0.588 0.773  -0.565 0.649  -0.479 0.563  -0.378 0.486  -0.275 0.413  -0.170 0.341  -0.065 0.269  0.039 0.197  0.140 0.120  0.241 0.043  0.342 -0.034  0.429 -0.126  0.512 -0.221  0.596 -0.317  0.663 -0.423  0.720 -0.536  0.761 -0.653  0.751 -0.779  0.700 -0.880  0.590 -0.943  0.479 -1.006  0.353 -1.008  0.226 -1.008  0.099 -1.008  -0.026 -0.995  -0.152 -0.974  -0.277 -0.953  -0.402 -0.932  -0.525 -0.903  -0.649 -0.874  -0.770 -0.838  -0.887 -0.788  -1.003 -0.738  -1.109 -0.668  -1.084 -0.622  -0.963 -0.662
