2#app#app41#app4143/A  -0.826 -0.267  -0.826 -0.469  -0.826 -0.670  -0.826 -0.872  -0.826 -1.074  -0.826 -0.893  -0.826 -0.692  -0.695 -0.544  -0.622 -0.373  -0.622 -0.171  -0.622 0.031  -0.558 0.206  -0.417 0.349  -0.417 0.551  -0.274 0.694  -0.213 0.870  -0.213 1.072  -0.136 1.241  -0.009 1.391  -0.009 1.592  0.003 1.765  0.146 1.623  0.196 1.441  0.196 1.240  0.196 1.038  0.196 0.836  0.281 0.670  0.400 0.517  0.400 0.316  0.420 0.122  0.563 -0.021  0.605 -0.205  0.605 -0.407  0.701 -0.568  0.809 -0.725  0.842 -0.913  0.985 -1.056  1.013 -1.246  0.893 -1.186  0.740 -1.054  0.586 -0.923  0.433 -0.792  0.280 -0.660  0.127 -0.529  -0.026 -0.398  -0.179 -0.267  -0.333 -0.135  -0.327 -0.063  -0.151 -0.124  -0.009 -0.267
2#app#app41#app4143/n  -0.989 0.907  -0.989 0.761  -0.989 0.614  -0.989 0.467  -0.989 0.320  -0.989 0.173  -0.989 0.027  -0.989 -0.120  -0.989 -0.267  -0.989 -0.414  -0.989 -0.561  -0.989 -0.707  -0.989 -0.854  -0.947 -0.959  -0.800 -0.959  -0.653 -0.959  -0.522 -0.944  -0.522 -0.797  -0.522 -0.650  -0.522 -0.503  -0.386 -0.493  -0.239 -0.493  -0.092 -0.493  -0.055 -0.383  -0.055 -0.236  -0.055 -0.089  0.004 0.033  0.107 0.137  0.211 0.241  0.315 0.345  0.411 0.452  0.411 0.598  0.411 0.745  0.411 0.892  0.543 0.907  0.689 0.907  0.836 0.907  0.878 0.802  0.878 0.656  0.878 0.509  0.878 0.362  0.878 0.215  0.878 0.068  0.930 -0.026  1.077 -0.026  1.224 -0.026  1.345 -0.052  1.345 -0.199  1.345 -0.346  1.345 -0.493
2#app#app41#app4143/o  -0.775 1.083  -0.775 0.960  -0.775 0.837  -0.775 0.714  -0.775 0.590  -0.775 0.467  -0.775 0.344  -0.775 0.221  -0.775 0.098  -0.775 -0.026  -0.775 -0.149  -0.775 -0.272  -0.775 -0.395  -0.775 -0.519  -0.775 -0.642  -0.775 -0.765  -0.775 -0.888  -0.693 -0.929  -0.570 -0.929  -0.447 -0.929  -0.323 -0.929  -0.200 -0.929  -0.077 -0.929  0.046 -0.929  0.169 -0.929  0.231 -0.868  0.231 -0.745  0.231 -0.621  0.231 -0.498  0.282 -0.426  0.406 -0.426  0.529 -0.426  0.652 -0.426  0.734 -0.385  0.734 -0.262  0.734 -0.139  0.734 -0.015  0.734 0.108  0.734 0.231  0.734 0.354  0.734 0.478  0.734 0.601  0.734 0.724  0.734 0.847  0.734 0.970  0.734 1.094  0.734 1.217  0.734 1.340  0.734 1.463  0.734 1.587
2#app#app41#app4143/t  -0.368 1.854  -0.368 1.640  -0.300 1.454  -0.148 1.303  -0.036 1.135  -0.036 0.921  -0.143 0.751  -0.294 0.600  -0.368 0.416  -0.368 0.202  -0.368 -0.012  -0.368 -0.226  -0.368 -0.440  -0.368 -0.654  -0.320 -0.848  -0.168 -1.000  -0.009 -1.132  0.205 -1.132  0.419 -1.132  0.633 -1.132  0.847 -1.132  1.031 -1.060  1.183 -0.909  1.234 -0.779  1.034 -0.704  0.833 -0.629  0.633 -0.553  0.433 -0.478  0.232 -0.403  0.032 -0.328  -0.169 -0.253  -0.369 -0.178  -0.569 -0.102  -0.770 -0.027  -0.970 0.048  -1.171 0.123  -1.354 0.195  -1.140 0.195  -0.926 0.195  -0.712 0.195  -0.498 0.195  -0.284 0.195  -0.070 0.195  0.091 0.322  0.243 0.474  0.435 0.527  0.649 0.527  0.863 0.527  1.077 0.527  1.291 0.527
2#app#app41#app4143/i  0.000 -0.069  0.000 -0.168  0.000 -0.267  0.000 -0.366  0.000 -0.464  0.000 -0.563  0.000 -0.662  0.000 -0.761  0.000 -0.860  0.000 -0.959  0.000 -1.057  0.000 -1.156  0.000 -1.255  0.000 -1.354  0.000 -1.453  0.000 -1.354  0.000 -1.255  0.000 -1.156  0.000 -1.057  0.000 -0.959  0.000 -0.860  0.000 -0.761  0.000 -0.662  0.000 -0.563  0.000 -0.464  0.000 -0.366  0.000 -0.267  0.000 -0.168  0.000 -0.069  0.000 0.030  0.000 0.128  0.000 0.227  0.000 0.326  0.000 0.425  0.000 0.524  0.000 0.623  0.000 0.721  0.000 0.820  0.000 0.919  0.000 1.018  0.000 1.117  0.000 1.215  0.000 1.314  0.000 1.413  0.000 1.512  0.000 1.611  0.000 1.710  0.000 1.808  0.000 1.907  0.000 2.006
2#app#app41#app4143/c  1.227 0.904  1.148 0.904  1.069 0.904  0.990 0.904  0.911 0.904  0.832 0.904  0.753 0.904  0.673 0.904  0.594 0.904  0.515 0.904  0.436 0.904  0.357 0.904  0.278 0.904  0.199 0.904  0.138 0.861  0.082 0.805  0.026 0.749  -0.030 0.693  -0.086 0.637  -0.142 0.581  -0.198 0.525  -0.254 0.469  -0.310 0.413  -0.341 0.347  -0.341 0.268  -0.341 0.189  -0.341 0.110  -0.341 0.031  -0.341 -0.048  -0.341 -0.127  -0.341 -0.207  -0.341 -0.286  -0.341 -0.365  -0.341 -0.444  -0.341 -0.523  -0.341 -0.602  -0.341 -0.681  -0.341 -0.760  -0.341 -0.839  -0.341 -0.918  -0.341 -0.998  -0.341 -1.077  -0.341 -1.156  -0.341 -1.235  -0.341 -1.314  -0.341 -1.393  -0.341 -1.472  -0.341 -1.551  -0.341 -1.630  -0.341 -1.709
2#app#app41#app4143/e  -0.758 -0.365  -0.589 -0.365  -0.421 -0.365  -0.253 -0.365  -0.085 -0.365  0.084 -0.365  0.252 -0.365  0.420 -0.365  0.588 -0.365  0.616 -0.225  0.616 -0.057  0.635 0.093  0.803 0.093  0.971 0.093  1.074 0.158  1.074 0.327  1.074 0.495  1.074 0.663  1.074 0.831  1.074 0.999  0.915 1.009  0.747 1.009  0.579 1.009  0.411 1.009  0.242 1.009  0.074 1.009  -0.094 1.009  -0.262 1.009  -0.300 0.878  -0.300 0.710  -0.309 0.551  -0.477 0.551  -0.645 0.551  -0.758 0.495  -0.758 0.327  -0.758 0.158  -0.758 -0.010  -0.758 -0.178  -0.758 -0.346  -0.758 -0.515  -0.758 -0.683  -0.758 -0.851  -0.758 -1.019  -0.758 -1.187  -0.683 -1.281  -0.515 -1.281  -0.346 -1.281  -0.178 -1.281  -0.010 -1.281  0.158 -1.281
2#app#app41#app4143/d  -0.104 -0.358  -0.232 -0.487  -0.370 -0.592  -0.551 -0.592  -0.571 -0.754  -0.681 -0.825  -0.804 -0.883  -0.804 -1.065  -0.804 -1.246  -0.669 -1.292  -0.488 -1.292  -0.306 -1.292  -0.125 -1.292  -0.104 -1.132  -0.027 -0.982  0.101 -0.854  0.130 -0.685  0.130 -0.503  0.130 -0.322  0.130 -0.140  0.247 -0.008  0.363 0.126  0.363 0.307  0.363 0.488  0.363 0.670  0.363 0.851  0.363 1.033  0.363 1.214  0.363 1.395  0.315 1.557  0.187 1.685  0.030 1.743  -0.104 1.695  -0.104 1.513  -0.104 1.332  -0.104 1.151  -0.104 0.969  -0.104 0.788  -0.104 0.606  0.003 0.469  0.130 0.340  0.130 0.159  0.130 -0.023  0.209 -0.125  0.363 -0.152  0.363 -0.333  0.363 -0.515  0.363 -0.696  0.415 -0.825  0.597 -0.825
2#app#app41#app4143/d  0.532 -0.469  0.332 -0.469  0.132 -0.469  0.084 -0.317  -0.044 -0.245  -0.214 -0.318  -0.356 -0.460  -0.497 -0.601  -0.589 -0.763  -0.635 -0.918  -0.814 -0.939  -0.814 -1.140  -0.814 -1.340  -0.640 -1.367  -0.440 -1.367  -0.240 -1.367  -0.069 -1.295  0.072 -1.154  0.214 -1.012  0.308 -0.851  0.308 -0.651  0.308 -0.450  0.308 -0.250  0.308 -0.050  0.308 0.150  0.308 0.350  0.308 0.550  0.238 0.722  0.097 0.863  0.084 1.058  -0.028 1.212  -0.141 1.366  -0.157 1.550  -0.357 1.550  -0.365 1.742  -0.246 1.655  -0.141 1.499  -0.141 1.299  -0.139 1.099  0.003 0.958  0.084 0.791  0.127 0.609  0.269 0.467  0.308 0.283  0.308 0.083  0.404 -0.021  0.532 -0.093  0.532 -0.293  0.532 -0.493  0.532 -0.694
2#app#app41#app4143/o  0.378 1.197  0.238 1.197  0.098 1.197  -0.042 1.197  -0.155 1.132  -0.254 1.033  -0.353 0.934  -0.453 0.835  -0.552 0.736  -0.651 0.637  -0.750 0.538  -0.849 0.438  -0.948 0.339  -1.027 0.232  -1.027 0.092  -1.027 -0.048  -1.027 -0.189  -0.907 -0.208  -0.767 -0.208  -0.627 -0.208  -0.559 -0.281  -0.559 -0.421  -0.559 -0.561  -0.542 -0.694  -0.443 -0.793  -0.344 -0.892  -0.244 -0.991  -0.145 -1.091  -0.028 -1.146  0.112 -1.146  0.252 -1.146  0.388 -1.136  0.488 -1.037  0.587 -0.937  0.686 -0.838  0.785 -0.739  0.847 -0.625  0.847 -0.485  0.847 -0.344  0.847 -0.204  0.847 -0.064  0.847 0.076  0.847 0.216  0.847 0.356  0.847 0.497  0.847 0.637  0.799 0.729  0.659 0.729  0.519 0.729  0.378 0.729
2#app#app41#app4143/o  0.170 1.277  0.030 1.277  -0.110 1.277  -0.251 1.277  -0.288 1.174  -0.288 1.034  -0.288 0.894  -0.353 0.819  -0.494 0.819  -0.634 0.819  -0.746 0.791  -0.746 0.650  -0.746 0.510  -0.746 0.370  -0.746 0.229  -0.746 0.089  -0.746 -0.051  -0.746 -0.192  -0.746 -0.332  -0.746 -0.472  -0.746 -0.613  -0.746 -0.753  -0.746 -0.893  -0.728 -1.015  -0.587 -1.015  -0.447 -1.015  -0.307 -1.015  -0.166 -1.015  -0.026 -1.015  0.114 -1.015  0.170 -0.931  0.170 -0.790  0.170 -0.650  0.217 -0.556  0.358 -0.556  0.498 -0.556  0.629 -0.547  0.629 -0.407  0.629 -0.266  0.629 -0.126  0.741 -0.098  0.881 -0.098  1.022 -0.098  1.087 -0.023  1.087 0.117  1.087 0.257  1.087 0.398  1.087 0.538  1.087 0.678  1.087 0.819
2#app#app41#app4143/r  -1.000 -0.392  -1.000 -0.492  -1.000 -0.591  -1.000 -0.691  -1.000 -0.791  -1.000 -0.890  -0.982 -0.972  -0.883 -0.972  -0.783 -0.972  -0.683 -0.972  -0.584 -0.972  -0.484 -0.972  -0.419 -0.937  -0.419 -0.837  -0.419 -0.738  -0.419 -0.638  -0.419 -0.538  -0.419 -0.439  -0.367 -0.392  -0.267 -0.392  -0.167 -0.392  -0.068 -0.392  0.032 -0.392  0.132 -0.392  0.161 -0.322  0.161 -0.222  0.161 -0.122  0.161 -0.023  0.161 0.077  0.161 0.177  0.161 0.276  0.161 0.376  0.161 0.476  0.161 0.575  0.161 0.675  0.167 0.769  0.266 0.769  0.366 0.769  0.466 0.769  0.565 0.769  0.665 0.769  0.758 0.785  0.828 0.856  0.899 0.926  0.969 0.997  1.040 1.067  1.110 1.138  1.180 1.208  1.251 1.278  1.321 1.349
2#app#app41#app4143/o  0.172 0.564  0.351 0.564  0.529 0.564  0.592 0.679  0.592 0.858  0.540 0.984  0.361 0.984  0.182 0.984  0.053 0.865  -0.073 0.739  -0.200 0.612  -0.358 0.564  -0.537 0.564  -0.668 0.517  -0.668 0.338  -0.668 0.160  -0.831 0.144  -1.010 0.144  -1.089 0.044  -1.089 -0.135  -1.089 -0.313  -1.089 -0.492  -1.089 -0.671  -1.089 -0.849  -1.089 -1.028  -0.999 -1.117  -0.821 -1.117  -0.642 -1.117  -0.463 -1.117  -0.285 -1.117  -0.148 -1.017  -0.021 -0.890  0.105 -0.764  0.256 -0.697  0.434 -0.697  0.592 -0.676  0.592 -0.498  0.592 -0.319  0.729 -0.277  0.907 -0.277  1.013 -0.203  1.013 -0.025  1.013 0.154  1.013 0.333  1.013 0.511  0.887 0.564  0.708 0.564  0.592 0.627  0.592 0.805  0.592 0.984
2#app#app41#app4143/p  -0.168 0.443  -0.168 0.276  -0.168 0.108  -0.168 -0.059  -0.168 -0.226  -0.168 -0.394  -0.168 -0.561  -0.168 -0.728  -0.168 -0.896  -0.168 -1.063  -0.168 -1.230  -0.168 -1.398  -0.168 -1.565  -0.168 -1.732  -0.168 -1.738  -0.168 -1.571  -0.168 -1.404  -0.168 -1.236  -0.168 -1.069  -0.168 -0.902  -0.168 -0.734  -0.168 -0.567  -0.168 -0.400  -0.168 -0.232  -0.168 -0.065  -0.168 0.102  -0.168 0.270  -0.168 0.437  -0.168 0.604  -0.168 0.772  -0.168 0.939  -0.168 1.106  -0.168 1.274  -0.018 1.291  0.115 1.326  0.115 1.493  0.201 1.574  0.368 1.574  0.397 1.435  0.397 1.268  0.397 1.101  0.397 0.933  0.397 0.766  0.397 0.599  0.397 0.431  0.397 0.264  0.397 0.097  0.397 -0.071  0.397 -0.238  0.397 -0.405
2#app#app41#app4143/e  -0.274 -0.971  -0.130 -0.971  0.013 -0.971  0.156 -0.971  0.250 -0.922  0.250 -0.778  0.250 -0.635  0.250 -0.492  0.349 -0.448  0.493 -0.448  0.636 -0.448  0.774 -0.442  0.774 -0.298  0.774 -0.155  0.774 -0.012  0.774 0.132  0.774 0.275  0.774 0.418  0.774 0.562  0.774 0.705  0.774 0.848  0.774 0.992  0.762 1.123  0.618 1.123  0.475 1.123  0.332 1.123  0.188 1.123  0.045 1.123  -0.098 1.123  -0.242 1.123  -0.274 1.012  -0.274 0.868  -0.274 0.725  -0.286 0.587  -0.388 0.486  -0.489 0.384  -0.590 0.283  -0.692 0.181  -0.793 0.080  -0.797 -0.062  -0.797 -0.205  -0.797 -0.348  -0.797 -0.492  -0.797 -0.635  -0.797 -0.778  -0.797 -0.922  -0.797 -1.065  -0.797 -1.208  -0.797 -1.352  -0.797 -1.495
2#app#app41#app4143/n  -0.925 0.463  -0.925 0.287  -0.925 0.111  -0.925 -0.065  -0.925 -0.242  -0.925 -0.418  -0.925 -0.594  -0.925 -0.770  -0.925 -0.854  -0.925 -0.677  -0.925 -0.501  -0.804 -0.446  -0.628 -0.446  -0.471 -0.427  -0.471 -0.251  -0.471 -0.075  -0.471 0.101  -0.471 0.278  -0.471 0.454  -0.304 0.463  -0.128 0.463  -0.016 0.528  -0.016 0.704  -0.016 0.880  -0.016 1.056  -0.016 1.233  -0.016 1.335  -0.016 1.158  -0.016 0.982  0.095 0.917  0.271 0.917  0.438 0.908  0.438 0.732  0.438 0.556  0.438 0.380  0.438 0.203  0.438 0.027  0.438 -0.149  0.438 -0.325  0.494 -0.446  0.670 -0.446  0.846 -0.446  0.892 -0.575  0.892 -0.752  0.920 -0.900  1.096 -0.900  1.272 -0.900  1.347 -1.002  1.347 -1.178  1.347 -1.354
2#app#app41#app4143/e  -0.086 0.215  -0.086 0.048  -0.086 -0.118  -0.007 -0.206  0.160 -0.206  0.326 -0.206  0.493 -0.206  0.659 -0.206  0.754 -0.134  0.754 0.032  0.754 0.199  0.905 0.215  1.072 0.215  1.175 0.278  1.175 0.445  1.175 0.611  1.074 0.736  0.956 0.854  0.838 0.971  0.707 1.055  0.540 1.055  0.373 1.055  0.207 1.055  0.040 1.055  -0.086 1.016  -0.086 0.849  -0.086 0.682  -0.205 0.635  -0.372 0.635  -0.507 0.603  -0.507 0.437  -0.507 0.270  -0.507 0.104  -0.507 -0.063  -0.531 -0.206  -0.697 -0.206  -0.864 -0.206  -0.927 -0.309  -0.927 -0.475  -0.927 -0.642  -0.927 -0.808  -0.927 -0.975  -0.832 -1.046  -0.665 -1.046  -0.507 -1.054  -0.507 -1.221  -0.507 -1.387  -0.419 -1.467  -0.253 -1.467  -0.086 -1.467
2#app#app41#app4143/d  0.119 -0.457  -0.013 -0.324  -0.106 -0.287  -0.124 -0.457  -0.312 -0.457  -0.450 -0.575  -0.557 -0.718  -0.557 -0.906  -0.742 -0.908  -0.783 -1.055  -0.783 -1.242  -0.712 -1.359  -0.525 -1.359  -0.337 -1.359  -0.332 -1.177  -0.230 -1.032  -0.106 -0.896  -0.106 -0.709  -0.106 -0.521  -0.019 -0.370  0.114 -0.237  0.119 -0.052  0.119 0.135  0.119 0.323  0.119 0.510  0.119 0.698  0.119 0.885  0.119 1.073  0.119 1.260  0.049 1.418  -0.084 1.551  -0.106 1.729  -0.106 1.681  -0.027 1.573  0.119 1.531  0.119 1.344  0.119 1.157  0.119 0.969  0.119 0.782  0.154 0.602  0.237 0.435  0.321 0.267  0.345 0.085  0.413 -0.074  0.546 -0.207  0.570 -0.384  0.570 -0.571  0.647 -0.683  0.796 -0.721  0.796 -0.908
