3#apb#apb14#app1450/A  -1.109 0.813  -1.109 1.011  -1.038 1.146  -0.912 0.993  -0.814 0.821  -0.718 0.648  -0.656 0.460  -0.599 0.271  -0.534 0.084  -0.466 -0.102  -0.407 -0.291  -0.355 -0.482  -0.347 -0.675  -0.489 -0.662  -0.606 -0.504  -0.686 -0.324  -0.744 -0.135  -0.774 0.060  -0.772 0.257  -0.748 0.453  -0.717 0.648  -0.671 0.841  -0.554 0.983  -0.370 0.978  -0.186 0.913  -0.043 0.776  0.099 0.639  0.222 0.484  0.337 0.323  0.452 0.161  0.567 0.001  0.683 -0.160  0.799 -0.321  0.909 -0.485  1.013 -0.653  1.121 -0.820  1.238 -0.979  1.360 -1.135  1.454 -1.205  1.329 -1.051  1.197 -0.904  1.050 -0.772  0.899 -0.644  0.743 -0.522  0.582 -0.407  0.420 -0.292  0.252 -0.188  0.083 -0.085  -0.099 -0.011  -0.289 0.047
3#apb#apb14#app1450/n  -0.955 -0.120  -0.846 -0.151  -0.766 -0.218  -0.715 -0.319  -0.676 -0.425  -0.642 -0.534  -0.608 -0.642  -0.578 -0.751  -0.559 -0.863  -0.541 -0.974  -0.503 -1.081  -0.465 -1.186  -0.454 -1.203  -0.484 -1.094  -0.512 -0.984  -0.539 -0.874  -0.569 -0.765  -0.599 -0.655  -0.594 -0.543  -0.580 -0.431  -0.566 -0.318  -0.540 -0.209  -0.500 -0.102  -0.461 0.004  -0.422 0.111  -0.377 0.214  -0.319 0.312  -0.262 0.410  -0.204 0.507  -0.144 0.603  -0.074 0.692  -0.004 0.781  0.067 0.870  0.160 0.925  0.269 0.958  0.377 0.959  0.484 0.923  0.592 0.887  0.687 0.826  0.780 0.762  0.874 0.697  0.961 0.625  1.045 0.549  1.129 0.473  1.217 0.401  1.307 0.333  1.398 0.265  1.486 0.194  1.571 0.118  1.655 0.043
3#apb#apb14#app1450/B  -1.042 0.407  -0.925 0.223  -0.825 0.023  -0.745 -0.185  -0.673 -0.397  -0.615 -0.612  -0.622 -0.704  -0.732 -0.510  -0.843 -0.316  -0.953 -0.122  -1.064 0.072  -1.175 0.266  -1.164 0.477  -1.075 0.675  -0.925 0.838  -0.721 0.929  -0.508 0.989  -0.288 1.031  -0.065 1.026  0.152 0.989  0.355 0.902  0.471 0.728  0.438 0.513  0.302 0.340  0.127 0.203  -0.059 0.079  -0.253 -0.030  -0.458 -0.118  -0.608 -0.075  -0.444 0.063  -0.239 0.148  -0.018 0.184  0.205 0.178  0.428 0.167  0.650 0.150  0.866 0.100  1.078 0.030  1.279 -0.065  1.467 -0.181  1.604 -0.357  1.640 -0.571  1.521 -0.748  1.323 -0.849  1.103 -0.887  0.882 -0.908  0.659 -0.914  0.437 -0.891  0.218 -0.851  0.008 -0.783  -0.174 -0.653
3#apb#apb14#app1450/r  -0.736 1.143  -0.692 1.017  -0.647 0.891  -0.603 0.765  -0.572 0.636  -0.547 0.505  -0.522 0.373  -0.496 0.242  -0.471 0.111  -0.450 -0.021  -0.429 -0.153  -0.408 -0.285  -0.386 -0.417  -0.364 -0.548  -0.338 -0.679  -0.311 -0.810  -0.285 -0.941  -0.269 -1.074  -0.259 -1.207  -0.251 -1.340  -0.237 -1.442  -0.305 -1.329  -0.355 -1.205  -0.387 -1.076  -0.410 -0.945  -0.434 -0.813  -0.422 -0.685  -0.376 -0.559  -0.330 -0.434  -0.285 -0.308  -0.237 -0.183  -0.184 -0.061  -0.130 0.062  -0.077 0.184  -0.024 0.307  0.061 0.407  0.158 0.498  0.256 0.589  0.354 0.680  0.481 0.718  0.610 0.755  0.738 0.792  0.867 0.828  0.999 0.808  1.131 0.788  1.263 0.768  1.392 0.738  1.516 0.687  1.639 0.636  1.763 0.585
3#apb#apb14#app1450/o  0.059 0.618  -0.058 0.676  -0.168 0.653  -0.273 0.575  -0.377 0.496  -0.459 0.399  -0.512 0.279  -0.566 0.160  -0.620 0.041  -0.673 -0.079  -0.706 -0.205  -0.736 -0.333  -0.766 -0.460  -0.789 -0.588  -0.789 -0.719  -0.789 -0.850  -0.740 -0.970  -0.687 -1.090  -0.581 -1.161  -0.466 -1.225  -0.341 -1.227  -0.212 -1.206  -0.084 -1.180  0.039 -1.135  0.162 -1.091  0.250 -1.000  0.324 -0.893  0.399 -0.785  0.466 -0.673  0.525 -0.556  0.583 -0.439  0.642 -0.322  0.674 -0.197  0.693 -0.067  0.713 0.062  0.732 0.192  0.729 0.320  0.700 0.448  0.671 0.575  0.641 0.703  0.612 0.830  0.582 0.958  0.504 1.061  0.419 1.160  0.334 1.259  0.248 1.357  0.118 1.377  -0.011 1.398  -0.140 1.418  -0.270 1.439
3#apb#apb14#app1450/w  -1.392 0.350  -1.367 0.227  -1.351 0.103  -1.336 -0.021  -1.311 -0.143  -1.284 -0.265  -1.250 -0.384  -1.183 -0.489  -1.106 -0.587  -1.015 -0.669  -0.896 -0.704  -0.772 -0.694  -0.659 -0.650  -0.555 -0.581  -0.472 -0.489  -0.391 -0.393  -0.332 -0.284  -0.276 -0.172  -0.241 -0.053  -0.210 0.068  -0.194 0.098  -0.151 -0.019  -0.105 -0.135  -0.056 -0.250  0.014 -0.350  0.106 -0.434  0.213 -0.495  0.332 -0.531  0.456 -0.540  0.577 -0.519  0.696 -0.480  0.801 -0.413  0.899 -0.336  0.991 -0.252  1.048 -0.143  1.095 -0.027  1.108 0.094  1.102 0.219  1.094 0.343  1.051 0.460  1.007 0.578  0.964 0.695  0.891 0.793  0.805 0.884  0.719 0.975  0.618 1.045  0.507 1.103  0.395 1.155  0.270 1.155  0.145 1.155
3#apb#apb14#app1450/n  -1.123 0.311  -1.059 0.219  -1.012 0.121  -0.985 0.013  -0.958 -0.095  -0.933 -0.204  -0.909 -0.312  -0.885 -0.421  -0.864 -0.530  -0.850 -0.640  -0.831 -0.750  -0.797 -0.855  -0.772 -0.886  -0.740 -0.781  -0.740 -0.670  -0.720 -0.561  -0.686 -0.455  -0.652 -0.349  -0.617 -0.244  -0.582 -0.138  -0.547 -0.032  -0.498 0.067  -0.446 0.166  -0.395 0.265  -0.333 0.356  -0.262 0.442  -0.191 0.528  -0.121 0.614  -0.027 0.670  0.074 0.716  0.176 0.762  0.285 0.749  0.395 0.733  0.502 0.707  0.604 0.662  0.701 0.611  0.764 0.519  0.827 0.428  0.889 0.336  0.960 0.250  1.034 0.166  1.107 0.083  1.172 -0.008  1.235 -0.099  1.298 -0.191  1.365 -0.280  1.432 -0.368  1.501 -0.456  1.573 -0.541  1.644 -0.626
3#apb#apb14#app1450/C  0.076 0.742  0.076 0.604  0.129 0.476  0.170 0.345  0.242 0.236  0.363 0.172  0.496 0.181  0.626 0.224  0.739 0.298  0.811 0.416  0.839 0.549  0.831 0.683  0.788 0.814  0.711 0.927  0.619 1.030  0.508 1.100  0.373 1.132  0.240 1.128  0.109 1.086  -0.017 1.031  -0.132 0.955  -0.247 0.878  -0.342 0.780  -0.430 0.674  -0.518 0.567  -0.601 0.457  -0.667 0.336  -0.733 0.215  -0.799 0.093  -0.836 -0.039  -0.865 -0.174  -0.895 -0.309  -0.892 -0.446  -0.882 -0.584  -0.849 -0.715  -0.782 -0.836  -0.704 -0.947  -0.600 -1.038  -0.482 -1.103  -0.349 -1.142  -0.216 -1.174  -0.078 -1.180  0.060 -1.185  0.197 -1.166  0.333 -1.141  0.466 -1.107  0.591 -1.050  0.717 -0.992  0.840 -0.931  0.964 -0.869
3#apb#apb14#app1450/o  -1.098 0.600  -1.092 0.476  -1.085 0.353  -1.079 0.230  -1.072 0.106  -1.064 -0.017  -1.056 -0.140  -1.043 -0.263  -1.015 -0.383  -0.987 -0.504  -0.934 -0.613  -0.870 -0.719  -0.780 -0.793  -0.664 -0.836  -0.546 -0.867  -0.423 -0.867  -0.299 -0.867  -0.175 -0.867  -0.055 -0.840  0.066 -0.813  0.186 -0.787  0.299 -0.741  0.404 -0.675  0.508 -0.609  0.613 -0.543  0.714 -0.474  0.802 -0.387  0.889 -0.299  0.976 -0.212  1.036 -0.107  1.081 0.009  1.126 0.124  1.170 0.239  1.126 0.352  1.076 0.465  1.027 0.579  0.937 0.649  0.821 0.692  0.705 0.735  0.589 0.777  0.468 0.796  0.345 0.806  0.222 0.816  0.099 0.826  -0.024 0.836  -0.145 0.810  -0.265 0.781  -0.385 0.752  -0.505 0.723  -0.625 0.694
3#apb#apb14#app1450/l  -0.248 1.659  -0.216 1.598  -0.183 1.536  -0.151 1.475  -0.119 1.413  -0.086 1.351  -0.072 1.284  -0.061 1.215  -0.049 1.146  -0.038 1.078  -0.026 1.009  -0.015 0.940  -0.003 0.872  0.008 0.803  0.018 0.734  0.020 0.665  0.021 0.595  0.023 0.526  0.025 0.456  0.027 0.387  0.028 0.317  0.030 0.247  0.032 0.178  0.034 0.108  0.033 0.039  0.031 -0.031  0.029 -0.100  0.027 -0.170  0.025 -0.240  0.023 -0.309  0.021 -0.379  0.019 -0.448  0.018 -0.518  0.021 -0.587  0.023 -0.657  0.025 -0.726  0.028 -0.796  0.030 -0.865  0.033 -0.935  0.035 -1.005  0.039 -1.074  0.042 -1.144  0.046 -1.213  0.049 -1.283  0.053 -1.352  0.058 -1.421  0.063 -1.491  0.067 -1.560  0.076 -1.629  0.084 -1.698
3#apb#apb14#app1450/e  -0.687 0.792  -0.687 0.585  -0.687 0.378  -0.687 0.171  -0.687 -0.035  -0.693 -0.242  -0.702 -0.449  -0.702 -0.656  -0.675 -0.858  -0.564 -1.033  -0.380 -1.112  -0.178 -1.148  0.028 -1.159  0.234 -1.141  0.439 -1.115  0.640 -1.070  0.838 -1.008  1.026 -0.925  1.182 -0.799  1.056 -0.703  0.857 -0.645  0.658 -0.588  0.460 -0.530  0.261 -0.472  0.065 -0.406  -0.126 -0.326  -0.316 -0.246  -0.496 -0.154  -0.581 0.035  -0.667 0.223  -0.726 0.421  -0.776 0.621  -0.785 0.821  -0.720 1.017  -0.592 1.157  -0.403 1.241  -0.204 1.281  0.003 1.291  0.203 1.259  0.399 1.191  0.587 1.111  0.739 0.970  0.852 0.810  0.882 0.605  0.798 0.418  0.671 0.264  0.496 0.153  0.316 0.055  0.116 0.001  -0.083 -0.054
3#apb#apb14#app1450/m  -1.049 0.437  -1.022 0.358  -1.012 0.216  -0.984 0.076  -0.956 -0.064  -0.945 -0.207  -0.934 -0.349  -0.934 -0.492  -0.941 -0.635  -0.952 -0.778  -0.994 -0.911  -1.022 -0.779  -1.014 -0.636  -0.992 -0.495  -0.949 -0.360  -0.892 -0.229  -0.835 -0.098  -0.776 0.033  -0.718 0.163  -0.643 0.281  -0.532 0.372  -0.413 0.437  -0.270 0.437  -0.154 0.368  -0.051 0.270  0.027 0.150  0.094 0.026  0.121 -0.115  0.120 -0.257  0.089 -0.322  0.141 -0.189  0.200 -0.059  0.279 0.060  0.367 0.172  0.462 0.279  0.558 0.385  0.666 0.477  0.782 0.561  0.914 0.601  1.056 0.609  1.194 0.570  1.305 0.487  1.400 0.381  1.439 0.244  1.479 0.106  1.494 -0.036  1.497 -0.178  1.470 -0.318  1.432 -0.456  1.399 -0.595
3#apb#apb14#app1450/a  -0.057 1.345  -0.169 1.252  -0.253 1.131  -0.336 1.010  -0.417 0.887  -0.480 0.754  -0.544 0.621  -0.607 0.488  -0.671 0.355  -0.733 0.222  -0.784 0.084  -0.835 -0.054  -0.886 -0.192  -0.934 -0.331  -0.961 -0.476  -0.988 -0.621  -1.015 -0.766  -0.975 -0.906  -0.906 -1.034  -0.769 -0.997  -0.650 -0.916  -0.539 -0.819  -0.445 -0.707  -0.364 -0.584  -0.282 -0.462  -0.220 -0.329  -0.166 -0.192  -0.111 -0.055  -0.056 0.081  0.005 0.215  0.074 0.345  0.143 0.475  0.212 0.605  0.305 0.717  0.409 0.821  0.546 0.766  0.652 0.665  0.756 0.561  0.825 0.434  0.880 0.297  0.934 0.160  0.982 0.021  1.024 -0.120  1.065 -0.261  1.107 -0.403  1.154 -0.542  1.199 -0.682  1.234 -0.825  1.280 -0.965  1.368 -1.070
3#apb#apb14#app1450/n  -1.097 0.194  -1.064 0.085  -1.031 -0.025  -0.998 -0.135  -0.965 -0.245  -0.932 -0.354  -0.899 -0.464  -0.866 -0.574  -0.832 -0.683  -0.801 -0.793  -0.776 -0.905  -0.742 -0.928  -0.720 -0.815  -0.715 -0.701  -0.715 -0.587  -0.694 -0.476  -0.656 -0.368  -0.618 -0.260  -0.580 -0.151  -0.543 -0.043  -0.505 0.065  -0.468 0.173  -0.425 0.279  -0.371 0.380  -0.316 0.481  -0.261 0.581  -0.207 0.682  -0.110 0.743  -0.012 0.802  0.089 0.850  0.204 0.850  0.318 0.850  0.425 0.817  0.528 0.765  0.627 0.709  0.708 0.628  0.789 0.547  0.864 0.462  0.919 0.362  0.974 0.261  1.029 0.161  1.081 0.059  1.130 -0.045  1.179 -0.149  1.226 -0.253  1.270 -0.359  1.314 -0.465  1.361 -0.569  1.415 -0.670  1.470 -0.770
