2#tos#t2#t2017063/\"  -0.547 0.651  -0.547 0.470  -0.547 0.290  -0.547 0.109  -0.547 -0.071  -0.547 -0.252  -0.547 -0.433  -0.559 -0.608  -0.687 -0.736  -0.832 -0.822  -0.943 -0.935  -1.000 -1.102  -1.000 -1.282  -1.000 -1.463  -0.924 -1.383  -0.826 -1.231  -0.729 -1.079  -0.632 -0.927  -0.534 -0.775  -0.437 -0.623  -0.340 -0.470  -0.242 -0.318  -0.145 -0.166  -0.048 -0.014  0.050 0.138  0.147 0.290  0.245 0.442  0.342 0.594  0.439 0.747  0.537 0.899  0.634 1.051  0.731 1.203  0.797 1.307  0.697 1.157  0.597 1.007  0.734 1.025  0.882 1.104  0.927 0.968  0.927 0.788  0.927 0.607  0.927 0.426  0.927 0.246  0.794 0.198  0.614 0.198  0.587 0.044  0.587 -0.137  0.421 -0.198  0.249 -0.255  0.078 -0.312  -0.093 -0.369
2#tos#t2#t2017063/[  -0.013 1.149  -0.074 1.114  -0.065 1.044  0.031 1.044  0.127 1.044  0.223 1.044  0.320 1.044  0.392 1.083  0.469 1.114  0.548 1.097  0.472 1.058  0.379 1.033  0.287 1.007  0.194 0.981  0.101 0.955  0.009 0.930  -0.083 0.903  -0.110 0.834  -0.153 0.780  -0.173 0.689  -0.188 0.596  -0.188 0.500  -0.188 0.404  -0.188 0.307  -0.188 0.211  -0.188 0.115  -0.188 0.019  -0.188 -0.078  -0.188 -0.174  -0.188 -0.270  -0.188 -0.366  -0.188 -0.462  -0.188 -0.559  -0.196 -0.653  -0.223 -0.743  -0.223 -0.839  -0.231 -0.933  -0.258 -1.023  -0.258 -1.120  -0.258 -1.216  -0.258 -1.312  -0.222 -1.373  -0.126 -1.373  -0.030 -1.373  0.067 -1.373  0.163 -1.373  0.259 -1.373  0.355 -1.373  0.452 -1.373  0.548 -1.373
2#tos#t2#t2017063/]  -0.536 1.192  -0.591 1.121  -0.574 1.076  -0.483 1.076  -0.392 1.076  -0.302 1.077  -0.227 1.115  -0.136 1.115  -0.045 1.115  0.046 1.115  0.132 1.143  0.221 1.153  0.312 1.153  0.317 1.067  0.317 0.976  0.301 0.889  0.278 0.804  0.278 0.713  0.219 0.659  0.200 0.580  0.200 0.489  0.200 0.398  0.200 0.307  0.200 0.216  0.200 0.126  0.200 0.035  0.200 -0.056  0.200 -0.147  0.200 -0.238  0.200 -0.328  0.200 -0.419  0.200 -0.510  0.196 -0.600  0.162 -0.682  0.162 -0.773  0.162 -0.864  0.162 -0.955  0.123 -1.007  0.123 -1.098  0.123 -1.188  0.094 -1.250  0.003 -1.250  -0.088 -1.250  -0.179 -1.250  -0.268 -1.253  -0.332 -1.318  -0.419 -1.328  -0.510 -1.328  -0.600 -1.328  -0.652 -1.366
2#tos#t2#t2017063/0  -0.142 1.371  -0.231 1.315  -0.275 1.215  -0.319 1.115  -0.389 1.005  -0.452 0.900  -0.452 0.756  -0.515 0.626  -0.540 0.488  -0.579 0.360  -0.628 0.237  -0.628 0.092  -0.628 -0.052  -0.628 -0.196  -0.628 -0.340  -0.628 -0.484  -0.628 -0.628  -0.628 -0.772  -0.628 -0.916  -0.626 -1.060  -0.518 -1.146  -0.428 -1.248  -0.300 -1.279  -0.156 -1.279  -0.012 -1.279  0.078 -1.191  0.171 -1.136  0.267 -1.058  0.299 -0.946  0.387 -0.890  0.476 -0.834  0.517 -0.707  0.564 -0.575  0.652 -0.467  0.672 -0.331  0.697 -0.197  0.697 -0.053  0.741 0.047  0.741 0.191  0.741 0.335  0.741 0.479  0.739 0.623  0.662 0.743  0.587 0.852  0.458 0.903  0.369 0.974  0.282 1.071  0.146 1.106  0.002 1.106  -0.098 1.150
2#tos#t2#t2017063/3  -0.462 1.240  -0.605 1.240  -0.661 1.153  -0.552 1.153  -0.410 1.153  -0.267 1.153  -0.142 1.197  0.001 1.197  0.144 1.197  0.286 1.197  0.417 1.146  0.489 1.048  0.532 0.948  0.572 0.815  0.572 0.674  0.532 0.548  0.482 0.436  0.359 0.402  0.290 0.309  0.159 0.254  0.032 0.190  -0.095 0.137  -0.217 0.077  -0.346 0.029  -0.488 0.029  -0.466 0.029  -0.323 0.029  -0.180 0.029  -0.038 0.029  0.096 -0.012  0.186 -0.121  0.293 -0.187  0.316 -0.307  0.417 -0.361  0.483 -0.483  0.489 -0.624  0.489 -0.766  0.415 -0.835  0.363 -0.941  0.276 -1.045  0.151 -1.086  0.100 -1.208  -0.027 -1.224  -0.162 -1.267  -0.283 -1.329  -0.411 -1.393  -0.509 -1.440  -0.652 -1.440  -0.752 -1.484  -0.894 -1.484
2#tos#t2#t2017063/4  0.506 1.416  0.395 1.273  0.283 1.120  0.154 0.952  0.016 0.809  -0.129 0.646  -0.259 0.497  -0.431 0.364  -0.569 0.196  -0.693 0.049  -0.881 -0.032  -0.961 -0.218  -1.089 -0.363  -1.195 -0.535  -1.206 -0.644  -1.008 -0.700  -0.786 -0.700  -0.565 -0.700  -0.344 -0.700  -0.122 -0.700  0.076 -0.644  0.298 -0.644  0.515 -0.635  0.707 -0.544  0.894 -0.470  0.827 -0.259  0.761 -0.048  0.695 0.163  0.628 0.375  0.562 0.586  0.495 0.797  0.429 1.008  0.363 1.220  0.296 1.431  0.148 1.367  0.116 1.153  0.116 0.931  0.116 0.710  0.116 0.488  0.116 0.267  0.061 0.068  0.061 -0.153  0.061 -0.374  0.061 -0.596  0.061 -0.817  0.061 -1.039  0.061 -1.260  0.061 -1.482  0.061 -1.703  0.061 -1.925
2#tos#t2#t2017063/5  -0.286 1.394  -0.388 1.260  -0.388 1.062  -0.388 0.864  -0.388 0.666  -0.388 0.469  -0.388 0.271  -0.388 0.073  -0.413 -0.110  -0.432 -0.097  -0.235 -0.097  -0.088 -0.046  0.110 -0.046  0.280 -0.073  0.397 -0.162  0.552 -0.266  0.627 -0.425  0.743 -0.561  0.743 -0.759  0.743 -0.957  0.663 -1.075  0.543 -1.218  0.412 -1.302  0.257 -1.406  0.072 -1.435  -0.121 -1.455  -0.312 -1.486  -0.439 -1.416  -0.431 -1.219  -0.422 -1.021  -0.413 -0.823  -0.405 -0.626  -0.396 -0.428  -0.388 -0.230  -0.379 -0.033  -0.370 0.165  -0.362 0.363  -0.353 0.560  -0.345 0.758  -0.337 0.907  -0.486 0.828  -0.298 0.828  -0.113 0.880  0.073 0.931  0.261 0.973  0.448 1.034  0.644 1.038  0.814 1.121  1.008 1.137  1.154 1.188
2#tos#t2#t2017063/6  0.674 1.872  0.579 1.789  0.420 1.761  0.294 1.634  0.220 1.501  0.148 1.346  0.053 1.207  0.053 1.028  -0.072 0.953  -0.124 0.783  -0.186 0.626  -0.263 0.495  -0.352 0.345  -0.416 0.179  -0.508 0.027  -0.520 -0.147  -0.616 -0.286  -0.616 -0.464  -0.616 -0.643  -0.616 -0.821  -0.616 -0.999  -0.550 -1.139  -0.375 -1.144  -0.252 -1.235  -0.076 -1.228  0.088 -1.159  0.196 -1.072  0.341 -1.011  0.413 -0.879  0.550 -0.765  0.691 -0.661  0.814 -0.572  0.868 -0.415  0.913 -0.244  0.913 -0.066  0.866 0.102  0.737 0.151  0.607 0.199  0.448 0.247  0.270 0.247  0.101 0.237  -0.029 0.158  -0.138 0.056  -0.306 0.008  -0.411 -0.122  -0.535 -0.183  -0.666 -0.231  -0.788 -0.317  -0.807 -0.483  -0.807 -0.661
2#tos#t2#t2017063/9  0.285 0.065  0.459 0.089  0.535 0.213  0.685 0.315  0.717 0.495  0.735 0.677  0.735 0.861  0.735 1.045  0.706 1.223  0.569 1.315  0.434 1.365  0.250 1.365  0.128 1.265  0.008 1.152  -0.156 1.070  -0.289 0.942  -0.412 0.865  -0.496 0.703  -0.615 0.586  -0.749 0.473  -0.765 0.300  -0.810 0.126  -0.815 -0.057  -0.865 -0.191  -0.825 -0.335  -0.661 -0.385  -0.498 -0.435  -0.313 -0.435  -0.141 -0.385  -0.015 -0.327  0.064 -0.166  0.232 -0.135  0.334 0.013  0.435 0.136  0.535 0.249  0.429 0.197  0.340 0.065  0.291 -0.109  0.235 -0.271  0.143 -0.427  0.053 -0.581  0.015 -0.755  -0.015 -0.926  -0.112 -1.081  -0.159 -1.259  -0.213 -1.431  -0.265 -1.603  -0.267 -1.787  -0.315 -1.951  -0.315 -2.136
2#tos#t2#t2017063/C  0.561 1.015  0.471 1.044  0.471 1.162  0.432 1.241  0.313 1.241  0.195 1.241  0.110 1.208  0.007 1.185  -0.079 1.106  -0.116 1.025  -0.134 0.921  -0.249 0.892  -0.297 0.811  -0.304 0.699  -0.413 0.674  -0.464 0.577  -0.539 0.487  -0.585 0.378  -0.614 0.264  -0.614 0.145  -0.642 0.038  -0.704 -0.055  -0.752 -0.161  -0.839 -0.225  -0.839 -0.344  -0.839 -0.462  -0.839 -0.581  -0.794 -0.654  -0.734 -0.747  -0.639 -0.786  -0.553 -0.837  -0.434 -0.837  -0.334 -0.883  -0.216 -0.883  -0.097 -0.883  0.022 -0.883  0.140 -0.883  0.253 -0.856  0.344 -0.783  0.447 -0.734  0.563 -0.711  0.640 -0.636  0.743 -0.611  0.856 -0.574  0.953 -0.511  1.064 -0.471  1.165 -0.431  1.239 -0.386  1.302 -0.295  1.375 -0.250
2#tos#t2#t2017063/D  -0.145 1.237  -0.239 1.117  -0.239 0.903  -0.239 0.688  -0.333 0.532  -0.351 0.320  -0.380 0.109  -0.380 -0.105  -0.416 -0.315  -0.427 -0.528  -0.427 -0.743  -0.450 -0.947  -0.474 -1.152  -0.474 -1.328  -0.474 -1.114  -0.474 -0.899  -0.474 -0.685  -0.474 -0.471  -0.474 -0.256  -0.474 -0.042  -0.474 0.172  -0.474 0.387  -0.474 0.601  -0.475 0.814  -0.568 0.842  -0.426 0.933  -0.256 1.049  -0.041 1.049  0.162 1.096  0.376 1.096  0.582 1.062  0.748 1.003  0.909 0.864  1.030 0.736  1.124 0.550  1.171 0.383  1.218 0.215  1.218 0.001  1.055 -0.113  0.938 -0.219  0.772 -0.336  0.646 -0.505  0.490 -0.642  0.332 -0.779  0.160 -0.902  -0.019 -0.987  -0.190 -1.111  -0.402 -1.123  -0.561 -1.206  -0.756 -1.253
2#tos#t2#t2017063/F  -0.213 0.616  -0.381 0.650  -0.280 0.657  -0.113 0.692  0.037 0.767  0.173 0.860  0.341 0.882  0.477 0.980  0.644 1.013  0.813 1.027  0.977 1.063  1.108 1.104  1.110 1.125  0.952 1.078  0.797 1.005  0.641 0.932  0.486 0.860  0.330 0.787  0.175 0.714  0.019 0.641  -0.136 0.568  -0.292 0.495  -0.294 0.325  -0.294 0.153  -0.330 -0.014  -0.335 -0.185  -0.356 -0.351  -0.416 -0.504  -0.416 -0.676  -0.416 -0.847  -0.457 -1.002  -0.457 -1.174  -0.461 -1.345  -0.513 -1.505  -0.538 -1.673  -0.526 -1.643  -0.504 -1.472  -0.483 -1.302  -0.462 -1.132  -0.441 -0.961  -0.419 -0.791  -0.398 -0.620  -0.377 -0.450  -0.303 -0.320  -0.136 -0.301  0.031 -0.279  0.174 -0.187  0.337 -0.150  0.486 -0.076  0.641 -0.035
2#tos#t2#t2017063/G  0.800 1.411  0.697 1.500  0.530 1.526  0.403 1.590  0.216 1.568  0.036 1.538  0.016 1.366  -0.095 1.234  -0.178 1.092  -0.294 0.959  -0.368 0.790  -0.368 0.598  -0.517 0.532  -0.637 0.442  -0.637 0.250  -0.768 0.112  -0.772 -0.079  -0.826 -0.242  -0.907 -0.391  -0.952 -0.565  -0.964 -0.745  -0.996 -0.905  -0.914 -1.014  -0.722 -1.014  -0.529 -1.014  -0.337 -1.014  -0.233 -0.900  -0.072 -0.835  0.117 -0.803  0.267 -0.693  0.430 -0.621  0.544 -0.492  0.665 -0.363  0.550 -0.215  0.421 -0.072  0.292 0.070  0.187 0.089  0.146 0.019  0.306 0.077  0.440 0.135  0.570 0.198  0.665 0.101  0.620 -0.072  0.620 -0.265  0.530 -0.420  0.484 -0.565  0.436 -0.713  0.396 -0.899  0.396 -1.091  0.306 -1.194
2#tos#t2#t2017063/K  -0.225 1.717  -0.365 1.617  -0.365 1.377  -0.365 1.137  -0.365 0.897  -0.365 0.657  -0.411 0.464  -0.411 0.223  -0.483 -0.003  -0.551 -0.231  -0.579 -0.467  -0.621 -0.697  -0.691 -0.916  -0.785 -1.117  -0.826 -1.316  -0.851 -1.417  -0.715 -1.220  -0.578 -1.022  -0.442 -0.825  -0.305 -0.627  -0.169 -0.429  -0.032 -0.232  0.104 -0.034  0.241 0.163  0.377 0.361  0.514 0.558  0.650 0.756  0.787 0.953  0.942 1.113  0.849 1.121  0.685 0.982  0.545 0.848  0.410 0.681  0.239 0.534  0.019 0.439  -0.130 0.272  -0.274 0.174  -0.439 0.037  -0.411 0.050  -0.287 0.091  -0.114 -0.009  0.032 -0.103  0.161 -0.272  0.338 -0.432  0.535 -0.558  0.686 -0.734  0.870 -0.884  0.913 -1.101  1.082 -1.216  1.175 -1.363
2#tos#t2#t2017063/M  -0.270 1.031  -0.448 0.952  -0.467 0.743  -0.504 0.539  -0.585 0.342  -0.656 0.136  -0.750 -0.064  -0.782 -0.288  -0.840 -0.504  -0.881 -0.723  -0.940 -0.931  -1.019 -1.110  -0.996 -1.177  -0.931 -0.959  -0.867 -0.741  -0.803 -0.523  -0.739 -0.305  -0.675 -0.087  -0.611 0.131  -0.546 0.350  -0.482 0.568  -0.459 0.755  -0.506 0.630  -0.407 0.479  -0.332 0.312  -0.276 0.097  -0.202 -0.101  -0.112 -0.245  0.019 -0.166  0.208 -0.103  0.302 0.103  0.452 0.260  0.594 0.436  0.749 0.591  0.908 0.715  0.992 0.912  1.150 1.005  1.150 0.987  1.110 0.799  1.071 0.611  1.003 0.412  0.992 0.189  0.913 -0.006  0.913 -0.233  0.834 -0.437  0.834 -0.664  0.755 -0.859  0.755 -1.086  0.704 -1.281  0.677 -1.492
2#tos#t2#t2017063/P  0.204 1.334  0.036 1.288  0.021 1.089  -0.025 0.881  -0.071 0.686  -0.071 0.472  -0.116 0.264  -0.117 0.050  -0.174 -0.156  -0.242 -0.358  -0.254 -0.571  -0.254 -0.786  -0.296 -0.970  -0.391 -1.116  -0.391 -1.330  -0.450 -1.531  -0.529 -1.727  -0.571 -1.758  -0.536 -1.547  -0.502 -1.335  -0.467 -1.124  -0.432 -0.912  -0.397 -0.700  -0.363 -0.489  -0.328 -0.277  -0.293 -0.065  -0.259 0.146  -0.224 0.358  -0.189 0.570  -0.155 0.781  -0.120 0.993  -0.290 1.018  -0.132 1.105  0.072 1.151  0.287 1.151  0.501 1.151  0.707 1.121  0.891 1.013  0.983 0.837  0.983 0.622  1.029 0.427  0.948 0.246  0.848 0.057  0.699 -0.074  0.525 -0.188  0.398 -0.311  0.195 -0.361  -0.019 -0.361  -0.234 -0.361  -0.437 -0.407
2#tos#t2#t2017063/R  -0.233 1.332  -0.369 1.183  -0.369 0.936  -0.369 0.688  -0.369 0.441  -0.369 0.193  -0.369 -0.054  -0.369 -0.301  -0.369 -0.549  -0.369 -0.796  -0.369 -1.044  -0.369 -1.291  -0.369 -1.438  -0.373 -1.191  -0.377 -0.943  -0.381 -0.696  -0.385 -0.449  -0.389 -0.201  -0.394 0.046  -0.398 0.293  -0.402 0.541  -0.406 0.788  -0.410 1.035  -0.415 1.283  -0.262 1.196  -0.015 1.196  0.233 1.196  0.480 1.196  0.726 1.192  0.950 1.144  0.897 0.923  0.850 0.715  0.708 0.544  0.571 0.377  0.359 0.307  0.246 0.120  0.060 -0.033  -0.126 -0.168  -0.324 -0.260  -0.515 -0.351  -0.404 -0.351  -0.177 -0.418  -0.005 -0.537  0.158 -0.702  0.358 -0.828  0.512 -0.988  0.669 -1.162  0.858 -1.259  1.008 -1.364  1.177 -1.488
2#tos#t2#t2017063/T  -1.199 0.654  -1.274 0.541  -1.175 0.489  -1.041 0.482  -0.906 0.482  -0.771 0.482  -0.636 0.482  -0.501 0.482  -0.366 0.482  -0.230 0.482  -0.095 0.482  0.040 0.482  0.175 0.482  0.310 0.482  0.427 0.540  0.554 0.568  0.689 0.568  0.811 0.581  0.916 0.611  1.051 0.611  1.186 0.611  1.072 0.602  0.937 0.588  0.803 0.573  0.669 0.559  0.535 0.544  0.400 0.530  0.266 0.516  0.132 0.501  -0.003 0.487  -0.130 0.475  -0.130 0.340  -0.130 0.205  -0.130 0.070  -0.130 -0.065  -0.130 -0.201  -0.130 -0.336  -0.130 -0.471  -0.130 -0.606  -0.130 -0.741  -0.130 -0.876  -0.130 -1.011  -0.130 -1.146  -0.130 -1.281  -0.130 -1.416  -0.130 -1.551  -0.130 -1.686  -0.184 -1.777  -0.215 -1.907  -0.173 -1.999
2#tos#t2#t2017063/V  -0.746 1.454  -0.836 1.409  -0.838 1.276  -0.802 1.163  -0.746 1.062  -0.715 0.935  -0.655 0.814  -0.605 0.695  -0.560 0.573  -0.527 0.442  -0.475 0.318  -0.473 0.184  -0.436 0.058  -0.377 -0.064  -0.334 -0.192  -0.290 -0.316  -0.290 -0.451  -0.203 -0.550  -0.153 -0.664  -0.153 -0.799  -0.153 -0.934  -0.140 -1.055  -0.108 -1.158  -0.108 -1.293  -0.028 -1.375  -0.016 -1.434  -0.016 -1.299  -0.016 -1.164  0.010 -1.055  0.131 -1.034  0.180 -0.909  0.212 -0.778  0.212 -0.643  0.212 -0.508  0.296 -0.434  0.368 -0.339  0.394 -0.208  0.426 -0.080  0.486 0.041  0.512 0.167  0.593 0.275  0.623 0.400  0.623 0.535  0.686 0.651  0.714 0.775  0.748 0.895  0.792 1.018  0.832 1.143  0.896 1.228  0.851 1.226
