3#apb#apb42#app4209/G  0.418 1.471  0.279 1.491  0.139 1.492  0.003 1.471  -0.130 1.427  -0.245 1.352  -0.348 1.257  -0.451 1.162  -0.517 1.039  -0.582 0.915  -0.644 0.790  -0.685 0.656  -0.726 0.522  -0.767 0.388  -0.784 0.251  -0.784 0.111  -0.784 -0.029  -0.784 -0.169  -0.775 -0.309  -0.745 -0.445  -0.716 -0.582  -0.686 -0.719  -0.603 -0.828  -0.508 -0.931  -0.413 -1.033  -0.275 -1.056  -0.136 -1.076  0.002 -1.097  0.141 -1.077  0.279 -1.056  0.417 -1.035  0.525 -0.946  0.633 -0.856  0.722 -0.750  0.770 -0.625  0.770 -0.485  0.690 -0.373  0.598 -0.267  0.491 -0.178  0.383 -0.088  0.251 -0.045  0.114 -0.020  0.198 -0.020  0.338 -0.020  0.478 -0.016  0.615 0.011  0.752 0.039  0.890 0.067  1.027 0.096  1.164 0.125
3#apb#apb42#app4209/i  0.364 -0.389  0.412 -0.457  0.426 -0.543  0.440 -0.628  0.456 -0.713  0.477 -0.798  0.497 -0.882  0.512 -0.967  0.526 -1.053  0.540 -1.138  0.567 -1.221  0.585 -1.244  0.585 -1.157  0.552 -1.079  0.512 -1.002  0.472 -0.925  0.431 -0.848  0.391 -0.772  0.351 -0.695  0.311 -0.618  0.271 -0.541  0.230 -0.464  0.190 -0.388  0.150 -0.311  0.110 -0.234  0.069 -0.157  0.029 -0.080  -0.011 -0.004  -0.051 0.073  -0.092 0.150  -0.132 0.227  -0.172 0.304  -0.212 0.380  -0.252 0.457  -0.293 0.534  -0.333 0.611  -0.373 0.687  -0.413 0.764  -0.454 0.841  -0.494 0.918  -0.534 0.995  -0.574 1.071  -0.614 1.148  -0.655 1.225  -0.695 1.302  -0.735 1.379  -0.775 1.455  -0.816 1.532  -0.856 1.609  -0.920 1.647
3#apb#apb42#app4209/a  0.534 0.397  0.455 0.505  0.377 0.612  0.298 0.720  0.220 0.828  0.110 0.901  -0.006 0.957  -0.135 0.925  -0.265 0.893  -0.388 0.843  -0.507 0.784  -0.626 0.724  -0.699 0.614  -0.767 0.500  -0.836 0.386  -0.893 0.267  -0.932 0.139  -0.971 0.012  -1.010 -0.115  -1.039 -0.244  -1.039 -0.378  -1.039 -0.511  -1.028 -0.642  -0.986 -0.769  -0.918 -0.873  -0.799 -0.932  -0.677 -0.963  -0.549 -0.926  -0.422 -0.887  -0.303 -0.828  -0.184 -0.768  -0.079 -0.690  0.002 -0.585  0.083 -0.479  0.164 -0.374  0.245 -0.268  0.325 -0.161  0.403 -0.053  0.480 0.056  0.598 0.109  0.724 0.151  0.847 0.191  0.979 0.172  1.110 0.149  1.229 0.089  1.348 0.029  1.462 -0.039  1.579 -0.103  1.701 -0.155  1.824 -0.208
3#apb#apb42#app4209/t  -0.337 1.900  -0.310 1.937  -0.291 1.814  -0.272 1.692  -0.226 1.577  -0.176 1.464  -0.125 1.351  -0.074 1.238  -0.026 1.124  0.021 1.009  0.068 0.895  0.115 0.780  0.161 0.665  0.206 0.550  0.251 0.434  0.296 0.319  0.341 0.204  0.391 0.090  0.442 -0.023  0.493 -0.136  0.544 -0.249  0.577 -0.367  0.606 -0.488  0.634 -0.609  0.643 -0.731  0.637 -0.855  0.631 -0.978  0.625 -1.102  0.527 -1.082  0.412 -1.036  0.297 -0.989  0.182 -0.943  0.067 -0.897  -0.048 -0.850  -0.163 -0.804  -0.278 -0.758  -0.392 -0.712  -0.507 -0.665  -0.622 -0.619  -0.737 -0.573  -0.852 -0.526  -0.895 -0.450  -0.778 -0.411  -0.658 -0.379  -0.538 -0.349  -0.417 -0.321  -0.296 -0.296  -0.173 -0.289  -0.049 -0.282  0.075 -0.274
3#apb#apb42#app4209/o  -0.170 1.303  -0.139 1.396  -0.060 1.415  -0.132 1.365  -0.191 1.287  -0.246 1.207  -0.300 1.126  -0.354 1.045  -0.396 0.956  -0.437 0.868  -0.478 0.779  -0.519 0.690  -0.559 0.602  -0.595 0.511  -0.624 0.418  -0.653 0.325  -0.682 0.232  -0.711 0.139  -0.740 0.045  -0.768 -0.048  -0.768 -0.146  -0.768 -0.243  -0.768 -0.341  -0.704 -0.414  -0.640 -0.487  -0.575 -0.560  -0.510 -0.633  -0.433 -0.682  -0.336 -0.689  -0.238 -0.697  -0.141 -0.704  -0.044 -0.712  0.054 -0.716  0.151 -0.716  0.249 -0.716  0.346 -0.716  0.444 -0.716  0.541 -0.716  0.639 -0.716  0.726 -0.675  0.810 -0.626  0.895 -0.578  0.980 -0.530  1.064 -0.481  1.149 -0.433  1.214 -0.363  1.270 -0.283  1.326 -0.203  1.382 -0.123  1.438 -0.043
3#apb#apb42#app4209/r  -0.662 0.728  -0.583 0.628  -0.530 0.509  -0.477 0.391  -0.424 0.272  -0.372 0.153  -0.308 0.041  -0.236 -0.067  -0.164 -0.175  -0.095 -0.285  -0.058 -0.409  -0.021 -0.534  0.017 -0.658  0.054 -0.782  0.089 -0.907  0.089 -1.037  0.089 -1.167  0.089 -1.297  0.089 -1.427  0.131 -1.546  0.131 -1.504  0.099 -1.378  0.061 -1.254  0.020 -1.131  -0.021 -1.007  -0.062 -0.884  -0.101 -0.761  -0.121 -0.632  -0.140 -0.504  -0.160 -0.376  -0.180 -0.247  -0.200 -0.119  -0.219 0.009  -0.206 0.137  -0.183 0.265  -0.160 0.393  -0.137 0.521  -0.113 0.648  -0.069 0.767  0.011 0.869  0.090 0.972  0.170 1.074  0.250 1.176  0.330 1.279  0.433 1.357  0.539 1.431  0.645 1.506  0.752 1.580  0.858 1.655  0.965 1.729
3#apb#apb42#app4209/F  -0.342 1.172  -0.365 1.109  -0.370 0.859  -0.384 0.610  -0.387 0.360  -0.387 0.110  -0.384 -0.140  -0.375 -0.390  -0.367 -0.640  -0.373 -0.890  -0.385 -1.140  -0.353 -1.387  -0.233 -1.507  -0.191 -1.299  -0.242 -1.055  -0.293 -0.810  -0.343 -0.565  -0.394 -0.320  -0.445 -0.075  -0.495 0.170  -0.546 0.415  -0.609 0.650  -0.450 0.810  -0.207 0.868  0.039 0.911  0.284 0.964  0.527 1.020  0.771 1.075  1.015 1.130  1.258 1.187  1.478 1.230  1.305 1.049  1.133 0.868  0.961 0.687  0.789 0.506  0.616 0.324  0.444 0.143  0.272 -0.038  0.100 -0.219  -0.073 -0.401  -0.245 -0.582  -0.417 -0.763  -0.589 -0.944  -0.738 -1.045  -0.579 -0.887  -0.365 -0.764  -0.129 -0.681  0.112 -0.617  0.357 -0.571  0.596 -0.497
3#apb#apb42#app4209/r  0.087 0.467  0.031 0.355  -0.023 0.243  -0.062 0.124  -0.102 0.006  -0.114 -0.115  -0.089 -0.237  -0.065 -0.360  -0.040 -0.482  -0.013 -0.604  0.031 -0.721  0.075 -0.838  0.119 -0.955  0.150 -1.076  0.171 -1.199  0.192 -1.322  0.193 -1.447  0.239 -1.535  0.166 -1.435  0.111 -1.324  0.055 -1.212  -0.001 -1.100  -0.044 -0.983  -0.081 -0.864  -0.117 -0.744  -0.154 -0.625  -0.191 -0.505  -0.228 -0.386  -0.260 -0.265  -0.292 -0.144  -0.325 -0.024  -0.357 0.097  -0.389 0.218  -0.421 0.339  -0.428 0.459  -0.394 0.579  -0.360 0.700  -0.315 0.815  -0.246 0.919  -0.176 1.023  -0.101 1.121  -0.006 1.203  0.089 1.284  0.184 1.365  0.287 1.432  0.406 1.472  0.524 1.511  0.643 1.551  0.761 1.590  0.880 1.630
3#apb#apb42#app4209/e  -0.834 0.177  -0.688 0.177  -0.542 0.177  -0.396 0.182  -0.258 0.228  -0.119 0.275  0.016 0.330  0.149 0.391  0.282 0.453  0.414 0.514  0.537 0.592  0.659 0.673  0.780 0.755  0.872 0.869  0.933 0.994  0.817 1.045  0.672 1.060  0.526 1.060  0.380 1.060  0.235 1.056  0.110 0.980  -0.014 0.903  -0.139 0.827  -0.262 0.749  -0.361 0.641  -0.460 0.533  -0.559 0.425  -0.657 0.318  -0.719 0.187  -0.769 0.050  -0.819 -0.088  -0.834 -0.231  -0.834 -0.377  -0.816 -0.520  -0.762 -0.656  -0.708 -0.792  -0.615 -0.890  -0.482 -0.952  -0.349 -1.013  -0.216 -1.074  -0.074 -1.096  0.072 -1.104  0.218 -1.113  0.364 -1.121  0.510 -1.129  0.656 -1.121  0.802 -1.113  0.948 -1.106  1.094 -1.098  1.240 -1.090
3#apb#apb42#app4209/s  -0.284 0.852  -0.264 0.990  -0.190 1.090  -0.186 1.133  -0.307 1.071  -0.413 0.980  -0.520 0.889  -0.627 0.799  -0.734 0.709  -0.840 0.618  -0.939 0.519  -1.038 0.420  -1.126 0.313  -1.165 0.183  -1.034 0.150  -0.895 0.156  -0.756 0.167  -0.616 0.179  -0.478 0.201  -0.340 0.223  -0.202 0.245  -0.064 0.267  0.074 0.291  0.212 0.315  0.350 0.340  0.488 0.344  0.627 0.327  0.765 0.309  0.903 0.289  1.031 0.232  1.157 0.173  1.196 0.039  1.202 -0.097  1.174 -0.234  1.120 -0.356  1.017 -0.450  0.913 -0.545  0.806 -0.634  0.688 -0.708  0.569 -0.782  0.450 -0.857  0.329 -0.926  0.201 -0.981  0.072 -1.036  -0.057 -1.091  -0.185 -1.146  -0.317 -1.191  -0.453 -1.225  -0.589 -1.259  -0.724 -1.293
3#apb#apb42#app4209/h  -0.995 1.448  -1.017 1.334  -1.010 1.217  -1.003 1.100  -0.996 0.984  -0.953 0.876  -0.903 0.770  -0.853 0.665  -0.803 0.559  -0.762 0.450  -0.725 0.339  -0.688 0.228  -0.651 0.117  -0.618 0.005  -0.594 -0.109  -0.570 -0.224  -0.546 -0.338  -0.521 -0.452  -0.497 -0.567  -0.472 -0.681  -0.424 -0.786  -0.352 -0.837  -0.275 -0.751  -0.238 -0.640  -0.201 -0.529  -0.175 -0.416  -0.154 -0.301  -0.125 -0.188  -0.086 -0.078  -0.046 0.032  0.017 0.126  0.106 0.202  0.209 0.254  0.318 0.295  0.434 0.308  0.548 0.307  0.650 0.250  0.747 0.187  0.817 0.094  0.887 0.000  0.954 -0.095  1.010 -0.198  1.066 -0.301  1.130 -0.398  1.197 -0.494  1.269 -0.585  1.352 -0.668  1.435 -0.751  1.517 -0.833  1.587 -0.926
3#apb#apb42#app4209/C  0.420 1.211  0.321 1.223  0.223 1.218  0.128 1.187  0.033 1.155  -0.058 1.114  -0.149 1.072  -0.239 1.029  -0.317 0.969  -0.385 0.895  -0.452 0.821  -0.515 0.744  -0.570 0.660  -0.625 0.576  -0.679 0.492  -0.734 0.408  -0.772 0.317  -0.800 0.221  -0.827 0.125  -0.855 0.029  -0.875 -0.069  -0.868 -0.168  -0.861 -0.268  -0.839 -0.361  -0.769 -0.432  -0.698 -0.503  -0.627 -0.574  -0.541 -0.616  -0.443 -0.637  -0.345 -0.659  -0.247 -0.680  -0.149 -0.701  -0.050 -0.695  0.050 -0.685  0.149 -0.675  0.249 -0.665  0.348 -0.655  0.448 -0.645  0.546 -0.624  0.644 -0.602  0.741 -0.580  0.839 -0.558  0.937 -0.536  1.034 -0.514  1.130 -0.484  1.223 -0.448  1.316 -0.412  1.410 -0.377  1.503 -0.341  1.597 -0.305
3#apb#apb42#app4209/l  0.055 1.560  -0.008 1.592  -0.028 1.545  -0.054 1.479  -0.081 1.414  -0.107 1.348  -0.133 1.283  -0.159 1.217  -0.168 1.151  -0.149 1.083  -0.130 1.016  -0.110 0.948  -0.099 0.879  -0.099 0.809  -0.099 0.738  -0.099 0.668  -0.099 0.597  -0.099 0.527  -0.099 0.457  -0.099 0.386  -0.096 0.316  -0.086 0.246  -0.076 0.176  -0.066 0.107  -0.057 0.037  -0.047 -0.033  -0.037 -0.103  -0.027 -0.172  -0.013 -0.241  0.004 -0.310  0.021 -0.378  0.038 -0.446  0.055 -0.515  0.073 -0.583  0.090 -0.651  0.107 -0.720  0.124 -0.788  0.131 -0.858  0.131 -0.928  0.131 -0.999  0.131 -1.069  0.131 -1.139  0.131 -1.210  0.135 -1.280  0.141 -1.350  0.146 -1.421  0.152 -1.491  0.158 -1.561  0.164 -1.631  0.170 -1.701
3#apb#apb42#app4209/e  -0.819 -0.678  -0.787 -0.566  -0.675 -0.454  -0.563 -0.342  -0.447 -0.236  -0.290 -0.216  -0.133 -0.197  0.024 -0.177  0.181 -0.158  0.321 -0.083  0.461 -0.008  0.600 0.068  0.743 0.135  0.894 0.182  1.046 0.228  1.197 0.275  1.291 0.395  1.344 0.539  1.331 0.689  1.185 0.751  1.039 0.814  0.894 0.876  0.746 0.932  0.592 0.968  0.437 1.004  0.283 1.039  0.138 0.986  -0.006 0.919  -0.149 0.852  -0.293 0.785  -0.415 0.687  -0.527 0.575  -0.639 0.463  -0.751 0.351  -0.828 0.214  -0.894 0.070  -0.959 -0.074  -0.968 -0.228  -0.952 -0.386  -0.923 -0.538  -0.828 -0.665  -0.733 -0.792  -0.621 -0.902  -0.498 -1.002  -0.375 -1.102  -0.251 -1.198  -0.093 -1.198  0.066 -1.198  0.224 -1.198  0.383 -1.198
3#apb#apb42#app4209/a  1.090 0.316  1.047 0.466  1.004 0.617  0.948 0.740  0.808 0.810  0.662 0.826  0.510 0.788  0.360 0.744  0.222 0.670  0.084 0.595  -0.054 0.521  -0.192 0.447  -0.339 0.393  -0.487 0.340  -0.634 0.286  -0.759 0.196  -0.875 0.091  -0.992 -0.014  -1.108 -0.119  -1.227 -0.221  -1.346 -0.323  -1.449 -0.438  -1.508 -0.578  -1.438 -0.718  -1.297 -0.744  -1.140 -0.744  -0.993 -0.694  -0.848 -0.636  -0.702 -0.578  -0.563 -0.507  -0.425 -0.432  -0.287 -0.358  -0.149 -0.284  -0.041 -0.175  0.050 -0.047  0.140 0.081  0.227 0.212  0.296 0.347  0.340 0.413  0.462 0.315  0.572 0.205  0.673 0.084  0.765 -0.042  0.843 -0.178  0.926 -0.308  1.070 -0.369  1.214 -0.431  1.364 -0.477  1.514 -0.522  1.664 -0.567
3#apb#apb42#app4209/n  -1.104 0.358  -1.145 0.289  -1.166 0.195  -1.182 0.100  -1.182 0.003  -1.181 -0.093  -1.170 -0.189  -1.159 -0.285  -1.147 -0.381  -1.133 -0.477  -1.067 -0.538  -0.982 -0.579  -0.888 -0.564  -0.799 -0.526  -0.719 -0.477  -0.656 -0.403  -0.593 -0.330  -0.549 -0.245  -0.508 -0.157  -0.468 -0.069  -0.427 0.019  -0.384 0.105  -0.341 0.192  -0.298 0.278  -0.226 0.343  -0.154 0.407  -0.082 0.471  0.008 0.495  0.104 0.504  0.201 0.512  0.296 0.503  0.392 0.489  0.487 0.474  0.581 0.453  0.667 0.410  0.754 0.366  0.840 0.323  0.927 0.280  1.008 0.228  1.090 0.176  1.171 0.124  1.230 0.054  1.266 -0.036  1.302 -0.126  1.338 -0.215  1.374 -0.305  1.410 -0.395  1.421 -0.490  1.421 -0.586  1.421 -0.683
3#apb#apb42#app4209/F  -0.376 1.093  -0.357 0.847  -0.339 0.601  -0.330 0.354  -0.330 0.107  -0.303 -0.139  -0.271 -0.384  -0.253 -0.630  -0.240 -0.877  -0.240 -1.124  -0.174 -1.357  -0.217 -1.277  -0.349 -1.068  -0.480 -0.858  -0.612 -0.649  -0.744 -0.440  -0.876 -0.231  -1.007 -0.022  -1.139 0.187  -1.101 0.301  -0.869 0.382  -0.637 0.463  -0.391 0.489  -0.145 0.515  0.098 0.556  0.340 0.607  0.582 0.658  0.822 0.714  1.062 0.776  1.301 0.838  1.541 0.895  1.783 0.949  1.640 0.851  1.428 0.725  1.215 0.599  1.002 0.473  0.789 0.348  0.576 0.222  0.364 0.096  0.151 -0.030  -0.062 -0.156  -0.275 -0.281  -0.487 -0.407  -0.700 -0.533  -0.801 -0.714  -0.591 -0.808  -0.346 -0.797  -0.116 -0.705  0.116 -0.619  0.349 -0.537
3#apb#apb42#app4209/a  0.227 0.552  0.371 0.633  0.516 0.713  0.616 0.741  0.672 0.883  0.572 0.995  0.417 1.053  0.262 1.076  0.107 1.017  -0.047 0.958  -0.199 0.893  -0.352 0.828  -0.504 0.763  -0.650 0.687  -0.784 0.589  -0.918 0.492  -1.051 0.395  -1.111 0.243  -1.164 0.086  -1.216 -0.071  -1.231 -0.234  -1.231 -0.400  -1.206 -0.555  -1.089 -0.672  -0.969 -0.785  -0.818 -0.852  -0.667 -0.920  -0.507 -0.947  -0.341 -0.947  -0.176 -0.947  -0.039 -0.862  0.091 -0.761  0.222 -0.659  0.304 -0.516  0.385 -0.371  0.452 -0.221  0.497 -0.062  0.478 0.091  0.404 0.239  0.314 0.255  0.406 0.117  0.493 -0.023  0.567 -0.171  0.679 -0.283  0.823 -0.365  0.969 -0.443  1.117 -0.517  1.270 -0.572  1.435 -0.572  1.601 -0.572
3#apb#apb42#app4209/m  -1.073 0.302  -1.159 0.222  -1.162 0.079  -1.162 -0.065  -1.162 -0.209  -1.162 -0.352  -1.156 -0.496  -1.126 -0.636  -1.085 -0.639  -1.036 -0.505  -0.977 -0.373  -0.911 -0.246  -0.840 -0.121  -0.769 0.004  -0.697 0.128  -0.623 0.251  -0.549 0.374  -0.442 0.469  -0.312 0.510  -0.242 0.390  -0.242 0.247  -0.242 0.103  -0.242 -0.041  -0.242 -0.184  -0.242 -0.328  -0.242 -0.472  -0.270 -0.588  -0.189 -0.489  -0.121 -0.362  -0.053 -0.236  0.040 -0.128  0.142 -0.026  0.243 0.076  0.338 0.184  0.430 0.294  0.523 0.403  0.626 0.501  0.751 0.573  0.887 0.599  1.031 0.594  1.172 0.570  1.242 0.448  1.310 0.322  1.381 0.197  1.429 0.062  1.486 -0.070  1.578 -0.173  1.652 -0.285  1.754 -0.379  1.715 -0.499
