3#apa#apa04#app0435/h  -0.169 1.357  -0.169 1.513  -0.108 1.607  -0.044 1.699  0.078 1.732  -0.027 1.624  -0.044 1.476  -0.081 1.357  -0.169 1.290  -0.169 1.134  -0.169 0.979  -0.184 0.827  -0.254 0.688  -0.294 0.542  -0.294 0.386  -0.294 0.231  -0.294 0.075  -0.338 -0.062  -0.419 -0.184  -0.419 -0.339  -0.419 -0.495  -0.419 -0.650  -0.419 -0.806  -0.419 -0.961  -0.419 -1.117  -0.424 -1.268  -0.509 -1.268  -0.419 -1.202  -0.323 -1.143  -0.294 -1.016  -0.280 -0.864  -0.210 -0.725  -0.124 -0.598  -0.044 -0.476  -0.044 -0.320  0.059 -0.268  0.087 -0.137  0.197 -0.027  0.331 0.000  0.379 0.107  0.512 0.051  0.581 -0.076  0.581 -0.231  0.699 -0.268  0.706 -0.417  0.744 -0.557  0.831 -0.676  0.895 -0.768  0.956 -0.862  1.081 -0.893
3#apa#apa04#app0435/v  -0.953 -0.399  -0.953 -0.290  -0.953 -0.182  -0.953 -0.193  -0.953 -0.301  -0.943 -0.399  -0.834 -0.399  -0.726 -0.399  -0.688 -0.469  -0.688 -0.578  -0.666 -0.664  -0.558 -0.664  -0.449 -0.664  -0.422 -0.746  -0.422 -0.854  -0.389 -0.930  -0.281 -0.930  -0.172 -0.930  -0.064 -0.930  0.045 -0.930  0.153 -0.930  0.262 -0.930  0.370 -0.930  0.375 -0.827  0.375 -0.719  0.375 -0.610  0.375 -0.502  0.375 -0.393  0.375 -0.285  0.375 -0.176  0.375 -0.068  0.375 0.041  0.375 0.149  0.375 0.258  0.375 0.366  0.375 0.475  0.375 0.583  0.375 0.692  0.375 0.800  0.375 0.909  0.375 1.017  0.375 1.126  0.375 1.234  0.375 1.343  0.375 1.451  0.473 1.462  0.582 1.462  0.641 1.511  0.641 1.619  0.641 1.728
3#apa#apa04#app0435/e  -1.021 0.539  -0.846 0.539  -0.841 0.370  -0.725 0.243  -0.577 0.179  -0.402 0.179  -0.301 0.106  -0.233 -0.001  -0.059 -0.001  0.116 -0.001  0.238 0.052  0.285 0.179  0.448 0.209  0.571 0.332  0.695 0.456  0.778 0.596  0.741 0.755  0.618 0.879  0.495 1.002  0.352 1.078  0.177 1.078  0.003 1.078  -0.121 1.028  -0.167 0.899  -0.330 0.870  -0.453 0.747  -0.576 0.624  -0.716 0.539  -0.841 0.489  -0.841 0.315  -0.841 0.140  -0.841 -0.034  -0.841 -0.209  -0.825 -0.377  -0.701 -0.500  -0.578 -0.624  -0.443 -0.720  -0.278 -0.743  -0.155 -0.867  0.006 -0.900  0.181 -0.900  0.321 -0.983  0.455 -1.080  0.630 -1.080  0.804 -1.080  0.979 -1.080  1.153 -1.080  1.328 -1.080  1.503 -1.080  1.677 -1.080
3#apa#apa04#app0435/r  -0.757 -0.119  -0.676 -0.199  -0.596 -0.280  -0.555 -0.376  -0.555 -0.490  -0.555 -0.604  -0.555 -0.718  -0.555 -0.832  -0.535 -0.925  -0.421 -0.925  -0.354 -0.971  -0.354 -1.085  -0.354 -1.199  -0.354 -1.313  -0.354 -1.230  -0.354 -1.117  -0.354 -1.003  -0.354 -0.889  -0.354 -0.775  -0.354 -0.662  -0.354 -0.548  -0.354 -0.434  -0.354 -0.320  -0.354 -0.207  -0.354 -0.093  -0.354 0.021  -0.354 0.135  -0.354 0.249  -0.276 0.284  -0.162 0.284  -0.152 0.388  -0.145 0.500  -0.094 0.602  -0.043 0.704  0.008 0.806  0.070 0.889  0.183 0.889  0.297 0.889  0.411 0.889  0.525 0.889  0.639 0.889  0.752 0.889  0.866 0.889  0.980 0.889  1.094 0.889  1.207 0.889  1.321 0.889  1.435 0.889  1.549 0.889  1.662 0.889
3#apa#apa04#app0435/y  -0.621 1.097  -0.621 0.973  -0.650 0.862  -0.744 0.789  -0.826 0.748  -0.826 0.624  -0.743 0.584  -0.650 0.510  -0.539 0.481  -0.416 0.481  -0.292 0.481  -0.169 0.481  -0.045 0.481  0.054 0.540  0.159 0.584  0.258 0.642  0.303 0.748  0.303 0.871  0.303 0.994  0.303 1.118  0.303 1.157  0.303 1.034  0.303 0.910  0.303 0.787  0.303 0.663  0.303 0.540  0.303 0.416  0.303 0.293  0.378 0.201  0.405 0.089  0.405 -0.035  0.405 -0.158  0.405 -0.282  0.405 -0.405  0.405 -0.529  0.405 -0.652  0.405 -0.776  0.405 -0.899  0.338 -0.955  0.303 -1.043  0.225 -1.135  0.200 -1.248  0.103 -1.311  -0.007 -1.367  -0.094 -1.455  -0.212 -1.469  -0.299 -1.557  -0.416 -1.571  -0.504 -1.659  -0.621 -1.673
3#apa#apa04#app0435/o  0.225 0.420  0.055 0.420  -0.115 0.420  -0.247 0.328  -0.376 0.230  -0.546 0.230  -0.716 0.230  -0.726 0.070  -0.866 0.039  -0.917 -0.080  -1.016 -0.151  -1.107 -0.230  -1.107 -0.400  -1.107 -0.570  -1.107 -0.740  -1.107 -0.910  -0.939 -0.912  -0.769 -0.912  -0.599 -0.912  -0.429 -0.912  -0.285 -0.851  -0.164 -0.731  0.002 -0.722  0.172 -0.722  0.330 -0.669  0.482 -0.593  0.637 -0.531  0.804 -0.524  0.924 -0.403  1.068 -0.341  1.220 -0.297  1.340 -0.177  1.367 -0.018  1.367 0.152  1.325 0.312  1.249 0.464  1.170 0.610  1.000 0.610  0.846 0.680  0.694 0.756  0.534 0.800  0.364 0.800  0.194 0.800  0.024 0.800  -0.146 0.800  -0.316 0.800  -0.445 0.702  -0.577 0.610  -0.747 0.610  -0.917 0.610
3#apa#apa04#app0435/p  -0.245 0.338  -0.120 0.294  -0.120 0.126  -0.213 -0.004  -0.245 -0.159  -0.245 -0.327  -0.245 -0.495  -0.245 -0.663  -0.245 -0.831  -0.310 -0.972  -0.369 -1.116  -0.369 -1.284  -0.369 -1.452  -0.369 -1.620  -0.483 -1.653  -0.369 -1.599  -0.369 -1.431  -0.369 -1.262  -0.369 -1.094  -0.369 -0.926  -0.369 -0.758  -0.339 -0.597  -0.264 -0.447  -0.245 -0.283  -0.245 -0.115  -0.245 0.053  -0.243 0.221  -0.202 0.384  -0.161 0.547  -0.120 0.710  -0.045 0.861  0.004 1.017  0.004 1.185  0.107 1.311  0.262 1.342  0.382 1.458  0.550 1.458  0.668 1.376  0.743 1.225  0.857 1.103  0.875 0.942  0.875 0.774  0.801 0.637  0.751 0.490  0.651 0.363  0.508 0.278  0.355 0.213  0.194 0.184  0.043 0.108  -0.120 0.089
3#apa#apa04#app0435/p  -0.337 0.188  -0.337 0.039  -0.337 -0.111  -0.360 -0.251  -0.466 -0.357  -0.476 -0.503  -0.476 -0.652  -0.476 -0.802  -0.476 -0.952  -0.476 -1.101  -0.476 -1.251  -0.476 -1.401  -0.426 -1.530  -0.354 -1.602  -0.460 -1.496  -0.476 -1.353  -0.476 -1.203  -0.476 -1.054  -0.462 -0.910  -0.357 -0.804  -0.337 -0.662  -0.337 -0.512  -0.335 -0.363  -0.268 -0.229  -0.201 -0.095  -0.134 0.038  -0.067 0.172  -0.059 0.320  -0.014 0.463  0.033 0.605  0.081 0.747  0.148 0.880  0.215 1.014  0.359 1.024  0.465 1.129  0.601 1.161  0.636 1.277  0.762 1.300  0.911 1.300  0.914 1.153  0.895 1.022  0.775 0.993  0.746 0.855  0.640 0.749  0.632 0.605  0.497 0.591  0.471 0.466  0.332 0.441  0.226 0.335  0.080 0.327
3#apa#apa04#app0435/o  -0.413 0.354  -0.562 0.354  -0.711 0.354  -0.808 0.303  -0.811 0.157  -0.959 0.157  -1.006 0.054  -1.006 -0.095  -1.006 -0.243  -1.006 -0.392  -1.006 -0.541  -0.950 -0.634  -0.801 -0.634  -0.652 -0.634  -0.535 -0.709  -0.430 -0.815  -0.288 -0.831  -0.139 -0.831  0.010 -0.831  0.159 -0.831  0.307 -0.831  0.456 -0.831  0.605 -0.831  0.754 -0.831  0.864 -0.739  0.969 -0.634  1.118 -0.634  1.167 -0.534  1.167 -0.385  1.167 -0.236  1.167 -0.088  1.095 0.031  0.990 0.136  0.970 0.277  0.919 0.405  0.814 0.510  0.709 0.615  0.604 0.720  0.467 0.749  0.336 0.791  0.230 0.896  0.103 0.947  -0.046 0.947  -0.195 0.947  -0.344 0.947  -0.492 0.947  -0.632 0.925  -0.737 0.820  -0.808 0.700  -0.808 0.552
3#apa#apa04#app0435/r  -0.496 -0.052  -0.496 -0.180  -0.438 -0.250  -0.311 -0.250  -0.298 -0.366  -0.298 -0.493  -0.298 -0.621  -0.195 -0.646  -0.101 -0.679  -0.101 -0.807  -0.101 -0.934  -0.101 -1.062  -0.101 -1.190  -0.022 -1.239  0.097 -1.248  0.097 -1.376  0.097 -1.370  0.097 -1.242  0.009 -1.151  -0.081 -1.061  -0.101 -0.941  -0.101 -0.813  -0.101 -0.685  -0.163 -0.583  -0.253 -0.493  -0.298 -0.384  -0.298 -0.256  -0.298 -0.128  -0.298 -0.001  -0.298 0.127  -0.298 0.255  -0.298 0.383  -0.298 0.511  -0.230 0.610  -0.139 0.700  -0.101 0.812  -0.098 0.939  -0.008 1.029  0.082 1.120  0.097 1.241  0.134 1.332  0.262 1.332  0.389 1.332  0.517 1.332  0.645 1.332  0.773 1.332  0.888 1.320  0.888 1.192  0.958 1.134  1.086 1.134
3#apa#apa04#app0435/t  0.092 1.848  0.056 1.674  -0.046 1.528  -0.046 1.339  -0.054 1.158  -0.184 1.100  -0.184 0.911  -0.184 0.722  -0.184 0.534  -0.184 0.345  -0.200 0.160  -0.284 -0.009  -0.322 -0.189  -0.322 -0.377  -0.322 -0.566  -0.322 -0.755  -0.203 -0.894  -0.167 -1.068  -0.034 -1.201  0.103 -1.327  0.291 -1.327  0.480 -1.327  0.669 -1.327  0.858 -1.327  0.824 -1.245  0.681 -1.122  0.538 -0.999  0.394 -0.876  0.251 -0.753  0.108 -0.631  -0.035 -0.508  -0.179 -0.385  -0.322 -0.262  -0.465 -0.139  -0.608 -0.017  -0.752 0.106  -0.895 0.229  -0.978 0.330  -0.799 0.367  -0.630 0.452  -0.445 0.468  -0.276 0.514  -0.125 0.606  0.064 0.606  0.253 0.606  0.441 0.606  0.630 0.606  0.819 0.606  1.007 0.606  1.196 0.606
3#apa#apa04#app0435/u  -0.279 1.035  -0.357 0.957  -0.435 0.879  -0.531 0.845  -0.641 0.845  -0.751 0.845  -0.848 0.831  -0.848 0.721  -0.879 0.624  -0.957 0.546  -1.035 0.468  -1.037 0.359  -1.037 0.248  -1.037 0.138  -1.037 0.028  -1.037 -0.082  -0.948 -0.103  -0.848 -0.113  -0.848 -0.224  -0.807 -0.293  -0.696 -0.293  -0.607 -0.344  -0.529 -0.422  -0.444 -0.482  -0.334 -0.482  -0.223 -0.482  -0.113 -0.482  -0.028 -0.543  0.050 -0.621  0.139 -0.672  0.249 -0.672  0.360 -0.672  0.470 -0.672  0.551 -0.601  0.629 -0.523  0.722 -0.482  0.832 -0.482  0.943 -0.482  1.049 -0.479  1.049 -0.368  1.074 -0.268  1.152 -0.190  1.230 -0.112  1.239 -0.006  1.239 0.104  1.239 0.215  1.239 0.325  1.239 0.435  1.239 0.545  1.239 0.656
3#apa#apa04#app0435/n  -0.797 0.001  -0.797 -0.134  -0.885 -0.180  -0.977 -0.222  -0.977 -0.356  -0.977 -0.490  -0.977 -0.625  -0.977 -0.759  -0.977 -0.893  -0.977 -1.027  -0.897 -1.081  -0.797 -1.047  -0.797 -0.913  -0.797 -0.778  -0.797 -0.644  -0.767 -0.540  -0.632 -0.540  -0.533 -0.456  -0.438 -0.361  -0.437 -0.228  -0.376 -0.119  -0.281 -0.024  -0.256 0.100  -0.256 0.234  -0.249 0.361  -0.114 0.361  -0.008 0.429  0.087 0.524  0.182 0.619  0.276 0.714  0.285 0.845  0.361 0.902  0.487 0.924  0.582 1.019  0.689 1.082  0.824 1.082  0.825 0.950  0.887 0.841  0.981 0.746  1.006 0.622  1.006 0.488  1.006 0.353  1.006 0.219  1.006 0.085  1.006 -0.049  1.006 -0.184  1.006 -0.318  1.006 -0.452  1.052 -0.540  1.186 -0.540
3#apa#apa04#app0435/i  -0.015 -0.482  -0.015 -0.575  -0.015 -0.669  -0.015 -0.763  -0.098 -0.774  -0.161 -0.804  -0.161 -0.898  -0.161 -0.992  -0.161 -1.086  -0.161 -1.179  -0.161 -1.273  -0.154 -1.359  -0.060 -1.359  -0.015 -1.310  -0.015 -1.217  -0.015 -1.123  -0.015 -1.029  -0.015 -0.935  -0.015 -0.842  -0.015 -0.748  -0.015 -0.654  -0.015 -0.560  -0.015 -0.466  -0.015 -0.373  -0.015 -0.279  -0.015 -0.185  -0.015 -0.091  -0.015 0.003  -0.015 0.096  -0.015 0.190  -0.015 0.284  -0.015 0.378  -0.015 0.472  -0.015 0.565  -0.015 0.659  -0.015 0.753  -0.015 0.847  -0.015 0.940  0.038 0.981  0.131 0.982  0.131 1.076  0.131 1.169  0.131 1.263  0.131 1.357  0.131 1.451  0.131 1.544  0.131 1.638  0.145 1.726  0.211 1.793  0.277 1.859
3#apa#apa04#app0435/t  0.636 2.091  0.556 1.932  0.477 1.773  0.380 1.628  0.254 1.503  0.129 1.377  0.015 1.247  0.015 1.070  0.015 0.892  0.015 0.715  0.015 0.538  0.015 0.361  0.015 0.183  0.015 0.006  0.015 -0.171  0.015 -0.348  0.015 -0.526  0.015 -0.703  0.015 -0.880  0.015 -1.058  0.028 -1.230  0.153 -1.355  0.222 -1.504  0.198 -1.587  0.112 -1.432  0.026 -1.277  -0.061 -1.122  -0.147 -0.967  -0.233 -0.812  -0.319 -0.657  -0.405 -0.502  -0.491 -0.347  -0.577 -0.192  -0.663 -0.037  -0.749 0.118  -0.811 0.181  -0.798 0.009  -0.672 -0.116  -0.523 -0.184  -0.398 -0.131  -0.375 0.023  -0.198 0.023  -0.071 0.144  0.071 0.230  0.248 0.230  0.426 0.230  0.603 0.230  0.780 0.230  0.924 0.149  1.049 0.023
3#apa#apa04#app0435/y  -0.651 1.030  -0.693 0.942  -0.740 0.858  -0.828 0.816  -0.828 0.685  -0.805 0.564  -0.740 0.460  -0.660 0.409  -0.529 0.409  -0.398 0.409  -0.302 0.492  -0.184 0.522  -0.080 0.587  -0.030 0.668  0.057 0.762  0.148 0.804  0.205 0.911  0.323 0.942  0.353 1.059  0.368 1.119  0.325 1.032  0.236 0.990  0.236 0.859  0.148 0.817  0.148 0.686  0.148 0.556  0.180 0.433  0.236 0.315  0.236 0.184  0.236 0.054  0.236 -0.077  0.236 -0.208  0.325 -0.302  0.325 -0.433  0.363 -0.554  0.414 -0.673  0.456 -0.786  0.502 -0.898  0.502 -1.028  0.502 -1.159  0.493 -1.286  0.395 -1.365  0.325 -1.426  0.222 -1.454  0.091 -1.454  -0.039 -1.454  -0.170 -1.454  -0.301 -1.454  -0.432 -1.454  -0.562 -1.454
