3#apb#apb38#app3802/S  0.741 1.373  0.685 1.464  0.594 1.455  0.502 1.391  0.413 1.324  0.324 1.256  0.236 1.188  0.149 1.116  0.067 1.041  -0.015 0.965  -0.098 0.890  -0.177 0.810  -0.253 0.728  -0.329 0.646  -0.405 0.564  -0.484 0.485  -0.571 0.415  -0.657 0.344  -0.744 0.273  -0.801 0.177  -0.855 0.079  -0.875 -0.027  -0.783 -0.089  -0.671 -0.095  -0.559 -0.102  -0.448 -0.097  -0.336 -0.092  -0.224 -0.091  -0.112 -0.096  -0.000 -0.101  0.108 -0.123  0.216 -0.154  0.322 -0.187  0.412 -0.254  0.497 -0.326  0.572 -0.409  0.600 -0.512  0.601 -0.622  0.556 -0.725  0.510 -0.827  0.450 -0.921  0.387 -1.014  0.324 -1.106  0.254 -1.192  0.179 -1.276  0.104 -1.359  0.025 -1.437  -0.060 -1.510  -0.145 -1.584  -0.229 -1.657
3#apb#apb38#app3802/8  0.721 1.324  0.552 1.290  0.387 1.231  0.222 1.172  0.050 1.138  -0.119 1.096  -0.283 1.033  -0.446 0.970  -0.610 0.907  -0.767 0.832  -0.913 0.735  -1.037 0.614  -1.098 0.454  -1.049 0.290  -0.908 0.195  -0.755 0.110  -0.602 0.025  -0.436 -0.027  -0.266 -0.067  -0.103 -0.131  0.057 -0.202  0.217 -0.274  0.376 -0.347  0.522 -0.443  0.661 -0.550  0.790 -0.663  0.815 -0.835  0.786 -1.007  0.697 -1.159  0.562 -1.261  0.407 -1.342  0.247 -1.415  0.076 -1.441  -0.090 -1.404  -0.208 -1.283  -0.266 -1.128  -0.247 -0.953  -0.217 -0.781  -0.181 -0.610  -0.132 -0.441  -0.081 -0.274  -0.010 -0.115  0.075 0.039  0.156 0.194  0.234 0.351  0.310 0.508  0.385 0.667  0.459 0.826  0.520 0.990  0.542 1.162
3#apb#apb38#app3802/A  -1.154 -1.379  -1.162 -1.318  -1.095 -1.176  -1.049 -1.026  -1.008 -0.874  -0.960 -0.725  -0.893 -0.582  -0.827 -0.440  -0.759 -0.298  -0.687 -0.158  -0.615 -0.019  -0.540 0.120  -0.457 0.253  -0.373 0.386  -0.288 0.519  -0.200 0.649  -0.111 0.779  -0.015 0.903  0.092 1.017  0.200 1.132  0.307 1.247  0.423 1.352  0.555 1.431  0.712 1.442  0.754 1.298  0.758 1.141  0.750 0.984  0.730 0.828  0.700 0.674  0.673 0.519  0.649 0.363  0.620 0.209  0.577 0.058  0.535 -0.094  0.506 -0.248  0.480 -0.403  0.456 -0.559  0.432 -0.714  0.396 -0.867  0.354 -1.018  0.283 -1.018  0.185 -0.895  0.088 -0.772  -0.010 -0.648  -0.107 -0.525  -0.205 -0.402  -0.158 -0.326  -0.004 -0.293  0.152 -0.271  0.308 -0.253
3#apb#apb38#app3802/u  -1.285 0.586  -1.294 0.504  -1.303 0.423  -1.295 0.344  -1.264 0.268  -1.234 0.191  -1.199 0.117  -1.157 0.047  -1.115 -0.023  -1.071 -0.092  -1.007 -0.143  -0.942 -0.193  -0.877 -0.243  -0.818 -0.300  -0.760 -0.358  -0.702 -0.416  -0.640 -0.467  -0.561 -0.491  -0.483 -0.515  -0.405 -0.539  -0.326 -0.549  -0.246 -0.532  -0.165 -0.515  -0.085 -0.498  -0.006 -0.478  0.072 -0.452  0.150 -0.426  0.228 -0.400  0.298 -0.360  0.366 -0.314  0.433 -0.267  0.501 -0.220  0.567 -0.172  0.627 -0.117  0.688 -0.062  0.749 -0.007  0.810 0.049  0.868 0.106  0.926 0.164  0.984 0.222  1.042 0.280  1.081 0.352  1.120 0.424  1.159 0.496  1.198 0.569  1.226 0.645  1.250 0.724  1.275 0.802  1.299 0.880  1.324 0.958
3#apb#apb38#app3802/g  0.101 1.181  0.017 1.091  -0.079 0.991  -0.190 0.906  -0.301 0.821  -0.410 0.734  -0.519 0.647  -0.630 0.561  -0.743 0.479  -0.856 0.398  -0.941 0.303  -0.865 0.226  -0.727 0.217  -0.589 0.234  -0.459 0.280  -0.336 0.345  -0.214 0.414  -0.095 0.487  0.024 0.561  0.144 0.632  0.264 0.703  0.371 0.792  0.470 0.891  0.577 0.950  0.661 0.840  0.720 0.713  0.751 0.579  0.774 0.441  0.808 0.305  0.825 0.168  0.825 0.028  0.820 -0.112  0.811 -0.251  0.763 -0.381  0.710 -0.510  0.634 -0.628  0.558 -0.745  0.457 -0.841  0.353 -0.933  0.241 -1.016  0.119 -1.083  -0.004 -1.150  -0.133 -1.203  -0.263 -1.254  -0.394 -1.304  -0.532 -1.313  -0.672 -1.319  -0.811 -1.317  -0.948 -1.291  -1.085 -1.265
3#apb#apb38#app3802/.  1.866 0.388  1.752 0.388  1.639 0.388  1.526 0.388  1.413 0.388  1.299 0.388  1.186 0.388  1.073 0.388  0.960 0.388  0.846 0.388  0.733 0.388  0.620 0.388  0.506 0.388  0.393 0.388  0.280 0.388  0.167 0.388  0.053 0.388  -0.060 0.388  -0.173 0.388  -0.286 0.388  -0.400 0.388  -0.513 0.388  -0.626 0.388  -0.739 0.388  -0.853 0.388  -0.963 0.374  -1.064 0.324  -1.165 0.273  -1.267 0.222  -1.227 0.141  -1.156 0.052  -1.085 -0.036  -1.014 -0.125  -0.944 -0.213  -0.873 -0.302  -0.802 -0.390  -0.731 -0.479  -0.661 -0.567  -0.590 -0.655  -0.481 -0.677  -0.369 -0.693  -0.256 -0.709  -0.144 -0.725  -0.032 -0.741  0.080 -0.757  0.192 -0.773  0.304 -0.789  0.416 -0.805  0.528 -0.821  0.641 -0.837
3#apb#apb38#app3802/9  0.528 0.873  0.449 1.003  0.318 1.086  0.164 1.066  0.019 1.012  -0.124 0.948  -0.266 0.883  -0.408 0.818  -0.546 0.746  -0.672 0.654  -0.798 0.562  -0.928 0.475  -1.059 0.390  -1.162 0.277  -1.236 0.141  -1.271 -0.012  -1.179 -0.133  -1.060 -0.225  -0.910 -0.270  -0.759 -0.281  -0.606 -0.250  -0.452 -0.220  -0.308 -0.164  -0.169 -0.092  -0.030 -0.020  0.106 0.056  0.238 0.139  0.370 0.223  0.491 0.320  0.599 0.433  0.706 0.547  0.810 0.663  0.812 0.644  0.785 0.490  0.749 0.339  0.700 0.191  0.663 0.039  0.631 -0.114  0.599 -0.267  0.566 -0.420  0.534 -0.573  0.498 -0.725  0.461 -0.877  0.424 -1.028  0.385 -1.180  0.346 -1.331  0.305 -1.482  0.264 -1.633  0.227 -1.784  0.197 -1.938
3#apb#apb38#app3802/M  -1.524 -1.120  -1.464 -1.009  -1.411 -0.894  -1.359 -0.778  -1.311 -0.660  -1.264 -0.542  -1.202 -0.431  -1.135 -0.323  -1.068 -0.215  -0.997 -0.110  -0.927 -0.004  -0.853 0.100  -0.778 0.203  -0.696 0.300  -0.606 0.390  -0.507 0.467  -0.395 0.526  -0.271 0.539  -0.171 0.480  -0.146 0.356  -0.159 0.230  -0.182 0.105  -0.215 -0.018  -0.224 -0.090  -0.134 0.000  -0.045 0.091  0.042 0.183  0.133 0.272  0.236 0.346  0.340 0.419  0.453 0.476  0.571 0.525  0.691 0.567  0.813 0.602  0.938 0.610  1.065 0.602  1.180 0.549  1.261 0.454  1.277 0.332  1.251 0.210  1.206 0.091  1.151 -0.023  1.080 -0.129  1.009 -0.234  0.932 -0.335  0.854 -0.436  0.767 -0.528  0.675 -0.615  0.595 -0.714  0.523 -0.818
3#apb#apb38#app3802/a  -0.258 0.685  -0.369 0.609  -0.479 0.533  -0.589 0.458  -0.699 0.382  -0.797 0.292  -0.888 0.194  -0.978 0.096  -1.069 -0.002  -1.159 -0.101  -1.247 -0.201  -1.335 -0.302  -1.373 -0.430  -1.370 -0.552  -1.296 -0.664  -1.178 -0.693  -1.044 -0.693  -0.911 -0.690  -0.786 -0.642  -0.662 -0.593  -0.537 -0.545  -0.413 -0.496  -0.302 -0.424  -0.197 -0.342  -0.091 -0.260  0.014 -0.178  0.120 -0.096  0.221 -0.008  0.318 0.084  0.415 0.175  0.513 0.266  0.610 0.358  0.703 0.454  0.793 0.553  0.884 0.651  0.973 0.750  1.054 0.857  1.090 0.807  1.039 0.684  0.997 0.557  0.969 0.428  0.969 0.294  0.968 0.161  0.955 0.028  0.941 -0.105  0.976 -0.233  1.018 -0.360  1.086 -0.474  1.162 -0.583  1.239 -0.693
3#apb#apb38#app3802/y  -0.807 0.795  -0.819 0.673  -0.780 0.559  -0.741 0.443  -0.696 0.332  -0.609 0.246  -0.510 0.178  -0.402 0.120  -0.308 0.168  -0.218 0.251  -0.129 0.335  -0.040 0.418  0.050 0.501  0.139 0.584  0.229 0.667  0.318 0.751  0.407 0.834  0.497 0.917  0.586 1.000  0.676 1.084  0.765 1.167  0.752 1.146  0.691 1.043  0.655 0.926  0.623 0.808  0.591 0.691  0.556 0.574  0.517 0.458  0.479 0.342  0.438 0.227  0.392 0.113  0.346 0.000  0.300 -0.113  0.249 -0.224  0.191 -0.331  0.133 -0.439  0.076 -0.546  0.018 -0.654  -0.043 -0.759  -0.107 -0.864  -0.171 -0.968  -0.235 -1.072  -0.299 -1.176  -0.363 -1.280  -0.425 -1.385  -0.487 -1.490  -0.550 -1.595  -0.605 -1.704  -0.645 -1.819  -0.685 -1.934
3#apb#apb38#app3802/2  -0.526 1.173  -0.381 1.188  -0.259 1.266  -0.130 1.331  0.011 1.368  0.155 1.392  0.298 1.383  0.441 1.351  0.560 1.267  0.663 1.167  0.736 1.041  0.787 0.907  0.802 0.762  0.815 0.616  0.788 0.473  0.760 0.329  0.714 0.192  0.646 0.063  0.578 -0.067  0.498 -0.186  0.392 -0.287  0.286 -0.388  0.180 -0.488  0.048 -0.552  -0.083 -0.615  -0.215 -0.678  -0.350 -0.733  -0.490 -0.774  -0.631 -0.815  -0.773 -0.841  -0.919 -0.841  -1.065 -0.838  -1.200 -0.811  -1.232 -0.668  -1.112 -0.590  -0.986 -0.515  -0.854 -0.453  -0.722 -0.390  -0.583 -0.351  -0.438 -0.330  -0.293 -0.311  -0.147 -0.311  -0.001 -0.311  0.141 -0.338  0.283 -0.376  0.403 -0.456  0.519 -0.545  0.608 -0.659  0.640 -0.801  0.640 -0.947
3#apb#apb38#app3802/2  -0.449 1.126  -0.508 1.177  -0.376 1.201  -0.245 1.231  -0.112 1.247  0.022 1.247  0.155 1.238  0.289 1.224  0.422 1.205  0.554 1.182  0.675 1.129  0.786 1.055  0.854 0.940  0.889 0.814  0.898 0.680  0.866 0.551  0.826 0.423  0.778 0.299  0.703 0.187  0.629 0.075  0.554 -0.036  0.466 -0.136  0.368 -0.227  0.269 -0.318  0.170 -0.409  0.061 -0.487  -0.052 -0.559  -0.165 -0.631  -0.283 -0.692  -0.411 -0.733  -0.539 -0.774  -0.667 -0.814  -0.801 -0.814  -0.935 -0.814  -1.067 -0.795  -1.191 -0.752  -1.086 -0.669  -0.966 -0.617  -0.834 -0.591  -0.702 -0.571  -0.568 -0.571  -0.434 -0.571  -0.300 -0.585  -0.167 -0.601  -0.034 -0.618  0.096 -0.652  0.226 -0.686  0.339 -0.755  0.449 -0.832  0.551 -0.920
