3#apa#apa01#app0147/B  0.052 -1.064  0.028 -1.064  -0.061 -0.904  -0.175 -0.767  -0.175 -0.517  -0.288 -0.380  -0.308 -0.138  -0.401 0.073  -0.401 0.323  -0.401 0.573  -0.515 0.710  -0.515 0.960  -0.670 0.797  -0.834 0.609  -0.999 0.421  -1.164 0.233  -1.308 0.100  -1.194 0.237  -1.081 0.441  -0.968 0.577  -0.854 0.714  -0.685 0.862  -0.548 0.975  -0.401 1.078  -0.162 1.088  0.052 1.051  0.225 0.975  0.362 0.862  0.505 0.688  0.446 0.462  0.331 0.295  0.278 0.098  0.165 -0.039  0.034 -0.158  -0.020 -0.271  0.117 -0.158  0.367 -0.158  0.617 -0.158  0.867 -0.158  1.104 -0.191  1.298 -0.294  1.411 -0.497  1.395 -0.741  1.218 -0.917  1.095 -1.064  0.892 -1.178  0.642 -1.178  0.392 -1.178  0.182 -1.081  0.052 -0.951
3#apa#apa01#app0147/O  -0.442 0.767  -0.589 0.767  -0.605 0.636  -0.605 0.489  -0.674 0.371  -0.768 0.262  -0.768 0.115  -0.768 -0.032  -0.897 -0.049  -0.931 -0.163  -0.931 -0.310  -0.931 -0.457  -0.867 -0.539  -0.768 -0.588  -0.745 -0.725  -0.641 -0.829  -0.509 -0.866  -0.362 -0.866  -0.234 -0.910  -0.130 -1.014  0.011 -1.029  0.158 -1.029  0.305 -1.029  0.430 -0.974  0.534 -0.870  0.679 -0.866  0.789 -0.777  0.864 -0.661  0.889 -0.539  1.027 -0.530  1.027 -0.383  1.027 -0.236  1.027 -0.089  0.951 0.026  0.864 0.137  0.864 0.284  0.864 0.431  0.766 0.538  0.662 0.642  0.558 0.746  0.455 0.850  0.341 0.930  0.199 0.942  0.095 1.046  -0.033 1.093  -0.180 1.093  -0.327 1.093  -0.474 1.093  -0.605 1.077  -0.605 0.930
3#apa#apa01#app0147/U  -1.038 1.045  -1.038 0.925  -1.038 0.805  -1.027 0.696  -0.908 0.696  -0.864 0.621  -0.864 0.501  -0.864 0.381  -0.864 0.262  -0.864 0.142  -0.864 0.022  -0.864 -0.097  -0.821 -0.175  -0.702 -0.175  -0.690 -0.282  -0.690 -0.402  -0.690 -0.521  -0.572 -0.523  -0.515 -0.586  -0.509 -0.704  -0.424 -0.788  -0.339 -0.872  -0.220 -0.872  -0.100 -0.872  0.020 -0.872  0.139 -0.872  0.259 -0.872  0.379 -0.872  0.498 -0.872  0.592 -0.809  0.677 -0.725  0.704 -0.616  0.723 -0.504  0.807 -0.420  0.878 -0.330  0.878 -0.210  0.878 -0.090  0.878 0.029  0.878 0.149  0.878 0.269  0.878 0.388  0.878 0.508  0.878 0.628  0.842 0.732  0.758 0.817  0.704 0.915  0.704 1.034  0.595 1.045  0.530 1.099  0.530 1.219
3#apa#apa01#app0147/S  -0.247 1.196  -0.247 1.060  -0.362 1.039  -0.498 1.039  -0.561 0.965  -0.614 0.882  -0.740 0.859  -0.837 0.763  -0.933 0.667  -1.029 0.571  -1.164 0.568  -1.189 0.456  -1.189 0.320  -1.119 0.254  -0.983 0.254  -0.847 0.254  -0.711 0.254  -0.575 0.254  -0.439 0.254  -0.303 0.254  -0.167 0.254  -0.030 0.254  0.106 0.254  0.242 0.254  0.378 0.254  0.514 0.254  0.650 0.254  0.695 0.162  0.765 0.097  0.902 0.097  1.009 0.068  1.014 -0.066  1.111 -0.162  1.166 -0.275  1.140 -0.400  1.043 -0.497  1.009 -0.619  0.962 -0.735  0.866 -0.831  0.735 -0.845  0.627 -0.913  0.528 -1.002  0.392 -1.002  0.256 -1.002  0.120 -1.002  -0.017 -1.002  -0.153 -1.002  -0.289 -1.002  -0.425 -1.002  -0.561 -1.002
3#apa#apa01#app0147/S  0.301 1.382  0.200 1.281  0.075 1.237  -0.045 1.182  -0.150 1.091  -0.292 1.091  -0.433 1.085  -0.534 0.984  -0.660 0.946  -0.718 0.860  -0.800 0.800  -0.863 0.720  -0.940 0.655  -1.009 0.580  -0.937 0.509  -0.863 0.440  -0.797 0.364  -0.654 0.364  -0.512 0.364  -0.369 0.364  -0.226 0.364  -0.084 0.364  0.010 0.314  0.056 0.218  0.199 0.218  0.301 0.177  0.339 0.073  0.471 0.047  0.572 -0.053  0.592 -0.188  0.704 -0.218  0.737 -0.328  0.844 -0.364  0.883 -0.468  0.883 -0.611  0.883 -0.754  0.815 -0.868  0.704 -0.946  0.592 -0.976  0.564 -1.091  0.446 -1.116  0.424 -1.237  0.281 -1.237  0.139 -1.237  0.010 -1.223  -0.001 -1.091  -0.144 -1.091  -0.281 -1.086  -0.284 -0.946  -0.427 -0.946
3#apa#apa01#app0147/T  -0.057 0.510  -0.057 0.332  0.111 0.321  0.132 0.164  0.236 0.028  0.321 -0.115  0.355 -0.280  0.481 -0.407  0.510 -0.573  0.510 -0.752  0.510 -0.931  0.510 -1.109  0.510 -1.288  0.510 -1.467  0.510 -1.497  0.469 -1.333  0.355 -1.195  0.241 -1.058  0.126 -0.921  0.012 -0.783  -0.103 -0.646  -0.217 -0.509  -0.331 -0.372  -0.446 -0.234  -0.560 -0.097  -0.675 0.040  -0.789 0.178  -0.903 0.315  -1.018 0.452  -1.132 0.589  -1.247 0.727  -1.361 0.864  -1.236 0.889  -1.097 0.793  -0.957 0.700  -0.778 0.700  -0.599 0.700  -0.425 0.689  -0.299 0.563  -0.141 0.510  0.037 0.510  0.216 0.510  0.395 0.510  0.573 0.510  0.752 0.510  0.931 0.510  1.110 0.510  1.267 0.532  1.278 0.700  1.457 0.700
3#apa#apa01#app0147/I  -0.355 1.598  -0.355 1.522  -0.355 1.447  -0.355 1.371  -0.355 1.295  -0.355 1.220  -0.342 1.157  -0.266 1.157  -0.190 1.157  -0.135 1.137  -0.135 1.062  -0.135 0.986  -0.135 0.910  -0.135 0.835  -0.135 0.759  -0.135 0.683  -0.135 0.608  -0.135 0.532  -0.135 0.456  -0.135 0.381  -0.135 0.305  -0.102 0.243  -0.048 0.189  0.005 0.136  0.059 0.082  0.086 0.018  0.086 -0.058  0.086 -0.134  0.086 -0.209  0.086 -0.285  0.086 -0.361  0.086 -0.436  0.086 -0.512  0.086 -0.588  0.086 -0.663  0.086 -0.739  0.086 -0.815  0.131 -0.871  0.185 -0.925  0.238 -0.978  0.292 -1.032  0.306 -1.102  0.306 -1.177  0.306 -1.253  0.306 -1.329  0.306 -1.404  0.306 -1.480  0.306 -1.556  0.306 -1.631  0.306 -1.707
3#apa#apa01#app0147/C  -0.324 1.346  -0.324 1.251  -0.332 1.164  -0.427 1.164  -0.517 1.152  -0.584 1.085  -0.651 1.018  -0.686 0.938  -0.686 0.843  -0.724 0.764  -0.792 0.696  -0.859 0.629  -0.868 0.538  -0.868 0.443  -0.868 0.348  -0.868 0.253  -0.868 0.158  -0.858 0.067  -0.791 -0.000  -0.724 -0.067  -0.645 -0.105  -0.550 -0.105  -0.469 -0.140  -0.402 -0.207  -0.335 -0.275  -0.245 -0.286  -0.150 -0.286  -0.142 -0.373  -0.142 -0.468  -0.047 -0.468  0.048 -0.468  0.143 -0.468  0.238 -0.468  0.333 -0.468  0.428 -0.468  0.523 -0.468  0.618 -0.468  0.713 -0.468  0.764 -0.511  0.764 -0.606  0.816 -0.649  0.911 -0.649  1.006 -0.649  1.101 -0.649  1.196 -0.649  1.291 -0.649  1.386 -0.649  1.481 -0.649  1.490 -0.562  1.490 -0.468
3#apa#apa01#app0147/K  -0.832 1.431  -0.832 1.202  -0.832 0.973  -0.832 0.745  -0.832 0.516  -0.706 0.413  -0.662 0.228  -0.662 -0.001  -0.662 -0.230  -0.662 -0.459  -0.604 -0.663  -0.492 -0.846  -0.492 -1.075  -0.492 -1.303  -0.413 -1.453  -0.323 -1.315  -0.264 -1.095  -0.196 -0.877  -0.127 -0.659  -0.059 -0.440  0.009 -0.222  0.077 -0.004  0.146 0.215  0.214 0.433  0.282 0.651  0.350 0.870  0.419 1.088  0.487 1.307  0.456 1.361  0.356 1.174  0.209 1.092  0.161 0.896  -0.001 0.735  -0.153 0.569  -0.205 0.361  -0.366 0.200  -0.442 0.074  -0.213 0.074  0.016 0.074  0.245 0.074  0.356 -0.044  0.526 -0.103  0.592 -0.266  0.695 -0.391  0.826 -0.566  0.868 -0.775  1.035 -0.837  1.156 -0.944  1.332 -1.072  1.544 -1.114
3#apa#apa01#app0147/Y  -1.683 0.502  -1.528 0.502  -1.373 0.502  -1.335 0.619  -1.335 0.577  -1.255 0.502  -1.161 0.440  -1.161 0.285  -1.137 0.154  -0.984 0.150  -0.874 0.040  -0.744 -0.020  -0.640 -0.071  -0.607 -0.194  -0.452 -0.194  -0.297 -0.194  -0.141 -0.194  0.014 -0.194  0.136 -0.114  0.246 -0.004  0.355 0.105  0.465 0.215  0.575 0.325  0.685 0.435  0.794 0.544  0.904 0.654  1.014 0.764  1.065 0.849  0.926 0.834  0.926 0.679  0.774 0.676  0.658 0.581  0.578 0.459  0.554 0.328  0.404 0.323  0.404 0.168  0.304 0.054  0.230 -0.071  0.230 -0.226  0.243 -0.368  0.398 -0.368  0.404 -0.518  0.404 -0.673  0.404 -0.828  0.404 -0.983  0.404 -1.138  0.404 -1.294  0.404 -1.449  0.423 -1.585  0.578 -1.585
3#apa#apa01#app0147/J  0.136 0.730  0.167 0.600  0.266 0.538  0.266 0.377  0.266 0.216  0.266 0.054  0.266 -0.107  0.266 -0.268  0.384 -0.312  0.389 -0.459  0.317 -0.603  0.266 -0.752  0.266 -0.914  0.266 -1.075  0.136 -1.106  0.093 -1.224  -0.068 -1.224  -0.229 -1.224  -0.391 -1.224  -0.515 -1.187  -0.583 -1.094  -0.646 -0.995  -0.775 -0.963  -0.776 -0.803  -0.776 -0.642  -0.776 -0.480  -0.776 -0.319  -0.776 -0.158  -0.776 0.004  -0.776 0.165  -0.776 0.326  -0.776 0.487  -0.776 0.649  -0.776 0.810  -0.665 0.861  -0.507 0.853  -0.393 0.739  -0.236 0.730  -0.074 0.730  0.087 0.730  0.248 0.730  0.410 0.730  0.571 0.730  0.732 0.730  0.893 0.730  1.055 0.730  1.216 0.730  1.377 0.730  1.439 0.830  1.569 0.861
3#apa#apa01#app0147/U  -0.844 1.147  -0.844 1.028  -0.844 0.909  -0.844 0.791  -0.844 0.672  -0.844 0.553  -0.844 0.435  -0.844 0.316  -0.844 0.197  -0.844 0.079  -0.844 -0.040  -0.844 -0.159  -0.844 -0.277  -0.844 -0.396  -0.844 -0.515  -0.807 -0.618  -0.723 -0.702  -0.639 -0.786  -0.555 -0.870  -0.460 -0.927  -0.341 -0.927  -0.223 -0.927  -0.104 -0.927  0.015 -0.927  0.133 -0.927  0.193 -0.867  0.198 -0.754  0.316 -0.754  0.365 -0.684  0.381 -0.581  0.500 -0.581  0.538 -0.501  0.557 -0.390  0.641 -0.306  0.711 -0.216  0.711 -0.098  0.711 0.021  0.732 0.131  0.816 0.215  0.884 0.305  0.884 0.424  0.884 0.543  0.884 0.661  0.884 0.780  0.884 0.899  0.840 0.974  0.721 0.974  0.711 1.082  0.711 1.201  0.711 1.319
3#apa#apa01#app0147/I  -0.535 1.423  -0.460 1.423  -0.386 1.423  -0.311 1.423  -0.236 1.423  -0.197 1.387  -0.197 1.312  -0.197 1.238  -0.197 1.163  -0.197 1.088  -0.197 1.013  -0.197 0.939  -0.197 0.864  -0.197 0.789  -0.197 0.714  -0.197 0.640  -0.197 0.565  -0.197 0.490  -0.197 0.415  -0.149 0.360  -0.097 0.307  -0.044 0.255  0.009 0.202  0.062 0.149  0.115 0.096  0.141 0.032  0.141 -0.043  0.141 -0.117  0.141 -0.192  0.141 -0.267  0.141 -0.342  0.141 -0.416  0.141 -0.491  0.141 -0.566  0.141 -0.641  0.141 -0.715  0.141 -0.790  0.141 -0.865  0.141 -0.940  0.141 -1.014  0.141 -1.089  0.141 -1.164  0.141 -1.239  0.162 -1.305  0.215 -1.357  0.268 -1.410  0.321 -1.463  0.374 -1.516  0.427 -1.569  0.480 -1.622
3#apa#apa01#app0147/C  -0.153 1.397  -0.153 1.290  -0.187 1.218  -0.294 1.218  -0.381 1.169  -0.457 1.093  -0.511 1.009  -0.511 0.902  -0.557 0.814  -0.632 0.738  -0.690 0.655  -0.690 0.548  -0.690 0.441  -0.690 0.334  -0.690 0.227  -0.713 0.142  -0.820 0.142  -0.870 0.086  -0.870 -0.021  -0.778 -0.037  -0.690 -0.056  -0.690 -0.163  -0.690 -0.270  -0.690 -0.377  -0.602 -0.395  -0.495 -0.395  -0.388 -0.395  -0.332 -0.446  -0.332 -0.553  -0.246 -0.575  -0.139 -0.575  -0.032 -0.575  0.075 -0.575  0.182 -0.575  0.289 -0.575  0.396 -0.575  0.502 -0.575  0.609 -0.575  0.716 -0.575  0.823 -0.575  0.930 -0.575  1.037 -0.575  1.132 -0.545  1.207 -0.469  1.284 -0.395  1.391 -0.395  1.460 -0.358  1.460 -0.251  1.533 -0.216  1.640 -0.216
3#apa#apa01#app0147/E  -0.965 0.819  -0.729 0.819  -0.492 0.819  -0.418 0.657  -0.182 0.657  -0.107 0.819  0.129 0.819  0.355 0.843  0.534 0.981  0.771 0.981  0.845 1.143  0.978 1.040  0.804 0.952  0.571 0.913  0.338 0.874  0.105 0.835  -0.128 0.796  -0.362 0.758  -0.595 0.719  -0.828 0.680  -0.896 0.588  -0.803 0.391  -0.803 0.154  -0.803 -0.082  -0.803 -0.318  -0.803 -0.555  -0.651 -0.639  -0.641 -0.865  -0.641 -1.101  -0.428 -1.124  -0.191 -1.124  0.045 -1.124  0.281 -1.124  0.510 -1.107  0.687 -0.962  0.923 -0.962  1.159 -0.962  1.218 -0.924  1.002 -0.826  0.787 -0.728  0.572 -0.631  0.357 -0.533  0.142 -0.435  -0.073 -0.337  -0.288 -0.240  -0.452 -0.153  -0.317 -0.254  -0.142 -0.315  0.094 -0.315  0.331 -0.315
