3#apb#apb35#app3577/O  0.049 0.932  -0.079 0.810  -0.168 0.655  -0.260 0.501  -0.349 0.346  -0.429 0.186  -0.506 0.025  -0.573 -0.141  -0.640 -0.306  -0.689 -0.478  -0.738 -0.650  -0.766 -0.827  -0.786 -1.004  -0.782 -1.183  -0.743 -1.355  -0.649 -1.504  -0.489 -1.546  -0.337 -1.461  -0.200 -1.347  -0.069 -1.225  0.035 -1.080  0.139 -0.934  0.235 -0.784  0.329 -0.631  0.422 -0.479  0.502 -0.319  0.573 -0.155  0.644 0.009  0.710 0.175  0.752 0.349  0.794 0.522  0.829 0.697  0.832 0.876  0.834 1.055  0.776 1.220  0.686 1.370  0.529 1.439  0.363 1.374  0.219 1.271  0.083 1.154  -0.001 0.997  -0.085 0.839  -0.136 0.667  -0.187 0.496  -0.211 0.320  -0.225 0.141  -0.194 -0.031  -0.134 -0.200  -0.021 -0.333  0.111 -0.453
3#apb#apb35#app3577/t  0.465 1.109  0.338 0.947  0.199 0.764  0.053 0.586  -0.085 0.402  -0.230 0.224  -0.364 0.039  -0.463 -0.169  -0.555 -0.380  -0.606 -0.604  -0.610 -0.833  -0.469 -1.000  -0.250 -1.044  -0.023 -1.007  0.203 -0.962  0.428 -0.914  0.651 -0.861  0.854 -0.758  1.049 -0.636  1.242 -0.510  1.398 -0.370  1.173 -0.321  0.948 -0.272  0.724 -0.223  0.499 -0.174  0.274 -0.125  0.049 -0.077  -0.175 -0.028  -0.400 0.021  -0.625 0.070  -0.850 0.119  -1.074 0.168  -1.299 0.217  -1.524 0.266  -1.750 0.307  -1.553 0.347  -1.324 0.367  -1.095 0.386  -0.865 0.401  -0.636 0.416  -0.406 0.428  -0.176 0.433  0.054 0.438  0.284 0.440  0.514 0.440  0.744 0.434  0.972 0.406  1.201 0.381  1.430 0.361  1.659 0.348
3#apb#apb35#app3577/Q  0.206 0.903  0.059 0.871  -0.066 0.703  -0.201 0.542  -0.328 0.376  -0.450 0.205  -0.572 0.034  -0.694 -0.136  -0.808 -0.312  -0.920 -0.490  -1.019 -0.675  -1.085 -0.873  -1.085 -1.080  -0.930 -1.205  -0.722 -1.193  -0.518 -1.142  -0.331 -1.049  -0.154 -0.937  0.013 -0.811  0.157 -0.658  0.291 -0.497  0.410 -0.325  0.521 -0.147  0.616 0.040  0.711 0.227  0.787 0.423  0.860 0.619  0.926 0.818  0.964 1.024  0.972 1.228  0.885 1.413  0.701 1.485  0.501 1.422  0.327 1.304  0.162 1.176  0.013 1.029  -0.076 0.839  -0.128 0.637  -0.166 0.431  -0.154 0.221  -0.087 0.030  0.032 -0.140  0.211 -0.250  0.168 -0.378  0.010 -0.516  -0.133 -0.642  -0.064 -0.838  -0.016 -1.042  0.044 -1.243  0.157 -1.420
3#apb#apb35#app3577/u  -0.713 0.447  -0.641 0.591  -0.554 0.684  -0.645 0.551  -0.736 0.418  -0.814 0.277  -0.893 0.137  -0.980 0.002  -1.067 -0.134  -1.145 -0.275  -1.222 -0.416  -1.299 -0.558  -1.338 -0.707  -1.286 -0.852  -1.145 -0.896  -0.989 -0.865  -0.834 -0.818  -0.691 -0.748  -0.554 -0.663  -0.420 -0.575  -0.295 -0.473  -0.170 -0.371  -0.049 -0.266  0.067 -0.154  0.184 -0.043  0.296 0.072  0.397 0.197  0.499 0.322  0.601 0.447  0.695 0.577  0.788 0.709  0.881 0.840  0.973 0.973  1.073 1.098  1.049 1.099  0.967 0.961  0.899 0.815  0.840 0.665  0.784 0.514  0.733 0.362  0.682 0.209  0.617 0.062  0.551 -0.085  0.522 -0.242  0.505 -0.402  0.533 -0.560  0.611 -0.690  0.750 -0.751  0.911 -0.744  1.072 -0.738
3#apb#apb35#app3577/i  -1.462 -0.842  -1.363 -0.766  -1.244 -0.687  -1.137 -0.588  -1.011 -0.512  -0.885 -0.438  -0.762 -0.360  -0.638 -0.281  -0.531 -0.182  -0.428 -0.079  -0.325 0.026  -0.225 0.132  -0.121 0.235  -0.015 0.331  -0.068 0.348  -0.159 0.234  -0.258 0.127  -0.361 0.023  -0.459 -0.085  -0.547 -0.203  -0.622 -0.327  -0.673 -0.464  -0.674 -0.610  -0.602 -0.733  -0.464 -0.756  -0.318 -0.746  -0.174 -0.723  -0.030 -0.700  0.115 -0.675  0.259 -0.650  0.403 -0.625  0.547 -0.598  0.691 -0.571  0.752 -0.473  0.758 -0.327  0.764 -0.181  0.770 -0.034  0.776 0.112  0.782 0.258  0.788 0.404  0.794 0.550  0.800 0.697  0.805 0.843  0.811 0.989  0.817 1.135  0.823 1.281  0.829 1.428  0.835 1.574  0.841 1.720  0.796 1.768
3#apb#apb35#app3577/n  -0.479 0.761  -0.406 0.760  -0.447 0.617  -0.496 0.477  -0.578 0.351  -0.659 0.226  -0.732 0.096  -0.799 -0.038  -0.866 -0.171  -0.944 -0.298  -1.030 -0.420  -1.116 -0.543  -1.200 -0.666  -1.253 -0.800  -1.223 -0.793  -1.123 -0.682  -1.025 -0.569  -0.928 -0.456  -0.830 -0.343  -0.721 -0.240  -0.613 -0.137  -0.505 -0.034  -0.397 0.070  -0.292 0.175  -0.186 0.281  -0.080 0.387  0.030 0.487  0.147 0.580  0.264 0.673  0.381 0.766  0.510 0.841  0.641 0.912  0.759 0.891  0.780 0.747  0.739 0.604  0.696 0.461  0.646 0.320  0.596 0.179  0.592 0.030  0.596 -0.119  0.617 -0.267  0.667 -0.398  0.783 -0.493  0.912 -0.559  1.058 -0.587  1.205 -0.615  1.353 -0.624  1.503 -0.618  1.652 -0.612  1.801 -0.607
3#apb#apb35#app3577/n  -0.411 0.731  -0.507 0.619  -0.606 0.511  -0.690 0.390  -0.777 0.271  -0.867 0.154  -0.956 0.037  -1.046 -0.080  -1.126 -0.203  -1.195 -0.333  -1.279 -0.454  -1.336 -0.588  -1.271 -0.544  -1.163 -0.444  -1.079 -0.322  -0.996 -0.201  -0.886 -0.102  -0.777 -0.004  -0.665 0.093  -0.550 0.185  -0.435 0.277  -0.320 0.369  -0.199 0.452  -0.076 0.534  0.048 0.611  0.187 0.660  0.328 0.702  0.475 0.713  0.575 0.646  0.538 0.509  0.475 0.376  0.409 0.244  0.343 0.113  0.253 -0.004  0.173 -0.127  0.128 -0.264  0.160 -0.406  0.292 -0.472  0.433 -0.489  0.579 -0.473  0.726 -0.457  0.872 -0.441  1.019 -0.426  1.165 -0.411  1.312 -0.396  1.457 -0.373  1.601 -0.342  1.745 -0.310  1.889 -0.278  2.033 -0.247
3#apb#apb35#app3577/R  -0.164 0.425  -0.234 0.251  -0.311 0.080  -0.389 -0.092  -0.465 -0.263  -0.538 -0.436  -0.613 -0.608  -0.695 -0.777  -0.781 -0.944  -0.876 -1.106  -0.950 -1.138  -0.917 -0.953  -0.855 -0.776  -0.789 -0.600  -0.721 -0.425  -0.643 -0.255  -0.555 -0.089  -0.468 0.077  -0.372 0.239  -0.277 0.401  -0.181 0.563  -0.076 0.718  0.030 0.874  0.144 1.022  0.277 1.155  0.409 1.288  0.575 1.374  0.751 1.428  0.934 1.411  1.056 1.283  1.071 1.098  1.049 0.912  1.001 0.732  0.928 0.558  0.822 0.404  0.697 0.264  0.552 0.147  0.385 0.063  0.204 0.019  0.024 -0.033  -0.139 -0.119  -0.222 -0.285  -0.221 -0.467  -0.143 -0.636  -0.042 -0.794  0.071 -0.944  0.199 -1.080  0.338 -1.207  0.486 -1.322  0.636 -1.435
3#apb#apb35#app3577/u  -1.829 -0.800  -1.705 -0.730  -1.602 -0.613  -1.480 -0.516  -1.358 -0.418  -1.241 -0.315  -1.125 -0.211  -1.007 -0.108  -0.889 -0.007  -0.771 0.095  -0.654 0.198  -0.548 0.313  -0.442 0.427  -0.333 0.539  -0.210 0.633  -0.086 0.729  -0.121 0.617  -0.201 0.483  -0.277 0.347  -0.349 0.209  -0.424 0.072  -0.499 -0.065  -0.559 -0.209  -0.574 -0.355  -0.530 -0.505  -0.380 -0.544  -0.227 -0.517  -0.081 -0.463  0.060 -0.396  0.193 -0.316  0.324 -0.231  0.448 -0.136  0.570 -0.039  0.689 0.062  0.799 0.172  0.909 0.282  1.015 0.397  1.120 0.512  1.232 0.620  1.354 0.718  1.277 0.634  1.198 0.500  1.124 0.363  1.057 0.222  1.003 0.076  0.953 -0.072  0.940 -0.227  0.973 -0.376  1.062 -0.492  1.204 -0.558
3#apb#apb35#app3577/s  -1.434 -0.958  -1.328 -0.860  -1.235 -0.748  -1.131 -0.648  -1.022 -0.552  -0.919 -0.450  -0.829 -0.336  -0.739 -0.222  -0.650 -0.108  -0.549 -0.004  -0.442 0.094  -0.334 0.192  -0.227 0.289  -0.120 0.387  -0.017 0.489  0.086 0.592  0.188 0.695  0.291 0.797  0.394 0.900  0.496 1.003  0.599 1.105  0.701 1.208  0.804 1.310  0.916 1.368  0.890 1.235  0.816 1.109  0.757 0.978  0.713 0.839  0.669 0.701  0.632 0.561  0.597 0.420  0.560 0.280  0.518 0.141  0.480 0.001  0.460 -0.143  0.441 -0.287  0.423 -0.431  0.405 -0.575  0.378 -0.718  0.351 -0.860  0.304 -0.996  0.193 -1.074  0.054 -1.070  -0.085 -1.029  -0.221 -0.978  -0.351 -0.914  -0.477 -0.841  -0.587 -0.751  -0.669 -0.632  -0.751 -0.512
3#apb#apb35#app3577/s  -1.339 -0.897  -1.255 -0.789  -1.167 -0.683  -1.078 -0.579  -0.978 -0.485  -0.873 -0.397  -0.768 -0.308  -0.670 -0.212  -0.573 -0.115  -0.476 -0.018  -0.379 0.079  -0.282 0.176  -0.185 0.273  -0.088 0.370  0.010 0.467  0.105 0.566  0.201 0.664  0.296 0.763  0.392 0.862  0.488 0.960  0.588 1.054  0.688 1.148  0.794 1.234  0.905 1.315  0.919 1.255  0.893 1.120  0.862 0.986  0.826 0.854  0.772 0.727  0.719 0.601  0.665 0.475  0.611 0.348  0.561 0.221  0.517 0.090  0.474 -0.040  0.427 -0.169  0.368 -0.293  0.309 -0.417  0.248 -0.540  0.185 -0.661  0.121 -0.783  0.034 -0.888  -0.063 -0.985  -0.174 -1.065  -0.292 -1.131  -0.428 -1.154  -0.554 -1.110  -0.675 -1.046  -0.785 -0.964  -0.895 -0.882
3#apb#apb35#app3577/e  -1.639 -1.159  -1.524 -1.064  -1.393 -0.993  -1.263 -0.921  -1.133 -0.848  -1.002 -0.777  -0.862 -0.726  -0.722 -0.674  -0.588 -0.612  -0.457 -0.541  -0.326 -0.470  -0.195 -0.398  -0.065 -0.326  0.065 -0.253  0.195 -0.180  0.319 -0.098  0.438 -0.008  0.556 0.082  0.673 0.175  0.781 0.277  0.890 0.380  0.997 0.483  1.087 0.601  1.178 0.720  1.234 0.850  1.225 0.996  1.129 1.097  0.980 1.111  0.838 1.073  0.698 1.024  0.560 0.970  0.436 0.886  0.313 0.802  0.190 0.718  0.069 0.632  -0.049 0.541  -0.167 0.449  -0.273 0.346  -0.365 0.229  -0.457 0.112  -0.529 -0.015  -0.570 -0.159  -0.562 -0.302  -0.518 -0.444  -0.392 -0.507  -0.251 -0.556  -0.107 -0.592  0.040 -0.618  0.186 -0.645  0.333 -0.671
3#apb#apb35#app3577/l  -1.352 -1.086  -1.224 -1.018  -1.095 -0.952  -0.963 -0.890  -0.833 -0.826  -0.704 -0.759  -0.575 -0.691  -0.454 -0.611  -0.333 -0.530  -0.212 -0.449  -0.100 -0.357  0.012 -0.265  0.125 -0.172  0.233 -0.076  0.341 0.022  0.448 0.119  0.556 0.217  0.657 0.321  0.756 0.428  0.854 0.535  0.936 0.653  0.999 0.784  1.063 0.915  1.118 1.049  1.155 1.188  1.053 1.248  0.915 1.202  0.788 1.133  0.660 1.064  0.541 0.981  0.427 0.891  0.313 0.800  0.207 0.701  0.102 0.600  -0.002 0.499  -0.103 0.395  -0.202 0.288  -0.301 0.181  -0.389 0.067  -0.461 -0.059  -0.532 -0.186  -0.595 -0.316  -0.632 -0.456  -0.663 -0.597  -0.636 -0.740  -0.599 -0.878  -0.508 -0.991  -0.403 -1.084  -0.264 -1.125  -0.124 -1.166
3#apb#apb35#app3577/l  -1.257 -1.122  -1.145 -1.020  -1.018 -0.939  -0.882 -0.871  -0.755 -0.791  -0.634 -0.699  -0.513 -0.607  -0.389 -0.520  -0.265 -0.433  -0.141 -0.346  -0.027 -0.246  0.088 -0.147  0.202 -0.047  0.317 0.051  0.440 0.140  0.563 0.229  0.685 0.318  0.797 0.419  0.885 0.542  0.973 0.665  1.058 0.791  1.116 0.930  1.164 1.072  1.131 1.205  0.991 1.224  0.844 1.187  0.698 1.147  0.552 1.107  0.424 1.028  0.300 0.940  0.178 0.851  0.071 0.743  -0.036 0.636  -0.144 0.529  -0.240 0.412  -0.335 0.294  -0.430 0.176  -0.505 0.045  -0.575 -0.090  -0.645 -0.224  -0.672 -0.373  -0.697 -0.523  -0.662 -0.665  -0.600 -0.803  -0.498 -0.908  -0.372 -0.993  -0.235 -1.047  -0.085 -1.068  0.065 -1.088  0.216 -1.108
