2#apb#apb09#app0903/P  -0.426 0.409  -0.411 0.230  -0.411 0.051  -0.411 -0.128  -0.411 -0.307  -0.411 -0.486  -0.421 -0.664  -0.435 -0.843  -0.442 -1.021  -0.442 -1.200  -0.420 -1.378  -0.454 -1.452  -0.496 -1.278  -0.538 -1.104  -0.573 -0.929  -0.590 -0.750  -0.608 -0.572  -0.620 -0.394  -0.629 -0.215  -0.639 -0.036  -0.639 0.142  -0.615 0.319  -0.590 0.497  -0.541 0.668  -0.482 0.837  -0.373 0.977  -0.255 1.112  -0.097 1.195  0.064 1.270  0.243 1.277  0.421 1.283  0.580 1.200  0.738 1.117  0.860 0.986  0.979 0.853  1.077 0.704  1.167 0.549  1.209 0.377  1.224 0.200  1.201 0.023  1.093 -0.119  0.961 -0.233  0.799 -0.309  0.631 -0.372  0.463 -0.431  0.285 -0.452  0.107 -0.462  -0.069 -0.431  -0.241 -0.383  -0.411 -0.326
2#apb#apb09#app0903/s  0.450 1.014  0.328 1.014  0.205 1.014  0.083 1.008  -0.039 1.002  -0.162 0.996  -0.283 0.980  -0.404 0.964  -0.526 0.947  -0.644 0.917  -0.758 0.874  -0.873 0.831  -0.973 0.760  -1.070 0.692  -1.002 0.590  -0.916 0.512  -0.800 0.473  -0.684 0.434  -0.566 0.404  -0.445 0.384  -0.324 0.364  -0.203 0.343  -0.085 0.311  0.032 0.274  0.148 0.237  0.264 0.196  0.373 0.142  0.483 0.087  0.591 0.029  0.681 -0.053  0.771 -0.136  0.853 -0.227  0.930 -0.322  0.951 -0.435  0.941 -0.557  0.880 -0.659  0.804 -0.755  0.727 -0.850  0.632 -0.927  0.536 -1.003  0.438 -1.076  0.325 -1.122  0.211 -1.167  0.092 -1.194  -0.029 -1.209  -0.151 -1.225  -0.272 -1.245  -0.391 -1.249  -0.509 -1.214  -0.621 -1.166
2#apb#apb09#app0903/i  0.088 1.692  0.088 1.623  0.091 1.554  0.098 1.485  0.105 1.415  0.112 1.346  0.119 1.277  0.118 1.208  0.114 1.139  0.110 1.070  0.106 1.000  0.102 0.931  0.098 0.862  0.094 0.793  0.090 0.723  0.084 0.654  0.077 0.585  0.070 0.516  0.062 0.447  0.055 0.378  0.048 0.309  0.041 0.240  0.033 0.171  0.026 0.102  0.018 0.033  0.009 -0.035  -0.000 -0.104  -0.010 -0.173  -0.019 -0.241  -0.028 -0.310  -0.038 -0.379  -0.047 -0.448  -0.057 -0.516  -0.066 -0.585  -0.075 -0.654  -0.082 -0.723  -0.087 -0.792  -0.091 -0.861  -0.096 -0.931  -0.101 -1.000  -0.105 -1.069  -0.110 -1.138  -0.115 -1.207  -0.119 -1.277  -0.124 -1.346  -0.128 -1.415  -0.133 -1.484  -0.138 -1.554  -0.142 -1.623  -0.147 -1.692
2#apb#apb09#app0903/s  0.823 1.029  0.692 1.029  0.562 1.029  0.432 1.029  0.301 1.029  0.171 1.025  0.041 1.020  -0.089 1.015  -0.219 1.008  -0.345 0.975  -0.472 0.942  -0.598 0.909  -0.721 0.867  -0.843 0.821  -0.940 0.752  -0.931 0.638  -0.838 0.548  -0.726 0.483  -0.613 0.418  -0.498 0.358  -0.374 0.318  -0.249 0.278  -0.125 0.238  -0.003 0.193  0.116 0.140  0.235 0.088  0.354 0.035  0.469 -0.027  0.580 -0.095  0.691 -0.163  0.775 -0.259  0.843 -0.370  0.883 -0.490  0.893 -0.620  0.849 -0.735  0.775 -0.842  0.682 -0.927  0.563 -0.979  0.443 -1.032  0.315 -1.052  0.186 -1.071  0.057 -1.089  -0.073 -1.102  -0.203 -1.115  -0.332 -1.125  -0.460 -1.099  -0.588 -1.073  -0.713 -1.041  -0.830 -0.983  -0.946 -0.924
2#apb#apb09#app0903/t  -0.320 1.649  -0.158 1.624  -0.049 1.494  0.026 1.334  0.094 1.172  0.107 0.995  0.120 0.819  0.133 0.642  0.147 0.466  0.161 0.289  0.174 0.113  0.166 -0.064  0.159 -0.241  0.150 -0.418  0.142 -0.595  0.133 -0.771  0.133 -0.948  0.128 -1.125  0.099 -1.299  0.062 -1.473  0.021 -1.610  -0.060 -1.453  -0.140 -1.296  -0.221 -1.138  -0.302 -0.981  -0.383 -0.823  -0.464 -0.666  -0.545 -0.509  -0.626 -0.351  -0.707 -0.194  -0.788 -0.036  -0.869 0.121  -0.950 0.278  -1.031 0.436  -0.963 0.492  -0.792 0.448  -0.617 0.424  -0.442 0.400  -0.269 0.363  -0.098 0.318  0.074 0.274  0.247 0.239  0.423 0.219  0.599 0.199  0.775 0.186  0.952 0.186  1.129 0.186  1.306 0.192  1.482 0.209  1.658 0.227
2#apb#apb09#app0903/a  0.785 0.578  0.774 0.724  0.742 0.856  0.616 0.931  0.478 0.971  0.334 0.995  0.191 0.997  0.050 0.958  -0.091 0.920  -0.230 0.877  -0.368 0.827  -0.505 0.777  -0.629 0.706  -0.735 0.606  -0.841 0.505  -0.946 0.404  -1.025 0.281  -1.103 0.157  -1.181 0.034  -1.215 -0.105  -1.229 -0.250  -1.243 -0.395  -1.169 -0.521  -1.094 -0.646  -0.976 -0.721  -0.841 -0.778  -0.705 -0.830  -0.559 -0.830  -0.413 -0.830  -0.267 -0.830  -0.126 -0.796  0.015 -0.756  0.155 -0.717  0.284 -0.653  0.403 -0.568  0.521 -0.482  0.620 -0.377  0.711 -0.262  0.785 -0.138  0.834 -0.001  0.872 0.140  0.897 0.284  0.882 0.240  0.860 0.096  0.860 -0.050  0.860 -0.196  0.899 -0.336  0.943 -0.476  1.018 -0.599  1.104 -0.717
2#apb#apb09#app0903/n  -1.082 0.363  -1.075 0.251  -1.068 0.139  -1.052 0.028  -1.023 -0.080  -0.994 -0.189  -0.974 -0.299  -0.956 -0.410  -0.937 -0.520  -0.916 -0.631  -0.894 -0.741  -0.869 -0.850  -0.822 -0.938  -0.740 -0.898  -0.708 -0.790  -0.670 -0.685  -0.628 -0.580  -0.587 -0.476  -0.546 -0.371  -0.505 -0.267  -0.461 -0.164  -0.415 -0.061  -0.370 0.041  -0.324 0.144  -0.279 0.247  -0.204 0.330  -0.127 0.411  -0.050 0.493  0.030 0.572  0.126 0.629  0.223 0.686  0.320 0.742  0.429 0.766  0.539 0.787  0.648 0.793  0.754 0.755  0.848 0.700  0.921 0.614  0.993 0.529  1.050 0.433  1.095 0.331  1.140 0.228  1.178 0.122  1.214 0.016  1.249 -0.091  1.272 -0.200  1.287 -0.311  1.302 -0.423  1.319 -0.534  1.336 -0.644
2#apb#apb09#app0903/t  -0.197 1.856  -0.152 1.695  -0.095 1.535  -0.046 1.370  -0.004 1.204  0.023 1.035  0.049 0.866  0.062 0.695  0.070 0.524  0.077 0.353  0.088 0.182  0.105 0.011  0.122 -0.159  0.121 -0.330  0.114 -0.502  0.106 -0.673  0.114 -0.844  0.127 -1.015  0.127 -1.186  0.127 -1.357  0.127 -1.529  0.132 -1.699  0.098 -1.617  0.028 -1.460  -0.041 -1.303  -0.110 -1.146  -0.180 -0.990  -0.249 -0.833  -0.318 -0.676  -0.388 -0.519  -0.457 -0.363  -0.526 -0.206  -0.595 -0.049  -0.665 0.108  -0.734 0.264  -0.803 0.421  -0.841 0.453  -0.674 0.419  -0.503 0.419  -0.331 0.419  -0.160 0.419  0.012 0.419  0.183 0.419  0.353 0.436  0.524 0.454  0.694 0.473  0.865 0.490  1.036 0.497  1.207 0.505  1.378 0.512
2#apb#apb09#app0903/B  -0.966 0.286  -0.976 0.203  -0.965 0.002  -0.955 -0.199  -0.954 -0.400  -0.945 -0.601  -0.916 -0.800  -0.917 -0.682  -0.942 -0.482  -0.961 -0.282  -0.974 -0.081  -0.967 0.120  -0.947 0.320  -0.884 0.508  -0.797 0.689  -0.649 0.823  -0.484 0.937  -0.304 1.027  -0.109 1.067  0.090 1.088  0.290 1.062  0.465 0.973  0.554 0.808  0.525 0.616  0.428 0.446  0.278 0.313  0.111 0.201  -0.062 0.099  -0.237 0.000  -0.154 0.092  0.036 0.158  0.230 0.210  0.428 0.242  0.628 0.261  0.829 0.261  1.028 0.234  1.206 0.151  1.329 0.000  1.370 -0.191  1.340 -0.387  1.254 -0.569  1.117 -0.714  0.964 -0.845  0.802 -0.962  0.609 -1.019  0.413 -1.060  0.214 -1.075  0.015 -1.049  -0.163 -0.957  -0.327 -0.840
2#apb#apb09#app0903/r  -0.582 0.383  -0.614 0.280  -0.645 0.177  -0.669 0.072  -0.675 -0.036  -0.681 -0.144  -0.688 -0.251  -0.688 -0.360  -0.688 -0.468  -0.688 -0.576  -0.688 -0.684  -0.688 -0.792  -0.685 -0.899  -0.659 -1.004  -0.633 -1.109  -0.622 -1.199  -0.592 -1.095  -0.565 -0.991  -0.539 -0.886  -0.512 -0.781  -0.490 -0.676  -0.474 -0.569  -0.457 -0.462  -0.441 -0.356  -0.425 -0.249  -0.399 -0.145  -0.345 -0.051  -0.292 0.042  -0.238 0.136  -0.185 0.230  -0.112 0.306  -0.021 0.363  0.070 0.421  0.162 0.479  0.254 0.535  0.355 0.573  0.456 0.612  0.557 0.650  0.658 0.689  0.761 0.718  0.866 0.743  0.972 0.767  1.077 0.781  1.183 0.760  1.289 0.739  1.394 0.716  1.499 0.690  1.604 0.664  1.709 0.640  1.815 0.616
2#apb#apb09#app0903/o  -0.322 0.660  -0.377 0.779  -0.508 0.769  -0.624 0.704  -0.741 0.638  -0.829 0.540  -0.910 0.434  -0.988 0.326  -1.040 0.203  -1.092 0.080  -1.107 -0.047  -1.082 -0.179  -1.057 -0.310  -0.987 -0.421  -0.905 -0.526  -0.822 -0.630  -0.714 -0.705  -0.596 -0.767  -0.477 -0.829  -0.357 -0.883  -0.224 -0.883  -0.090 -0.883  0.043 -0.883  0.177 -0.882  0.308 -0.855  0.438 -0.828  0.569 -0.800  0.694 -0.760  0.806 -0.687  0.918 -0.614  1.020 -0.531  1.092 -0.419  1.165 -0.307  1.171 -0.182  1.147 -0.050  1.123 0.081  1.049 0.190  0.967 0.295  0.885 0.401  0.798 0.501  0.686 0.574  0.574 0.647  0.463 0.720  0.348 0.787  0.221 0.829  0.094 0.872  -0.032 0.914  -0.162 0.947  -0.292 0.973  -0.423 0.999
2#apb#apb09#app0903/k  -1.044 1.769  -1.062 1.566  -1.022 1.366  -0.982 1.165  -0.942 0.965  -0.902 0.765  -0.845 0.569  -0.781 0.375  -0.719 0.180  -0.664 -0.016  -0.608 -0.213  -0.535 -0.403  -0.455 -0.591  -0.385 -0.783  -0.343 -0.980  -0.343 -1.184  -0.334 -1.142  -0.217 -0.975  -0.100 -0.808  0.017 -0.640  0.134 -0.473  0.251 -0.305  0.368 -0.138  0.485 0.030  0.602 0.197  0.719 0.364  0.836 0.532  0.953 0.699  0.970 0.725  0.797 0.619  0.605 0.556  0.405 0.516  0.204 0.481  0.002 0.447  -0.199 0.412  -0.401 0.381  -0.604 0.367  -0.494 0.234  -0.321 0.125  -0.147 0.019  0.029 -0.086  0.204 -0.190  0.380 -0.294  0.543 -0.417  0.701 -0.546  0.828 -0.705  0.948 -0.870  1.046 -1.050  1.145 -1.228  1.274 -1.386
2#apb#apb09#app0903/e  -0.866 0.056  -0.719 0.030  -0.573 0.041  -0.428 0.077  -0.282 0.110  -0.136 0.139  0.011 0.169  0.148 0.227  0.286 0.285  0.418 0.353  0.544 0.435  0.669 0.516  0.776 0.620  0.882 0.726  0.897 0.874  0.851 1.012  0.730 1.097  0.597 1.153  0.447 1.153  0.300 1.136  0.156 1.097  0.015 1.052  -0.106 0.963  -0.226 0.874  -0.343 0.782  -0.446 0.674  -0.548 0.565  -0.639 0.448  -0.695 0.310  -0.752 0.172  -0.791 0.030  -0.791 -0.119  -0.791 -0.269  -0.773 -0.417  -0.749 -0.564  -0.697 -0.699  -0.605 -0.817  -0.505 -0.927  -0.379 -1.006  -0.252 -1.085  -0.114 -1.141  0.026 -1.194  0.173 -1.208  0.322 -1.208  0.471 -1.203  0.613 -1.158  0.756 -1.113  0.898 -1.065  1.039 -1.016  1.180 -0.966
2#apb#apb09#app0903/r  -0.589 -0.112  -0.597 -0.214  -0.605 -0.316  -0.597 -0.415  -0.560 -0.510  -0.524 -0.605  -0.505 -0.705  -0.487 -0.805  -0.468 -0.906  -0.434 -1.001  -0.396 -1.096  -0.353 -1.189  -0.295 -1.259  -0.314 -1.184  -0.360 -1.093  -0.392 -0.996  -0.424 -0.899  -0.456 -0.803  -0.471 -0.702  -0.480 -0.601  -0.490 -0.499  -0.499 -0.398  -0.503 -0.296  -0.491 -0.195  -0.479 -0.094  -0.467 0.008  -0.424 0.098  -0.369 0.184  -0.315 0.270  -0.260 0.356  -0.201 0.438  -0.117 0.495  -0.032 0.551  0.053 0.608  0.142 0.657  0.235 0.699  0.328 0.741  0.420 0.783  0.513 0.825  0.613 0.846  0.713 0.867  0.813 0.888  0.912 0.909  1.013 0.925  1.114 0.941  1.214 0.957  1.315 0.971  1.417 0.964  1.519 0.958  1.620 0.951
2#apb#apb09#app0903/A  -0.557 0.512  -0.594 0.396  -0.606 0.157  -0.621 -0.082  -0.642 -0.320  -0.677 -0.556  -0.716 -0.792  -0.746 -1.029  -0.778 -1.114  -0.759 -0.876  -0.734 -0.638  -0.710 -0.401  -0.659 -0.167  -0.603 0.065  -0.546 0.297  -0.473 0.525  -0.397 0.751  -0.316 0.976  -0.209 1.190  -0.087 1.393  0.075 1.568  0.267 1.709  0.477 1.632  0.569 1.420  0.634 1.190  0.694 0.959  0.742 0.725  0.781 0.489  0.815 0.252  0.846 0.015  0.871 -0.222  0.885 -0.461  0.885 -0.700  0.885 -0.939  0.840 -1.173  0.712 -1.236  0.526 -1.086  0.340 -0.936  0.153 -0.787  -0.033 -0.637  -0.220 -0.488  -0.406 -0.338  -0.593 -0.188  -0.617 -0.133  -0.379 -0.150  -0.141 -0.164  0.098 -0.172  0.337 -0.172  0.575 -0.150  0.811 -0.116
2#apb#apb09#app0903/r  -0.768 0.998  -0.744 0.876  -0.719 0.754  -0.695 0.632  -0.672 0.510  -0.650 0.388  -0.627 0.266  -0.607 0.143  -0.593 0.019  -0.578 -0.104  -0.563 -0.228  -0.547 -0.351  -0.515 -0.471  -0.483 -0.591  -0.451 -0.711  -0.421 -0.832  -0.401 -0.955  -0.381 -1.077  -0.359 -1.200  -0.335 -1.322  -0.272 -1.413  -0.269 -1.288  -0.259 -1.164  -0.250 -1.040  -0.239 -0.917  -0.209 -0.796  -0.179 -0.675  -0.148 -0.555  -0.118 -0.434  -0.088 -0.313  -0.046 -0.196  -0.003 -0.080  0.040 0.037  0.083 0.154  0.126 0.270  0.194 0.374  0.267 0.475  0.339 0.576  0.411 0.677  0.506 0.752  0.618 0.807  0.729 0.863  0.841 0.917  0.955 0.966  1.069 0.982  1.184 0.933  1.302 0.905  1.427 0.905  1.509 0.815  1.588 0.719
2#apb#apb09#app0903/t  -0.464 1.874  -0.348 1.821  -0.277 1.667  -0.229 1.504  -0.181 1.340  -0.133 1.177  -0.085 1.013  -0.030 0.852  0.035 0.695  0.100 0.537  0.155 0.376  0.209 0.215  0.260 0.052  0.291 -0.115  0.322 -0.283  0.356 -0.450  0.389 -0.617  0.409 -0.786  0.419 -0.956  0.400 -1.125  0.377 -1.294  0.349 -1.462  0.270 -1.606  0.175 -1.497  0.083 -1.353  -0.010 -1.210  -0.102 -1.067  -0.194 -0.923  -0.286 -0.780  -0.378 -0.637  -0.470 -0.493  -0.562 -0.350  -0.654 -0.206  -0.746 -0.063  -0.838 0.080  -0.930 0.224  -0.934 0.302  -0.768 0.267  -0.598 0.256  -0.428 0.245  -0.258 0.238  -0.088 0.231  0.082 0.223  0.252 0.233  0.422 0.247  0.592 0.261  0.761 0.281  0.927 0.317  1.094 0.353  1.260 0.390
2#apb#apb09#app0903/D  -0.741 0.321  -0.699 0.223  -0.690 0.066  -0.683 -0.092  -0.683 -0.249  -0.665 -0.404  -0.621 -0.555  -0.600 -0.711  -0.568 -0.774  -0.621 -0.626  -0.674 -0.477  -0.727 -0.329  -0.780 -0.181  -0.833 -0.032  -0.886 0.116  -0.939 0.264  -0.991 0.413  -1.020 0.560  -0.924 0.681  -0.795 0.771  -0.660 0.852  -0.505 0.873  -0.348 0.888  -0.191 0.894  -0.034 0.894  0.124 0.892  0.281 0.879  0.438 0.865  0.585 0.820  0.725 0.748  0.863 0.672  0.984 0.570  1.092 0.459  1.170 0.322  1.232 0.180  1.260 0.025  1.246 -0.129  1.204 -0.280  1.131 -0.420  1.055 -0.558  0.966 -0.687  0.856 -0.795  0.721 -0.877  0.579 -0.944  0.424 -0.970  0.268 -0.962  0.117 -0.925  -0.021 -0.849  -0.149 -0.758  -0.273 -0.662
2#apb#apb09#app0903/i  0.235 1.200  0.159 1.189  0.082 1.178  0.006 1.167  -0.071 1.165  -0.106 1.205  -0.038 1.242  0.030 1.279  0.098 1.315  0.104 1.262  0.093 1.186  0.082 1.109  0.072 1.033  0.061 0.956  0.050 0.879  0.039 0.803  0.028 0.726  0.018 0.650  0.007 0.573  -0.004 0.497  -0.015 0.420  -0.026 0.344  -0.037 0.267  -0.047 0.191  -0.058 0.114  -0.069 0.038  -0.080 -0.039  -0.091 -0.115  -0.102 -0.192  -0.115 -0.268  -0.111 -0.345  -0.106 -0.422  -0.102 -0.499  -0.097 -0.576  -0.093 -0.653  -0.088 -0.730  -0.084 -0.808  -0.077 -0.884  -0.061 -0.960  -0.044 -1.035  -0.027 -1.111  -0.010 -1.186  0.003 -1.262  0.017 -1.338  0.030 -1.414  0.045 -1.490  0.073 -1.562  0.102 -1.634  0.140 -1.701  0.183 -1.765
