2#app#app19#app1984/s  0.312 0.529  0.312 0.662  0.312 0.794  0.293 0.908  0.160 0.908  0.028 0.908  -0.105 0.908  -0.237 0.908  -0.370 0.908  -0.502 0.908  -0.635 0.908  -0.767 0.908  -0.877 0.854  -0.971 0.760  -1.086 0.719  -1.202 0.702  -1.202 0.569  -1.136 0.464  -1.042 0.370  -0.922 0.340  -0.800 0.317  -0.706 0.223  -0.603 0.151  -0.471 0.151  -0.369 0.076  -0.276 -0.018  -0.152 -0.038  -0.019 -0.038  0.113 -0.038  0.210 -0.125  0.304 -0.219  0.433 -0.227  0.546 -0.273  0.640 -0.366  0.752 -0.417  0.883 -0.420  0.976 -0.513  1.069 -0.608  1.069 -0.740  1.069 -0.873  1.048 -0.984  0.915 -0.984  0.783 -0.984  0.662 -1.013  0.568 -1.106  0.463 -1.173  0.331 -1.173  0.199 -1.173  0.066 -1.173  -0.066 -1.173
2#app#app19#app1984/i  0.177 1.363  0.177 1.279  0.177 1.195  0.177 1.111  0.149 1.092  0.090 1.152  0.031 1.211  -0.029 1.271  -0.088 1.330  -0.121 1.326  -0.121 1.242  -0.121 1.157  -0.121 1.073  -0.121 0.989  -0.121 0.905  -0.121 0.821  -0.121 0.737  -0.121 0.653  -0.121 0.569  -0.121 0.485  -0.121 0.401  -0.121 0.317  -0.121 0.233  -0.121 0.149  -0.121 0.064  -0.121 -0.020  -0.121 -0.104  -0.121 -0.188  -0.121 -0.272  -0.121 -0.356  -0.121 -0.440  -0.121 -0.524  -0.121 -0.608  -0.121 -0.692  -0.121 -0.776  -0.121 -0.860  -0.121 -0.944  -0.113 -1.020  -0.029 -1.020  0.055 -1.020  0.139 -1.020  0.177 -1.067  0.177 -1.151  0.177 -1.235  0.177 -1.319  0.237 -1.378  0.296 -1.438  0.356 -1.497  0.415 -1.557  0.475 -1.616
2#app#app19#app1984/m  -1.464 0.728  -1.464 0.557  -1.464 0.387  -1.464 0.217  -1.429 0.082  -1.302 0.038  -1.302 -0.132  -1.241 -0.241  -1.071 -0.241  -0.924 -0.185  -0.803 -0.065  -0.683 0.055  -0.524 0.082  -0.495 0.223  -0.495 0.394  -0.336 0.405  -0.334 0.573  -0.319 0.728  -0.196 0.728  -0.334 0.695  -0.334 0.525  -0.334 0.355  -0.334 0.184  -0.334 0.014  -0.257 -0.080  -0.172 -0.165  -0.172 -0.335  -0.070 -0.402  -0.011 -0.514  0.109 -0.564  0.279 -0.564  0.312 -0.426  0.458 -0.402  0.583 -0.293  0.732 -0.241  0.796 -0.135  0.796 0.035  0.920 0.082  0.958 0.214  1.099 0.243  1.119 0.393  1.119 0.246  1.119 0.076  1.119 -0.094  1.136 -0.257  1.256 -0.378  1.281 -0.538  1.425 -0.564  1.442 -0.717  1.604 -0.725
2#app#app19#app1984/.  -1.464 0.728  -1.464 0.557  -1.464 0.387  -1.464 0.217  -1.429 0.082  -1.302 0.038  -1.302 -0.132  -1.241 -0.241  -1.071 -0.241  -0.924 -0.185  -0.803 -0.065  -0.683 0.055  -0.524 0.082  -0.495 0.223  -0.495 0.394  -0.336 0.405  -0.334 0.573  -0.319 0.728  -0.196 0.728  -0.334 0.695  -0.334 0.525  -0.334 0.355  -0.334 0.184  -0.334 0.014  -0.257 -0.080  -0.172 -0.165  -0.172 -0.335  -0.070 -0.402  -0.011 -0.514  0.109 -0.564  0.279 -0.564  0.312 -0.426  0.458 -0.402  0.583 -0.293  0.732 -0.241  0.796 -0.135  0.796 0.035  0.920 0.082  0.958 0.214  1.099 0.243  1.119 0.393  1.119 0.246  1.119 0.076  1.119 -0.094  1.136 -0.257  1.256 -0.378  1.281 -0.538  1.425 -0.564  1.442 -0.717  1.604 -0.725
2#app#app19#app1984/\"  -0.768 1.056  -0.768 0.922  -0.768 0.788  -0.768 0.653  -0.768 0.519  -0.768 0.384  -0.768 0.250  -0.768 0.115  -0.768 -0.019  -0.768 -0.153  -0.768 -0.288  -0.768 -0.422  -0.768 -0.557  -0.768 -0.691  -0.768 -0.826  -0.768 -0.960  -0.768 -1.094  -0.768 -1.229  -0.715 -1.210  -0.632 -1.103  -0.550 -0.997  -0.467 -0.891  -0.385 -0.785  -0.302 -0.679  -0.220 -0.573  -0.137 -0.467  -0.055 -0.361  0.028 -0.255  0.111 -0.148  0.193 -0.042  0.276 0.064  0.358 0.170  0.441 0.276  0.523 0.382  0.606 0.488  0.688 0.594  0.771 0.700  0.853 0.807  0.936 0.913  1.018 1.019  1.048 0.970  1.048 0.835  1.048 0.701  1.048 0.566  1.048 0.432  1.048 0.298  1.048 0.163  1.048 0.029  1.048 -0.106  1.048 -0.240
2#app#app19#app1984/N  -0.739 -1.533  -0.739 -1.368  -0.739 -1.203  -0.739 -1.038  -0.739 -0.873  -0.739 -0.708  -0.724 -0.549  -0.651 -0.414  -0.651 -0.249  -0.594 -0.098  -0.563 0.060  -0.563 0.225  -0.491 0.373  -0.475 0.534  -0.475 0.699  -0.475 0.864  -0.471 1.028  -0.397 1.176  -0.387 1.338  -0.387 1.244  -0.387 1.079  -0.387 0.914  -0.344 0.759  -0.299 0.605  -0.299 0.440  -0.280 0.280  -0.210 0.131  -0.210 -0.034  -0.210 -0.199  -0.142 -0.348  -0.037 -0.473  -0.002 -0.629  0.095 -0.740  0.225 -0.823  0.352 -0.916  0.517 -0.916  0.653 -0.846  0.769 -0.729  0.886 -0.612  0.935 -0.467  0.995 -0.327  1.023 -0.174  1.023 -0.009  1.023 0.156  1.023 0.321  1.023 0.486  1.023 0.651  1.023 0.816  1.023 0.981  0.935 1.110
2#app#app19#app1984/o  -0.317 0.478  -0.166 0.478  -0.104 0.566  -0.122 0.709  -0.229 0.816  -0.343 0.904  -0.494 0.904  -0.645 0.904  -0.744 0.853  -0.744 0.702  -0.884 0.691  -1.012 0.636  -1.119 0.529  -1.171 0.400  -1.171 0.249  -1.171 0.098  -1.098 -0.022  -0.991 -0.129  -0.958 -0.266  -0.929 -0.405  -0.822 -0.512  -0.703 -0.589  -0.552 -0.589  -0.439 -0.681  -0.333 -0.788  -0.188 -0.803  -0.037 -0.803  0.114 -0.803  0.265 -0.803  0.416 -0.803  0.566 -0.803  0.717 -0.803  0.868 -0.803  1.019 -0.803  1.170 -0.803  1.176 -0.658  1.176 -0.507  1.176 -0.357  1.176 -0.206  1.176 -0.055  1.131 0.051  0.980 0.051  0.868 0.145  0.762 0.252  0.750 0.398  0.682 0.500  0.539 0.548  0.396 0.596  0.253 0.643  0.109 0.691
2#app#app19#app1984/p  -0.382 0.279  -0.279 0.337  -0.382 0.368  -0.382 0.207  -0.370 0.048  -0.298 -0.096  -0.279 -0.253  -0.279 -0.414  -0.185 -0.537  -0.176 -0.694  -0.175 -0.856  -0.103 -1.000  -0.073 -1.154  -0.073 -1.316  0.003 -1.445  0.085 -1.583  0.132 -1.733  0.132 -1.667  0.132 -1.505  0.132 -1.344  0.132 -1.183  0.098 -1.025  0.059 -0.869  0.012 -0.715  -0.060 -0.571  -0.073 -0.413  -0.073 -0.251  -0.093 -0.095  -0.165 0.050  -0.176 0.208  -0.176 0.370  -0.176 0.531  -0.176 0.692  -0.176 0.854  -0.176 1.015  -0.176 1.176  -0.176 1.338  -0.176 1.499  -0.030 1.514  0.029 1.413  0.132 1.355  0.244 1.300  0.358 1.186  0.472 1.072  0.586 0.957  0.647 0.821  0.647 0.660  0.647 0.499  0.500 0.485  0.338 0.485
2#app#app19#app1984/i  -1.035 0.394  -1.035 0.494  -1.035 0.594  -1.035 0.695  -1.035 0.795  -1.035 0.776  -1.035 0.676  -1.035 0.576  -1.035 0.475  -1.035 0.375  -1.035 0.274  -1.035 0.174  -0.965 0.103  -0.894 0.032  -0.823 -0.039  -0.814 -0.136  -0.814 -0.236  -0.747 -0.270  -0.647 -0.270  -0.546 -0.270  -0.446 -0.270  -0.372 -0.296  -0.372 -0.396  -0.366 -0.491  -0.265 -0.491  -0.165 -0.491  -0.065 -0.491  0.036 -0.491  0.136 -0.491  0.236 -0.491  0.337 -0.491  0.437 -0.491  0.530 -0.473  0.601 -0.402  0.672 -0.331  0.747 -0.270  0.848 -0.270  0.948 -0.270  1.021 -0.204  1.092 -0.133  1.163 -0.062  1.176 0.033  1.176 0.133  1.237 0.173  1.338 0.173  1.397 0.213  1.397 0.314  1.397 0.414  1.397 0.514  1.397 0.615
2#app#app19#app1984/n  -1.009 0.660  -1.009 0.820  -0.887 0.858  -0.893 0.858  -1.009 0.814  -1.003 0.660  -0.843 0.660  -0.810 0.533  -0.810 0.373  -0.810 0.213  -0.818 0.056  -0.931 -0.057  -1.009 -0.185  -1.009 -0.344  -1.009 -0.504  -1.009 -0.664  -0.914 -0.729  -0.754 -0.729  -0.599 -0.716  -0.486 -0.603  -0.356 -0.531  -0.215 -0.512  -0.215 -0.352  -0.116 -0.233  -0.017 -0.115  -0.017 0.045  0.083 0.164  0.196 0.277  0.309 0.390  0.380 0.520  0.380 0.680  0.380 0.840  0.481 0.758  0.579 0.639  0.579 0.479  0.579 0.319  0.579 0.159  0.579 -0.001  0.579 -0.161  0.579 -0.321  0.579 -0.481  0.688 -0.531  0.848 -0.531  1.008 -0.531  1.168 -0.531  1.328 -0.531  1.488 -0.531  1.648 -0.531  1.769 -0.492  1.769 -0.332
2#app#app19#app1984/k  -0.203 1.813  -0.298 1.918  -0.358 2.001  -0.392 1.892  -0.392 1.748  -0.392 1.605  -0.392 1.461  -0.392 1.317  -0.392 1.173  -0.362 1.033  -0.327 0.894  -0.298 0.754  -0.298 0.610  -0.298 0.466  -0.298 0.323  -0.298 0.179  -0.298 0.035  -0.298 -0.108  -0.298 -0.252  -0.298 -0.396  -0.298 -0.540  -0.298 -0.683  -0.255 -0.817  -0.203 -0.948  -0.144 -0.966  -0.033 -0.875  0.079 -0.784  0.190 -0.693  0.301 -0.602  0.412 -0.511  0.524 -0.420  0.635 -0.329  0.746 -0.238  0.803 -0.167  0.659 -0.167  0.515 -0.167  0.371 -0.167  0.267 -0.261  0.123 -0.261  0.009 -0.332  -0.093 -0.433  -0.109 -0.570  -0.109 -0.714  -0.020 -0.821  0.109 -0.856  0.226 -0.921  0.359 -0.966  0.481 -1.039  0.595 -1.109  0.739 -1.109
2#app#app19#app1984/!  -0.044 1.703  -0.044 1.633  -0.044 1.563  -0.044 1.493  -0.044 1.423  -0.044 1.353  -0.044 1.283  -0.044 1.213  -0.044 1.143  -0.044 1.073  -0.044 1.003  -0.044 0.934  -0.044 0.864  -0.044 0.794  -0.044 0.724  -0.044 0.654  -0.044 0.584  -0.044 0.514  -0.044 0.444  -0.044 0.374  -0.044 0.304  -0.044 0.234  -0.044 0.164  -0.044 0.094  -0.044 0.025  -0.044 -0.045  -0.044 -0.115  -0.030 -0.182  0.002 -0.244  0.033 -0.307  0.059 -0.371  0.059 -0.441  0.059 -0.510  0.059 -0.580  0.059 -0.650  0.059 -0.720  0.059 -0.790  0.059 -0.860  0.059 -0.930  0.059 -1.000  0.059 -1.070  0.059 -1.140  0.059 -1.210  0.059 -1.280  0.059 -1.350  0.059 -1.419  0.059 -1.489  0.059 -1.559  0.059 -1.629  0.059 -1.699
