1b#kai#kai2#yklyu5/A  0.171 1.910  0.138 1.664  0.121 1.415  0.037 1.188  0.007 0.945  -0.077 0.719  -0.127 0.473  -0.249 0.255  -0.326 0.015  -0.360 -0.226  -0.458 -0.454  -0.574 -0.674  -0.608 -0.920  -0.687 -1.159  -0.767 -1.398  -0.847 -1.490  -0.749 -1.293  -0.661 -1.061  -0.589 -0.819  -0.517 -0.578  -0.445 -0.336  -0.373 -0.095  -0.301 0.146  -0.229 0.388  -0.157 0.629  -0.085 0.871  -0.013 1.112  0.059 1.353  0.129 1.531  0.196 1.288  0.276 1.049  0.320 0.804  0.320 0.552  0.396 0.318  0.467 0.078  0.547 -0.161  0.627 -0.400  0.706 -0.639  0.766 -0.881  0.818 -1.125  0.865 -1.163  0.819 -0.934  0.617 -0.784  0.414 -0.635  0.212 -0.485  0.009 -0.335  -0.194 -0.185  -0.127 -0.125  0.117 -0.174  0.369 -0.174
1b#kai#kai2#yklyu5/J  -0.470 0.970  -0.378 1.001  -0.281 1.005  -0.187 1.029  -0.095 1.059  -0.001 1.076  0.096 1.085  0.190 1.108  0.283 1.138  0.375 1.169  0.470 1.182  0.547 1.175  0.470 1.116  0.392 1.056  0.315 0.997  0.238 0.938  0.161 0.878  0.096 0.813  0.096 0.716  0.096 0.618  0.096 0.521  0.096 0.424  0.096 0.327  0.118 0.233  0.131 0.138  0.146 0.043  0.167 -0.051  0.167 -0.148  0.167 -0.246  0.167 -0.343  0.167 -0.440  0.167 -0.538  0.167 -0.635  0.143 -0.728  0.131 -0.824  0.115 -0.918  0.084 -1.011  0.053 -1.103  0.018 -1.192  -0.062 -1.246  -0.148 -1.292  -0.236 -1.334  -0.328 -1.364  -0.421 -1.395  -0.513 -1.374  -0.578 -1.308  -0.623 -1.222  -0.647 -1.129  -0.642 -1.032  -0.611 -0.940
1b#kai#kai2#yklyu5/K  -0.572 1.796  -0.572 1.551  -0.572 1.306  -0.572 1.062  -0.572 0.817  -0.572 0.573  -0.572 0.328  -0.572 0.083  -0.542 -0.157  -0.521 -0.398  -0.492 -0.639  -0.471 -0.881  -0.471 -1.125  -0.471 -1.370  -0.471 -1.615  -0.386 -1.416  -0.296 -1.188  -0.206 -0.961  -0.115 -0.733  -0.025 -0.506  0.065 -0.279  0.155 -0.051  0.246 0.176  0.336 0.403  0.426 0.631  0.516 0.858  0.607 1.086  0.697 1.313  0.787 1.540  0.693 1.325  0.557 1.121  0.428 0.915  0.319 0.699  0.201 0.488  0.099 0.266  -0.033 0.061  -0.182 -0.132  -0.308 -0.334  -0.396 -0.561  -0.393 -0.594  -0.220 -0.421  -0.047 -0.248  0.126 -0.075  0.263 -0.054  0.383 -0.265  0.481 -0.488  0.616 -0.691  0.738 -0.899  0.837 -1.091  1.040 -1.226
1b#kai#kai2#yklyu5/K  -0.608 1.615  -0.608 1.394  -0.608 1.172  -0.608 0.951  -0.608 0.730  -0.608 0.509  -0.608 0.288  -0.608 0.066  -0.608 -0.155  -0.608 -0.376  -0.608 -0.597  -0.608 -0.819  -0.615 -1.039  -0.660 -1.252  -0.660 -1.474  -0.597 -1.408  -0.504 -1.208  -0.410 -1.007  -0.317 -0.807  -0.224 -0.606  -0.130 -0.406  -0.037 -0.205  0.057 -0.005  0.150 0.196  0.243 0.397  0.337 0.597  0.430 0.798  0.523 0.998  0.617 1.199  0.710 1.399  0.730 1.415  0.640 1.213  0.559 1.008  0.444 0.820  0.360 0.617  0.237 0.433  0.182 0.229  0.079 0.039  -0.004 -0.165  -0.127 -0.349  -0.101 -0.471  0.086 -0.352  0.272 -0.233  0.450 -0.138  0.520 -0.348  0.581 -0.560  0.675 -0.757  0.798 -0.941  0.921 -1.125  1.077 -1.281
1b#kai#kai2#yklyu5/M  -0.661 1.167  -0.661 0.956  -0.661 0.745  -0.661 0.535  -0.661 0.324  -0.661 0.113  -0.661 -0.097  -0.661 -0.308  -0.661 -0.519  -0.675 -0.727  -0.699 -0.934  -0.699 -1.145  -0.699 -1.355  -0.698 -1.444  -0.674 -1.235  -0.651 -1.026  -0.627 -0.816  -0.603 -0.607  -0.580 -0.398  -0.556 -0.188  -0.532 0.021  -0.509 0.231  -0.485 0.440  -0.462 0.649  -0.438 0.859  -0.381 0.813  -0.229 0.673  -0.141 0.484  -0.049 0.296  0.072 0.134  0.141 -0.055  0.267 -0.142  0.375 0.032  0.488 0.209  0.591 0.392  0.703 0.571  0.820 0.746  0.908 0.935  0.996 1.124  0.998 0.921  0.998 0.711  0.998 0.500  0.998 0.289  0.998 0.079  0.998 -0.132  0.998 -0.343  0.998 -0.553  0.998 -0.764  0.998 -0.975  0.998 -1.186
1b#kai#kai2#yklyu5/M  -0.606 1.285  -0.606 1.052  -0.643 0.824  -0.645 0.592  -0.645 0.359  -0.645 0.127  -0.645 -0.106  -0.645 -0.339  -0.684 -0.565  -0.684 -0.798  -0.684 -1.030  -0.699 -1.260  -0.643 -1.207  -0.632 -0.974  -0.620 -0.742  -0.609 -0.510  -0.598 -0.277  -0.587 -0.045  -0.575 0.187  -0.564 0.420  -0.553 0.652  -0.542 0.884  -0.530 1.117  -0.489 0.992  -0.434 0.769  -0.324 0.565  -0.230 0.353  -0.178 0.134  -0.066 -0.069  0.043 -0.273  0.149 -0.399  0.298 -0.226  0.410 -0.022  0.564 0.151  0.680 0.345  0.783 0.549  0.865 0.765  0.956 0.973  0.917 0.902  0.917 0.669  0.917 0.437  0.917 0.204  0.917 -0.029  0.917 -0.261  0.917 -0.494  0.935 -0.723  0.956 -0.953  0.956 -1.185  0.995 -1.412  0.995 -1.410
1b#kai#kai2#yklyu5/N  -0.636 1.308  -0.636 1.108  -0.636 0.908  -0.636 0.707  -0.636 0.507  -0.636 0.307  -0.636 0.106  -0.636 -0.094  -0.636 -0.294  -0.636 -0.495  -0.636 -0.695  -0.630 -0.895  -0.594 -1.089  -0.594 -1.289  -0.593 -1.272  -0.582 -1.072  -0.570 -0.872  -0.559 -0.672  -0.548 -0.472  -0.536 -0.272  -0.525 -0.072  -0.514 0.128  -0.502 0.328  -0.491 0.528  -0.480 0.728  -0.468 0.928  -0.349 0.771  -0.199 0.645  -0.105 0.469  -0.048 0.285  0.056 0.120  0.141 -0.058  0.263 -0.212  0.326 -0.402  0.444 -0.560  0.567 -0.705  0.667 -0.877  0.766 -0.956  0.857 -0.779  0.876 -0.585  0.939 -0.395  0.960 -0.198  0.980 0.000  1.002 0.198  1.045 0.391  1.064 0.589  1.121 0.781  1.184 0.971  1.248 1.161  1.381 1.308
1b#kai#kai2#yklyu5/N  -0.534 1.176  -0.534 0.967  -0.573 0.763  -0.573 0.554  -0.611 0.351  -0.611 0.141  -0.611 -0.068  -0.611 -0.278  -0.611 -0.487  -0.611 -0.697  -0.611 -0.907  -0.611 -1.116  -0.648 -1.255  -0.637 -1.046  -0.626 -0.837  -0.615 -0.627  -0.605 -0.418  -0.594 -0.209  -0.583 0.000  -0.572 0.210  -0.561 0.419  -0.550 0.628  -0.540 0.837  -0.489 0.854  -0.374 0.680  -0.284 0.493  -0.168 0.319  -0.130 0.118  -0.022 -0.058  0.090 -0.234  0.156 -0.433  0.236 -0.619  0.347 -0.782  0.400 -0.975  0.511 -1.152  0.603 -1.159  0.664 -0.960  0.711 -0.756  0.736 -0.549  0.780 -0.347  0.813 -0.143  0.824 0.066  0.895 0.262  0.929 0.463  0.940 0.671  0.969 0.876  1.036 1.074  1.102 1.273  1.159 1.473  1.198 1.446
1b#kai#kai2#yklyu5/O  0.200 1.129  0.062 1.129  -0.075 1.129  -0.213 1.129  -0.340 1.083  -0.437 0.987  -0.548 0.907  -0.624 0.792  -0.692 0.674  -0.731 0.542  -0.752 0.407  -0.752 0.270  -0.752 0.133  -0.752 -0.005  -0.752 -0.142  -0.693 -0.262  -0.645 -0.390  -0.611 -0.522  -0.576 -0.649  -0.517 -0.771  -0.423 -0.863  -0.365 -0.982  -0.289 -1.097  -0.208 -1.206  -0.090 -1.275  0.040 -1.319  0.170 -1.362  0.288 -1.313  0.403 -1.237  0.482 -1.125  0.531 -0.998  0.599 -0.879  0.622 -0.746  0.652 -0.613  0.661 -0.477  0.693 -0.344  0.693 -0.206  0.693 -0.069  0.693 0.069  0.662 0.201  0.652 0.337  0.622 0.469  0.598 0.603  0.530 0.721  0.481 0.849  0.400 0.957  0.270 1.000  0.164 1.077  0.055 1.129  -0.082 1.129
1b#kai#kai2#yklyu5/O  0.107 1.234  -0.026 1.234  -0.152 1.194  -0.263 1.120  -0.374 1.046  -0.480 0.966  -0.542 0.854  -0.599 0.733  -0.667 0.619  -0.695 0.494  -0.729 0.366  -0.736 0.234  -0.768 0.106  -0.750 -0.024  -0.731 -0.154  -0.700 -0.282  -0.692 -0.414  -0.650 -0.541  -0.608 -0.667  -0.551 -0.786  -0.512 -0.908  -0.440 -1.002  -0.375 -1.111  -0.278 -1.196  -0.154 -1.244  -0.027 -1.282  0.104 -1.271  0.231 -1.229  0.329 -1.150  0.423 -1.059  0.496 -0.956  0.560 -0.840  0.611 -0.718  0.653 -0.592  0.661 -0.460  0.703 -0.334  0.727 -0.204  0.747 -0.073  0.764 0.058  0.764 0.191  0.728 0.319  0.721 0.451  0.679 0.577  0.637 0.703  0.556 0.801  0.466 0.896  0.362 0.966  0.273 1.058  0.161 1.119  0.034 1.161
1b#kai#kai2#yklyu5/P  -0.309 1.488  -0.309 1.288  -0.309 1.088  -0.309 0.888  -0.309 0.688  -0.278 0.491  -0.265 0.293  -0.265 0.092  -0.265 -0.108  -0.250 -0.306  -0.222 -0.501  -0.222 -0.701  -0.212 -0.900  -0.149 -1.090  -0.134 -1.288  -0.106 -1.483  -0.084 -1.680  -0.047 -1.874  -0.047 -1.771  -0.059 -1.571  -0.073 -1.371  -0.088 -1.172  -0.102 -0.972  -0.116 -0.772  -0.131 -0.572  -0.145 -0.373  -0.159 -0.173  -0.173 0.027  -0.188 0.226  -0.202 0.426  -0.216 0.626  -0.230 0.825  -0.245 1.025  -0.259 1.225  -0.154 1.313  0.042 1.280  0.238 1.258  0.416 1.166  0.573 1.044  0.705 0.894  0.815 0.727  0.872 0.540  0.868 0.341  0.805 0.151  0.672 0.014  0.505 -0.097  0.328 -0.173  0.128 -0.173  -0.072 -0.173  -0.265 -0.130
1b#kai#kai2#yklyu5/P  -0.269 1.537  -0.288 1.340  -0.309 1.143  -0.309 0.943  -0.309 0.743  -0.309 0.543  -0.309 0.343  -0.309 0.143  -0.269 -0.050  -0.269 -0.250  -0.269 -0.450  -0.269 -0.650  -0.269 -0.850  -0.269 -1.050  -0.269 -1.250  -0.269 -1.450  -0.277 -1.648  -0.309 -1.843  -0.264 -1.700  -0.254 -1.500  -0.243 -1.301  -0.233 -1.101  -0.222 -0.902  -0.212 -0.702  -0.201 -0.502  -0.191 -0.303  -0.180 -0.103  -0.170 0.097  -0.159 0.296  -0.149 0.496  -0.138 0.696  -0.128 0.895  -0.117 1.095  -0.106 1.294  0.085 1.259  0.271 1.190  0.465 1.141  0.647 1.067  0.779 0.918  0.890 0.751  0.922 0.559  0.947 0.363  0.947 0.163  0.858 -0.008  0.688 -0.112  0.509 -0.201  0.323 -0.270  0.125 -0.286  -0.075 -0.286  -0.269 -0.246
1b#kai#kai2#yklyu5/P  -0.214 1.455  -0.233 1.255  -0.261 1.057  -0.261 0.854  -0.261 0.651  -0.261 0.448  -0.261 0.245  -0.291 0.047  -0.308 -0.153  -0.308 -0.356  -0.308 -0.559  -0.308 -0.762  -0.308 -0.965  -0.308 -1.168  -0.272 -1.366  -0.265 -1.567  -0.308 -1.763  -0.303 -1.800  -0.291 -1.597  -0.279 -1.395  -0.267 -1.192  -0.255 -0.990  -0.243 -0.787  -0.231 -0.585  -0.219 -0.382  -0.207 -0.180  -0.196 0.023  -0.184 0.226  -0.172 0.428  -0.160 0.631  -0.148 0.833  -0.136 1.036  -0.124 1.238  0.001 1.274  0.197 1.223  0.396 1.202  0.585 1.126  0.778 1.072  0.878 0.897  0.931 0.702  0.962 0.504  0.962 0.301  0.919 0.105  0.781 -0.042  0.601 -0.135  0.405 -0.163  0.220 -0.237  0.020 -0.261  -0.180 -0.284  -0.308 -0.143
1b#kai#kai2#yklyu5/Q  -0.099 1.248  -0.291 1.218  -0.457 1.111  -0.605 0.981  -0.715 0.818  -0.796 0.639  -0.868 0.457  -0.918 0.267  -0.918 0.069  -0.918 -0.128  -0.886 -0.318  -0.846 -0.506  -0.783 -0.693  -0.701 -0.873  -0.606 -1.043  -0.464 -1.175  -0.306 -1.278  -0.112 -1.248  0.083 -1.225  0.267 -1.158  0.426 -1.042  0.554 -0.896  0.638 -0.720  0.714 -0.539  0.735 -0.346  0.744 -0.153  0.690 0.037  0.676 0.232  0.620 0.422  0.590 0.614  0.499 0.787  0.368 0.924  0.221 1.039  0.055 1.145  -0.112 1.248  -0.299 1.246  -0.196 1.094  -0.135 0.906  -0.074 0.718  -0.013 0.530  0.049 0.343  0.110 0.155  0.171 -0.033  0.232 -0.220  0.294 -0.408  0.412 -0.561  0.552 -0.700  0.692 -0.840  0.799 -1.003  0.925 -1.142
1b#kai#kai2#yklyu5/Q  0.026 1.219  -0.147 1.298  -0.335 1.254  -0.481 1.128  -0.590 0.965  -0.669 0.787  -0.754 0.612  -0.816 0.426  -0.870 0.237  -0.880 0.042  -0.916 -0.148  -0.919 -0.344  -0.874 -0.532  -0.800 -0.714  -0.727 -0.895  -0.631 -1.065  -0.510 -1.206  -0.325 -1.262  -0.129 -1.262  0.063 -1.236  0.230 -1.136  0.363 -0.993  0.449 -0.818  0.554 -0.654  0.656 -0.500  0.697 -0.311  0.753 -0.123  0.774 0.071  0.774 0.267  0.735 0.457  0.688 0.642  0.654 0.830  0.574 1.008  0.429 1.134  0.237 1.171  0.048 1.135  -0.138 1.073  -0.150 0.903  -0.100 0.714  -0.050 0.524  -0.000 0.334  0.049 0.144  0.099 -0.045  0.149 -0.235  0.199 -0.425  0.281 -0.601  0.425 -0.726  0.508 -0.902  0.623 -1.061  0.774 -1.183
1b#kai#kai2#yklyu5/R  -0.478 1.591  -0.478 1.353  -0.478 1.115  -0.434 0.882  -0.434 0.643  -0.395 0.411  -0.389 0.174  -0.389 -0.065  -0.389 -0.303  -0.374 -0.539  -0.345 -0.773  -0.345 -1.011  -0.345 -1.249  -0.345 -1.488  -0.345 -1.652  -0.343 -1.414  -0.340 -1.176  -0.336 -0.937  -0.332 -0.699  -0.329 -0.461  -0.325 -0.222  -0.321 0.016  -0.318 0.254  -0.314 0.493  -0.310 0.731  -0.307 0.970  -0.303 1.208  -0.224 1.370  0.005 1.312  0.238 1.281  0.448 1.179  0.674 1.104  0.861 0.958  0.941 0.743  0.985 0.512  0.961 0.278  0.844 0.072  0.712 -0.126  0.512 -0.236  0.279 -0.271  0.046 -0.315  -0.192 -0.315  -0.280 -0.316  -0.065 -0.236  0.133 -0.368  0.284 -0.548  0.441 -0.721  0.595 -0.898  0.747 -1.065  0.896 -1.246
1b#kai#kai2#yklyu5/R  -0.495 1.342  -0.495 1.113  -0.495 0.884  -0.495 0.655  -0.495 0.425  -0.472 0.199  -0.452 -0.028  -0.452 -0.257  -0.408 -0.479  -0.369 -0.702  -0.364 -0.930  -0.364 -1.159  -0.364 -1.388  -0.364 -1.618  -0.369 -1.424  -0.376 -1.195  -0.383 -0.966  -0.390 -0.737  -0.397 -0.508  -0.404 -0.279  -0.412 -0.050  -0.419 0.179  -0.426 0.408  -0.433 0.638  -0.440 0.867  -0.447 1.096  -0.393 1.293  -0.179 1.339  0.040 1.274  0.267 1.255  0.493 1.232  0.671 1.096  0.818 0.928  0.902 0.733  1.037 0.550  1.005 0.326  0.920 0.115  0.743 -0.011  0.541 -0.103  0.320 -0.151  0.095 -0.190  -0.134 -0.190  -0.102 -0.190  0.084 -0.306  0.256 -0.441  0.407 -0.606  0.581 -0.750  0.731 -0.921  0.887 -1.082  0.993 -1.285
1b#kai#kai2#yklyu5/S  0.765 0.516  0.800 0.622  0.804 0.734  0.751 0.829  0.705 0.930  0.641 1.014  0.543 1.060  0.432 1.068  0.326 1.103  0.220 1.138  0.108 1.138  -0.003 1.138  -0.115 1.138  -0.217 1.105  -0.310 1.043  -0.402 0.981  -0.469 0.891  -0.527 0.797  -0.563 0.691  -0.592 0.585  -0.557 0.479  -0.478 0.400  -0.405 0.315  -0.338 0.226  -0.251 0.158  -0.174 0.080  -0.104 -0.005  -0.011 -0.067  0.078 -0.134  0.165 -0.205  0.244 -0.284  0.300 -0.379  0.346 -0.481  0.377 -0.588  0.377 -0.699  0.377 -0.811  0.351 -0.919  0.289 -1.009  0.216 -1.091  0.178 -1.195  0.072 -1.230  -0.021 -1.290  -0.127 -1.310  -0.239 -1.310  -0.347 -1.289  -0.456 -1.271  -0.559 -1.243  -0.655 -1.186  -0.754 -1.144  -0.789 -1.038
