2#apb#apb40#app4062/R  0.018 0.955  -0.099 0.776  -0.150 0.557  -0.189 0.335  -0.203 0.110  -0.224 -0.113  -0.265 -0.335  -0.315 -0.553  -0.408 -0.758  -0.504 -0.962  -0.612 -1.159  -0.712 -1.329  -0.678 -1.107  -0.641 -0.885  -0.607 -0.663  -0.580 -0.439  -0.540 -0.218  -0.485 0.000  -0.400 0.208  -0.309 0.414  -0.210 0.616  -0.098 0.811  -0.018 1.022  0.057 1.234  0.180 1.420  0.350 1.563  0.564 1.590  0.766 1.497  0.924 1.345  1.043 1.157  1.069 0.934  1.076 0.711  1.032 0.490  0.967 0.277  0.863 0.077  0.726 -0.100  0.570 -0.262  0.399 -0.407  0.197 -0.505  -0.015 -0.571  -0.240 -0.589  -0.463 -0.563  -0.685 -0.524  -0.750 -0.550  -0.566 -0.680  -0.362 -0.776  -0.157 -0.868  0.060 -0.926  0.255 -1.034  0.371 -1.222
2#apb#apb40#app4062/t  0.845 1.541  0.909 1.712  0.792 1.668  0.659 1.533  0.508 1.414  0.377 1.274  0.260 1.123  0.155 0.962  0.047 0.804  -0.064 0.648  -0.165 0.486  -0.242 0.310  -0.314 0.132  -0.368 -0.052  -0.419 -0.237  -0.438 -0.427  -0.445 -0.618  -0.434 -0.810  -0.353 -0.983  -0.222 -1.115  -0.058 -1.213  0.121 -1.283  0.308 -1.306  0.497 -1.290  0.675 -1.219  0.823 -1.099  0.894 -0.964  0.730 -0.865  0.565 -0.766  0.401 -0.668  0.236 -0.569  0.072 -0.470  -0.092 -0.372  -0.257 -0.273  -0.421 -0.174  -0.586 -0.076  -0.750 0.023  -0.915 0.122  -1.079 0.220  -1.150 0.323  -0.970 0.260  -0.779 0.239  -0.589 0.218  -0.397 0.220  -0.205 0.226  -0.014 0.236  0.177 0.255  0.368 0.274  0.558 0.300  0.748 0.328
2#apb#apb40#app4062/h  -1.110 -0.970  -1.263 -1.105  -1.166 -1.139  -1.029 -0.959  -0.878 -0.790  -0.726 -0.624  -0.579 -0.452  -0.433 -0.279  -0.292 -0.103  -0.155 0.077  -0.025 0.261  0.070 0.466  0.165 0.671  0.256 0.878  0.344 1.087  0.430 1.296  0.508 1.508  0.586 1.720  0.629 1.805  0.541 1.596  0.472 1.381  0.399 1.167  0.317 0.957  0.237 0.745  0.157 0.534  0.083 0.321  0.013 0.105  -0.063 -0.107  -0.147 -0.317  -0.237 -0.524  -0.344 -0.723  -0.451 -0.922  -0.561 -1.120  -0.597 -1.160  -0.490 -0.961  -0.374 -0.767  -0.256 -0.574  -0.125 -0.390  0.006 -0.206  0.167 -0.048  0.335 0.102  0.522 0.230  0.729 0.319  0.871 0.180  0.824 -0.037  0.727 -0.240  0.607 -0.431  0.478 -0.616  0.387 -0.822  0.439 -1.021
2#apb#apb40#app4062/e  -1.323 -0.667  -1.487 -0.741  -1.287 -0.741  -1.114 -0.664  -0.935 -0.576  -0.768 -0.466  -0.608 -0.346  -0.437 -0.242  -0.271 -0.133  -0.123 0.001  0.009 0.152  0.131 0.309  0.220 0.487  0.287 0.676  0.329 0.871  0.304 1.069  0.143 1.085  -0.031 0.994  -0.191 0.874  -0.338 0.739  -0.480 0.598  -0.608 0.446  -0.713 0.276  -0.816 0.105  -0.898 -0.077  -0.976 -0.261  -0.999 -0.459  -0.983 -0.655  -0.846 -0.795  -0.651 -0.757  -0.456 -0.710  -0.264 -0.657  -0.079 -0.583  0.096 -0.486  0.266 -0.383  0.430 -0.268  0.588 -0.147  0.716 0.007  0.843 0.161  0.974 0.312  1.111 0.457  1.257 0.592  1.428 0.688  1.459 0.536  1.393 0.348  1.319 0.162  1.227 -0.015  1.131 -0.190  1.048 -0.372  0.972 -0.557
2#apb#apb40#app4062/r  -1.171 -0.843  -1.276 -0.932  -1.348 -0.857  -1.294 -0.726  -1.231 -0.599  -1.132 -0.496  -1.073 -0.362  -0.979 -0.252  -0.876 -0.148  -0.787 -0.032  -0.698 0.084  -0.600 0.193  -0.497 0.296  -0.398 0.404  -0.315 0.524  -0.232 0.645  -0.140 0.757  -0.025 0.847  0.090 0.938  0.216 1.009  0.350 1.067  0.483 1.128  0.612 1.198  0.744 1.225  0.840 1.139  0.864 0.997  0.829 0.855  0.793 0.713  0.731 0.583  0.654 0.458  0.574 0.336  0.489 0.216  0.404 0.097  0.302 -0.007  0.194 -0.106  0.090 -0.208  -0.004 -0.320  -0.099 -0.431  -0.193 -0.543  -0.206 -0.665  -0.099 -0.762  0.020 -0.844  0.166 -0.850  0.312 -0.856  0.458 -0.863  0.603 -0.850  0.748 -0.826  0.892 -0.802  1.036 -0.778  1.181 -0.754
2#apb#apb40#app4062/B  -0.177 0.650  -0.289 0.642  -0.385 0.434  -0.479 0.225  -0.588 0.023  -0.713 -0.169  -0.852 -0.351  -0.994 -0.531  -1.141 -0.707  -1.306 -0.867  -1.308 -0.777  -1.195 -0.577  -1.071 -0.384  -0.945 -0.193  -0.814 -0.004  -0.682 0.183  -0.548 0.369  -0.398 0.543  -0.247 0.716  -0.076 0.866  0.110 1.001  0.312 1.104  0.529 1.179  0.756 1.198  0.963 1.129  1.110 0.961  1.171 0.744  1.099 0.536  0.930 0.384  0.730 0.273  0.522 0.177  0.311 0.086  0.093 0.020  -0.003 0.078  0.212 0.158  0.436 0.185  0.666 0.185  0.863 0.084  0.996 -0.103  1.024 -0.327  0.963 -0.547  0.831 -0.728  0.653 -0.872  0.457 -0.990  0.248 -1.084  0.032 -1.154  -0.194 -1.136  -0.399 -1.039  -0.569 -0.889  -0.642 -0.706
2#apb#apb40#app4062/r  -1.423 -0.905  -1.501 -0.870  -1.454 -0.754  -1.394 -0.642  -1.330 -0.533  -1.256 -0.431  -1.183 -0.328  -1.119 -0.219  -1.057 -0.108  -0.991 -0.001  -0.912 0.098  -0.828 0.192  -0.738 0.280  -0.630 0.329  -0.607 0.339  -0.501 0.408  -0.386 0.459  -0.277 0.523  -0.172 0.593  -0.066 0.662  0.044 0.724  0.155 0.785  0.267 0.842  0.388 0.880  0.509 0.918  0.633 0.912  0.752 0.873  0.855 0.807  0.923 0.700  0.966 0.586  0.974 0.459  0.974 0.335  0.924 0.218  0.874 0.102  0.803 -0.002  0.731 -0.106  0.646 -0.199  0.555 -0.287  0.459 -0.370  0.356 -0.442  0.249 -0.509  0.154 -0.584  0.165 -0.692  0.276 -0.750  0.395 -0.793  0.518 -0.771  0.641 -0.742  0.762 -0.707  0.880 -0.662  0.999 -0.618
2#apb#apb40#app4062/o  0.006 0.752  -0.122 0.775  -0.243 0.729  -0.347 0.648  -0.445 0.561  -0.515 0.449  -0.585 0.337  -0.655 0.225  -0.714 0.107  -0.768 -0.013  -0.821 -0.134  -0.871 -0.256  -0.871 -0.388  -0.871 -0.520  -0.871 -0.652  -0.830 -0.775  -0.774 -0.894  -0.718 -1.014  -0.615 -1.083  -0.491 -1.128  -0.363 -1.149  -0.231 -1.149  -0.100 -1.143  0.022 -1.092  0.144 -1.042  0.266 -0.992  0.367 -0.910  0.461 -0.816  0.554 -0.723  0.645 -0.627  0.704 -0.509  0.763 -0.391  0.822 -0.273  0.824 -0.144  0.810 -0.013  0.797 0.118  0.776 0.248  0.736 0.374  0.696 0.500  0.656 0.626  0.616 0.752  0.539 0.859  0.462 0.967  0.386 1.074  0.310 1.182  0.234 1.291  0.141 1.382  0.019 1.411  0.013 1.292  0.055 1.167
2#apb#apb40#app4062/t  -1.681 -1.217  -1.493 -1.184  -1.280 -1.006  -1.067 -0.827  -0.859 -0.643  -0.656 -0.453  -0.460 -0.255  -0.271 -0.051  -0.109 0.175  0.045 0.406  0.172 0.653  0.276 0.910  0.362 1.175  0.341 1.304  0.151 1.102  -0.019 0.882  -0.154 0.640  -0.271 0.387  -0.373 0.129  -0.461 -0.135  -0.534 -0.403  -0.595 -0.674  -0.624 -0.949  -0.556 -1.210  -0.298 -1.234  -0.039 -1.132  0.206 -1.003  0.430 -0.839  0.648 -0.665  0.870 -0.498  1.064 -0.300  1.217 -0.068  1.321 0.184  1.414 0.404  1.174 0.357  0.896 0.347  0.618 0.336  0.340 0.326  0.062 0.315  -0.216 0.305  -0.494 0.294  -0.772 0.283  -0.743 0.287  -0.467 0.319  -0.194 0.374  0.078 0.430  0.349 0.493  0.618 0.561  0.885 0.640  1.148 0.729
2#apb#apb40#app4062/h  -1.010 -1.231  -0.934 -1.043  -0.819 -0.861  -0.689 -0.688  -0.566 -0.511  -0.441 -0.335  -0.316 -0.159  -0.192 0.017  -0.074 0.198  0.042 0.380  0.147 0.568  0.237 0.764  0.327 0.960  0.420 1.155  0.512 1.351  0.596 1.549  0.672 1.751  0.728 1.844  0.648 1.644  0.548 1.453  0.444 1.264  0.341 1.074  0.254 0.877  0.168 0.679  0.082 0.481  -0.003 0.283  -0.110 0.096  -0.212 -0.092  -0.268 -0.301  -0.332 -0.507  -0.400 -0.711  -0.469 -0.916  -0.567 -1.108  -0.666 -1.169  -0.647 -0.954  -0.584 -0.748  -0.498 -0.551  -0.388 -0.365  -0.227 -0.232  -0.020 -0.185  0.183 -0.113  0.379 -0.024  0.554 -0.076  0.543 -0.283  0.466 -0.484  0.387 -0.684  0.324 -0.891  0.299 -1.104  0.477 -1.090  0.655 -0.977
2#apb#apb40#app4062/e  -1.181 -0.734  -1.127 -0.802  -0.965 -0.755  -0.816 -0.681  -0.679 -0.583  -0.535 -0.497  -0.387 -0.416  -0.242 -0.331  -0.102 -0.236  0.037 -0.141  0.170 -0.039  0.302 0.067  0.433 0.172  0.549 0.295  0.663 0.418  0.747 0.564  0.803 0.718  0.803 0.887  0.783 1.054  0.720 1.200  0.593 1.311  0.448 1.397  0.291 1.371  0.138 1.302  -0.006 1.216  -0.134 1.109  -0.249 0.985  -0.353 0.853  -0.447 0.713  -0.540 0.573  -0.614 0.422  -0.681 0.267  -0.743 0.112  -0.729 -0.056  -0.715 -0.224  -0.676 -0.385  -0.607 -0.539  -0.532 -0.688  -0.395 -0.787  -0.258 -0.885  -0.101 -0.931  0.067 -0.952  0.234 -0.966  0.401 -0.944  0.568 -0.922  0.727 -0.870  0.882 -0.804  1.030 -0.727  1.153 -0.612  1.276 -0.497
2#apb#apb40#app4062/r  -1.123 -0.838  -1.142 -0.734  -1.088 -0.600  -1.012 -0.477  -0.933 -0.355  -0.863 -0.229  -0.795 -0.101  -0.726 0.026  -0.653 0.151  -0.579 0.276  -0.510 0.403  -0.443 0.532  -0.375 0.660  -0.302 0.784  -0.223 0.906  -0.144 1.027  -0.061 1.146  0.028 1.261  0.128 1.361  0.264 1.399  0.384 1.343  0.475 1.231  0.555 1.111  0.614 0.978  0.621 0.835  0.606 0.692  0.574 0.551  0.522 0.416  0.461 0.285  0.366 0.177  0.263 0.075  0.163 -0.029  0.064 -0.135  -0.035 -0.242  -0.127 -0.353  -0.215 -0.467  -0.237 -0.610  -0.251 -0.754  -0.248 -0.898  -0.146 -1.000  -0.015 -1.052  0.126 -1.085  0.268 -1.091  0.410 -1.064  0.552 -1.036  0.694 -1.009  0.828 -0.952  0.961 -0.895  1.094 -0.838  1.227 -0.781
