3#app#app14#app1460/P  -0.433 1.293  -0.433 1.095  -0.413 0.903  -0.325 0.726  -0.316 0.530  -0.316 0.333  -0.316 0.135  -0.269 -0.043  -0.199 -0.211  -0.199 -0.409  -0.199 -0.606  -0.199 -0.804  -0.199 -1.002  -0.199 -1.199  -0.199 -1.397  -0.199 -1.594  -0.199 -1.792  -0.199 -1.753  -0.199 -1.555  -0.199 -1.358  -0.199 -1.160  -0.199 -0.963  -0.199 -0.765  -0.199 -0.567  -0.199 -0.370  -0.225 -0.178  -0.313 -0.002  -0.316 0.195  -0.316 0.393  -0.316 0.590  -0.316 0.788  -0.316 0.986  -0.228 1.147  -0.054 1.203  0.107 1.293  0.304 1.293  0.502 1.293  0.677 1.238  0.816 1.098  0.856 0.917  0.856 0.720  0.856 0.522  0.856 0.325  0.778 0.160  0.675 -0.007  0.566 -0.169  0.394 -0.230  0.314 -0.348  0.116 -0.348  -0.081 -0.348
3#app#app14#app1460/l  0.210 1.665  0.210 1.594  0.210 1.523  0.210 1.452  0.210 1.381  0.210 1.310  0.210 1.240  0.171 1.185  0.121 1.135  0.071 1.085  0.063 1.017  0.063 0.946  0.063 0.875  0.063 0.804  0.063 0.733  0.063 0.663  0.063 0.592  0.063 0.521  0.045 0.454  0.014 0.391  -0.018 0.327  -0.050 0.264  -0.081 0.201  -0.083 0.130  -0.083 0.059  -0.083 -0.011  -0.083 -0.082  -0.083 -0.153  -0.083 -0.224  -0.083 -0.295  -0.083 -0.366  -0.083 -0.437  -0.083 -0.508  -0.083 -0.578  -0.083 -0.649  -0.083 -0.720  -0.083 -0.791  -0.083 -0.862  -0.083 -0.933  -0.083 -1.004  -0.083 -1.075  -0.083 -1.145  -0.083 -1.216  -0.083 -1.287  -0.083 -1.358  -0.083 -1.429  -0.083 -1.500  -0.083 -1.571  -0.083 -1.641  -0.083 -1.712
3#app#app14#app1460/a  0.325 0.780  0.477 0.780  0.552 0.780  0.400 0.780  0.325 0.858  0.325 1.010  0.209 1.046  0.057 1.046  -0.095 1.046  -0.247 1.046  -0.399 1.046  -0.528 0.989  -0.635 0.882  -0.743 0.774  -0.851 0.666  -0.958 0.559  -1.002 0.425  -1.002 0.273  -1.002 0.121  -1.002 -0.031  -1.002 -0.183  -1.002 -0.335  -1.002 -0.487  -1.002 -0.639  -1.002 -0.792  -0.871 -0.813  -0.719 -0.813  -0.567 -0.813  -0.415 -0.813  -0.263 -0.813  -0.111 -0.813  0.041 -0.813  0.193 -0.813  0.339 -0.798  0.447 -0.691  0.555 -0.583  0.662 -0.476  0.770 -0.368  0.856 -0.252  0.856 -0.100  0.856 0.052  0.856 0.204  0.856 0.142  0.856 -0.010  0.856 -0.162  0.856 -0.314  0.856 -0.466  0.906 -0.598  1.014 -0.705  1.121 -0.813
3#app#app14#app1460/s  0.042 1.450  -0.092 1.450  -0.226 1.450  -0.360 1.450  -0.369 1.324  -0.369 1.190  -0.369 1.056  -0.486 1.039  -0.620 1.039  -0.754 1.039  -0.779 0.930  -0.779 0.796  -0.779 0.662  -0.679 0.628  -0.545 0.628  -0.411 0.628  -0.369 0.536  -0.369 0.402  -0.369 0.268  -0.285 0.218  -0.151 0.218  -0.017 0.218  0.042 0.142  0.042 0.008  0.042 -0.126  0.109 -0.193  0.243 -0.193  0.377 -0.193  0.511 -0.193  0.645 -0.193  0.779 -0.193  0.863 -0.243  0.863 -0.377  0.863 -0.511  0.821 -0.603  0.687 -0.603  0.553 -0.603  0.452 -0.637  0.452 -0.771  0.452 -0.905  0.427 -1.014  0.293 -1.014  0.159 -1.014  0.042 -1.031  0.042 -1.165  0.042 -1.299  0.034 -1.424  -0.101 -1.424  -0.235 -1.424  -0.369 -1.424
3#app#app14#app1460/s  0.404 1.558  0.404 1.440  0.404 1.322  0.394 1.214  0.275 1.214  0.157 1.214  0.060 1.193  0.060 1.075  0.060 0.957  0.029 0.870  -0.089 0.870  -0.208 0.870  -0.284 0.828  -0.284 0.710  -0.284 0.592  -0.336 0.526  -0.454 0.526  -0.573 0.526  -0.628 0.463  -0.628 0.345  -0.628 0.227  -0.555 0.182  -0.437 0.182  -0.319 0.182  -0.201 0.182  -0.082 0.182  0.036 0.182  0.060 0.088  0.060 -0.030  0.060 -0.149  0.164 -0.162  0.282 -0.162  0.401 -0.162  0.404 -0.277  0.404 -0.395  0.404 -0.514  0.404 -0.632  0.404 -0.750  0.392 -0.863  0.308 -0.946  0.225 -1.030  0.141 -1.114  0.060 -1.198  0.060 -1.316  0.060 -1.435  0.050 -1.549  -0.033 -1.632  -0.117 -1.716  -0.201 -1.799  -0.284 -1.883
3#app#app14#app1460/p  -0.310 0.784  -0.310 0.584  -0.310 0.383  -0.310 0.182  -0.310 -0.019  -0.310 -0.219  -0.310 -0.420  -0.310 -0.621  -0.310 -0.822  -0.437 -0.970  -0.491 -1.148  -0.491 -1.349  -0.491 -1.550  -0.491 -1.746  -0.491 -1.545  -0.491 -1.344  -0.491 -1.144  -0.491 -0.943  -0.419 -0.772  -0.310 -0.616  -0.310 -0.416  -0.310 -0.215  -0.310 -0.014  -0.310 0.187  -0.245 0.372  -0.155 0.552  -0.129 0.746  -0.129 0.947  -0.000 1.094  0.052 1.274  0.052 1.474  0.219 1.508  0.413 1.502  0.432 1.309  0.574 1.167  0.766 1.146  0.783 0.958  0.925 0.816  0.956 0.628  0.956 0.427  0.946 0.231  0.804 0.089  0.775 -0.100  0.648 -0.248  0.506 -0.390  0.343 -0.482  0.142 -0.482  -0.026 -0.404  -0.168 -0.262  -0.310 -0.120
3#app#app14#app1460/l  0.101 1.697  0.101 1.626  0.101 1.556  0.101 1.486  0.101 1.416  0.101 1.345  0.101 1.275  0.101 1.205  0.101 1.135  0.101 1.065  0.101 0.994  0.101 0.924  0.101 0.854  0.101 0.784  0.101 0.713  0.101 0.643  0.101 0.573  0.100 0.503  0.068 0.440  0.037 0.377  0.006 0.315  -0.026 0.252  -0.057 0.189  -0.069 0.122  -0.069 0.051  -0.069 -0.019  -0.069 -0.089  -0.069 -0.159  -0.069 -0.230  -0.069 -0.300  -0.069 -0.370  -0.069 -0.440  -0.069 -0.510  -0.069 -0.581  -0.069 -0.651  -0.069 -0.721  -0.069 -0.791  -0.069 -0.862  -0.069 -0.932  -0.069 -1.002  -0.069 -1.072  -0.069 -1.143  -0.069 -1.213  -0.069 -1.283  -0.069 -1.353  -0.069 -1.423  -0.069 -1.494  -0.069 -1.564  -0.069 -1.634  -0.069 -1.704
3#app#app14#app1460/a  0.594 0.946  0.434 0.946  0.274 0.946  0.114 0.946  -0.047 0.946  -0.207 0.946  -0.350 0.905  -0.463 0.792  -0.577 0.679  -0.723 0.645  -0.883 0.645  -0.911 0.513  -0.911 0.353  -1.063 0.344  -1.213 0.333  -1.213 0.173  -1.213 0.013  -1.213 -0.147  -1.213 -0.308  -1.213 -0.468  -1.144 -0.560  -0.984 -0.560  -0.824 -0.560  -0.664 -0.560  -0.503 -0.560  -0.343 -0.560  -0.183 -0.560  -0.023 -0.560  0.095 -0.457  0.208 -0.343  0.322 -0.230  0.435 -0.117  0.548 -0.004  0.662 0.110  0.775 0.223  0.888 0.336  0.746 0.344  0.594 0.335  0.594 0.175  0.614 0.023  0.728 -0.091  0.841 -0.204  0.896 -0.342  0.896 -0.502  0.896 -0.662  0.896 -0.822  1.017 -0.861  1.177 -0.861  1.338 -0.861  1.498 -0.861
3#app#app14#app1460/t  1.237 -0.099  1.078 -0.099  0.928 -0.141  0.785 -0.212  0.642 -0.284  0.492 -0.325  0.332 -0.325  0.173 -0.325  0.013 -0.325  -0.147 -0.325  -0.306 -0.325  -0.466 -0.325  -0.555 -0.267  -0.520 -0.111  -0.485 0.044  -0.451 0.200  -0.416 0.356  -0.381 0.512  -0.347 0.668  -0.312 0.824  -0.277 0.980  -0.243 1.136  -0.208 1.292  -0.173 1.447  -0.139 1.603  -0.116 1.650  -0.116 1.491  -0.116 1.331  -0.116 1.171  -0.116 1.012  -0.116 0.852  -0.116 0.692  -0.116 0.533  -0.116 0.373  -0.116 0.213  -0.116 0.053  -0.116 -0.106  -0.116 -0.266  -0.116 -0.426  -0.100 -0.582  -0.029 -0.724  0.042 -0.867  0.109 -1.011  0.109 -1.171  0.109 -1.331  0.109 -1.490  0.109 -1.650  0.241 -1.678  0.335 -1.744  0.335 -1.903
3#app#app14#app1460/e  -0.574 0.636  -0.426 0.636  -0.278 0.636  -0.131 0.636  0.017 0.636  0.165 0.636  0.313 0.636  0.461 0.636  0.608 0.636  0.756 0.636  0.904 0.636  1.052 0.636  1.200 0.636  1.082 0.636  0.935 0.636  0.787 0.636  0.639 0.636  0.491 0.636  0.343 0.636  0.196 0.636  0.048 0.636  -0.100 0.636  -0.248 0.636  -0.396 0.636  -0.543 0.636  -0.574 0.518  -0.574 0.371  -0.629 0.278  -0.777 0.278  -0.925 0.278  -0.932 0.137  -0.932 -0.011  -0.876 -0.135  -0.772 -0.240  -0.667 -0.344  -0.563 -0.449  -0.458 -0.553  -0.354 -0.658  -0.249 -0.762  -0.216 -0.897  -0.216 -1.044  -0.177 -1.153  -0.029 -1.153  0.118 -1.153  0.230 -1.241  0.334 -1.346  0.439 -1.450  0.499 -1.573  0.499 -1.721  0.499 -1.869
3#app#app14#app1460/s  0.083 1.610  0.166 1.527  0.249 1.444  0.332 1.360  0.415 1.277  0.423 1.194  0.340 1.111  0.256 1.028  0.173 0.945  0.090 0.862  -0.024 0.854  -0.142 0.854  -0.259 0.854  -0.295 0.772  -0.295 0.655  -0.295 0.537  -0.352 0.476  -0.469 0.476  -0.587 0.476  -0.673 0.445  -0.673 0.327  -0.673 0.210  -0.668 0.098  -0.550 0.098  -0.432 0.098  -0.315 0.098  -0.295 -0.000  -0.295 -0.118  -0.295 -0.235  -0.223 -0.280  -0.105 -0.280  0.013 -0.280  0.083 -0.328  0.083 -0.445  0.083 -0.563  0.105 -0.658  0.222 -0.658  0.340 -0.658  0.458 -0.658  0.460 -0.773  0.460 -0.890  0.460 -1.008  0.460 -1.125  0.460 -1.243  0.460 -1.360  0.415 -1.459  0.332 -1.542  0.249 -1.625  0.166 -1.709  0.083 -1.792
3#app#app14#app1460/w  -0.896 1.291  -1.078 1.291  -1.127 1.158  -1.127 0.976  -1.127 0.794  -1.127 0.612  -1.127 0.430  -1.127 0.248  -1.127 0.066  -1.127 -0.116  -1.127 -0.298  -1.016 -0.434  -0.896 -0.566  -0.896 -0.748  -0.751 -0.785  -0.569 -0.785  -0.401 -0.751  -0.272 -0.622  -0.119 -0.554  0.026 -0.517  0.026 -0.335  0.026 -0.153  0.026 0.029  0.078 0.190  0.207 0.318  0.257 0.479  0.257 0.661  0.257 0.817  0.257 0.635  0.257 0.453  0.257 0.271  0.257 0.089  0.257 -0.093  0.257 -0.275  0.257 -0.457  0.342 -0.554  0.488 -0.591  0.488 -0.773  0.658 -0.785  0.718 -0.664  0.791 -0.554  0.949 -0.530  0.949 -0.348  1.060 -0.212  1.180 -0.080  1.180 0.102  1.180 0.284  1.277 0.369  1.410 0.417  1.410 0.599
3#app#app14#app1460/e  -0.285 0.311  -0.153 0.311  -0.021 0.311  0.111 0.311  0.228 0.326  0.228 0.459  0.251 0.567  0.383 0.567  0.515 0.567  0.647 0.567  0.740 0.606  0.740 0.738  0.740 0.870  0.740 1.002  0.686 1.080  0.554 1.080  0.422 1.080  0.290 1.080  0.178 1.030  0.085 0.937  -0.009 0.844  -0.132 0.824  -0.264 0.824  -0.285 0.712  -0.285 0.580  -0.404 0.567  -0.536 0.567  -0.541 0.440  -0.541 0.308  -0.541 0.176  -0.541 0.044  -0.541 -0.088  -0.541 -0.220  -0.541 -0.352  -0.541 -0.484  -0.541 -0.616  -0.541 -0.748  -0.541 -0.880  -0.512 -1.000  -0.419 -1.093  -0.325 -1.187  -0.232 -1.280  -0.139 -1.374  -0.045 -1.467  0.080 -1.483  0.212 -1.483  0.344 -1.483  0.476 -1.483  0.608 -1.483  0.740 -1.483
3#app#app14#app1460/r  -0.740 -1.503  -0.740 -1.408  -0.740 -1.313  -0.740 -1.218  -0.740 -1.123  -0.740 -1.028  -0.740 -0.933  -0.740 -0.838  -0.740 -0.743  -0.740 -0.648  -0.740 -0.553  -0.740 -0.458  -0.740 -0.363  -0.740 -0.268  -0.740 -0.173  -0.740 -0.078  -0.740 0.017  -0.728 0.107  -0.660 0.175  -0.593 0.242  -0.526 0.309  -0.459 0.376  -0.392 0.443  -0.324 0.511  -0.257 0.578  -0.190 0.645  -0.123 0.712  -0.055 0.779  0.012 0.847  0.079 0.874  0.146 0.807  0.213 0.740  0.281 0.672  0.348 0.605  0.415 0.538  0.482 0.471  0.549 0.404  0.617 0.336  0.684 0.269  0.751 0.202  0.818 0.135  0.897 0.095  0.992 0.095  1.087 0.095  1.182 0.095  1.277 0.095  1.372 0.095  1.467 0.095  1.562 0.095  1.657 0.095
3#app#app14#app1460/e  -0.366 0.009  -0.366 -0.147  -0.330 -0.267  -0.174 -0.267  -0.090 -0.194  -0.090 -0.038  0.019 0.009  0.175 0.009  0.288 0.112  0.399 0.222  0.529 0.285  0.685 0.285  0.738 0.388  0.738 0.544  0.877 0.561  1.014 0.580  1.014 0.736  0.975 0.876  0.864 0.987  0.754 1.097  0.604 1.113  0.448 1.113  0.292 1.113  0.141 1.091  0.002 1.021  -0.138 0.951  -0.277 0.881  -0.366 0.780  -0.366 0.624  -0.459 0.561  -0.615 0.561  -0.642 0.432  -0.642 0.275  -0.642 0.119  -0.642 -0.037  -0.642 -0.193  -0.642 -0.349  -0.642 -0.505  -0.642 -0.661  -0.642 -0.817  -0.533 -0.928  -0.422 -1.038  -0.366 -1.171  -0.366 -1.327  -0.265 -1.421  -0.126 -1.491  0.014 -1.561  0.154 -1.630  0.306 -1.647  0.462 -1.647
