2#app#app35#app3520/8  0.563 1.218  0.388 1.218  0.212 1.218  0.037 1.218  -0.139 1.218  -0.272 1.115  -0.426 1.065  -0.482 0.912  -0.601 0.786  -0.691 0.648  -0.691 0.472  -0.691 0.297  -0.580 0.167  -0.456 0.043  -0.320 -0.064  -0.164 -0.144  -0.040 -0.268  0.084 -0.392  0.208 -0.516  0.332 -0.641  0.394 -0.767  0.459 -0.878  0.459 -1.053  0.427 -1.216  0.303 -1.340  0.150 -1.394  0.018 -1.498  -0.157 -1.498  -0.273 -1.438  -0.396 -1.375  -0.482 -1.235  -0.482 -1.060  -0.417 -0.911  -0.293 -0.787  -0.254 -0.624  -0.175 -0.467  -0.058 -0.338  0.020 -0.181  0.132 -0.048  0.256 0.076  0.371 0.207  0.449 0.364  0.481 0.532  0.559 0.689  0.563 0.863  0.563 1.039  0.463 1.114  0.392 1.218  0.216 1.218  0.041 1.218
2#app#app35#app3520/;  -0.346 1.192  -0.346 1.278  -0.346 1.364  -0.354 1.443  -0.440 1.443  -0.471 1.388  -0.456 1.317  -0.370 1.317  -0.330 1.258  -0.307 1.175  -0.285 1.092  -0.262 1.009  -0.239 0.926  -0.217 0.844  -0.194 0.761  -0.172 0.678  -0.149 0.595  -0.126 0.512  -0.104 0.429  -0.081 0.346  -0.059 0.263  -0.036 0.180  -0.013 0.098  0.009 0.015  0.039 -0.059  0.125 -0.059  0.154 -0.115  0.172 -0.184  0.257 -0.184  0.279 -0.248  0.279 -0.334  0.279 -0.420  0.279 -0.506  0.302 -0.582  0.363 -0.643  0.405 -0.712  0.405 -0.797  0.405 -0.883  0.405 -0.969  0.405 -1.055  0.323 -1.060  0.279 -1.102  0.278 -1.187  0.217 -1.248  0.156 -1.308  0.095 -1.369  0.035 -1.430  -0.049 -1.435  -0.096 -1.475  -0.096 -1.560
2#app#app35#app3520/>  -1.140 1.393  -1.048 1.393  -1.016 1.333  -1.016 1.240  -1.016 1.148  -0.953 1.081  -0.888 1.016  -0.822 0.951  -0.757 0.885  -0.691 0.820  -0.626 0.755  -0.561 0.689  -0.486 0.646  -0.394 0.646  -0.328 0.581  -0.263 0.516  -0.198 0.451  -0.129 0.390  -0.046 0.348  0.036 0.307  0.116 0.262  0.181 0.196  0.254 0.148  0.346 0.148  0.414 0.088  0.479 0.023  0.544 -0.042  0.613 -0.101  0.705 -0.101  0.727 -0.171  0.727 -0.263  0.727 -0.356  0.727 -0.448  0.660 -0.474  0.603 -0.509  0.600 -0.599  0.508 -0.599  0.478 -0.661  0.456 -0.745  0.391 -0.810  0.354 -0.887  0.346 -0.972  0.254 -0.972  0.229 -1.040  0.229 -1.132  0.225 -1.221  0.133 -1.221  0.105 -1.285  0.105 -1.377  0.105 -1.470
2#app#app35#app3520/S  0.528 0.972  0.389 0.995  0.279 1.087  0.131 1.087  -0.017 1.087  -0.131 1.005  -0.266 0.972  -0.414 0.972  -0.547 0.935  -0.663 0.856  -0.791 0.807  -0.912 0.741  -1.034 0.679  -1.087 0.552  -1.193 0.510  -1.202 0.371  -1.162 0.240  -1.045 0.164  -0.919 0.112  -0.797 0.049  -0.648 0.049  -0.500 0.049  -0.352 0.049  -0.204 0.049  -0.055 0.049  0.093 0.049  0.241 0.049  0.389 0.049  0.535 0.042  0.640 -0.063  0.786 -0.066  0.874 -0.127  0.940 -0.248  1.045 -0.353  1.105 -0.476  1.105 -0.624  1.105 -0.772  1.058 -0.874  0.909 -0.874  0.874 -0.986  0.728 -0.989  0.580 -0.989  0.432 -0.989  0.284 -0.989  0.135 -0.989  0.010 -0.933  -0.113 -0.874  -0.261 -0.874  -0.372 -0.782  -0.510 -0.758
2#app#app35#app3520/i  -0.219 0.187  -0.219 0.078  -0.219 -0.032  -0.219 -0.142  -0.219 -0.252  -0.219 -0.362  -0.219 -0.472  -0.219 -0.582  -0.219 -0.692  -0.147 -0.772  -0.071 -0.850  -0.071 -0.960  -0.071 -1.070  -0.071 -1.180  -0.071 -1.290  0.038 -1.291  0.077 -1.362  0.077 -1.407  0.077 -1.297  0.077 -1.187  0.077 -1.077  0.077 -0.967  0.077 -0.857  0.077 -0.747  0.077 -0.638  0.077 -0.528  0.077 -0.418  0.077 -0.308  0.077 -0.198  0.077 -0.088  0.077 0.022  0.077 0.132  0.077 0.242  0.077 0.352  0.077 0.461  0.077 0.571  0.077 0.681  0.077 0.791  0.077 0.901  0.077 1.011  0.077 1.121  0.077 1.231  0.077 1.341  0.077 1.451  0.077 1.561  0.077 1.670  0.077 1.780  0.001 1.814  -0.033 1.814  0.077 1.814
2#app#app35#app3520/m  -1.134 0.496  -1.134 0.313  -1.134 0.131  -1.134 -0.051  -1.134 -0.233  -1.134 -0.415  -1.020 -0.483  -1.020 -0.665  -1.020 -0.848  -1.020 -0.712  -1.020 -0.530  -0.972 -0.367  -0.906 -0.213  -0.906 -0.030  -0.827 0.119  -0.792 0.287  -0.731 0.443  -0.678 0.604  -0.565 0.672  -0.434 0.723  -0.252 0.723  -0.115 0.615  0.005 0.549  0.096 0.404  0.119 0.232  0.119 0.049  0.119 -0.133  0.132 -0.301  0.232 -0.383  0.232 -0.565  0.232 -0.539  0.232 -0.357  0.242 -0.178  0.346 -0.040  0.392 0.132  0.460 0.298  0.530 0.451  0.658 0.580  0.828 0.609  1.010 0.609  1.143 0.493  1.214 0.382  1.257 0.243  1.257 0.061  1.371 -0.074  1.371 -0.256  1.371 -0.438  1.371 -0.620  1.371 -0.803  1.371 -0.985
2#app#app35#app3520/i  -0.086 0.049  0.027 0.049  0.059 -0.031  0.059 -0.144  0.059 -0.256  0.059 -0.369  0.059 -0.481  0.059 -0.594  0.059 -0.706  0.059 -0.819  0.059 -0.931  0.059 -1.044  0.059 -1.156  0.059 -1.269  0.059 -1.381  0.059 -1.493  0.057 -1.485  0.051 -1.373  0.046 -1.261  0.040 -1.148  0.035 -1.036  0.030 -0.924  0.024 -0.811  0.019 -0.699  0.014 -0.587  0.008 -0.474  0.003 -0.362  -0.002 -0.250  -0.008 -0.137  -0.013 -0.025  -0.018 0.087  -0.024 0.200  -0.029 0.312  -0.034 0.425  -0.040 0.537  -0.045 0.649  -0.050 0.762  -0.056 0.874  -0.061 0.986  -0.067 1.099  -0.072 1.211  -0.077 1.323  -0.083 1.436  -0.086 1.548  -0.086 1.661  -0.086 1.773  -0.086 1.691  -0.086 1.578  -0.053 1.498  0.059 1.498
2#app#app35#app3520/l  -0.059 1.718  -0.059 1.646  -0.059 1.575  -0.059 1.504  -0.059 1.433  -0.059 1.362  -0.059 1.291  -0.059 1.220  -0.059 1.149  -0.059 1.078  -0.059 1.007  -0.059 0.936  -0.059 0.864  -0.059 0.793  -0.059 0.722  -0.059 0.651  -0.059 0.580  -0.059 0.509  -0.059 0.438  -0.059 0.367  -0.059 0.296  -0.059 0.225  -0.059 0.153  -0.059 0.082  -0.059 0.011  -0.059 -0.060  -0.059 -0.131  -0.059 -0.202  -0.059 -0.273  -0.059 -0.344  -0.059 -0.415  -0.059 -0.486  -0.011 -0.538  0.039 -0.588  0.071 -0.646  0.071 -0.717  0.071 -0.788  0.071 -0.859  0.071 -0.930  0.071 -1.001  0.071 -1.072  0.071 -1.144  0.071 -1.215  0.083 -1.281  0.133 -1.331  0.184 -1.381  0.201 -1.445  0.201 -1.516  0.201 -1.587  0.201 -1.659
2#app#app35#app3520/a  0.678 0.323  0.678 0.497  0.651 0.659  0.529 0.781  0.406 0.904  0.284 1.027  0.139 1.095  -0.034 1.095  -0.208 1.095  -0.381 1.095  -0.554 1.095  -0.573 0.941  -0.736 0.915  -0.858 0.793  -0.981 0.670  -1.019 0.513  -1.019 0.339  -1.130 0.212  -1.173 0.057  -1.173 -0.117  -1.173 -0.290  -1.162 -0.459  -1.040 -0.581  -0.917 -0.704  -0.776 -0.801  -0.621 -0.878  -0.456 -0.911  -0.283 -0.911  -0.109 -0.911  0.018 -0.800  0.173 -0.757  0.308 -0.664  0.370 -0.516  0.475 -0.448  0.580 -0.337  0.657 -0.182  0.678 -0.014  0.678 0.160  0.833 0.179  0.804 0.323  0.678 0.276  0.678 0.103  0.678 -0.070  0.678 -0.244  0.678 -0.417  0.678 -0.590  0.685 -0.757  0.833 -0.782  0.864 -0.943  0.987 -1.065
2#app#app35#app3520/r  -0.151 0.449  -0.151 0.322  -0.151 0.195  -0.151 0.069  -0.151 -0.058  -0.151 -0.185  -0.151 -0.312  -0.151 -0.439  -0.151 -0.566  -0.131 -0.685  -0.041 -0.775  0.009 -0.881  0.009 -1.008  0.009 -1.135  0.009 -1.261  -0.078 -1.302  -0.151 -1.356  -0.151 -1.440  -0.151 -1.313  -0.151 -1.186  -0.234 -1.143  -0.310 -1.091  -0.310 -0.964  -0.310 -0.838  -0.310 -0.711  -0.310 -0.584  -0.310 -0.457  -0.310 -0.330  -0.310 -0.203  -0.310 -0.076  -0.274 0.042  -0.218 0.156  -0.161 0.269  -0.151 0.394  -0.128 0.517  -0.088 0.637  -0.048 0.758  -0.008 0.878  0.009 1.003  0.039 1.117  0.129 1.206  0.219 1.296  0.309 1.386  0.428 1.405  0.555 1.405  0.682 1.405  0.808 1.405  0.935 1.405  1.033 1.335  1.123 1.245
2#app#app35#app3520/?  -0.587 0.660  -0.587 0.775  -0.580 0.887  -0.498 0.968  -0.417 1.049  -0.323 1.097  -0.208 1.097  -0.093 1.097  0.022 1.097  0.137 1.097  0.251 1.097  0.366 1.097  0.481 1.097  0.596 1.097  0.614 1.001  0.614 0.886  0.614 0.771  0.614 0.657  0.614 0.542  0.614 0.427  0.614 0.312  0.596 0.205  0.515 0.124  0.404 0.114  0.320 0.039  0.220 0.005  0.105 0.005  -0.010 0.005  -0.125 0.005  -0.240 0.005  -0.260 -0.090  -0.360 -0.104  -0.369 -0.210  -0.369 -0.325  -0.369 -0.440  -0.369 -0.554  -0.369 -0.669  -0.369 -0.784  -0.369 -0.899  -0.369 -1.014  -0.328 -1.088  -0.236 -1.127  -0.177 -1.226  -0.118 -1.324  -0.059 -1.423  0.000 -1.521  0.059 -1.620  -0.030 -1.634  -0.145 -1.634  -0.041 -1.634
