2#apa#apa10#app1014/t  -0.216 0.839  -0.216 1.000  -0.216 1.161  -0.153 1.308  -0.081 1.452  -0.045 1.605  -0.045 1.624  -0.072 1.469  -0.144 1.325  -0.216 1.181  -0.288 1.037  -0.360 0.892  -0.387 0.738  -0.387 0.576  -0.387 0.415  -0.387 0.254  -0.399 0.094  -0.431 -0.064  -0.462 -0.223  -0.494 -0.381  -0.526 -0.539  -0.557 -0.697  -0.509 -0.850  -0.458 -1.003  -0.407 -1.156  -0.289 -1.216  -0.137 -1.255  0.007 -1.328  0.151 -1.375  0.295 -1.303  0.440 -1.231  0.584 -1.159  0.728 -1.087  0.860 -0.997  0.974 -0.883  0.888 -0.760  0.785 -0.636  0.682 -0.512  0.579 -0.388  0.475 -0.265  0.372 -0.141  0.269 -0.017  0.166 0.107  0.026 0.154  -0.135 0.154  -0.180 0.226  -0.108 0.370  -0.025 0.496  0.137 0.496  0.298 0.496
2#apa#apa10#app1014/p  -0.390 0.394  -0.390 0.558  -0.390 0.721  -0.390 0.740  -0.390 0.577  -0.390 0.413  -0.390 0.249  -0.390 0.086  -0.390 -0.078  -0.390 -0.242  -0.390 -0.405  -0.390 -0.569  -0.409 -0.730  -0.449 -0.889  -0.489 -1.048  -0.528 -1.207  -0.568 -1.366  -0.599 -1.526  -0.599 -1.689  -0.551 -1.555  -0.499 -1.400  -0.447 -1.244  -0.396 -1.089  -0.344 -0.934  -0.292 -0.779  -0.240 -0.623  -0.189 -0.468  -0.126 -0.317  -0.062 -0.166  0.003 -0.016  0.067 0.135  0.132 0.285  0.196 0.436  0.261 0.586  0.325 0.737  0.390 0.887  0.459 1.034  0.575 1.150  0.691 1.265  0.807 1.381  0.866 1.362  0.866 1.198  0.866 1.034  0.866 0.871  0.792 0.738  0.676 0.622  0.657 0.466  0.657 0.303  0.657 0.139  0.657 -0.025
2#apa#apa10#app1014/h  -0.134 1.552  -0.134 1.659  -0.134 1.766  -0.134 1.708  -0.134 1.601  -0.145 1.495  -0.166 1.390  -0.187 1.285  -0.208 1.180  -0.229 1.075  -0.250 0.970  -0.271 0.865  -0.292 0.760  -0.313 0.655  -0.334 0.550  -0.355 0.445  -0.373 0.339  -0.373 0.232  -0.373 0.125  -0.373 0.018  -0.373 -0.089  -0.373 -0.196  -0.373 -0.303  -0.373 -0.410  -0.373 -0.517  -0.373 -0.624  -0.373 -0.732  -0.373 -0.839  -0.373 -0.946  -0.373 -1.053  -0.312 -1.013  -0.236 -0.937  -0.160 -0.861  -0.071 -0.804  0.025 -0.756  0.120 -0.708  0.216 -0.660  0.312 -0.612  0.408 -0.564  0.503 -0.516  0.599 -0.468  0.695 -0.421  0.791 -0.373  0.821 -0.431  0.821 -0.538  0.821 -0.645  0.821 -0.752  0.821 -0.859  0.821 -0.967  0.821 -1.074
2#apa#apa10#app1014/w  -0.901 0.533  -0.901 0.661  -0.901 0.789  -0.901 0.817  -0.906 0.690  -0.963 0.576  -1.021 0.462  -1.068 0.345  -1.068 0.217  -1.068 0.089  -1.068 -0.039  -1.068 -0.167  -1.068 -0.294  -1.068 -0.422  -1.068 -0.550  -1.027 -0.636  -0.899 -0.635  -0.777 -0.595  -0.656 -0.554  -0.535 -0.514  -0.413 -0.474  -0.349 -0.367  -0.292 -0.253  -0.235 -0.138  -0.130 -0.066  -0.024 0.005  0.083 0.076  0.189 0.147  0.268 0.233  0.268 0.361  0.268 0.243  0.327 0.140  0.417 0.049  0.481 -0.060  0.538 -0.175  0.595 -0.289  0.703 -0.353  0.817 -0.410  0.932 -0.467  1.046 -0.414  1.161 -0.357  1.270 -0.296  1.270 -0.168  1.300 -0.045  1.340 0.076  1.380 0.197  1.421 0.319  1.437 0.444  1.437 0.572  1.437 0.700
2#apa#apa10#app1014/o  -0.174 0.538  -0.174 0.667  -0.174 0.796  -0.282 0.818  -0.411 0.818  -0.515 0.757  -0.607 0.666  -0.698 0.575  -0.789 0.483  -0.881 0.392  -0.972 0.300  -1.015 0.189  -1.015 0.059  -1.015 -0.070  -1.015 -0.199  -1.015 -0.329  -1.015 -0.458  -1.013 -0.586  -0.921 -0.678  -0.830 -0.769  -0.738 -0.860  -0.610 -0.864  -0.481 -0.864  -0.352 -0.864  -0.222 -0.864  -0.096 -0.844  0.030 -0.813  0.155 -0.782  0.281 -0.750  0.406 -0.719  0.532 -0.687  0.657 -0.656  0.783 -0.625  0.908 -0.593  0.947 -0.495  0.947 -0.365  0.947 -0.236  0.947 -0.107  0.947 0.023  0.947 0.152  0.947 0.281  0.947 0.411  0.946 0.540  0.889 0.655  0.831 0.771  0.773 0.887  0.715 1.002  0.645 1.099  0.516 1.099  0.387 1.099
2#apa#apa10#app1014/r  -0.157 -0.272  -0.222 -0.143  -0.286 -0.014  -0.350 0.114  -0.415 0.243  -0.446 0.351  -0.302 0.351  -0.158 0.351  -0.157 0.209  -0.157 0.065  -0.157 -0.079  -0.157 -0.223  -0.187 -0.362  -0.233 -0.498  -0.278 -0.635  -0.324 -0.771  -0.369 -0.908  -0.415 -1.044  -0.460 -1.181  -0.469 -1.323  -0.469 -1.467  -0.469 -1.425  -0.469 -1.281  -0.469 -1.137  -0.469 -0.993  -0.469 -0.850  -0.469 -0.706  -0.469 -0.562  -0.469 -0.418  -0.469 -0.274  -0.406 -0.145  -0.341 -0.017  -0.277 0.112  -0.213 0.241  -0.143 0.366  -0.041 0.467  0.060 0.569  0.162 0.671  0.264 0.773  0.366 0.874  0.468 0.975  0.612 0.975  0.756 0.975  0.893 1.013  1.030 1.059  1.166 1.104  1.303 1.150  1.439 1.195  1.576 1.241  1.712 1.286
2#apa#apa10#app1014/k  -0.625 1.224  -0.625 1.405  -0.625 1.585  -0.625 1.766  -0.506 1.658  -0.441 1.505  -0.441 1.324  -0.441 1.143  -0.441 0.963  -0.441 0.782  -0.441 0.602  -0.441 0.421  -0.441 0.241  -0.441 0.060  -0.441 -0.120  -0.441 -0.301  -0.441 -0.481  -0.441 -0.662  -0.467 -0.831  -0.595 -0.959  -0.625 -1.127  -0.625 -1.039  -0.533 -0.897  -0.406 -0.769  -0.278 -0.642  -0.189 -0.486  -0.108 -0.324  -0.017 -0.169  0.083 -0.019  0.183 0.131  0.283 0.281  0.453 0.302  0.633 0.302  0.814 0.302  0.994 0.302  1.175 0.302  1.219 0.166  1.126 0.024  0.998 -0.104  0.870 -0.231  0.714 -0.319  0.553 -0.400  0.391 -0.481  0.230 -0.561  0.113 -0.670  0.113 -0.850  0.152 -1.002  0.323 -1.059  0.495 -1.116  0.666 -1.173
2#apa#apa10#app1014/e  -0.647 0.208  -0.498 0.208  -0.350 0.208  -0.201 0.208  -0.053 0.208  0.095 0.208  0.244 0.208  0.392 0.208  0.533 0.237  0.666 0.304  0.799 0.370  0.932 0.436  1.035 0.520  1.035 0.669  0.992 0.790  0.859 0.857  0.726 0.923  0.594 0.989  0.459 1.049  0.311 1.049  0.166 1.035  0.033 0.968  -0.100 0.902  -0.232 0.835  -0.365 0.769  -0.470 0.665  -0.575 0.560  -0.680 0.455  -0.785 0.350  -0.890 0.245  -0.927 0.112  -0.927 -0.036  -0.927 -0.185  -0.927 -0.333  -0.869 -0.468  -0.803 -0.601  -0.737 -0.733  -0.670 -0.866  -0.556 -0.944  -0.415 -0.991  -0.275 -1.037  -0.134 -1.084  0.007 -1.131  0.148 -1.178  0.293 -1.194  0.442 -1.194  0.590 -1.194  0.739 -1.194  0.887 -1.194  1.035 -1.194
2#apa#apa10#app1014/d  -0.151 -0.566  -0.017 -0.432  0.021 -0.258  -0.131 -0.222  -0.321 -0.222  -0.511 -0.222  -0.700 -0.222  -0.863 -0.266  -0.947 -0.435  -1.013 -0.609  -1.013 -0.799  -0.978 -0.980  -0.894 -1.150  -0.769 -1.256  -0.606 -1.193  -0.472 -1.059  -0.338 -0.925  -0.222 -0.775  -0.108 -0.623  0.006 -0.472  0.120 -0.320  0.215 -0.159  0.275 0.021  0.334 0.201  0.381 0.384  0.412 0.572  0.443 0.759  0.474 0.946  0.505 1.133  0.537 1.320  0.538 1.509  0.538 1.699  0.520 1.810  0.435 1.640  0.359 1.468  0.322 1.282  0.285 1.096  0.247 0.910  0.210 0.724  0.194 0.536  0.194 0.346  0.194 0.157  0.194 -0.033  0.194 -0.222  0.194 -0.412  0.194 -0.602  0.223 -0.782  0.328 -0.940  0.433 -1.098  0.538 -1.256
2#apa#apa10#app1014/.  0.000 -1.664  0.000 -1.525  0.000 -1.387  0.000 -1.248  0.000 -1.109  0.000 -0.971  0.000 -0.832  0.000 -0.693  0.000 -0.555  0.000 -0.416  0.000 -0.277  0.000 -0.139  0.000 0.000  0.000 0.139  0.000 0.277  0.000 0.416  0.000 0.555  0.000 0.693  0.000 0.832  0.000 0.971  0.000 1.109  0.000 1.248  0.000 1.387  0.000 1.525  0.000 1.664  0.000 1.664  0.000 1.525  0.000 1.387  0.000 1.248  0.000 1.109  0.000 0.971  0.000 0.832  0.000 0.693  0.000 0.555  0.000 0.416  0.000 0.277  0.000 0.139  0.000 0.000  0.000 -0.139  0.000 -0.277  0.000 -0.416  0.000 -0.555  0.000 -0.693  0.000 -0.832  0.000 -0.971  0.000 -1.109  0.000 -1.248  0.000 -1.387  0.000 -1.525  0.000 -1.664
2#apa#apa10#app1014/E  -0.103 -0.254  -0.265 -0.120  -0.304 -0.372  -0.386 -0.617  -0.428 -0.868  -0.428 -1.127  -0.583 -1.229  -0.590 -0.978  -0.590 -0.720  -0.590 -0.462  -0.590 -0.203  -0.590 0.055  -0.590 0.313  -0.590 0.571  -0.590 0.829  -0.571 1.083  -0.456 1.314  -0.290 1.509  -0.045 1.514  0.200 1.432  0.446 1.355  0.697 1.293  0.947 1.230  1.197 1.203  1.111 0.992  0.892 0.855  0.674 0.718  0.455 0.582  0.236 0.445  0.017 0.308  -0.220 0.233  -0.220 0.048  0.011 -0.067  0.263 -0.092  0.522 -0.092  0.780 -0.092  0.869 -0.255  0.622 -0.329  0.375 -0.404  0.127 -0.478  -0.120 -0.552  -0.367 -0.626  -0.615 -0.700  -0.702 -0.844  -0.581 -1.067  -0.323 -1.067  -0.065 -1.067  0.193 -1.067  0.452 -1.067  0.710 -1.067
2#apa#apa10#app1014/v  -0.849 0.684  -0.849 0.810  -0.849 0.935  -0.828 1.010  -0.739 0.921  -0.651 0.833  -0.562 0.744  -0.502 0.643  -0.502 0.518  -0.502 0.393  -0.502 0.267  -0.502 0.142  -0.502 0.017  -0.502 -0.108  -0.502 -0.234  -0.502 -0.359  -0.502 -0.484  -0.502 -0.610  -0.487 -0.731  -0.431 -0.844  -0.375 -0.956  -0.319 -1.068  -0.263 -1.180  -0.207 -1.292  -0.156 -1.382  -0.156 -1.257  -0.156 -1.132  -0.133 -1.013  -0.064 -0.909  0.006 -0.805  0.075 -0.701  0.145 -0.596  0.214 -0.492  0.284 -0.388  0.353 -0.283  0.423 -0.179  0.492 -0.075  0.557 0.032  0.613 0.144  0.669 0.256  0.725 0.368  0.781 0.480  0.837 0.593  0.893 0.705  0.949 0.817  1.005 0.929  1.061 1.041  1.117 1.153  1.173 1.265  1.229 1.377
2#apa#apa10#app1014/e  -1.068 0.159  -0.943 0.035  -0.819 -0.089  -0.652 -0.111  -0.476 -0.111  -0.300 -0.111  -0.125 -0.111  0.051 -0.111  0.227 -0.111  0.397 -0.075  0.564 -0.019  0.731 0.037  0.897 0.092  1.064 0.148  1.099 0.299  1.099 0.475  1.099 0.651  0.986 0.757  0.829 0.836  0.672 0.914  0.509 0.972  0.334 0.972  0.158 0.972  -0.018 0.972  -0.194 0.972  -0.358 0.921  -0.515 0.842  -0.672 0.763  -0.813 0.668  -0.892 0.511  -0.970 0.354  -1.049 0.196  -1.068 0.025  -1.068 -0.151  -1.068 -0.327  -0.982 -0.467  -0.858 -0.592  -0.710 -0.675  -0.540 -0.717  -0.369 -0.760  -0.198 -0.803  -0.028 -0.845  0.143 -0.888  0.314 -0.924  0.490 -0.924  0.666 -0.924  0.842 -0.924  1.018 -0.924  1.194 -0.924  1.369 -0.924
2#apa#apa10#app1014/n  -0.201 0.241  -0.201 0.399  -0.201 0.558  -0.303 0.614  -0.462 0.614  -0.574 0.567  -0.574 0.409  -0.574 0.251  -0.574 0.092  -0.574 -0.066  -0.574 -0.225  -0.574 -0.383  -0.574 -0.541  -0.574 -0.700  -0.574 -0.858  -0.713 -0.877  -0.871 -0.877  -0.946 -0.960  -0.946 -1.119  -0.927 -1.231  -0.815 -1.119  -0.703 -1.007  -0.591 -0.895  -0.531 -0.751  -0.481 -0.600  -0.431 -0.450  -0.381 -0.300  -0.331 -0.150  -0.281 0.000  -0.231 0.151  -0.156 0.286  -0.044 0.398  0.068 0.510  0.180 0.622  0.292 0.734  0.404 0.846  0.516 0.958  0.662 0.986  0.821 0.986  0.961 0.943  1.073 0.831  1.185 0.719  1.290 0.604  1.290 0.446  1.290 0.287  1.290 0.129  1.290 -0.029  1.290 -0.188  1.290 -0.346  1.290 -0.505
2#apa#apa10#app1014/a  1.029 0.086  0.911 0.204  0.792 0.323  0.697 0.451  0.697 0.618  0.661 0.749  0.494 0.749  0.327 0.749  0.160 0.749  -0.008 0.749  -0.175 0.749  -0.342 0.749  -0.509 0.749  -0.663 0.715  -0.781 0.597  -0.899 0.479  -1.041 0.418  -1.208 0.418  -1.292 0.334  -1.292 0.167  -1.292 -0.001  -1.292 -0.168  -1.292 -0.335  -1.292 -0.502  -1.199 -0.577  -1.032 -0.577  -0.865 -0.577  -0.697 -0.577  -0.540 -0.533  -0.391 -0.458  -0.241 -0.383  -0.092 -0.308  0.053 -0.227  0.171 -0.108  0.290 0.010  0.408 0.128  0.526 0.247  0.644 0.365  0.697 0.325  0.697 0.158  0.697 -0.009  0.697 -0.176  0.697 -0.344  0.697 -0.511  0.769 -0.649  0.887 -0.767  1.006 -0.885  1.124 -1.003  1.242 -1.122  1.361 -1.240
