2#app#app08#app0833/!  0.343 1.737  0.343 1.654  0.343 1.571  0.343 1.488  0.343 1.405  0.293 1.343  0.235 1.284  0.228 1.204  0.228 1.121  0.221 1.041  0.162 0.983  0.113 0.920  0.113 0.837  0.068 0.773  0.009 0.714  -0.001 0.636  -0.001 0.553  -0.001 0.470  -0.001 0.387  -0.057 0.360  -0.116 0.336  -0.116 0.253  -0.116 0.170  -0.116 0.087  -0.105 0.015  -0.022 0.015  -0.001 -0.047  -0.006 -0.130  -0.020 -0.212  -0.034 -0.294  -0.047 -0.375  -0.061 -0.457  -0.075 -0.539  -0.088 -0.621  -0.102 -0.703  -0.116 -0.785  -0.129 -0.866  -0.143 -0.948  -0.156 -1.030  -0.170 -1.112  -0.184 -1.194  -0.197 -1.276  -0.211 -1.357  -0.225 -1.439  -0.187 -1.477  -0.116 -1.465  -0.116 -1.382  -0.116 -1.299  -0.116 -1.216  -0.116 -1.133
2#app#app08#app0833/~  -1.476 -0.331  -1.335 -0.331  -1.236 -0.288  -1.236 -0.148  -1.236 -0.007  -1.236 0.134  -1.109 0.148  -0.997 0.177  -0.997 0.317  -0.926 0.388  -0.785 0.388  -0.757 0.501  -0.743 0.627  -0.602 0.627  -0.518 0.684  -0.518 0.825  -0.419 0.867  -0.278 0.867  -0.137 0.867  -0.039 0.824  -0.039 0.683  -0.039 0.542  -0.039 0.401  -0.039 0.260  -0.039 0.119  -0.039 -0.021  -0.039 -0.162  -0.039 -0.303  -0.039 -0.444  -0.039 -0.585  -0.039 -0.726  0.018 -0.810  0.159 -0.810  0.300 -0.810  0.440 -0.809  0.440 -0.668  0.483 -0.570  0.624 -0.570  0.765 -0.570  0.906 -0.570  0.919 -0.442  0.948 -0.331  1.089 -0.331  1.209 -0.280  1.308 -0.181  1.398 -0.077  1.398 0.064  1.438 0.188  1.537 0.288  1.637 0.388
2#app#app08#app0833/  -1.680 0.294  -1.607 0.294  -1.534 0.294  -1.462 0.294  -1.389 0.294  -1.316 0.294  -1.243 0.294  -1.170 0.294  -1.097 0.294  -1.024 0.294  -0.951 0.294  -0.878 0.294  -0.805 0.294  -0.732 0.294  -0.681 0.243  -0.629 0.191  -0.578 0.140  -0.526 0.088  -0.466 0.057  -0.393 0.057  -0.320 0.057  -0.247 0.057  -0.174 0.057  -0.102 0.057  -0.029 0.057  0.044 0.057  0.117 0.057  0.190 0.057  0.258 0.036  0.323 0.003  0.389 -0.029  0.454 -0.062  0.519 -0.094  0.584 -0.127  0.649 -0.160  0.717 -0.180  0.790 -0.180  0.863 -0.180  0.934 -0.186  0.985 -0.237  1.037 -0.289  1.089 -0.341  1.140 -0.392  1.202 -0.418  1.275 -0.418  1.348 -0.418  1.421 -0.418  1.494 -0.418  1.567 -0.418  1.640 -0.418
2#app#app08#app0833/_  -1.281 0.346  -1.358 0.346  -1.421 0.359  -1.421 0.435  -1.396 0.486  -1.320 0.486  -1.244 0.486  -1.168 0.486  -1.092 0.486  -1.016 0.486  -0.958 0.442  -0.904 0.388  -0.846 0.346  -0.770 0.346  -0.702 0.326  -0.648 0.272  -0.595 0.218  -0.523 0.206  -0.447 0.206  -0.383 0.167  -0.320 0.124  -0.257 0.082  -0.194 0.040  -0.130 -0.002  -0.067 -0.044  0.000 -0.073  0.076 -0.073  0.142 -0.099  0.195 -0.153  0.249 -0.207  0.323 -0.213  0.399 -0.213  0.475 -0.213  0.551 -0.213  0.627 -0.213  0.703 -0.213  0.779 -0.213  0.843 -0.242  0.897 -0.296  0.951 -0.349  1.025 -0.352  1.099 -0.358  1.153 -0.412  1.207 -0.466  1.272 -0.492  1.348 -0.492  1.424 -0.492  1.500 -0.492  1.576 -0.492  1.652 -0.492
2#app#app08#app0833/+  -0.284 1.207  -0.103 1.207  0.066 1.195  0.066 1.014  0.066 0.833  0.066 0.652  0.066 0.471  0.066 0.290  0.066 0.109  0.028 -0.056  -0.100 -0.184  -0.109 -0.361  -0.109 -0.542  -0.106 -0.722  0.022 -0.850  0.066 -1.012  0.066 -1.193  0.066 -1.374  0.163 -1.515  0.202 -1.535  0.101 -1.384  0.001 -1.233  -0.100 -1.083  -0.200 -0.932  -0.300 -0.782  -0.401 -0.631  -0.501 -0.481  -0.601 -0.330  -0.702 -0.180  -0.802 -0.029  -0.903 0.122  -1.003 0.272  -1.103 0.423  -1.080 0.507  -0.899 0.507  -0.718 0.507  -0.537 0.507  -0.356 0.507  -0.175 0.507  0.006 0.507  0.187 0.507  0.368 0.507  0.549 0.507  0.730 0.507  0.911 0.507  1.092 0.507  1.273 0.507  1.454 0.507  1.635 0.507  1.816 0.507
2#app#app08#app0833/=  -1.543 0.756  -1.543 0.565  -1.375 0.543  -1.184 0.543  -0.994 0.543  -0.804 0.543  -0.614 0.543  -0.423 0.543  -0.233 0.543  -0.043 0.543  0.148 0.543  0.338 0.543  0.481 0.428  0.631 0.331  0.821 0.331  1.011 0.331  1.202 0.331  1.392 0.331  1.536 0.221  1.591 0.113  1.403 0.086  1.215 0.059  1.026 0.032  0.838 0.005  0.649 -0.022  0.461 -0.049  0.273 -0.076  0.084 -0.103  -0.104 -0.130  -0.293 -0.156  -0.481 -0.183  -0.669 -0.210  -0.858 -0.237  -1.046 -0.264  -1.235 -0.291  -1.331 -0.398  -1.260 -0.517  -1.070 -0.517  -0.880 -0.517  -0.689 -0.517  -0.499 -0.517  -0.309 -0.517  -0.118 -0.517  0.072 -0.517  0.262 -0.517  0.452 -0.517  0.643 -0.517  0.833 -0.517  1.023 -0.517  1.214 -0.517
2#app#app08#app0833/[  1.353 0.764  1.255 0.764  1.157 0.764  1.059 0.764  0.961 0.764  0.863 0.764  0.765 0.764  0.667 0.764  0.615 0.811  0.594 0.887  0.496 0.887  0.398 0.887  0.300 0.887  0.202 0.887  0.103 0.887  0.005 0.887  -0.093 0.887  -0.191 0.887  -0.245 0.844  -0.245 0.746  -0.245 0.648  -0.310 0.576  -0.368 0.502  -0.368 0.404  -0.368 0.306  -0.368 0.208  -0.368 0.110  -0.368 0.012  -0.368 -0.086  -0.368 -0.184  -0.368 -0.282  -0.395 -0.369  -0.464 -0.439  -0.491 -0.525  -0.491 -0.624  -0.491 -0.722  -0.491 -0.820  -0.550 -0.893  -0.614 -0.965  -0.614 -1.063  -0.558 -1.138  -0.487 -1.204  -0.389 -1.204  -0.291 -1.204  -0.193 -1.204  -0.095 -1.204  0.002 -1.206  0.072 -1.275  0.148 -1.327  0.246 -1.327
2#app#app08#app0833/]  -0.685 1.332  -0.685 1.219  -0.601 1.191  -0.504 1.151  -0.425 1.071  -0.321 1.050  -0.209 1.050  -0.121 1.025  -0.121 0.912  -0.012 0.909  0.101 0.909  0.214 0.909  0.326 0.909  0.439 0.909  0.443 0.800  0.523 0.768  0.636 0.768  0.725 0.744  0.725 0.632  0.618 0.626  0.584 0.548  0.549 0.450  0.469 0.370  0.389 0.290  0.310 0.211  0.302 0.101  0.250 0.010  0.170 -0.069  0.161 -0.178  0.111 -0.270  0.031 -0.350  0.020 -0.458  0.020 -0.570  0.020 -0.683  0.012 -0.792  -0.068 -0.872  -0.121 -0.962  -0.121 -1.075  -0.121 -1.188  -0.027 -1.207  -0.026 -1.253  -0.106 -1.332  -0.212 -1.348  -0.262 -1.285  -0.296 -1.207  -0.409 -1.207  -0.521 -1.207  -0.624 -1.166  -0.725 -1.116  -0.826 -1.066
2#app#app08#app0833/{  0.639 1.442  0.637 1.569  0.509 1.569  0.385 1.565  0.380 1.442  0.258 1.436  0.253 1.310  0.162 1.220  0.131 1.104  0.131 0.976  0.131 0.848  0.131 0.720  0.195 0.618  0.258 0.517  0.258 0.389  0.218 0.301  0.131 0.259  0.088 0.174  0.005 0.130  -0.041 0.048  -0.169 0.048  -0.249 0.096  -0.298 0.174  -0.426 0.174  -0.502 0.226  -0.449 0.301  -0.321 0.301  -0.249 0.246  -0.192 0.174  -0.122 0.116  -0.122 -0.012  -0.122 -0.140  -0.122 -0.268  -0.122 -0.396  -0.168 -0.505  -0.249 -0.599  -0.249 -0.727  -0.265 -0.840  -0.376 -0.857  -0.376 -0.985  -0.362 -1.107  -0.271 -1.198  -0.249 -1.316  -0.151 -1.347  -0.052 -1.417  0.052 -1.474  0.166 -1.508  0.257 -1.599  0.384 -1.601  0.512 -1.601
2#app#app08#app0833/}  0.313 1.719  0.389 1.643  0.445 1.559  0.442 1.453  0.366 1.377  0.290 1.302  0.215 1.226  0.139 1.150  0.063 1.074  0.050 0.973  -0.014 0.929  -0.082 0.890  -0.092 0.787  -0.168 0.711  -0.213 0.623  -0.213 0.516  -0.213 0.409  -0.213 0.301  -0.213 0.194  -0.161 0.140  -0.054 0.140  0.054 0.140  0.161 0.140  0.181 0.226  0.119 0.271  0.012 0.271  -0.082 0.258  -0.082 0.151  -0.082 0.044  -0.082 -0.063  -0.082 -0.171  -0.082 -0.278  -0.082 -0.385  -0.082 -0.492  -0.025 -0.576  0.050 -0.652  0.050 -0.759  0.050 -0.866  0.050 -0.973  0.050 -1.081  0.050 -1.188  0.050 -1.295  0.050 -1.402  0.050 -1.509  0.005 -1.571  -0.096 -1.557  -0.172 -1.481  -0.262 -1.440  -0.369 -1.440  -0.477 -1.440
2#app#app08#app0833/\\  -1.023 1.353  -0.963 1.294  -0.904 1.235  -0.844 1.175  -0.822 1.101  -0.822 1.017  -0.803 0.952  -0.719 0.952  -0.635 0.952  -0.621 0.882  -0.621 0.798  -0.595 0.725  -0.535 0.665  -0.476 0.606  -0.415 0.550  -0.331 0.550  -0.247 0.550  -0.219 0.494  -0.219 0.410  -0.219 0.326  -0.219 0.242  -0.219 0.158  -0.145 0.149  -0.061 0.149  -0.018 0.107  -0.018 0.023  -0.013 -0.058  0.047 -0.118  0.106 -0.177  0.165 -0.236  0.182 -0.313  0.182 -0.397  0.202 -0.473  0.261 -0.533  0.320 -0.592  0.380 -0.651  0.462 -0.655  0.546 -0.655  0.584 -0.701  0.584 -0.785  0.593 -0.865  0.653 -0.924  0.712 -0.984  0.771 -1.043  0.831 -1.102  0.890 -1.162  0.949 -1.221  1.018 -1.257  1.102 -1.257  1.186 -1.257
2#app#app08#app0833/,  0.129 1.571  0.215 1.571  0.300 1.571  0.378 1.563  0.378 1.478  0.378 1.393  0.378 1.307  0.378 1.222  0.378 1.137  0.378 1.051  0.378 0.966  0.378 0.880  0.378 0.795  0.378 0.710  0.378 0.624  0.378 0.539  0.378 0.454  0.378 0.368  0.378 0.283  0.378 0.197  0.378 0.112  0.341 0.042  0.280 -0.018  0.220 -0.079  0.160 -0.139  0.129 -0.212  0.129 -0.297  0.129 -0.383  0.079 -0.418  -0.006 -0.418  -0.091 -0.418  -0.119 -0.476  -0.119 -0.561  -0.119 -0.646  -0.184 -0.666  -0.270 -0.666  -0.355 -0.666  -0.368 -0.739  -0.368 -0.825  -0.368 -0.910  -0.448 -0.915  -0.533 -0.915  -0.616 -0.918  -0.616 -1.003  -0.616 -1.088  -0.623 -1.171  -0.684 -1.231  -0.744 -1.292  -0.805 -1.352  -0.865 -1.412
2#app#app08#app0833/  1.423 1.052  1.366 0.996  1.310 0.939  1.247 0.898  1.167 0.898  1.095 0.879  1.038 0.822  0.981 0.765  0.911 0.743  0.831 0.743  0.766 0.705  0.710 0.648  0.653 0.592  0.582 0.555  0.511 0.519  0.439 0.483  0.368 0.447  0.296 0.412  0.224 0.376  0.153 0.340  0.081 0.304  0.014 0.262  -0.042 0.205  -0.099 0.149  -0.156 0.092  -0.212 0.036  -0.269 -0.021  -0.325 -0.078  -0.382 -0.134  -0.432 -0.194  -0.432 -0.274  -0.447 -0.339  -0.527 -0.339  -0.587 -0.359  -0.587 -0.439  -0.612 -0.494  -0.692 -0.494  -0.741 -0.525  -0.741 -0.605  -0.767 -0.674  -0.824 -0.731  -0.880 -0.787  -0.896 -0.861  -0.896 -0.941  -0.896 -1.021  -0.896 -1.101  -0.827 -1.112  -0.747 -1.112  -0.667 -1.112  -0.587 -1.112
2#app#app08#app0833/?  -0.492 0.947  -0.492 1.063  -0.406 1.093  -0.290 1.093  -0.173 1.093  -0.057 1.093  0.059 1.093  0.175 1.093  0.291 1.093  0.407 1.093  0.524 1.093  0.608 1.017  0.695 0.947  0.812 0.947  0.824 0.843  0.773 0.749  0.690 0.667  0.608 0.584  0.526 0.502  0.444 0.420  0.352 0.362  0.236 0.360  0.132 0.308  0.028 0.256  -0.053 0.191  -0.053 0.074  -0.164 0.069  -0.199 -0.012  -0.250 -0.077  -0.346 -0.098  -0.346 -0.214  -0.346 -0.330  -0.291 -0.424  -0.209 -0.506  -0.097 -0.516  -0.082 -0.582  -0.127 -0.689  -0.173 -0.796  -0.219 -0.903  -0.265 -1.009  -0.311 -1.116  -0.356 -1.223  -0.402 -1.330  -0.448 -1.436  -0.488 -1.539  -0.372 -1.539  -0.255 -1.539  -0.199 -1.479  -0.169 -1.393  -0.053 -1.393
2#app#app08#app0833/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#app#app08#app0833/\"  -0.861 1.168  -0.715 1.168  -0.568 1.168  -0.473 1.117  -0.473 0.971  -0.473 0.824  -0.473 0.678  -0.473 0.531  -0.478 0.387  -0.581 0.283  -0.685 0.180  -0.788 0.076  -0.861 -0.040  -0.861 -0.187  -0.861 -0.334  -0.861 -0.480  -0.861 -0.627  -0.861 -0.773  -0.861 -0.920  -0.861 -1.066  -0.825 -1.126  -0.722 -1.022  -0.618 -0.919  -0.514 -0.815  -0.411 -0.711  -0.307 -0.608  -0.204 -0.504  -0.100 -0.401  0.004 -0.297  0.107 -0.193  0.211 -0.090  0.314 0.014  0.418 0.117  0.522 0.221  0.625 0.325  0.729 0.428  0.832 0.532  0.936 0.635  1.040 0.739  1.081 0.692  1.081 0.545  1.081 0.399  1.081 0.252  1.081 0.106  1.081 -0.041  1.081 -0.187  1.081 -0.334  1.081 -0.480  1.081 -0.627  1.081 -0.773
2#app#app08#app0833/<  1.158 1.406  1.158 1.276  1.128 1.177  0.999 1.177  0.929 1.116  0.929 0.987  0.839 0.948  0.709 0.948  0.615 0.862  0.523 0.771  0.431 0.679  0.340 0.587  0.248 0.496  0.121 0.489  -0.002 0.474  -0.094 0.383  -0.186 0.291  -0.277 0.199  -0.369 0.108  -0.461 0.016  -0.552 -0.076  -0.644 -0.167  -0.761 -0.198  -0.891 -0.198  -1.020 -0.198  -1.133 -0.215  -1.133 -0.345  -1.133 -0.381  -1.133 -0.251  -1.056 -0.198  -0.927 -0.198  -0.904 -0.305  -0.897 -0.427  -0.767 -0.427  -0.637 -0.427  -0.508 -0.427  -0.385 -0.458  -0.269 -0.516  -0.153 -0.574  -0.037 -0.632  0.086 -0.657  0.216 -0.657  0.346 -0.657  0.474 -0.660  0.566 -0.752  0.657 -0.843  0.769 -0.886  0.899 -0.886  1.029 -0.886  1.158 -0.886
2#app#app08#app0833/|  0.276 1.635  0.276 1.561  0.276 1.488  0.276 1.414  0.276 1.341  0.276 1.267  0.220 1.250  0.147 1.249  0.147 1.175  0.147 1.102  0.147 1.028  0.147 0.955  0.147 0.881  0.147 0.808  0.147 0.734  0.147 0.661  0.147 0.587  0.147 0.514  0.129 0.444  0.097 0.379  0.064 0.313  0.031 0.247  0.019 0.177  0.019 0.103  0.019 0.030  0.011 -0.041  -0.041 -0.093  -0.092 -0.145  -0.109 -0.211  -0.109 -0.285  -0.109 -0.358  -0.109 -0.432  -0.109 -0.505  -0.109 -0.579  -0.109 -0.652  -0.109 -0.726  -0.109 -0.799  -0.109 -0.872  -0.120 -0.942  -0.172 -0.994  -0.224 -1.046  -0.238 -1.113  -0.238 -1.187  -0.238 -1.260  -0.238 -1.334  -0.238 -1.407  -0.238 -1.481  -0.238 -1.554  -0.238 -1.628  -0.238 -1.701
2#app#app08#app0833/>  -1.114 1.186  -0.978 1.186  -0.925 1.103  -0.895 0.997  -0.759 0.997  -0.737 0.883  -0.676 0.808  -0.539 0.808  -0.403 0.808  -0.294 0.744  -0.198 0.647  -0.073 0.620  0.019 0.576  0.019 0.440  0.146 0.431  0.282 0.431  0.412 0.415  0.508 0.319  0.604 0.223  0.701 0.127  0.806 0.053  0.942 0.053  1.078 0.053  1.214 0.053  1.331 0.053  1.195 0.053  1.152 -0.040  1.112 -0.136  0.976 -0.136  0.840 -0.136  0.724 -0.186  0.628 -0.282  0.510 -0.325  0.374 -0.325  0.238 -0.325  0.113 -0.372  -0.009 -0.433  -0.131 -0.494  -0.262 -0.514  -0.359 -0.553  -0.359 -0.689  -0.482 -0.702  -0.597 -0.752  -0.693 -0.848  -0.812 -0.891  -0.925 -0.914  -0.925 -1.050  -0.925 -1.186  -0.925 -1.322  -0.925 -1.458
