1c#app#app41#app4140/p  -0.195 -0.482  -0.195 -0.310  -0.195 -0.138  -0.195 0.034  -0.195 -0.039  -0.195 -0.211  -0.195 -0.383  -0.195 -0.555  -0.122 -0.696  -0.054 -0.840  -0.054 -1.012  -0.054 -1.184  -0.054 -1.355  -0.054 -1.527  -0.054 -1.699  0.064 -1.754  0.087 -1.606  0.087 -1.434  0.087 -1.262  0.087 -1.090  0.087 -0.918  0.083 -0.747  0.041 -0.580  -0.000 -0.413  -0.042 -0.247  -0.054 -0.076  -0.060 0.094  -0.136 0.248  -0.195 0.406  -0.195 0.578  -0.195 0.750  -0.195 0.921  -0.195 1.093  -0.195 1.265  -0.195 1.437  -0.195 1.609  -0.052 1.637  0.111 1.614  0.233 1.496  0.370 1.461  0.370 1.289  0.370 1.117  0.370 0.945  0.370 0.773  0.370 0.601  0.315 0.452  0.229 0.316  0.148 0.224  0.087 0.114  -0.054 0.083
1c#app#app41#app4140/n  -0.622 1.022  -0.622 0.843  -0.622 0.663  -0.622 0.483  -0.622 0.303  -0.622 0.123  -0.622 -0.057  -0.622 -0.237  -0.622 -0.417  -0.622 -0.597  -0.622 -0.777  -0.622 -0.957  -0.622 -1.137  -0.622 -1.317  -0.622 -1.497  -0.622 -1.505  -0.622 -1.325  -0.615 -1.148  -0.488 -1.021  -0.360 -0.894  -0.233 -0.767  -0.186 -0.606  -0.186 -0.426  -0.186 -0.246  -0.186 -0.066  -0.186 0.114  -0.044 0.151  0.136 0.151  0.249 0.218  0.249 0.398  0.249 0.578  0.249 0.758  0.249 0.938  0.249 1.118  0.249 1.298  0.263 1.444  0.390 1.317  0.518 1.190  0.645 1.063  0.685 0.899  0.685 0.719  0.685 0.539  0.685 0.359  0.685 0.179  0.792 0.044  0.919 -0.083  1.047 -0.211  1.120 -0.360  1.120 -0.540  1.120 -0.720
1c#app#app41#app4140/c  -0.002 0.416  0.109 0.416  0.219 0.416  0.330 0.416  0.374 0.482  0.374 0.592  0.374 0.703  0.374 0.814  0.374 0.924  0.374 1.035  0.374 1.145  0.285 1.167  0.175 1.167  0.064 1.167  -0.046 1.167  -0.157 1.167  -0.268 1.167  -0.378 1.167  -0.378 1.056  -0.378 0.946  -0.378 0.835  -0.378 0.725  -0.378 0.614  -0.378 0.504  -0.378 0.393  -0.378 0.282  -0.378 0.172  -0.378 0.061  -0.378 -0.049  -0.378 -0.160  -0.378 -0.270  -0.346 -0.368  -0.268 -0.446  -0.190 -0.524  -0.112 -0.602  -0.033 -0.681  -0.002 -0.778  -0.002 -0.889  -0.002 -0.999  -0.002 -1.110  -0.002 -1.220  -0.002 -1.331  -0.002 -1.442  0.086 -1.464  0.197 -1.464  0.307 -1.464  0.418 -1.464  0.529 -1.464  0.639 -1.464  0.750 -1.464
1c#app#app41#app4140/h  -0.727 1.744  -0.593 1.744  -0.497 1.707  -0.497 1.573  -0.497 1.440  -0.497 1.306  -0.497 1.172  -0.497 1.039  -0.497 0.905  -0.497 0.772  -0.497 0.638  -0.497 0.504  -0.497 0.371  -0.497 0.237  -0.497 0.104  -0.497 -0.030  -0.497 -0.164  -0.497 -0.297  -0.497 -0.431  -0.490 -0.561  -0.396 -0.656  -0.301 -0.750  -0.267 -0.870  -0.267 -1.004  -0.267 -1.137  -0.241 -1.244  -0.107 -1.244  -0.037 -1.180  -0.037 -1.047  0.064 -1.014  0.193 -1.009  0.193 -0.876  0.211 -0.747  0.271 -0.627  0.331 -0.508  0.391 -0.388  0.422 -0.262  0.422 -0.128  0.493 -0.024  0.588 0.070  0.652 0.177  0.652 0.311  0.732 0.365  0.865 0.365  0.882 0.248  0.882 0.115  0.882 -0.019  0.923 -0.136  1.018 -0.230  1.112 -0.325
1c#app#app41#app4140/a  0.644 1.429  0.472 1.429  0.299 1.429  0.126 1.429  -0.046 1.429  -0.102 1.312  -0.102 1.140  -0.165 0.993  -0.287 0.871  -0.409 0.749  -0.476 0.604  -0.476 0.431  -0.526 0.308  -0.699 0.308  -0.849 0.286  -0.849 0.114  -0.849 -0.059  -0.849 -0.232  -0.849 -0.404  -0.849 -0.577  -0.849 -0.750  -0.849 -0.922  -0.849 -1.095  -0.767 -1.185  -0.594 -1.185  -0.422 -1.185  -0.249 -1.185  -0.084 -1.167  0.038 -1.045  0.160 -0.923  0.271 -0.796  0.271 -0.623  0.271 -0.450  0.271 -0.278  0.271 -0.105  0.365 0.029  0.487 0.151  0.609 0.273  0.644 0.431  0.644 0.604  0.644 0.587  0.644 0.415  0.644 0.242  0.644 0.069  0.644 -0.103  0.644 -0.276  0.652 -0.446  0.774 -0.568  0.896 -0.690  1.018 -0.812
1c#app#app41#app4140/n  -0.218 1.273  -0.218 1.091  -0.218 0.910  -0.218 0.728  -0.218 0.546  -0.218 0.365  -0.363 0.327  -0.544 0.327  -0.691 0.292  -0.691 0.111  -0.691 -0.071  -0.691 -0.252  -0.691 -0.434  -0.691 -0.616  -0.691 -0.797  -0.691 -0.979  -0.691 -1.161  -0.691 -1.342  -0.691 -1.524  -0.691 -1.421  -0.691 -1.239  -0.658 -1.091  -0.477 -1.091  -0.295 -1.091  -0.218 -0.986  -0.218 -0.804  -0.218 -0.622  -0.093 -0.493  0.035 -0.364  0.164 -0.236  0.254 -0.092  0.254 0.090  0.254 0.272  0.254 0.453  0.254 0.635  0.266 0.812  0.394 0.940  0.523 1.069  0.651 1.197  0.727 1.198  0.727 1.017  0.727 0.835  0.727 0.653  0.727 0.472  0.764 0.327  0.946 0.327  1.127 0.327  1.200 0.218  1.200 0.036  1.200 -0.145
1c#app#app41#app4140/t  -0.535 2.050  -0.535 1.863  -0.401 1.810  -0.295 1.729  -0.295 1.541  -0.295 1.354  -0.132 1.330  -0.055 1.220  -0.055 1.033  -0.055 0.845  -0.055 0.658  -0.055 0.471  -0.055 0.284  -0.055 0.097  -0.055 -0.090  -0.055 -0.278  -0.055 -0.465  -0.055 -0.652  -0.055 -0.839  -0.055 -1.026  0.089 -1.069  0.185 -1.161  0.223 -1.309  0.410 -1.309  0.597 -1.309  0.784 -1.309  0.904 -1.242  0.894 -1.060  0.751 -0.938  0.609 -0.816  0.467 -0.695  0.325 -0.573  0.183 -0.451  0.041 -0.329  -0.101 -0.207  -0.243 -0.086  -0.385 0.036  -0.528 0.158  -0.670 0.280  -0.727 0.370  -0.540 0.370  -0.535 0.188  -0.406 0.130  -0.295 0.054  -0.271 -0.110  -0.084 -0.110  0.103 -0.110  0.290 -0.110  0.477 -0.110  0.664 -0.110
1c#app#app41#app4140/e  -1.291 0.249  -1.291 0.057  -1.291 -0.134  -1.146 -0.181  -0.955 -0.181  -0.861 -0.279  -0.861 -0.471  -0.810 -0.611  -0.619 -0.611  -0.427 -0.611  -0.235 -0.611  -0.044 -0.611  0.104 -0.506  0.239 -0.371  0.375 -0.235  0.544 -0.181  0.736 -0.181  0.859 -0.113  0.859 0.079  0.880 0.249  1.072 0.249  1.263 0.249  1.289 0.415  1.289 0.606  1.204 0.763  1.069 0.898  0.934 1.034  0.773 1.109  0.581 1.109  0.390 1.109  0.198 1.109  0.007 1.109  -0.001 0.925  -0.001 0.734  -0.138 0.679  -0.329 0.679  -0.431 0.589  -0.431 0.397  -0.431 0.206  -0.431 0.014  -0.431 -0.177  -0.431 -0.369  -0.431 -0.560  -0.431 -0.752  -0.431 -0.943  -0.337 -1.041  -0.146 -1.041  -0.001 -1.088  -0.001 -1.279  -0.001 -1.471
1c#app#app41#app4140/d  0.013 -0.200  0.013 -0.388  -0.145 -0.418  -0.204 -0.546  -0.274 -0.705  -0.407 -0.838  -0.422 -1.020  -0.422 -1.208  -0.422 -1.396  -0.344 -1.506  -0.170 -1.472  -0.037 -1.339  0.013 -1.172  0.100 -1.071  0.231 -1.014  0.231 -0.826  0.231 -0.638  0.231 -0.450  0.231 -0.262  0.231 -0.074  0.231 0.114  0.231 0.302  0.231 0.490  0.231 0.678  0.231 0.866  0.114 1.005  0.013 1.152  0.002 1.335  -0.131 1.468  -0.204 1.625  -0.259 1.759  -0.422 1.735  -0.422 1.547  -0.422 1.359  -0.314 1.215  -0.204 1.073  -0.204 0.885  -0.204 0.697  -0.204 0.509  -0.072 0.453  0.013 0.351  0.065 0.184  0.198 0.051  0.231 -0.123  0.231 -0.311  0.289 -0.475  0.422 -0.608  0.449 -0.785  0.534 -0.938  0.666 -1.071
1c#app#app41#app4140/l  -0.142 1.738  -0.142 1.664  -0.142 1.590  -0.142 1.516  -0.142 1.442  -0.142 1.368  -0.142 1.295  -0.142 1.221  -0.142 1.147  -0.142 1.073  -0.142 0.999  -0.142 0.925  -0.142 0.851  -0.142 0.777  -0.142 0.703  -0.142 0.629  -0.142 0.555  -0.142 0.481  -0.142 0.407  -0.142 0.333  -0.142 0.259  -0.142 0.185  -0.142 0.111  -0.103 0.054  -0.051 0.001  0.001 -0.051  0.054 -0.103  0.093 -0.161  0.093 -0.235  0.093 -0.309  0.093 -0.383  0.093 -0.457  0.093 -0.531  0.093 -0.605  0.093 -0.679  0.093 -0.753  0.093 -0.827  0.093 -0.901  0.093 -0.974  0.093 -1.048  0.093 -1.122  0.093 -1.196  0.093 -1.270  0.119 -1.318  0.193 -1.318  0.267 -1.318  0.328 -1.331  0.328 -1.405  0.328 -1.479  0.328 -1.553
1c#app#app41#app4140/e  -0.489 0.807  -0.489 0.640  -0.489 0.473  -0.420 0.334  -0.302 0.216  -0.184 0.098  -0.058 -0.002  0.109 -0.002  0.276 -0.002  0.443 -0.002  0.611 -0.002  0.778 -0.002  0.945 -0.002  1.112 -0.002  1.130 0.147  1.130 0.315  1.130 0.482  1.130 0.649  1.121 0.807  0.954 0.807  0.787 0.807  0.619 0.807  0.452 0.807  0.285 0.807  0.118 0.807  -0.049 0.807  -0.216 0.807  -0.383 0.807  -0.532 0.763  -0.651 0.645  -0.769 0.527  -0.887 0.409  -0.893 0.244  -0.893 0.077  -0.893 -0.090  -0.893 -0.257  -0.893 -0.424  -0.893 -0.591  -0.893 -0.759  -0.812 -0.892  -0.694 -1.010  -0.576 -1.129  -0.445 -1.216  -0.278 -1.216  -0.111 -1.216  0.057 -1.216  0.224 -1.216  0.391 -1.216  0.558 -1.216  0.725 -1.216
1c#app#app41#app4140/v  -1.011 1.207  -0.922 1.118  -0.833 1.029  -0.744 0.940  -0.683 0.839  -0.683 0.713  -0.683 0.587  -0.683 0.461  -0.683 0.335  -0.683 0.209  -0.683 0.084  -0.683 -0.042  -0.683 -0.168  -0.683 -0.294  -0.683 -0.420  -0.602 -0.513  -0.513 -0.602  -0.424 -0.691  -0.356 -0.788  -0.356 -0.914  -0.356 -1.040  -0.277 -1.087  -0.151 -1.087  -0.025 -1.087  0.101 -1.087  0.227 -1.087  0.300 -1.034  0.300 -0.908  0.300 -0.782  0.403 -0.759  0.529 -0.759  0.628 -0.732  0.628 -0.606  0.628 -0.480  0.628 -0.354  0.628 -0.228  0.628 -0.102  0.628 0.024  0.628 0.150  0.628 0.276  0.628 0.401  0.628 0.527  0.628 0.653  0.628 0.779  0.628 0.905  0.628 1.031  0.628 1.157  0.628 1.283  0.628 1.409  0.628 1.535
1c#app#app41#app4140/e  -0.897 0.281  -0.897 0.100  -0.897 -0.082  -0.897 -0.264  -0.897 -0.445  -0.897 -0.627  -0.753 -0.664  -0.571 -0.664  -0.390 -0.664  -0.208 -0.664  -0.026 -0.664  0.155 -0.664  0.337 -0.664  0.519 -0.664  0.521 -0.485  0.521 -0.303  0.570 -0.142  0.699 -0.013  0.827 0.115  0.956 0.243  0.994 0.409  0.994 0.591  0.994 0.773  0.994 0.954  0.994 1.136  0.903 1.227  0.721 1.227  0.540 1.227  0.358 1.227  0.176 1.227  0.048 1.173  0.048 0.992  0.048 0.810  -0.078 0.754  -0.259 0.754  -0.425 0.738  -0.425 0.556  -0.425 0.374  -0.425 0.193  -0.425 0.011  -0.425 -0.171  -0.425 -0.352  -0.425 -0.534  -0.425 -0.716  -0.425 -0.897  -0.425 -1.079  -0.337 -1.224  -0.209 -1.353  -0.080 -1.481  0.048 -1.610
1c#app#app41#app4140/r  -0.605 0.666  -0.605 0.536  -0.605 0.406  -0.605 0.275  -0.605 0.145  -0.577 0.043  -0.446 0.043  -0.316 0.043  -0.293 -0.065  -0.293 -0.195  -0.293 -0.325  -0.293 -0.456  -0.293 -0.586  -0.293 -0.716  -0.293 -0.847  -0.293 -0.977  -0.293 -1.107  -0.293 -1.238  -0.293 -1.368  -0.293 -1.499  -0.293 -1.405  -0.293 -1.275  -0.293 -1.144  -0.293 -1.014  -0.293 -0.884  -0.293 -0.753  -0.293 -0.623  -0.230 -0.519  -0.138 -0.426  -0.046 -0.334  0.019 -0.231  0.019 -0.100  0.019 0.030  0.102 0.126  0.195 0.218  0.287 0.310  0.331 0.422  0.331 0.553  0.338 0.681  0.397 0.798  0.455 0.914  0.513 1.031  0.572 1.148  0.630 1.264  0.744 1.290  0.875 1.290  0.990 1.326  1.082 1.418  1.175 1.510  1.267 1.602
1c#app#app41#app4140/h  -0.708 1.822  -0.708 1.682  -0.681 1.569  -0.541 1.569  -0.454 1.516  -0.454 1.376  -0.454 1.236  -0.454 1.096  -0.454 0.956  -0.454 0.816  -0.454 0.676  -0.454 0.535  -0.454 0.395  -0.454 0.255  -0.454 0.115  -0.454 -0.025  -0.454 -0.165  -0.454 -0.305  -0.454 -0.445  -0.454 -0.585  -0.454 -0.725  -0.454 -0.865  -0.454 -1.005  -0.454 -1.145  -0.408 -1.173  -0.309 -1.074  -0.210 -0.975  -0.111 -0.876  -0.012 -0.777  0.053 -0.663  0.053 -0.523  0.106 -0.405  0.205 -0.306  0.304 -0.207  0.403 -0.108  0.502 -0.009  0.560 0.107  0.560 0.247  0.645 0.302  0.785 0.302  0.813 0.190  0.813 0.050  0.813 -0.090  0.813 -0.230  0.813 -0.370  0.813 -0.511  0.813 -0.651  0.868 -0.768  0.967 -0.867  1.066 -0.966
1c#app#app41#app4140/e  -0.317 0.079  -0.177 0.079  -0.036 0.079  0.105 0.079  0.246 0.079  0.386 0.079  0.527 0.079  0.589 0.158  0.589 0.299  0.647 0.381  0.788 0.381  0.891 0.419  0.891 0.560  0.891 0.701  0.891 0.841  0.891 0.982  0.754 0.986  0.613 0.986  0.472 0.986  0.332 0.986  0.191 0.986  0.050 0.986  -0.091 0.986  -0.232 0.986  -0.317 0.931  -0.317 0.790  -0.317 0.649  -0.317 0.509  -0.331 0.381  -0.472 0.381  -0.613 0.381  -0.620 0.248  -0.620 0.107  -0.620 -0.034  -0.620 -0.175  -0.620 -0.315  -0.620 -0.456  -0.620 -0.597  -0.620 -0.738  -0.583 -0.863  -0.484 -0.963  -0.384 -1.062  -0.317 -1.175  -0.317 -1.316  -0.299 -1.449  -0.200 -1.549  -0.100 -1.648  0.005 -1.733  0.146 -1.733  0.287 -1.733
