3#apb#apb16#app1612/3  -0.179 0.920  -0.268 1.021  -0.375 1.104  -0.442 1.214  -0.310 1.200  -0.174 1.200  -0.039 1.205  0.096 1.212  0.230 1.200  0.363 1.176  0.492 1.136  0.616 1.082  0.706 0.991  0.719 0.859  0.667 0.739  0.579 0.637  0.480 0.545  0.371 0.466  0.255 0.396  0.137 0.331  0.011 0.282  -0.114 0.230  -0.232 0.164  -0.351 0.098  -0.478 0.051  -0.609 0.034  -0.558 -0.047  -0.437 -0.104  -0.305 -0.135  -0.174 -0.169  -0.043 -0.204  0.086 -0.245  0.210 -0.295  0.325 -0.368  0.395 -0.482  0.441 -0.608  0.467 -0.740  0.447 -0.874  0.389 -0.992  0.302 -1.094  0.194 -1.177  0.078 -1.244  -0.046 -1.298  -0.174 -1.342  -0.303 -1.380  -0.437 -1.397  -0.572 -1.406  -0.702 -1.370  -0.819 -1.310  -0.915 -1.215
3#apb#apb16#app1612/n  -0.350 1.183  -0.368 1.019  -0.386 0.855  -0.402 0.691  -0.430 0.529  -0.465 0.367  -0.502 0.207  -0.551 0.049  -0.600 -0.108  -0.655 -0.264  -0.728 -0.411  -0.802 -0.559  -0.866 -0.711  -0.918 -0.867  -0.976 -1.021  -1.056 -1.162  -1.088 -1.072  -1.014 -0.924  -0.938 -0.778  -0.854 -0.636  -0.771 -0.494  -0.687 -0.352  -0.573 -0.235  -0.448 -0.126  -0.324 -0.018  -0.200 0.091  -0.084 0.208  0.033 0.324  0.149 0.441  0.266 0.558  0.383 0.674  0.499 0.791  0.616 0.908  0.767 0.968  0.925 1.010  1.058 0.994  1.112 0.839  1.148 0.678  1.100 0.523  1.043 0.368  0.985 0.213  0.925 0.059  0.874 -0.097  0.834 -0.257  0.755 -0.402  0.680 -0.548  0.631 -0.705  0.633 -0.870  0.728 -0.977  0.891 -0.953
3#apb#apb16#app1612/g  0.003 0.543  0.099 0.666  0.138 0.770  -0.013 0.738  -0.144 0.657  -0.262 0.555  -0.374 0.446  -0.476 0.328  -0.526 0.190  -0.385 0.155  -0.236 0.179  -0.094 0.244  0.048 0.309  0.181 0.386  0.274 0.511  0.347 0.648  0.398 0.795  0.339 0.849  0.298 0.706  0.258 0.560  0.300 0.643  0.373 0.780  0.413 0.924  0.348 1.061  0.276 1.131  0.328 1.116  0.397 0.985  0.413 0.831  0.403 0.675  0.383 0.520  0.350 0.368  0.317 0.215  0.295 0.061  0.273 -0.094  0.244 -0.247  0.195 -0.395  0.146 -0.543  0.095 -0.691  0.040 -0.837  -0.015 -0.983  -0.073 -1.129  -0.134 -1.272  -0.205 -1.410  -0.306 -1.529  -0.422 -1.632  -0.553 -1.713  -0.707 -1.738  -0.861 -1.759  -1.017 -1.776  -1.172 -1.792
3#apb#apb16#app1612/A  -0.281 0.645  -0.224 0.685  -0.296 0.469  -0.390 0.258  -0.487 0.049  -0.602 -0.151  -0.720 -0.350  -0.821 -0.557  -0.931 -0.759  -1.065 -0.947  -1.213 -1.123  -1.307 -1.118  -1.205 -0.916  -1.077 -0.725  -0.946 -0.535  -0.803 -0.354  -0.651 -0.181  -0.498 -0.007  -0.345 0.165  -0.190 0.336  -0.029 0.501  0.144 0.653  0.308 0.814  0.453 0.994  0.599 1.173  0.770 1.327  0.958 1.450  1.113 1.320  1.154 1.094  1.145 0.864  1.108 0.637  1.052 0.414  0.974 0.197  0.878 -0.013  0.784 -0.223  0.692 -0.435  0.608 -0.650  0.526 -0.865  0.398 -1.053  0.209 -1.023  0.067 -0.842  -0.075 -0.660  -0.218 -0.478  -0.360 -0.297  -0.384 -0.086  -0.215 0.067  0.009 0.089  0.238 0.105  0.463 0.057  0.682 -0.016
3#apb#apb16#app1612/p  -0.039 0.628  -0.027 0.497  -0.049 0.349  -0.067 0.200  -0.112 0.058  -0.162 -0.084  -0.215 -0.224  -0.272 -0.363  -0.329 -0.501  -0.394 -0.636  -0.470 -0.765  -0.546 -0.894  -0.628 -1.019  -0.727 -1.132  -0.822 -1.247  -0.893 -1.379  -0.976 -1.430  -0.970 -1.286  -0.891 -1.159  -0.817 -1.029  -0.752 -0.894  -0.687 -0.759  -0.616 -0.627  -0.536 -0.500  -0.456 -0.373  -0.376 -0.247  -0.294 -0.122  -0.204 -0.002  -0.114 0.118  -0.024 0.238  0.066 0.358  0.165 0.471  0.265 0.582  0.365 0.694  0.465 0.805  0.571 0.912  0.677 1.018  0.781 1.125  0.876 1.241  1.005 1.284  1.079 1.167  1.097 1.020  1.071 0.873  1.018 0.735  0.942 0.606  0.861 0.480  0.736 0.401  0.613 0.317  0.480 0.253  0.332 0.242
3#apb#apb16#app1612/p  0.230 1.035  0.250 0.866  0.272 0.696  0.273 0.529  0.221 0.367  0.164 0.206  0.098 0.049  0.031 -0.109  -0.044 -0.262  -0.120 -0.414  -0.197 -0.567  -0.294 -0.707  -0.391 -0.848  -0.489 -0.988  -0.588 -1.127  -0.686 -1.266  -0.809 -1.384  -0.939 -1.494  -1.030 -1.435  -1.035 -1.267  -1.018 -1.098  -0.949 -0.941  -0.879 -0.786  -0.806 -0.631  -0.724 -0.482  -0.641 -0.333  -0.558 -0.184  -0.458 -0.046  -0.350 0.087  -0.243 0.219  -0.135 0.352  -0.016 0.474  0.109 0.589  0.235 0.705  0.366 0.814  0.499 0.921  0.645 1.010  0.797 1.087  0.960 1.123  1.108 1.063  1.174 0.911  1.154 0.745  1.086 0.591  0.985 0.455  0.862 0.338  0.711 0.257  0.545 0.225  0.376 0.208  0.206 0.204  0.039 0.243
3#apb#apb16#app1612/l  0.370 1.627  0.382 1.558  0.395 1.489  0.405 1.420  0.414 1.351  0.423 1.281  0.431 1.212  0.423 1.143  0.411 1.074  0.399 1.005  0.387 0.936  0.375 0.867  0.360 0.799  0.341 0.732  0.322 0.665  0.303 0.597  0.284 0.530  0.265 0.463  0.246 0.395  0.227 0.328  0.198 0.265  0.168 0.201  0.139 0.138  0.109 0.075  0.079 0.012  0.049 -0.052  0.019 -0.115  -0.010 -0.178  -0.040 -0.242  -0.069 -0.305  -0.098 -0.369  -0.126 -0.433  -0.155 -0.496  -0.184 -0.560  -0.213 -0.624  -0.242 -0.687  -0.271 -0.751  -0.302 -0.814  -0.332 -0.877  -0.362 -0.940  -0.392 -1.003  -0.422 -1.066  -0.456 -1.127  -0.496 -1.184  -0.536 -1.242  -0.576 -1.299  -0.615 -1.357  -0.654 -1.416  -0.682 -1.478  -0.694 -1.547
3#apb#apb16#app1612/e  -1.213 0.293  -1.194 0.146  -1.213 -0.004  -1.213 -0.156  -1.213 -0.307  -1.213 -0.459  -1.129 -0.570  -1.000 -0.649  -0.862 -0.710  -0.720 -0.764  -0.569 -0.768  -0.418 -0.768  -0.273 -0.723  -0.128 -0.678  0.005 -0.609  0.132 -0.525  0.258 -0.441  0.391 -0.371  0.533 -0.318  0.675 -0.265  0.807 -0.193  0.927 -0.101  1.047 -0.008  1.138 0.109  1.210 0.242  1.280 0.376  1.308 0.525  1.328 0.673  1.247 0.802  1.152 0.917  1.034 1.010  0.882 1.010  0.735 0.977  0.589 0.937  0.453 0.870  0.320 0.799  0.191 0.721  0.074 0.624  -0.042 0.527  -0.154 0.424  -0.261 0.317  -0.368 0.210  -0.453 0.085  -0.531 -0.045  -0.596 -0.181  -0.657 -0.320  -0.678 -0.470  -0.629 -0.609  -0.543 -0.732  -0.444 -0.847
3#apb#apb16#app1612/B  -0.008 0.555  -0.032 0.607  -0.122 0.399  -0.212 0.191  -0.309 -0.014  -0.416 -0.214  -0.531 -0.410  -0.651 -0.602  -0.780 -0.789  -0.924 -0.962  -1.106 -1.073  -1.165 -0.863  -1.128 -0.641  -1.059 -0.426  -0.968 -0.218  -0.874 -0.011  -0.763 0.186  -0.651 0.384  -0.531 0.576  -0.399 0.760  -0.266 0.943  -0.095 1.092  0.081 1.234  0.280 1.344  0.501 1.367  0.718 1.306  0.891 1.162  1.003 0.967  1.037 0.744  0.981 0.531  0.845 0.351  0.666 0.212  0.469 0.102  0.253 0.031  0.030 0.004  -0.081 0.117  0.131 0.170  0.357 0.180  0.560 0.083  0.712 -0.084  0.829 -0.278  0.894 -0.491  0.859 -0.708  0.734 -0.895  0.566 -1.044  0.369 -1.153  0.154 -1.222  -0.073 -1.222  -0.299 -1.209  -0.476 -1.071
3#apb#apb16#app1612/a  0.715 -0.116  0.831 0.003  0.871 0.147  0.765 0.296  0.672 0.452  0.547 0.578  0.395 0.679  0.222 0.731  0.045 0.770  -0.137 0.770  -0.316 0.748  -0.487 0.686  -0.655 0.618  -0.789 0.495  -0.923 0.372  -1.050 0.241  -1.172 0.106  -1.267 -0.047  -1.343 -0.212  -1.388 -0.385  -1.386 -0.567  -1.335 -0.742  -1.230 -0.889  -1.107 -1.021  -0.950 -1.062  -0.776 -1.007  -0.608 -0.940  -0.490 -0.801  -0.372 -0.661  -0.245 -0.533  -0.105 -0.416  0.032 -0.297  0.138 -0.149  0.244 -0.000  0.346 0.151  0.442 0.305  0.539 0.460  0.640 0.611  0.744 0.760  0.880 0.880  0.907 0.702  0.942 0.523  0.958 0.344  0.939 0.162  0.903 -0.016  0.881 -0.196  0.881 -0.378  0.881 -0.560  0.833 -0.733  0.937 -0.863
3#apb#apb16#app1612/n  -0.750 1.075  -0.689 0.943  -0.713 0.798  -0.709 0.652  -0.695 0.506  -0.687 0.359  -0.687 0.213  -0.687 0.066  -0.692 -0.081  -0.703 -0.228  -0.713 -0.374  -0.723 -0.521  -0.734 -0.668  -0.744 -0.814  -0.778 -0.955  -0.836 -1.090  -0.843 -1.236  -0.795 -1.223  -0.713 -1.101  -0.619 -0.988  -0.525 -0.876  -0.431 -0.763  -0.366 -0.632  -0.311 -0.496  -0.257 -0.359  -0.194 -0.227  -0.115 -0.103  -0.035 0.020  0.044 0.144  0.120 0.269  0.196 0.395  0.272 0.521  0.348 0.647  0.434 0.766  0.521 0.885  0.616 0.992  0.752 1.048  0.805 0.970  0.919 0.886  0.984 0.767  1.013 0.623  1.043 0.479  1.075 0.336  1.097 0.191  1.109 0.044  1.121 -0.102  1.078 -0.242  1.032 -0.381  1.043 -0.526  1.122 -0.609
3#apb#apb16#app1612/k  0.391 2.198  0.439 2.063  0.403 1.919  0.367 1.775  0.323 1.634  0.274 1.494  0.226 1.354  0.176 1.214  0.124 1.075  0.071 0.937  0.019 0.798  -0.034 0.659  -0.087 0.521  -0.140 0.383  -0.194 0.244  -0.248 0.106  -0.302 -0.032  -0.349 -0.172  -0.393 -0.314  -0.437 -0.456  -0.481 -0.597  -0.527 -0.738  -0.574 -0.879  -0.610 -1.021  -0.610 -1.169  -0.610 -1.318  -0.553 -1.219  -0.455 -1.109  -0.371 -0.987  -0.287 -0.865  -0.197 -0.747  -0.107 -0.629  -0.013 -0.514  0.088 -0.406  0.190 -0.298  0.283 -0.184  0.367 -0.062  0.454 0.058  0.573 0.147  0.627 0.168  0.548 0.044  0.451 -0.069  0.366 -0.190  0.282 -0.312  0.197 -0.434  0.114 -0.557  0.059 -0.695  -0.004 -0.829  0.015 -0.970  0.154 -1.022
3#apb#apb16#app1612/o  1.059 0.455  1.082 0.594  1.131 0.725  1.130 0.858  1.054 0.968  0.924 1.010  0.785 1.022  0.645 1.007  0.518 0.957  0.399 0.881  0.281 0.805  0.164 0.727  0.047 0.649  -0.070 0.571  -0.185 0.491  -0.287 0.395  -0.390 0.299  -0.492 0.203  -0.589 0.102  -0.663 -0.017  -0.737 -0.137  -0.811 -0.256  -0.885 -0.376  -0.956 -0.497  -1.028 -0.618  -1.099 -0.739  -1.121 -0.873  -1.121 -1.014  -1.047 -1.127  -0.931 -1.180  -0.792 -1.171  -0.663 -1.116  -0.534 -1.060  -0.418 -0.983  -0.312 -0.891  -0.206 -0.799  -0.101 -0.706  0.002 -0.610  0.105 -0.514  0.207 -0.418  0.297 -0.310  0.382 -0.199  0.468 -0.087  0.538 0.035  0.607 0.157  0.665 0.283  0.697 0.420  0.728 0.557  0.751 0.696  0.774 0.834
3#apb#apb16#app1612/f  -0.002 -0.245  0.118 -0.137  0.237 -0.027  0.341 0.097  0.446 0.220  0.532 0.357  0.611 0.498  0.681 0.644  0.741 0.794  0.781 0.950  0.803 1.110  0.817 1.271  0.817 1.433  0.744 1.577  0.602 1.575  0.480 1.471  0.381 1.342  0.294 1.207  0.229 1.059  0.165 0.910  0.112 0.757  0.060 0.604  0.008 0.450  -0.024 0.292  -0.057 0.133  -0.089 -0.026  -0.129 -0.183  -0.170 -0.339  -0.211 -0.496  -0.244 -0.654  -0.274 -0.813  -0.299 -0.973  -0.311 -1.135  -0.325 -1.296  -0.346 -1.457  -0.406 -1.415  -0.485 -1.273  -0.563 -1.132  -0.642 -0.990  -0.720 -0.848  -0.799 -0.707  -0.877 -0.565  -0.940 -0.434  -0.780 -0.457  -0.619 -0.478  -0.459 -0.500  -0.299 -0.525  -0.139 -0.550  0.023 -0.550  0.185 -0.550
3#apb#apb16#app1612/t  0.904 1.713  0.868 1.571  0.832 1.429  0.791 1.289  0.751 1.148  0.721 1.005  0.692 0.862  0.662 0.718  0.617 0.580  0.569 0.441  0.522 0.303  0.475 0.165  0.428 0.026  0.382 -0.113  0.336 -0.252  0.285 -0.389  0.226 -0.522  0.166 -0.656  0.109 -0.790  0.056 -0.927  0.004 -1.063  -0.053 -1.198  -0.119 -1.328  -0.178 -1.462  -0.239 -1.543  -0.282 -1.403  -0.325 -1.264  -0.368 -1.124  -0.411 -0.984  -0.455 -0.845  -0.498 -0.705  -0.541 -0.565  -0.584 -0.426  -0.628 -0.286  -0.671 -0.146  -0.714 -0.006  -0.757 0.133  -0.800 0.273  -0.844 0.413  -0.887 0.552  -0.758 0.593  -0.612 0.593  -0.467 0.582  -0.323 0.558  -0.178 0.538  -0.033 0.520  0.113 0.511  0.259 0.503  0.405 0.495  0.551 0.486
3#apb#apb16#app1612/h  0.095 2.226  0.103 2.095  0.111 1.964  0.123 1.834  0.134 1.703  0.145 1.572  0.155 1.441  0.165 1.310  0.174 1.179  0.171 1.049  0.153 0.919  0.135 0.789  0.117 0.659  0.098 0.529  0.079 0.399  0.059 0.269  0.039 0.139  0.011 0.012  -0.030 -0.113  -0.072 -0.237  -0.113 -0.362  -0.155 -0.487  -0.205 -0.608  -0.256 -0.729  -0.308 -0.850  -0.358 -0.971  -0.405 -1.094  -0.454 -1.215  -0.449 -1.231  -0.411 -1.106  -0.360 -0.985  -0.301 -0.868  -0.248 -0.748  -0.198 -0.626  -0.149 -0.505  -0.083 -0.392  -0.003 -0.288  0.076 -0.184  0.157 -0.080  0.253 -0.007  0.315 -0.066  0.309 -0.196  0.270 -0.322  0.237 -0.449  0.211 -0.577  0.181 -0.705  0.145 -0.831  0.113 -0.959  0.095 -1.088  0.129 -1.209
3#apb#apb16#app1612/e  -0.067 0.487  -0.095 0.321  -0.163 0.167  -0.251 0.023  -0.350 -0.114  -0.401 -0.275  -0.450 -0.436  -0.452 -0.605  -0.385 -0.750  -0.273 -0.876  -0.141 -0.982  0.024 -0.970  0.180 -0.919  0.317 -0.821  0.447 -0.713  0.574 -0.601  0.679 -0.470  0.776 -0.331  0.864 -0.187  0.940 -0.036  0.990 0.120  0.980 0.289  0.970 0.458  0.958 0.626  0.923 0.792  0.888 0.957  0.832 1.114  0.738 1.254  0.623 1.354  0.453 1.354  0.307 1.272  0.161 1.187  0.026 1.088  -0.083 0.959  -0.192 0.830  -0.299 0.699  -0.388 0.555  -0.476 0.411  -0.564 0.267  -0.650 0.121  -0.711 -0.036  -0.772 -0.194  -0.834 -0.351  -0.870 -0.514  -0.870 -0.683  -0.870 -0.852  -0.870 -1.021  -0.805 -1.174  -0.725 -1.323  -0.645 -1.472
3#apb#apb16#app1612/W  -0.646 1.262  -0.591 1.456  -0.506 1.425  -0.495 1.224  -0.495 1.023  -0.504 0.822  -0.529 0.623  -0.556 0.423  -0.594 0.226  -0.633 0.028  -0.684 -0.166  -0.742 -0.359  -0.793 -0.554  -0.837 -0.750  -0.849 -0.951  -0.817 -1.119  -0.665 -0.996  -0.538 -0.840  -0.429 -0.671  -0.342 -0.490  -0.263 -0.305  -0.183 -0.120  -0.109 0.067  -0.038 0.255  0.045 0.439  0.093 0.454  0.066 0.255  0.043 0.055  0.027 -0.145  -0.014 -0.342  -0.060 -0.538  -0.092 -0.737  -0.101 -0.935  -0.025 -1.116  0.150 -1.162  0.338 -1.103  0.462 -0.945  0.589 -0.789  0.698 -0.621  0.788 -0.441  0.864 -0.254  0.936 -0.067  0.989 0.127  1.041 0.322  1.067 0.521  1.087 0.721  1.070 0.921  1.020 1.114  0.938 1.298  0.819 1.454
3#apb#apb16#app1612/e  -0.755 0.724  -0.666 0.584  -0.577 0.444  -0.521 0.290  -0.469 0.133  -0.411 -0.022  -0.359 -0.180  -0.254 -0.307  -0.130 -0.410  0.023 -0.472  0.189 -0.472  0.344 -0.419  0.498 -0.358  0.608 -0.234  0.718 -0.110  0.847 -0.007  0.978 0.094  1.041 0.247  1.092 0.401  1.059 0.564  1.021 0.725  0.972 0.883  0.921 1.040  0.797 1.149  0.664 1.236  0.499 1.230  0.337 1.194  0.195 1.118  0.067 1.013  -0.059 0.906  -0.169 0.783  -0.280 0.660  -0.360 0.516  -0.435 0.368  -0.509 0.220  -0.564 0.064  -0.613 -0.094  -0.663 -0.252  -0.690 -0.415  -0.713 -0.579  -0.732 -0.744  -0.744 -0.909  -0.736 -1.068  -0.640 -1.202  -0.522 -1.318  -0.391 -1.411  -0.226 -1.411  -0.060 -1.408  0.105 -1.395  0.270 -1.383
