2#apb#apb06#app0605/O  0.104 0.844  0.012 0.894  -0.092 0.790  -0.195 0.687  -0.281 0.569  -0.360 0.446  -0.440 0.323  -0.514 0.197  -0.589 0.071  -0.663 -0.055  -0.729 -0.185  -0.782 -0.321  -0.836 -0.457  -0.889 -0.594  -0.925 -0.735  -0.960 -0.877  -0.947 -1.019  -0.911 -1.161  -0.790 -1.240  -0.652 -1.254  -0.506 -1.236  -0.369 -1.196  -0.240 -1.125  -0.112 -1.055  0.012 -0.978  0.124 -0.884  0.236 -0.789  0.347 -0.695  0.439 -0.582  0.526 -0.464  0.612 -0.346  0.689 -0.222  0.757 -0.092  0.825 0.037  0.883 0.170  0.911 0.314  0.940 0.457  0.947 0.601  0.924 0.746  0.901 0.890  0.817 1.004  0.714 1.107  0.576 1.128  0.430 1.128  0.297 1.077  0.169 1.006  0.041 0.935  -0.056 0.828  -0.149 0.714  -0.241 0.601
2#apb#apb06#app0605/y  -0.419 1.241  -0.322 1.144  -0.281 1.016  -0.252 0.881  -0.221 0.747  -0.191 0.613  -0.162 0.478  -0.141 0.342  -0.128 0.205  -0.086 0.075  -0.040 -0.055  0.024 -0.149  0.129 -0.060  0.254 -0.005  0.354 0.083  0.436 0.193  0.491 0.316  0.518 0.451  0.549 0.585  0.589 0.717  0.628 0.848  0.664 0.981  0.693 1.116  0.681 1.162  0.606 1.047  0.535 0.929  0.465 0.811  0.396 0.691  0.331 0.570  0.267 0.448  0.202 0.327  0.137 0.205  0.075 0.083  0.017 -0.043  -0.040 -0.168  -0.097 -0.293  -0.154 -0.418  -0.212 -0.544  -0.262 -0.672  -0.310 -0.801  -0.358 -0.930  -0.406 -1.059  -0.454 -1.188  -0.502 -1.317  -0.552 -1.446  -0.601 -1.574  -0.651 -1.703  -0.700 -1.831  -0.749 -1.960  -0.750 -2.091
2#apb#apb06#app0605/P  -0.103 0.302  -0.026 0.464  -0.074 0.314  -0.152 0.153  -0.244 -0.002  -0.337 -0.156  -0.432 -0.309  -0.526 -0.462  -0.626 -0.612  -0.733 -0.757  -0.841 -0.900  -0.959 -1.037  -1.088 -1.160  -1.218 -1.173  -1.232 -0.997  -1.188 -0.822  -1.124 -0.657  -1.015 -0.514  -0.906 -0.371  -0.793 -0.231  -0.670 -0.100  -0.547 0.032  -0.424 0.163  -0.293 0.286  -0.153 0.399  -0.013 0.512  0.127 0.625  0.269 0.736  0.424 0.827  0.580 0.917  0.736 1.007  0.908 1.046  1.087 1.062  1.264 1.042  1.366 0.939  1.375 0.759  1.335 0.588  1.267 0.421  1.183 0.264  1.073 0.122  0.963 -0.021  0.825 -0.136  0.680 -0.241  0.529 -0.338  0.358 -0.392  0.184 -0.430  0.004 -0.430  -0.160 -0.359  -0.318 -0.273  -0.341 -0.106
2#apb#apb06#app0605/r  0.200 1.199  0.165 1.069  0.155 0.934  0.144 0.799  0.127 0.666  0.075 0.541  0.022 0.416  -0.030 0.292  -0.083 0.167  -0.134 0.042  -0.182 -0.084  -0.231 -0.211  -0.279 -0.337  -0.327 -0.464  -0.375 -0.590  -0.429 -0.714  -0.483 -0.838  -0.537 -0.962  -0.592 -1.086  -0.660 -1.202  -0.732 -1.317  -0.798 -1.425  -0.851 -1.309  -0.811 -1.180  -0.771 -1.050  -0.731 -0.921  -0.671 -0.800  -0.611 -0.679  -0.550 -0.558  -0.490 -0.437  -0.411 -0.328  -0.325 -0.223  -0.239 -0.119  -0.153 -0.015  -0.067 0.090  0.025 0.188  0.124 0.281  0.222 0.374  0.320 0.467  0.419 0.560  0.517 0.653  0.628 0.728  0.746 0.795  0.864 0.861  0.982 0.927  1.104 0.978  1.239 0.992  1.374 1.005  1.493 0.945  1.610 0.878
2#apb#apb06#app0605/o  0.593 1.140  0.476 1.156  0.366 1.096  0.256 1.036  0.149 0.971  0.054 0.889  -0.040 0.806  -0.134 0.723  -0.229 0.641  -0.322 0.557  -0.405 0.463  -0.487 0.369  -0.570 0.274  -0.653 0.180  -0.735 0.085  -0.790 -0.027  -0.844 -0.141  -0.897 -0.254  -0.950 -0.368  -0.998 -0.483  -1.038 -0.602  -1.067 -0.721  -1.023 -0.839  -0.974 -0.951  -0.854 -0.987  -0.733 -1.023  -0.614 -1.017  -0.496 -0.975  -0.378 -0.933  -0.259 -0.891  -0.145 -0.843  -0.046 -0.766  0.053 -0.689  0.152 -0.612  0.251 -0.535  0.350 -0.458  0.442 -0.373  0.531 -0.284  0.619 -0.195  0.708 -0.107  0.792 -0.014  0.864 0.089  0.935 0.192  1.007 0.295  1.073 0.401  1.133 0.511  1.193 0.622  1.228 0.738  1.228 0.863  1.228 0.989
2#apb#apb06#app0605/v  -0.426 1.484  -0.303 1.523  -0.211 1.430  -0.144 1.328  -0.144 1.197  -0.144 1.067  -0.144 0.936  -0.144 0.806  -0.167 0.679  -0.204 0.553  -0.241 0.428  -0.278 0.303  -0.314 0.178  -0.349 0.052  -0.372 -0.076  -0.394 -0.205  -0.417 -0.333  -0.440 -0.462  -0.462 -0.590  -0.486 -0.719  -0.509 -0.847  -0.532 -0.975  -0.552 -1.104  -0.565 -1.234  -0.578 -1.364  -0.562 -1.434  -0.470 -1.341  -0.389 -1.240  -0.318 -1.130  -0.248 -1.020  -0.177 -0.911  -0.107 -0.801  -0.032 -0.694  0.050 -0.592  0.131 -0.490  0.213 -0.388  0.294 -0.287  0.376 -0.185  0.448 -0.077  0.509 0.038  0.570 0.154  0.631 0.269  0.692 0.384  0.753 0.500  0.824 0.609  0.905 0.711  0.985 0.814  1.066 0.916  1.146 1.019  1.227 1.122
2#apb#apb06#app0605/i  -0.168 0.168  -0.181 0.063  -0.204 -0.039  -0.243 -0.136  -0.282 -0.234  -0.321 -0.332  -0.354 -0.432  -0.387 -0.532  -0.420 -0.632  -0.456 -0.730  -0.500 -0.826  -0.544 -0.922  -0.588 -1.017  -0.630 -1.113  -0.671 -1.211  -0.704 -1.310  -0.654 -1.221  -0.602 -1.130  -0.551 -1.038  -0.500 -0.946  -0.448 -0.854  -0.397 -0.762  -0.345 -0.670  -0.294 -0.579  -0.243 -0.487  -0.191 -0.395  -0.140 -0.303  -0.088 -0.211  -0.037 -0.120  0.014 -0.028  0.066 0.064  0.117 0.156  0.169 0.248  0.220 0.340  0.271 0.431  0.323 0.523  0.374 0.615  0.426 0.707  0.477 0.799  0.528 0.891  0.580 0.982  0.631 1.074  0.683 1.166  0.734 1.258  0.785 1.350  0.837 1.441  0.888 1.533  0.977 1.561  1.010 1.471  1.032 1.368
2#apb#apb06#app0605/d  1.470 1.487  1.374 1.380  1.290 1.263  1.206 1.146  1.126 1.026  1.047 0.905  0.968 0.785  0.889 0.664  0.810 0.543  0.728 0.425  0.645 0.308  0.561 0.190  0.478 0.072  0.396 -0.046  0.320 -0.169  0.244 -0.292  0.169 -0.414  0.095 -0.538  0.026 -0.665  -0.013 -0.799  -0.000 -0.732  0.059 -0.600  0.118 -0.469  0.173 -0.336  0.221 -0.200  0.254 -0.060  0.273 0.081  0.248 0.223  0.185 0.346  0.083 0.447  -0.058 0.454  -0.202 0.454  -0.340 0.425  -0.469 0.361  -0.598 0.296  -0.709 0.207  -0.811 0.105  -0.913 0.003  -1.006 -0.105  -1.084 -0.227  -1.162 -0.348  -1.201 -0.485  -1.225 -0.626  -1.172 -0.760  -1.092 -0.868  -0.959 -0.925  -0.827 -0.982  -0.683 -0.984  -0.539 -0.984  -0.395 -0.984
2#apb#apb06#app0605/e  -0.891 0.140  -0.779 0.053  -0.666 -0.036  -0.550 -0.122  -0.406 -0.122  -0.262 -0.122  -0.119 -0.114  0.024 -0.097  0.167 -0.080  0.307 -0.051  0.442 -0.002  0.577 0.048  0.712 0.098  0.848 0.145  0.985 0.190  1.105 0.261  1.198 0.370  1.245 0.503  1.273 0.644  1.212 0.770  1.138 0.893  1.015 0.954  0.878 0.996  0.736 0.980  0.595 0.955  0.453 0.930  0.326 0.866  0.206 0.788  0.085 0.710  -0.035 0.630  -0.143 0.535  -0.251 0.439  -0.358 0.343  -0.466 0.248  -0.553 0.135  -0.631 0.014  -0.710 -0.107  -0.787 -0.228  -0.817 -0.369  -0.846 -0.510  -0.876 -0.651  -0.881 -0.792  -0.861 -0.935  -0.841 -1.077  -0.755 -1.191  -0.664 -1.302  -0.555 -1.386  -0.415 -1.417  -0.274 -1.448  -0.134 -1.480
2#apb#apb06#app0605/n  -0.079 0.928  -0.052 0.796  -0.079 0.636  -0.172 0.504  -0.266 0.372  -0.351 0.235  -0.430 0.093  -0.509 -0.048  -0.595 -0.185  -0.685 -0.320  -0.775 -0.455  -0.863 -0.591  -0.951 -0.727  -1.042 -0.860  -1.142 -0.988  -1.196 -1.053  -1.131 -0.905  -1.032 -0.777  -0.928 -0.653  -0.840 -0.518  -0.759 -0.377  -0.678 -0.237  -0.587 -0.104  -0.490 0.026  -0.392 0.156  -0.295 0.285  -0.192 0.410  -0.090 0.536  0.013 0.661  0.120 0.781  0.260 0.863  0.400 0.945  0.545 1.012  0.702 1.055  0.840 0.992  0.968 0.896  1.033 0.747  1.098 0.599  1.116 0.442  1.107 0.281  1.092 0.119  1.063 -0.040  1.034 -0.199  1.001 -0.357  0.928 -0.502  0.856 -0.647  0.783 -0.792  0.669 -0.907  0.551 -1.017  0.419 -1.111
2#apb#apb06#app0605/c  0.808 0.408  0.787 0.278  0.744 0.154  0.696 0.032  0.633 -0.084  0.610 -0.168  0.703 -0.075  0.790 0.023  0.843 0.143  0.893 0.265  0.919 0.394  0.943 0.523  0.943 0.654  0.942 0.786  0.861 0.890  0.780 0.993  0.664 1.026  0.533 1.026  0.404 1.012  0.287 0.953  0.169 0.894  0.051 0.836  -0.065 0.774  -0.166 0.690  -0.268 0.606  -0.369 0.523  -0.471 0.439  -0.567 0.349  -0.660 0.256  -0.753 0.163  -0.846 0.070  -0.930 -0.030  -0.988 -0.148  -1.047 -0.266  -1.100 -0.385  -1.089 -0.516  -1.079 -0.647  -1.035 -0.764  -0.946 -0.861  -0.857 -0.958  -0.764 -1.045  -0.632 -1.051  -0.501 -1.057  -0.369 -1.063  -0.238 -1.069  -0.108 -1.053  0.020 -1.024  0.148 -0.995  0.277 -0.966  0.405 -0.937
2#apb#apb06#app0605/e  -0.620 0.370  -0.528 0.236  -0.431 0.106  -0.285 0.033  -0.124 0.005  0.037 -0.020  0.199 0.001  0.361 0.023  0.521 0.052  0.681 0.086  0.834 0.136  0.974 0.220  1.083 0.332  1.154 0.479  1.154 0.642  1.103 0.782  0.981 0.891  0.849 0.973  0.686 0.982  0.523 0.991  0.362 0.981  0.204 0.939  0.046 0.898  -0.112 0.857  -0.258 0.788  -0.396 0.701  -0.533 0.613  -0.671 0.525  -0.790 0.419  -0.885 0.285  -0.979 0.152  -1.068 0.016  -1.110 -0.141  -1.152 -0.299  -1.129 -0.452  -1.065 -0.602  -0.986 -0.738  -0.838 -0.808  -0.691 -0.879  -0.544 -0.949  -0.389 -0.987  -0.226 -0.987  -0.063 -0.987  0.101 -0.987  0.264 -0.985  0.426 -0.969  0.589 -0.954  0.751 -0.939  0.914 -0.924  1.076 -0.908
2#apb#apb06#app0605/M  -0.940 0.310  -0.842 0.486  -0.703 0.627  -0.666 0.543  -0.727 0.351  -0.801 0.164  -0.886 -0.020  -0.974 -0.201  -1.064 -0.382  -1.164 -0.557  -1.274 -0.726  -1.386 -0.893  -1.286 -0.779  -1.143 -0.637  -1.004 -0.491  -0.873 -0.338  -0.742 -0.184  -0.611 -0.030  -0.478 0.122  -0.339 0.268  -0.197 0.411  -0.049 0.549  0.077 0.557  0.043 0.359  -0.039 0.174  -0.132 -0.005  -0.224 -0.184  -0.294 -0.373  -0.275 -0.505  -0.087 -0.433  0.090 -0.342  0.246 -0.215  0.400 -0.083  0.551 0.050  0.704 0.182  0.857 0.314  1.010 0.446  1.158 0.582  1.307 0.719  1.455 0.856  1.482 0.768  1.404 0.581  1.323 0.397  1.238 0.214  1.159 0.028  1.085 -0.160  1.011 -0.347  0.936 -0.535  0.859 -0.722  0.807 -0.916
2#apb#apb06#app0605/a  0.900 0.883  0.982 1.047  1.065 1.212  0.894 1.244  0.710 1.244  0.541 1.192  0.386 1.093  0.231 0.994  0.075 0.896  -0.065 0.778  -0.195 0.648  -0.326 0.518  -0.456 0.388  -0.586 0.258  -0.713 0.125  -0.839 -0.009  -0.965 -0.143  -1.088 -0.279  -1.193 -0.431  -1.298 -0.582  -1.336 -0.758  -1.308 -0.912  -1.135 -0.976  -0.952 -0.968  -0.768 -0.958  -0.592 -0.919  -0.427 -0.837  -0.263 -0.755  -0.098 -0.672  0.045 -0.557  0.189 -0.442  0.330 -0.324  0.452 -0.186  0.574 -0.049  0.696 0.089  0.778 0.251  0.843 0.423  0.911 0.594  0.891 0.579  0.776 0.435  0.671 0.284  0.572 0.129  0.473 -0.026  0.375 -0.181  0.268 -0.331  0.157 -0.478  0.047 -0.625  -0.024 -0.792  -0.076 -0.969  -0.128 -1.146
2#apb#apb06#app0605/g  0.672 0.993  0.712 1.113  0.597 1.145  0.472 1.121  0.347 1.098  0.231 1.050  0.119 0.991  0.007 0.930  -0.093 0.853  -0.194 0.777  -0.294 0.699  -0.391 0.617  -0.474 0.525  -0.498 0.412  -0.389 0.363  -0.265 0.339  -0.139 0.350  -0.013 0.366  0.111 0.387  0.230 0.431  0.350 0.474  0.466 0.524  0.581 0.578  0.675 0.661  0.674 0.678  0.592 0.584  0.515 0.484  0.447 0.377  0.389 0.264  0.330 0.152  0.273 0.038  0.224 -0.079  0.174 -0.195  0.125 -0.312  0.075 -0.429  0.026 -0.546  -0.024 -0.662  -0.073 -0.779  -0.126 -0.894  -0.188 -1.005  -0.250 -1.116  -0.313 -1.226  -0.384 -1.331  -0.454 -1.437  -0.534 -1.533  -0.635 -1.610  -0.747 -1.628  -0.869 -1.593  -0.978 -1.530  -1.087 -1.465
2#apb#apb06#app0605/n  -0.386 0.405  -0.470 0.285  -0.554 0.165  -0.637 0.045  -0.720 -0.075  -0.805 -0.195  -0.890 -0.314  -0.975 -0.433  -1.065 -0.548  -1.156 -0.662  -1.240 -0.782  -1.227 -0.750  -1.148 -0.626  -1.068 -0.504  -0.979 -0.388  -0.890 -0.272  -0.801 -0.156  -0.698 -0.052  -0.592 0.048  -0.485 0.148  -0.378 0.248  -0.272 0.349  -0.166 0.450  -0.060 0.550  0.049 0.648  0.173 0.725  0.298 0.802  0.422 0.879  0.549 0.950  0.687 0.999  0.825 1.049  0.954 0.998  1.064 0.913  1.097 0.770  1.131 0.628  1.135 0.486  1.098 0.344  1.061 0.203  1.024 0.061  0.965 -0.071  0.893 -0.199  0.821 -0.326  0.749 -0.454  0.668 -0.575  0.575 -0.688  0.482 -0.801  0.389 -0.913  0.286 -1.018  0.183 -1.121  0.080 -1.225
2#apb#apb06#app0605/o  0.118 1.163  0.031 1.076  -0.056 0.989  -0.138 0.898  -0.216 0.803  -0.295 0.709  -0.374 0.614  -0.454 0.521  -0.535 0.428  -0.615 0.336  -0.696 0.243  -0.774 0.148  -0.831 0.040  -0.889 -0.069  -0.947 -0.177  -1.004 -0.286  -1.013 -0.409  -1.022 -0.531  -1.032 -0.654  -0.978 -0.762  -0.917 -0.869  -0.801 -0.908  -0.684 -0.944  -0.566 -0.980  -0.448 -0.969  -0.329 -0.938  -0.210 -0.906  -0.091 -0.875  0.028 -0.844  0.128 -0.773  0.229 -0.702  0.329 -0.632  0.430 -0.561  0.530 -0.490  0.614 -0.400  0.697 -0.309  0.780 -0.219  0.864 -0.129  0.916 -0.020  0.957 0.096  0.998 0.212  1.031 0.329  1.024 0.452  1.017 0.574  1.010 0.697  0.996 0.817  0.917 0.911  0.837 1.005  0.758 1.099  0.679 1.193
2#apb#apb06#app0605/l  0.788 1.498  0.770 1.430  0.752 1.363  0.733 1.296  0.708 1.232  0.678 1.169  0.648 1.107  0.617 1.044  0.587 0.982  0.557 0.919  0.527 0.856  0.497 0.794  0.467 0.731  0.435 0.669  0.402 0.608  0.369 0.547  0.337 0.485  0.304 0.424  0.271 0.363  0.239 0.301  0.206 0.240  0.173 0.179  0.141 0.117  0.103 0.059  0.062 0.003  0.021 -0.053  -0.020 -0.110  -0.061 -0.166  -0.102 -0.222  -0.143 -0.278  -0.184 -0.334  -0.225 -0.390  -0.266 -0.446  -0.302 -0.505  -0.338 -0.565  -0.374 -0.624  -0.410 -0.683  -0.447 -0.743  -0.483 -0.802  -0.519 -0.861  -0.555 -0.921  -0.598 -0.975  -0.642 -1.029  -0.686 -1.083  -0.730 -1.137  -0.773 -1.191  -0.817 -1.245  -0.862 -1.298  -0.907 -1.351  -0.952 -1.404
2#apb#apb06#app0605/i  0.003 0.484  0.003 0.369  -0.002 0.255  -0.031 0.143  -0.061 0.032  -0.090 -0.079  -0.131 -0.186  -0.180 -0.290  -0.229 -0.394  -0.281 -0.496  -0.350 -0.588  -0.419 -0.680  -0.488 -0.772  -0.552 -0.867  -0.613 -0.965  -0.673 -1.063  -0.738 -1.158  -0.804 -1.252  -0.806 -1.253  -0.742 -1.157  -0.679 -1.061  -0.616 -0.965  -0.552 -0.869  -0.489 -0.773  -0.426 -0.677  -0.362 -0.581  -0.299 -0.485  -0.236 -0.389  -0.172 -0.293  -0.109 -0.197  -0.046 -0.101  0.018 -0.005  0.081 0.091  0.144 0.187  0.208 0.283  0.271 0.379  0.334 0.475  0.398 0.571  0.461 0.667  0.524 0.763  0.588 0.859  0.651 0.955  0.714 1.051  0.778 1.147  0.841 1.243  0.904 1.339  0.968 1.435  1.031 1.531  1.094 1.627  1.158 1.723
