3#app#app06#app0647/1  0.103 1.641  0.031 1.641  0.017 1.584  0.017 1.512  0.017 1.440  0.017 1.368  0.017 1.296  0.017 1.224  0.017 1.152  0.017 1.080  0.017 1.008  0.010 0.938  -0.022 0.873  -0.054 0.809  -0.069 0.741  -0.069 0.669  -0.069 0.597  -0.069 0.525  -0.069 0.453  -0.069 0.381  -0.069 0.309  -0.069 0.237  -0.069 0.165  -0.069 0.093  -0.069 0.021  -0.069 -0.051  -0.069 -0.123  -0.069 -0.195  -0.069 -0.267  -0.069 -0.339  -0.069 -0.411  -0.069 -0.483  -0.069 -0.555  -0.069 -0.627  -0.069 -0.699  -0.069 -0.771  -0.069 -0.843  -0.045 -0.909  -0.012 -0.973  0.017 -1.038  0.017 -1.110  0.017 -1.182  0.052 -1.240  0.103 -1.290  0.103 -1.362  0.160 -1.377  0.189 -1.420  0.218 -1.463  0.276 -1.478  0.276 -1.550
3#app#app06#app0647/a  -0.481 0.993  -0.337 1.137  -0.141 1.153  0.063 1.153  0.266 1.153  0.426 1.048  0.482 0.867  0.490 0.672  0.642 0.621  0.642 0.417  0.642 0.213  0.628 0.016  0.484 -0.128  0.454 -0.319  0.314 -0.466  0.223 -0.649  0.115 -0.819  0.000 -0.975  -0.084 -1.094  -0.160 -1.221  -0.331 -1.255  -0.534 -1.255  -0.738 -1.255  -0.802 -1.116  -0.884 -0.931  -0.963 -0.746  -0.963 -0.543  -0.963 -0.339  -0.963 -0.135  -0.963 0.068  -0.963 0.272  -0.838 0.351  -0.684 0.469  -0.642 0.656  -0.509 0.804  -0.365 0.948  -0.180 0.993  -0.031 0.863  0.160 0.832  0.252 0.650  0.321 0.463  0.386 0.286  0.512 0.130  0.603 -0.053  0.724 -0.213  0.803 -0.384  0.803 -0.588  0.929 -0.739  1.033 -0.912  1.124 -1.094
3#app#app06#app0647/r  -0.487 0.715  -0.394 0.622  -0.301 0.529  -0.300 0.398  -0.300 0.266  -0.300 0.134  -0.300 0.003  -0.232 -0.100  -0.139 -0.194  -0.114 -0.315  -0.084 -0.434  0.009 -0.528  0.073 -0.633  0.073 -0.764  0.156 -0.862  0.249 -0.955  0.260 -1.082  0.303 -1.196  0.396 -1.289  0.446 -1.400  0.442 -1.521  0.349 -1.428  0.260 -1.334  0.260 -1.202  0.260 -1.070  0.248 -0.941  0.189 -0.824  0.130 -0.706  0.073 -0.588  0.073 -0.456  0.073 -0.324  0.073 -0.193  0.073 -0.061  0.001 0.041  -0.092 0.134  -0.114 0.257  -0.114 0.388  -0.114 0.520  -0.114 0.652  -0.114 0.783  -0.114 0.915  -0.114 1.047  -0.114 1.178  -0.114 1.310  -0.114 1.442  -0.114 1.573  -0.114 1.705  -0.113 1.836  -0.020 1.929  0.073 2.022
3#app#app06#app0647/e  0.215 1.071  0.215 1.172  0.268 1.219  0.362 1.225  0.362 1.325  0.303 1.366  0.215 1.353  0.215 1.253  0.149 1.219  0.059 1.202  0.014 1.112  -0.030 1.022  -0.075 0.933  -0.144 0.860  -0.214 0.789  -0.227 0.694  -0.252 0.604  -0.323 0.534  -0.386 0.457  -0.431 0.368  -0.476 0.278  -0.521 0.189  -0.521 0.088  -0.521 -0.012  -0.521 -0.112  -0.521 -0.212  -0.521 -0.313  -0.521 -0.413  -0.521 -0.513  -0.521 -0.613  -0.521 -0.713  -0.521 -0.814  -0.470 -0.893  -0.399 -0.964  -0.310 -0.989  -0.209 -0.989  -0.109 -0.989  -0.009 -0.989  0.091 -0.989  0.192 -0.989  0.292 -0.989  0.392 -0.989  0.492 -0.989  0.584 -0.952  0.673 -0.907  0.763 -0.862  0.858 -0.842  0.956 -0.836  1.027 -0.766  1.098 -0.695
3#app#app06#app0647/^  -1.497 -0.982  -1.370 -0.982  -1.300 -0.926  -1.300 -0.799  -1.188 -0.785  -1.074 -0.756  -0.985 -0.666  -0.907 -0.572  -0.907 -0.446  -0.835 -0.392  -0.711 -0.390  -0.711 -0.264  -0.670 -0.155  -0.580 -0.065  -0.514 0.034  -0.514 0.160  -0.426 0.197  -0.305 0.210  -0.215 0.300  -0.126 0.389  -0.121 0.513  -0.087 0.625  0.003 0.714  0.075 0.810  0.075 0.937  0.155 0.983  0.278 0.990  0.368 1.079  0.457 1.168  0.468 1.069  0.468 0.943  0.468 0.816  0.536 0.718  0.625 0.629  0.664 0.519  0.664 0.393  0.664 0.267  0.664 0.140  0.664 0.014  0.664 -0.112  0.664 -0.238  0.664 -0.365  0.763 -0.392  0.861 -0.421  0.861 -0.547  0.861 -0.673  0.861 -0.799  0.861 -0.926  0.931 -0.982  1.057 -0.982
3#app#app06#app0647/u  -0.901 1.186  -0.901 1.298  -0.901 1.130  -0.901 0.962  -0.901 0.794  -0.901 0.626  -0.901 0.458  -0.901 0.290  -0.901 0.122  -0.901 -0.046  -0.839 -0.199  -0.764 -0.349  -0.761 -0.516  -0.761 -0.684  -0.706 -0.829  -0.621 -0.962  -0.545 -1.054  -0.481 -1.158  -0.349 -1.194  -0.201 -1.174  -0.153 -1.054  -0.061 -0.978  0.012 -0.840  0.079 -0.700  0.079 -0.532  0.171 -0.402  0.219 -0.254  0.219 -0.086  0.230 0.077  0.349 0.196  0.359 0.360  0.359 0.528  0.408 0.675  0.499 0.806  0.499 0.974  0.499 1.142  0.499 1.062  0.504 0.896  0.579 0.745  0.639 0.592  0.639 0.424  0.703 0.282  0.779 0.146  0.779 -0.022  0.861 -0.156  0.919 -0.300  1.033 -0.354  1.059 -0.496  1.080 -0.655  1.199 -0.774
3#app#app06#app0647/n  -1.095 1.338  -0.934 1.308  -0.934 1.116  -0.841 1.018  -0.774 0.894  -0.774 0.703  -0.642 0.566  -0.614 0.387  -0.599 0.202  -0.463 0.066  -0.453 -0.121  -0.453 -0.312  -0.453 -0.503  -0.376 -0.662  -0.293 -0.819  -0.293 -1.011  -0.293 -1.202  -0.133 -1.233  -0.133 -1.424  -0.133 -1.477  -0.133 -1.286  -0.133 -1.095  -0.133 -0.903  -0.133 -0.712  -0.133 -0.521  -0.133 -0.330  -0.093 -0.145  -0.033 0.037  0.027 0.218  0.027 0.409  0.072 0.582  0.188 0.726  0.229 0.900  0.348 1.042  0.348 1.233  0.409 1.278  0.508 1.128  0.508 0.937  0.508 0.745  0.610 0.596  0.668 0.429  0.668 0.238  0.668 0.047  0.668 -0.145  0.719 -0.315  0.829 -0.461  0.829 -0.652  0.829 -0.843  0.958 -0.905  0.989 -1.065
3#app#app06#app0647/d  -0.341 2.004  -0.255 1.918  -0.168 1.832  -0.099 1.734  -0.045 1.625  -0.021 1.509  -0.021 1.387  -0.021 1.265  -0.021 1.143  -0.004 1.029  0.083 0.943  0.085 0.822  0.085 0.700  0.085 0.578  0.085 0.457  0.118 0.343  0.172 0.234  0.191 0.116  0.191 -0.005  0.191 -0.127  0.205 -0.243  0.291 -0.329  0.302 -0.447  0.388 -0.533  0.404 -0.450  0.323 -0.362  0.298 -0.250  0.226 -0.158  0.191 -0.051  0.103 -0.017  -0.018 -0.017  -0.105 -0.101  -0.192 -0.187  -0.278 -0.273  -0.341 -0.369  -0.375 -0.476  -0.447 -0.568  -0.447 -0.690  -0.447 -0.812  -0.447 -0.934  -0.447 -1.055  -0.379 -1.149  -0.273 -1.187  -0.175 -1.246  -0.073 -1.294  0.048 -1.294  0.170 -1.294  0.292 -1.294  0.402 -1.242  0.510 -1.187
3#app#app06#app0647/e  -0.540 0.236  -0.400 0.236  -0.378 0.354  -0.283 0.399  -0.164 0.450  -0.065 0.549  -0.052 0.684  0.047 0.724  0.188 0.724  0.273 0.779  0.302 0.901  0.427 0.964  0.552 1.027  0.598 1.138  0.532 1.212  0.405 1.182  0.306 1.082  0.179 1.050  0.060 0.999  -0.039 0.900  -0.052 0.766  -0.151 0.724  -0.269 0.671  -0.368 0.571  -0.378 0.435  -0.451 0.326  -0.550 0.227  -0.649 0.128  -0.703 0.010  -0.703 -0.130  -0.703 -0.270  -0.703 -0.410  -0.703 -0.550  -0.623 -0.657  -0.517 -0.739  -0.378 -0.741  -0.378 -0.881  -0.272 -0.955  -0.146 -1.018  -0.028 -1.090  0.071 -1.189  0.195 -1.227  0.336 -1.227  0.476 -1.227  0.616 -1.227  0.756 -1.227  0.896 -1.227  1.036 -1.227  1.150 -1.164  1.249 -1.065
3#app#app06#app0647/f  0.023 0.032  0.103 -0.098  0.153 -0.257  0.153 -0.467  0.153 -0.676  0.159 -0.883  0.283 -1.042  0.364 -1.218  0.413 -1.407  0.323 -1.527  0.163 -1.407  0.015 -1.258  -0.107 -1.099  -0.159 -0.902  -0.262 -0.721  -0.366 -0.555  -0.366 -0.346  -0.366 -0.136  -0.366 0.074  -0.366 0.283  -0.366 0.493  -0.357 0.700  -0.263 0.888  -0.223 1.085  -0.107 1.246  -0.018 1.419  0.168 1.476  0.330 1.591  0.502 1.680  0.660 1.702  0.544 1.527  0.428 1.353  0.311 1.179  0.195 1.004  0.079 0.830  -0.037 0.656  -0.154 0.481  -0.270 0.307  -0.386 0.133  -0.502 -0.042  -0.619 -0.216  -0.626 -0.423  -0.611 -0.617  -0.401 -0.617  -0.191 -0.617  0.018 -0.617  0.174 -0.747  0.383 -0.747  0.593 -0.747  0.802 -0.747
3#app#app06#app0647/i  -0.174 0.331  -0.090 0.248  -0.029 0.155  -0.029 0.038  -0.029 -0.080  -0.029 -0.198  -0.029 -0.316  -0.029 -0.433  -0.029 -0.551  -0.029 -0.669  -0.029 -0.787  -0.029 -0.904  -0.029 -1.022  -0.029 -1.140  -0.029 -1.258  0.051 -1.342  0.116 -1.433  0.116 -1.551  0.110 -1.434  0.105 -1.316  0.099 -1.199  0.093 -1.081  0.088 -0.963  0.082 -0.846  0.077 -0.728  0.071 -0.611  0.065 -0.493  0.060 -0.375  0.054 -0.258  0.049 -0.140  0.043 -0.022  0.037 0.095  0.032 0.213  0.026 0.330  0.021 0.448  0.015 0.566  0.009 0.683  0.004 0.801  -0.002 0.918  -0.007 1.036  -0.013 1.154  -0.019 1.271  -0.024 1.389  -0.029 1.507  -0.029 1.624  -0.137 1.634  -0.174 1.715  -0.174 1.725  -0.147 1.634  -0.029 1.634
3#app#app06#app0647/n  -0.552 0.951  -0.430 1.014  -0.432 0.949  -0.552 0.815  -0.552 0.630  -0.552 0.446  -0.552 0.261  -0.616 0.092  -0.674 -0.079  -0.674 -0.263  -0.674 -0.448  -0.674 -0.632  -0.674 -0.817  -0.620 -0.988  -0.552 -1.157  -0.552 -1.341  -0.430 -1.330  -0.430 -1.145  -0.430 -0.961  -0.430 -0.776  -0.430 -0.592  -0.430 -0.407  -0.312 -0.272  -0.308 -0.089  -0.308 0.095  -0.266 0.262  -0.186 0.414  -0.181 0.597  -0.098 0.762  0.013 0.906  0.058 1.072  0.119 1.195  0.267 1.283  0.433 1.308  0.546 1.170  0.546 0.986  0.558 0.804  0.641 0.639  0.668 0.461  0.668 0.277  0.668 0.092  0.668 -0.092  0.760 -0.239  0.799 -0.409  0.881 -0.574  0.912 -0.751  0.968 -0.879  1.034 -0.998  1.093 -1.123  1.278 -1.123
3#app#app06#app0647/e  -0.422 -0.129  -0.282 -0.120  -0.181 -0.019  -0.047 0.002  0.060 0.091  0.161 0.193  0.275 0.264  0.363 0.319  0.411 0.442  0.520 0.526  0.625 0.563  0.661 0.692  0.756 0.796  0.756 0.939  0.756 1.082  0.711 1.181  0.568 1.181  0.425 1.181  0.281 1.181  0.166 1.114  0.049 1.050  -0.094 1.050  -0.215 0.995  -0.316 0.894  -0.418 0.793  -0.426 0.653  -0.528 0.552  -0.553 0.419  -0.638 0.311  -0.684 0.187  -0.684 0.043  -0.684 -0.100  -0.684 -0.243  -0.684 -0.387  -0.678 -0.527  -0.577 -0.629  -0.553 -0.762  -0.498 -0.893  -0.434 -1.021  -0.340 -1.127  -0.217 -1.176  -0.160 -1.263  -0.062 -1.307  0.082 -1.307  0.225 -1.307  0.368 -1.307  0.512 -1.307  0.655 -1.307  0.786 -1.278  0.887 -1.176
3#app#app06#app0647/d  -0.097 2.150  -0.038 2.032  -0.007 1.908  -0.007 1.776  -0.007 1.645  -0.075 1.541  -0.097 1.419  -0.097 1.287  -0.097 1.156  -0.097 1.024  -0.097 0.893  -0.041 0.774  -0.007 0.651  -0.007 0.519  -0.007 0.388  -0.007 0.256  0.083 0.162  0.083 0.030  0.083 -0.101  0.110 -0.222  0.173 -0.327  0.173 -0.459  0.263 -0.500  0.263 -0.632  0.354 -0.617  0.354 -0.486  0.275 -0.387  0.246 -0.267  0.173 -0.166  0.124 -0.055  0.009 -0.014  -0.115 -0.032  -0.217 -0.104  -0.277 -0.175  -0.357 -0.274  -0.450 -0.367  -0.458 -0.495  -0.458 -0.627  -0.458 -0.758  -0.412 -0.871  -0.319 -0.964  -0.277 -1.078  -0.176 -1.147  -0.066 -1.217  0.041 -1.276  0.172 -1.276  0.292 -1.248  0.398 -1.186  0.530 -1.186  0.624 -1.096
3#app#app06#app0647/^  -1.291 -0.614  -1.291 -0.719  -1.291 -0.664  -1.291 -0.559  -1.261 -0.484  -1.158 -0.479  -1.111 -0.385  -1.064 -0.291  -1.010 -0.203  -0.935 -0.128  -0.900 -0.038  -0.870 0.038  -0.770 0.042  -0.770 0.147  -0.685 0.168  -0.639 0.227  -0.615 0.323  -0.541 0.397  -0.449 0.429  -0.379 0.464  -0.368 0.559  -0.263 0.559  -0.248 0.649  -0.183 0.689  -0.078 0.689  0.027 0.689  0.132 0.689  0.237 0.689  0.273 0.619  0.317 0.559  0.403 0.539  0.403 0.434  0.473 0.358  0.548 0.284  0.622 0.209  0.664 0.121  0.679 0.023  0.753 -0.052  0.828 -0.126  0.902 -0.201  0.976 -0.275  1.051 -0.349  1.055 -0.453  1.129 -0.484  1.185 -0.533  1.209 -0.614  1.314 -0.614  1.389 -0.688  1.445 -0.769  1.445 -0.874
