2#app#app33#app3310/T  0.606 1.130  0.606 0.975  0.606 0.820  0.606 0.665  0.606 0.510  0.606 0.355  0.606 0.201  0.606 0.046  0.606 -0.109  0.606 -0.264  0.628 -0.410  0.701 -0.534  0.701 -0.689  0.778 -0.767  0.796 -0.904  0.788 -1.049  0.640 -1.004  0.492 -0.959  0.344 -0.914  0.196 -0.869  0.048 -0.824  -0.101 -0.779  -0.249 -0.734  -0.397 -0.689  -0.545 -0.643  -0.693 -0.598  -0.841 -0.553  -0.989 -0.508  -1.138 -0.463  -1.286 -0.418  -1.386 -0.337  -1.307 -0.215  -1.254 -0.103  -1.100 -0.102  -0.990 0.008  -0.881 0.117  -0.771 0.227  -0.646 0.314  -0.508 0.383  -0.369 0.453  -0.231 0.522  -0.105 0.609  0.005 0.718  0.114 0.828  0.248 0.903  0.387 0.973  0.525 1.042  0.664 1.111  0.781 1.210  0.890 1.319
2#app#app33#app3310/d  0.357 1.820  0.357 1.850  0.357 1.694  0.357 1.538  0.357 1.382  0.357 1.227  0.357 1.071  0.357 0.915  0.357 0.759  0.361 0.604  0.431 0.464  0.450 0.313  0.450 0.157  0.543 0.039  0.543 -0.117  0.543 -0.273  0.562 -0.409  0.636 -0.492  0.543 -0.395  0.543 -0.240  0.450 -0.122  0.450 0.034  0.408 0.148  0.283 0.222  0.238 0.360  0.110 0.427  -0.046 0.427  -0.197 0.397  -0.345 0.348  -0.466 0.255  -0.602 0.180  -0.725 0.088  -0.835 -0.022  -0.911 -0.158  -0.981 -0.297  -1.037 -0.440  -1.037 -0.596  -1.037 -0.752  -1.003 -0.874  -0.875 -0.942  -0.765 -1.053  -0.612 -1.060  -0.456 -1.060  -0.300 -1.060  -0.144 -1.060  0.012 -1.060  0.168 -1.060  0.324 -1.060  0.480 -1.060  0.636 -1.060
2#app#app33#app3310/a  0.115 -0.010  0.230 0.035  0.293 0.168  0.344 0.307  0.344 0.466  0.388 0.608  0.459 0.738  0.459 0.897  0.459 1.057  0.380 1.137  0.335 1.252  0.175 1.252  0.016 1.252  -0.129 1.187  -0.250 1.095  -0.321 0.952  -0.421 0.830  -0.534 0.717  -0.647 0.604  -0.733 0.473  -0.806 0.331  -0.918 0.218  -1.031 0.105  -1.032 -0.054  -1.032 -0.214  -1.032 -0.373  -1.032 -0.533  -1.032 -0.692  -0.992 -0.812  -0.857 -0.872  -0.721 -0.927  -0.561 -0.927  -0.402 -0.927  -0.242 -0.927  -0.126 -0.823  0.021 -0.792  0.134 -0.679  0.246 -0.566  0.359 -0.453  0.459 -0.335  0.522 -0.239  0.650 -0.163  0.688 -0.230  0.803 -0.274  0.860 -0.410  0.972 -0.523  1.085 -0.636  1.219 -0.697  1.344 -0.780  1.491 -0.812
2#app#app33#app3310/l  0.414 1.495  0.340 1.495  0.267 1.495  0.212 1.476  0.212 1.402  0.166 1.348  0.114 1.296  0.080 1.231  0.047 1.165  0.014 1.099  0.010 1.026  -0.006 0.957  -0.039 0.891  -0.072 0.825  -0.091 0.756  -0.091 0.683  -0.091 0.609  -0.113 0.541  -0.146 0.475  -0.179 0.409  -0.192 0.339  -0.192 0.265  -0.192 0.192  -0.192 0.118  -0.192 0.044  -0.189 -0.029  -0.171 -0.100  -0.153 -0.171  -0.136 -0.243  -0.118 -0.314  -0.100 -0.386  -0.091 -0.458  -0.091 -0.531  -0.091 -0.605  -0.091 -0.679  -0.079 -0.749  -0.046 -0.815  -0.013 -0.881  0.010 -0.949  0.010 -1.022  0.010 -1.096  0.029 -1.165  0.061 -1.231  0.094 -1.297  0.111 -1.366  0.120 -1.431  0.193 -1.431  0.212 -1.486  0.212 -1.560  0.212 -1.633
2#app#app33#app3310/o  -0.341 0.869  -0.475 0.867  -0.478 0.732  -0.575 0.636  -0.696 0.601  -0.744 0.512  -0.808 0.402  -0.878 0.295  -0.878 0.158  -0.878 0.022  -0.878 -0.114  -0.878 -0.250  -0.878 -0.387  -0.878 -0.523  -0.827 -0.608  -0.744 -0.661  -0.705 -0.781  -0.608 -0.876  -0.473 -0.879  -0.376 -0.975  -0.255 -1.011  -0.118 -1.011  0.018 -1.011  0.154 -1.011  0.291 -1.011  0.417 -0.967  0.539 -0.906  0.668 -0.876  0.733 -0.805  0.785 -0.690  0.867 -0.588  0.867 -0.452  0.867 -0.316  0.867 -0.179  0.867 -0.043  0.867 0.093  0.867 0.230  0.867 0.366  0.842 0.492  0.745 0.588  0.733 0.719  0.632 0.802  0.519 0.877  0.406 0.953  0.298 1.035  0.202 1.132  0.068 1.138  -0.069 1.138  -0.205 1.138  -0.341 1.138
2#app#app33#app3310/n  -0.690 0.890  -0.690 0.755  -0.690 0.619  -0.726 0.499  -0.809 0.398  -0.833 0.273  -0.928 0.177  -0.928 0.041  -0.928 -0.094  -0.928 -0.229  -0.928 -0.364  -0.928 -0.500  -0.928 -0.635  -0.928 -0.770  -0.833 -0.866  -0.809 -0.992  -0.691 -1.009  -0.572 -0.993  -0.572 -0.858  -0.572 -0.722  -0.525 -0.606  -0.453 -0.501  -0.453 -0.366  -0.406 -0.250  -0.311 -0.154  -0.215 -0.058  -0.155 0.063  -0.094 0.183  -0.034 0.304  0.030 0.423  0.125 0.519  0.221 0.615  0.332 0.689  0.453 0.749  0.583 0.771  0.718 0.771  0.853 0.771  0.971 0.753  0.995 0.628  1.089 0.532  1.103 0.402  1.198 0.306  1.208 0.175  1.208 0.040  1.208 -0.095  1.208 -0.230  1.208 -0.366  1.208 -0.501  1.310 -0.534  1.327 -0.653
2#app#app33#app3310/g  0.413 0.683  0.352 0.816  0.291 0.949  0.268 1.098  0.196 1.227  0.145 1.334  0.078 1.217  -0.055 1.156  -0.167 1.044  -0.237 0.902  -0.349 0.790  -0.461 0.678  -0.573 0.566  -0.647 0.466  -0.673 0.333  -0.598 0.248  -0.457 0.177  -0.299 0.176  -0.140 0.176  -0.012 0.249  0.119 0.316  0.245 0.394  0.313 0.510  0.394 0.644  0.413 0.798  0.357 0.900  0.268 0.788  0.188 0.661  0.138 0.510  0.124 0.354  0.124 0.196  0.124 0.038  0.124 -0.121  0.165 -0.269  0.196 -0.420  0.196 -0.579  0.248 -0.724  0.268 -0.878  0.268 -1.036  0.268 -1.195  0.268 -1.353  0.268 -1.512  0.196 -1.597  0.073 -1.633  -0.086 -1.633  -0.244 -1.633  -0.375 -1.568  -0.457 -1.486  -0.587 -1.416  -0.673 -1.343
2#app#app33#app3310/s  0.288 1.171  0.159 1.171  0.030 1.171  -0.100 1.171  -0.229 1.171  -0.337 1.120  -0.441 1.057  -0.570 1.057  -0.679 1.008  -0.771 0.916  -0.862 0.825  -0.954 0.733  -0.975 0.613  -0.862 0.597  -0.732 0.597  -0.611 0.577  -0.519 0.486  -0.391 0.482  -0.262 0.482  -0.144 0.455  -0.051 0.367  0.079 0.367  0.208 0.367  0.323 0.332  0.415 0.241  0.506 0.149  0.598 0.058  0.689 -0.034  0.748 -0.139  0.791 -0.250  0.863 -0.350  0.863 -0.480  0.863 -0.609  0.863 -0.738  0.863 -0.868  0.792 -0.968  0.680 -1.011  0.560 -1.048  0.444 -1.106  0.319 -1.126  0.190 -1.126  0.060 -1.126  -0.069 -1.126  -0.171 -1.099  -0.213 -1.011  -0.343 -1.011  -0.472 -1.011  -0.516 -0.926  -0.516 -0.796  -0.401 -0.782
2#app#app33#app3310/i  -0.034 0.930  -0.034 0.797  -0.034 0.664  -0.034 0.530  -0.113 0.429  -0.207 0.335  -0.301 0.241  -0.315 0.113  -0.390 0.011  -0.456 -0.095  -0.456 -0.228  -0.456 -0.362  -0.456 -0.495  -0.456 -0.628  -0.456 -0.762  -0.456 -0.895  -0.364 -0.990  -0.315 -1.103  -0.290 -1.231  -0.230 -1.350  -0.175 -1.470  -0.174 -1.599  -0.145 -1.469  -0.115 -1.339  -0.085 -1.209  -0.056 -1.079  -0.026 -0.949  0.003 -0.819  0.033 -0.689  0.062 -0.559  0.092 -0.429  0.121 -0.299  0.151 -0.169  0.180 -0.039  0.210 0.091  0.240 0.221  0.269 0.351  0.299 0.481  0.328 0.611  0.358 0.741  0.387 0.871  0.417 1.001  0.446 1.131  0.476 1.261  0.506 1.391  0.529 1.522  0.507 1.633  0.373 1.633  0.255 1.633  0.388 1.633
2#app#app33#app3310/d  0.109 1.592  0.275 1.592  0.347 1.497  0.357 1.333  0.431 1.184  0.466 1.026  0.466 0.860  0.466 0.693  0.466 0.527  0.484 0.365  0.558 0.216  0.585 0.056  0.585 -0.110  0.622 -0.268  0.696 -0.417  0.704 -0.581  0.704 -0.748  0.704 -0.900  0.704 -0.734  0.632 -0.597  0.585 -0.451  0.585 -0.284  0.585 -0.118  0.498 0.012  0.464 0.165  0.347 0.283  0.347 0.449  0.252 0.521  0.086 0.521  -0.081 0.521  -0.247 0.521  -0.413 0.521  -0.580 0.521  -0.705 0.421  -0.822 0.304  -0.962 0.265  -1.008 0.118  -1.081 -0.019  -1.081 -0.185  -1.081 -0.351  -1.081 -0.518  -1.021 -0.670  -0.938 -0.812  -0.821 -0.930  -0.703 -1.047  -0.577 -1.145  -0.433 -1.199  -0.294 -1.264  -0.163 -1.350  -0.010 -1.383
2#app#app33#app3310/e  -0.940 -0.222  -0.825 -0.171  -0.723 -0.106  -0.602 0.001  -0.439 0.009  -0.299 0.073  -0.155 0.124  0.012 0.124  0.178 0.124  0.330 0.066  0.483 0.009  0.649 0.009  0.774 -0.090  0.933 -0.106  1.099 -0.106  1.251 -0.092  1.251 0.074  1.251 0.240  1.251 0.406  1.179 0.543  1.136 0.691  0.992 0.730  0.862 0.816  0.723 0.883  0.577 0.932  0.411 0.932  0.245 0.932  0.081 0.923  -0.068 0.849  -0.226 0.816  -0.350 0.714  -0.468 0.597  -0.585 0.479  -0.731 0.402  -0.868 0.312  -0.940 0.175  -0.940 0.009  -0.940 -0.157  -0.940 -0.323  -0.914 -0.478  -0.825 -0.608  -0.825 -0.774  -0.699 -0.862  -0.559 -0.949  -0.442 -1.066  -0.324 -1.184  -0.207 -1.301  -0.089 -1.419  0.047 -1.490  0.213 -1.490
2#app#app33#app3310/a  0.274 0.066  0.293 0.187  0.377 0.281  0.377 0.410  0.377 0.539  0.377 0.667  0.366 0.790  0.251 0.847  0.131 0.887  0.003 0.887  -0.126 0.887  -0.254 0.880  -0.369 0.822  -0.489 0.784  -0.610 0.753  -0.726 0.695  -0.822 0.612  -0.913 0.521  -1.005 0.430  -1.096 0.338  -1.187 0.247  -1.266 0.151  -1.266 0.022  -1.217 -0.086  -1.110 -0.140  -1.004 -0.196  -0.895 -0.243  -0.766 -0.243  -0.637 -0.243  -0.508 -0.243  -0.379 -0.243  -0.250 -0.243  -0.121 -0.243  0.007 -0.243  0.136 -0.243  0.265 -0.243  0.377 -0.260  0.420 -0.345  0.529 -0.394  0.620 -0.486  0.711 -0.577  0.802 -0.668  0.895 -0.756  1.015 -0.778  1.110 -0.859  1.227 -0.887  1.325 -0.961  1.454 -0.961  1.583 -0.961  1.712 -0.961
