2#app#app26#app2614/p  -0.035 0.561  -0.006 0.711  0.056 0.711  -0.035 0.623  -0.035 0.444  -0.139 0.308  -0.184 0.148  -0.286 0.011  -0.334 -0.148  -0.433 -0.285  -0.483 -0.443  -0.580 -0.582  -0.633 -0.739  -0.728 -0.879  -0.884 -0.933  -0.932 -1.064  -0.942 -1.232  -1.081 -1.272  -1.081 -1.313  -0.983 -1.232  -0.932 -1.104  -0.782 -1.075  -0.756 -0.907  -0.630 -0.781  -0.503 -0.654  -0.377 -0.528  -0.250 -0.401  -0.146 -0.259  -0.066 -0.099  0.042 0.041  0.114 0.189  0.220 0.262  0.264 0.398  0.380 0.528  0.413 0.693  0.422 0.869  0.548 0.995  0.712 1.018  0.750 1.159  0.909 1.112  1.046 1.010  1.161 0.946  1.161 0.767  1.161 0.588  1.158 0.412  1.011 0.380  0.950 0.262  0.771 0.262  0.592 0.262  0.413 0.262
2#app#app26#app2614/g  1.298 1.035  1.153 1.071  1.081 1.180  0.900 1.180  0.720 1.180  0.539 1.180  0.429 1.110  0.322 1.035  0.142 1.035  0.106 0.891  -0.006 0.821  -0.006 0.641  -0.006 0.460  0.139 0.424  0.207 0.311  0.357 0.385  0.508 0.456  0.689 0.456  0.725 0.601  0.833 0.571  0.705 0.443  0.577 0.315  0.552 0.145  0.424 0.017  0.297 -0.110  0.266 -0.268  0.139 -0.322  0.049 -0.413  -0.006 -0.538  -0.151 -0.574  -0.203 -0.702  -0.358 -0.765  -0.505 -0.847  -0.585 -0.947  -0.721 -0.992  -0.894 -1.011  -1.022 -1.137  -1.203 -1.137  -1.309 -1.062  -1.198 -0.992  -1.061 -0.888  -0.897 -0.847  -0.865 -0.693  -0.737 -0.565  -0.567 -0.540  -0.439 -0.413  -0.295 -0.376  -0.222 -0.268  -0.042 -0.268  0.139 -0.268
2#app#app26#app2614/h  1.029 1.773  1.029 1.595  0.893 1.553  0.809 1.460  0.773 1.297  0.647 1.172  0.522 1.046  0.396 0.921  0.271 0.795  0.145 0.670  0.020 0.544  -0.071 0.404  -0.076 0.229  -0.201 0.103  -0.291 -0.037  -0.297 -0.213  -0.422 -0.338  -0.511 -0.479  -0.521 -0.646  -0.699 -0.646  -0.731 -0.792  -0.834 -0.866  -0.951 -0.927  -0.969 -1.086  -1.146 -1.086  -1.171 -0.933  -1.092 -0.788  -0.967 -0.662  -0.951 -0.492  -0.838 -0.427  -0.661 -0.427  -0.483 -0.427  -0.306 -0.427  -0.176 -0.311  -0.050 -0.186  0.075 -0.060  0.149 0.087  0.171 0.255  0.296 0.381  0.369 0.378  0.401 0.233  0.579 0.233  0.589 0.065  0.714 0.013  0.809 -0.070  0.809 -0.247  0.809 -0.425  0.809 -0.602  0.714 -0.741  0.589 -0.866
2#app#app26#app2614/t  0.749 1.288  0.552 1.288  0.515 1.128  0.428 0.968  0.289 0.829  0.150 0.690  -0.005 0.587  -0.197 0.577  -0.336 0.437  -0.475 0.298  -0.614 0.159  -0.653 -0.021  -0.758 -0.114  -0.887 -0.181  -0.918 -0.347  -1.114 -0.347  -1.120 -0.538  -1.120 -0.734  -1.120 -0.931  -1.041 -1.048  -0.844 -1.048  -0.647 -1.048  -0.450 -1.048  -0.254 -1.048  -0.057 -1.048  0.140 -1.048  0.336 -1.048  0.533 -1.048  0.730 -1.048  0.645 -0.903  0.531 -0.743  0.416 -0.583  0.302 -0.423  0.188 -0.263  0.073 -0.103  -0.041 0.057  -0.155 0.217  -0.270 0.377  -0.384 0.538  -0.284 0.587  -0.087 0.587  0.109 0.587  0.306 0.587  0.503 0.587  0.700 0.587  0.896 0.587  0.982 0.698  1.056 0.821  1.253 0.821  1.450 0.821
2#app#app26#app2614/h  1.421 1.665  1.219 1.665  1.070 1.534  0.979 1.369  0.923 1.222  0.731 1.196  0.588 1.052  0.536 0.871  0.425 0.779  0.315 0.687  0.263 0.506  0.119 0.362  -0.073 0.337  -0.128 0.189  -0.257 0.116  -0.349 0.004  -0.349 -0.198  -0.423 -0.327  -0.626 -0.327  -0.792 -0.364  -0.805 -0.561  -0.948 -0.705  -1.013 -0.881  -1.105 -0.991  -1.234 -0.917  -1.179 -0.770  -1.013 -0.733  -0.994 -0.548  -0.792 -0.548  -0.792 -0.346  -0.607 -0.327  -0.453 -0.210  -0.310 -0.066  -0.166 0.077  0.021 0.116  0.185 0.207  0.315 0.317  0.316 0.116  0.519 0.116  0.721 0.116  0.758 -0.051  0.609 -0.106  0.536 -0.235  0.536 -0.438  0.444 -0.548  0.315 -0.622  0.259 -0.770  0.094 -0.807  0.094 -1.009  0.094 -1.212
2#app#app26#app2614/e  -0.398 -0.147  -0.398 0.018  -0.302 0.087  -0.136 0.087  0.029 0.087  0.195 0.087  0.360 0.087  0.525 0.087  0.691 0.087  0.856 0.087  1.021 0.087  1.187 0.087  1.238 0.200  1.238 0.366  1.238 0.531  1.238 0.696  1.165 0.788  1.000 0.788  0.834 0.788  0.669 0.788  0.514 0.765  0.397 0.648  0.270 0.555  0.105 0.555  -0.061 0.555  -0.226 0.555  -0.391 0.555  -0.557 0.555  -0.722 0.555  -0.881 0.539  -0.998 0.423  -1.115 0.306  -1.232 0.189  -1.334 0.066  -1.334 -0.100  -1.250 -0.231  -1.133 -0.347  -1.016 -0.464  -0.899 -0.581  -0.782 -0.698  -0.666 -0.815  -0.520 -0.886  -0.363 -0.938  -0.206 -0.990  -0.049 -1.043  0.109 -1.082  0.275 -1.082  0.440 -1.082  0.605 -1.082  0.771 -1.082
2#app#app26#app2614/m  -1.732 -0.943  -1.714 -0.727  -1.556 -0.569  -1.533 -0.355  -1.318 -0.348  -1.137 -0.306  -1.089 -0.102  -0.929 0.049  -0.716 0.073  -0.558 0.231  -0.540 0.445  -0.344 0.472  -0.292 0.644  -0.069 0.644  0.053 0.745  0.179 0.842  0.251 0.691  0.251 0.468  0.251 0.244  0.224 0.049  0.053 -0.004  -0.002 -0.204  -0.165 -0.348  -0.344 -0.393  -0.413 -0.546  -0.542 -0.641  -0.661 -0.744  -0.740 -0.600  -0.571 -0.546  -0.348 -0.546  -0.329 -0.333  -0.171 -0.175  -0.145 0.037  0.062 0.058  0.220 0.216  0.378 0.374  0.571 0.445  0.794 0.445  0.967 0.566  1.158 0.644  1.243 0.505  1.406 0.445  1.252 0.445  1.393 0.294  1.441 0.091  1.441 -0.132  1.243 -0.157  1.220 -0.371  1.062 -0.528  0.846 -0.546
2#app#app26#app2614/?  -0.202 1.000  -0.202 1.105  -0.202 1.209  -0.101 1.213  0.003 1.213  0.107 1.213  0.212 1.213  0.223 1.306  0.314 1.319  0.329 1.230  0.391 1.151  0.436 1.065  0.464 0.972  0.538 0.899  0.542 0.796  0.542 0.692  0.542 0.587  0.450 0.575  0.372 0.511  0.329 0.424  0.287 0.363  0.194 0.334  0.121 0.260  0.018 0.256  -0.058 0.187  -0.147 0.150  -0.202 0.100  -0.202 -0.004  -0.202 -0.108  -0.202 -0.213  -0.202 -0.317  -0.202 -0.422  -0.206 -0.526  -0.218 -0.630  -0.229 -0.733  -0.241 -0.837  -0.252 -0.941  -0.264 -1.045  -0.275 -1.148  -0.287 -1.252  -0.299 -1.356  -0.308 -1.430  -0.295 -1.338  -0.202 -1.327  -0.193 -1.232  -0.103 -1.232  -0.202 -1.238  -0.206 -1.338  -0.306 -1.338  -0.202 -1.338
2#app#app26#app2614/S  1.497 0.567  1.389 0.594  1.281 0.621  1.173 0.648  1.065 0.675  0.975 0.716  0.975 0.827  0.864 0.828  0.753 0.828  0.642 0.828  0.530 0.828  0.419 0.828  0.308 0.828  0.196 0.828  0.085 0.828  -0.001 0.767  -0.084 0.698  -0.195 0.698  -0.307 0.698  -0.331 0.611  -0.399 0.567  -0.510 0.567  -0.593 0.538  -0.593 0.427  -0.593 0.315  -0.491 0.306  -0.462 0.223  -0.417 0.131  -0.338 0.052  -0.331 -0.057  -0.273 -0.144  -0.201 -0.225  -0.201 -0.337  -0.201 -0.448  -0.201 -0.559  -0.138 -0.608  -0.070 -0.652  -0.070 -0.763  -0.070 -0.874  -0.070 -0.986  -0.070 -1.097  -0.148 -1.131  -0.242 -1.172  -0.321 -1.251  -0.428 -1.262  -0.539 -1.262  -0.650 -1.262  -0.762 -1.262  -0.873 -1.262  -0.984 -1.262
2#app#app26#app2614/o  1.268 0.758  1.107 0.758  0.946 0.758  0.785 0.758  0.624 0.758  0.462 0.758  0.301 0.758  0.141 0.756  0.027 0.642  -0.087 0.528  -0.227 0.476  -0.388 0.476  -0.512 0.385  -0.626 0.271  -0.740 0.157  -0.853 0.043  -0.967 -0.071  -1.122 -0.086  -1.264 -0.106  -1.264 -0.267  -1.264 -0.428  -1.264 -0.590  -1.163 -0.649  -1.001 -0.649  -0.983 -0.792  -0.960 -0.931  -0.799 -0.931  -0.638 -0.931  -0.477 -0.931  -0.316 -0.931  -0.154 -0.931  -0.139 -0.785  -0.113 -0.649  0.048 -0.649  0.190 -0.602  0.304 -0.488  0.418 -0.374  0.576 -0.368  0.728 -0.345  0.842 -0.231  0.956 -0.117  0.987 0.031  0.987 0.192  0.987 0.353  0.987 0.514  0.987 0.676  0.908 0.758  0.747 0.758  0.585 0.758  0.424 0.758
2#app#app26#app2614/m  -2.007 -0.698  -1.881 -0.573  -1.756 -0.447  -1.625 -0.335  -1.451 -0.325  -1.326 -0.199  -1.168 -0.153  -1.098 -0.045  -1.005 0.075  -0.846 0.155  -0.682 0.211  -0.505 0.211  -0.340 0.242  -0.214 0.367  -0.047 0.392  0.090 0.490  0.232 0.574  0.318 0.536  0.193 0.411  0.174 0.241  0.027 0.211  -0.007 0.067  -0.147 0.029  -0.189 -0.106  -0.282 -0.245  -0.371 -0.386  -0.418 -0.516  -0.510 -0.516  -0.371 -0.478  -0.337 -0.335  -0.168 -0.313  -0.042 -0.188  0.083 -0.062  0.223 0.029  0.396 0.049  0.554 0.128  0.713 0.207  0.890 0.211  1.019 0.328  1.170 0.392  1.347 0.392  1.525 0.392  1.629 0.319  1.559 0.211  1.401 0.165  1.275 0.039  1.150 -0.087  1.024 -0.212  0.901 -0.339  0.901 -0.516
2#app#app26#app2614/e  -0.547 -0.087  -0.358 -0.087  -0.169 -0.087  0.021 -0.087  0.210 -0.087  0.399 -0.087  0.587 -0.083  0.721 0.051  0.808 0.204  0.837 0.364  1.026 0.364  1.034 0.546  1.034 0.736  0.957 0.893  0.823 1.027  0.640 1.042  0.450 1.042  0.356 0.947  0.298 0.816  0.108 0.816  -0.081 0.816  -0.270 0.816  -0.460 0.816  -0.547 0.714  -0.612 0.590  -0.793 0.570  -0.927 0.436  -1.087 0.364  -1.225 0.313  -1.225 0.124  -1.225 -0.066  -1.225 -0.255  -1.094 -0.313  -0.999 -0.408  -0.941 -0.539  -0.758 -0.554  -0.624 -0.688  -0.467 -0.765  -0.321 -0.809  -0.314 -0.991  -0.125 -0.991  0.065 -0.991  0.254 -0.991  0.443 -0.991  0.582 -0.940  0.596 -0.765  0.785 -0.765  0.975 -0.765  1.126 -0.673  1.260 -0.539
2#app#app26#app2614/t  0.586 1.136  0.586 1.367  0.439 1.243  0.332 1.057  0.292 0.842  0.128 0.679  0.078 0.469  -0.059 0.375  -0.176 0.261  -0.266 0.121  -0.430 0.054  -0.474 -0.133  -0.684 -0.154  -0.684 -0.385  -0.846 -0.549  -0.938 -0.742  -0.938 -0.973  -0.883 -1.149  -0.652 -1.149  -0.421 -1.149  -0.190 -1.149  0.040 -1.149  0.271 -1.149  0.502 -1.149  0.733 -1.149  0.964 -1.149  1.022 -1.077  0.858 -0.914  0.695 -0.751  0.532 -0.587  0.369 -0.424  0.205 -0.261  0.042 -0.098  -0.121 0.066  -0.284 0.229  -0.448 0.392  -0.611 0.556  -0.774 0.719  -0.938 0.882  -0.938 0.652  -0.731 0.629  -0.500 0.629  -0.269 0.629  -0.038 0.629  0.193 0.629  0.424 0.629  0.655 0.629  0.886 0.629  1.116 0.629  1.347 0.629
2#app#app26#app2614/h  0.921 1.950  0.921 1.780  0.863 1.634  0.743 1.514  0.623 1.395  0.503 1.275  0.407 1.145  0.407 0.975  0.292 0.921  0.150 0.893  0.150 0.724  0.072 0.586  -0.048 0.466  -0.168 0.347  -0.288 0.227  -0.365 0.089  -0.365 -0.081  -0.365 -0.250  -0.420 -0.365  -0.589 -0.365  -0.759 -0.365  -0.879 -0.414  -0.879 -0.584  -0.879 -0.753  -0.923 -0.879  -1.092 -0.879  -1.047 -0.790  -0.927 -0.670  -0.807 -0.550  -0.687 -0.430  -0.545 -0.365  -0.375 -0.365  -0.252 -0.253  -0.132 -0.133  0.027 -0.108  0.150 -0.061  0.150 0.109  0.150 0.021  0.191 -0.108  0.360 -0.108  0.530 -0.108  0.664 -0.143  0.664 -0.313  0.664 -0.483  0.664 -0.652  0.664 -0.822  0.585 -0.958  0.465 -1.078  0.407 -1.224  0.407 -1.394
2#app#app26#app2614/i  0.363 0.488  0.225 0.488  0.191 0.385  0.191 0.247  0.156 0.144  0.018 0.144  -0.119 0.144  -0.227 0.071  -0.324 -0.027  -0.325 -0.164  -0.397 -0.272  -0.494 -0.369  -0.498 -0.506  -0.597 -0.544  -0.670 -0.609  -0.700 -0.717  -0.838 -0.717  -0.842 -0.850  -0.842 -0.988  -0.842 -1.126  -0.811 -1.233  -0.674 -1.233  -0.536 -1.233  -0.398 -1.233  -0.301 -1.173  -0.248 -1.045  -0.196 -0.918  -0.143 -0.791  -0.091 -0.663  -0.039 -0.536  0.014 -0.409  0.066 -0.281  0.119 -0.154  0.171 -0.027  0.224 0.101  0.276 0.228  0.329 0.356  0.381 0.483  0.433 0.610  0.486 0.738  0.538 0.865  0.591 0.992  0.643 1.120  0.696 1.247  0.748 1.374  0.800 1.502  0.853 1.629  0.879 1.624  0.879 1.486  0.879 1.349
2#app#app26#app2614/n  0.690 1.125  0.492 1.125  0.435 0.983  0.351 0.870  0.181 0.842  0.181 0.644  0.061 0.496  -0.080 0.360  -0.278 0.360  -0.433 0.256  -0.573 0.116  -0.713 -0.024  -0.859 -0.149  -1.057 -0.149  -1.093 -0.311  -1.093 -0.509  -1.141 -0.659  -1.339 -0.659  -1.537 -0.659  -1.470 -0.659  -1.272 -0.659  -1.093 -0.640  -1.093 -0.442  -0.933 -0.404  -0.766 -0.331  -0.626 -0.191  -0.486 -0.051  -0.346 0.089  -0.155 0.105  0.043 0.105  0.181 0.166  0.184 0.360  0.382 0.360  0.580 0.360  0.690 0.448  0.721 0.615  0.919 0.615  0.945 0.443  1.061 0.360  1.200 0.302  1.200 0.104  1.200 -0.094  1.200 -0.292  1.114 -0.404  0.945 -0.433  0.945 -0.631  0.775 -0.659  0.690 -0.772  0.633 -0.914  0.435 -0.914
2#app#app26#app2614/g  1.174 0.892  1.174 1.083  1.040 1.139  0.849 1.139  0.665 1.124  0.520 1.016  0.329 1.016  0.189 0.895  0.064 0.828  -0.059 0.761  -0.059 0.571  0.082 0.523  0.273 0.523  0.463 0.523  0.653 0.523  0.804 0.562  0.910 0.646  0.927 0.472  0.809 0.399  0.760 0.233  0.603 0.153  0.455 0.051  0.408 -0.120  0.258 -0.217  0.103 -0.302  -0.032 -0.436  -0.079 -0.607  -0.227 -0.710  -0.417 -0.710  -0.556 -0.834  -0.747 -0.834  -0.937 -0.834  -1.046 -0.915  -1.194 -0.957  -1.385 -0.957  -1.416 -1.044  -1.313 -0.957  -1.169 -0.910  -1.055 -0.834  -0.918 -0.706  -0.777 -0.587  -0.613 -0.524  -0.478 -0.389  -0.308 -0.341  -0.169 -0.217  -0.002 -0.160  0.161 -0.094  0.310 -0.054  0.418 0.029  0.557 0.153
2#app#app26#app2614/l  0.948 1.088  0.948 1.202  0.948 1.315  0.948 1.271  0.948 1.158  0.904 1.088  0.791 1.088  0.687 1.079  0.687 0.966  0.687 0.853  0.599 0.827  0.486 0.827  0.373 0.827  0.259 0.827  0.164 0.809  0.164 0.696  0.164 0.582  0.096 0.498  0.016 0.417  -0.064 0.337  -0.097 0.238  -0.097 0.124  -0.129 0.043  -0.243 0.043  -0.356 0.043  -0.358 -0.067  -0.358 -0.181  -0.434 -0.218  -0.548 -0.218  -0.649 -0.247  -0.729 -0.327  -0.809 -0.407  -0.881 -0.491  -0.881 -0.604  -0.881 -0.717  -0.791 -0.741  -0.678 -0.741  -0.620 -0.796  -0.620 -0.909  -0.599 -1.002  -0.486 -1.002  -0.372 -1.002  -0.259 -1.002  -0.146 -1.002  -0.033 -1.002  0.081 -1.002  0.185 -1.023  0.265 -1.103  0.345 -1.183  0.425 -1.263
2#app#app26#app2614/i  0.374 0.412  0.299 0.299  0.223 0.186  0.148 0.073  0.073 -0.040  -0.002 -0.153  -0.018 -0.284  -0.065 -0.372  -0.201 -0.372  -0.214 -0.495  -0.258 -0.612  -0.354 -0.708  -0.410 -0.821  -0.410 -0.956  -0.410 -1.092  -0.461 -1.206  -0.557 -1.302  -0.605 -1.418  -0.603 -1.541  -0.556 -1.414  -0.508 -1.287  -0.460 -1.160  -0.413 -1.033  -0.365 -0.906  -0.317 -0.779  -0.270 -0.652  -0.222 -0.525  -0.175 -0.398  -0.127 -0.271  -0.079 -0.144  -0.032 -0.017  0.016 0.110  0.064 0.237  0.111 0.364  0.159 0.491  0.206 0.618  0.254 0.745  0.302 0.872  0.349 0.999  0.397 1.126  0.445 1.253  0.492 1.380  0.540 1.507  0.570 1.536  0.570 1.400  0.481 1.302  0.385 1.206  0.494 1.195  0.570 1.255  0.570 1.391
