2#apa#apa04#app0408/{  0.391 1.276  0.378 1.387  0.280 1.361  0.241 1.276  0.169 1.224  0.104 1.164  -0.021 1.164  -0.135 1.124  -0.246 1.068  -0.341 0.989  -0.445 0.942  -0.499 0.871  -0.415 0.830  -0.388 0.734  -0.278 0.719  -0.154 0.719  -0.030 0.719  0.057 0.682  0.108 0.608  0.169 0.545  0.115 0.443  0.057 0.342  0.001 0.274  -0.103 0.225  -0.165 0.127  -0.165 0.003  -0.103 -0.060  0.021 -0.060  0.145 -0.060  0.068 -0.060  0.055 -0.171  -0.054 -0.187  -0.074 -0.302  -0.162 -0.390  -0.165 -0.513  -0.165 -0.637  -0.165 -0.762  -0.118 -0.838  -0.054 -0.899  -0.054 -1.023  -0.054 -1.147  0.046 -1.172  0.059 -1.283  0.169 -1.298  0.188 -1.414  0.276 -1.502  0.280 -1.624  0.294 -1.743  0.382 -1.831  0.502 -1.840
2#apa#apa04#app0408/e  -0.689 0.193  -0.530 0.193  -0.372 0.193  -0.213 0.193  -0.055 0.193  0.104 0.193  0.263 0.193  0.421 0.193  0.580 0.193  0.739 0.193  0.897 0.193  1.056 0.193  1.184 0.268  1.296 0.380  1.309 0.533  1.309 0.692  1.252 0.793  1.093 0.793  0.934 0.793  0.776 0.793  0.617 0.793  0.459 0.793  0.300 0.793  0.141 0.793  -0.017 0.793  -0.151 0.732  -0.263 0.620  -0.375 0.507  -0.487 0.395  -0.599 0.283  -0.721 0.193  -0.879 0.193  -0.889 0.044  -0.965 -0.083  -1.077 -0.195  -1.089 -0.349  -1.089 -0.508  -1.046 -0.649  -0.934 -0.761  -0.794 -0.806  -0.689 -0.860  -0.676 -1.006  -0.518 -1.006  -0.359 -1.006  -0.227 -1.068  -0.114 -1.181  0.034 -1.205  0.193 -1.205  0.351 -1.205  0.510 -1.205
2#apa#apa04#app0408/l  0.280 1.655  0.280 1.583  0.280 1.512  0.280 1.441  0.280 1.369  0.280 1.298  0.280 1.227  0.280 1.155  0.280 1.084  0.246 1.026  0.195 0.976  0.145 0.926  0.094 0.875  0.081 0.809  0.081 0.738  0.081 0.666  0.051 0.602  0.019 0.538  -0.013 0.475  -0.045 0.411  -0.077 0.347  -0.109 0.283  -0.117 0.214  -0.117 0.142  -0.117 0.071  -0.117 -0.001  -0.117 -0.072  -0.117 -0.143  -0.117 -0.215  -0.117 -0.286  -0.117 -0.357  -0.117 -0.429  -0.117 -0.500  -0.117 -0.571  -0.117 -0.643  -0.117 -0.714  -0.117 -0.786  -0.117 -0.857  -0.117 -0.928  -0.117 -1.000  -0.117 -1.071  -0.117 -1.142  -0.117 -1.214  -0.117 -1.285  -0.117 -1.356  -0.117 -1.428  -0.117 -1.499  -0.117 -1.570  -0.117 -1.642  -0.117 -1.713
2#apa#apa04#app0408/f  1.229 1.354  1.088 1.358  1.080 1.494  0.935 1.494  0.808 1.477  0.792 1.339  0.690 1.236  0.555 1.214  0.527 1.097  0.406 1.074  0.298 0.985  0.247 0.861  0.170 0.793  0.107 0.712  0.046 0.592  -0.034 0.481  -0.034 0.336  -0.046 0.194  -0.092 0.057  -0.138 -0.081  -0.174 -0.219  -0.174 -0.364  -0.174 -0.509  -0.174 -0.653  -0.174 -0.798  -0.174 -0.942  -0.174 -1.087  -0.174 -1.232  -0.174 -1.376  -0.208 -1.390  -0.278 -1.263  -0.348 -1.137  -0.419 -1.010  -0.489 -0.884  -0.559 -0.757  -0.629 -0.631  -0.700 -0.505  -0.770 -0.378  -0.840 -0.252  -0.824 -0.240  -0.716 -0.329  -0.572 -0.329  -0.427 -0.329  -0.292 -0.306  -0.189 -0.204  -0.051 -0.189  0.093 -0.189  0.238 -0.189  0.383 -0.189  0.527 -0.189
2#apa#apa04#app0408/}  -0.799 1.330  -0.799 1.206  -0.754 1.128  -0.631 1.128  -0.507 1.128  -0.384 1.128  -0.261 1.128  -0.137 1.128  -0.037 1.072  0.068 1.027  0.191 1.027  0.310 1.022  0.283 0.926  0.164 0.904  0.054 0.849  -0.064 0.825  -0.093 0.731  -0.194 0.709  -0.232 0.624  -0.295 0.563  -0.295 0.439  -0.295 0.316  -0.295 0.193  -0.245 0.119  -0.143 0.068  -0.040 0.018  0.061 -0.035  0.165 -0.082  0.209 -0.162  0.310 -0.184  0.310 -0.308  0.310 -0.431  0.241 -0.486  0.209 -0.577  0.218 -0.697  0.306 -0.784  0.422 -0.800  0.510 -0.887  0.613 -0.909  0.613 -1.032  0.567 -1.137  0.479 -1.224  0.384 -1.293  0.261 -1.293  0.138 -1.293  0.042 -1.359  -0.068 -1.394  -0.191 -1.394  -0.279 -1.479  -0.396 -1.494
2#apa#apa04#app0408/;  -0.114 1.357  -0.191 1.357  -0.233 1.393  -0.233 1.470  -0.233 1.406  -0.213 1.337  -0.158 1.282  -0.099 1.237  -0.021 1.237  0.006 1.187  0.006 1.109  0.006 1.032  0.010 0.954  0.017 0.877  0.024 0.800  0.031 0.722  0.038 0.645  0.045 0.568  0.052 0.490  0.059 0.413  0.066 0.336  0.073 0.258  0.080 0.181  0.087 0.104  0.095 0.026  0.102 -0.051  0.109 -0.128  0.116 -0.205  0.123 -0.283  0.155 -0.348  0.210 -0.403  0.246 -0.466  0.246 -0.544  0.246 -0.621  0.246 -0.699  0.246 -0.776  0.206 -0.838  0.151 -0.893  0.097 -0.948  0.042 -1.002  -0.006 -1.062  -0.041 -1.132  -0.076 -1.201  -0.110 -1.271  -0.163 -1.327  -0.218 -1.382  -0.233 -1.453  -0.243 -1.527  -0.298 -1.582  -0.353 -1.637
2#apa#apa04#app0408/@  0.944 0.078  0.833 0.191  0.718 0.300  0.605 0.411  0.387 0.417  0.163 0.417  -0.014 0.304  -0.191 0.191  -0.299 0.075  -0.299 -0.149  -0.186 -0.261  -0.073 -0.371  0.149 -0.374  0.373 -0.374  0.492 -0.203  0.492 0.021  0.492 -0.089  0.605 -0.200  0.768 -0.261  0.978 -0.227  1.169 -0.148  1.283 0.029  1.240 0.235  1.082 0.393  0.981 0.530  0.779 0.583  0.620 0.742  0.412 0.797  0.205 0.869  -0.019 0.869  -0.243 0.869  -0.467 0.869  -0.686 0.845  -0.889 0.756  -1.099 0.696  -1.279 0.568  -1.357 0.376  -1.429 0.182  -1.429 -0.042  -1.376 -0.254  -1.266 -0.449  -1.142 -0.635  -0.973 -0.771  -0.773 -0.871  -0.572 -0.972  -0.370 -1.066  -0.157 -1.137  0.056 -1.208  0.268 -1.278  0.492 -1.278
2#apa#apa04#app0408/e  -0.576 -0.048  -0.446 -0.048  -0.316 -0.048  -0.186 -0.048  -0.056 -0.048  0.074 -0.048  0.205 -0.048  0.335 -0.048  0.454 -0.001  0.570 0.057  0.688 0.108  0.818 0.108  0.948 0.108  1.051 0.174  1.143 0.266  1.234 0.358  1.296 0.463  1.296 0.593  1.296 0.723  1.176 0.732  1.046 0.732  0.916 0.732  0.786 0.732  0.656 0.732  0.526 0.732  0.408 0.678  0.292 0.620  0.172 0.576  0.044 0.572  -0.048 0.480  -0.148 0.400  -0.265 0.342  -0.381 0.284  -0.481 0.203  -0.573 0.111  -0.665 0.019  -0.757 -0.073  -0.849 -0.165  -0.921 -0.271  -0.979 -0.387  -1.038 -0.504  -1.044 -0.632  -1.044 -0.762  -1.044 -0.892  -1.044 -1.022  -1.044 -1.152  -1.044 -1.282  -0.927 -1.296  -0.824 -1.360  -0.732 -1.452
2#apa#apa04#app0408/a  0.884 0.881  0.732 0.881  0.604 0.940  0.497 1.048  0.367 1.100  0.215 1.100  0.062 1.100  -0.090 1.100  -0.215 1.074  -0.215 0.922  -0.326 0.881  -0.466 0.850  -0.573 0.743  -0.691 0.661  -0.843 0.661  -0.960 0.575  -1.068 0.468  -1.095 0.327  -1.095 0.175  -1.095 0.023  -1.095 -0.129  -1.095 -0.281  -1.095 -0.434  -0.991 -0.543  -0.883 -0.650  -0.734 -0.658  -0.582 -0.658  -0.430 -0.658  -0.278 -0.658  -0.126 -0.658  0.026 -0.658  0.178 -0.658  0.224 -0.552  0.263 -0.438  0.415 -0.438  0.531 -0.352  0.638 -0.244  0.780 -0.219  0.884 -0.171  0.884 -0.019  0.790 -0.092  0.683 -0.200  0.664 -0.344  0.664 -0.496  0.664 -0.648  0.664 -0.801  0.739 -0.878  0.889 -0.883  0.996 -0.990  1.104 -1.098
2#apa#apa04#app0408/s  0.315 1.216  0.213 1.216  0.150 1.255  0.150 1.357  0.073 1.382  -0.030 1.382  -0.132 1.382  -0.234 1.382  -0.336 1.382  -0.346 1.290  -0.346 1.188  -0.346 1.086  -0.346 0.984  -0.346 0.882  -0.346 0.780  -0.346 0.678  -0.346 0.576  -0.288 0.498  -0.216 0.425  -0.181 0.338  -0.181 0.236  -0.181 0.134  -0.181 0.032  -0.181 -0.070  -0.115 -0.106  -0.013 -0.108  0.059 -0.180  0.131 -0.252  0.225 -0.271  0.315 -0.283  0.315 -0.385  0.315 -0.487  0.315 -0.589  0.404 -0.602  0.481 -0.628  0.481 -0.730  0.481 -0.832  0.480 -0.933  0.408 -1.006  0.335 -1.078  0.315 -1.171  0.305 -1.263  0.203 -1.263  0.101 -1.263  -0.001 -1.263  -0.103 -1.263  -0.205 -1.263  -0.307 -1.263  -0.409 -1.263  -0.511 -1.263
2#apa#apa04#app0408/e  -0.454 0.202  -0.300 0.202  -0.146 0.202  0.008 0.202  0.080 0.284  0.138 0.380  0.292 0.380  0.446 0.380  0.600 0.380  0.614 0.519  0.730 0.558  0.884 0.558  0.970 0.625  0.970 0.779  0.957 0.927  0.848 1.036  0.717 1.092  0.564 1.092  0.412 1.080  0.275 1.011  0.137 0.942  0.080 0.823  0.014 0.736  -0.128 0.706  -0.236 0.597  -0.345 0.488  -0.454 0.379  -0.563 0.271  -0.688 0.202  -0.810 0.169  -0.816 0.018  -0.925 -0.091  -0.988 -0.219  -0.988 -0.373  -0.988 -0.527  -0.988 -0.681  -0.884 -0.792  -0.775 -0.901  -0.666 -1.009  -0.527 -1.044  -0.373 -1.044  -0.219 -1.044  -0.068 -1.059  0.069 -1.128  0.207 -1.196  0.355 -1.222  0.509 -1.222  0.663 -1.222  0.817 -1.222  0.970 -1.222
2#apa#apa04#app0408/@  0.858 -0.274  0.741 -0.168  0.625 -0.062  0.508 0.045  0.391 0.151  0.263 0.321  0.083 0.427  -0.140 0.427  -0.246 0.310  -0.352 0.193  -0.427 0.045  -0.406 -0.157  -0.300 -0.274  -0.077 -0.274  0.146 -0.274  0.370 -0.274  0.391 -0.072  0.391 -0.232  0.572 -0.274  0.795 -0.274  1.018 -0.274  1.124 -0.157  1.209 -0.019  1.209 0.205  1.126 0.393  1.092 0.602  0.975 0.777  0.776 0.877  0.577 0.942  0.382 1.011  0.159 1.011  -0.064 1.011  -0.288 1.011  -0.490 0.922  -0.659 0.780  -0.858 0.679  -1.021 0.530  -1.145 0.344  -1.245 0.151  -1.245 -0.072  -1.245 -0.295  -1.245 -0.518  -1.163 -0.707  -1.005 -0.865  -0.847 -1.023  -0.666 -1.148  -0.466 -1.248  -0.267 -1.348  -0.066 -1.443  0.157 -1.443
2#apa#apa04#app0408/l  0.419 0.992  0.338 0.992  0.367 0.992  0.419 1.021  0.417 1.101  0.360 1.158  0.312 1.218  0.312 1.299  0.312 1.244  0.271 1.205  0.206 1.190  0.206 1.109  0.206 1.028  0.206 0.948  0.193 0.873  0.136 0.816  0.079 0.759  0.022 0.702  -0.007 0.633  -0.007 0.553  -0.007 0.472  -0.007 0.392  -0.026 0.316  -0.062 0.244  -0.098 0.172  -0.114 0.095  -0.114 0.014  -0.114 -0.066  -0.114 -0.147  -0.114 -0.228  -0.121 -0.307  -0.146 -0.383  -0.172 -0.460  -0.197 -0.536  -0.220 -0.613  -0.220 -0.694  -0.220 -0.774  -0.220 -0.855  -0.220 -0.935  -0.220 -1.016  -0.220 -1.096  -0.220 -1.177  -0.220 -1.257  -0.220 -1.338  -0.220 -1.419  -0.220 -1.499  -0.220 -1.580  -0.220 -1.660  -0.171 -1.720  -0.114 -1.777
2#apa#apa04#app0408/a  0.965 1.339  0.796 1.339  0.628 1.339  0.459 1.339  0.291 1.339  0.123 1.339  -0.040 1.324  -0.159 1.204  -0.278 1.085  -0.397 0.966  -0.516 0.847  -0.635 0.728  -0.754 0.609  -0.834 0.462  -0.909 0.311  -0.985 0.160  -1.013 -0.001  -1.013 -0.170  -1.013 -0.338  -0.932 -0.473  -0.813 -0.592  -0.766 -0.741  -0.743 -0.887  -0.575 -0.887  -0.406 -0.887  -0.238 -0.887  -0.069 -0.887  0.063 -0.799  0.182 -0.680  0.301 -0.561  0.420 -0.442  0.470 -0.294  0.470 -0.126  0.470 0.043  0.547 0.179  0.666 0.298  0.622 0.350  0.470 0.333  0.470 0.164  0.395 0.027  0.276 -0.092  0.223 -0.238  0.223 -0.407  0.223 -0.575  0.297 -0.713  0.416 -0.832  0.535 -0.951  0.654 -1.070  0.717 -1.213  0.717 -1.381
2#apa#apa04#app0408/s  0.313 1.285  0.191 1.285  0.070 1.285  -0.052 1.285  -0.173 1.285  -0.295 1.285  -0.416 1.285  -0.538 1.285  -0.633 1.222  -0.719 1.136  -0.747 1.026  -0.747 0.905  -0.747 0.783  -0.747 0.662  -0.708 0.579  -0.586 0.579  -0.496 0.505  -0.410 0.419  -0.324 0.333  -0.238 0.247  -0.135 0.185  -0.026 0.131  0.083 0.076  0.180 0.006  0.266 -0.080  0.368 -0.127  0.489 -0.127  0.489 -0.248  0.555 -0.303  0.666 -0.315  0.666 -0.436  0.743 -0.480  0.842 -0.503  0.842 -0.624  0.753 -0.656  0.631 -0.656  0.510 -0.656  0.489 -0.757  0.443 -0.833  0.322 -0.833  0.200 -0.833  0.136 -0.890  0.134 -1.009  0.013 -1.009  -0.089 -1.058  -0.175 -1.144  -0.261 -1.229  -0.347 -1.315  -0.394 -1.417  -0.394 -1.539
2#apa#apa04#app0408/t  0.145 1.366  0.274 1.428  0.274 1.619  0.145 1.569  0.145 1.379  0.018 1.240  -0.116 1.104  -0.201 0.934  -0.243 0.753  -0.243 0.562  -0.243 0.371  -0.243 0.180  -0.243 -0.011  -0.243 -0.201  -0.243 -0.392  -0.243 -0.583  -0.243 -0.774  -0.240 -0.964  -0.114 -1.102  -0.040 -1.219  0.145 -1.225  0.212 -1.348  0.403 -1.348  0.532 -1.410  0.655 -1.478  0.756 -1.435  0.636 -1.287  0.515 -1.139  0.395 -0.990  0.275 -0.842  0.154 -0.694  0.034 -0.546  -0.086 -0.398  -0.207 -0.250  -0.327 -0.102  -0.447 0.046  -0.568 0.194  -0.688 0.343  -0.808 0.491  -0.846 0.547  -0.690 0.461  -0.538 0.554  -0.362 0.591  -0.171 0.591  0.020 0.591  0.210 0.591  0.401 0.591  0.592 0.591  0.783 0.591  0.920 0.461
2#apa#apa04#app0408/.  0.441 1.610  0.441 1.537  0.441 1.464  0.441 1.391  0.441 1.318  0.441 1.245  0.441 1.171  0.441 1.098  0.441 1.025  0.441 0.952  0.441 0.879  0.441 0.805  0.441 0.732  0.441 0.659  0.441 0.586  0.441 0.513  0.441 0.439  0.441 0.366  0.441 0.293  0.441 0.220  0.441 0.147  0.405 0.088  0.353 0.037  0.301 -0.015  0.250 -0.067  0.198 -0.119  0.146 -0.170  0.094 -0.222  0.043 -0.274  -0.009 -0.326  -0.061 -0.377  -0.113 -0.429  -0.164 -0.481  -0.216 -0.533  -0.268 -0.584  -0.320 -0.636  -0.371 -0.688  -0.423 -0.740  -0.475 -0.791  -0.527 -0.843  -0.578 -0.895  -0.630 -0.947  -0.682 -0.998  -0.734 -1.050  -0.785 -1.102  -0.837 -1.154  -0.889 -1.205  -0.941 -1.257  -0.992 -1.309  -1.044 -1.361
