2#apa#apa00#app0071/f  0.539 1.013  0.539 1.164  0.539 1.316  0.466 1.394  0.393 1.472  0.293 1.523  0.172 1.450  0.093 1.377  0.019 1.295  -0.044 1.169  -0.044 1.018  -0.044 0.867  -0.044 0.715  -0.044 0.564  0.020 0.439  0.029 0.292  0.029 0.140  0.096 0.005  0.102 -0.145  0.102 -0.296  0.102 -0.448  0.102 -0.599  0.102 -0.750  0.102 -0.901  0.102 -1.053  0.102 -1.204  0.102 -1.355  0.102 -1.507  0.055 -1.611  -0.024 -1.683  -0.117 -1.582  -0.190 -1.461  -0.191 -1.310  -0.209 -1.160  -0.227 -1.010  -0.245 -0.859  -0.263 -0.709  -0.281 -0.559  -0.299 -0.409  -0.317 -0.259  -0.335 -0.108  -0.353 0.042  -0.371 0.192  -0.389 0.342  -0.407 0.492  -0.267 0.503  -0.116 0.503  0.027 0.538  0.169 0.576  0.321 0.576
2#apa#apa00#app0071/d  0.155 -0.195  0.094 -0.024  -0.082 0.024  -0.277 0.024  -0.449 -0.034  -0.588 -0.172  -0.758 -0.233  -0.829 -0.400  -0.938 -0.550  -0.938 -0.746  -0.938 -0.942  -0.890 -1.117  -0.828 -1.288  -0.633 -1.288  -0.437 -1.288  -0.351 -1.178  -0.282 -1.051  -0.208 -0.886  -0.147 -0.716  -0.063 -0.555  0.010 -0.376  0.046 -0.189  0.046 0.007  0.077 0.195  0.155 0.372  0.155 0.568  0.242 0.744  0.265 0.934  0.319 1.117  0.374 1.300  0.409 1.481  0.483 1.646  0.483 1.705  0.374 1.618  0.374 1.423  0.265 1.336  0.265 1.140  0.265 0.945  0.265 0.749  0.265 0.553  0.265 0.358  0.265 0.162  0.339 -0.016  0.374 -0.204  0.374 -0.400  0.374 -0.595  0.483 -0.746  0.483 -0.942  0.593 -1.092  0.702 -1.178
2#apa#apa00#app0071/k  -0.375 1.948  -0.469 1.837  -0.485 1.647  -0.485 1.442  -0.485 1.236  -0.485 1.030  -0.485 0.825  -0.485 0.619  -0.421 0.424  -0.375 0.226  -0.375 0.020  -0.375 -0.185  -0.375 -0.391  -0.375 -0.597  -0.375 -0.802  -0.375 -1.008  -0.375 -1.213  -0.418 -1.375  -0.485 -1.237  -0.485 -1.031  -0.485 -0.826  -0.421 -0.647  -0.375 -0.460  -0.375 -0.255  -0.298 -0.081  -0.264 0.111  -0.243 0.307  -0.153 0.476  -0.042 0.571  0.068 0.666  0.210 0.729  0.379 0.818  0.576 0.840  0.671 0.729  0.834 0.628  0.844 0.426  0.844 0.221  0.698 0.140  0.524 0.065  0.401 -0.018  0.223 -0.046  0.179 -0.208  0.179 -0.413  0.271 -0.581  0.370 -0.760  0.497 -0.918  0.643 -1.063  0.788 -1.209  0.955 -1.281  1.065 -1.375
2#apa#apa00#app0071/n  -0.610 1.081  -0.686 0.929  -0.765 0.779  -0.885 0.659  -0.902 0.496  -0.902 0.327  -0.902 0.157  -0.902 -0.013  -0.902 -0.183  -0.902 -0.353  -0.801 -0.481  -0.681 -0.601  -0.610 -0.741  -0.517 -0.818  -0.464 -0.702  -0.464 -0.532  -0.464 -0.362  -0.464 -0.192  -0.464 -0.023  -0.464 0.147  -0.351 0.204  -0.318 0.341  -0.308 0.506  -0.188 0.627  -0.171 0.789  -0.051 0.910  0.069 1.030  0.189 1.150  0.327 1.227  0.413 1.142  0.413 0.973  0.413 0.803  0.413 0.633  0.413 0.463  0.413 0.293  0.413 0.124  0.413 -0.046  0.413 -0.216  0.413 -0.386  0.413 -0.556  0.466 -0.672  0.559 -0.749  0.630 -0.890  0.769 -0.964  0.913 -1.026  1.048 -1.110  1.218 -1.110  1.388 -1.110  1.435 -0.988  1.581 -0.964
2#apa#apa00#app0071/e  -0.478 -0.442  -0.634 -0.442  -0.524 -0.333  -0.414 -0.223  -0.305 -0.113  -0.195 -0.003  -0.051 0.024  0.070 0.106  0.195 0.179  0.298 0.231  0.335 0.371  0.445 0.481  0.596 0.489  0.609 0.632  0.709 0.746  0.764 0.878  0.709 1.010  0.609 1.124  0.595 1.266  0.440 1.266  0.285 1.266  0.129 1.266  -0.026 1.266  -0.168 1.253  -0.177 1.101  -0.287 0.992  -0.396 0.882  -0.478 0.761  -0.478 0.606  -0.478 0.450  -0.478 0.295  -0.478 0.140  -0.478 -0.015  -0.478 -0.170  -0.478 -0.325  -0.478 -0.481  -0.478 -0.636  -0.461 -0.787  -0.392 -0.926  -0.322 -1.063  -0.168 -1.064  -0.167 -1.219  -0.013 -1.220  -0.012 -1.374  0.143 -1.374  0.298 -1.374  0.454 -1.374  0.609 -1.374  0.764 -1.374  0.919 -1.374
2#apa#apa00#app0071/w  -1.151 0.856  -1.151 0.977  -1.130 0.834  -1.023 0.728  -1.015 0.580  -1.015 0.429  -1.015 0.278  -1.015 0.127  -1.015 -0.024  -1.015 -0.175  -0.973 -0.316  -0.905 -0.451  -0.814 -0.568  -0.743 -0.690  -0.677 -0.774  -0.550 -0.717  -0.472 -0.598  -0.472 -0.447  -0.472 -0.296  -0.411 -0.170  -0.336 -0.051  -0.336 0.100  -0.336 0.251  -0.272 0.376  -0.166 0.483  -0.064 0.577  -0.064 0.426  -0.026 0.312  0.072 0.260  0.072 0.109  0.130 -0.018  0.208 -0.137  0.208 -0.288  0.258 -0.418  0.365 -0.525  0.472 -0.631  0.620 -0.639  0.771 -0.639  0.911 -0.614  1.018 -0.507  1.125 -0.400  1.232 -0.294  1.294 -0.169  1.329 -0.026  1.396 0.109  1.430 0.252  1.430 0.403  1.430 0.554  1.430 0.705  1.430 0.856
2#apa#apa00#app0071/t  -0.216 1.950  -0.216 2.020  -0.216 1.861  -0.216 1.702  -0.216 1.542  -0.216 1.383  -0.216 1.223  -0.216 1.064  -0.216 0.905  -0.216 0.745  -0.216 0.586  -0.216 0.426  -0.216 0.267  -0.216 0.108  -0.216 -0.052  -0.216 -0.211  -0.216 -0.371  -0.216 -0.530  -0.216 -0.689  -0.216 -0.849  -0.216 -1.008  -0.206 -1.158  -0.047 -1.158  0.112 -1.158  0.244 -1.131  0.316 -1.043  0.475 -1.043  0.635 -1.043  0.794 -1.043  0.954 -1.043  1.001 -1.004  0.877 -0.904  0.752 -0.805  0.628 -0.705  0.503 -0.605  0.379 -0.506  0.254 -0.406  0.130 -0.307  0.005 -0.207  -0.119 -0.107  -0.244 -0.008  -0.368 0.092  -0.493 0.191  -0.617 0.291  -0.593 0.338  -0.471 0.429  -0.322 0.453  -0.162 0.453  -0.013 0.497  0.129 0.568
2#apa#apa00#app0071/h  -0.402 2.113  -0.402 1.973  -0.402 1.833  -0.402 1.692  -0.402 1.552  -0.402 1.412  -0.402 1.272  -0.402 1.132  -0.402 0.992  -0.402 0.852  -0.402 0.712  -0.402 0.571  -0.402 0.431  -0.402 0.291  -0.402 0.151  -0.402 0.011  -0.402 -0.129  -0.402 -0.269  -0.346 -0.386  -0.296 -0.506  -0.296 -0.646  -0.296 -0.786  -0.296 -0.926  -0.296 -1.066  -0.296 -1.152  -0.296 -1.012  -0.296 -0.872  -0.280 -0.739  -0.190 -0.636  -0.190 -0.496  -0.133 -0.379  -0.013 -0.330  0.096 -0.256  0.129 -0.129  0.235 -0.095  0.291 -0.011  0.431 -0.011  0.465 0.095  0.605 0.095  0.745 0.095  0.766 -0.024  0.766 -0.164  0.766 -0.305  0.766 -0.445  0.766 -0.585  0.766 -0.725  0.766 -0.865  0.766 -1.005  0.766 -1.145  0.872 -1.179
2#apa#apa00#app0071/a  -0.708 1.404  -0.570 1.404  -0.432 1.404  -0.294 1.404  -0.156 1.404  -0.018 1.404  0.120 1.404  0.228 1.332  0.325 1.235  0.423 1.137  0.443 1.007  0.443 0.869  0.443 0.732  0.379 0.620  0.281 0.523  0.184 0.425  0.058 0.397  0.012 0.305  -0.049 0.192  -0.147 0.094  -0.244 -0.003  -0.342 -0.101  -0.447 -0.179  -0.564 -0.200  -0.575 -0.334  -0.672 -0.431  -0.708 -0.554  -0.708 -0.692  -0.708 -0.830  -0.659 -0.948  -0.564 -1.047  -0.564 -1.185  -0.428 -1.186  -0.290 -1.186  -0.152 -1.186  -0.014 -1.186  0.124 -1.186  0.231 -1.111  0.340 -1.043  0.443 -1.008  0.464 -0.878  0.561 -0.781  0.587 -0.653  0.587 -0.515  0.587 -0.377  0.587 -0.239  0.587 -0.101  0.587 0.037  0.541 0.155  0.443 0.253
2#apa#apa00#app0071/t  -0.037 2.089  -0.062 1.959  -0.167 1.910  -0.219 1.777  -0.297 1.655  -0.297 1.500  -0.297 1.346  -0.297 1.191  -0.297 1.037  -0.297 0.882  -0.297 0.728  -0.269 0.578  -0.220 0.432  -0.172 0.285  -0.167 0.131  -0.167 -0.023  -0.125 -0.160  -0.037 -0.278  -0.037 -0.433  -0.037 -0.587  -0.037 -0.742  -0.037 -0.896  -0.145 -1.006  -0.167 -1.151  -0.149 -1.288  -0.037 -1.245  0.030 -1.158  0.184 -1.158  0.339 -1.158  0.493 -1.158  0.648 -1.158  0.702 -1.113  0.599 -0.999  0.495 -0.884  0.392 -0.769  0.289 -0.654  0.186 -0.539  0.082 -0.425  -0.021 -0.310  -0.124 -0.195  -0.228 -0.080  -0.331 0.035  -0.418 0.149  -0.309 0.258  -0.160 0.271  -0.005 0.271  0.149 0.271  0.303 0.271  0.458 0.271  0.612 0.271
2#apa#apa00#app0071/s  0.799 0.568  0.799 0.697  0.799 0.826  0.715 0.871  0.648 0.932  0.609 1.022  0.480 1.022  0.351 1.022  0.223 1.022  0.094 1.022  -0.035 1.022  -0.163 1.022  -0.292 1.022  -0.421 1.022  -0.550 1.022  -0.678 1.022  -0.713 0.928  -0.713 0.799  -0.713 0.670  -0.694 0.549  -0.603 0.458  -0.512 0.367  -0.421 0.276  -0.296 0.266  -0.259 0.174  -0.190 0.115  -0.087 0.073  -0.030 -0.042  0.028 -0.157  0.138 -0.188  0.245 -0.239  0.337 -0.330  0.345 -0.455  0.439 -0.490  0.497 -0.561  0.497 -0.690  0.497 -0.819  0.494 -0.946  0.403 -1.037  0.298 -1.095  0.194 -1.120  0.192 -1.246  0.063 -1.246  -0.066 -1.246  -0.194 -1.246  -0.305 -1.291  -0.396 -1.382  -0.518 -1.397  -0.622 -1.337  -0.713 -1.246
2#apa#apa00#app0071/o  0.248 1.254  0.103 1.254  -0.029 1.241  -0.029 1.096  -0.048 0.959  -0.150 0.857  -0.253 0.754  -0.355 0.652  -0.458 0.549  -0.560 0.447  -0.583 0.311  -0.583 0.167  -0.583 0.022  -0.583 -0.123  -0.583 -0.268  -0.583 -0.413  -0.583 -0.558  -0.583 -0.703  -0.583 -0.848  -0.583 -0.993  -0.583 -1.137  -0.536 -1.236  -0.391 -1.236  -0.247 -1.236  -0.102 -1.236  0.043 -1.236  0.188 -1.236  0.333 -1.236  0.478 -1.236  0.524 -1.137  0.524 -0.993  0.524 -0.848  0.524 -0.703  0.524 -0.558  0.524 -0.413  0.524 -0.268  0.524 -0.123  0.524 0.022  0.524 0.167  0.524 0.311  0.502 0.447  0.399 0.549  0.297 0.652  0.248 0.776  0.248 0.921  0.248 1.066  0.248 1.211  0.176 1.326  0.073 1.429  -0.029 1.531
2#apa#apa00#app0071/m  -0.913 1.063  -1.020 0.964  -1.020 0.758  -1.020 0.552  -1.020 0.345  -1.020 0.139  -1.020 -0.068  -1.020 -0.274  -1.020 -0.480  -1.020 -0.687  -1.020 -0.630  -1.009 -0.428  -0.913 -0.262  -0.805 -0.100  -0.799 0.104  -0.698 0.269  -0.591 0.431  -0.483 0.530  -0.381 0.634  -0.175 0.634  -0.161 0.441  -0.216 0.258  -0.269 0.073  -0.269 -0.133  -0.269 -0.340  -0.193 -0.364  -0.123 -0.187  -0.053 -0.010  0.098 0.079  0.208 0.252  0.282 0.419  0.381 0.527  0.483 0.631  0.590 0.730  0.590 0.546  0.590 0.340  0.590 0.133  0.590 -0.073  0.590 -0.279  0.590 -0.486  0.693 -0.650  0.790 -0.762  0.889 -0.869  1.096 -0.869  1.258 -0.762  1.428 -0.675  1.557 -0.585  1.681 -0.440  1.771 -0.324  1.771 -0.117
2#apa#apa00#app0071/e  -0.442 -0.251  -0.289 -0.251  -0.264 -0.123  -0.161 -0.072  -0.008 -0.072  0.130 -0.035  0.239 0.073  0.378 0.106  0.450 0.187  0.506 0.285  0.629 0.315  0.629 0.468  0.629 0.622  0.629 0.775  0.520 0.820  0.450 0.903  0.450 1.056  0.418 1.177  0.264 1.177  0.111 1.177  -0.042 1.177  -0.195 1.177  -0.348 1.177  -0.442 1.117  -0.476 0.998  -0.621 0.989  -0.621 0.836  -0.621 0.683  -0.621 0.530  -0.621 0.376  -0.621 0.223  -0.621 0.070  -0.621 -0.083  -0.621 -0.236  -0.522 -0.349  -0.442 -0.469  -0.442 -0.622  -0.442 -0.775  -0.341 -0.887  -0.220 -0.965  -0.072 -0.977  0.036 -1.086  0.144 -1.194  0.253 -1.302  0.398 -1.322  0.450 -1.423  0.526 -1.500  0.679 -1.500  0.832 -1.500  0.986 -1.500
