2#apb#apb42#app4206/E  0.003 1.170  -0.044 1.056  -0.130 0.794  -0.239 0.540  -0.358 0.291  -0.482 0.043  -0.601 -0.206  -0.712 -0.459  -0.781 -0.724  -0.627 -0.881  -0.352 -0.849  -0.079 -0.804  0.192 -0.752  0.460 -0.685  0.731 -0.633  1.005 -0.596  1.280 -0.624  1.549 -0.686  1.698 -0.893  1.534 -0.984  1.269 -0.904  1.005 -0.824  0.740 -0.744  0.475 -0.664  0.211 -0.584  -0.054 -0.504  -0.318 -0.424  -0.583 -0.344  -0.848 -0.264  -0.753 -0.053  -0.482 -0.008  -0.211 0.048  0.061 0.097  0.334 0.131  0.611 0.131  0.693 0.168  0.436 0.268  0.178 0.369  -0.079 0.470  -0.336 0.570  -0.594 0.671  -0.851 0.772  -1.109 0.872  -1.366 0.973  -1.103 0.915  -0.826 0.915  -0.551 0.934  -0.275 0.956  0.001 0.965  0.277 0.974
2#apb#apb42#app4206/r  -0.731 0.739  -0.787 0.615  -0.772 0.479  -0.757 0.343  -0.742 0.206  -0.704 0.080  -0.613 -0.023  -0.522 -0.125  -0.431 -0.228  -0.339 -0.330  -0.244 -0.428  -0.135 -0.512  -0.027 -0.596  0.081 -0.681  0.190 -0.765  0.304 -0.841  0.423 -0.909  0.542 -0.977  0.662 -1.043  0.788 -1.097  0.914 -1.151  1.040 -1.205  1.086 -1.096  1.053 -0.962  0.985 -0.846  0.901 -0.738  0.817 -0.630  0.732 -0.521  0.648 -0.413  0.537 -0.333  0.425 -0.254  0.312 -0.176  0.199 -0.098  0.086 -0.020  -0.027 0.058  -0.126 0.149  -0.200 0.264  -0.274 0.380  -0.347 0.496  -0.421 0.612  -0.495 0.727  -0.541 0.856  -0.584 0.986  -0.610 1.118  -0.588 1.253  -0.565 1.389  -0.470 1.470  -0.347 1.531  -0.224 1.593  -0.102 1.654
2#apb#apb42#app4206/a  0.694 0.487  0.678 0.643  0.563 0.758  0.420 0.812  0.258 0.826  0.097 0.846  -0.062 0.883  -0.220 0.919  -0.373 0.916  -0.516 0.838  -0.659 0.760  -0.798 0.677  -0.935 0.589  -1.073 0.502  -1.153 0.365  -1.221 0.217  -1.289 0.069  -1.284 -0.087  -1.252 -0.246  -1.193 -0.395  -1.109 -0.535  -1.024 -0.673  -0.881 -0.750  -0.738 -0.828  -0.595 -0.905  -0.437 -0.938  -0.276 -0.963  -0.116 -0.988  0.044 -0.960  0.204 -0.930  0.339 -0.852  0.454 -0.737  0.554 -0.611  0.634 -0.469  0.634 -0.316  0.599 -0.157  0.537 -0.008  0.465 0.138  0.385 0.279  0.308 0.416  0.308 0.395  0.427 0.292  0.570 0.215  0.716 0.142  0.854 0.056  0.991 -0.031  1.130 -0.113  1.289 -0.148  1.448 -0.182  1.607 -0.216
2#apb#apb42#app4206/t  -0.490 2.104  -0.413 1.998  -0.366 1.866  -0.318 1.735  -0.264 1.606  -0.210 1.476  -0.155 1.347  -0.101 1.218  -0.048 1.088  0.005 0.959  0.058 0.829  0.105 0.697  0.144 0.563  0.183 0.428  0.222 0.294  0.260 0.159  0.289 0.022  0.318 -0.115  0.346 -0.253  0.400 -0.381  0.459 -0.509  0.517 -0.636  0.575 -0.764  0.634 -0.890  0.697 -1.016  0.686 -1.080  0.551 -1.043  0.416 -1.005  0.281 -0.967  0.146 -0.929  0.011 -0.892  -0.124 -0.854  -0.259 -0.816  -0.393 -0.779  -0.528 -0.741  -0.663 -0.703  -0.798 -0.666  -0.892 -0.603  -0.827 -0.493  -0.702 -0.431  -0.576 -0.370  -0.441 -0.334  -0.305 -0.298  -0.171 -0.259  -0.038 -0.214  0.095 -0.170  0.227 -0.124  0.357 -0.071  0.486 -0.018  0.616 0.036
2#apb#apb42#app4206/i  0.088 0.667  0.170 0.601  0.236 0.503  0.285 0.399  0.297 0.282  0.308 0.165  0.320 0.047  0.349 -0.067  0.377 -0.181  0.406 -0.296  0.434 -0.410  0.455 -0.526  0.474 -0.642  0.493 -0.759  0.513 -0.875  0.568 -0.978  0.627 -1.081  0.681 -1.185  0.725 -1.294  0.714 -1.299  0.650 -1.200  0.585 -1.102  0.521 -1.003  0.456 -0.904  0.392 -0.806  0.327 -0.707  0.263 -0.608  0.199 -0.510  0.134 -0.411  0.070 -0.312  0.005 -0.214  -0.059 -0.115  -0.124 -0.016  -0.188 0.082  -0.253 0.181  -0.317 0.280  -0.382 0.378  -0.446 0.477  -0.511 0.576  -0.575 0.674  -0.640 0.773  -0.704 0.872  -0.768 0.970  -0.833 1.069  -0.897 1.168  -0.962 1.267  -1.026 1.365  -1.091 1.464  -1.154 1.563  -1.191 1.675
2#apb#apb42#app4206/o  0.040 0.531  0.101 0.653  0.008 0.739  -0.116 0.792  -0.247 0.831  -0.378 0.862  -0.510 0.829  -0.643 0.795  -0.772 0.757  -0.868 0.660  -0.965 0.564  -1.061 0.467  -1.115 0.342  -1.168 0.216  -1.220 0.090  -1.198 -0.039  -1.155 -0.168  -1.112 -0.298  -1.026 -0.398  -0.922 -0.486  -0.817 -0.573  -0.712 -0.661  -0.583 -0.699  -0.449 -0.728  -0.316 -0.758  -0.183 -0.788  -0.049 -0.802  0.087 -0.788  0.223 -0.774  0.358 -0.760  0.494 -0.745  0.626 -0.712  0.755 -0.669  0.885 -0.626  1.014 -0.583  1.113 -0.493  1.203 -0.390  1.278 -0.282  1.278 -0.145  1.278 -0.009  1.196 0.084  1.082 0.160  0.969 0.235  0.855 0.311  0.741 0.387  0.628 0.462  0.514 0.538  0.401 0.614  0.287 0.690  0.173 0.765
2#apb#apb42#app4206/n  -1.354 0.225  -1.321 0.126  -1.278 0.028  -1.234 -0.070  -1.191 -0.168  -1.172 -0.273  -1.157 -0.379  -1.117 -0.477  -1.064 -0.570  -1.008 -0.662  -0.948 -0.744  -0.858 -0.725  -0.779 -0.654  -0.703 -0.578  -0.635 -0.497  -0.594 -0.398  -0.553 -0.299  -0.513 -0.200  -0.472 -0.101  -0.431 -0.002  -0.378 0.090  -0.308 0.171  -0.239 0.253  -0.169 0.334  -0.099 0.416  -0.029 0.497  0.051 0.567  0.138 0.629  0.225 0.691  0.324 0.732  0.425 0.770  0.525 0.793  0.627 0.760  0.729 0.726  0.823 0.681  0.887 0.596  0.952 0.510  1.014 0.423  1.033 0.318  1.052 0.212  1.072 0.107  1.081 0.001  1.081 -0.107  1.081 -0.214  1.081 -0.321  1.081 -0.428  1.081 -0.535  1.081 -0.643  1.081 -0.750  1.081 -0.857
2#apb#apb42#app4206/s  -0.370 0.934  -0.354 1.042  -0.374 1.023  -0.488 0.994  -0.599 0.954  -0.711 0.914  -0.822 0.873  -0.930 0.825  -1.035 0.772  -1.118 0.688  -1.202 0.604  -1.201 0.541  -1.101 0.479  -1.005 0.411  -0.889 0.397  -0.771 0.387  -0.653 0.373  -0.537 0.351  -0.421 0.329  -0.304 0.307  -0.187 0.296  -0.069 0.287  0.048 0.271  0.164 0.244  0.279 0.218  0.388 0.175  0.491 0.117  0.595 0.060  0.698 0.002  0.802 -0.054  0.911 -0.102  1.016 -0.153  1.075 -0.256  1.135 -0.358  1.182 -0.460  1.129 -0.566  1.076 -0.672  0.984 -0.739  0.878 -0.792  0.772 -0.845  0.664 -0.891  0.551 -0.929  0.439 -0.966  0.327 -1.003  0.215 -1.041  0.099 -1.040  -0.018 -1.024  -0.136 -1.008  -0.253 -0.992  -0.370 -0.976
2#apb#apb42#app4206/D  -0.471 0.146  -0.564 0.072  -0.608 -0.082  -0.608 -0.243  -0.591 -0.404  -0.568 -0.564  -0.511 -0.715  -0.454 -0.867  -0.438 -1.028  -0.402 -1.184  -0.399 -1.074  -0.421 -0.914  -0.439 -0.753  -0.454 -0.592  -0.470 -0.431  -0.497 -0.272  -0.525 -0.112  -0.552 0.047  -0.573 0.208  -0.593 0.368  -0.600 0.528  -0.571 0.688  -0.531 0.842  -0.441 0.976  -0.350 1.110  -0.208 1.186  -0.065 1.262  0.088 1.315  0.242 1.363  0.401 1.336  0.543 1.269  0.665 1.164  0.758 1.032  0.819 0.884  0.865 0.729  0.882 0.568  0.899 0.407  0.882 0.248  0.852 0.089  0.818 -0.069  0.760 -0.220  0.702 -0.371  0.644 -0.522  0.570 -0.666  0.490 -0.807  0.411 -0.947  0.319 -1.080  0.217 -1.206  0.113 -1.329  -0.039 -1.385
2#apb#apb42#app4206/i  -0.104 1.026  -0.063 0.907  -0.006 0.791  0.026 0.668  0.046 0.540  0.066 0.413  0.085 0.285  0.113 0.159  0.144 0.034  0.176 -0.091  0.207 -0.216  0.238 -0.341  0.274 -0.465  0.312 -0.588  0.350 -0.712  0.388 -0.835  0.424 -0.959  0.458 -1.084  0.492 -1.208  0.524 -1.333  0.549 -1.460  0.543 -1.509  0.493 -1.390  0.442 -1.271  0.392 -1.153  0.342 -1.034  0.291 -0.915  0.241 -0.796  0.191 -0.677  0.140 -0.558  0.090 -0.440  0.040 -0.321  -0.010 -0.202  -0.061 -0.083  -0.111 0.036  -0.161 0.154  -0.212 0.273  -0.262 0.392  -0.312 0.511  -0.363 0.630  -0.413 0.749  -0.463 0.867  -0.514 0.986  -0.564 1.105  -0.614 1.224  -0.665 1.343  -0.715 1.461  -0.765 1.580  -0.816 1.699  -0.883 1.806
2#apb#apb42#app4206/r  -0.467 -0.745  -0.440 -0.838  -0.400 -0.928  -0.360 -1.018  -0.340 -1.113  -0.328 -1.207  -0.269 -1.286  -0.237 -1.319  -0.280 -1.235  -0.319 -1.144  -0.349 -1.051  -0.368 -0.954  -0.387 -0.858  -0.408 -0.761  -0.435 -0.667  -0.462 -0.572  -0.489 -0.477  -0.516 -0.382  -0.540 -0.287  -0.561 -0.191  -0.582 -0.094  -0.602 0.002  -0.623 0.098  -0.627 0.196  -0.627 0.295  -0.621 0.393  -0.597 0.488  -0.519 0.545  -0.436 0.597  -0.352 0.649  -0.256 0.663  -0.158 0.671  -0.059 0.678  0.039 0.686  0.137 0.693  0.235 0.699  0.334 0.705  0.432 0.711  0.530 0.717  0.629 0.721  0.727 0.721  0.826 0.721  0.924 0.721  1.023 0.721  1.121 0.721  1.218 0.702  1.315 0.683  1.411 0.664  1.508 0.644  1.604 0.625
2#apb#apb42#app4206/e  -1.034 0.031  -0.918 0.068  -0.766 0.079  -0.616 0.114  -0.467 0.148  -0.317 0.179  -0.164 0.188  -0.011 0.198  0.142 0.207  0.290 0.236  0.429 0.301  0.568 0.366  0.706 0.430  0.846 0.494  0.986 0.556  1.121 0.623  1.190 0.760  1.122 0.897  0.980 0.948  0.834 0.992  0.684 1.010  0.531 0.997  0.379 0.985  0.237 0.936  0.104 0.861  -0.030 0.785  -0.163 0.710  -0.292 0.628  -0.400 0.520  -0.508 0.411  -0.617 0.303  -0.680 0.165  -0.735 0.022  -0.790 -0.121  -0.816 -0.269  -0.816 -0.422  -0.816 -0.576  -0.774 -0.714  -0.678 -0.834  -0.582 -0.954  -0.469 -1.050  -0.328 -1.112  -0.188 -1.173  -0.048 -1.235  0.096 -1.282  0.249 -1.282  0.402 -1.282  0.555 -1.282  0.709 -1.282  0.862 -1.282
2#apb#apb42#app4206/c  0.272 0.681  0.320 0.778  0.395 0.853  0.473 0.925  0.521 1.021  0.488 1.099  0.382 1.120  0.278 1.098  0.174 1.068  0.070 1.038  -0.033 1.009  -0.128 0.960  -0.217 0.899  -0.306 0.837  -0.395 0.776  -0.483 0.714  -0.556 0.634  -0.628 0.554  -0.700 0.474  -0.771 0.392  -0.810 0.292  -0.848 0.191  -0.887 0.090  -0.926 -0.011  -0.906 -0.117  -0.885 -0.223  -0.863 -0.328  -0.775 -0.391  -0.687 -0.454  -0.599 -0.517  -0.512 -0.579  -0.424 -0.642  -0.325 -0.686  -0.226 -0.729  -0.127 -0.772  -0.028 -0.816  0.071 -0.859  0.178 -0.864  0.286 -0.864  0.394 -0.864  0.502 -0.864  0.610 -0.864  0.718 -0.864  0.822 -0.840  0.925 -0.807  1.028 -0.774  1.131 -0.742  1.234 -0.709  1.336 -0.676  1.439 -0.643
2#apb#apb42#app4206/t  -0.423 1.874  -0.431 1.987  -0.439 1.855  -0.380 1.722  -0.312 1.593  -0.244 1.464  -0.176 1.335  -0.110 1.205  -0.045 1.075  0.020 0.944  0.084 0.813  0.147 0.682  0.210 0.550  0.273 0.419  0.321 0.281  0.368 0.143  0.414 0.005  0.467 -0.131  0.525 -0.264  0.583 -0.398  0.620 -0.539  0.657 -0.680  0.694 -0.821  0.726 -0.963  0.749 -1.099  0.611 -1.051  0.474 -1.002  0.336 -0.953  0.199 -0.905  0.062 -0.856  -0.076 -0.808  -0.213 -0.759  -0.351 -0.710  -0.488 -0.662  -0.626 -0.613  -0.763 -0.565  -0.901 -0.516  -1.019 -0.446  -0.922 -0.355  -0.782 -0.326  -0.636 -0.318  -0.491 -0.310  -0.346 -0.295  -0.201 -0.278  -0.056 -0.262  0.089 -0.245  0.233 -0.229  0.378 -0.213  0.523 -0.197  0.668 -0.181
2#apb#apb42#app4206/o  0.011 0.625  0.057 0.764  0.101 0.903  0.053 1.038  -0.051 1.142  -0.197 1.142  -0.344 1.142  -0.470 1.080  -0.589 0.994  -0.708 0.908  -0.793 0.789  -0.874 0.667  -0.956 0.545  -0.971 0.401  -0.980 0.255  -0.989 0.108  -0.981 -0.037  -0.945 -0.179  -0.910 -0.321  -0.874 -0.463  -0.763 -0.557  -0.648 -0.648  -0.533 -0.738  -0.411 -0.818  -0.272 -0.864  -0.133 -0.911  0.006 -0.957  0.148 -0.989  0.294 -0.989  0.441 -0.989  0.588 -0.989  0.729 -0.955  0.869 -0.912  1.009 -0.869  1.102 -0.756  1.192 -0.640  1.203 -0.510  1.161 -0.369  1.088 -0.249  0.974 -0.157  0.860 -0.065  0.746 0.027  0.632 0.119  0.518 0.211  0.404 0.304  0.286 0.390  0.164 0.472  0.042 0.553  -0.080 0.635  -0.203 0.716
2#apb#apb42#app4206/r  -0.294 -0.422  -0.222 -0.512  -0.150 -0.602  -0.077 -0.693  -0.005 -0.783  0.054 -0.882  0.112 -0.982  0.172 -1.081  0.239 -1.175  0.306 -1.269  0.380 -1.358  0.406 -1.326  0.389 -1.212  0.352 -1.108  0.266 -1.031  0.180 -0.953  0.094 -0.876  0.009 -0.799  -0.064 -0.708  -0.135 -0.617  -0.207 -0.526  -0.278 -0.435  -0.349 -0.344  -0.417 -0.251  -0.469 -0.147  -0.520 -0.044  -0.572 0.059  -0.624 0.163  -0.676 0.266  -0.700 0.375  -0.688 0.490  -0.677 0.605  -0.652 0.714  -0.570 0.796  -0.488 0.877  -0.406 0.959  -0.294 0.987  -0.182 1.016  -0.070 1.044  0.042 1.072  0.158 1.072  0.274 1.072  0.389 1.072  0.505 1.072  0.621 1.072  0.736 1.072  0.852 1.072  0.968 1.072  1.083 1.072  1.199 1.072
2#apb#apb42#app4206/T  0.313 0.635  0.373 0.736  0.466 0.602  0.552 0.464  0.607 0.310  0.661 0.156  0.695 -0.004  0.725 -0.165  0.759 -0.325  0.795 -0.484  0.816 -0.645  0.816 -0.809  0.843 -0.968  0.758 -0.981  0.606 -0.919  0.455 -0.858  0.303 -0.796  0.152 -0.735  0.000 -0.674  -0.151 -0.612  -0.303 -0.551  -0.454 -0.490  -0.606 -0.428  -0.758 -0.367  -0.909 -0.306  -1.061 -0.244  -1.212 -0.183  -1.364 -0.121  -1.515 -0.060  -1.667 0.001  -1.533 0.038  -1.374 0.076  -1.215 0.112  -1.055 0.147  -0.896 0.183  -0.737 0.223  -0.579 0.266  -0.422 0.308  -0.264 0.351  -0.106 0.394  0.050 0.442  0.206 0.493  0.361 0.543  0.516 0.594  0.672 0.644  0.827 0.696  0.982 0.749  1.136 0.802  1.291 0.855  1.445 0.908
2#apb#apb42#app4206/r  -0.201 0.349  -0.216 0.232  -0.264 0.121  -0.312 0.010  -0.307 -0.108  -0.289 -0.227  -0.270 -0.347  -0.252 -0.466  -0.231 -0.585  -0.208 -0.704  -0.184 -0.822  -0.160 -0.941  -0.148 -1.061  -0.136 -1.181  -0.124 -1.301  -0.085 -1.414  -0.021 -1.506  0.023 -1.451  -0.015 -1.336  -0.042 -1.219  -0.051 -1.099  -0.060 -0.978  -0.068 -0.858  -0.077 -0.737  -0.094 -0.618  -0.115 -0.499  -0.136 -0.380  -0.157 -0.261  -0.178 -0.142  -0.199 -0.023  -0.207 0.098  -0.214 0.218  -0.221 0.339  -0.228 0.460  -0.236 0.580  -0.224 0.696  -0.156 0.795  -0.087 0.894  -0.018 0.994  0.051 1.093  0.119 1.192  0.224 1.252  0.330 1.310  0.436 1.367  0.542 1.425  0.658 1.418  0.776 1.393  0.894 1.368  1.012 1.342  1.130 1.317
2#apb#apb42#app4206/e  -0.970 0.064  -0.844 0.147  -0.711 0.210  -0.561 0.224  -0.411 0.238  -0.265 0.275  -0.122 0.322  0.021 0.370  0.164 0.418  0.303 0.477  0.442 0.536  0.581 0.596  0.718 0.658  0.853 0.725  0.955 0.813  0.910 0.951  0.780 1.002  0.630 1.018  0.482 1.007  0.335 0.972  0.188 0.938  0.042 0.903  -0.096 0.848  -0.222 0.764  -0.347 0.680  -0.473 0.597  -0.590 0.505  -0.661 0.372  -0.733 0.239  -0.804 0.106  -0.849 -0.037  -0.882 -0.184  -0.868 -0.327  -0.809 -0.466  -0.750 -0.604  -0.690 -0.743  -0.562 -0.817  -0.427 -0.885  -0.292 -0.952  -0.154 -1.010  -0.005 -1.034  0.144 -1.057  0.293 -1.081  0.442 -1.104  0.592 -1.112  0.743 -1.112  0.894 -1.112  1.045 -1.112  1.196 -1.112  1.347 -1.112
