1c#app#app26#app2629/b  0.818 2.124  0.683 1.989  0.635 1.819  0.635 1.629  0.635 1.439  0.570 1.264  0.485 1.094  0.336 1.028  0.270 0.904  0.177 0.752  0.087 0.599  0.037 0.430  -0.098 0.295  -0.232 0.161  -0.278 -0.010  -0.278 -0.201  -0.377 -0.350  -0.460 -0.505  -0.540 -0.615  -0.643 -0.703  -0.738 -0.798  -0.928 -0.798  -1.008 -0.908  -0.890 -0.981  -0.737 -0.892  -0.643 -0.741  -0.614 -0.557  -0.529 -0.387  -0.434 -0.224  -0.300 -0.090  -0.165 0.045  -0.031 0.179  0.087 0.320  0.118 0.480  0.270 0.442  0.315 0.298  0.453 0.245  0.495 0.072  0.630 -0.062  0.635 -0.250  0.635 -0.440  0.635 -0.631  0.619 -0.814  0.485 -0.949  0.308 -0.981  0.118 -0.981  -0.073 -0.981  -0.263 -0.981  -0.453 -0.981  -0.460 -0.798
1c#app#app26#app2629/e  -0.518 0.214  -0.347 0.214  -0.177 0.214  -0.006 0.214  0.165 0.214  0.335 0.214  0.506 0.214  0.676 0.214  0.847 0.214  0.979 0.307  1.105 0.415  1.276 0.415  1.288 0.573  1.288 0.744  1.190 0.817  1.020 0.817  0.849 0.817  0.679 0.817  0.508 0.817  0.337 0.817  0.167 0.817  -0.004 0.817  -0.157 0.776  -0.278 0.655  -0.433 0.616  -0.518 0.531  -0.557 0.376  -0.678 0.255  -0.831 0.214  -0.919 0.132  -0.972 0.014  -1.120 -0.009  -1.120 -0.179  -1.120 -0.350  -1.120 -0.520  -1.017 -0.588  -0.919 -0.661  -0.877 -0.789  -0.719 -0.802  -0.719 -0.972  -0.565 -0.990  -0.395 -0.990  -0.224 -0.990  -0.054 -0.990  0.117 -0.990  0.288 -0.990  0.458 -0.990  0.629 -0.990  0.766 -0.910  0.887 -0.789
1c#app#app26#app2629/l  0.812 1.725  0.812 1.606  0.812 1.487  0.812 1.368  0.737 1.323  0.617 1.323  0.611 1.211  0.611 1.092  0.611 0.972  0.542 0.922  0.423 0.922  0.410 0.816  0.393 0.704  0.308 0.619  0.224 0.535  0.140 0.451  0.056 0.366  -0.044 0.319  -0.163 0.319  -0.193 0.229  -0.193 0.110  -0.193 -0.009  -0.225 -0.115  -0.309 -0.199  -0.394 -0.284  -0.513 -0.284  -0.595 -0.321  -0.595 -0.440  -0.669 -0.485  -0.788 -0.485  -0.796 -0.597  -0.817 -0.707  -0.901 -0.791  -0.986 -0.876  -0.893 -0.887  -0.774 -0.887  -0.655 -0.887  -0.536 -0.887  -0.417 -0.887  -0.297 -0.887  -0.178 -0.887  -0.059 -0.887  0.045 -0.850  0.129 -0.765  0.216 -0.686  0.335 -0.686  0.454 -0.686  0.573 -0.686  0.692 -0.686  0.812 -0.686
1c#app#app26#app2629/l  1.318 1.471  1.221 1.423  1.124 1.374  1.027 1.325  0.930 1.277  0.846 1.210  0.769 1.133  0.692 1.057  0.683 0.952  0.683 0.843  0.612 0.764  0.535 0.688  0.452 0.624  0.344 0.624  0.260 0.600  0.260 0.491  0.230 0.413  0.121 0.413  0.023 0.387  -0.054 0.311  -0.131 0.234  -0.207 0.157  -0.284 0.080  -0.361 0.003  -0.375 -0.099  -0.375 -0.208  -0.442 -0.289  -0.518 -0.366  -0.587 -0.446  -0.587 -0.555  -0.604 -0.646  -0.713 -0.646  -0.798 -0.669  -0.798 -0.777  -0.798 -0.886  -0.798 -0.994  -0.765 -1.069  -0.656 -1.069  -0.587 -1.030  -0.587 -0.921  -0.542 -0.857  -0.433 -0.857  -0.325 -0.857  -0.216 -0.857  -0.124 -0.818  -0.047 -0.741  0.030 -0.664  0.106 -0.588  0.183 -0.511  0.260 -0.434
1c#app#app26#app2629/e  -1.326 0.226  -1.115 0.226  -0.904 0.226  -0.693 0.226  -0.482 0.226  -0.421 0.077  -0.363 -0.075  -0.152 -0.075  0.059 -0.075  0.270 -0.075  0.481 -0.075  0.691 -0.075  0.786 0.041  0.811 0.226  1.022 0.226  1.233 0.226  1.389 0.281  1.389 0.492  1.389 0.703  1.305 0.830  1.094 0.830  0.884 0.830  0.673 0.830  0.462 0.830  0.251 0.830  0.041 0.830  -0.119 0.779  -0.119 0.568  -0.290 0.528  -0.477 0.471  -0.627 0.322  -0.722 0.151  -0.722 -0.060  -0.918 -0.075  -1.098 -0.149  -1.247 -0.298  -1.226 -0.377  -1.024 -0.385  -1.024 -0.596  -0.895 -0.678  -0.685 -0.678  -0.474 -0.678  -0.309 -0.790  -0.160 -0.939  0.033 -0.980  0.244 -0.980  0.455 -0.980  0.666 -0.980  0.877 -0.980  1.087 -0.980
1c#app#app26#app2629/r  1.118 1.353  0.962 1.353  0.877 1.282  0.877 1.126  0.735 1.112  0.595 1.072  0.485 0.961  0.395 0.843  0.395 0.687  0.324 0.560  0.214 0.449  0.083 0.389  -0.073 0.389  -0.188 0.289  -0.298 0.178  -0.328 0.035  -0.348 -0.113  -0.459 -0.223  -0.569 -0.334  -0.679 -0.444  -0.790 -0.554  -0.810 -0.702  -0.852 -0.816  -1.008 -0.816  -1.131 -0.896  -1.242 -1.006  -1.208 -1.057  -1.052 -1.057  -0.941 -0.947  -0.831 -0.837  -0.810 -0.689  -0.769 -0.575  -0.613 -0.575  -0.456 -0.575  -0.309 -0.555  -0.198 -0.445  -0.088 -0.335  0.023 -0.224  0.133 -0.114  0.280 -0.093  0.395 -0.051  0.395 0.105  0.508 0.148  0.664 0.148  0.820 0.148  0.976 0.148  1.118 0.162  1.118 0.318  1.203 0.389  1.359 0.389
1c#app#app26#app2629/i  0.251 0.529  0.194 0.414  0.137 0.300  0.079 0.185  0.006 0.082  -0.085 -0.008  -0.151 -0.109  -0.151 -0.237  -0.215 -0.339  -0.305 -0.430  -0.352 -0.538  -0.352 -0.667  -0.352 -0.795  -0.396 -0.879  -0.524 -0.879  -0.553 -0.978  -0.553 -1.106  -0.553 -1.234  -0.553 -1.362  -0.550 -1.475  -0.503 -1.356  -0.455 -1.237  -0.407 -1.118  -0.360 -0.999  -0.312 -0.880  -0.265 -0.761  -0.217 -0.642  -0.169 -0.523  -0.122 -0.404  -0.074 -0.285  -0.027 -0.166  0.021 -0.047  0.069 0.072  0.116 0.191  0.164 0.310  0.211 0.429  0.259 0.548  0.306 0.667  0.354 0.786  0.402 0.905  0.449 1.024  0.497 1.143  0.544 1.262  0.592 1.381  0.640 1.500  0.653 1.625  0.653 1.718  0.653 1.590  0.653 1.461  0.653 1.333
1c#app#app26#app2629/n  0.741 1.426  0.613 1.298  0.485 1.170  0.357 1.042  0.316 0.878  0.251 0.723  0.123 0.595  -0.005 0.467  -0.110 0.329  -0.111 0.150  -0.292 0.150  -0.322 -0.001  -0.407 -0.148  -0.535 -0.276  -0.535 -0.457  -0.641 -0.594  -0.778 -0.701  -0.959 -0.701  -0.961 -0.880  -0.961 -1.062  -1.077 -1.126  -1.173 -1.042  -1.173 -0.861  -1.152 -0.701  -0.971 -0.701  -0.961 -0.530  -0.862 -0.390  -0.728 -0.276  -0.547 -0.276  -0.535 -0.106  -0.438 0.035  -0.304 0.150  -0.123 0.150  -0.110 0.318  0.026 0.362  0.208 0.362  0.367 0.414  0.495 0.542  0.663 0.575  0.844 0.575  1.025 0.575  1.167 0.535  1.167 0.354  1.167 0.173  1.167 -0.008  1.167 -0.189  1.167 -0.370  1.167 -0.551  1.135 -0.701  0.954 -0.701
1c#app#app26#app2629/c  1.442 0.898  1.307 0.898  1.172 0.898  1.036 0.898  0.901 0.898  0.766 0.898  0.757 0.772  0.724 0.670  0.589 0.670  0.454 0.670  0.318 0.670  0.183 0.670  0.048 0.670  -0.087 0.670  -0.222 0.670  -0.358 0.670  -0.493 0.670  -0.614 0.656  -0.614 0.520  -0.670 0.441  -0.805 0.441  -0.842 0.343  -0.842 0.208  -0.842 0.073  -0.889 -0.016  -1.024 -0.016  -1.071 -0.104  -1.071 -0.239  -0.940 -0.244  -0.842 -0.281  -0.842 -0.417  -0.763 -0.473  -0.628 -0.473  -0.493 -0.473  -0.386 -0.500  -0.386 -0.636  -0.316 -0.701  -0.180 -0.701  -0.045 -0.701  0.090 -0.701  0.225 -0.701  0.300 -0.762  0.300 -0.897  0.402 -0.929  0.538 -0.929  0.673 -0.929  0.808 -0.929  0.943 -0.929  1.078 -0.929  1.213 -0.929
1c#app#app26#app2629/e  -0.706 0.129  -0.524 0.129  -0.343 0.129  -0.161 0.129  0.020 0.129  0.201 0.129  0.383 0.129  0.564 0.129  0.746 0.129  0.886 0.229  1.014 0.358  1.142 0.486  1.295 0.555  1.425 0.607  1.405 0.768  1.223 0.768  1.042 0.768  0.860 0.768  0.679 0.768  0.498 0.768  0.316 0.768  0.138 0.760  0.010 0.632  -0.118 0.607  -0.247 0.735  -0.280 0.634  -0.383 0.555  -0.543 0.505  -0.671 0.376  -0.800 0.248  -0.932 0.129  -1.113 0.129  -1.132 -0.034  -1.132 -0.215  -1.132 -0.397  -1.132 -0.578  -1.095 -0.723  -0.915 -0.726  -0.787 -0.855  -0.639 -0.936  -0.493 -0.971  -0.489 -1.149  -0.308 -1.149  -0.126 -1.149  0.019 -1.063  0.148 -0.936  0.330 -0.936  0.467 -0.829  0.604 -0.723  0.786 -0.723
1c#app#app26#app2629/w  -0.994 0.719  -0.994 0.561  -0.994 0.403  -0.994 0.245  -1.004 0.097  -1.150 0.084  -1.150 -0.073  -1.150 -0.231  -1.164 -0.383  -1.276 -0.495  -1.305 -0.641  -1.186 -0.680  -1.028 -0.680  -0.907 -0.592  -0.795 -0.480  -0.684 -0.369  -0.682 -0.212  -0.570 -0.100  -0.429 -0.058  -0.301 0.013  -0.189 0.125  -0.078 0.237  0.034 0.348  0.145 0.460  0.261 0.563  0.394 0.553  0.282 0.441  0.249 0.297  0.249 0.139  0.133 0.097  0.010 0.013  -0.062 -0.115  -0.062 -0.273  -0.001 -0.369  0.157 -0.369  0.315 -0.369  0.473 -0.369  0.631 -0.369  0.789 -0.369  0.870 -0.292  0.926 -0.158  1.043 -0.058  1.195 -0.044  1.306 0.068  1.336 0.213  1.420 0.336  1.532 0.448  1.643 0.560  1.800 0.563  1.957 0.563
1c#app#app26#app2629/i  0.429 0.227  0.302 0.227  0.175 0.227  0.072 0.171  -0.018 0.081  -0.023 -0.044  -0.091 -0.143  -0.173 -0.236  -0.173 -0.363  -0.254 -0.457  -0.344 -0.546  -0.434 -0.636  -0.524 -0.726  -0.613 -0.816  -0.703 -0.906  -0.776 -1.002  -0.776 -1.129  -0.776 -1.257  -0.880 -1.280  -0.881 -1.216  -0.808 -1.112  -0.735 -1.008  -0.662 -0.904  -0.588 -0.800  -0.515 -0.697  -0.442 -0.593  -0.369 -0.489  -0.295 -0.385  -0.222 -0.282  -0.149 -0.178  -0.076 -0.074  -0.002 0.030  0.071 0.134  0.144 0.237  0.217 0.341  0.291 0.445  0.364 0.549  0.437 0.652  0.510 0.756  0.584 0.860  0.657 0.964  0.730 1.068  0.803 1.171  0.877 1.275  0.882 1.164  0.882 1.226  0.882 1.353  0.929 1.433  1.032 1.409  1.032 1.282
1c#app#app26#app2629/n  1.057 1.783  0.919 1.645  0.780 1.506  0.641 1.367  0.503 1.228  0.416 1.068  0.416 0.872  0.378 0.714  0.193 0.696  0.105 0.520  0.018 0.345  -0.143 0.287  -0.225 0.173  -0.225 -0.023  -0.281 -0.196  -0.419 -0.335  -0.608 -0.354  -0.653 -0.505  -0.786 -0.568  -0.866 -0.684  -0.965 -0.782  -1.080 -0.863  -1.143 -0.996  -1.262 -0.964  -1.123 -0.825  -0.945 -0.782  -0.866 -0.664  -0.766 -0.568  -0.653 -0.486  -0.607 -0.308  -0.468 -0.170  -0.329 -0.031  -0.191 0.108  -0.052 0.246  0.128 0.287  0.202 0.408  0.306 0.501  0.502 0.501  0.698 0.501  0.844 0.450  0.844 0.254  0.844 0.058  0.844 -0.139  0.844 -0.335  0.719 -0.479  0.630 -0.639  0.577 -0.782  0.416 -0.817  0.416 -1.013  0.416 -1.209
1c#app#app26#app2629/d  -0.663 -0.442  -0.769 -0.338  -0.918 -0.338  -1.067 -0.338  -1.177 -0.433  -1.290 -0.474  -1.344 -0.601  -1.395 -0.729  -1.376 -0.860  -1.227 -0.860  -1.078 -0.860  -0.929 -0.860  -0.779 -0.860  -0.670 -0.764  -0.539 -0.694  -0.415 -0.613  -0.294 -0.547  -0.174 -0.476  -0.049 -0.397  0.077 -0.323  0.144 -0.189  0.231 -0.071  0.352 0.013  0.486 0.080  0.553 0.212  0.648 0.318  0.782 0.385  0.812 0.519  0.878 0.653  0.968 0.770  1.073 0.875  1.115 1.007  1.115 1.157  1.040 1.231  1.000 1.116  0.890 1.022  0.758 0.979  0.653 0.873  0.547 0.768  0.488 0.643  0.410 0.526  0.333 0.400  0.279 0.263  0.228 0.135  0.174 0.008  0.165 -0.137  0.060 -0.243  -0.035 -0.353  -0.035 -0.502  -0.035 -0.651
