2#apa#apa02#app0271/!  0.210 1.283  0.210 1.356  0.210 1.429  0.209 1.500  0.158 1.448  0.106 1.397  0.102 1.326  0.102 1.253  0.102 1.180  0.054 1.127  0.002 1.075  -0.007 1.006  -0.007 0.934  -0.007 0.861  -0.007 0.788  -0.007 0.715  -0.007 0.642  -0.007 0.570  -0.007 0.497  -0.007 0.424  -0.007 0.351  -0.007 0.278  -0.007 0.205  -0.007 0.133  -0.007 0.060  -0.007 -0.013  -0.007 -0.086  -0.007 -0.159  -0.007 -0.232  -0.007 -0.304  -0.010 -0.377  -0.016 -0.450  -0.022 -0.522  -0.028 -0.595  -0.034 -0.667  -0.040 -0.740  -0.046 -0.813  -0.052 -0.885  -0.058 -0.958  -0.064 -1.030  -0.070 -1.103  -0.076 -1.175  -0.082 -1.248  -0.088 -1.321  -0.094 -1.393  -0.100 -1.466  -0.106 -1.538  -0.112 -1.611  -0.116 -1.612  -0.116 -1.539
2#apa#apa02#app0271/~  -1.290 -0.414  -1.208 -0.496  -1.125 -0.579  -1.238 -0.581  -1.290 -0.516  -1.290 -0.399  -1.290 -0.282  -1.290 -0.166  -1.259 -0.080  -1.142 -0.080  -1.123 0.018  -1.075 0.087  -0.959 0.087  -0.875 0.168  -0.793 0.251  -0.677 0.254  -0.578 0.298  -0.496 0.381  -0.396 0.421  -0.279 0.421  -0.162 0.421  -0.122 0.344  -0.095 0.254  0.022 0.254  0.045 0.160  0.045 0.043  0.045 -0.073  0.045 -0.190  0.105 -0.247  0.212 -0.257  0.212 -0.374  0.289 -0.414  0.406 -0.414  0.523 -0.414  0.640 -0.414  0.713 -0.370  0.713 -0.253  0.791 -0.169  0.874 -0.086  0.988 -0.080  1.073 -0.028  1.125 0.077  1.177 0.181  1.249 0.254  1.366 0.254  1.381 0.356  1.418 0.458  1.500 0.541  1.548 0.638  1.548 0.755
2#apa#apa02#app0271/  -1.713 -0.035  -1.643 -0.035  -1.572 -0.035  -1.502 -0.035  -1.431 -0.035  -1.361 -0.035  -1.290 -0.035  -1.220 -0.035  -1.149 -0.035  -1.079 -0.035  -1.008 -0.035  -0.938 -0.035  -0.867 -0.035  -0.797 -0.035  -0.726 -0.035  -0.656 -0.035  -0.585 -0.035  -0.515 -0.035  -0.444 -0.035  -0.374 -0.035  -0.303 -0.035  -0.232 -0.035  -0.162 -0.035  -0.091 -0.035  -0.021 -0.035  0.050 -0.035  0.120 -0.035  0.191 -0.035  0.261 -0.035  0.332 -0.035  0.402 -0.035  0.473 -0.035  0.543 -0.035  0.614 -0.035  0.684 -0.035  0.755 -0.035  0.825 -0.035  0.896 -0.035  0.966 -0.035  1.037 -0.035  1.107 -0.035  1.161 0.006  1.211 0.056  1.261 0.106  1.311 0.156  1.361 0.206  1.424 0.223  1.494 0.223  1.565 0.223  1.635 0.223
2#apa#apa02#app0271/_  -1.767 -0.067  -1.691 -0.067  -1.616 -0.067  -1.540 -0.067  -1.465 -0.067  -1.389 -0.067  -1.314 -0.067  -1.238 -0.067  -1.163 -0.067  -1.087 -0.067  -1.012 -0.067  -0.936 -0.067  -0.861 -0.067  -0.785 -0.067  -0.710 -0.067  -0.635 -0.067  -0.559 -0.067  -0.484 -0.067  -0.408 -0.067  -0.333 -0.067  -0.257 -0.067  -0.182 -0.067  -0.106 -0.067  -0.031 -0.067  0.045 -0.067  0.120 -0.067  0.196 -0.067  0.271 -0.067  0.347 -0.067  0.422 -0.067  0.493 -0.063  0.493 0.013  0.493 0.088  0.518 0.139  0.594 0.139  0.669 0.139  0.745 0.139  0.820 0.139  0.896 0.139  0.971 0.139  1.047 0.139  1.122 0.139  1.198 0.139  1.273 0.139  1.349 0.139  1.424 0.139  1.500 0.139  1.521 0.084  1.521 0.009  1.521 -0.067
2#apa#apa02#app0271/+  -0.118 1.650  0.062 1.650  0.092 1.500  0.092 1.319  0.092 1.139  0.092 0.958  0.092 0.778  0.092 0.597  0.092 0.417  0.092 0.236  0.092 0.056  0.092 -0.125  0.092 -0.305  0.092 -0.486  0.092 -0.666  0.092 -0.847  0.092 -1.027  0.092 -1.208  0.186 -1.295  0.254 -1.253  0.119 -1.134  -0.017 -1.015  -0.153 -0.896  -0.289 -0.777  -0.425 -0.658  -0.561 -0.540  -0.696 -0.421  -0.832 -0.302  -0.968 -0.183  -1.104 -0.064  -1.240 0.055  -1.376 0.174  -1.206 0.178  -1.026 0.178  -0.845 0.178  -0.665 0.178  -0.484 0.178  -0.304 0.178  -0.123 0.178  0.057 0.178  0.238 0.178  0.418 0.178  0.599 0.178  0.779 0.178  0.960 0.178  1.140 0.178  1.321 0.178  1.458 0.074  1.594 -0.033  1.775 -0.033
2#apa#apa02#app0271/=  -0.987 0.434  -0.987 0.587  -0.987 0.741  -0.900 0.808  -0.746 0.808  -0.592 0.808  -0.438 0.808  -0.284 0.808  -0.130 0.808  0.023 0.808  0.177 0.808  0.331 0.808  0.485 0.808  0.510 0.936  0.606 0.995  0.760 0.995  0.885 0.967  0.885 0.813  1.034 0.808  0.986 0.730  0.872 0.626  0.759 0.523  0.645 0.419  0.531 0.316  0.417 0.212  0.303 0.109  0.189 0.005  0.075 -0.098  -0.038 -0.202  -0.152 -0.305  -0.266 -0.409  -0.380 -0.512  -0.494 -0.616  -0.608 -0.719  -0.722 -0.823  -0.835 -0.926  -0.949 -1.030  -0.884 -1.064  -0.730 -1.064  -0.576 -1.064  -0.423 -1.064  -0.269 -1.064  -0.115 -1.064  0.013 -1.000  0.121 -0.891  0.269 -0.877  0.423 -0.877  0.577 -0.877  0.731 -0.877  0.885 -0.877
2#apa#apa02#app0271/[  0.448 1.082  0.544 1.082  0.639 1.082  0.644 1.172  0.555 1.179  0.460 1.179  0.365 1.179  0.293 1.122  0.215 1.082  0.119 1.082  0.024 1.082  -0.071 1.082  -0.166 1.082  -0.208 1.082  -0.137 1.057  -0.137 0.962  -0.137 0.867  -0.137 0.772  -0.137 0.676  -0.137 0.581  -0.137 0.486  -0.137 0.390  -0.137 0.295  -0.137 0.200  -0.137 0.105  -0.137 0.009  -0.137 -0.086  -0.137 -0.181  -0.137 -0.277  -0.137 -0.372  -0.197 -0.442  -0.235 -0.522  -0.235 -0.617  -0.235 -0.712  -0.235 -0.808  -0.235 -0.903  -0.265 -0.968  -0.333 -0.996  -0.333 -1.091  -0.333 -1.187  -0.312 -1.261  -0.216 -1.261  -0.121 -1.261  -0.026 -1.261  0.070 -1.261  0.165 -1.261  0.260 -1.261  0.351 -1.265  0.353 -1.358  0.448 -1.358
2#apa#apa02#app0271/]  -0.726 1.038  -0.625 1.038  -0.524 1.038  -0.424 1.038  -0.323 1.038  -0.222 1.038  -0.121 1.038  -0.020 1.038  0.081 1.038  0.160 1.091  0.239 1.142  0.340 1.142  0.441 1.142  0.523 1.123  0.523 1.022  0.514 0.925  0.442 0.853  0.419 0.762  0.373 0.680  0.315 0.604  0.315 0.503  0.307 0.405  0.235 0.334  0.210 0.244  0.210 0.143  0.210 0.042  0.210 -0.059  0.210 -0.160  0.175 -0.246  0.106 -0.318  0.106 -0.419  0.106 -0.520  0.106 -0.621  0.040 -0.694  0.002 -0.780  0.002 -0.880  0.002 -0.981  0.002 -1.082  0.002 -1.183  0.002 -1.219  -0.027 -1.148  -0.102 -1.173  -0.124 -1.252  -0.225 -1.252  -0.326 -1.252  -0.427 -1.252  -0.528 -1.252  -0.628 -1.252  -0.729 -1.252  -0.830 -1.252
2#apa#apa02#app0271/{  0.447 1.237  0.543 1.333  0.664 1.355  0.628 1.454  0.492 1.454  0.357 1.454  0.330 1.346  0.194 1.346  0.077 1.301  -0.019 1.206  -0.115 1.110  -0.211 1.014  -0.307 0.918  -0.403 0.822  -0.422 0.694  -0.422 0.559  -0.383 0.439  -0.277 0.369  -0.141 0.369  -0.032 0.305  0.085 0.260  0.121 0.161  0.230 0.134  0.230 -0.002  0.179 -0.117  0.121 -0.228  0.040 -0.283  -0.084 -0.331  -0.206 -0.391  -0.313 -0.419  -0.368 -0.500  -0.339 -0.500  -0.312 -0.391  -0.177 -0.391  -0.041 -0.391  0.095 -0.391  0.121 -0.500  0.102 -0.628  0.013 -0.726  -0.013 -0.851  -0.096 -0.953  -0.142 -1.043  -0.204 -1.115  -0.204 -1.251  -0.204 -1.387  -0.172 -1.509  -0.068 -1.585  0.067 -1.585  0.203 -1.585  0.338 -1.585
2#apa#apa02#app0271/}  -0.324 1.668  -0.194 1.668  -0.101 1.631  -0.046 1.556  0.084 1.556  0.122 1.464  0.233 1.444  0.234 1.316  0.234 1.186  0.196 1.071  0.122 0.972  0.091 0.855  -0.006 0.774  -0.101 0.740  -0.101 0.610  -0.173 0.551  -0.213 0.461  -0.289 0.363  -0.324 0.247  -0.324 0.117  -0.320 -0.011  -0.228 -0.103  -0.105 -0.119  0.025 -0.119  0.155 -0.119  0.285 -0.119  0.346 -0.049  0.257 -0.007  0.234 -0.114  0.122 -0.132  0.091 -0.230  0.011 -0.281  0.011 -0.411  -0.076 -0.454  -0.101 -0.559  -0.089 -0.677  0.011 -0.708  0.060 -0.789  0.122 -0.856  0.208 -0.900  0.234 -1.004  0.234 -1.134  0.234 -1.264  0.186 -1.347  0.056 -1.347  0.011 -1.431  -0.092 -1.459  -0.222 -1.459  -0.344 -1.478  -0.436 -1.570
2#apa#apa02#app0271/\\  -0.829 1.095  -0.829 1.172  -0.868 1.209  -0.942 1.209  -0.865 1.209  -0.829 1.169  -0.827 1.093  -0.773 1.039  -0.719 0.985  -0.683 0.918  -0.649 0.850  -0.615 0.781  -0.569 0.721  -0.515 0.667  -0.470 0.606  -0.436 0.538  -0.402 0.469  -0.365 0.403  -0.311 0.349  -0.257 0.295  -0.203 0.241  -0.149 0.187  -0.095 0.133  -0.040 0.079  -0.030 0.006  -0.013 -0.063  0.041 -0.117  0.095 -0.171  0.149 -0.225  0.203 -0.279  0.257 -0.333  0.312 -0.388  0.346 -0.456  0.380 -0.524  0.414 -0.593  0.476 -0.616  0.540 -0.629  0.540 -0.705  0.540 -0.782  0.554 -0.844  0.631 -0.844  0.692 -0.882  0.746 -0.936  0.800 -0.990  0.854 -1.044  0.882 -1.109  0.882 -1.185  0.957 -1.186  0.996 -1.224  0.996 -1.300
2#apa#apa02#app0271/,  0.157 1.716  0.157 1.643  0.157 1.570  0.157 1.498  0.157 1.425  0.157 1.352  0.157 1.279  0.157 1.207  0.157 1.134  0.157 1.061  0.157 0.989  0.157 0.916  0.157 0.843  0.157 0.771  0.157 0.698  0.157 0.625  0.157 0.553  0.157 0.480  0.157 0.407  0.157 0.335  0.157 0.262  0.157 0.189  0.157 0.117  0.157 0.044  0.157 -0.029  0.157 -0.101  0.157 -0.174  0.157 -0.247  0.157 -0.319  0.157 -0.392  0.157 -0.465  0.157 -0.537  0.157 -0.610  0.107 -0.662  0.055 -0.713  0.004 -0.765  -0.048 -0.816  -0.099 -0.867  -0.150 -0.919  -0.202 -0.970  -0.253 -1.022  -0.305 -1.073  -0.356 -1.124  -0.407 -1.176  -0.459 -1.227  -0.510 -1.279  -0.562 -1.330  -0.613 -1.381  -0.664 -1.433  -0.716 -1.484
2#apa#apa02#app0271/  1.106 1.021  1.106 1.095  1.097 1.146  1.045 1.094  0.993 1.042  0.952 0.982  0.919 0.917  0.886 0.851  0.854 0.785  0.800 0.753  0.726 0.753  0.668 0.718  0.616 0.666  0.564 0.614  0.512 0.562  0.460 0.510  0.408 0.458  0.356 0.406  0.304 0.354  0.252 0.302  0.200 0.250  0.148 0.198  0.096 0.146  0.045 0.094  -0.007 0.042  -0.059 -0.009  -0.111 -0.061  -0.163 -0.113  -0.215 -0.165  -0.267 -0.217  -0.319 -0.269  -0.369 -0.322  -0.369 -0.395  -0.383 -0.460  -0.449 -0.493  -0.514 -0.526  -0.580 -0.559  -0.644 -0.594  -0.696 -0.646  -0.748 -0.698  -0.789 -0.757  -0.822 -0.823  -0.855 -0.889  -0.888 -0.955  -0.905 -1.024  -0.905 -1.097  -0.953 -1.123  -1.026 -1.123  -1.039 -1.184  -1.039 -1.257
2#apa#apa02#app0271/?  -0.666 0.961  -0.562 0.961  -0.459 0.961  -0.355 0.961  -0.281 1.033  -0.191 1.065  -0.087 1.065  0.017 1.065  0.121 1.065  0.224 1.065  0.328 1.065  0.432 1.065  0.519 1.026  0.596 0.961  0.689 0.950  0.689 0.846  0.689 0.742  0.679 0.648  0.578 0.642  0.504 0.568  0.431 0.495  0.358 0.422  0.284 0.348  0.211 0.275  0.138 0.202  0.064 0.128  -0.009 0.055  -0.041 -0.036  -0.099 -0.081  -0.186 -0.122  -0.249 -0.200  -0.249 -0.303  -0.249 -0.407  -0.249 -0.511  -0.237 -0.602  -0.146 -0.614  -0.157 -0.717  -0.167 -0.820  -0.177 -0.924  -0.187 -1.027  -0.198 -1.130  -0.208 -1.233  -0.218 -1.336  -0.229 -1.440  -0.239 -1.543  -0.249 -1.642  -0.251 -1.540  -0.353 -1.539  -0.353 -1.436  -0.249 -1.436
2#apa#apa02#app0271/'  0.191 0.723  0.283 0.723  0.375 0.723  0.467 0.723  0.560 0.723  0.608 0.767  0.608 0.859  0.608 0.951  0.608 1.043  0.608 1.136  0.520 1.140  0.428 1.140  0.336 1.140  0.244 1.140  0.191 1.101  0.191 1.009  0.191 0.917  0.191 0.825  0.191 0.732  0.191 0.640  0.191 0.548  0.191 0.456  0.191 0.364  0.166 0.281  0.101 0.216  0.036 0.151  -0.029 0.086  -0.094 0.021  -0.160 -0.045  -0.225 -0.110  -0.226 -0.201  -0.226 -0.293  -0.226 -0.386  -0.226 -0.478  -0.226 -0.570  -0.226 -0.662  -0.226 -0.754  -0.226 -0.847  -0.226 -0.939  -0.287 -1.006  -0.352 -1.071  -0.417 -1.137  -0.482 -1.202  -0.548 -1.267  -0.613 -1.332  -0.644 -1.411  -0.644 -1.504  -0.644 -1.596  -0.644 -1.688  -0.644 -1.780
2#apa#apa02#app0271/\"  -0.602 1.071  -0.602 0.896  -0.602 0.722  -0.602 0.548  -0.602 0.374  -0.602 0.199  -0.602 0.025  -0.602 -0.149  -0.684 -0.290  -0.807 -0.413  -0.922 -0.540  -0.922 -0.714  -0.950 -0.876  -1.074 -1.000  -1.197 -1.123  -1.159 -1.095  -1.028 -0.980  -0.897 -0.866  -0.765 -0.751  -0.634 -0.636  -0.503 -0.521  -0.372 -0.407  -0.241 -0.292  -0.110 -0.177  0.021 -0.062  0.153 0.052  0.284 0.167  0.415 0.282  0.546 0.397  0.677 0.511  0.808 0.626  0.939 0.741  1.071 0.856  1.202 0.970  1.316 1.049  1.316 0.874  1.266 0.751  1.091 0.751  0.997 0.671  0.997 0.497  0.920 0.354  0.797 0.231  0.674 0.108  0.550 -0.015  0.427 -0.138  0.304 -0.262  0.181 -0.385  0.058 -0.508  0.037 -0.674  0.037 -0.848
2#apa#apa02#app0271/<  0.923 1.164  0.923 1.269  0.923 1.373  0.896 1.413  0.822 1.339  0.748 1.264  0.674 1.190  0.599 1.116  0.525 1.042  0.451 0.967  0.377 0.893  0.284 0.844  0.191 0.797  0.097 0.750  0.094 0.647  0.045 0.562  -0.029 0.488  -0.127 0.472  -0.218 0.437  -0.292 0.363  -0.321 0.270  -0.343 0.174  -0.417 0.100  -0.491 0.025  -0.565 -0.049  -0.640 -0.123  -0.714 -0.197  -0.736 -0.293  -0.777 -0.357  -0.868 -0.363  -0.794 -0.437  -0.713 -0.495  -0.608 -0.495  -0.503 -0.495  -0.416 -0.538  -0.342 -0.612  -0.246 -0.634  -0.183 -0.675  -0.176 -0.778  -0.102 -0.852  -0.021 -0.910  0.084 -0.910  0.094 -1.005  0.155 -1.048  0.232 -1.076  0.232 -1.181  0.232 -1.286  0.299 -1.325  0.370 -1.358  0.370 -1.463
2#apa#apa02#app0271/|  0.178 1.708  0.178 1.637  0.178 1.565  0.178 1.493  0.178 1.421  0.178 1.349  0.178 1.278  0.178 1.206  0.178 1.134  0.178 1.062  0.178 0.990  0.178 0.919  0.178 0.847  0.178 0.775  0.155 0.707  0.132 0.639  0.110 0.571  0.087 0.502  0.064 0.434  0.062 0.363  0.062 0.291  0.062 0.219  0.062 0.147  0.062 0.076  0.062 0.004  0.062 -0.068  0.062 -0.140  0.021 -0.195  -0.029 -0.246  -0.054 -0.307  -0.054 -0.379  -0.054 -0.451  -0.054 -0.523  -0.054 -0.594  -0.054 -0.666  -0.056 -0.737  -0.106 -0.788  -0.157 -0.839  -0.171 -0.905  -0.171 -0.977  -0.171 -1.049  -0.187 -1.117  -0.219 -1.181  -0.251 -1.245  -0.283 -1.310  -0.287 -1.380  -0.287 -1.452  -0.287 -1.524  -0.287 -1.596  -0.287 -1.668
2#apa#apa02#app0271/>  -0.265 1.398  -0.359 1.398  -0.452 1.398  -0.426 1.398  -0.375 1.354  -0.349 1.287  -0.265 1.277  -0.265 1.183  -0.203 1.115  -0.137 1.049  -0.070 0.982  -0.004 0.916  0.062 0.849  0.067 0.758  0.137 0.734  0.216 0.696  0.282 0.630  0.348 0.563  0.400 0.491  0.403 0.398  0.469 0.332  0.510 0.255  0.510 0.161  0.510 0.067  0.510 -0.027  0.510 -0.121  0.510 -0.214  0.510 -0.308  0.481 -0.373  0.400 -0.385  0.400 -0.479  0.336 -0.547  0.262 -0.595  0.178 -0.604  0.178 -0.698  0.091 -0.705  0.018 -0.755  -0.048 -0.821  -0.115 -0.888  -0.154 -0.965  -0.176 -1.037  -0.268 -1.041  -0.334 -1.107  -0.411 -1.148  -0.486 -1.167  -0.488 -1.259  -0.582 -1.259  -0.653 -1.315  -0.707 -1.386  -0.707 -1.480
