1c#app#app14#app1468/h  -0.131 1.939  -0.025 1.833  -0.017 1.913  -0.061 1.782  -0.131 1.661  -0.131 1.511  -0.131 1.361  -0.131 1.211  -0.168 1.070  -0.235 0.936  -0.244 0.789  -0.244 0.639  -0.244 0.489  -0.284 0.346  -0.331 0.204  -0.358 0.058  -0.358 -0.092  -0.358 -0.241  -0.372 -0.389  -0.409 -0.535  -0.445 -0.680  -0.471 -0.827  -0.471 -0.976  -0.471 -1.126  -0.471 -1.204  -0.399 -1.126  -0.358 -1.018  -0.344 -0.871  -0.277 -0.737  -0.244 -0.595  -0.164 -0.478  -0.058 -0.372  -0.017 -0.240  0.073 -0.127  0.099 0.012  0.205 0.118  0.323 0.152  0.389 0.236  0.437 0.134  0.550 0.098  0.550 -0.052  0.619 -0.173  0.664 -0.305  0.664 -0.455  0.664 -0.604  0.664 -0.754  0.664 -0.904  0.664 -1.054  0.664 -1.204  0.664 -1.353
1c#app#app14#app1468/v  -0.885 0.706  -0.885 0.594  -0.885 0.483  -0.885 0.372  -0.885 0.261  -0.885 0.150  -0.885 0.039  -0.885 -0.072  -0.885 -0.184  -0.863 -0.286  -0.785 -0.364  -0.706 -0.443  -0.643 -0.528  -0.643 -0.639  -0.643 -0.750  -0.643 -0.861  -0.643 -0.972  -0.550 -0.990  -0.439 -0.990  -0.328 -0.990  -0.216 -0.990  -0.121 -0.953  -0.042 -0.874  0.036 -0.796  0.128 -0.748  0.239 -0.748  0.326 -0.724  0.326 -0.613  0.326 -0.502  0.326 -0.391  0.326 -0.280  0.393 -0.196  0.472 -0.118  0.551 -0.039  0.568 0.065  0.568 0.176  0.568 0.287  0.568 0.398  0.589 0.504  0.639 0.604  0.688 0.703  0.738 0.803  0.788 0.902  0.811 1.008  0.811 1.119  0.811 1.230  0.811 1.341  0.831 1.432  0.942 1.432  1.053 1.432
1c#app#app14#app1468/e  -0.267 0.503  -0.267 0.360  -0.267 0.234  -0.267 0.377  -0.250 0.503  -0.107 0.503  0.035 0.503  0.178 0.503  0.320 0.503  0.463 0.503  0.564 0.545  0.564 0.687  0.614 0.779  0.757 0.779  0.782 0.779  0.639 0.779  0.564 0.847  0.564 0.989  0.488 1.056  0.346 1.056  0.203 1.056  0.060 1.056  -0.055 0.991  -0.156 0.890  -0.257 0.789  -0.358 0.688  -0.459 0.588  -0.544 0.480  -0.544 0.338  -0.544 0.195  -0.544 0.052  -0.544 -0.090  -0.544 -0.233  -0.544 -0.376  -0.544 -0.518  -0.544 -0.661  -0.544 -0.803  -0.498 -0.927  -0.397 -1.028  -0.297 -1.129  -0.267 -1.259  -0.267 -1.402  -0.158 -1.436  -0.015 -1.436  0.127 -1.436  0.270 -1.436  0.413 -1.436  0.555 -1.436  0.698 -1.436  0.841 -1.436
1c#app#app14#app1468/r  -0.432 0.280  -0.432 0.156  -0.432 0.032  -0.432 -0.091  -0.432 -0.215  -0.432 -0.339  -0.432 -0.462  -0.432 -0.586  -0.432 -0.710  -0.432 -0.833  -0.432 -0.957  -0.432 -1.081  -0.432 -1.204  -0.432 -1.328  -0.432 -1.452  -0.432 -1.391  -0.432 -1.267  -0.432 -1.143  -0.432 -1.020  -0.432 -0.896  -0.432 -0.772  -0.397 -0.657  -0.342 -0.546  -0.286 -0.436  -0.231 -0.325  -0.180 -0.213  -0.180 -0.090  -0.180 0.034  -0.180 0.158  -0.180 0.281  -0.180 0.405  -0.180 0.529  -0.095 0.617  -0.008 0.704  0.071 0.795  0.071 0.919  0.079 1.035  0.203 1.035  0.326 1.035  0.450 1.035  0.574 1.035  0.697 1.035  0.821 1.035  0.945 1.035  1.068 1.035  1.159 0.955  1.246 0.868  1.331 0.779  1.331 0.655  1.331 0.532
1c#app#app14#app1468/y  -0.494 1.090  -0.494 0.958  -0.494 0.826  -0.414 0.728  -0.353 0.622  -0.318 0.526  -0.212 0.500  -0.195 0.385  -0.071 0.377  -0.071 0.246  0.058 0.244  0.155 0.159  0.229 0.151  0.275 0.274  0.322 0.398  0.368 0.521  0.414 0.644  0.460 0.767  0.506 0.890  0.553 1.014  0.599 1.137  0.620 1.202  0.561 1.085  0.502 0.967  0.493 0.838  0.421 0.736  0.328 0.643  0.235 0.550  0.211 0.428  0.211 0.297  0.156 0.188  0.065 0.093  0.006 -0.024  -0.052 -0.142  -0.071 -0.269  -0.071 -0.401  -0.103 -0.525  -0.162 -0.643  -0.212 -0.762  -0.212 -0.894  -0.212 -1.025  -0.271 -1.143  -0.330 -1.261  -0.353 -1.387  -0.353 -1.518  -0.372 -1.647  -0.414 -1.771  -0.455 -1.896  -0.494 -2.022  -0.494 -2.153
1c#app#app14#app1468/o  -0.545 0.533  -0.404 0.533  -0.274 0.560  -0.174 0.660  -0.074 0.760  -0.055 0.893  -0.044 1.023  0.097 1.023  0.238 1.023  0.380 1.023  0.521 1.023  0.662 1.023  0.680 0.900  0.700 0.778  0.841 0.778  0.925 0.722  0.925 0.580  0.925 0.439  0.925 0.298  0.925 0.157  0.925 0.015  0.925 -0.126  0.925 -0.267  0.925 -0.408  0.823 -0.447  0.681 -0.447  0.581 -0.546  0.481 -0.646  0.381 -0.746  0.282 -0.846  0.178 -0.937  0.037 -0.937  -0.104 -0.937  -0.246 -0.937  -0.387 -0.937  -0.528 -0.937  -0.669 -0.937  -0.790 -0.917  -0.790 -0.775  -0.848 -0.692  -0.989 -0.692  -1.035 -0.597  -1.035 -0.455  -1.035 -0.314  -1.035 -0.173  -1.035 -0.032  -1.035 0.110  -1.035 0.251  -0.931 0.288  -0.790 0.288
1c#app#app14#app1468/p  -0.137 0.319  -0.266 0.190  -0.305 0.024  -0.305 -0.159  -0.305 -0.341  -0.305 -0.524  -0.305 -0.706  -0.305 -0.889  -0.305 -1.071  -0.343 -1.238  -0.472 -1.367  -0.474 -1.548  -0.450 -1.707  -0.305 -1.670  -0.305 -1.487  -0.305 -1.305  -0.305 -1.122  -0.305 -0.940  -0.305 -0.757  -0.305 -0.575  -0.305 -0.393  -0.202 -0.253  -0.137 -0.098  -0.137 0.085  -0.137 0.267  -0.137 0.450  -0.137 0.632  -0.025 0.768  0.032 0.927  0.032 1.110  0.032 1.292  0.096 1.459  0.178 1.623  0.331 1.669  0.472 1.567  0.539 1.413  0.539 1.230  0.590 1.060  0.672 0.897  0.708 0.723  0.708 0.540  0.708 0.358  0.606 0.217  0.539 0.063  0.438 -0.019  0.370 -0.133  0.242 -0.188  0.060 -0.188  -0.123 -0.188  -0.137 -0.019
1c#app#app14#app1468/p  -0.401 0.769  -0.220 0.769  -0.214 0.593  -0.214 0.411  -0.214 0.229  -0.214 0.047  -0.214 -0.135  -0.214 -0.317  -0.214 -0.498  -0.310 -0.641  -0.401 -0.784  -0.401 -0.966  -0.401 -1.148  -0.436 -1.296  -0.589 -1.324  -0.589 -1.506  -0.572 -1.671  -0.401 -1.660  -0.401 -1.478  -0.401 -1.296  -0.401 -1.114  -0.277 -0.984  -0.214 -0.828  -0.214 -0.646  -0.214 -0.464  -0.161 -0.304  -0.032 -0.176  -0.026 0.004  -0.026 0.186  -0.026 0.367  -0.026 0.549  -0.026 0.731  0.076 0.871  0.162 1.017  0.200 1.183  0.329 1.312  0.349 1.485  0.497 1.520  0.537 1.378  0.537 1.196  0.667 1.144  0.725 1.020  0.725 0.838  0.725 0.656  0.725 0.474  0.725 0.293  0.657 0.139  0.525 0.018  0.343 0.018  0.162 0.018
1c#app#app14#app1468/o  -0.248 0.533  -0.248 0.697  -0.209 0.822  -0.045 0.822  0.040 0.900  0.040 1.064  0.158 1.110  0.322 1.110  0.485 1.110  0.617 1.078  0.617 0.914  0.688 0.822  0.852 0.822  0.906 0.711  0.906 0.548  0.906 0.384  0.906 0.220  0.906 0.056  0.906 -0.108  0.906 -0.272  0.832 -0.405  0.717 -0.521  0.601 -0.637  0.485 -0.753  0.369 -0.869  0.222 -0.909  0.058 -0.909  0.040 -1.055  0.019 -1.198  -0.145 -1.198  -0.309 -1.198  -0.473 -1.198  -0.637 -1.198  -0.800 -1.198  -0.825 -1.059  -0.825 -0.895  -0.825 -0.731  -0.825 -0.567  -0.825 -0.403  -0.825 -0.240  -0.825 -0.076  -0.825 0.088  -0.818 0.245  -0.655 0.245  -0.537 0.291  -0.537 0.455  -0.452 0.533  -0.288 0.533  -0.248 0.658  -0.248 0.822
1c#app#app14#app1468/r  -0.609 -1.166  -0.609 -1.252  -0.609 -1.338  -0.609 -1.424  -0.609 -1.390  -0.609 -1.304  -0.609 -1.218  -0.585 -1.142  -0.524 -1.081  -0.463 -1.021  -0.403 -0.960  -0.342 -0.899  -0.325 -0.820  -0.325 -0.734  -0.325 -0.648  -0.325 -0.562  -0.325 -0.476  -0.325 -0.390  -0.325 -0.304  -0.325 -0.218  -0.325 -0.132  -0.325 -0.046  -0.325 0.041  -0.325 0.127  -0.325 0.213  -0.294 0.286  -0.233 0.347  -0.172 0.408  -0.112 0.469  -0.051 0.529  -0.040 0.611  -0.040 0.697  -0.040 0.783  0.005 0.824  0.091 0.824  0.177 0.824  0.263 0.824  0.349 0.824  0.435 0.824  0.521 0.824  0.607 0.824  0.693 0.824  0.779 0.824  0.865 0.824  0.951 0.824  1.037 0.824  1.123 0.824  1.209 0.824  1.295 0.824  1.381 0.824
1c#app#app14#app1468/t  0.570 -0.515  0.423 -0.515  0.277 -0.515  0.130 -0.515  -0.017 -0.515  -0.163 -0.515  -0.310 -0.515  -0.457 -0.515  -0.437 -0.385  -0.401 -0.243  -0.366 -0.100  -0.330 0.042  -0.295 0.184  -0.259 0.327  -0.223 0.469  -0.188 0.612  -0.152 0.754  -0.117 0.896  -0.081 1.039  -0.045 1.181  -0.010 1.323  0.026 1.466  0.095 1.564  0.242 1.564  0.310 1.486  0.310 1.339  0.231 1.225  0.127 1.121  0.050 1.007  0.050 0.860  0.050 0.713  0.050 0.567  0.050 0.420  0.050 0.273  0.050 0.126  0.050 -0.020  0.050 -0.167  0.050 -0.314  0.050 -0.461  0.050 -0.607  0.050 -0.754  0.050 -0.901  0.050 -1.047  0.050 -1.194  0.050 -1.341  0.050 -1.488  0.050 -1.634  0.050 -1.781  0.050 -1.928  0.050 -2.074
1c#app#app14#app1468/u  -0.784 1.399  -0.784 1.295  -0.784 1.191  -0.784 1.087  -0.784 0.983  -0.784 0.879  -0.784 0.775  -0.784 0.670  -0.784 0.566  -0.784 0.462  -0.784 0.358  -0.784 0.254  -0.784 0.150  -0.784 0.046  -0.784 -0.058  -0.784 -0.162  -0.766 -0.259  -0.692 -0.333  -0.619 -0.406  -0.545 -0.480  -0.510 -0.570  -0.510 -0.674  -0.510 -0.778  -0.416 -0.788  -0.312 -0.788  -0.208 -0.788  -0.104 -0.788  -0.000 -0.788  0.104 -0.788  0.208 -0.788  0.312 -0.786  0.385 -0.713  0.459 -0.639  0.532 -0.566  0.606 -0.492  0.680 -0.418  0.753 -0.345  0.827 -0.271  0.857 -0.179  0.857 -0.075  0.857 0.029  0.928 0.103  1.002 0.177  1.075 0.251  1.130 0.332  1.130 0.436  1.130 0.540  1.195 0.579  1.299 0.579  1.404 0.579
1c#app#app14#app1468/n  -0.636 1.330  -0.636 1.176  -0.636 1.022  -0.636 0.868  -0.636 0.714  -0.636 0.560  -0.636 0.406  -0.636 0.252  -0.636 0.098  -0.687 -0.034  -0.796 -0.143  -0.905 -0.252  -1.014 -0.361  -1.003 -0.420  -0.849 -0.420  -0.695 -0.420  -0.636 -0.326  -0.636 -0.172  -0.636 -0.018  -0.517 0.017  -0.363 0.017  -0.209 0.017  -0.198 0.161  -0.198 0.315  -0.189 0.465  -0.080 0.573  0.029 0.682  0.138 0.791  0.250 0.892  0.404 0.892  0.558 0.892  0.677 0.857  0.677 0.703  0.677 0.550  0.677 0.396  0.677 0.242  0.677 0.088  0.677 -0.066  0.677 -0.220  0.677 -0.374  0.677 -0.528  0.677 -0.682  0.677 -0.836  0.677 -0.990  0.677 -1.144  0.679 -1.297  0.788 -1.406  0.896 -1.515  1.005 -1.624  1.114 -1.733
1c#app#app14#app1468/i  0.000 0.273  0.000 0.164  0.000 0.055  0.000 -0.055  0.000 -0.164  0.000 -0.273  0.000 -0.383  0.000 -0.492  0.000 -0.602  0.000 -0.711  0.000 -0.820  0.000 -0.930  0.000 -1.039  0.000 -1.148  0.000 -1.258  0.000 -1.367  0.000 -1.477  0.000 -1.440  0.000 -1.331  0.000 -1.221  0.000 -1.112  0.000 -1.003  0.000 -0.893  0.000 -0.784  0.000 -0.675  0.000 -0.565  0.000 -0.456  0.000 -0.346  0.000 -0.237  0.000 -0.128  0.000 -0.018  0.000 0.091  0.000 0.201  0.000 0.310  0.000 0.419  0.000 0.529  0.000 0.638  0.000 0.747  0.000 0.857  0.000 0.966  0.000 1.076  0.000 1.185  0.000 1.294  0.000 1.404  0.000 1.513  0.000 1.622  0.000 1.732  0.000 1.841  0.000 1.951  0.000 2.060
1c#app#app14#app1468/t  1.317 0.378  1.164 0.378  1.010 0.378  0.857 0.378  0.768 0.313  0.768 0.160  0.671 0.103  0.517 0.103  0.363 0.103  0.210 0.103  0.056 0.103  -0.098 0.103  -0.251 0.103  -0.405 0.103  -0.558 0.103  -0.568 0.201  -0.511 0.344  -0.454 0.486  -0.396 0.629  -0.339 0.772  -0.282 0.914  -0.225 1.057  -0.168 1.200  -0.111 1.342  -0.057 1.470  -0.057 1.316  -0.057 1.163  -0.057 1.009  -0.057 0.855  -0.057 0.702  -0.057 0.548  -0.057 0.395  -0.057 0.241  -0.057 0.087  -0.057 -0.066  -0.057 -0.220  -0.057 -0.374  -0.057 -0.527  -0.057 -0.681  -0.057 -0.834  -0.057 -0.988  -0.057 -1.142  -0.081 -1.271  -0.235 -1.271  -0.332 -1.328  -0.332 -1.481  -0.332 -1.635  -0.332 -1.789  -0.332 -1.942  -0.332 -2.096
1c#app#app14#app1468/y  -0.618 1.208  -0.618 1.070  -0.618 0.932  -0.618 0.794  -0.618 0.657  -0.589 0.526  -0.527 0.403  -0.466 0.279  -0.462 0.142  -0.383 0.038  -0.277 -0.039  -0.145 -0.029  -0.072 0.088  0.001 0.205  0.074 0.321  0.147 0.438  0.220 0.555  0.293 0.672  0.366 0.789  0.439 0.905  0.513 1.022  0.586 1.139  0.628 1.151  0.628 1.013  0.608 0.896  0.473 0.894  0.473 0.756  0.386 0.654  0.317 0.545  0.317 0.407  0.317 0.269  0.317 0.132  0.230 0.030  0.161 -0.079  0.161 -0.217  0.161 -0.355  0.161 -0.493  0.122 -0.624  0.078 -0.755  0.035 -0.886  -0.026 -1.005  -0.124 -1.103  -0.151 -1.230  -0.151 -1.367  -0.151 -1.505  -0.183 -1.629  -0.280 -1.727  -0.307 -1.854  -0.365 -1.967  -0.462 -2.065
