1d#apa#apa02#app0274/!  0.095 1.319  0.095 1.404  0.038 1.431  -0.017 1.461  -0.017 1.541  -0.017 1.456  -0.017 1.372  -0.017 1.287  -0.017 1.202  -0.017 1.118  -0.079 1.095  -0.129 1.060  -0.129 0.976  -0.129 0.891  -0.129 0.806  -0.129 0.722  -0.129 0.637  -0.129 0.552  -0.129 0.468  -0.129 0.383  -0.129 0.298  -0.129 0.214  -0.129 0.129  -0.129 0.044  -0.129 -0.040  -0.129 -0.125  -0.058 -0.139  -0.017 -0.182  -0.017 -0.267  -0.017 -0.351  -0.017 -0.436  0.029 -0.475  0.095 -0.493  0.095 -0.578  0.095 -0.663  0.095 -0.747  0.095 -0.832  0.095 -0.916  0.095 -1.001  0.095 -1.086  0.095 -1.170  0.095 -1.255  0.095 -1.340  0.095 -1.424  0.120 -1.484  0.205 -1.484  0.207 -1.402  0.152 -1.372  0.095 -1.344  0.095 -1.260
1d#apa#apa02#app0274/~  -1.098 -0.544  -1.182 -0.460  -1.266 -0.376  -1.329 -0.283  -1.329 -0.164  -1.329 -0.046  -1.329 0.073  -1.284 0.147  -1.166 0.147  -1.098 0.199  -1.098 0.317  -1.040 0.378  -0.922 0.378  -0.803 0.378  -0.684 0.378  -0.566 0.378  -0.447 0.378  -0.407 0.299  -0.407 0.180  -0.321 0.147  -0.203 0.147  -0.177 0.054  -0.177 -0.064  -0.177 -0.183  -0.177 -0.302  -0.070 -0.313  0.049 -0.313  0.053 -0.427  0.056 -0.544  0.174 -0.544  0.293 -0.544  0.412 -0.544  0.530 -0.544  0.649 -0.544  0.761 -0.527  0.845 -0.443  0.928 -0.359  1.012 -0.275  1.096 -0.192  1.180 -0.108  1.205 0.001  1.205 0.119  1.205 0.238  1.205 0.357  1.205 0.475  1.205 0.594  1.205 0.713  1.205 0.831  1.205 0.727  1.205 0.608
1d#apa#apa02#app0274/  -1.436 -0.510  -1.357 -0.510  -1.277 -0.510  -1.198 -0.510  -1.118 -0.510  -1.112 -0.437  -1.112 -0.357  -1.112 -0.278  -1.112 -0.199  -1.046 -0.185  -0.966 -0.185  -0.887 -0.185  -0.807 -0.185  -0.788 -0.126  -0.788 -0.046  -0.788 0.033  -0.788 0.113  -0.735 0.139  -0.655 0.139  -0.576 0.139  -0.496 0.139  -0.417 0.139  -0.338 0.139  -0.258 0.139  -0.179 0.139  -0.099 0.139  -0.020 0.139  0.060 0.139  0.139 0.139  0.218 0.139  0.298 0.139  0.377 0.139  0.457 0.139  0.536 0.139  0.615 0.139  0.695 0.139  0.774 0.139  0.854 0.139  0.933 0.139  1.013 0.139  1.092 0.139  1.171 0.139  1.251 0.139  1.330 0.139  1.410 0.139  1.489 0.139  1.568 0.139  1.648 0.139  1.727 0.139  1.807 0.139
1d#apa#apa02#app0274/_  -1.557 -0.161  -1.557 -0.090  -1.557 -0.019  -1.518 0.012  -1.448 0.012  -1.377 0.012  -1.306 0.012  -1.236 0.012  -1.165 0.012  -1.095 0.012  -1.024 0.012  -0.953 0.012  -0.883 0.012  -0.812 0.012  -0.741 0.012  -0.671 0.012  -0.600 0.012  -0.530 0.012  -0.459 0.012  -0.388 0.012  -0.318 0.012  -0.247 0.012  -0.177 0.012  -0.106 0.012  -0.035 0.012  0.035 0.012  0.106 0.012  0.177 0.012  0.247 0.012  0.318 0.012  0.388 0.012  0.459 0.012  0.530 0.012  0.600 0.012  0.671 0.012  0.741 0.012  0.812 0.012  0.883 0.012  0.953 0.012  1.024 0.012  1.095 0.012  1.165 0.012  1.236 0.012  1.306 0.012  1.377 0.012  1.448 0.012  1.518 0.012  1.557 -0.019  1.557 -0.090  1.557 -0.161
1d#apa#apa02#app0274/+  0.162 1.738  0.162 1.559  0.162 1.381  0.162 1.203  0.162 1.024  0.333 1.016  0.343 0.848  0.343 0.669  0.343 0.491  0.343 0.313  0.343 0.134  0.231 0.002  0.162 -0.148  0.162 -0.326  0.162 -0.505  0.162 -0.683  0.162 -0.861  0.162 -1.040  0.162 -1.218  0.112 -1.284  -0.022 -1.166  -0.155 -1.047  -0.288 -0.929  -0.422 -0.810  -0.555 -0.691  -0.688 -0.573  -0.822 -0.454  -0.955 -0.336  -1.088 -0.217  -1.222 -0.099  -1.355 0.020  -1.425 0.114  -1.247 0.114  -1.069 0.114  -0.890 0.114  -0.712 0.114  -0.533 0.114  -0.355 0.114  -0.177 0.114  0.002 0.114  0.180 0.114  0.359 0.114  0.537 0.114  0.715 0.114  0.894 0.114  1.072 0.114  1.251 0.114  1.429 0.114  1.605 0.112  1.605 -0.066
1d#apa#apa02#app0274/=  -0.876 1.132  -0.735 1.132  -0.594 1.132  -0.452 1.132  -0.311 1.132  -0.169 1.132  -0.028 1.132  0.114 1.132  0.255 1.132  0.397 1.132  0.538 1.132  0.653 1.067  0.753 0.967  0.771 0.834  0.716 0.717  0.611 0.622  0.506 0.527  0.400 0.433  0.295 0.338  0.190 0.243  0.085 0.149  -0.020 0.054  -0.125 -0.040  -0.230 -0.135  -0.336 -0.230  -0.441 -0.324  -0.546 -0.419  -0.651 -0.514  -0.756 -0.608  -0.861 -0.703  -0.966 -0.797  -1.043 -0.881  -0.902 -0.881  -0.760 -0.881  -0.619 -0.881  -0.477 -0.881  -0.336 -0.881  -0.327 -0.748  -0.236 -0.698  -0.095 -0.698  0.047 -0.698  0.188 -0.698  0.330 -0.698  0.471 -0.698  0.613 -0.698  0.754 -0.698  0.896 -0.698  1.037 -0.698  1.137 -0.740  1.137 -0.881
1d#apa#apa02#app0274/[  0.479 1.260  0.479 1.177  0.479 1.250  0.406 1.260  0.322 1.260  0.239 1.260  0.156 1.260  0.088 1.222  0.025 1.172  -0.058 1.172  -0.141 1.170  -0.200 1.111  -0.228 1.040  -0.228 0.956  -0.204 0.883  -0.145 0.824  -0.139 0.743  -0.139 0.659  -0.139 0.576  -0.139 0.492  -0.139 0.409  -0.139 0.325  -0.139 0.242  -0.139 0.159  -0.139 0.075  -0.139 -0.008  -0.139 -0.092  -0.139 -0.175  -0.139 -0.258  -0.139 -0.342  -0.139 -0.425  -0.139 -0.509  -0.139 -0.592  -0.139 -0.675  -0.139 -0.759  -0.139 -0.842  -0.139 -0.926  -0.139 -1.009  -0.139 -1.092  -0.139 -1.176  -0.139 -1.259  -0.100 -1.303  -0.016 -1.303  0.067 -1.303  0.151 -1.303  0.234 -1.303  0.317 -1.303  0.401 -1.303  0.479 -1.308  0.479 -1.391
1d#apa#apa02#app0274/]  -0.490 1.284  -0.410 1.284  -0.330 1.284  -0.251 1.284  -0.171 1.284  -0.091 1.284  -0.012 1.284  0.068 1.284  0.148 1.284  0.170 1.226  0.170 1.147  0.170 1.067  0.170 0.987  0.170 0.908  0.115 0.851  0.076 0.788  0.076 0.708  0.076 0.628  0.076 0.549  0.076 0.469  0.076 0.389  0.076 0.310  0.076 0.230  0.076 0.150  0.076 0.071  0.076 -0.009  0.076 -0.088  0.076 -0.168  0.076 -0.248  0.076 -0.327  0.076 -0.407  0.076 -0.487  0.076 -0.566  0.076 -0.646  0.076 -0.726  0.076 -0.805  0.076 -0.885  0.076 -0.965  0.076 -1.044  0.076 -1.124  0.039 -1.166  -0.018 -1.189  -0.018 -1.269  -0.018 -1.348  -0.091 -1.355  -0.113 -1.413  -0.156 -1.449  -0.236 -1.449  -0.316 -1.449  -0.395 -1.449
1d#apa#apa02#app0274/{  0.239 1.392  0.315 1.392  0.326 1.392  0.249 1.392  0.239 1.326  0.216 1.272  0.140 1.272  0.119 1.217  0.119 1.140  0.119 1.064  0.074 1.032  -0.001 1.031  -0.001 0.954  -0.001 0.878  -0.001 0.802  -0.048 0.745  -0.102 0.691  -0.120 0.622  -0.120 0.546  -0.120 0.469  -0.120 0.393  -0.120 0.316  -0.120 0.240  -0.120 0.164  -0.120 0.087  -0.120 0.011  -0.120 -0.066  -0.120 -0.142  -0.120 -0.218  -0.120 -0.295  -0.120 -0.371  -0.120 -0.447  -0.120 -0.524  -0.120 -0.600  -0.120 -0.677  -0.120 -0.753  -0.120 -0.829  -0.105 -0.900  -0.051 -0.954  -0.001 -1.009  -0.001 -1.085  -0.001 -1.162  -0.001 -1.238  -0.001 -1.315  0.018 -1.383  0.073 -1.437  0.119 -1.494  0.119 -1.571  0.119 -1.647  0.119 -1.723
1d#apa#apa02#app0274/}  -0.309 1.564  -0.309 1.484  -0.252 1.461  -0.206 1.427  -0.195 1.357  -0.114 1.357  -0.102 1.289  -0.102 1.208  -0.087 1.134  -0.030 1.078  0.001 1.010  0.015 0.943  0.095 0.943  0.105 0.872  0.105 0.792  0.105 0.711  0.105 0.631  0.105 0.550  0.146 0.487  0.203 0.430  0.208 0.352  0.208 0.272  0.208 0.191  0.208 0.111  0.208 0.030  0.208 -0.050  0.208 -0.130  0.208 -0.211  0.208 -0.291  0.208 -0.372  0.208 -0.452  0.182 -0.506  0.105 -0.509  0.105 -0.590  0.105 -0.670  0.105 -0.751  0.094 -0.827  0.037 -0.884  0.001 -0.949  -0.003 -1.028  -0.060 -1.085  -0.117 -1.142  -0.174 -1.198  -0.206 -1.265  -0.206 -1.346  -0.206 -1.426  -0.275 -1.438  -0.309 -1.484  -0.332 -1.541  -0.413 -1.541
1d#apa#apa02#app0274/\\  -0.922 1.384  -0.848 1.384  -0.805 1.352  -0.805 1.278  -0.760 1.222  -0.707 1.169  -0.655 1.117  -0.602 1.064  -0.549 1.011  -0.497 0.959  -0.455 0.902  -0.455 0.827  -0.421 0.766  -0.369 0.714  -0.324 0.655  -0.291 0.589  -0.257 0.522  -0.224 0.456  -0.221 0.382  -0.203 0.315  -0.151 0.262  -0.104 0.207  -0.104 0.132  -0.076 0.070  -0.023 0.017  0.013 -0.043  0.013 -0.117  0.052 -0.175  0.105 -0.228  0.130 -0.292  0.130 -0.367  0.180 -0.420  0.233 -0.473  0.247 -0.541  0.256 -0.612  0.308 -0.665  0.361 -0.718  0.414 -0.770  0.466 -0.823  0.519 -0.876  0.572 -0.928  0.624 -0.981  0.677 -1.034  0.715 -1.092  0.715 -1.167  0.768 -1.189  0.832 -1.199  0.832 -1.273  0.832 -1.348  0.832 -1.422
1d#apa#apa02#app0274/,  -0.351 1.683  -0.292 1.624  -0.232 1.564  -0.173 1.505  -0.113 1.445  -0.054 1.386  -0.014 1.318  -0.014 1.233  -0.014 1.149  -0.014 1.065  -0.014 0.981  -0.014 0.897  -0.014 0.813  -0.014 0.729  0.006 0.653  0.065 0.593  0.125 0.534  0.184 0.474  0.244 0.415  0.303 0.355  0.322 0.279  0.322 0.195  0.322 0.111  0.322 0.027  0.322 -0.058  0.322 -0.142  0.322 -0.226  0.322 -0.310  0.266 -0.338  0.182 -0.338  0.098 -0.338  0.014 -0.338  -0.014 -0.394  -0.014 -0.478  -0.014 -0.562  -0.014 -0.646  -0.014 -0.731  -0.014 -0.815  -0.014 -0.899  -0.014 -0.983  -0.054 -1.051  -0.113 -1.110  -0.173 -1.170  -0.232 -1.229  -0.292 -1.289  -0.351 -1.348  -0.351 -1.433  -0.351 -1.517  -0.351 -1.601  -0.351 -1.685
1d#apa#apa02#app0274/  0.833 1.166  0.833 1.246  0.833 1.251  0.833 1.171  0.759 1.166  0.711 1.134  0.711 1.055  0.642 1.044  0.589 1.018  0.589 0.938  0.589 0.858  0.574 0.785  0.518 0.729  0.462 0.673  0.406 0.616  0.349 0.560  0.271 0.556  0.224 0.525  0.224 0.445  0.224 0.365  0.205 0.294  0.149 0.237  0.102 0.177  0.102 0.098  0.051 0.069  -0.024 0.061  -0.059 -0.010  -0.095 -0.081  -0.131 -0.152  -0.142 -0.229  -0.150 -0.305  -0.206 -0.361  -0.263 -0.418  -0.319 -0.474  -0.375 -0.530  -0.431 -0.586  -0.488 -0.643  -0.508 -0.714  -0.514 -0.791  -0.570 -0.847  -0.626 -0.903  -0.630 -0.981  -0.653 -1.052  -0.709 -1.108  -0.752 -1.170  -0.752 -1.249  -0.791 -1.312  -0.848 -1.369  -0.874 -1.437  -0.874 -1.517
1d#apa#apa02#app0274/?  -0.443 1.127  -0.440 1.217  -0.347 1.217  -0.253 1.217  -0.160 1.217  -0.067 1.217  0.021 1.205  0.087 1.139  0.175 1.127  0.268 1.127  0.280 1.045  0.364 1.036  0.370 0.949  0.460 0.946  0.461 0.853  0.461 0.760  0.455 0.669  0.389 0.603  0.323 0.537  0.280 0.462  0.255 0.379  0.189 0.313  0.124 0.247  0.040 0.223  0.009 0.161  -0.037 0.087  -0.103 0.021  -0.168 -0.045  -0.234 -0.110  -0.300 -0.176  -0.352 -0.248  -0.352 -0.341  -0.334 -0.427  -0.268 -0.493  -0.262 -0.583  -0.239 -0.673  -0.215 -0.763  -0.190 -0.853  -0.166 -0.943  -0.141 -1.033  -0.116 -1.123  -0.092 -1.213  -0.067 -1.302  -0.043 -1.392  -0.018 -1.482  0.006 -1.572  0.091 -1.583  0.099 -1.668  0.099 -1.586  0.099 -1.493
1d#apa#apa02#app0274/'  0.560 1.389  0.485 1.389  0.411 1.389  0.336 1.389  0.261 1.389  0.186 1.389  0.171 1.329  0.171 1.254  0.171 1.179  0.171 1.104  0.171 1.029  0.171 0.955  0.171 0.880  0.171 0.805  0.171 0.730  0.171 0.655  0.171 0.580  0.171 0.505  0.171 0.430  0.171 0.355  0.171 0.281  0.161 0.210  0.108 0.157  0.055 0.104  0.002 0.051  -0.051 -0.002  -0.104 -0.055  -0.157 -0.108  -0.210 -0.161  -0.219 -0.232  -0.219 -0.307  -0.219 -0.382  -0.219 -0.457  -0.219 -0.532  -0.219 -0.606  -0.219 -0.681  -0.219 -0.756  -0.219 -0.831  -0.219 -0.906  -0.219 -0.981  -0.219 -1.056  -0.219 -1.131  -0.219 -1.206  -0.219 -1.280  -0.219 -1.355  -0.219 -1.430  -0.219 -1.505  -0.219 -1.580  -0.219 -1.655  -0.219 -1.730
1d#apa#apa02#app0274/\"  -0.357 1.344  -0.357 1.178  -0.357 1.012  -0.357 0.846  -0.357 0.680  -0.441 0.549  -0.559 0.431  -0.676 0.314  -0.712 0.163  -0.712 -0.003  -0.712 -0.169  -0.712 -0.335  -0.781 -0.433  -0.947 -0.433  -1.067 -0.478  -1.067 -0.644  -1.067 -0.810  -1.067 -0.976  -1.067 -1.143  -0.951 -1.026  -0.833 -0.909  -0.716 -0.792  -0.598 -0.674  -0.481 -0.557  -0.363 -0.439  -0.246 -0.322  -0.129 -0.204  -0.011 -0.087  0.106 0.030  0.224 0.148  0.341 0.265  0.459 0.383  0.576 0.500  0.693 0.618  0.811 0.735  0.928 0.852  1.046 0.970  1.065 0.850  1.065 0.684  1.065 0.517  1.065 0.351  1.065 0.185  1.065 0.019  1.065 -0.147  1.065 -0.313  1.018 -0.433  0.852 -0.433  0.709 -0.456  0.709 -0.622  0.709 -0.788
1d#apa#apa02#app0274/<  0.813 1.280  0.911 1.280  0.813 1.274  0.804 1.178  0.700 1.178  0.610 1.163  0.592 1.077  0.488 1.077  0.408 1.053  0.381 0.976  0.307 0.946  0.283 0.851  0.210 0.777  0.136 0.704  0.045 0.672  -0.041 0.628  -0.115 0.554  -0.189 0.480  -0.200 0.381  -0.292 0.368  -0.368 0.301  -0.458 0.267  -0.504 0.208  -0.547 0.122  -0.628 0.064  -0.706 0.038  -0.727 -0.057  -0.800 -0.131  -0.808 -0.233  -0.808 -0.337  -0.708 -0.341  -0.633 -0.414  -0.541 -0.442  -0.504 -0.509  -0.434 -0.544  -0.351 -0.595  -0.277 -0.669  -0.203 -0.743  -0.130 -0.816  -0.044 -0.875  0.049 -0.921  0.134 -0.979  0.205 -1.054  0.212 -1.151  0.313 -1.158  0.387 -1.232  0.461 -1.306  0.535 -1.379  0.608 -1.453  0.610 -1.556
1d#apa#apa02#app0274/|  0.132 1.698  0.132 1.627  0.132 1.556  0.132 1.486  0.132 1.415  0.132 1.344  0.132 1.274  0.132 1.203  0.132 1.132  0.132 1.061  0.132 0.991  0.122 0.921  0.100 0.854  0.077 0.787  0.055 0.720  0.032 0.653  0.026 0.583  0.026 0.513  0.026 0.442  0.026 0.371  0.026 0.300  0.026 0.230  0.026 0.159  0.016 0.092  -0.034 0.042  -0.080 -0.009  -0.080 -0.080  -0.080 -0.151  -0.080 -0.222  -0.080 -0.292  -0.080 -0.363  -0.080 -0.434  -0.080 -0.504  -0.080 -0.575  -0.080 -0.646  -0.080 -0.717  -0.080 -0.787  -0.080 -0.858  -0.080 -0.929  -0.080 -1.000  -0.080 -1.070  -0.080 -1.141  -0.080 -1.212  -0.080 -1.283  -0.080 -1.353  -0.080 -1.424  -0.080 -1.495  -0.080 -1.566  -0.080 -1.636  -0.080 -1.707
1d#apa#apa02#app0274/>  -0.666 1.259  -0.593 1.332  -0.551 1.332  -0.520 1.259  -0.422 1.246  -0.349 1.173  -0.319 1.082  -0.270 1.028  -0.204 0.991  -0.179 0.913  -0.088 0.900  -0.088 0.797  0.015 0.797  0.027 0.706  0.106 0.682  0.190 0.634  0.263 0.561  0.336 0.488  0.424 0.451  0.489 0.413  0.515 0.335  0.605 0.322  0.606 0.220  0.709 0.220  0.720 0.128  0.720 0.024  0.720 -0.079  0.665 -0.127  0.605 -0.170  0.574 -0.243  0.476 -0.256  0.403 -0.329  0.330 -0.402  0.257 -0.475  0.184 -0.548  0.111 -0.621  0.038 -0.694  -0.035 -0.767  -0.108 -0.840  -0.181 -0.913  -0.254 -0.986  -0.327 -1.059  -0.400 -1.132  -0.489 -1.167  -0.551 -1.208  -0.571 -1.303  -0.644 -1.376  -0.717 -1.449  -0.782 -1.526  -0.782 -1.629
