2#tos#f1#f1042059/!  0.145 1.581  0.075 1.581  0.050 1.535  0.029 1.486  0.002 1.442  0.002 1.372  0.002 1.302  0.002 1.232  0.002 1.161  0.002 1.091  0.002 1.021  0.002 0.951  0.002 0.880  0.002 0.810  0.002 0.740  0.002 0.670  0.002 0.599  0.002 0.529  0.002 0.459  0.002 0.389  0.002 0.319  0.002 0.248  0.002 0.178  0.002 0.108  0.002 0.038  0.002 -0.033  0.002 -0.103  0.002 -0.173  0.002 -0.243  0.002 -0.314  0.002 -0.384  0.002 -0.454  0.002 -0.524  0.002 -0.595  0.002 -0.665  0.002 -0.735  0.002 -0.805  0.002 -0.875  0.002 -0.946  0.002 -1.016  0.002 -1.086  -0.018 -1.148  -0.045 -1.207  -0.045 -1.277  -0.045 -1.347  -0.045 -1.418  -0.045 -1.488  -0.045 -1.558  -0.045 -1.628  -0.045 -1.699
2#tos#f1#f1042059/?  -0.316 0.914  -0.423 0.914  -0.445 0.827  -0.510 0.784  -0.531 0.871  -0.552 0.914  -0.462 0.957  -0.359 0.985  -0.272 1.044  -0.207 1.086  -0.099 1.086  0.009 1.086  0.117 1.086  0.225 1.086  0.289 1.043  0.374 1.020  0.417 0.955  0.460 0.865  0.479 0.765  0.503 0.667  0.503 0.560  0.503 0.452  0.503 0.344  0.503 0.236  0.417 0.181  0.417 0.074  0.340 0.013  0.271 -0.067  0.198 -0.124  0.122 -0.200  0.104 -0.297  0.001 -0.331  -0.057 -0.410  -0.150 -0.429  -0.226 -0.505  -0.229 -0.611  -0.193 -0.711  -0.136 -0.767  -0.072 -0.810  -0.068 -0.902  -0.081 -1.010  -0.093 -1.117  -0.106 -1.224  -0.118 -1.331  -0.131 -1.438  -0.143 -1.545  -0.143 -1.653  -0.206 -1.735  -0.241 -1.758  -0.186 -1.844
2#tos#f1#f1042059/@  0.133 0.331  0.044 0.504  -0.078 0.645  -0.192 0.576  -0.315 0.391  -0.404 0.176  -0.404 -0.087  -0.404 -0.349  -0.339 -0.585  -0.087 -0.610  0.144 -0.524  0.332 -0.371  0.402 -0.120  0.442 0.136  0.447 0.398  0.447 0.449  0.402 0.232  0.402 -0.031  0.492 -0.264  0.614 -0.430  0.874 -0.418  0.944 -0.197  1.001 0.052  1.029 0.308  0.984 0.560  0.984 0.822  0.805 1.010  0.662 1.182  0.418 1.227  0.155 1.227  -0.107 1.227  -0.329 1.117  -0.588 1.092  -0.747 0.943  -0.894 0.739  -0.956 0.505  -1.076 0.330  -1.076 0.067  -1.037 -0.189  -0.992 -0.447  -0.897 -0.619  -0.804 -0.789  -0.673 -0.955  -0.538 -1.120  -0.401 -1.285  -0.245 -1.416  0.018 -1.416  0.280 -1.416  0.498 -1.371  0.626 -1.237
2#tos#f1#f1042059/[  -0.050 0.993  -0.069 0.902  -0.173 0.881  -0.259 0.862  -0.152 0.862  -0.046 0.862  0.061 0.862  0.168 0.862  0.275 0.862  0.382 0.862  0.488 0.862  0.595 0.862  0.687 0.863  0.581 0.877  0.475 0.891  0.369 0.905  0.263 0.919  0.158 0.933  0.052 0.947  -0.037 0.905  -0.094 0.855  -0.112 0.756  -0.137 0.660  -0.138 0.553  -0.181 0.457  -0.181 0.350  -0.181 0.243  -0.181 0.136  -0.181 0.030  -0.181 -0.077  -0.181 -0.184  -0.181 -0.291  -0.181 -0.397  -0.181 -0.504  -0.181 -0.611  -0.222 -0.708  -0.225 -0.814  -0.225 -0.921  -0.225 -1.028  -0.225 -1.134  -0.225 -1.241  -0.225 -1.348  -0.225 -1.455  -0.225 -1.561  -0.146 -1.589  -0.039 -1.589  0.068 -1.589  0.174 -1.589  0.281 -1.589  0.388 -1.589
2#tos#f1#f1042059/]  -0.328 1.361  -0.412 1.361  -0.455 1.320  -0.415 1.276  -0.376 1.203  -0.300 1.192  -0.216 1.192  -0.133 1.192  -0.057 1.173  0.017 1.150  0.101 1.150  0.177 1.143  0.177 1.059  0.177 0.976  0.177 0.892  0.177 0.809  0.177 0.725  0.177 0.641  0.176 0.558  0.139 0.483  0.135 0.401  0.135 0.317  0.135 0.234  0.135 0.150  0.135 0.067  0.135 -0.017  0.135 -0.101  0.135 -0.184  0.135 -0.268  0.135 -0.351  0.135 -0.435  0.135 -0.518  0.118 -0.595  0.059 -0.654  0.051 -0.734  0.051 -0.818  0.051 -0.901  0.063 -0.982  0.093 -1.058  0.093 -1.142  0.093 -1.226  0.093 -1.309  0.120 -1.336  0.037 -1.336  -0.047 -1.336  -0.130 -1.336  -0.214 -1.336  -0.298 -1.336  -0.380 -1.340  -0.455 -1.378
2#tos#f1#f1042059/^  -1.149 -0.290  -1.189 -0.408  -1.228 -0.525  -1.220 -0.567  -1.149 -0.473  -1.112 -0.368  -1.009 -0.299  -0.906 -0.231  -0.840 -0.142  -0.840 -0.018  -0.753 0.020  -0.688 0.116  -0.632 0.227  -0.508 0.227  -0.426 0.269  -0.426 0.393  -0.426 0.517  -0.425 0.641  -0.314 0.696  -0.220 0.762  -0.220 0.886  -0.220 1.010  -0.138 1.053  -0.014 1.053  0.090 1.033  0.090 0.909  0.090 0.785  0.090 0.661  0.193 0.640  0.318 0.640  0.413 0.600  0.453 0.483  0.492 0.365  0.543 0.252  0.598 0.141  0.607 0.019  0.607 -0.106  0.607 -0.230  0.635 -0.347  0.691 -0.458  0.710 -0.578  0.710 -0.702  0.813 -0.771  0.916 -0.840  1.019 -0.909  1.020 -1.033  1.020 -1.157  1.082 -1.220  1.123 -1.302  1.123 -1.426
2#tos#f1#f1042059/_  -0.949 0.237  -1.029 0.237  -1.108 0.237  -1.162 0.212  -1.162 0.132  -1.162 0.053  -1.213 0.024  -1.293 0.024  -1.372 0.024  -1.299 0.024  -1.219 0.024  -1.140 0.024  -1.060 0.024  -0.981 0.024  -0.901 0.024  -0.822 0.024  -0.742 0.024  -0.663 0.024  -0.583 0.024  -0.510 0.011  -0.453 -0.046  -0.389 -0.082  -0.310 -0.082  -0.230 -0.082  -0.151 -0.082  -0.071 -0.082  0.008 -0.082  0.088 -0.082  0.167 -0.082  0.247 -0.082  0.326 -0.082  0.406 -0.082  0.485 -0.082  0.565 -0.082  0.644 -0.082  0.724 -0.082  0.803 -0.082  0.882 -0.082  0.962 -0.082  1.038 -0.059  1.113 -0.033  1.188 -0.008  1.264 0.017  1.342 0.024  1.421 0.024  1.501 0.024  1.580 0.024  1.660 0.024  1.739 0.024  1.819 0.024
2#tos#f1#f1042059/`  -0.181 1.506  -0.181 1.427  -0.181 1.347  -0.228 1.297  -0.299 1.261  -0.370 1.226  -0.441 1.191  -0.512 1.155  -0.552 1.101  -0.552 1.021  -0.552 0.942  -0.552 0.863  -0.552 0.783  -0.552 0.704  -0.552 0.624  -0.529 0.555  -0.473 0.499  -0.416 0.442  -0.366 0.384  -0.366 0.304  -0.366 0.225  -0.323 0.164  -0.267 0.108  -0.211 0.051  -0.155 -0.005  -0.099 -0.061  -0.043 -0.117  0.016 -0.170  0.087 -0.205  0.158 -0.241  0.229 -0.276  0.300 -0.312  0.371 -0.347  0.376 -0.423  0.376 -0.503  0.397 -0.577  0.432 -0.648  0.468 -0.719  0.503 -0.790  0.539 -0.861  0.562 -0.935  0.562 -1.014  0.562 -1.094  0.562 -1.173  0.562 -1.253  0.562 -1.332  0.562 -1.411  0.562 -1.491  0.562 -1.570  0.562 -1.649
2#tos#f1#f1042059/{  0.554 1.603  0.468 1.528  0.350 1.528  0.254 1.507  0.206 1.416  0.088 1.416  0.066 1.320  0.003 1.265  -0.009 1.160  -0.082 1.115  -0.122 1.037  -0.084 0.957  -0.071 0.852  -0.029 0.777  0.066 0.725  0.066 0.608  0.094 0.497  0.104 0.381  0.059 0.274  -0.013 0.202  -0.051 0.091  -0.129 0.026  -0.234 -0.015  -0.261 -0.128  -0.354 -0.162  -0.472 -0.162  -0.589 -0.162  -0.550 -0.200  -0.433 -0.200  -0.315 -0.200  -0.197 -0.200  -0.080 -0.200  -0.009 -0.246  -0.009 -0.364  -0.009 -0.482  -0.009 -0.599  -0.009 -0.717  -0.047 -0.819  -0.063 -0.930  -0.122 -1.023  -0.122 -1.141  -0.122 -1.259  -0.086 -1.362  0.030 -1.364  0.124 -1.404  0.219 -1.439  0.337 -1.439  0.446 -1.411  0.517 -1.331  0.630 -1.326
2#tos#f1#f1042059/|  0.205 1.538  0.135 1.538  0.064 1.538  0.013 1.519  0.013 1.448  0.013 1.378  0.013 1.307  0.013 1.236  0.013 1.166  0.013 1.095  0.013 1.025  0.013 0.954  0.013 0.884  0.013 0.813  0.013 0.743  0.013 0.672  0.013 0.601  0.013 0.531  0.013 0.460  0.013 0.390  0.013 0.319  0.013 0.249  0.013 0.178  0.013 0.107  0.013 0.037  0.013 -0.034  0.013 -0.104  0.013 -0.175  0.013 -0.245  0.013 -0.316  0.013 -0.386  0.013 -0.457  0.013 -0.528  0.013 -0.598  0.013 -0.669  0.013 -0.739  0.013 -0.810  -0.001 -0.879  -0.019 -0.947  -0.036 -1.016  -0.084 -1.066  -0.084 -1.137  -0.084 -1.207  -0.084 -1.278  -0.084 -1.348  -0.084 -1.419  -0.084 -1.490  -0.084 -1.560  -0.067 -1.627  -0.036 -1.690
2#tos#f1#f1042059/}  -0.439 1.476  -0.486 1.476  -0.380 1.476  -0.274 1.476  -0.168 1.476  -0.069 1.444  0.020 1.400  0.097 1.349  0.099 1.243  0.135 1.145  0.135 1.039  0.129 0.940  0.097 0.866  0.059 0.775  0.059 0.669  0.021 0.602  0.021 0.495  0.021 0.389  0.021 0.283  0.045 0.188  0.097 0.125  0.137 0.059  0.243 0.059  0.337 0.039  0.323 -0.018  0.217 -0.018  0.111 -0.018  0.010 -0.042  -0.050 -0.110  -0.133 -0.151  -0.133 -0.257  -0.094 -0.325  -0.056 -0.393  -0.056 -0.499  -0.056 -0.605  0.001 -0.687  0.072 -0.745  0.122 -0.822  0.135 -0.914  0.174 -1.005  0.174 -1.111  0.174 -1.217  0.174 -1.323  0.103 -1.358  0.042 -1.413  -0.040 -1.473  -0.140 -1.496  -0.243 -1.511  -0.349 -1.511  -0.439 -1.473
2#tos#f1#f1042059/~  -1.266 -0.128  -1.376 -0.128  -1.382 -0.233  -1.424 -0.301  -1.370 -0.267  -1.335 -0.162  -1.307 -0.070  -1.203 -0.060  -1.154 0.039  -1.078 0.118  -1.000 0.196  -0.977 0.297  -0.904 0.334  -0.797 0.341  -0.719 0.419  -0.626 0.458  -0.577 0.557  -0.472 0.566  -0.362 0.566  -0.284 0.533  -0.207 0.489  -0.168 0.395  -0.168 0.284  -0.066 0.277  -0.013 0.219  0.005 0.127  0.005 0.017  0.073 -0.057  0.165 -0.119  0.208 -0.217  0.251 -0.316  0.341 -0.375  0.446 -0.410  0.497 -0.475  0.600 -0.492  0.694 -0.532  0.799 -0.499  0.905 -0.475  1.012 -0.462  1.103 -0.408  1.107 -0.301  1.161 -0.245  1.212 -0.186  1.322 -0.186  1.334 -0.088  1.334 0.022  1.334 0.133  1.359 0.219  1.461 0.253  1.508 0.334
2#tos#f1#f1042059/1  -0.194 0.933  -0.279 0.933  -0.345 0.886  -0.326 0.828  -0.298 0.885  -0.261 0.933  -0.246 1.003  -0.246 1.088  -0.163 1.089  -0.089 1.101  -0.089 1.186  -0.021 1.228  0.060 1.246  0.067 1.169  0.067 1.084  0.067 0.999  0.067 0.914  0.067 0.829  0.067 0.744  0.067 0.659  0.067 0.574  0.067 0.489  0.067 0.404  0.067 0.319  0.067 0.234  0.067 0.149  0.067 0.064  0.067 -0.021  0.067 -0.106  0.067 -0.191  0.067 -0.276  0.067 -0.360  0.067 -0.445  0.067 -0.530  0.067 -0.615  0.067 -0.700  0.067 -0.785  0.067 -0.870  0.067 -0.955  0.067 -1.040  0.067 -1.125  0.067 -1.210  0.067 -1.295  0.067 -1.380  0.067 -1.465  0.067 -1.550  0.067 -1.635  0.067 -1.720  0.067 -1.805  0.067 -1.890
2#tos#f1#f1042059/2  -0.637 0.990  -0.729 0.929  -0.863 0.899  -0.817 0.901  -0.740 1.017  -0.613 1.058  -0.476 1.080  -0.337 1.080  -0.198 1.080  -0.059 1.080  0.079 1.080  0.218 1.080  0.357 1.080  0.496 1.080  0.544 0.986  0.663 0.915  0.764 0.833  0.764 0.695  0.764 0.556  0.764 0.417  0.647 0.363  0.544 0.272  0.480 0.149  0.407 0.031  0.324 -0.080  0.228 -0.180  0.137 -0.284  0.053 -0.395  -0.075 -0.435  -0.200 -0.479  -0.277 -0.595  -0.354 -0.710  -0.468 -0.785  -0.566 -0.883  -0.649 -0.955  -0.786 -0.961  -0.856 -0.955  -0.717 -0.955  -0.578 -0.955  -0.441 -0.942  -0.304 -0.915  -0.166 -0.909  -0.027 -0.909  0.112 -0.909  0.251 -0.909  0.390 -0.909  0.529 -0.909  0.667 -0.909  0.806 -0.909  0.945 -0.909
2#tos#f1#f1042059/3  -0.577 1.239  -0.681 1.209  -0.673 1.187  -0.540 1.187  -0.407 1.187  -0.275 1.187  -0.142 1.187  -0.038 1.141  0.060 1.084  0.193 1.084  0.261 0.990  0.353 0.906  0.315 0.788  0.249 0.683  0.190 0.603  0.111 0.516  -0.016 0.505  -0.090 0.395  -0.200 0.343  -0.308 0.268  -0.415 0.206  -0.451 0.154  -0.329 0.201  -0.198 0.206  -0.065 0.206  0.068 0.206  0.201 0.206  0.324 0.183  0.424 0.102  0.508 0.053  0.586 -0.054  0.663 -0.161  0.663 -0.294  0.663 -0.427  0.649 -0.557  0.601 -0.679  0.491 -0.753  0.415 -0.857  0.356 -0.976  0.284 -1.084  0.228 -1.196  0.102 -1.238  -0.016 -1.285  -0.122 -1.364  -0.244 -1.396  -0.377 -1.396  -0.510 -1.396  -0.639 -1.406  -0.754 -1.448  -0.887 -1.448
2#tos#f1#f1042059/4  -0.015 1.490  -0.146 1.383  -0.229 1.205  -0.376 1.073  -0.451 0.883  -0.599 0.751  -0.670 0.560  -0.750 0.408  -0.938 0.327  -0.976 0.147  -0.990 -0.052  -1.135 -0.197  -1.218 -0.367  -1.238 -0.564  -1.118 -0.649  -0.913 -0.649  -0.709 -0.649  -0.504 -0.649  -0.305 -0.634  -0.132 -0.542  0.061 -0.480  0.264 -0.470  0.464 -0.431  0.669 -0.431  0.874 -0.431  1.040 -0.336  1.230 -0.300  1.152 -0.145  1.042 0.028  0.932 0.201  0.822 0.374  0.712 0.546  0.602 0.719  0.492 0.892  0.382 1.065  0.219 1.141  0.203 0.952  0.203 0.747  0.203 0.542  0.165 0.341  0.159 0.137  0.159 -0.068  0.159 -0.273  0.159 -0.478  0.159 -0.683  0.159 -0.888  0.159 -1.093  0.159 -1.298  0.159 -1.502  0.247 -1.653
2#tos#f1#f1042059/7  -0.285 0.894  -0.440 0.894  -0.530 0.829  -0.530 0.675  -0.530 0.520  -0.530 0.366  -0.530 0.211  -0.530 0.057  -0.530 -0.098  -0.529 -0.242  -0.520 -0.088  -0.510 0.066  -0.500 0.221  -0.491 0.375  -0.558 0.508  -0.702 0.527  -0.815 0.569  -0.700 0.609  -0.559 0.631  -0.441 0.690  -0.310 0.747  -0.166 0.772  -0.011 0.772  0.141 0.781  0.288 0.812  0.443 0.812  0.597 0.812  0.752 0.812  0.856 0.762  0.856 0.608  0.820 0.459  0.797 0.323  0.681 0.275  0.641 0.125  0.560 0.003  0.489 -0.113  0.489 -0.268  0.429 -0.408  0.408 -0.558  0.378 -0.704  0.299 -0.837  0.260 -0.985  0.245 -1.138  0.215 -1.285  0.156 -1.427  0.125 -1.578  0.122 -1.733  0.115 -1.884  0.041 -2.008  0.041 -2.163
2#tos#f1#f1042059/8  0.719 0.871  0.576 0.823  0.417 0.919  0.299 1.021  0.139 1.064  -0.038 1.098  -0.203 1.161  -0.394 1.161  -0.585 1.161  -0.766 1.118  -0.884 0.996  -0.970 0.867  -0.874 0.773  -0.828 0.589  -0.690 0.533  -0.536 0.425  -0.383 0.312  -0.204 0.267  -0.040 0.168  0.086 0.054  0.188 -0.074  0.289 -0.205  0.350 -0.386  0.468 -0.509  0.550 -0.649  0.574 -0.830  0.567 -1.018  0.478 -1.172  0.337 -1.265  0.162 -1.318  -0.005 -1.397  -0.191 -1.427  -0.379 -1.445  -0.560 -1.421  -0.584 -1.240  -0.581 -1.049  -0.520 -0.868  -0.460 -0.687  -0.327 -0.569  -0.214 -0.433  -0.154 -0.252  -0.003 -0.140  0.112 0.013  0.243 0.151  0.414 0.236  0.574 0.340  0.727 0.455  0.895 0.516  1.010 0.630  1.201 0.630
2#tos#f1#f1042059/C  0.884 0.580  0.793 0.597  0.714 0.626  0.702 0.722  0.657 0.784  0.657 0.892  0.601 0.944  0.533 1.009  0.441 1.035  0.379 1.081  0.271 1.081  0.163 1.081  0.055 1.081  -0.045 1.062  -0.121 0.986  -0.211 0.942  -0.301 0.882  -0.369 0.803  -0.442 0.728  -0.528 0.666  -0.563 0.563  -0.607 0.465  -0.655 0.369  -0.663 0.263  -0.663 0.155  -0.663 0.047  -0.663 -0.061  -0.663 -0.169  -0.663 -0.277  -0.663 -0.385  -0.631 -0.485  -0.618 -0.590  -0.578 -0.678  -0.492 -0.743  -0.436 -0.823  -0.427 -0.924  -0.322 -0.950  -0.223 -0.988  -0.133 -1.048  -0.028 -1.058  0.080 -1.058  0.187 -1.058  0.295 -1.058  0.403 -1.058  0.511 -1.058  0.619 -1.058  0.727 -1.058  0.823 -1.029  0.899 -0.953  0.975 -0.876
