3#app#app13#app1358/B  -0.346 0.645  -0.346 0.429  -0.346 0.213  -0.256 0.034  -0.256 -0.182  -0.256 -0.398  -0.256 -0.614  -0.344 -0.794  -0.346 -1.009  -0.346 -1.225  -0.421 -1.261  -0.436 -1.051  -0.436 -0.835  -0.436 -0.619  -0.436 -0.403  -0.436 -0.187  -0.436 0.029  -0.436 0.245  -0.436 0.461  -0.346 0.656  -0.346 0.872  -0.300 1.074  -0.180 1.253  -0.159 1.462  -0.069 1.641  0.112 1.724  0.289 1.630  0.378 1.451  0.464 1.270  0.464 1.054  0.374 0.876  0.321 0.682  0.210 0.555  0.032 0.465  -0.147 0.375  -0.064 0.272  0.115 0.183  0.268 0.031  0.421 -0.122  0.510 -0.301  0.662 -0.454  0.752 -0.633  0.824 -0.819  0.824 -1.035  0.741 -1.231  0.571 -1.335  0.355 -1.335  0.139 -1.335  -0.040 -1.245  -0.166 -1.155
3#app#app13#app1358/t  -0.093 0.718  -0.090 0.554  0.072 0.549  0.072 0.382  0.072 0.215  0.072 0.048  0.072 -0.119  0.072 -0.286  0.072 -0.453  0.055 -0.613  -0.064 -0.731  -0.093 -0.886  -0.093 -1.053  -0.093 -1.220  -0.093 -1.387  -0.093 -1.554  0.046 -1.582  0.012 -1.454  -0.058 -1.302  -0.128 -1.151  -0.198 -0.999  -0.268 -0.847  -0.338 -0.696  -0.408 -0.544  -0.478 -0.392  -0.548 -0.241  -0.618 -0.089  -0.688 0.063  -0.758 0.214  -0.828 0.366  -0.898 0.518  -0.914 0.427  -0.785 0.390  -0.618 0.390  -0.586 0.524  -0.448 0.554  -0.281 0.554  -0.129 0.618  0.020 0.693  0.181 0.718  0.348 0.718  0.481 0.799  0.614 0.883  0.781 0.883  0.948 0.883  1.115 0.883  1.264 0.925  1.382 1.043  1.548 1.047  1.386 1.047
3#app#app13#app1358/h  -0.499 1.723  -0.499 1.572  -0.601 1.463  -0.658 1.335  -0.658 1.184  -0.658 1.033  -0.658 0.882  -0.658 0.731  -0.658 0.580  -0.658 0.429  -0.658 0.278  -0.658 0.127  -0.658 -0.024  -0.658 -0.175  -0.658 -0.326  -0.658 -0.477  -0.658 -0.628  -0.658 -0.779  -0.574 -0.895  -0.499 -1.015  -0.499 -1.166  -0.468 -1.286  -0.324 -1.270  -0.218 -1.163  -0.183 -1.026  -0.183 -0.875  -0.121 -0.750  -0.024 -0.639  -0.020 -0.490  0.087 -0.383  0.172 -0.260  0.239 -0.125  0.293 0.013  0.310 0.157  0.417 0.264  0.451 0.401  0.547 0.456  0.609 0.544  0.690 0.614  0.768 0.541  0.834 0.456  0.926 0.397  0.926 0.246  0.926 0.095  0.963 -0.019  1.084 -0.049  1.084 -0.200  1.084 -0.351  1.084 -0.502  1.084 -0.653
3#app#app13#app1358/a  0.110 1.031  -0.036 1.031  -0.182 1.031  -0.329 1.031  -0.475 1.031  -0.555 0.965  -0.555 0.819  -0.652 0.713  -0.755 0.609  -0.777 0.472  -0.777 0.326  -0.777 0.179  -0.855 0.066  -0.959 -0.038  -0.999 -0.168  -0.999 -0.314  -0.999 -0.460  -0.999 -0.606  -0.999 -0.753  -0.999 -0.899  -0.919 -0.965  -0.773 -0.965  -0.626 -0.965  -0.502 -0.912  -0.399 -0.808  -0.295 -0.705  -0.192 -0.602  -0.088 -0.498  0.015 -0.395  0.110 -0.288  0.110 -0.142  0.193 -0.078  0.337 -0.073  0.440 0.031  0.544 0.134  0.647 0.237  0.751 0.341  0.775 0.477  0.811 0.587  0.957 0.587  0.997 0.481  1.019 0.344  1.122 0.241  1.219 0.134  1.219 -0.012  1.219 -0.158  1.219 -0.304  1.219 -0.451  1.219 -0.597  1.219 -0.743
3#app#app13#app1358/t  0.070 1.227  0.070 1.050  0.070 0.872  0.070 0.694  0.033 0.525  -0.046 0.367  -0.126 0.208  -0.205 0.049  -0.245 -0.120  -0.245 -0.297  -0.245 -0.475  -0.245 -0.653  -0.245 -0.830  -0.245 -1.008  -0.245 -1.186  -0.245 -1.363  -0.245 -1.541  -0.245 -1.719  -0.245 -1.896  -0.230 -1.758  -0.214 -1.581  -0.198 -1.404  -0.182 -1.228  -0.166 -1.051  -0.150 -0.874  -0.134 -0.697  -0.118 -0.520  -0.102 -0.343  -0.086 -0.166  -0.069 0.011  -0.053 0.188  -0.037 0.365  -0.021 0.542  -0.005 0.719  0.011 0.896  0.027 1.073  0.043 1.249  0.059 1.426  0.070 1.480  0.070 1.302  0.070 1.125  0.070 0.947  0.070 0.769  0.077 0.599  0.255 0.599  0.432 0.599  0.610 0.599  0.761 0.536  0.887 0.410  1.013 0.284
3#app#app13#app1358/d  -0.326 0.141  -0.326 0.315  -0.372 0.443  -0.547 0.443  -0.694 0.378  -0.780 0.239  -0.856 0.141  -0.931 0.042  -0.986 -0.120  -1.064 -0.276  -1.082 -0.445  -1.082 -0.620  -1.082 -0.794  -1.046 -0.954  -0.931 -1.080  -0.897 -1.220  -0.722 -1.220  -0.548 -1.220  -0.431 -1.127  -0.353 -0.971  -0.224 -0.867  -0.068 -0.789  -0.024 -0.642  0.081 -0.511  0.176 -0.367  0.254 -0.211  0.363 -0.077  0.466 0.061  0.543 0.217  0.581 0.382  0.581 0.556  0.581 0.731  0.587 0.903  0.710 1.026  0.732 1.191  0.732 1.365  0.732 1.464  0.732 1.290  0.732 1.116  0.732 0.941  0.732 0.767  0.664 0.609  0.586 0.453  0.581 0.280  0.581 0.105  0.581 -0.069  0.581 -0.243  0.581 -0.418  0.581 -0.592  0.581 -0.766
3#app#app13#app1358/i  -0.035 0.044  -0.035 -0.063  -0.035 -0.170  -0.035 -0.278  -0.035 -0.385  -0.078 -0.449  -0.186 -0.449  -0.282 -0.461  -0.282 -0.568  -0.282 -0.675  -0.282 -0.783  -0.282 -0.890  -0.282 -0.998  -0.282 -1.105  -0.282 -1.212  -0.282 -1.320  -0.282 -1.427  -0.261 -1.341  -0.239 -1.236  -0.216 -1.131  -0.194 -1.026  -0.171 -0.921  -0.149 -0.816  -0.126 -0.711  -0.104 -0.606  -0.081 -0.501  -0.059 -0.396  -0.036 -0.291  -0.014 -0.186  0.009 -0.081  0.031 0.024  0.054 0.129  0.076 0.234  0.099 0.339  0.121 0.444  0.144 0.549  0.166 0.654  0.189 0.759  0.211 0.864  0.234 0.969  0.256 1.074  0.279 1.179  0.301 1.284  0.324 1.389  0.346 1.494  0.369 1.599  0.391 1.704  0.414 1.809  0.436 1.914  0.459 2.019
3#app#app13#app1358/s  0.249 1.480  0.138 1.480  0.027 1.480  -0.083 1.478  -0.161 1.400  -0.239 1.321  -0.347 1.315  -0.411 1.268  -0.411 1.157  -0.484 1.076  -0.563 0.998  -0.576 0.893  -0.576 0.782  -0.576 0.671  -0.576 0.560  -0.576 0.450  -0.576 0.339  -0.576 0.228  -0.546 0.130  -0.468 0.051  -0.380 -0.005  -0.270 -0.005  -0.159 -0.005  -0.048 -0.005  0.063 -0.005  0.147 -0.068  0.225 -0.147  0.327 -0.170  0.437 -0.170  0.548 -0.170  0.635 -0.227  0.714 -0.305  0.744 -0.403  0.744 -0.514  0.744 -0.625  0.744 -0.736  0.732 -0.842  0.654 -0.920  0.575 -0.998  0.497 -1.077  0.419 -1.155  0.310 -1.160  0.199 -1.160  0.089 -1.160  -0.022 -1.160  -0.133 -1.160  -0.244 -1.160  -0.246 -1.052  -0.300 -0.995  -0.411 -0.995
3#app#app13#app1358/a  -0.142 1.077  -0.267 1.077  -0.351 1.037  -0.351 0.912  -0.433 0.869  -0.558 0.869  -0.615 0.759  -0.671 0.647  -0.727 0.535  -0.791 0.429  -0.879 0.341  -0.968 0.252  -0.978 0.132  -0.978 0.007  -0.978 -0.118  -0.978 -0.243  -0.978 -0.368  -0.978 -0.493  -0.978 -0.618  -0.978 -0.743  -0.913 -0.803  -0.788 -0.803  -0.663 -0.803  -0.538 -0.803  -0.413 -0.803  -0.307 -0.758  -0.218 -0.670  -0.125 -0.594  0.000 -0.594  0.108 -0.552  0.196 -0.464  0.285 -0.376  0.373 -0.287  0.461 -0.199  0.577 -0.176  0.699 -0.170  0.788 -0.082  0.876 0.007  0.902 0.121  0.906 0.242  1.031 0.242  1.111 0.287  1.111 0.412  1.197 0.451  1.320 0.449  1.320 0.324  1.320 0.199  1.320 0.074  1.320 -0.051  1.320 -0.176
3#app#app13#app1358/s  0.406 1.693  0.406 1.574  0.379 1.466  0.295 1.382  0.210 1.297  0.092 1.293  -0.017 1.270  -0.102 1.185  -0.186 1.101  -0.194 0.985  -0.221 0.893  -0.341 0.893  -0.394 0.827  -0.394 0.708  -0.499 0.693  -0.593 0.669  -0.593 0.549  -0.593 0.430  -0.593 0.311  -0.593 0.192  -0.593 0.072  -0.593 -0.047  -0.533 -0.106  -0.414 -0.106  -0.295 -0.106  -0.175 -0.106  -0.056 -0.106  0.006 -0.163  0.006 -0.283  0.102 -0.306  0.221 -0.306  0.341 -0.306  0.406 -0.360  0.406 -0.479  0.499 -0.506  0.606 -0.518  0.606 -0.637  0.606 -0.757  0.606 -0.876  0.606 -0.995  0.598 -1.106  0.478 -1.106  0.373 -1.140  0.288 -1.224  0.203 -1.306  0.084 -1.306  -0.036 -1.306  -0.155 -1.306  -0.274 -1.306  -0.394 -1.306
3#app#app13#app1358/t  0.155 1.359  0.155 1.205  0.155 1.050  0.155 0.896  0.155 0.742  0.155 0.588  0.155 0.433  0.155 0.279  0.155 0.125  0.155 -0.030  0.155 -0.184  0.155 -0.338  0.155 -0.492  0.155 -0.647  0.155 -0.801  0.155 -0.955  0.155 -1.109  0.155 -1.264  0.155 -1.418  0.155 -1.572  0.155 -1.727  0.144 -1.755  0.116 -1.603  0.089 -1.451  0.061 -1.299  0.034 -1.148  0.006 -0.996  -0.022 -0.844  -0.049 -0.692  -0.077 -0.540  -0.104 -0.389  -0.132 -0.237  -0.160 -0.085  -0.187 0.067  -0.215 0.218  -0.242 0.370  -0.270 0.522  -0.298 0.674  -0.325 0.826  -0.353 0.977  -0.380 1.129  -0.408 1.281  -0.422 1.284  -0.422 1.130  -0.327 1.070  -0.173 1.070  -0.019 1.070  0.136 1.070  0.290 1.070  0.444 1.070
3#app#app13#app1358/e  -0.821 -0.483  -0.661 -0.483  -0.502 -0.483  -0.343 -0.483  -0.184 -0.483  -0.025 -0.483  0.135 -0.483  0.145 -0.334  0.145 -0.174  0.290 -0.161  0.450 -0.161  0.609 -0.161  0.768 -0.161  0.788 -0.022  0.788 0.137  0.924 0.161  1.083 0.161  1.110 0.293  1.110 0.452  1.019 0.574  0.907 0.686  0.794 0.799  0.788 0.956  0.788 1.115  0.640 1.126  0.481 1.126  0.322 1.126  0.163 1.126  0.145 0.985  0.145 0.826  0.007 0.805  -0.152 0.805  -0.177 0.670  -0.177 0.511  -0.270 0.390  -0.382 0.277  -0.495 0.165  -0.607 0.052  -0.720 -0.060  -0.821 -0.178  -0.821 -0.337  -0.821 -0.496  -0.821 -0.655  -0.821 -0.815  -0.821 -0.974  -0.821 -1.133  -0.821 -1.292  -0.821 -1.452  -0.821 -1.611  -0.821 -1.770
3#app#app13#app1358/r  -0.648 0.258  -0.648 0.140  -0.648 0.021  -0.648 -0.097  -0.648 -0.215  -0.648 -0.334  -0.648 -0.452  -0.648 -0.570  -0.648 -0.689  -0.648 -0.807  -0.648 -0.925  -0.648 -1.044  -0.648 -1.162  -0.603 -1.235  -0.484 -1.235  -0.366 -1.235  -0.349 -1.134  -0.349 -1.016  -0.349 -0.897  -0.349 -0.779  -0.349 -0.661  -0.253 -0.638  -0.135 -0.638  -0.050 -0.604  -0.050 -0.486  -0.050 -0.368  -0.050 -0.249  -0.050 -0.131  -0.030 -0.021  0.053 0.063  0.137 0.146  0.221 0.230  0.248 0.337  0.248 0.455  0.248 0.574  0.248 0.692  0.248 0.810  0.322 0.855  0.440 0.855  0.547 0.866  0.547 0.985  0.547 1.103  0.615 1.154  0.733 1.154  0.851 1.154  0.970 1.154  1.088 1.154  1.206 1.154  1.324 1.154  1.443 1.154
3#app#app13#app1358/s  0.301 1.296  0.180 1.296  0.059 1.296  -0.062 1.296  -0.183 1.296  -0.304 1.296  -0.330 1.201  -0.388 1.138  -0.488 1.117  -0.488 0.996  -0.562 0.906  -0.646 0.820  -0.646 0.699  -0.732 0.665  -0.803 0.615  -0.803 0.494  -0.803 0.373  -0.803 0.252  -0.743 0.191  -0.629 0.175  -0.544 0.090  -0.446 0.034  -0.325 0.034  -0.204 0.034  -0.110 -0.029  -0.024 -0.115  0.093 -0.124  0.214 -0.124  0.335 -0.124  0.456 -0.124  0.542 -0.208  0.632 -0.282  0.753 -0.282  0.774 -0.382  0.819 -0.484  0.904 -0.570  0.932 -0.679  0.900 -0.787  0.815 -0.872  0.729 -0.958  0.644 -1.043  0.534 -1.071  0.427 -1.103  0.341 -1.188  0.237 -1.228  0.116 -1.228  -0.005 -1.228  -0.114 -1.179  -0.222 -1.125  -0.330 -1.071
3#app#app13#app1358/t  -0.052 0.549  -0.052 0.398  -0.052 0.248  -0.052 0.097  -0.052 -0.054  -0.052 -0.205  -0.052 -0.355  -0.052 -0.506  -0.052 -0.657  -0.052 -0.807  -0.052 -0.958  -0.052 -1.109  -0.052 -1.260  -0.052 -1.410  -0.052 -1.561  -0.106 -1.461  -0.167 -1.323  -0.228 -1.186  -0.289 -1.048  -0.350 -0.910  -0.412 -0.772  -0.473 -0.635  -0.534 -0.497  -0.595 -0.359  -0.657 -0.221  -0.718 -0.084  -0.779 0.054  -0.840 0.192  -0.902 0.330  -0.761 0.336  -0.691 0.418  -0.672 0.549  -0.521 0.549  -0.371 0.549  -0.220 0.549  -0.069 0.549  0.081 0.549  0.161 0.621  0.170 0.762  0.321 0.762  0.471 0.762  0.622 0.762  0.773 0.762  0.887 0.850  0.994 0.957  1.137 0.975  1.270 1.019  1.376 1.126  1.439 1.126  1.439 0.975
3#app#app13#app1358/r  -0.471 0.813  -0.471 0.674  -0.471 0.535  -0.471 0.395  -0.471 0.256  -0.471 0.117  -0.471 -0.023  -0.471 -0.162  -0.471 -0.301  -0.471 -0.441  -0.471 -0.580  -0.471 -0.719  -0.471 -0.858  -0.471 -0.998  -0.471 -1.137  -0.471 -1.276  -0.471 -1.416  -0.407 -1.491  -0.268 -1.491  -0.215 -1.405  -0.215 -1.266  -0.215 -1.127  -0.215 -0.987  -0.215 -0.848  -0.215 -0.709  -0.215 -0.569  -0.188 -0.441  -0.090 -0.342  0.009 -0.244  0.041 -0.118  0.041 0.021  0.041 0.160  0.041 0.300  0.139 0.399  0.237 0.497  0.298 0.612  0.298 0.751  0.298 0.890  0.298 1.030  0.368 1.140  0.466 1.238  0.570 1.326  0.709 1.326  0.810 1.287  0.810 1.148  0.853 1.026  0.951 0.928  1.050 0.829  1.066 0.697  1.066 0.557
3#app#app13#app1358/u  -0.827 1.292  -0.827 1.180  -0.827 1.067  -0.827 0.955  -0.827 0.843  -0.827 0.730  -0.827 0.618  -0.827 0.506  -0.827 0.393  -0.827 0.281  -0.827 0.169  -0.827 0.056  -0.827 -0.056  -0.827 -0.168  -0.827 -0.281  -0.827 -0.393  -0.800 -0.479  -0.688 -0.479  -0.576 -0.479  -0.532 -0.547  -0.532 -0.660  -0.532 -0.772  -0.421 -0.774  -0.309 -0.774  -0.197 -0.774  -0.084 -0.774  0.028 -0.774  0.059 -0.693  0.059 -0.580  0.070 -0.479  0.182 -0.479  0.295 -0.479  0.407 -0.479  0.520 -0.479  0.632 -0.479  0.692 -0.394  0.742 -0.294  0.792 -0.193  0.843 -0.093  0.893 0.008  0.943 0.108  1.022 0.188  1.101 0.268  1.180 0.347  1.240 0.435  1.240 0.548  1.240 0.660  1.240 0.772  1.240 0.885  1.240 0.997
3#app#app13#app1358/c  0.464 0.962  0.352 0.962  0.240 0.962  0.215 1.050  0.215 1.162  0.152 1.211  0.040 1.211  -0.061 1.185  -0.141 1.105  -0.220 1.026  -0.300 0.946  -0.379 0.867  -0.459 0.787  -0.533 0.706  -0.533 0.594  -0.533 0.481  -0.628 0.463  -0.740 0.463  -0.783 0.394  -0.783 0.281  -0.783 0.169  -0.783 0.057  -0.783 -0.056  -0.783 -0.168  -0.783 -0.280  -0.706 -0.361  -0.627 -0.441  -0.547 -0.520  -0.533 -0.627  -0.533 -0.739  -0.466 -0.784  -0.353 -0.784  -0.241 -0.784  -0.129 -0.784  -0.016 -0.784  0.096 -0.784  0.208 -0.784  0.321 -0.784  0.433 -0.784  0.545 -0.784  0.658 -0.784  0.770 -0.784  0.882 -0.784  0.985 -0.762  1.065 -0.682  1.144 -0.603  1.224 -0.523  1.303 -0.444  1.383 -0.364  1.462 -0.285
3#app#app13#app1358/k  -0.488 1.934  -0.488 1.714  -0.488 1.494  -0.488 1.273  -0.488 1.053  -0.488 0.833  -0.488 0.612  -0.488 0.392  -0.488 0.171  -0.488 -0.049  -0.488 -0.269  -0.488 -0.490  -0.488 -0.710  -0.679 -0.740  -0.679 -0.960  -0.613 -1.115  -0.445 -1.029  -0.347 -0.832  -0.248 -0.635  -0.150 -0.438  -0.051 -0.241  0.047 -0.044  0.146 0.153  0.244 0.350  0.343 0.547  0.441 0.744  0.540 0.942  0.639 1.139  0.655 0.989  0.465 0.959  0.413 0.791  0.274 0.709  0.163 0.600  0.084 0.459  -0.088 0.410  -0.107 0.209  -0.135 0.000  -0.291 -0.156  -0.298 -0.373  -0.247 -0.543  -0.107 -0.623  -0.029 -0.812  0.127 -0.967  0.286 -1.115  0.506 -1.115  0.727 -1.115  0.947 -1.115  1.167 -1.115  1.227 -0.954  1.418 -0.924
