3#apb#apb04#app0418/A  -0.081 0.616  -0.032 0.885  -0.030 0.935  -0.129 0.679  -0.214 0.417  -0.317 0.160  -0.417 -0.098  -0.504 -0.361  -0.597 -0.620  -0.711 -0.872  -0.819 -1.127  -0.952 -1.369  -0.890 -1.141  -0.848 -0.870  -0.798 -0.598  -0.758 -0.325  -0.707 -0.053  -0.623 0.209  -0.516 0.464  -0.383 0.706  -0.242 0.945  -0.098 1.181  0.052 1.413  0.220 1.632  0.436 1.766  0.538 1.517  0.583 1.244  0.627 0.971  0.645 0.695  0.646 0.419  0.659 0.142  0.677 -0.134  0.693 -0.410  0.753 -0.680  0.767 -0.955  0.815 -1.225  0.774 -1.401  0.581 -1.224  0.411 -1.006  0.241 -0.788  0.070 -0.570  -0.100 -0.352  -0.270 -0.133  -0.438 0.086  -0.408 -0.002  -0.187 -0.164  0.079 -0.235  0.352 -0.237  0.609 -0.143  0.839 0.011
3#apb#apb04#app0418/L  -0.210 1.536  -0.157 1.614  -0.136 1.648  -0.204 1.629  -0.210 1.530  -0.210 1.429  -0.210 1.328  -0.210 1.228  -0.218 1.128  -0.240 1.030  -0.262 0.931  -0.264 0.831  -0.264 0.730  -0.279 0.631  -0.299 0.533  -0.320 0.434  -0.349 0.338  -0.378 0.241  -0.393 0.144  -0.382 0.044  -0.371 -0.056  -0.387 -0.155  -0.405 -0.254  -0.423 -0.353  -0.423 -0.454  -0.415 -0.554  -0.402 -0.654  -0.397 -0.754  -0.397 -0.855  -0.397 -0.956  -0.396 -0.966  -0.314 -1.018  -0.224 -0.973  -0.132 -0.934  -0.034 -0.913  0.065 -0.891  0.154 -0.845  0.241 -0.795  0.328 -0.744  0.415 -0.695  0.509 -0.658  0.602 -0.620  0.696 -0.583  0.789 -0.546  0.883 -0.508  0.973 -0.464  1.059 -0.413  1.154 -0.432  1.244 -0.424  1.201 -0.488
3#apb#apb04#app0418/M  -0.729 0.542  -0.824 0.701  -0.919 0.693  -0.943 0.528  -0.875 0.338  -0.824 0.145  -0.824 -0.057  -0.824 -0.258  -0.777 -0.454  -0.777 -0.656  -0.774 -0.858  -0.764 -1.057  -0.777 -1.030  -0.752 -0.831  -0.729 -0.632  -0.718 -0.431  -0.688 -0.232  -0.682 -0.031  -0.682 0.171  -0.682 0.373  -0.682 0.574  -0.611 0.755  -0.464 0.875  -0.340 0.737  -0.270 0.549  -0.197 0.361  -0.147 0.166  -0.134 -0.034  -0.067 -0.224  0.018 -0.405  0.153 -0.390  0.298 -0.253  0.388 -0.072  0.440 0.122  0.560 0.282  0.635 0.465  0.759 0.623  0.896 0.764  1.048 0.875  1.084 0.730  1.123 0.534  1.133 0.333  1.152 0.133  1.167 -0.069  1.170 -0.270  1.180 -0.471  1.229 -0.667  1.274 -0.863  1.338 -1.054  1.432 -1.072
3#apb#apb04#app0418/N  -0.534 0.907  -0.548 0.893  -0.596 0.661  -0.640 0.428  -0.691 0.197  -0.730 -0.037  -0.752 -0.273  -0.806 -0.504  -0.849 -0.736  -0.874 -0.972  -0.870 -1.207  -0.869 -1.087  -0.902 -0.857  -0.878 -0.621  -0.854 -0.385  -0.830 -0.149  -0.806 0.087  -0.782 0.323  -0.758 0.559  -0.790 0.654  -0.668 0.452  -0.545 0.250  -0.394 0.068  -0.231 -0.104  -0.081 -0.287  0.066 -0.472  0.203 -0.662  0.412 -0.722  0.566 -0.657  0.596 -0.426  0.617 -0.190  0.638 0.046  0.659 0.282  0.680 0.519  0.702 0.755  0.707 0.990  0.763 1.210  0.897 1.398  0.873 1.256  0.838 1.023  0.821 0.786  0.796 0.551  0.757 0.317  0.749 0.081  0.762 -0.156  0.755 -0.393  0.742 -0.629  0.798 -0.859  0.856 -1.089  1.024 -1.218
3#apb#apb04#app0418/O  0.330 1.187  0.203 1.241  0.110 1.193  0.005 1.123  -0.051 1.000  -0.123 0.882  -0.185 0.758  -0.279 0.659  -0.375 0.565  -0.398 0.429  -0.418 0.291  -0.438 0.154  -0.461 0.017  -0.489 -0.118  -0.521 -0.253  -0.551 -0.389  -0.572 -0.525  -0.572 -0.664  -0.572 -0.803  -0.572 -0.941  -0.572 -1.080  -0.556 -1.217  -0.522 -1.352  -0.457 -1.468  -0.347 -1.492  -0.235 -1.410  -0.139 -1.311  -0.049 -1.206  0.036 -1.096  0.116 -0.983  0.195 -0.869  0.275 -0.755  0.354 -0.642  0.434 -0.528  0.485 -0.401  0.519 -0.267  0.552 -0.132  0.564 0.005  0.564 0.144  0.564 0.282  0.564 0.421  0.564 0.560  0.564 0.699  0.548 0.835  0.504 0.966  0.459 1.097  0.396 1.221  0.298 1.319  0.187 1.400  0.063 1.454
3#apb#apb04#app0418/P  -0.622 0.703  -0.564 0.754  -0.482 0.587  -0.461 0.384  -0.461 0.181  -0.453 -0.022  -0.437 -0.224  -0.414 -0.426  -0.389 -0.627  -0.373 -0.830  -0.361 -1.033  -0.332 -1.233  -0.283 -1.430  -0.215 -1.621  -0.120 -1.720  -0.086 -1.525  -0.120 -1.325  -0.160 -1.126  -0.201 -0.927  -0.241 -0.728  -0.281 -0.529  -0.322 -0.330  -0.362 -0.131  -0.402 0.069  -0.442 0.268  -0.483 0.467  -0.523 0.666  -0.563 0.865  -0.569 0.891  -0.393 0.991  -0.210 1.078  -0.007 1.078  0.196 1.078  0.399 1.078  0.602 1.078  0.805 1.078  0.994 1.024  1.156 0.903  1.264 0.732  1.291 0.539  1.200 0.357  1.086 0.189  0.943 0.045  0.761 -0.032  0.571 -0.100  0.405 -0.217  0.216 -0.249  0.014 -0.237  -0.188 -0.255  -0.381 -0.207
3#apb#apb04#app0418/Q  -0.108 0.860  -0.303 0.816  -0.427 0.713  -0.546 0.555  -0.635 0.375  -0.695 0.183  -0.764 -0.003  -0.785 -0.203  -0.827 -0.399  -0.838 -0.599  -0.806 -0.797  -0.737 -0.985  -0.598 -1.125  -0.409 -1.181  -0.237 -1.104  -0.085 -0.971  0.066 -0.838  0.216 -0.705  0.352 -0.556  0.479 -0.401  0.574 -0.224  0.664 -0.044  0.750 0.138  0.821 0.325  0.867 0.521  0.905 0.719  0.933 0.918  0.913 1.118  0.745 1.223  0.551 1.272  0.349 1.272  0.152 1.237  -0.047 1.207  -0.248 1.207  -0.405 1.107  -0.308 0.930  -0.212 0.753  -0.116 0.577  -0.020 0.400  0.076 0.223  0.131 0.035  0.093 -0.152  0.127 -0.351  0.131 -0.552  0.122 -0.752  0.097 -0.952  0.065 -1.151  0.028 -1.349  -0.008 -1.547  -0.043 -1.745
3#apb#apb04#app0418/R  -0.330 1.156  -0.286 1.284  -0.339 1.078  -0.403 0.874  -0.458 0.668  -0.484 0.456  -0.510 0.244  -0.535 0.032  -0.536 -0.180  -0.508 -0.392  -0.500 -0.605  -0.492 -0.818  -0.431 -1.022  -0.326 -1.205  -0.250 -1.067  -0.283 -0.856  -0.316 -0.645  -0.349 -0.434  -0.382 -0.223  -0.415 -0.012  -0.448 0.199  -0.481 0.410  -0.514 0.621  -0.547 0.832  -0.580 1.044  -0.523 1.132  -0.311 1.149  -0.100 1.136  0.114 1.132  0.321 1.103  0.526 1.059  0.658 0.903  0.782 0.738  0.845 0.536  0.795 0.341  0.681 0.160  0.524 0.034  0.358 -0.096  0.162 -0.158  -0.013 -0.148  0.033 -0.324  0.131 -0.514  0.242 -0.696  0.364 -0.871  0.512 -1.025  0.646 -1.191  0.771 -1.364  0.920 -1.513  1.061 -1.542  1.204 -1.424
3#apb#apb04#app0418/S  -0.025 0.805  0.106 0.805  0.228 0.776  0.307 0.881  0.429 0.899  0.521 0.967  0.602 0.993  0.526 1.096  0.459 1.143  0.379 1.241  0.254 1.212  0.151 1.174  0.076 1.073  -0.027 0.993  -0.158 0.993  -0.277 0.945  -0.376 0.861  -0.469 0.768  -0.576 0.711  -0.652 0.655  -0.702 0.559  -0.714 0.430  -0.683 0.304  -0.651 0.177  -0.578 0.068  -0.500 -0.036  -0.407 -0.129  -0.315 -0.222  -0.204 -0.291  -0.088 -0.350  0.033 -0.402  0.151 -0.458  0.267 -0.519  0.369 -0.601  0.475 -0.678  0.584 -0.750  0.677 -0.841  0.756 -0.946  0.678 -1.038  0.572 -1.114  0.449 -1.139  0.322 -1.161  0.200 -1.207  0.073 -1.239  -0.057 -1.252  -0.187 -1.264  -0.318 -1.264  -0.448 -1.253  -0.578 -1.234  -0.652 -1.139
3#apb#apb04#app0418/T  0.112 0.101  0.115 0.085  0.143 -0.046  0.180 -0.174  0.184 -0.308  0.184 -0.441  0.184 -0.575  0.184 -0.709  0.184 -0.843  0.183 -0.976  0.171 -1.109  0.162 -1.242  0.181 -1.375  0.218 -1.498  0.307 -1.445  0.297 -1.324  0.226 -1.211  0.154 -1.098  0.083 -0.985  0.011 -0.872  -0.060 -0.759  -0.132 -0.646  -0.204 -0.533  -0.275 -0.420  -0.347 -0.307  -0.418 -0.194  -0.490 -0.081  -0.561 0.032  -0.633 0.145  -0.704 0.258  -0.776 0.371  -0.847 0.484  -0.917 0.555  -0.820 0.640  -0.700 0.700  -0.571 0.732  -0.444 0.771  -0.331 0.843  -0.218 0.915  -0.095 0.966  0.030 1.014  0.154 1.062  0.279 1.110  0.404 1.158  0.536 1.176  0.669 1.187  0.802 1.199  0.935 1.211  1.068 1.224  1.201 1.239
3#apb#apb04#app0418/U  -0.940 0.616  -0.882 0.677  -0.920 0.624  -0.988 0.507  -0.988 0.337  -0.972 0.169  -0.986 0.003  -0.970 -0.164  -0.988 -0.332  -0.988 -0.501  -0.963 -0.667  -0.933 -0.831  -0.849 -0.978  -0.777 -1.125  -0.639 -1.186  -0.500 -1.142  -0.390 -1.021  -0.258 -0.920  -0.145 -0.795  -0.056 -0.652  0.019 -0.500  0.077 -0.341  0.135 -0.182  0.189 -0.022  0.219 0.145  0.231 0.313  0.227 0.482  0.209 0.650  0.207 0.820  0.226 0.988  0.238 1.155  0.341 1.284  0.383 1.333  0.346 1.171  0.349 1.008  0.330 0.841  0.378 0.678  0.419 0.514  0.454 0.349  0.494 0.185  0.494 0.015  0.535 -0.148  0.581 -0.311  0.665 -0.452  0.819 -0.508  0.989 -0.508  1.151 -0.464  1.311 -0.410  1.473 -0.361  1.641 -0.340
3#apb#apb04#app0418/V  -0.791 0.438  -0.770 0.549  -0.723 0.635  -0.723 0.545  -0.688 0.454  -0.660 0.342  -0.624 0.232  -0.610 0.119  -0.600 0.005  -0.578 -0.108  -0.555 -0.222  -0.532 -0.335  -0.510 -0.448  -0.487 -0.561  -0.474 -0.675  -0.474 -0.790  -0.468 -0.905  -0.455 -1.020  -0.460 -1.134  -0.474 -1.249  -0.424 -1.320  -0.383 -1.212  -0.334 -1.108  -0.274 -1.010  -0.213 -0.911  -0.151 -0.814  -0.087 -0.718  -0.023 -0.622  0.041 -0.526  0.095 -0.425  0.149 -0.322  0.202 -0.220  0.255 -0.118  0.308 -0.015  0.364 0.086  0.424 0.184  0.485 0.282  0.545 0.380  0.606 0.479  0.666 0.577  0.723 0.677  0.771 0.782  0.819 0.887  0.868 0.991  0.916 1.096  0.964 1.201  1.013 1.305  1.062 1.410  1.111 1.514  1.160 1.618
3#apb#apb04#app0418/W  -1.162 0.414  -1.121 0.505  -1.046 0.563  -1.026 0.389  -1.005 0.215  -0.982 0.039  -0.958 -0.136  -0.969 -0.313  -0.967 -0.488  -1.024 -0.646  -1.026 -0.823  -0.948 -0.954  -0.822 -0.921  -0.694 -0.823  -0.607 -0.668  -0.520 -0.515  -0.456 -0.349  -0.393 -0.183  -0.332 -0.017  -0.271 0.149  -0.203 0.313  -0.133 0.476  -0.046 0.630  0.061 0.749  0.098 0.576  0.156 0.409  0.191 0.235  0.207 0.059  0.221 -0.118  0.253 -0.292  0.286 -0.466  0.310 -0.642  0.334 -0.818  0.377 -0.989  0.478 -0.979  0.560 -0.825  0.616 -0.656  0.672 -0.488  0.729 -0.320  0.787 -0.153  0.848 0.014  0.909 0.180  0.950 0.352  0.986 0.526  1.022 0.699  1.066 0.871  1.114 1.042  1.150 1.215  1.160 1.392  1.169 1.569
3#apb#apb04#app0418/X  -0.824 0.944  -0.885 0.860  -0.831 0.688  -0.764 0.519  -0.724 0.340  -0.658 0.173  -0.562 0.018  -0.467 -0.138  -0.373 -0.295  -0.262 -0.440  -0.150 -0.584  -0.011 -0.702  0.123 -0.826  0.252 -0.955  0.423 -1.002  0.603 -1.020  0.761 -1.099  0.731 -0.986  0.728 -0.803  0.726 -0.621  0.724 -0.438  0.722 -0.256  0.719 -0.073  0.717 0.110  0.715 0.292  0.713 0.475  0.711 0.657  0.708 0.840  0.706 1.023  0.704 1.205  0.702 1.388  0.655 1.348  0.543 1.220  0.475 1.050  0.373 0.900  0.259 0.758  0.147 0.614  0.035 0.469  -0.076 0.324  -0.175 0.171  -0.272 0.016  -0.368 -0.139  -0.477 -0.286  -0.589 -0.429  -0.702 -0.573  -0.831 -0.702  -0.965 -0.826  -1.099 -0.950  -1.236 -1.071  -1.373 -1.191
3#apb#apb04#app0418/Y  -1.519 0.388  -1.433 0.517  -1.331 0.563  -1.213 0.464  -1.104 0.355  -0.994 0.247  -0.860 0.170  -0.727 0.091  -0.599 0.006  -0.470 -0.080  -0.338 -0.161  -0.208 -0.243  -0.079 -0.329  0.017 -0.442  0.171 -0.442  0.255 -0.315  0.312 -0.172  0.370 -0.028  0.427 0.115  0.484 0.258  0.542 0.402  0.599 0.545  0.656 0.689  0.714 0.832  0.771 0.975  0.828 1.119  0.823 1.232  0.675 1.274  0.608 1.186  0.580 1.034  0.547 0.883  0.488 0.741  0.428 0.598  0.373 0.454  0.331 0.306  0.288 0.157  0.246 0.009  0.202 -0.139  0.159 -0.288  0.115 -0.436  0.072 -0.584  0.027 -0.732  -0.017 -0.880  -0.062 -1.028  -0.106 -1.176  -0.146 -1.325  -0.178 -1.476  -0.210 -1.627  -0.241 -1.778  -0.273 -1.929
3#apb#apb04#app0418/Z  -1.008 0.609  -1.036 0.644  -0.903 0.668  -0.759 0.701  -0.605 0.729  -0.461 0.794  -0.310 0.838  -0.155 0.866  0.002 0.880  0.157 0.905  0.313 0.932  0.470 0.949  0.626 0.942  0.784 0.931  0.922 0.978  0.968 0.954  0.837 0.868  0.719 0.763  0.598 0.662  0.477 0.561  0.355 0.461  0.227 0.369  0.119 0.254  0.009 0.142  -0.115 0.045  -0.243 -0.048  -0.360 -0.151  -0.462 -0.271  -0.553 -0.401  -0.642 -0.530  -0.743 -0.645  -0.877 -0.718  -0.970 -0.814  -1.024 -0.867  -0.921 -0.929  -0.776 -0.868  -0.623 -0.873  -0.471 -0.832  -0.316 -0.814  -0.159 -0.797  -0.002 -0.791  0.155 -0.796  0.305 -0.846  0.459 -0.842  0.614 -0.816  0.771 -0.801  0.928 -0.791  1.086 -0.791  1.239 -0.753  1.357 -0.654
