2#apb#apb38#app3823/A  -1.254 -1.529  -1.203 -1.415  -1.098 -1.241  -1.010 -1.056  -0.924 -0.870  -0.832 -0.686  -0.740 -0.503  -0.645 -0.321  -0.550 -0.139  -0.467 0.048  -0.397 0.240  -0.326 0.433  -0.222 0.610  -0.118 0.786  -0.035 0.974  0.048 1.162  0.133 1.348  0.222 1.531  0.253 1.500  0.307 1.303  0.332 1.100  0.339 0.895  0.342 0.690  0.357 0.485  0.387 0.283  0.422 0.081  0.454 -0.122  0.468 -0.326  0.468 -0.531  0.468 -0.736  0.453 -0.939  0.408 -1.139  0.382 -1.341  0.282 -1.197  0.174 -1.023  0.066 -0.849  -0.043 -0.675  -0.151 -0.501  -0.260 -0.326  -0.368 -0.152  -0.422 -0.000  -0.270 0.135  -0.092 0.235  0.097 0.313  0.291 0.380  0.482 0.456  0.665 0.546  0.843 0.647  1.040 0.706  1.243 0.731
2#apb#apb38#app3823/P  -0.274 0.789  -0.274 0.617  -0.267 0.445  -0.252 0.274  -0.237 0.103  -0.223 -0.069  -0.208 -0.240  -0.195 -0.412  -0.186 -0.584  -0.176 -0.755  -0.169 -0.927  -0.169 -1.099  -0.169 -1.271  -0.151 -1.442  -0.122 -1.612  -0.084 -1.779  -0.108 -1.641  -0.154 -1.475  -0.185 -1.306  -0.210 -1.136  -0.263 -0.973  -0.321 -0.811  -0.351 -0.642  -0.382 -0.473  -0.412 -0.303  -0.438 -0.133  -0.438 0.039  -0.431 0.210  -0.398 0.379  -0.357 0.546  -0.309 0.711  -0.238 0.868  -0.163 1.022  -0.081 1.174  0.050 1.284  0.182 1.395  0.350 1.413  0.514 1.361  0.670 1.289  0.800 1.181  0.876 1.027  0.921 0.861  0.907 0.690  0.837 0.533  0.714 0.414  0.591 0.294  0.465 0.177  0.321 0.084  0.174 -0.006  0.025 -0.092
2#apb#apb38#app3823/a  0.489 1.107  0.340 1.058  0.190 1.008  0.041 0.958  -0.100 0.894  -0.217 0.788  -0.333 0.682  -0.448 0.574  -0.560 0.463  -0.671 0.352  -0.781 0.239  -0.887 0.123  -0.994 0.007  -1.098 -0.110  -1.157 -0.257  -1.215 -0.403  -1.221 -0.559  -1.221 -0.717  -1.165 -0.854  -1.062 -0.973  -0.926 -1.042  -0.776 -1.092  -0.625 -1.063  -0.474 -1.019  -0.322 -0.976  -0.205 -0.872  -0.087 -0.767  0.021 -0.654  0.112 -0.525  0.203 -0.396  0.294 -0.268  0.381 -0.137  0.455 0.002  0.529 0.141  0.603 0.280  0.656 0.428  0.706 0.577  0.759 0.726  0.800 0.875  0.767 0.879  0.748 0.722  0.745 0.566  0.761 0.409  0.791 0.255  0.837 0.105  0.897 -0.039  0.978 -0.174  1.060 -0.309  1.148 -0.440  1.235 -0.571
2#apb#apb38#app3823/r  0.009 -0.675  0.049 -0.755  0.086 -0.836  0.120 -0.919  0.155 -1.002  0.189 -1.084  0.215 -1.169  0.228 -1.258  0.245 -1.345  0.294 -1.419  0.270 -1.343  0.242 -1.258  0.215 -1.173  0.189 -1.087  0.163 -1.001  0.136 -0.916  0.113 -0.830  0.091 -0.743  0.069 -0.656  0.047 -0.569  0.026 -0.482  -0.000 -0.397  -0.040 -0.317  -0.080 -0.237  -0.120 -0.157  -0.160 -0.077  -0.199 0.004  -0.231 0.087  -0.263 0.171  -0.295 0.255  -0.327 0.338  -0.342 0.426  -0.349 0.515  -0.357 0.604  -0.364 0.693  -0.350 0.781  -0.333 0.869  -0.315 0.957  -0.279 1.037  -0.230 1.112  -0.178 1.184  -0.120 1.252  -0.061 1.320  0.004 1.377  0.089 1.405  0.174 1.434  0.260 1.457  0.349 1.466  0.438 1.475  0.527 1.484
2#apb#apb38#app3823/i  -0.079 0.359  -0.061 0.248  -0.044 0.136  -0.027 0.024  -0.017 -0.088  -0.017 -0.201  -0.017 -0.314  -0.017 -0.427  -0.017 -0.541  -0.017 -0.654  -0.017 -0.767  -0.032 -0.878  -0.050 -0.990  -0.069 -1.102  -0.083 -1.214  -0.092 -1.326  -0.102 -1.439  -0.108 -1.514  -0.097 -1.401  -0.086 -1.289  -0.074 -1.176  -0.063 -1.064  -0.052 -0.951  -0.041 -0.839  -0.030 -0.726  -0.019 -0.614  -0.008 -0.501  0.003 -0.389  0.015 -0.276  0.026 -0.164  0.037 -0.051  0.048 0.061  0.059 0.174  0.070 0.286  0.081 0.399  0.092 0.511  0.104 0.624  0.115 0.736  0.126 0.849  0.137 0.961  0.148 1.074  0.159 1.187  0.165 1.298  0.109 1.396  0.053 1.494  0.018 1.602  -0.013 1.710  -0.061 1.812  -0.079 1.921  -0.079 2.034
2#apb#apb38#app3823/s  0.612 1.305  0.495 1.273  0.396 1.198  0.292 1.132  0.176 1.085  0.061 1.039  -0.054 0.991  -0.169 0.942  -0.283 0.894  -0.397 0.842  -0.510 0.791  -0.623 0.739  -0.730 0.676  -0.835 0.608  -0.940 0.541  -1.030 0.455  -1.100 0.355  -1.098 0.248  -1.007 0.170  -0.887 0.138  -0.764 0.122  -0.639 0.115  -0.515 0.104  -0.393 0.083  -0.270 0.063  -0.146 0.052  -0.022 0.046  0.103 0.039  0.222 0.004  0.342 -0.031  0.460 -0.069  0.578 -0.108  0.690 -0.162  0.800 -0.222  0.895 -0.300  0.944 -0.415  0.946 -0.539  0.916 -0.658  0.856 -0.765  0.779 -0.864  0.680 -0.938  0.578 -1.009  0.471 -1.073  0.362 -1.133  0.254 -1.194  0.138 -1.239  0.020 -1.278  -0.098 -1.317  -0.218 -1.351  -0.338 -1.386
2#apb#apb38#app3823/F  -0.455 -1.938  -0.335 -1.960  -0.275 -1.796  -0.242 -1.624  -0.235 -1.450  -0.243 -1.275  -0.261 -1.101  -0.287 -0.928  -0.313 -0.755  -0.340 -0.582  -0.368 -0.409  -0.393 -0.236  -0.416 -0.062  -0.440 0.111  -0.487 0.280  -0.537 0.448  -0.596 0.613  -0.659 0.776  -0.711 0.930  -0.542 0.914  -0.368 0.930  -0.196 0.895  -0.024 0.893  0.148 0.923  0.323 0.930  0.497 0.938  0.669 0.974  0.843 0.982  1.017 0.994  1.189 1.030  1.080 0.935  0.942 0.826  0.805 0.717  0.668 0.608  0.531 0.499  0.394 0.390  0.257 0.281  0.119 0.172  -0.018 0.063  -0.155 -0.046  -0.292 -0.155  -0.429 -0.264  -0.558 -0.376  -0.423 -0.468  -0.248 -0.470  -0.073 -0.470  0.102 -0.469  0.275 -0.440  0.447 -0.409  0.617 -0.366
2#apb#apb38#app3823/t  0.084 0.372  0.041 0.275  0.041 0.135  0.051 -0.005  0.061 -0.145  0.070 -0.285  0.079 -0.425  0.069 -0.563  0.035 -0.699  0.001 -0.835  -0.020 -0.973  -0.040 -1.112  -0.044 -1.252  -0.034 -1.390  -0.011 -1.486  -0.071 -1.360  -0.131 -1.233  -0.192 -1.107  -0.252 -0.980  -0.313 -0.854  -0.373 -0.728  -0.434 -0.601  -0.494 -0.475  -0.555 -0.348  -0.615 -0.222  -0.676 -0.095  -0.736 0.031  -0.797 0.157  -0.857 0.284  -0.918 0.410  -0.938 0.458  -0.800 0.479  -0.664 0.513  -0.531 0.555  -0.397 0.597  -0.259 0.624  -0.121 0.645  0.017 0.667  0.152 0.706  0.285 0.749  0.419 0.791  0.553 0.831  0.689 0.865  0.825 0.899  0.961 0.933  1.096 0.969  1.232 1.006  1.367 1.042  1.502 1.078  1.641 1.098
2#apb#apb38#app3823/.  1.523 0.845  1.455 0.816  1.388 0.787  1.321 0.758  1.254 0.729  1.187 0.701  1.120 0.672  1.052 0.643  0.985 0.614  0.918 0.585  0.851 0.557  0.784 0.528  0.716 0.499  0.649 0.470  0.582 0.441  0.515 0.412  0.450 0.380  0.384 0.347  0.319 0.314  0.253 0.282  0.192 0.242  0.134 0.198  0.076 0.154  0.017 0.110  -0.041 0.066  -0.100 0.023  -0.158 -0.021  -0.217 -0.065  -0.275 -0.109  -0.334 -0.153  -0.387 -0.203  -0.438 -0.255  -0.490 -0.306  -0.542 -0.358  -0.593 -0.410  -0.645 -0.461  -0.697 -0.513  -0.749 -0.565  -0.791 -0.623  -0.824 -0.688  -0.857 -0.754  -0.889 -0.819  -0.924 -0.876  -0.985 -0.835  -1.046 -0.795  -1.107 -0.754  -1.168 -0.713  -1.228 -0.673  -1.289 -0.632  -1.350 -0.592
2#apb#apb38#app3823/M  -1.087 -1.500  -1.059 -1.361  -1.029 -1.221  -0.996 -1.083  -0.963 -0.944  -0.935 -0.804  -0.909 -0.664  -0.884 -0.524  -0.860 -0.383  -0.835 -0.243  -0.797 -0.106  -0.757 0.031  -0.714 0.167  -0.668 0.302  -0.620 0.436  -0.569 0.569  -0.497 0.690  -0.410 0.740  -0.375 0.603  -0.354 0.462  -0.343 0.320  -0.331 0.178  -0.316 0.036  -0.301 -0.106  -0.270 -0.244  -0.220 -0.364  -0.169 -0.232  -0.110 -0.102  -0.045 0.025  0.021 0.152  0.091 0.276  0.163 0.398  0.243 0.516  0.331 0.628  0.426 0.734  0.536 0.820  0.673 0.855  0.809 0.823  0.915 0.732  0.997 0.616  1.068 0.493  1.123 0.362  1.171 0.228  1.213 0.091  1.245 -0.047  1.270 -0.188  1.284 -0.329  1.289 -0.472  1.285 -0.614  1.269 -0.755
2#apb#apb38#app3823/u  -0.656 1.023  -0.679 0.914  -0.702 0.805  -0.725 0.696  -0.748 0.588  -0.756 0.477  -0.762 0.366  -0.767 0.255  -0.773 0.144  -0.761 0.034  -0.744 -0.076  -0.728 -0.186  -0.711 -0.296  -0.689 -0.405  -0.661 -0.513  -0.632 -0.620  -0.604 -0.728  -0.566 -0.831  -0.508 -0.926  -0.450 -1.020  -0.390 -1.113  -0.303 -1.183  -0.204 -1.174  -0.106 -1.123  -0.012 -1.064  0.060 -0.984  0.112 -0.886  0.164 -0.788  0.216 -0.690  0.264 -0.589  0.312 -0.489  0.359 -0.388  0.406 -0.288  0.450 -0.185  0.493 -0.083  0.536 0.020  0.579 0.122  0.616 0.227  0.648 0.333  0.680 0.440  0.712 0.546  0.745 0.653  0.784 0.757  0.823 0.861  0.862 0.965  0.900 1.069  0.938 1.174  0.975 1.279  1.002 1.385  1.002 1.496
2#apb#apb38#app3823/n  -0.773 1.447  -0.790 1.328  -0.806 1.209  -0.823 1.091  -0.813 0.972  -0.799 0.853  -0.784 0.734  -0.765 0.616  -0.735 0.500  -0.704 0.384  -0.674 0.268  -0.643 0.152  -0.639 0.033  -0.639 -0.087  -0.639 -0.207  -0.639 -0.327  -0.639 -0.446  -0.639 -0.566  -0.660 -0.681  -0.658 -0.586  -0.641 -0.467  -0.581 -0.365  -0.515 -0.265  -0.448 -0.166  -0.380 -0.067  -0.312 0.032  -0.244 0.130  -0.172 0.225  -0.077 0.297  0.019 0.369  0.136 0.389  0.255 0.402  0.369 0.371  0.483 0.333  0.566 0.252  0.640 0.157  0.717 0.066  0.807 -0.014  0.896 -0.093  0.965 -0.188  1.015 -0.297  1.066 -0.406  1.110 -0.517  1.144 -0.632  1.178 -0.747  1.212 -0.862  1.239 -0.978  1.255 -1.097  1.270 -1.216  1.286 -1.334
2#apb#apb38#app3823/i  -0.208 -0.185  -0.238 -0.212  -0.238 -0.310  -0.235 -0.408  -0.227 -0.505  -0.220 -0.603  -0.212 -0.701  -0.198 -0.798  -0.176 -0.893  -0.154 -0.989  -0.132 -1.084  -0.107 -1.179  -0.079 -1.273  -0.051 -1.367  -0.028 -1.413  -0.022 -1.315  -0.017 -1.217  -0.011 -1.119  -0.006 -1.021  0.000 -0.923  0.006 -0.825  0.011 -0.727  0.017 -0.629  0.023 -0.531  0.028 -0.434  0.034 -0.336  0.040 -0.238  0.045 -0.140  0.051 -0.042  0.057 0.056  0.062 0.154  0.068 0.252  0.074 0.350  0.079 0.448  0.085 0.546  0.091 0.644  0.096 0.742  0.102 0.839  0.107 0.937  0.113 1.035  0.119 1.133  0.124 1.231  0.130 1.329  0.136 1.427  0.141 1.525  0.147 1.623  0.101 1.695  0.076 1.763  0.157 1.817  0.239 1.871
2#apb#apb38#app3823/c  0.692 1.645  0.602 1.606  0.514 1.565  0.430 1.514  0.394 1.424  0.360 1.333  0.337 1.238  0.313 1.143  0.282 1.052  0.229 0.969  0.176 0.887  0.124 0.805  0.070 0.724  0.014 0.643  -0.041 0.563  -0.096 0.482  -0.153 0.403  -0.217 0.329  -0.281 0.255  -0.345 0.181  -0.409 0.107  -0.472 0.033  -0.536 -0.041  -0.599 -0.115  -0.663 -0.189  -0.720 -0.268  -0.771 -0.351  -0.821 -0.435  -0.820 -0.530  -0.809 -0.627  -0.735 -0.676  -0.644 -0.712  -0.553 -0.748  -0.461 -0.782  -0.370 -0.816  -0.279 -0.851  -0.184 -0.867  -0.086 -0.867  0.011 -0.867  0.109 -0.867  0.207 -0.867  0.304 -0.867  0.402 -0.867  0.500 -0.867  0.597 -0.867  0.692 -0.847  0.786 -0.819  0.879 -0.791  0.973 -0.763  1.066 -0.735
2#apb#apb38#app3823/h  -0.698 1.672  -0.632 1.622  -0.571 1.528  -0.552 1.418  -0.532 1.308  -0.510 1.199  -0.486 1.089  -0.461 0.980  -0.452 0.869  -0.443 0.757  -0.433 0.646  -0.430 0.534  -0.430 0.422  -0.430 0.311  -0.430 0.199  -0.438 0.087  -0.447 -0.024  -0.456 -0.136  -0.470 -0.247  -0.492 -0.356  -0.513 -0.466  -0.545 -0.573  -0.585 -0.677  -0.647 -0.768  -0.666 -0.772  -0.592 -0.689  -0.517 -0.606  -0.437 -0.527  -0.355 -0.453  -0.263 -0.389  -0.170 -0.328  -0.063 -0.295  0.042 -0.258  0.137 -0.198  0.236 -0.151  0.347 -0.134  0.458 -0.125  0.570 -0.126  0.680 -0.144  0.789 -0.169  0.894 -0.208  0.981 -0.274  1.060 -0.353  1.113 -0.451  1.163 -0.551  1.225 -0.644  1.285 -0.739  1.341 -0.835  1.390 -0.936  1.431 -1.040
