2#tos#f2#f2004062/#  -0.987 0.881  -1.290 0.622  -0.918 0.570  -0.508 0.570  -0.097 0.570  0.313 0.570  0.723 0.570  1.091 0.674  1.220 0.690  0.825 0.578  0.430 0.467  0.035 0.356  -0.360 0.244  -0.734 0.097  -1.048 -0.145  -0.898 -0.260  -0.488 -0.260  -0.078 -0.260  0.333 -0.260  0.737 -0.208  1.135 -0.156  1.211 0.043  0.875 0.278  0.539 0.513  0.203 0.749  -0.134 0.984  -0.520 1.044  -0.520 0.974  -0.520 0.564  -0.520 0.153  -0.520 -0.257  -0.572 -0.661  -0.572 -1.071  -0.572 -1.482  -0.548 -1.641  -0.416 -1.253  -0.284 -0.864  -0.152 -0.476  -0.020 -0.087  0.112 0.301  0.244 0.690  0.362 1.081  0.310 0.738  0.362 0.334  0.362 -0.076  0.362 -0.487  0.362 -0.897  0.362 -1.307  0.362 -1.718  0.413 -2.076
2#tos#f2#f2004062/@  0.950 0.589  0.869 0.443  0.804 0.606  0.608 0.638  0.429 0.589  0.221 0.540  0.123 0.411  0.074 0.232  -0.035 0.041  -0.121 -0.122  -0.170 -0.339  -0.170 -0.566  -0.170 -0.794  -0.170 -1.022  -0.023 -1.132  0.124 -1.115  0.269 -0.995  0.415 -0.848  0.512 -0.660  0.512 -0.433  0.512 -0.205  0.561 0.002  0.561 0.230  0.561 0.458  0.609 0.665  0.485 0.789  0.463 1.012  0.397 1.173  0.269 1.272  0.147 1.393  -0.071 1.417  -0.281 1.388  -0.413 1.229  -0.536 1.124  -0.656 0.951  -0.668 0.735  -0.705 0.544  -0.754 0.328  -0.754 0.100  -0.754 -0.127  -0.754 -0.355  -0.754 -0.583  -0.669 -0.726  -0.636 -0.920  -0.559 -1.071  -0.444 -1.212  -0.285 -1.310  -0.155 -1.407  0.012 -1.504  0.220 -1.456
2#tos#f2#f2004062/[  0.681 1.435  0.681 1.351  0.613 1.302  0.550 1.252  0.501 1.216  0.417 1.215  0.341 1.178  0.262 1.149  0.181 1.129  0.096 1.129  0.068 1.072  0.015 1.041  -0.063 1.034  -0.063 0.950  -0.063 0.865  -0.063 0.781  -0.063 0.697  -0.088 0.622  -0.148 0.563  -0.151 0.479  -0.151 0.395  -0.164 0.314  -0.195 0.236  -0.195 0.152  -0.219 0.073  -0.238 -0.007  -0.238 -0.091  -0.238 -0.176  -0.238 -0.260  -0.238 -0.345  -0.238 -0.429  -0.238 -0.514  -0.238 -0.598  -0.238 -0.683  -0.238 -0.767  -0.238 -0.852  -0.238 -0.936  -0.238 -1.021  -0.238 -1.105  -0.238 -1.190  -0.277 -1.236  -0.203 -1.236  -0.119 -1.236  -0.034 -1.236  0.050 -1.236  0.128 -1.266  0.209 -1.280  0.293 -1.280  0.375 -1.283  0.375 -1.367
2#tos#f2#f2004062/]  -0.095 1.286  -0.189 1.286  -0.282 1.286  -0.365 1.275  -0.380 1.196  -0.438 1.196  -0.351 1.166  -0.262 1.144  -0.177 1.105  -0.083 1.105  0.011 1.105  0.105 1.105  0.180 1.060  0.266 1.053  0.227 0.975  0.221 0.884  0.221 0.790  0.221 0.696  0.221 0.602  0.221 0.508  0.221 0.414  0.221 0.320  0.221 0.226  0.221 0.132  0.221 0.039  0.221 -0.055  0.221 -0.149  0.221 -0.243  0.221 -0.337  0.221 -0.431  0.221 -0.525  0.221 -0.619  0.221 -0.713  0.221 -0.807  0.221 -0.901  0.221 -0.994  0.221 -1.088  0.266 -1.137  0.232 -1.197  0.138 -1.197  0.044 -1.197  -0.050 -1.197  -0.143 -1.195  -0.227 -1.153  -0.321 -1.151  -0.415 -1.151  -0.509 -1.151  -0.603 -1.151  -0.679 -1.109  -0.772 -1.106
2#tos#f2#f2004062/_  -0.740 0.391  -0.815 0.353  -0.890 0.316  -0.974 0.316  -1.058 0.316  -1.112 0.287  -1.112 0.203  -1.112 0.120  -1.169 0.093  -1.253 0.093  -1.334 0.093  -1.251 0.093  -1.168 0.087  -1.088 0.060  -1.009 0.034  -0.928 0.019  -0.844 0.019  -0.760 0.019  -0.676 0.019  -0.593 0.019  -0.533 -0.040  -0.456 -0.056  -0.372 -0.056  -0.289 -0.056  -0.205 -0.056  -0.121 -0.056  -0.037 -0.056  0.046 -0.056  0.130 -0.056  0.214 -0.056  0.298 -0.056  0.381 -0.056  0.465 -0.056  0.549 -0.056  0.633 -0.056  0.714 -0.069  0.794 -0.096  0.873 -0.122  0.956 -0.130  1.039 -0.130  1.123 -0.130  1.207 -0.130  1.291 -0.130  1.374 -0.130  1.458 -0.130  1.539 -0.146  1.619 -0.172  1.698 -0.199  1.781 -0.205  1.716 -0.205
2#tos#f2#f2004062/|  0.070 1.520  0.000 1.520  -0.001 1.451  -0.001 1.515  -0.001 1.454  -0.001 1.383  -0.001 1.313  -0.001 1.242  -0.001 1.172  -0.001 1.102  -0.001 1.031  -0.001 0.961  -0.001 0.890  -0.001 0.820  -0.001 0.750  -0.001 0.679  -0.001 0.609  -0.001 0.538  -0.001 0.468  -0.001 0.398  -0.001 0.327  -0.001 0.257  -0.001 0.186  -0.001 0.116  -0.001 0.045  -0.001 -0.025  -0.001 -0.095  -0.001 -0.166  -0.001 -0.236  -0.001 -0.307  -0.001 -0.377  -0.001 -0.447  -0.001 -0.518  -0.001 -0.588  -0.001 -0.659  -0.001 -0.729  -0.001 -0.799  -0.001 -0.870  -0.001 -0.940  -0.001 -1.011  -0.001 -1.081  -0.001 -1.151  -0.001 -1.222  -0.001 -1.292  -0.001 -1.363  -0.001 -1.433  -0.001 -1.504  -0.001 -1.574  -0.001 -1.644  -0.001 -1.715
2#tos#f2#f2004062/}  -0.227 1.519  -0.322 1.515  -0.400 1.468  -0.349 1.417  -0.297 1.347  -0.202 1.347  -0.106 1.347  -0.056 1.290  0.031 1.257  0.040 1.166  0.074 1.084  0.074 0.989  0.052 0.916  0.031 0.842  0.031 0.746  -0.012 0.669  -0.012 0.573  -0.055 0.521  -0.067 0.431  -0.098 0.348  -0.098 0.253  -0.072 0.184  -0.023 0.125  0.031 0.063  0.117 0.054  0.127 -0.031  0.117 -0.050  0.117 -0.146  0.074 -0.223  0.042 -0.311  0.031 -0.404  -0.006 -0.462  -0.012 -0.551  0.027 -0.630  0.071 -0.714  0.117 -0.766  0.129 -0.849  0.203 -0.871  0.259 -0.935  0.289 -1.000  0.289 -1.096  0.224 -1.151  0.181 -1.216  0.112 -1.280  0.031 -1.294  0.010 -1.377  -0.062 -1.430  -0.092 -1.521  -0.175 -1.538  -0.184 -1.624
2#tos#f2#f2004062/~  -0.915 0.282  -0.970 0.173  -1.045 0.078  -1.132 -0.008  -1.173 -0.123  -1.210 -0.239  -1.210 -0.362  -1.210 -0.279  -1.210 -0.157  -1.210 -0.035  -1.109 -0.013  -1.029 0.055  -0.989 0.168  -0.952 0.281  -0.876 0.356  -0.802 0.434  -0.768 0.548  -0.674 0.577  -0.572 0.625  -0.460 0.651  -0.337 0.651  -0.252 0.614  -0.166 0.577  -0.044 0.577  -0.015 0.472  0.040 0.362  0.128 0.282  0.191 0.223  0.264 0.174  0.323 0.076  0.338 -0.040  0.413 -0.088  0.500 -0.174  0.559 -0.272  0.572 -0.382  0.677 -0.425  0.707 -0.535  0.707 -0.657  0.810 -0.676  0.932 -0.676  1.055 -0.676  1.121 -0.586  1.149 -0.470  1.223 -0.378  1.275 -0.308  1.397 -0.308  1.444 -0.232  1.444 -0.110  1.469 -0.013  1.591 -0.013
2#tos#f2#f2004062/2  -0.065 0.625  -0.209 0.617  -0.349 0.582  -0.400 0.477  -0.525 0.458  -0.623 0.537  -0.623 0.682  -0.623 0.826  -0.576 0.951  -0.482 1.060  -0.401 1.180  -0.267 1.221  -0.183 1.294  -0.038 1.294  0.106 1.294  0.251 1.294  0.357 1.231  0.405 1.103  0.437 0.971  0.479 0.834  0.492 0.691  0.492 0.547  0.492 0.402  0.492 0.258  0.492 0.113  0.410 0.013  0.312 -0.084  0.259 -0.211  0.159 -0.294  0.072 -0.409  -0.062 -0.434  -0.092 -0.559  -0.221 -0.624  -0.288 -0.727  -0.386 -0.790  -0.503 -0.871  -0.567 -0.989  -0.678 -1.022  -0.559 -1.047  -0.427 -1.076  -0.293 -1.103  -0.149 -1.103  -0.004 -1.103  0.140 -1.103  0.272 -1.159  0.416 -1.159  0.561 -1.159  0.705 -1.159  0.850 -1.159  0.938 -1.215
2#tos#f2#f2004062/3  -0.227 1.145  -0.364 1.111  -0.468 1.052  -0.478 1.042  -0.345 1.087  -0.218 1.148  -0.085 1.193  0.054 1.206  0.195 1.206  0.315 1.185  0.406 1.100  0.529 1.052  0.556 0.922  0.556 0.781  0.540 0.647  0.483 0.530  0.374 0.442  0.257 0.364  0.131 0.302  -0.007 0.291  -0.128 0.221  -0.252 0.181  -0.393 0.181  -0.283 0.181  -0.142 0.181  -0.001 0.181  0.140 0.181  0.233 0.104  0.347 0.061  0.436 0.008  0.448 -0.120  0.496 -0.213  0.496 -0.354  0.496 -0.495  0.496 -0.635  0.460 -0.770  0.433 -0.905  0.308 -0.971  0.209 -1.070  0.074 -1.085  -0.043 -1.142  -0.156 -1.217  -0.293 -1.252  -0.407 -1.325  -0.548 -1.326  -0.689 -1.326  -0.829 -1.326  -0.970 -1.326  -1.071 -1.286  -1.071 -1.145
2#tos#f2#f2004062/6  0.087 2.007  0.003 1.940  -0.079 1.845  -0.113 1.711  -0.114 1.573  -0.126 1.439  -0.209 1.329  -0.273 1.210  -0.300 1.075  -0.339 0.943  -0.390 0.815  -0.432 0.684  -0.465 0.550  -0.465 0.412  -0.465 0.274  -0.465 0.136  -0.465 -0.002  -0.465 -0.140  -0.425 -0.272  -0.415 -0.408  -0.404 -0.545  -0.371 -0.679  -0.313 -0.804  -0.198 -0.880  -0.121 -0.990  0.002 -1.042  0.128 -1.099  0.253 -1.154  0.391 -1.154  0.529 -1.154  0.639 -1.096  0.676 -0.978  0.789 -0.900  0.789 -0.762  0.789 -0.624  0.789 -0.486  0.743 -0.359  0.739 -0.222  0.685 -0.099  0.554 -0.055  0.417 -0.050  0.279 -0.050  0.141 -0.050  0.006 -0.065  -0.123 -0.100  -0.208 -0.187  -0.324 -0.256  -0.415 -0.338  -0.482 -0.435  -0.465 -0.502
2#tos#f2#f2004062/7  -0.358 1.079  -0.495 1.079  -0.532 1.017  -0.512 0.885  -0.512 0.748  -0.512 0.610  -0.483 0.485  -0.461 0.357  -0.461 0.220  -0.461 0.083  -0.409 -0.033  -0.386 0.067  -0.359 0.202  -0.332 0.336  -0.305 0.471  -0.278 0.605  -0.276 0.720  -0.358 0.775  -0.268 0.822  -0.131 0.822  0.006 0.822  0.143 0.822  0.280 0.822  0.417 0.822  0.554 0.822  0.685 0.806  0.771 0.734  0.757 0.603  0.719 0.481  0.621 0.397  0.543 0.293  0.514 0.161  0.503 0.025  0.452 -0.102  0.400 -0.228  0.338 -0.351  0.292 -0.479  0.258 -0.612  0.197 -0.735  0.136 -0.858  0.075 -0.980  0.052 -1.112  0.044 -1.247  -0.017 -1.370  -0.086 -1.489  -0.153 -1.605  -0.153 -1.743  -0.153 -1.880  -0.153 -2.017  -0.153 -2.154
2#tos#f2#f2004062/8  0.739 0.775  0.739 0.573  0.688 0.391  0.739 0.524  0.739 0.726  0.690 0.893  0.586 1.021  0.428 1.137  0.265 1.234  0.063 1.234  -0.139 1.234  -0.342 1.234  -0.541 1.216  -0.688 1.132  -0.690 0.932  -0.587 0.771  -0.500 0.604  -0.434 0.442  -0.307 0.367  -0.169 0.234  -0.076 0.059  0.067 -0.084  0.161 -0.263  0.230 -0.453  0.324 -0.602  0.382 -0.790  0.382 -0.993  0.382 -1.195  0.250 -1.266  0.098 -1.317  -0.104 -1.317  -0.307 -1.317  -0.509 -1.317  -0.699 -1.297  -0.847 -1.208  -0.945 -1.035  -0.945 -0.832  -0.911 -0.638  -0.740 -0.550  -0.659 -0.368  -0.508 -0.245  -0.305 -0.245  -0.155 -0.119  0.033 -0.060  0.223 0.007  0.412 0.061  0.601 0.119  0.793 0.163  0.996 0.163  1.096 0.265
2#tos#f2#f2004062/A  -0.678 -0.876  -0.744 -1.073  -0.882 -1.245  -0.963 -1.400  -0.963 -1.271  -0.963 -1.051  -0.963 -0.830  -0.849 -0.657  -0.849 -0.437  -0.813 -0.221  -0.686 -0.056  -0.516 0.084  -0.384 0.252  -0.340 0.468  -0.318 0.681  -0.165 0.838  -0.115 1.047  -0.017 1.244  0.037 1.450  0.120 1.645  0.262 1.634  0.348 1.444  0.385 1.235  0.499 1.047  0.576 0.844  0.589 0.626  0.669 0.421  0.690 0.206  0.713 -0.009  0.804 -0.208  0.843 -0.422  0.861 -0.639  0.861 -0.860  0.895 -1.047  0.860 -0.874  0.699 -0.723  0.539 -0.571  0.379 -0.420  0.219 -0.269  0.058 -0.117  -0.102 0.034  -0.299 0.093  -0.515 0.063  -0.623 0.036  -0.411 -0.015  -0.191 -0.021  0.029 -0.021  0.250 -0.021  0.470 -0.021  0.690 -0.021
2#tos#f2#f2004062/B  -0.060 1.682  -0.060 1.708  -0.060 1.429  -0.082 1.153  -0.132 0.881  -0.212 0.622  -0.246 0.349  -0.313 0.080  -0.313 -0.198  -0.330 -0.474  -0.364 -0.749  -0.364 -1.027  -0.364 -1.305  -0.364 -1.583  -0.356 -1.653  -0.336 -1.376  -0.316 -1.098  -0.296 -0.821  -0.276 -0.544  -0.256 -0.266  -0.235 0.011  -0.215 0.288  -0.195 0.566  -0.175 0.843  -0.258 1.025  -0.243 1.176  0.027 1.227  0.305 1.227  0.574 1.188  0.787 1.025  0.850 0.810  0.810 0.541  0.582 0.402  0.353 0.252  0.093 0.165  -0.156 0.068  -0.397 0.064  -0.130 0.114  0.148 0.114  0.370 0.046  0.611 -0.088  0.821 -0.232  0.850 -0.503  0.729 -0.734  0.503 -0.869  0.248 -0.978  -0.005 -1.078  -0.278 -1.129  -0.553 -1.150  -0.718 -1.201
2#tos#f2#f2004062/D  -0.530 0.943  -0.530 0.829  -0.530 0.627  -0.530 0.425  -0.530 0.223  -0.530 0.021  -0.511 -0.178  -0.462 -0.374  -0.443 -0.573  -0.400 -0.765  -0.356 -0.959  -0.356 -1.134  -0.344 -0.932  -0.329 -0.731  -0.315 -0.530  -0.301 -0.329  -0.286 -0.127  -0.272 0.074  -0.258 0.275  -0.243 0.476  -0.229 0.678  -0.371 0.766  -0.556 0.847  -0.574 1.038  -0.452 1.117  -0.250 1.117  -0.048 1.117  0.150 1.089  0.350 1.074  0.543 1.038  0.731 0.970  0.924 0.913  1.056 0.784  1.149 0.614  1.168 0.420  1.168 0.218  1.155 0.018  1.070 -0.157  0.964 -0.323  0.838 -0.476  0.695 -0.619  0.544 -0.751  0.390 -0.880  0.212 -0.955  0.044 -1.052  -0.136 -1.104  -0.317 -1.191  -0.519 -1.191  -0.721 -1.191  -0.922 -1.191
2#tos#f2#f2004062/F  -0.245 0.904  -0.245 1.139  -0.294 0.893  -0.294 0.635  -0.294 0.377  -0.294 0.120  -0.294 -0.138  -0.338 -0.387  -0.393 -0.635  -0.393 -0.892  -0.393 -1.150  -0.370 -1.405  -0.343 -1.660  -0.343 -1.917  -0.342 -1.929  -0.327 -1.672  -0.313 -1.414  -0.298 -1.157  -0.284 -0.900  -0.269 -0.642  -0.255 -0.385  -0.240 -0.128  -0.226 0.130  -0.211 0.387  -0.196 0.644  -0.243 0.855  -0.442 0.913  -0.224 0.953  0.034 0.953  0.291 0.953  0.549 0.953  0.807 0.953  1.065 0.953  1.322 0.953  1.310 0.857  1.070 0.762  0.830 0.668  0.590 0.573  0.351 0.479  0.111 0.384  -0.129 0.290  -0.279 0.097  -0.484 -0.036  -0.629 -0.229  -0.371 -0.229  -0.113 -0.229  0.142 -0.206  0.396 -0.180  0.654 -0.180  0.888 -0.081
2#tos#f2#f2004062/G  0.544 1.604  0.544 1.368  0.506 1.280  0.337 1.390  0.101 1.390  -0.135 1.390  -0.339 1.278  -0.534 1.151  -0.709 0.995  -0.842 0.804  -0.961 0.602  -1.000 0.371  -1.000 0.135  -1.000 -0.101  -1.000 -0.337  -0.928 -0.555  -0.847 -0.767  -0.693 -0.937  -0.536 -1.107  -0.313 -1.156  -0.082 -1.184  0.154 -1.184  0.375 -1.112  0.542 -0.974  0.569 -0.761  0.463 -0.550  0.358 -0.339  0.252 -0.129  0.147 0.082  0.042 0.293  -0.126 0.403  -0.310 0.310  -0.389 0.231  -0.154 0.231  0.082 0.231  0.318 0.231  0.554 0.231  0.770 0.167  0.999 0.146  0.821 0.243  0.673 0.246  0.471 0.152  0.330 0.020  0.244 -0.130  0.244 -0.366  0.244 -0.602  0.256 -0.835  0.287 -1.066  0.301 -1.298  0.373 -1.485
2#tos#f2#f2004062/L  -0.107 1.533  -0.201 1.533  -0.255 1.572  -0.270 1.503  -0.305 1.418  -0.305 1.324  -0.305 1.230  -0.305 1.136  -0.305 1.042  -0.305 0.948  -0.324 0.860  -0.376 0.782  -0.404 0.697  -0.404 0.603  -0.419 0.513  -0.454 0.427  -0.454 0.333  -0.454 0.239  -0.476 0.151  -0.503 0.063  -0.503 -0.030  -0.503 -0.124  -0.503 -0.218  -0.503 -0.312  -0.503 -0.406  -0.503 -0.500  -0.503 -0.593  -0.503 -0.687  -0.468 -0.746  -0.374 -0.746  -0.280 -0.746  -0.187 -0.746  -0.093 -0.746  0.001 -0.746  0.095 -0.746  0.184 -0.725  0.268 -0.683  0.353 -0.647  0.447 -0.647  0.541 -0.647  0.635 -0.647  0.728 -0.647  0.822 -0.647  0.916 -0.647  1.010 -0.647  1.104 -0.647  1.198 -0.647  1.291 -0.647  1.385 -0.647  1.380 -0.647
