2#apb#apb40#app4083/S  -0.827 -0.569  -0.905 -0.521  -0.841 -0.398  -0.761 -0.284  -0.680 -0.170  -0.599 -0.056  -0.518 0.057  -0.437 0.170  -0.355 0.284  -0.274 0.397  -0.186 0.505  -0.096 0.612  -0.007 0.719  0.083 0.825  0.171 0.934  0.255 1.045  0.338 1.157  0.422 1.269  0.507 1.379  0.594 1.488  0.618 1.405  0.613 1.266  0.600 1.127  0.587 0.988  0.574 0.849  0.559 0.710  0.545 0.571  0.530 0.433  0.516 0.294  0.498 0.156  0.479 0.018  0.460 -0.121  0.441 -0.259  0.419 -0.396  0.394 -0.534  0.370 -0.671  0.338 -0.807  0.300 -0.941  0.232 -1.059  0.140 -1.163  0.019 -1.229  -0.113 -1.272  -0.249 -1.301  -0.381 -1.259  -0.506 -1.200  -0.616 -1.114  -0.709 -1.013  -0.789 -0.899  -0.851 -0.774  -0.902 -0.645
2#apb#apb40#app4083/e  -0.463 -0.594  -0.356 -0.523  -0.249 -0.452  -0.143 -0.381  -0.036 -0.309  0.063 -0.228  0.154 -0.138  0.245 -0.047  0.335 0.044  0.420 0.140  0.502 0.239  0.583 0.338  0.663 0.438  0.729 0.548  0.795 0.658  0.851 0.771  0.851 0.899  0.851 1.028  0.844 1.155  0.797 1.274  0.691 1.259  0.572 1.211  0.455 1.160  0.356 1.078  0.257 0.996  0.158 0.915  0.059 0.833  -0.040 0.752  -0.119 0.653  -0.185 0.543  -0.251 0.433  -0.317 0.323  -0.383 0.213  -0.449 0.102  -0.483 -0.020  -0.510 -0.145  -0.536 -0.271  -0.562 -0.397  -0.588 -0.522  -0.614 -0.648  -0.613 -0.775  -0.597 -0.902  -0.581 -1.029  -0.565 -1.157  -0.541 -1.283  -0.512 -1.408  -0.483 -1.533  -0.438 -1.649  -0.354 -1.747  -0.271 -1.844
2#apb#apb40#app4083/r  -0.483 -0.338  -0.469 -0.425  -0.455 -0.511  -0.440 -0.597  -0.449 -0.683  -0.466 -0.769  -0.483 -0.855  -0.501 -0.940  -0.518 -1.026  -0.538 -1.111  -0.565 -1.194  -0.577 -1.273  -0.559 -1.189  -0.524 -1.109  -0.488 -1.029  -0.453 -0.949  -0.417 -0.869  -0.379 -0.791  -0.332 -0.717  -0.285 -0.643  -0.238 -0.570  -0.191 -0.496  -0.144 -0.422  -0.098 -0.348  -0.054 -0.273  -0.020 -0.192  0.013 -0.111  0.046 -0.030  0.079 0.050  0.113 0.131  0.146 0.212  0.179 0.293  0.213 0.374  0.246 0.455  0.281 0.534  0.320 0.613  0.359 0.691  0.399 0.769  0.438 0.847  0.477 0.925  0.516 1.004  0.555 1.082  0.594 1.160  0.633 1.238  0.666 1.319  0.696 1.401  0.727 1.483  0.758 1.565  0.798 1.638  0.876 1.677
2#apb#apb40#app4083/s  0.566 1.263  0.484 1.312  0.400 1.348  0.307 1.324  0.215 1.301  0.122 1.278  0.031 1.252  -0.059 1.219  -0.149 1.186  -0.238 1.154  -0.312 1.096  -0.379 1.029  -0.447 0.961  -0.483 0.877  -0.502 0.783  -0.520 0.690  -0.512 0.599  -0.473 0.512  -0.434 0.425  -0.385 0.344  -0.322 0.272  -0.259 0.201  -0.196 0.130  -0.125 0.065  -0.054 0.001  0.016 -0.063  0.087 -0.127  0.161 -0.187  0.238 -0.243  0.315 -0.299  0.392 -0.356  0.452 -0.423  0.467 -0.517  0.483 -0.611  0.499 -0.705  0.507 -0.800  0.507 -0.895  0.482 -0.979  0.410 -1.041  0.337 -1.104  0.256 -1.150  0.165 -1.181  0.075 -1.211  -0.018 -1.229  -0.113 -1.238  -0.208 -1.247  -0.303 -1.254  -0.399 -1.254  -0.494 -1.254  -0.589 -1.254
2#apb#apb40#app4083/i  0.256 -0.055  0.251 -0.155  0.212 -0.249  0.173 -0.342  0.134 -0.435  0.094 -0.528  0.053 -0.621  0.011 -0.713  -0.031 -0.805  -0.076 -0.895  -0.121 -0.986  -0.166 -1.076  -0.208 -1.168  -0.248 -1.261  -0.294 -1.351  -0.328 -1.383  -0.308 -1.283  -0.289 -1.184  -0.269 -1.085  -0.249 -0.986  -0.230 -0.886  -0.210 -0.787  -0.190 -0.688  -0.171 -0.589  -0.151 -0.490  -0.131 -0.390  -0.112 -0.291  -0.092 -0.192  -0.073 -0.093  -0.053 0.007  -0.033 0.106  -0.014 0.205  0.006 0.304  0.026 0.404  0.045 0.503  0.065 0.602  0.085 0.701  0.104 0.800  0.124 0.900  0.144 0.999  0.163 1.098  0.183 1.197  0.203 1.297  0.222 1.396  0.242 1.495  0.256 1.595  0.246 1.695  0.226 1.794  0.237 1.893  0.285 1.979
2#apb#apb40#app4083/t  -0.773 0.041  -0.656 0.091  -0.539 0.140  -0.421 0.188  -0.303 0.234  -0.177 0.257  -0.052 0.279  0.074 0.288  0.201 0.288  0.327 0.278  0.449 0.242  0.570 0.207  0.570 0.334  0.570 0.461  0.570 0.588  0.570 0.716  0.570 0.843  0.570 0.970  0.570 1.097  0.570 1.224  0.570 1.352  0.521 1.303  0.456 1.194  0.394 1.083  0.346 0.965  0.298 0.848  0.250 0.730  0.202 0.612  0.154 0.494  0.111 0.374  0.069 0.254  0.026 0.135  -0.016 0.015  -0.059 -0.105  -0.101 -0.225  -0.144 -0.345  -0.187 -0.465  -0.230 -0.584  -0.273 -0.704  -0.316 -0.824  -0.359 -0.943  -0.400 -1.064  -0.434 -1.186  -0.468 -1.309  -0.503 -1.431  -0.537 -1.554  -0.571 -1.676  -0.624 -1.791  -0.685 -1.903  -0.746 -2.015
2#apb#apb40#app4083/y  -0.108 1.682  -0.146 1.606  -0.170 1.525  -0.187 1.442  -0.204 1.359  -0.212 1.275  -0.212 1.191  -0.212 1.106  -0.204 1.022  -0.187 0.939  -0.170 0.856  -0.137 0.783  -0.072 0.728  -0.008 0.673  0.062 0.626  0.136 0.584  0.210 0.543  0.282 0.500  0.353 0.453  0.423 0.406  0.489 0.355  0.521 0.277  0.552 0.198  0.584 0.120  0.563 0.041  0.531 -0.037  0.498 -0.115  0.466 -0.194  0.434 -0.272  0.399 -0.349  0.353 -0.420  0.307 -0.491  0.261 -0.562  0.215 -0.633  0.169 -0.704  0.122 -0.774  0.051 -0.821  -0.019 -0.868  -0.090 -0.915  -0.160 -0.962  -0.230 -1.009  -0.300 -1.058  -0.369 -1.107  -0.438 -1.156  -0.507 -1.205  -0.576 -1.254  -0.647 -1.299  -0.726 -1.330  -0.805 -1.361  -0.883 -1.393
2#apb#apb40#app4083/W  -0.439 1.151  -0.532 1.134  -0.581 1.004  -0.616 0.869  -0.643 0.732  -0.670 0.595  -0.698 0.459  -0.727 0.322  -0.758 0.186  -0.789 0.050  -0.820 -0.086  -0.850 -0.222  -0.880 -0.358  -0.909 -0.495  -0.938 -0.631  -0.967 -0.767  -0.960 -0.903  -0.923 -1.037  -0.796 -1.072  -0.661 -1.072  -0.535 -1.013  -0.408 -0.954  -0.296 -0.874  -0.196 -0.778  -0.095 -0.681  -0.006 -0.575  0.071 -0.459  0.149 -0.343  0.208 -0.217  0.258 -0.087  0.284 0.049  0.305 0.049  0.323 -0.089  0.355 -0.225  0.449 -0.320  0.577 -0.303  0.705 -0.252  0.801 -0.151  0.897 -0.050  0.982 0.060  1.058 0.177  1.129 0.296  1.168 0.431  1.189 0.565  1.151 0.699  1.102 0.828  1.026 0.945  0.945 1.058  0.842 1.152  0.718 1.200
2#apb#apb40#app4083/a  0.843 1.111  0.762 1.236  0.688 1.365  0.589 1.468  0.459 1.415  0.338 1.329  0.248 1.211  0.157 1.093  0.066 0.975  -0.025 0.857  -0.117 0.739  -0.208 0.622  -0.300 0.504  -0.391 0.386  -0.471 0.261  -0.535 0.127  -0.599 -0.007  -0.664 -0.142  -0.728 -0.276  -0.792 -0.411  -0.869 -0.538  -0.950 -0.663  -1.030 -0.788  -1.102 -0.916  -1.102 -1.065  -0.990 -1.126  -0.869 -1.051  -0.752 -0.959  -0.634 -0.867  -0.517 -0.775  -0.401 -0.682  -0.285 -0.589  -0.168 -0.496  -0.052 -0.403  0.064 -0.310  0.177 -0.212  0.278 -0.103  0.380 0.006  0.481 0.115  0.583 0.224  0.702 0.313  0.777 0.247  0.777 0.098  0.777 -0.051  0.794 -0.198  0.815 -0.346  0.836 -0.493  0.902 -0.623  0.988 -0.745  1.073 -0.867
2#apb#apb40#app4083/t  0.640 2.091  0.693 2.005  0.690 1.853  0.650 1.704  0.610 1.554  0.570 1.405  0.528 1.257  0.470 1.114  0.412 0.970  0.354 0.827  0.296 0.684  0.238 0.541  0.196 0.393  0.161 0.243  0.125 0.092  0.090 -0.058  0.054 -0.208  0.021 -0.359  -0.010 -0.510  -0.040 -0.662  -0.070 -0.813  -0.094 -0.966  -0.103 -1.120  -0.113 -1.274  -0.053 -1.416  0.066 -1.427  -0.007 -1.291  -0.080 -1.155  -0.153 -1.019  -0.226 -0.883  -0.299 -0.747  -0.372 -0.611  -0.445 -0.475  -0.518 -0.338  -0.591 -0.202  -0.664 -0.066  -0.737 0.070  -0.810 0.206  -0.845 0.191  -0.771 0.055  -0.659 -0.039  -0.519 -0.104  -0.374 -0.153  -0.221 -0.172  -0.067 -0.190  0.086 -0.209  0.240 -0.205  0.394 -0.200  0.549 -0.194  0.703 -0.189
2#apb#apb40#app4083/e  -0.639 -0.466  -0.572 -0.537  -0.458 -0.437  -0.343 -0.337  -0.227 -0.238  -0.111 -0.140  0.006 -0.041  0.122 0.058  0.238 0.157  0.354 0.255  0.470 0.354  0.586 0.453  0.702 0.551  0.789 0.675  0.870 0.804  0.951 0.934  1.004 1.073  1.021 1.223  0.877 1.271  0.736 1.280  0.605 1.203  0.474 1.125  0.343 1.048  0.211 0.970  0.093 0.875  -0.022 0.775  -0.137 0.675  -0.252 0.574  -0.366 0.474  -0.479 0.372  -0.560 0.243  -0.641 0.114  -0.722 -0.015  -0.802 -0.145  -0.883 -0.274  -0.893 -0.426  -0.902 -0.578  -0.911 -0.730  -0.802 -0.832  -0.687 -0.931  -0.571 -1.031  -0.433 -1.084  -0.284 -1.113  -0.134 -1.141  0.016 -1.170  0.168 -1.175  0.320 -1.175  0.473 -1.175  0.625 -1.175  0.777 -1.175
2#apb#apb40#app4083/r  -0.447 -1.138  -0.470 -1.208  -0.494 -1.278  -0.557 -1.292  -0.622 -1.270  -0.674 -1.218  -0.700 -1.156  -0.695 -1.083  -0.689 -1.009  -0.683 -0.936  -0.678 -0.863  -0.647 -0.796  -0.614 -0.730  -0.581 -0.664  -0.548 -0.598  -0.515 -0.533  -0.482 -0.467  -0.449 -0.401  -0.416 -0.335  -0.383 -0.269  -0.341 -0.209  -0.294 -0.153  -0.246 -0.096  -0.199 -0.040  -0.151 0.016  -0.104 0.072  -0.056 0.129  -0.008 0.185  0.039 0.241  0.087 0.297  0.134 0.353  0.182 0.410  0.232 0.464  0.283 0.517  0.333 0.571  0.384 0.624  0.435 0.677  0.486 0.731  0.536 0.784  0.587 0.838  0.638 0.891  0.690 0.942  0.750 0.986  0.809 1.030  0.869 1.073  0.928 1.117  0.987 1.160  1.047 1.204  1.117 1.215  1.190 1.215
2#apb#apb40#app4083/W  -0.078 1.231  -0.156 1.115  -0.203 0.983  -0.249 0.851  -0.295 0.720  -0.351 0.593  -0.427 0.475  -0.503 0.358  -0.578 0.240  -0.654 0.123  -0.729 0.005  -0.804 -0.113  -0.878 -0.232  -0.952 -0.350  -1.026 -0.468  -1.088 -0.593  -1.142 -0.722  -1.177 -0.852  -1.076 -0.905  -0.968 -0.818  -0.864 -0.725  -0.770 -0.622  -0.675 -0.519  -0.578 -0.419  -0.468 -0.334  -0.357 -0.249  -0.236 -0.181  -0.107 -0.145  -0.001 -0.223  0.065 -0.346  0.141 -0.463  0.233 -0.565  0.346 -0.643  0.484 -0.621  0.616 -0.584  0.731 -0.504  0.845 -0.424  0.936 -0.317  1.026 -0.211  1.089 -0.090  1.128 0.045  1.158 0.180  1.152 0.319  1.147 0.459  1.127 0.597  1.099 0.734  1.072 0.871  1.039 1.007  1.005 1.142  0.950 1.192
2#apb#apb40#app4083/o  -0.066 0.513  -0.160 0.393  -0.254 0.274  -0.348 0.154  -0.440 0.032  -0.530 -0.091  -0.620 -0.213  -0.711 -0.336  -0.797 -0.461  -0.880 -0.589  -0.962 -0.717  -0.984 -0.851  -0.921 -0.987  -0.778 -1.042  -0.636 -1.096  -0.491 -1.108  -0.341 -1.077  -0.192 -1.046  -0.043 -1.015  0.105 -0.982  0.228 -0.892  0.351 -0.802  0.474 -0.713  0.598 -0.623  0.718 -0.531  0.811 -0.410  0.903 -0.289  0.996 -0.168  1.074 -0.042  1.090 0.110  1.106 0.261  1.122 0.413  1.070 0.549  0.989 0.678  0.909 0.807  0.810 0.913  0.664 0.955  0.517 0.996  0.371 1.038  0.224 1.056  0.078 1.014  -0.068 0.972  -0.215 0.930  -0.355 0.875  -0.480 0.788  -0.606 0.702  -0.731 0.616  -0.806 0.488  -0.866 0.348  -0.926 0.208
2#apb#apb40#app4083/r  -0.560 -0.174  -0.589 -0.265  -0.617 -0.356  -0.646 -0.447  -0.674 -0.538  -0.703 -0.629  -0.754 -0.710  -0.805 -0.790  -0.856 -0.871  -0.905 -0.952  -0.935 -1.043  -0.942 -1.099  -0.870 -1.037  -0.798 -0.975  -0.725 -0.913  -0.652 -0.851  -0.580 -0.789  -0.507 -0.727  -0.434 -0.666  -0.362 -0.604  -0.289 -0.542  -0.216 -0.480  -0.152 -0.410  -0.092 -0.336  -0.032 -0.262  0.028 -0.188  0.088 -0.114  0.149 -0.040  0.209 0.034  0.269 0.109  0.316 0.191  0.354 0.278  0.393 0.365  0.431 0.453  0.470 0.540  0.508 0.627  0.546 0.714  0.585 0.802  0.628 0.887  0.676 0.969  0.724 1.052  0.772 1.134  0.823 1.215  0.880 1.291  0.926 1.258  0.940 1.163  0.958 1.070  0.983 0.978  1.008 0.886  1.033 0.794
2#apb#apb40#app4083/k  0.021 0.990  -0.058 1.191  -0.224 1.032  -0.343 0.833  -0.477 0.643  -0.577 0.435  -0.684 0.229  -0.831 0.052  -0.976 -0.127  -1.096 -0.326  -1.228 -0.516  -1.342 -0.717  -1.415 -0.936  -1.244 -1.021  -1.074 -0.887  -0.924 -0.711  -0.742 -0.572  -0.542 -0.453  -0.342 -0.335  -0.143 -0.217  0.057 -0.099  0.257 0.020  0.456 0.138  0.656 0.256  0.855 0.375  1.055 0.493  1.255 0.611  1.454 0.730  1.436 0.817  1.209 0.791  0.990 0.714  0.771 0.638  0.569 0.526  0.373 0.402  0.177 0.277  -0.024 0.163  -0.232 0.059  -0.440 -0.045  -0.654 -0.132  -0.759 -0.274  -0.527 -0.274  -0.296 -0.292  -0.067 -0.327  0.161 -0.369  0.389 -0.411  0.612 -0.477  0.833 -0.546  1.041 -0.648  1.236 -0.771  1.400 -0.935
2#apb#apb40#app4083/s  0.383 0.833  0.410 0.940  0.437 1.048  0.440 1.157  0.379 1.207  0.269 1.207  0.167 1.171  0.068 1.121  -0.031 1.072  -0.129 1.022  -0.228 0.973  -0.323 0.917  -0.414 0.854  -0.505 0.792  -0.596 0.729  -0.687 0.667  -0.761 0.589  -0.814 0.492  -0.867 0.395  -0.910 0.295  -0.910 0.185  -0.825 0.125  -0.728 0.071  -0.629 0.025  -0.520 0.008  -0.411 -0.009  -0.302 -0.027  -0.193 -0.044  -0.085 -0.066  0.017 -0.108  0.119 -0.150  0.221 -0.192  0.324 -0.234  0.419 -0.287  0.507 -0.355  0.594 -0.423  0.651 -0.509  0.673 -0.617  0.695 -0.725  0.664 -0.828  0.619 -0.929  0.575 -1.030  0.531 -1.132  0.478 -1.227  0.400 -1.305  0.322 -1.383  0.244 -1.461  0.166 -1.539  0.088 -1.617  0.009 -1.696
2#apb#apb40#app4083/A  0.183 1.383  0.132 1.320  0.035 1.037  -0.060 0.753  -0.155 0.469  -0.270 0.193  -0.400 -0.077  -0.530 -0.347  -0.679 -0.606  -0.842 -0.857  -1.007 -1.107  -1.146 -1.317  -1.016 -1.048  -0.873 -0.785  -0.725 -0.525  -0.577 -0.264  -0.440 0.002  -0.303 0.268  -0.176 0.539  -0.061 0.816  0.054 1.092  0.188 1.360  0.342 1.611  0.555 1.601  0.667 1.335  0.694 1.037  0.720 0.738  0.714 0.439  0.708 0.140  0.698 -0.159  0.677 -0.458  0.657 -0.757  0.678 -1.055  0.768 -1.336  0.797 -1.189  0.579 -0.983  0.362 -0.778  0.144 -0.572  -0.073 -0.366  -0.291 -0.160  -0.509 0.045  -0.730 0.140  -0.844 -0.106  -0.679 -0.332  -0.384 -0.356  -0.089 -0.324  0.204 -0.261  0.489 -0.174  0.768 -0.064  1.046 0.046
