2#apa#apa01#app0130/b  -0.922 1.538  -0.797 1.600  -0.674 1.663  -0.673 1.477  -0.673 1.291  -0.673 1.105  -0.673 0.919  -0.673 0.733  -0.673 0.547  -0.632 0.377  -0.548 0.226  -0.548 0.040  -0.548 -0.146  -0.548 -0.333  -0.482 -0.453  -0.424 -0.580  -0.424 -0.767  -0.424 -0.953  -0.424 -1.010  -0.424 -0.824  -0.424 -0.638  -0.424 -0.452  -0.424 -0.266  -0.424 -0.079  -0.380 0.089  -0.299 0.241  -0.169 0.300  -0.031 0.418  0.131 0.476  0.289 0.543  0.475 0.543  0.662 0.543  0.723 0.418  0.820 0.329  0.945 0.267  0.945 0.081  1.069 0.019  1.069 -0.167  1.174 -0.309  1.193 -0.487  1.125 -0.645  1.069 -0.808  0.913 -0.857  0.766 -0.950  0.580 -0.950  0.394 -0.950  0.241 -0.869  0.073 -0.826  -0.051 -0.763  -0.175 -0.701
2#apa#apa01#app0130/l  -0.458 1.477  -0.380 1.477  -0.303 1.477  -0.295 1.407  -0.295 1.329  -0.295 1.252  -0.295 1.174  -0.239 1.153  -0.162 1.153  -0.133 1.104  -0.133 1.026  -0.133 0.949  -0.133 0.871  -0.133 0.794  -0.133 0.716  -0.133 0.639  -0.133 0.561  -0.113 0.504  -0.036 0.504  0.029 0.491  0.029 0.413  0.029 0.336  0.029 0.258  0.029 0.181  0.029 0.103  0.029 0.026  0.029 -0.052  0.029 -0.129  0.029 -0.207  0.029 -0.284  0.067 -0.346  0.122 -0.401  0.177 -0.455  0.191 -0.527  0.191 -0.605  0.191 -0.682  0.191 -0.760  0.191 -0.837  0.191 -0.915  0.191 -0.992  0.191 -1.070  0.191 -1.147  0.191 -1.225  0.191 -1.302  0.191 -1.380  0.191 -1.457  0.191 -1.535  0.191 -1.612  0.191 -1.690  0.191 -1.767
2#apa#apa01#app0130/s  -0.060 1.116  -0.197 1.116  -0.334 1.116  -0.472 1.116  -0.539 1.047  -0.586 0.956  -0.724 0.956  -0.860 0.955  -0.958 0.858  -1.055 0.761  -1.152 0.664  -1.081 0.636  -0.966 0.583  -0.868 0.486  -0.735 0.476  -0.598 0.476  -0.460 0.476  -0.323 0.476  -0.186 0.476  -0.052 0.468  0.045 0.371  0.160 0.316  0.297 0.316  0.435 0.316  0.572 0.316  0.580 0.187  0.687 0.156  0.740 0.072  0.740 -0.065  0.779 -0.163  0.900 -0.180  0.900 -0.317  0.900 -0.454  0.900 -0.592  0.900 -0.729  0.837 -0.803  0.740 -0.844  0.722 -0.963  0.585 -0.963  0.580 -1.096  0.470 -1.123  0.333 -1.123  0.196 -1.123  0.058 -1.123  -0.073 -1.109  -0.170 -1.012  -0.287 -0.963  -0.380 -0.918  -0.402 -0.803  -0.539 -0.803
2#apa#apa01#app0130/w  -1.605 0.747  -1.449 0.747  -1.292 0.747  -1.250 0.632  -1.145 0.580  -1.145 0.423  -1.145 0.266  -1.101 0.128  -1.029 0.000  -0.961 -0.128  -0.914 -0.266  -0.914 -0.422  -0.855 -0.520  -0.728 -0.591  -0.684 -0.730  -0.663 -0.635  -0.524 -0.591  -0.413 -0.480  -0.338 -0.354  -0.246 -0.290  -0.223 -0.156  -0.162 -0.059  -0.108 0.043  0.007 0.085  0.078 0.171  0.122 0.283  0.238 0.247  0.238 0.091  0.238 -0.066  0.286 -0.175  0.353 -0.265  0.353 -0.422  0.411 -0.520  0.539 -0.591  0.650 -0.702  0.786 -0.751  0.905 -0.659  0.929 -0.512  0.929 -0.355  1.021 -0.290  1.044 -0.156  1.044 0.000  1.044 0.157  1.044 0.314  1.044 0.471  1.044 0.628  1.071 0.774  1.159 0.894  1.159 1.051  1.159 1.208
2#apa#apa01#app0130/a  0.619 -0.257  0.619 -0.067  0.619 0.122  0.589 0.299  0.455 0.433  0.271 0.445  0.268 0.632  0.243 0.796  0.092 0.835  0.039 0.972  -0.150 0.972  -0.340 0.972  -0.529 0.972  -0.719 0.972  -0.872 0.885  -1.006 0.751  -1.136 0.615  -1.136 0.426  -1.160 0.246  -1.294 0.112  -1.312 -0.070  -1.309 -0.257  -1.136 -0.273  -1.115 -0.454  -0.981 -0.588  -0.799 -0.608  -0.785 -0.783  -0.596 -0.783  -0.407 -0.783  -0.259 -0.742  -0.203 -0.608  -0.083 -0.538  -0.024 -0.373  0.092 -0.232  0.120 -0.054  0.254 0.080  0.268 0.264  0.451 0.270  0.619 0.248  0.619 0.058  0.668 -0.081  0.794 -0.145  0.872 -0.257  0.970 -0.348  0.970 -0.538  1.089 -0.608  1.279 -0.608  1.321 -0.755  1.482 -0.783  1.672 -0.783
2#apa#apa01#app0130/x  -1.042 1.155  -1.042 0.938  -0.891 0.783  -0.822 0.595  -0.822 0.378  -0.710 0.273  -0.601 0.164  -0.527 -0.022  -0.381 -0.178  -0.374 -0.389  -0.160 -0.392  -0.160 -0.609  0.057 -0.609  0.060 -0.823  0.270 -0.830  0.281 -1.036  0.484 -1.050  0.701 -1.050  0.918 -1.050  1.135 -1.050  1.113 -0.868  1.056 -0.659  0.999 -0.449  0.942 -0.240  0.885 -0.030  0.828 0.179  0.771 0.388  0.714 0.598  0.656 0.807  0.599 1.017  0.542 1.226  0.501 1.313  0.443 1.155  0.281 1.099  0.229 0.934  0.060 0.886  0.015 0.714  -0.160 0.672  -0.160 0.455  -0.195 0.273  -0.381 0.242  -0.408 0.052  -0.601 0.028  -0.601 -0.189  -0.601 -0.406  -0.615 -0.609  -0.822 -0.620  -0.822 -0.837  -0.822 -1.054  -0.822 -1.271
2#apa#apa01#app0130/m  -1.284 0.637  -1.078 0.637  -0.999 0.509  -0.999 0.303  -0.999 0.097  -0.975 -0.099  -0.857 -0.256  -0.857 -0.462  -0.834 -0.645  -0.714 -0.732  -0.714 -0.922  -0.714 -0.716  -0.810 -0.550  -0.857 -0.363  -0.857 -0.157  -0.857 0.049  -0.857 0.255  -0.857 0.461  -0.714 0.525  -0.620 0.637  -0.414 0.637  -0.208 0.637  -0.144 0.494  -0.002 0.346  -0.002 0.140  0.092 -0.027  0.140 -0.213  0.140 -0.419  0.140 -0.625  0.140 -0.744  0.140 -0.538  0.140 -0.332  0.140 -0.126  0.150 0.076  0.283 0.227  0.283 0.433  0.385 0.597  0.575 0.637  0.781 0.637  0.987 0.637  1.137 0.581  1.257 0.494  1.280 0.311  1.353 0.136  1.422 -0.042  1.422 -0.248  1.422 -0.454  1.422 -0.660  1.422 -0.866  1.565 -0.930
2#apa#apa01#app0130/e  -0.370 0.002  -0.208 0.002  -0.047 0.002  0.114 0.002  0.245 0.074  0.361 0.183  0.522 0.183  0.535 0.332  0.664 0.364  0.716 0.473  0.716 0.634  0.716 0.795  0.665 0.906  0.535 0.937  0.524 1.087  0.363 1.087  0.202 1.087  0.041 1.087  -0.121 1.087  -0.282 1.087  -0.370 1.014  -0.423 0.906  -0.574 0.882  -0.688 0.768  -0.731 0.625  -0.731 0.464  -0.792 0.364  -0.912 0.323  -0.912 0.161  -0.912 0.000  -0.912 -0.161  -0.912 -0.322  -0.825 -0.447  -0.731 -0.569  -0.722 -0.721  -0.561 -0.721  -0.444 -0.828  -0.314 -0.902  -0.153 -0.902  -0.008 -0.919  -0.008 -1.080  0.150 -1.083  0.311 -1.083  0.472 -1.083  0.633 -1.083  0.794 -1.083  0.956 -1.083  1.077 -1.044  1.097 -0.902  1.258 -0.902
2#apa#apa01#app0130/r  -0.791 0.336  -0.791 0.198  -0.723 0.127  -0.585 0.127  -0.582 -0.007  -0.582 -0.145  -0.582 -0.283  -0.582 -0.422  -0.521 -0.499  -0.383 -0.499  -0.373 -0.627  -0.373 -0.765  -0.373 -0.903  -0.285 -1.005  -0.187 -1.102  -0.165 -1.231  -0.129 -1.333  0.009 -1.333  -0.059 -1.333  -0.165 -1.301  -0.165 -1.163  -0.165 -1.025  -0.165 -0.887  -0.165 -0.749  -0.165 -0.611  -0.165 -0.473  -0.165 -0.335  -0.165 -0.197  -0.165 -0.059  -0.165 0.079  -0.165 0.217  -0.165 0.356  -0.165 0.494  -0.078 0.545  0.044 0.561  0.044 0.699  0.128 0.754  0.253 0.766  0.253 0.905  0.333 0.962  0.471 0.962  0.609 0.962  0.670 1.039  0.677 1.171  0.815 1.171  0.953 1.171  1.091 1.171  1.229 1.171  1.367 1.171  1.505 1.171
2#apa#apa01#app0130/c  0.429 1.211  0.328 1.211  0.227 1.211  0.126 1.211  0.025 1.211  -0.076 1.211  -0.170 1.194  -0.241 1.123  -0.313 1.052  -0.384 0.980  -0.455 0.909  -0.527 0.838  -0.541 0.743  -0.541 0.642  -0.629 0.629  -0.730 0.629  -0.735 0.533  -0.735 0.432  -0.735 0.331  -0.735 0.231  -0.735 0.130  -0.735 0.029  -0.735 -0.072  -0.717 -0.165  -0.646 -0.237  -0.574 -0.308  -0.503 -0.380  -0.432 -0.451  -0.360 -0.522  -0.265 -0.535  -0.164 -0.535  -0.089 -0.599  -0.018 -0.670  0.059 -0.729  0.159 -0.729  0.260 -0.729  0.361 -0.729  0.452 -0.753  0.524 -0.824  0.595 -0.896  0.684 -0.923  0.785 -0.923  0.817 -0.853  0.817 -0.753  0.894 -0.729  0.995 -0.729  1.096 -0.729  1.197 -0.729  1.298 -0.729  1.399 -0.729
2#apa#apa01#app0130/i  -0.027 -0.335  -0.027 -0.431  0.009 -0.491  0.105 -0.491  0.130 -0.563  0.130 -0.659  0.130 -0.755  0.130 -0.851  0.130 -0.947  0.130 -1.043  0.130 -1.139  0.130 -1.235  0.130 -1.331  0.130 -1.427  0.121 -1.336  0.112 -1.241  0.103 -1.145  0.094 -1.050  0.085 -0.954  0.075 -0.858  0.066 -0.763  0.057 -0.667  0.048 -0.571  0.039 -0.476  0.030 -0.380  0.021 -0.285  0.012 -0.189  0.003 -0.093  -0.006 0.002  -0.016 0.098  -0.025 0.194  -0.034 0.289  -0.043 0.385  -0.052 0.480  -0.061 0.576  -0.070 0.672  -0.079 0.767  -0.088 0.863  -0.098 0.959  -0.107 1.054  -0.116 1.150  -0.125 1.245  -0.134 1.341  -0.143 1.437  -0.152 1.532  -0.161 1.628  -0.170 1.724  -0.180 1.819  -0.183 1.794  -0.183 1.698
2#apa#apa01#app0130/f  -0.308 -1.868  -0.308 -1.716  -0.308 -1.563  -0.308 -1.411  -0.308 -1.259  -0.308 -1.106  -0.308 -0.954  -0.308 -0.802  -0.308 -0.649  -0.319 -0.508  -0.432 -0.468  -0.432 -0.316  -0.432 -0.163  -0.432 -0.011  -0.432 0.141  -0.432 0.294  -0.432 0.446  -0.432 0.599  -0.329 0.708  -0.308 0.852  -0.280 0.977  -0.184 1.033  -0.184 1.186  -0.070 1.224  -0.042 1.348  0.111 1.348  0.241 1.294  0.364 1.224  0.517 1.224  0.558 1.113  0.693 1.089  0.801 0.981  0.794 0.834  0.718 0.701  0.643 0.569  0.567 0.437  0.492 0.304  0.416 0.172  0.340 0.040  0.265 -0.093  0.189 -0.225  0.114 -0.357  0.038 -0.490  -0.038 -0.622  -0.113 -0.754  -0.176 -0.879  -0.061 -0.916  0.006 -1.002  0.158 -1.002  0.310 -1.002
2#apa#apa01#app0130/u  -1.233 0.887  -1.233 0.761  -1.233 0.635  -1.298 0.574  -1.389 0.539  -1.389 0.413  -1.389 0.286  -1.389 0.160  -1.340 0.054  -1.251 -0.035  -1.161 -0.125  -1.070 -0.210  -0.944 -0.210  -0.919 -0.311  -0.848 -0.367  -0.722 -0.367  -0.596 -0.367  -0.469 -0.367  -0.343 -0.367  -0.217 -0.367  -0.090 -0.367  0.036 -0.367  0.162 -0.367  0.256 -0.288  0.346 -0.199  0.435 -0.110  0.492 -0.007  0.492 0.119  0.492 0.246  0.492 0.372  0.573 0.417  0.648 0.468  0.648 0.594  0.648 0.720  0.648 0.614  0.648 0.488  0.648 0.362  0.666 0.243  0.755 0.153  0.805 0.048  0.805 -0.079  0.805 -0.205  0.926 -0.210  0.962 -0.301  1.005 -0.409  1.094 -0.499  1.119 -0.615  1.180 -0.680  1.306 -0.680  1.432 -0.680
2#apa#apa01#app0130/l  -0.112 1.630  -0.112 1.559  -0.112 1.488  -0.112 1.417  -0.060 1.398  0.004 1.390  0.004 1.319  0.004 1.248  0.004 1.177  0.004 1.106  0.004 1.035  0.004 0.964  0.004 0.893  0.004 0.822  0.004 0.750  0.004 0.679  0.004 0.608  0.004 0.537  0.004 0.466  0.004 0.395  0.004 0.324  0.004 0.253  0.004 0.182  0.004 0.110  0.004 0.039  0.004 -0.032  0.004 -0.103  0.004 -0.174  0.004 -0.245  0.004 -0.316  0.004 -0.387  0.004 -0.459  0.004 -0.530  0.004 -0.601  0.004 -0.672  0.004 -0.743  0.004 -0.814  0.004 -0.885  0.004 -0.956  0.004 -1.027  0.004 -1.099  0.004 -1.170  0.004 -1.241  0.004 -1.312  0.004 -1.383  0.004 -1.454  0.023 -1.506  0.094 -1.506  0.120 -1.551  0.120 -1.622
