3#apb#apb15#app1542/I  0.050 0.856  0.050 0.831  0.020 0.603  -0.013 0.375  -0.035 0.146  -0.057 -0.083  -0.083 -0.312  -0.100 -0.542  -0.102 -0.772  -0.068 -1.000  -0.133 -0.855  -0.239 -0.650  -0.345 -0.446  -0.451 -0.241  -0.556 -0.036  -0.662 0.169  -0.768 0.373  -0.873 0.578  -0.996 0.741  -0.766 0.749  -0.538 0.777  -0.308 0.784  -0.077 0.784  0.152 0.800  0.381 0.826  0.610 0.849  0.840 0.869  1.070 0.889  1.299 0.907  1.530 0.914  1.482 0.817  1.301 0.675  1.120 0.532  0.939 0.389  0.758 0.247  0.577 0.104  0.397 -0.038  0.216 -0.181  0.035 -0.324  -0.146 -0.466  -0.327 -0.609  -0.508 -0.752  -0.689 -0.894  -0.870 -1.037  -1.041 -1.183  -0.868 -1.287  -0.641 -1.284  -0.413 -1.250  -0.189 -1.197  0.036 -1.145
3#apb#apb15#app1542/t  0.425 1.475  0.364 1.356  0.334 1.199  0.309 1.041  0.284 0.883  0.260 0.725  0.238 0.567  0.216 0.408  0.195 0.249  0.174 0.091  0.163 -0.069  0.153 -0.228  0.143 -0.388  0.133 -0.548  0.123 -0.707  0.112 -0.867  0.102 -1.027  0.097 -1.186  0.113 -1.345  0.129 -1.505  0.151 -1.663  0.164 -1.773  0.116 -1.621  0.068 -1.468  0.020 -1.315  -0.028 -1.163  -0.076 -1.010  -0.124 -0.858  -0.172 -0.705  -0.220 -0.552  -0.268 -0.400  -0.316 -0.247  -0.364 -0.094  -0.412 0.058  -0.460 0.211  -0.508 0.363  -0.556 0.516  -0.604 0.669  -0.652 0.821  -0.700 0.974  -0.626 1.003  -0.468 0.978  -0.309 0.961  -0.150 0.946  0.009 0.933  0.169 0.920  0.327 0.902  0.483 0.866  0.639 0.830  0.795 0.794
3#apb#apb15#app1542/h  -0.340 2.117  -0.328 1.991  -0.316 1.865  -0.306 1.738  -0.295 1.612  -0.285 1.485  -0.278 1.359  -0.274 1.232  -0.269 1.105  -0.265 0.978  -0.262 0.851  -0.262 0.725  -0.262 0.598  -0.262 0.471  -0.262 0.344  -0.262 0.217  -0.266 0.090  -0.270 -0.036  -0.273 -0.163  -0.277 -0.290  -0.281 -0.417  -0.281 -0.544  -0.281 -0.671  -0.281 -0.798  -0.281 -0.924  -0.273 -1.051  -0.263 -1.177  -0.254 -1.256  -0.213 -1.136  -0.168 -1.017  -0.123 -0.898  -0.067 -0.785  0.000 -0.677  0.067 -0.569  0.134 -0.462  0.198 -0.352  0.262 -0.243  0.325 -0.133  0.397 -0.029  0.486 0.061  0.576 0.035  0.627 -0.078  0.627 -0.205  0.627 -0.332  0.642 -0.458  0.660 -0.583  0.667 -0.710  0.667 -0.837  0.689 -0.960  0.726 -1.082
3#apb#apb15#app1542/V  -0.996 0.845  -0.970 0.962  -0.964 1.081  -0.910 1.008  -0.864 0.897  -0.819 0.786  -0.781 0.672  -0.744 0.558  -0.706 0.445  -0.671 0.330  -0.638 0.215  -0.605 0.100  -0.571 -0.015  -0.536 -0.130  -0.499 -0.244  -0.462 -0.358  -0.426 -0.472  -0.385 -0.585  -0.342 -0.696  -0.299 -0.808  -0.253 -0.919  -0.180 -1.014  -0.108 -1.109  -0.029 -1.198  0.066 -1.272  0.177 -1.314  0.251 -1.236  0.307 -1.131  0.347 -1.018  0.379 -0.903  0.400 -0.785  0.421 -0.667  0.438 -0.549  0.450 -0.429  0.461 -0.310  0.473 -0.191  0.490 -0.072  0.510 0.046  0.529 0.164  0.549 0.282  0.569 0.401  0.601 0.516  0.636 0.630  0.671 0.745  0.706 0.860  0.741 0.974  0.797 1.080  0.855 1.185  0.920 1.284  1.011 1.362
3#apb#apb15#app1542/a  0.914 -0.079  0.832 0.069  0.750 0.218  0.684 0.374  0.583 0.506  0.463 0.626  0.322 0.718  0.175 0.804  0.025 0.878  -0.142 0.906  -0.309 0.934  -0.475 0.903  -0.641 0.868  -0.794 0.811  -0.909 0.686  -1.024 0.562  -1.139 0.437  -1.246 0.306  -1.351 0.173  -1.401 0.021  -1.401 -0.148  -1.390 -0.314  -1.279 -0.442  -1.156 -0.555  -1.011 -0.643  -0.861 -0.713  -0.691 -0.713  -0.522 -0.713  -0.352 -0.713  -0.193 -0.661  -0.036 -0.598  0.122 -0.535  0.268 -0.450  0.411 -0.359  0.529 -0.246  0.605 -0.094  0.670 0.061  0.707 0.226  0.724 0.394  0.720 0.484  0.703 0.315  0.697 0.147  0.710 -0.022  0.723 -0.191  0.786 -0.348  0.854 -0.503  0.922 -0.658  1.023 -0.790  1.143 -0.910  1.263 -1.030
3#apb#apb15#app1542/l  0.034 1.686  0.003 1.624  -0.013 1.557  -0.021 1.489  -0.030 1.420  -0.038 1.351  -0.047 1.282  -0.050 1.213  -0.052 1.143  -0.055 1.074  -0.058 1.004  -0.060 0.935  -0.063 0.866  -0.065 0.796  -0.068 0.727  -0.065 0.658  -0.063 0.588  -0.061 0.519  -0.058 0.449  -0.056 0.380  -0.054 0.311  -0.051 0.241  -0.049 0.172  -0.046 0.103  -0.040 0.033  -0.034 -0.036  -0.029 -0.105  -0.023 -0.174  -0.017 -0.243  -0.011 -0.312  -0.006 -0.382  0.000 -0.451  0.006 -0.520  0.012 -0.589  0.019 -0.658  0.026 -0.727  0.034 -0.796  0.042 -0.865  0.049 -0.934  0.057 -1.003  0.065 -1.072  0.072 -1.141  0.080 -1.210  0.088 -1.279  0.096 -1.348  0.104 -1.417  0.112 -1.486  0.120 -1.555  0.128 -1.624  0.136 -1.693
3#apb#apb15#app1542/l  0.124 1.688  0.104 1.622  0.084 1.555  0.065 1.489  0.057 1.420  0.050 1.351  0.042 1.282  0.034 1.213  0.027 1.144  0.019 1.075  0.012 1.006  0.005 0.937  0.001 0.867  -0.003 0.798  -0.007 0.729  -0.012 0.659  -0.016 0.590  -0.020 0.521  -0.024 0.452  -0.028 0.382  -0.032 0.313  -0.032 0.244  -0.032 0.174  -0.032 0.105  -0.032 0.035  -0.032 -0.034  -0.032 -0.103  -0.032 -0.173  -0.032 -0.242  -0.032 -0.312  -0.032 -0.381  -0.032 -0.450  -0.032 -0.520  -0.032 -0.589  -0.032 -0.659  -0.032 -0.728  -0.032 -0.797  -0.032 -0.867  -0.030 -0.936  -0.024 -1.005  -0.018 -1.074  -0.012 -1.144  -0.006 -1.213  -0.000 -1.282  0.006 -1.351  0.014 -1.420  0.022 -1.489  0.030 -1.558  0.038 -1.627  0.046 -1.696
3#apb#apb15#app1542/e  -1.365 -0.382  -1.206 -0.335  -1.047 -0.287  -0.886 -0.246  -0.724 -0.214  -0.561 -0.181  -0.398 -0.149  -0.234 -0.133  -0.068 -0.122  0.098 -0.111  0.263 -0.096  0.425 -0.062  0.587 -0.027  0.749 0.008  0.904 0.065  1.056 0.133  1.204 0.206  1.347 0.291  1.293 0.433  1.219 0.582  1.107 0.702  0.983 0.812  0.859 0.922  0.704 0.971  0.542 1.009  0.381 1.046  0.220 1.034  0.060 0.990  -0.100 0.946  -0.240 0.859  -0.376 0.765  -0.513 0.670  -0.647 0.574  -0.721 0.425  -0.795 0.277  -0.844 0.122  -0.844 -0.043  -0.844 -0.209  -0.781 -0.362  -0.712 -0.513  -0.643 -0.663  -0.511 -0.764  -0.380 -0.866  -0.248 -0.967  -0.116 -1.066  0.043 -1.113  0.202 -1.161  0.361 -1.209  0.520 -1.256  0.679 -1.304
3#apb#apb15#app1542/y  -0.547 1.117  -0.615 1.026  -0.666 0.925  -0.695 0.815  -0.695 0.701  -0.652 0.598  -0.576 0.516  -0.486 0.446  -0.376 0.418  -0.264 0.392  -0.150 0.392  -0.037 0.398  0.071 0.437  0.173 0.487  0.269 0.548  0.338 0.634  0.385 0.738  0.435 0.841  0.486 0.943  0.531 1.047  0.553 1.142  0.507 1.038  0.467 0.931  0.431 0.822  0.395 0.714  0.362 0.604  0.334 0.494  0.305 0.383  0.277 0.272  0.248 0.162  0.221 0.051  0.198 -0.061  0.175 -0.173  0.152 -0.285  0.129 -0.397  0.107 -0.509  0.081 -0.620  0.054 -0.731  0.027 -0.842  0.000 -0.954  -0.027 -1.065  -0.054 -1.176  -0.087 -1.285  -0.119 -1.394  -0.152 -1.504  -0.185 -1.613  -0.235 -1.715  -0.300 -1.808  -0.366 -1.902  -0.431 -1.995
3#apb#apb15#app1542/H  -0.622 1.414  -0.553 1.308  -0.560 1.060  -0.580 0.810  -0.608 0.561  -0.638 0.312  -0.670 0.064  -0.708 -0.184  -0.743 -0.432  -0.764 -0.682  -0.779 -0.932  -0.777 -1.182  -0.702 -1.366  -0.580 -1.147  -0.464 -0.925  -0.348 -0.703  -0.231 -0.482  -0.115 -0.260  0.002 -0.038  0.118 0.184  0.234 0.406  0.351 0.628  0.467 0.850  0.583 1.072  0.700 1.294  0.816 1.516  0.809 1.478  0.807 1.228  0.801 0.977  0.789 0.727  0.780 0.477  0.770 0.226  0.747 -0.023  0.718 -0.272  0.686 -0.520  0.652 -0.769  0.650 -1.019  0.632 -1.265  0.460 -1.169  0.275 -1.000  0.090 -0.831  -0.095 -0.662  -0.280 -0.493  -0.465 -0.324  -0.650 -0.155  -0.696 0.004  -0.453 0.051  -0.203 0.064  0.048 0.064  0.298 0.064
3#apb#apb15#app1542/o  -0.410 0.330  -0.537 0.295  -0.665 0.260  -0.792 0.226  -0.918 0.188  -1.036 0.129  -1.154 0.070  -1.233 -0.032  -1.237 -0.153  -1.201 -0.279  -1.156 -0.401  -1.062 -0.494  -0.969 -0.587  -0.876 -0.680  -0.752 -0.699  -0.620 -0.699  -0.488 -0.699  -0.356 -0.699  -0.224 -0.699  -0.093 -0.699  0.039 -0.699  0.171 -0.699  0.303 -0.699  0.435 -0.699  0.566 -0.699  0.692 -0.679  0.802 -0.606  0.912 -0.533  1.021 -0.460  1.115 -0.369  1.197 -0.266  1.233 -0.153  1.204 -0.024  1.175 0.105  1.127 0.222  1.029 0.310  0.931 0.399  0.834 0.488  0.736 0.576  0.632 0.655  0.509 0.702  0.386 0.749  0.263 0.797  0.140 0.844  0.020 0.897  -0.098 0.956  -0.216 1.015  -0.334 1.074  -0.460 1.071  -0.589 1.045
3#apb#apb15#app1542/s  1.149 1.134  1.031 1.099  0.914 1.064  0.796 1.028  0.675 1.016  0.552 1.009  0.430 1.002  0.307 0.994  0.185 0.987  0.067 0.958  -0.048 0.914  -0.163 0.871  -0.278 0.828  -0.393 0.785  -0.511 0.760  -0.633 0.760  -0.756 0.760  -0.813 0.653  -0.834 0.535  -0.827 0.415  -0.746 0.323  -0.665 0.231  -0.585 0.138  -0.478 0.081  -0.367 0.029  -0.255 -0.022  -0.144 -0.074  -0.030 -0.119  0.086 -0.158  0.203 -0.197  0.319 -0.235  0.427 -0.293  0.529 -0.361  0.631 -0.429  0.700 -0.514  0.691 -0.633  0.604 -0.720  0.517 -0.807  0.420 -0.880  0.313 -0.940  0.206 -1.000  0.099 -1.060  -0.008 -1.120  -0.115 -1.181  -0.234 -1.209  -0.354 -1.234  -0.474 -1.259  -0.594 -1.284  -0.714 -1.310  -0.834 -1.335
3#apb#apb15#app1542/p  0.005 0.757  0.048 0.604  0.084 0.449  0.121 0.294  0.160 0.140  0.182 -0.017  0.190 -0.176  0.193 -0.334  0.159 -0.490  0.125 -0.645  0.090 -0.800  0.054 -0.955  0.017 -1.110  -0.033 -1.261  -0.089 -1.410  -0.129 -1.563  -0.184 -1.710  -0.255 -1.623  -0.322 -1.479  -0.393 -1.336  -0.420 -1.180  -0.444 -1.023  -0.468 -0.865  -0.473 -0.707  -0.473 -0.548  -0.473 -0.389  -0.473 -0.229  -0.463 -0.071  -0.440 0.086  -0.417 0.244  -0.394 0.401  -0.371 0.559  -0.342 0.715  -0.306 0.870  -0.270 1.025  -0.220 1.174  -0.129 1.304  0.006 1.381  0.163 1.389  0.315 1.352  0.459 1.286  0.573 1.177  0.678 1.058  0.754 0.918  0.803 0.774  0.776 0.617  0.686 0.491  0.576 0.376  0.451 0.278  0.312 0.202
3#apb#apb15#app1542/i  0.105 -0.553  0.128 -0.635  0.148 -0.718  0.148 -0.803  0.148 -0.888  0.148 -0.973  0.166 -1.053  0.209 -1.127  0.243 -1.205  0.266 -1.287  0.319 -1.347  0.325 -1.301  0.305 -1.218  0.285 -1.135  0.265 -1.053  0.246 -0.970  0.226 -0.887  0.206 -0.804  0.187 -0.721  0.167 -0.638  0.147 -0.555  0.127 -0.473  0.108 -0.390  0.088 -0.307  0.068 -0.224  0.048 -0.141  0.029 -0.058  0.009 0.025  -0.011 0.107  -0.031 0.190  -0.050 0.273  -0.070 0.356  -0.090 0.439  -0.109 0.522  -0.129 0.605  -0.149 0.688  -0.169 0.770  -0.188 0.853  -0.208 0.936  -0.228 1.019  -0.248 1.102  -0.267 1.185  -0.287 1.268  -0.307 1.350  -0.326 1.433  -0.346 1.516  -0.366 1.599  -0.386 1.682  -0.407 1.763  -0.490 1.784
3#apb#apb15#app1542/t  0.021 1.888  -0.005 1.727  -0.013 1.564  -0.021 1.401  -0.029 1.238  -0.036 1.075  -0.043 0.912  -0.050 0.749  -0.046 0.586  -0.040 0.422  -0.034 0.259  -0.028 0.096  -0.007 -0.066  0.018 -0.227  0.042 -0.388  0.067 -0.550  0.089 -0.711  0.110 -0.873  0.131 -1.035  0.160 -1.196  0.198 -1.355  0.235 -1.513  0.286 -1.669  0.269 -1.658  0.197 -1.512  0.125 -1.365  0.052 -1.219  -0.020 -1.073  -0.092 -0.926  -0.165 -0.780  -0.237 -0.634  -0.309 -0.487  -0.382 -0.341  -0.454 -0.195  -0.526 -0.048  -0.599 0.098  -0.671 0.244  -0.743 0.391  -0.675 0.524  -0.515 0.553  -0.354 0.582  -0.194 0.613  -0.033 0.639  0.130 0.639  0.294 0.639  0.457 0.639  0.619 0.627  0.780 0.599  0.941 0.571  1.102 0.543
3#apb#apb15#app1542/a  1.044 0.473  0.898 0.546  0.752 0.619  0.599 0.677  0.445 0.733  0.292 0.788  0.133 0.828  -0.026 0.864  -0.190 0.864  -0.352 0.850  -0.511 0.815  -0.665 0.766  -0.792 0.664  -0.920 0.562  -1.044 0.456  -1.137 0.322  -1.231 0.188  -1.313 0.049  -1.349 -0.111  -1.384 -0.270  -1.340 -0.428  -1.265 -0.546  -1.102 -0.546  -0.938 -0.546  -0.775 -0.546  -0.611 -0.546  -0.448 -0.546  -0.288 -0.528  -0.140 -0.459  0.009 -0.391  0.157 -0.322  0.266 -0.204  0.366 -0.075  0.462 0.057  0.520 0.210  0.578 0.363  0.651 0.509  0.580 0.373  0.533 0.217  0.517 0.054  0.500 -0.108  0.545 -0.261  0.614 -0.409  0.682 -0.558  0.769 -0.692  0.900 -0.790  1.030 -0.888  1.177 -0.959  1.326 -1.027  1.475 -1.094
3#apb#apb15#app1542/l  0.097 1.686  0.097 1.617  0.095 1.547  0.075 1.480  0.055 1.414  0.035 1.347  0.015 1.280  -0.005 1.213  -0.025 1.147  -0.039 1.079  -0.042 1.009  -0.045 0.940  -0.048 0.870  -0.050 0.801  -0.053 0.731  -0.056 0.661  -0.059 0.592  -0.060 0.522  -0.060 0.452  -0.060 0.383  -0.060 0.313  -0.060 0.243  -0.060 0.174  -0.060 0.104  -0.060 0.034  -0.059 -0.035  -0.057 -0.105  -0.054 -0.174  -0.051 -0.244  -0.049 -0.314  -0.046 -0.383  -0.043 -0.453  -0.041 -0.523  -0.038 -0.592  -0.025 -0.661  -0.012 -0.729  0.002 -0.797  0.016 -0.866  0.029 -0.934  0.043 -1.002  0.054 -1.071  0.062 -1.140  0.069 -1.209  0.076 -1.279  0.084 -1.348  0.091 -1.417  0.097 -1.487  0.097 -1.556  0.097 -1.626  0.097 -1.696
3#apb#apb15#app1542/n  -1.058 0.488  -1.011 0.630  -0.929 0.712  -0.888 0.572  -0.853 0.428  -0.827 0.281  -0.800 0.134  -0.791 -0.015  -0.781 -0.163  -0.772 -0.312  -0.768 -0.461  -0.768 -0.610  -0.768 -0.760  -0.768 -0.909  -0.768 -1.058  -0.768 -1.207  -0.738 -1.153  -0.678 -1.017  -0.614 -0.882  -0.544 -0.751  -0.474 -0.619  -0.405 -0.487  -0.332 -0.357  -0.248 -0.234  -0.164 -0.111  -0.079 0.012  0.005 0.135  0.090 0.258  0.177 0.379  0.264 0.500  0.352 0.621  0.439 0.741  0.536 0.853  0.647 0.953  0.758 1.053  0.885 1.125  0.972 1.034  0.972 0.885  0.972 0.736  0.955 0.588  0.936 0.440  0.916 0.292  0.908 0.144  0.908 -0.006  0.908 -0.155  0.908 -0.304  0.908 -0.453  0.929 -0.591  1.051 -0.675  1.198 -0.704
3#apb#apb15#app1542/o  0.023 1.107  -0.085 1.038  -0.193 0.968  -0.301 0.899  -0.408 0.830  -0.502 0.743  -0.589 0.649  -0.676 0.555  -0.762 0.461  -0.845 0.364  -0.899 0.247  -0.953 0.131  -1.006 0.015  -1.030 -0.106  -1.011 -0.233  -0.993 -0.360  -0.975 -0.487  -0.897 -0.582  -0.802 -0.667  -0.706 -0.752  -0.597 -0.816  -0.480 -0.870  -0.364 -0.924  -0.248 -0.977  -0.120 -0.973  0.008 -0.966  0.136 -0.959  0.264 -0.952  0.389 -0.933  0.508 -0.885  0.627 -0.838  0.722 -0.760  0.793 -0.653  0.864 -0.547  0.903 -0.427  0.930 -0.301  0.957 -0.176  0.983 -0.051  0.942 0.071  0.902 0.192  0.861 0.314  0.821 0.435  0.748 0.540  0.673 0.644  0.597 0.748  0.521 0.850  0.442 0.951  0.363 1.053  0.279 1.149  0.188 1.240
