2#apb#apb15#app1539/G  1.109 1.211  1.179 1.338  1.024 1.321  0.874 1.272  0.730 1.209  0.585 1.147  0.442 1.082  0.298 1.018  0.154 0.953  0.020 0.870  -0.114 0.788  -0.249 0.706  -0.373 0.610  -0.495 0.510  -0.617 0.410  -0.724 0.296  -0.817 0.169  -0.910 0.042  -0.999 -0.088  -1.063 -0.232  -1.127 -0.376  -1.151 -0.526  -1.137 -0.683  -1.062 -0.806  -0.933 -0.896  -0.795 -0.963  -0.639 -0.983  -0.483 -1.002  -0.327 -1.001  -0.172 -0.972  -0.017 -0.942  0.137 -0.913  0.290 -0.872  0.442 -0.831  0.587 -0.776  0.710 -0.678  0.808 -0.559  0.842 -0.414  0.809 -0.261  0.685 -0.163  0.552 -0.081  0.407 -0.019  0.259 0.030  0.103 0.056  -0.054 0.063  -0.070 0.012  0.084 -0.014  0.241 -0.022  0.399 -0.022  0.556 -0.022
2#apb#apb15#app1539/:  -0.165 1.553  -0.236 1.553  -0.278 1.524  -0.278 1.453  -0.277 1.382  -0.238 1.323  -0.198 1.264  -0.159 1.204  -0.124 1.142  -0.089 1.080  -0.053 1.018  -0.018 0.957  0.017 0.895  0.053 0.833  0.061 0.764  0.061 0.693  0.061 0.622  0.061 0.551  0.061 0.479  0.061 0.408  0.061 0.337  0.061 0.266  0.061 0.195  0.061 0.124  0.061 0.052  0.061 -0.019  0.061 -0.090  0.061 -0.161  0.061 -0.232  0.061 -0.304  0.061 -0.375  0.061 -0.446  0.061 -0.517  0.061 -0.588  0.061 -0.660  0.061 -0.731  0.061 -0.802  0.061 -0.873  0.061 -0.944  0.061 -1.015  0.061 -1.087  0.061 -1.158  0.061 -1.229  0.061 -1.300  0.061 -1.371  0.061 -1.443  0.061 -1.514  0.061 -1.585  0.019 -1.614  -0.052 -1.614
2#apb#apb15#app1539/l  0.041 1.371  0.058 1.439  0.075 1.508  0.078 1.535  0.078 1.464  0.075 1.393  0.070 1.322  0.065 1.252  0.060 1.181  0.055 1.110  0.049 1.040  0.044 0.969  0.038 0.898  0.031 0.828  0.024 0.757  0.017 0.687  0.010 0.616  0.003 0.546  -0.004 0.475  -0.011 0.405  -0.016 0.334  -0.018 0.263  -0.020 0.192  -0.022 0.121  -0.025 0.051  -0.027 -0.020  -0.029 -0.091  -0.031 -0.162  -0.033 -0.233  -0.034 -0.304  -0.034 -0.374  -0.034 -0.445  -0.034 -0.516  -0.034 -0.587  -0.034 -0.658  -0.034 -0.729  -0.034 -0.800  -0.034 -0.871  -0.034 -0.941  -0.034 -1.012  -0.034 -1.083  -0.034 -1.154  -0.034 -1.225  -0.034 -1.296  -0.034 -1.367  -0.034 -1.438  -0.034 -1.508  -0.022 -1.578  -0.009 -1.648  0.004 -1.718
2#apb#apb15#app1539/e  -1.066 -0.148  -0.974 -0.024  -0.856 0.084  -0.699 0.124  -0.542 0.163  -0.382 0.179  -0.221 0.179  -0.059 0.179  0.103 0.185  0.264 0.197  0.426 0.209  0.582 0.245  0.737 0.292  0.882 0.361  0.937 0.476  0.870 0.615  0.722 0.680  0.574 0.746  0.426 0.811  0.277 0.876  0.129 0.940  -0.028 0.963  -0.190 0.963  -0.352 0.963  -0.505 0.922  -0.653 0.856  -0.775 0.755  -0.882 0.634  -0.968 0.505  -0.968 0.343  -0.959 0.183  -0.911 0.028  -0.863 -0.127  -0.782 -0.259  -0.659 -0.364  -0.535 -0.468  -0.412 -0.573  -0.267 -0.645  -0.122 -0.717  0.023 -0.790  0.167 -0.862  0.321 -0.913  0.475 -0.962  0.629 -1.011  0.784 -1.060  0.939 -1.101  1.100 -1.124  1.260 -1.147  1.420 -1.170  1.580 -1.193
2#apb#apb15#app1539/m  -1.060 0.799  -1.087 0.634  -1.113 0.468  -1.138 0.302  -1.118 0.137  -1.093 -0.029  -1.058 -0.193  -1.021 -0.356  -0.990 -0.521  -0.965 -0.687  -0.916 -0.845  -0.894 -0.978  -0.871 -0.812  -0.813 -0.655  -0.752 -0.499  -0.671 -0.353  -0.580 -0.213  -0.489 -0.072  -0.406 0.073  -0.333 0.224  -0.261 0.376  -0.189 0.527  -0.107 0.672  -0.001 0.802  0.105 0.932  0.141 0.828  0.108 0.663  0.108 0.496  0.108 0.328  0.108 0.160  0.108 -0.007  0.108 -0.175  0.108 -0.343  0.127 -0.507  0.180 -0.666  0.311 -0.655  0.429 -0.536  0.555 -0.426  0.684 -0.319  0.809 -0.207  0.918 -0.080  1.027 0.047  1.141 0.170  1.270 0.276  1.400 0.382  1.556 0.440  1.629 0.351  1.629 0.184  1.629 0.016  1.629 -0.151
2#apb#apb15#app1539/o  0.207 1.232  0.081 1.248  -0.046 1.264  -0.154 1.206  -0.258 1.133  -0.363 1.060  -0.457 0.975  -0.542 0.880  -0.627 0.785  -0.712 0.691  -0.752 0.570  -0.787 0.448  -0.822 0.325  -0.857 0.203  -0.872 0.076  -0.886 -0.050  -0.901 -0.177  -0.916 -0.303  -0.893 -0.418  -0.808 -0.513  -0.723 -0.608  -0.636 -0.701  -0.535 -0.779  -0.434 -0.856  -0.333 -0.934  -0.232 -1.012  -0.112 -1.033  0.015 -1.033  0.143 -1.033  0.270 -1.033  0.390 -1.006  0.499 -0.940  0.609 -0.875  0.713 -0.802  0.803 -0.712  0.893 -0.622  0.943 -0.511  0.968 -0.386  0.993 -0.261  0.957 -0.141  0.911 -0.022  0.866 0.097  0.817 0.214  0.742 0.317  0.667 0.420  0.592 0.523  0.515 0.625  0.435 0.724  0.355 0.824  0.276 0.923
2#apb#apb15#app1539/n  -0.997 0.894  -0.901 0.782  -0.828 0.653  -0.764 0.519  -0.725 0.376  -0.686 0.232  -0.666 0.086  -0.666 -0.062  -0.666 -0.211  -0.666 -0.360  -0.666 -0.508  -0.666 -0.657  -0.676 -0.804  -0.712 -0.949  -0.751 -1.092  -0.776 -1.237  -0.776 -1.097  -0.776 -0.949  -0.727 -0.812  -0.660 -0.679  -0.594 -0.546  -0.517 -0.419  -0.439 -0.292  -0.362 -0.165  -0.284 -0.038  -0.207 0.089  -0.120 0.209  -0.029 0.327  0.061 0.445  0.151 0.563  0.242 0.681  0.341 0.791  0.452 0.890  0.563 0.988  0.661 1.099  0.731 1.074  0.791 0.938  0.849 0.801  0.892 0.659  0.935 0.516  0.954 0.371  0.954 0.222  0.954 0.073  0.966 -0.075  0.981 -0.223  1.015 -0.365  1.087 -0.494  1.159 -0.624  1.240 -0.749  1.322 -0.873
2#apb#apb15#app1539/s  1.156 1.074  1.058 1.080  0.960 1.087  0.862 1.093  0.764 1.100  0.671 1.078  0.581 1.038  0.491 0.998  0.402 0.959  0.312 0.919  0.222 0.879  0.129 0.848  0.036 0.818  -0.058 0.789  -0.151 0.759  -0.245 0.729  -0.338 0.699  -0.411 0.633  -0.484 0.567  -0.556 0.501  -0.629 0.435  -0.691 0.360  -0.748 0.280  -0.795 0.197  -0.784 0.100  -0.773 0.002  -0.738 -0.086  -0.679 -0.164  -0.620 -0.243  -0.544 -0.300  -0.455 -0.341  -0.366 -0.382  -0.277 -0.423  -0.190 -0.469  -0.107 -0.521  -0.024 -0.574  0.059 -0.627  0.137 -0.686  0.211 -0.750  0.286 -0.814  0.330 -0.901  0.369 -0.990  0.409 -1.080  0.365 -1.168  0.321 -1.256  0.264 -1.332  0.185 -1.391  0.107 -1.450  0.028 -1.509  -0.050 -1.568
2#apb#apb15#app1539/g  0.507 0.943  0.455 1.058  0.341 1.105  0.217 1.122  0.095 1.098  -0.017 1.039  -0.124 0.970  -0.233 0.904  -0.296 0.794  -0.338 0.675  -0.349 0.553  -0.281 0.454  -0.169 0.393  -0.045 0.417  0.077 0.452  0.190 0.509  0.295 0.581  0.390 0.664  0.458 0.772  0.519 0.884  0.542 1.003  0.479 0.956  0.433 0.837  0.389 0.717  0.351 0.596  0.330 0.471  0.309 0.345  0.291 0.219  0.274 0.093  0.258 -0.033  0.240 -0.159  0.216 -0.284  0.192 -0.409  0.168 -0.534  0.134 -0.657  0.099 -0.779  0.062 -0.901  0.020 -1.021  -0.022 -1.142  -0.088 -1.249  -0.164 -1.351  -0.268 -1.424  -0.381 -1.478  -0.506 -1.503  -0.630 -1.489  -0.745 -1.444  -0.839 -1.358  -0.911 -1.259  -0.946 -1.136  -0.981 -1.014
2#apb#apb15#app1539/a  0.475 0.573  0.475 0.739  0.436 0.897  0.345 1.014  0.226 1.102  0.062 1.082  -0.098 1.038  -0.258 0.995  -0.389 0.895  -0.514 0.785  -0.641 0.679  -0.773 0.577  -0.904 0.475  -0.980 0.330  -1.043 0.177  -1.091 0.018  -1.139 -0.142  -1.141 -0.305  -1.127 -0.471  -1.113 -0.637  -1.026 -0.778  -0.938 -0.919  -0.807 -1.018  -0.669 -1.110  -0.520 -1.167  -0.353 -1.167  -0.187 -1.167  -0.048 -1.083  0.088 -0.987  0.217 -0.886  0.281 -0.732  0.345 -0.579  0.409 -0.426  0.474 -0.273  0.540 -0.120  0.605 0.032  0.643 0.193  0.669 0.357  0.694 0.522  0.753 0.675  0.757 0.769  0.684 0.623  0.638 0.463  0.653 0.301  0.689 0.139  0.749 -0.014  0.824 -0.163  0.901 -0.309  1.009 -0.436  1.118 -0.562
2#apb#apb15#app1539/r  -0.091 0.621  -0.069 0.497  -0.034 0.376  0.001 0.254  0.052 0.138  0.104 0.022  0.155 -0.093  0.200 -0.211  0.237 -0.333  0.273 -0.454  0.309 -0.575  0.334 -0.699  0.352 -0.825  0.369 -0.950  0.369 -1.077  0.355 -1.200  0.299 -1.313  0.199 -1.357  0.072 -1.357  -0.051 -1.336  -0.168 -1.289  -0.264 -1.215  -0.338 -1.112  -0.412 -1.009  -0.462 -0.897  -0.471 -0.771  -0.480 -0.645  -0.489 -0.518  -0.498 -0.392  -0.497 -0.267  -0.466 -0.144  -0.435 -0.021  -0.405 0.102  -0.374 0.225  -0.343 0.348  -0.307 0.469  -0.256 0.585  -0.205 0.701  -0.155 0.817  -0.104 0.933  -0.053 1.049  -0.002 1.165  0.094 1.245  0.194 1.323  0.294 1.401  0.394 1.478  0.511 1.523  0.632 1.560  0.754 1.596  0.875 1.633
2#apb#apb15#app1539/l  0.153 1.666  0.117 1.607  0.082 1.547  0.046 1.487  0.019 1.425  0.013 1.356  0.007 1.286  0.001 1.217  -0.005 1.148  -0.011 1.079  -0.017 1.009  -0.023 0.940  -0.023 0.871  -0.023 0.801  -0.023 0.732  -0.023 0.662  -0.023 0.592  -0.023 0.523  -0.023 0.453  -0.023 0.384  -0.021 0.314  -0.019 0.245  -0.016 0.175  -0.014 0.106  -0.012 0.036  -0.009 -0.033  -0.007 -0.102  -0.005 -0.172  -0.002 -0.241  -0.002 -0.311  -0.004 -0.380  -0.007 -0.450  -0.009 -0.519  -0.012 -0.589  -0.014 -0.658  -0.017 -0.728  -0.020 -0.797  -0.022 -0.867  -0.020 -0.936  -0.017 -1.006  -0.013 -1.075  -0.010 -1.144  -0.006 -1.214  -0.003 -1.283  0.001 -1.353  0.007 -1.422  0.012 -1.491  0.017 -1.561  0.021 -1.630  0.021 -1.700
2#apb#apb15#app1539/i  -0.329 -0.093  -0.329 -0.191  -0.329 -0.289  -0.343 -0.386  -0.358 -0.483  -0.373 -0.579  -0.374 -0.677  -0.374 -0.775  -0.374 -0.873  -0.374 -0.971  -0.374 -1.069  -0.374 -1.167  -0.349 -1.262  -0.321 -1.356  -0.294 -1.356  -0.269 -1.261  -0.244 -1.167  -0.218 -1.072  -0.193 -0.977  -0.167 -0.883  -0.142 -0.788  -0.117 -0.693  -0.091 -0.599  -0.066 -0.504  -0.041 -0.409  -0.015 -0.315  0.010 -0.220  0.036 -0.126  0.061 -0.031  0.086 0.064  0.112 0.158  0.137 0.253  0.162 0.348  0.188 0.442  0.213 0.537  0.239 0.632  0.264 0.726  0.289 0.821  0.315 0.916  0.340 1.010  0.365 1.105  0.391 1.200  0.416 1.294  0.442 1.389  0.467 1.484  0.492 1.578  0.503 1.663  0.406 1.677  0.405 1.661  0.492 1.617
2#apb#apb15#app1539/c  1.070 0.922  0.986 0.958  0.902 0.994  0.818 1.030  0.727 1.031  0.636 1.031  0.545 1.031  0.453 1.031  0.362 1.031  0.271 1.031  0.179 1.031  0.088 1.031  0.012 0.991  -0.055 0.930  -0.123 0.868  -0.191 0.807  -0.258 0.745  -0.326 0.684  -0.373 0.608  -0.414 0.526  -0.455 0.444  -0.496 0.363  -0.537 0.281  -0.577 0.199  -0.600 0.113  -0.607 0.022  -0.614 -0.069  -0.621 -0.160  -0.628 -0.251  -0.620 -0.340  -0.585 -0.424  -0.550 -0.509  -0.515 -0.593  -0.480 -0.677  -0.437 -0.755  -0.363 -0.808  -0.288 -0.861  -0.214 -0.914  -0.140 -0.967  -0.065 -1.020  0.009 -1.074  0.089 -1.110  0.180 -1.119  0.271 -1.127  0.362 -1.136  0.453 -1.145  0.544 -1.153  0.635 -1.162  0.725 -1.171  0.816 -1.179
2#apb#apb15#app1539/b  -0.337 1.982  -0.363 1.958  -0.374 1.823  -0.374 1.687  -0.375 1.550  -0.382 1.413  -0.390 1.277  -0.397 1.140  -0.405 1.003  -0.414 0.867  -0.426 0.731  -0.439 0.594  -0.451 0.458  -0.464 0.322  -0.469 0.185  -0.474 0.048  -0.480 -0.088  -0.489 -0.225  -0.507 -0.360  -0.526 -0.496  -0.533 -0.632  -0.521 -0.768  -0.450 -0.797  -0.342 -0.713  -0.234 -0.630  -0.125 -0.547  -0.016 -0.464  0.090 -0.378  0.197 -0.293  0.304 -0.207  0.421 -0.137  0.542 -0.074  0.663 -0.010  0.793 0.034  0.922 0.069  0.997 -0.034  0.996 -0.168  0.956 -0.299  0.909 -0.427  0.857 -0.554  0.761 -0.647  0.653 -0.730  0.535 -0.799  0.411 -0.857  0.286 -0.912  0.159 -0.962  0.029 -1.001  -0.108 -1.001  -0.242 -0.982  -0.374 -0.946
2#apb#apb15#app1539/r  -0.188 0.389  -0.215 0.268  -0.242 0.147  -0.229 0.025  -0.212 -0.098  -0.194 -0.221  -0.176 -0.343  -0.157 -0.465  -0.138 -0.588  -0.131 -0.711  -0.131 -0.835  -0.131 -0.958  -0.131 -1.082  -0.135 -1.204  -0.234 -1.278  -0.337 -1.224  -0.440 -1.156  -0.535 -1.077  -0.617 -0.985  -0.700 -0.893  -0.756 -0.791  -0.756 -0.667  -0.756 -0.543  -0.756 -0.420  -0.737 -0.298  -0.709 -0.177  -0.680 -0.057  -0.652 0.064  -0.598 0.173  -0.531 0.277  -0.464 0.382  -0.397 0.486  -0.292 0.546  -0.180 0.598  -0.067 0.650  0.050 0.686  0.172 0.710  0.293 0.735  0.414 0.759  0.536 0.783  0.659 0.796  0.782 0.808  0.905 0.820  1.028 0.831  1.152 0.843  1.275 0.849  1.399 0.854  1.523 0.860  1.646 0.865  1.770 0.871
2#apb#apb15#app1539/e  -1.225 -0.527  -1.093 -0.428  -0.934 -0.386  -0.773 -0.349  -0.613 -0.311  -0.454 -0.266  -0.295 -0.221  -0.137 -0.175  0.026 -0.146  0.188 -0.117  0.351 -0.089  0.508 -0.045  0.650 0.038  0.793 0.121  0.933 0.208  1.067 0.304  1.148 0.431  1.165 0.595  1.152 0.753  1.072 0.897  0.983 1.030  0.820 1.055  0.657 1.080  0.494 1.091  0.330 1.070  0.167 1.048  0.004 1.023  -0.136 0.936  -0.277 0.850  -0.418 0.763  -0.528 0.643  -0.630 0.513  -0.732 0.384  -0.834 0.254  -0.856 0.091  -0.877 -0.073  -0.897 -0.237  -0.855 -0.384  -0.756 -0.516  -0.657 -0.648  -0.543 -0.760  -0.393 -0.831  -0.244 -0.901  -0.095 -0.971  0.058 -1.033  0.218 -1.073  0.378 -1.113  0.538 -1.153  0.698 -1.193  0.858 -1.233
2#apb#apb15#app1539/a  0.709 1.108  0.548 1.119  0.387 1.130  0.227 1.140  0.069 1.118  -0.087 1.077  -0.242 1.035  -0.393 0.984  -0.512 0.876  -0.631 0.768  -0.750 0.659  -0.842 0.528  -0.926 0.390  -1.011 0.253  -1.076 0.108  -1.110 -0.049  -1.143 -0.207  -1.169 -0.365  -1.151 -0.525  -1.120 -0.679  -1.007 -0.793  -0.855 -0.839  -0.698 -0.874  -0.543 -0.844  -0.389 -0.798  -0.245 -0.730  -0.115 -0.635  0.015 -0.540  0.133 -0.433  0.232 -0.306  0.331 -0.178  0.404 -0.035  0.471 0.111  0.539 0.257  0.609 0.402  0.679 0.547  0.709 0.572  0.650 0.427  0.570 0.287  0.535 0.130  0.504 -0.028  0.517 -0.185  0.556 -0.341  0.595 -0.497  0.693 -0.622  0.801 -0.742  0.909 -0.862  1.054 -0.924  1.207 -0.975  1.360 -1.026
2#apb#apb15#app1539/d  0.706 1.922  0.654 1.826  0.602 1.730  0.562 1.629  0.526 1.526  0.490 1.424  0.455 1.321  0.438 1.213  0.422 1.105  0.406 0.998  0.390 0.890  0.373 0.782  0.357 0.674  0.341 0.567  0.324 0.459  0.308 0.351  0.292 0.244  0.276 0.136  0.260 0.028  0.244 -0.080  0.233 -0.188  0.233 -0.297  0.233 -0.406  0.233 -0.515  0.233 -0.624  0.233 -0.733  0.211 -0.838  0.155 -0.825  0.086 -0.741  0.024 -0.652  -0.038 -0.562  -0.111 -0.482  -0.188 -0.405  -0.270 -0.334  -0.361 -0.273  -0.463 -0.261  -0.569 -0.278  -0.656 -0.343  -0.744 -0.408  -0.807 -0.496  -0.864 -0.588  -0.883 -0.686  -0.851 -0.790  -0.798 -0.878  -0.704 -0.932  -0.609 -0.986  -0.505 -1.017  -0.400 -1.044  -0.294 -1.070  -0.188 -1.096
