2#tos#f1#f1057065/#  -0.690 0.438  -0.958 0.203  -0.633 0.294  -0.285 0.442  0.036 0.637  0.316 0.808  0.620 0.814  0.306 0.550  -0.008 0.287  -0.322 0.023  -0.636 -0.241  -0.950 -0.504  -1.060 -0.873  -1.269 -1.220  -1.132 -1.362  -0.789 -1.169  -0.436 -0.998  -0.113 -0.756  0.250 -0.585  0.595 -0.386  0.958 -0.206  1.347 -0.098  1.464 0.008  1.149 0.270  0.834 0.533  0.519 0.795  0.204 1.057  -0.138 1.244  -0.462 1.191  -0.355 0.818  -0.355 0.408  -0.355 -0.002  -0.355 -0.412  -0.355 -0.822  -0.355 -1.232  -0.287 -1.626  -0.204 -1.256  -0.117 -0.856  -0.030 -0.455  0.058 -0.055  0.145 0.346  0.232 0.747  0.319 1.147  0.289 1.398  0.418 1.074  0.518 0.736  0.518 0.326  0.518 -0.084  0.518 -0.494  0.518 -0.904
2#tos#f1#f1057065/}  -0.027 1.502  -0.127 1.502  -0.226 1.502  -0.213 1.502  -0.130 1.460  -0.076 1.412  -0.031 1.357  0.055 1.323  0.070 1.230  0.070 1.130  0.070 1.031  0.008 0.956  -0.049 0.877  -0.076 0.783  -0.076 0.684  -0.076 0.584  -0.119 0.495  -0.124 0.396  -0.124 0.296  -0.091 0.210  -0.055 0.126  0.015 0.055  0.113 0.049  0.212 0.049  0.312 0.049  0.312 -0.050  0.355 -0.096  0.312 -0.153  0.253 -0.193  0.153 -0.193  0.118 -0.258  0.051 -0.290  0.021 -0.360  -0.003 -0.435  -0.095 -0.469  -0.124 -0.551  -0.124 -0.650  -0.106 -0.748  -0.082 -0.845  -0.076 -0.943  -0.076 -1.043  -0.076 -1.143  -0.047 -1.225  0.021 -1.282  0.021 -1.382  0.021 -1.481  0.021 -1.581  0.021 -1.681  -0.054 -1.721  -0.124 -1.791
2#tos#f1#f1057065/~  -1.337 -0.287  -1.398 -0.356  -1.322 -0.313  -1.289 -0.212  -1.250 -0.113  -1.202 -0.018  -1.174 0.073  -1.079 0.121  -1.046 0.207  -0.950 0.254  -0.849 0.272  -0.815 0.373  -0.782 0.474  -0.688 0.501  -0.623 0.584  -0.575 0.680  -0.473 0.687  -0.386 0.734  -0.311 0.809  -0.211 0.826  -0.105 0.826  0.002 0.826  0.055 0.773  0.119 0.693  0.169 0.599  0.229 0.513  0.263 0.420  0.263 0.314  0.263 0.207  0.263 0.101  0.263 -0.006  0.263 -0.112  0.314 -0.198  0.369 -0.288  0.433 -0.356  0.472 -0.424  0.507 -0.495  0.542 -0.567  0.581 -0.635  0.618 -0.704  0.725 -0.704  0.831 -0.704  0.938 -0.704  1.044 -0.704  1.151 -0.704  1.257 -0.704  1.364 -0.704  1.463 -0.687  1.516 -0.602  1.585 -0.565
2#tos#f1#f1057065/0  0.353 -0.870  0.290 -0.968  0.160 -1.016  0.001 -1.039  -0.158 -1.063  -0.305 -1.124  -0.465 -1.124  -0.535 -1.032  -0.562 -0.878  -0.634 -0.734  -0.661 -0.580  -0.661 -0.419  -0.725 -0.284  -0.725 -0.123  -0.725 0.038  -0.725 0.199  -0.725 0.359  -0.699 0.514  -0.606 0.643  -0.535 0.775  -0.508 0.919  -0.386 1.013  -0.314 1.157  -0.194 1.223  -0.100 1.331  0.050 1.350  0.210 1.350  0.353 1.332  0.469 1.286  0.563 1.162  0.671 1.078  0.723 0.969  0.734 0.819  0.734 0.659  0.734 0.498  0.734 0.337  0.734 0.176  0.687 0.034  0.574 -0.079  0.544 -0.228  0.504 -0.379  0.417 -0.471  0.417 -0.632  0.367 -0.743  0.290 -0.827  0.236 -0.934  0.075 -0.934  -0.086 -0.934  -0.247 -0.934  -0.344 -0.870
2#tos#f1#f1057065/2  -0.256 0.808  -0.331 0.910  -0.463 0.937  -0.546 1.004  -0.546 1.139  -0.438 1.195  -0.308 1.217  -0.179 1.244  -0.043 1.244  0.092 1.244  0.222 1.213  0.355 1.195  0.436 1.133  0.529 1.035  0.604 0.922  0.664 0.839  0.664 0.704  0.664 0.568  0.664 0.433  0.646 0.305  0.616 0.182  0.543 0.069  0.426 0.033  0.305 -0.025  0.193 -0.099  0.097 -0.195  -0.013 -0.273  -0.134 -0.330  -0.249 -0.395  -0.344 -0.491  -0.476 -0.499  -0.578 -0.580  -0.688 -0.658  -0.740 -0.766  -0.846 -0.825  -0.930 -0.887  -0.850 -0.935  -0.714 -0.935  -0.579 -0.935  -0.443 -0.936  -0.310 -0.958  -0.176 -0.981  -0.041 -0.984  0.094 -0.984  0.229 -0.984  0.365 -0.984  0.500 -0.984  0.636 -0.984  0.771 -0.984  0.906 -0.984
2#tos#f1#f1057065/3  -0.539 1.153  -0.561 1.022  -0.554 1.050  -0.442 1.109  -0.323 1.149  -0.207 1.197  -0.075 1.219  0.057 1.240  0.193 1.240  0.322 1.202  0.451 1.159  0.559 1.100  0.568 0.968  0.647 0.865  0.647 0.729  0.647 0.593  0.611 0.466  0.603 0.332  0.481 0.318  0.390 0.245  0.317 0.131  0.199 0.098  0.063 0.098  -0.073 0.098  -0.177 0.022  -0.290 -0.033  -0.302 -0.033  -0.168 -0.023  -0.040 0.011  0.095 0.006  0.226 -0.027  0.295 -0.133  0.295 -0.269  0.295 -0.404  0.295 -0.540  0.295 -0.676  0.251 -0.801  0.194 -0.906  0.118 -1.001  0.025 -1.100  -0.012 -1.227  -0.111 -1.267  -0.240 -1.307  -0.376 -1.307  -0.494 -1.350  -0.629 -1.351  -0.765 -1.351  -0.847 -1.271  -0.935 -1.223  -0.978 -1.219
2#tos#f1#f1057065/5  0.585 1.858  0.457 1.744  0.406 1.613  0.336 1.452  0.295 1.287  0.213 1.167  0.125 1.053  0.047 0.895  -0.078 0.784  -0.101 0.622  -0.158 0.470  -0.227 0.337  -0.272 0.189  -0.272 0.013  -0.272 -0.163  -0.215 -0.315  -0.156 -0.448  -0.043 -0.543  0.081 -0.667  0.226 -0.763  0.300 -0.872  0.357 -0.990  0.362 -1.057  0.200 -1.114  0.071 -1.161  -0.038 -1.229  -0.213 -1.229  -0.376 -1.286  -0.552 -1.286  -0.727 -1.286  -0.817 -1.233  -0.738 -1.075  -0.660 -0.918  -0.581 -0.761  -0.503 -0.603  -0.424 -0.446  -0.345 -0.289  -0.267 -0.132  -0.188 0.026  -0.109 0.183  -0.031 0.340  0.048 0.498  0.127 0.655  0.165 0.732  0.221 0.658  0.397 0.658  0.572 0.658  0.748 0.658  0.924 0.658  1.100 0.658
2#tos#f1#f1057065/7  0.074 1.145  -0.023 1.081  -0.123 1.034  -0.181 0.942  -0.235 0.855  -0.308 0.777  -0.321 0.666  -0.351 0.562  -0.351 0.446  -0.305 0.508  -0.250 0.611  -0.195 0.713  -0.140 0.816  -0.085 0.918  -0.096 0.967  -0.058 0.878  0.051 0.839  0.160 0.806  0.276 0.806  0.370 0.784  0.463 0.756  0.566 0.721  0.583 0.622  0.662 0.555  0.583 0.526  0.500 0.469  0.418 0.387  0.388 0.277  0.345 0.169  0.296 0.063  0.244 -0.041  0.243 -0.157  0.170 -0.243  0.103 -0.338  0.038 -0.435  -0.011 -0.536  -0.011 -0.652  -0.029 -0.765  -0.072 -0.873  -0.109 -0.984  -0.137 -1.097  -0.195 -1.197  -0.255 -1.297  -0.266 -1.410  -0.289 -1.520  -0.352 -1.617  -0.380 -1.730  -0.406 -1.841  -0.476 -1.934  -0.520 -2.035
2#tos#f1#f1057065/8  0.950 0.347  0.756 0.347  0.683 0.493  0.683 0.687  0.621 0.855  0.539 1.026  0.460 1.187  0.355 1.327  0.208 1.431  0.033 1.461  -0.135 1.400  -0.285 1.295  -0.405 1.144  -0.471 0.975  -0.531 0.803  -0.564 0.615  -0.520 0.466  -0.454 0.326  -0.283 0.244  -0.109 0.169  -0.030 0.055  0.094 -0.088  0.258 -0.139  0.344 -0.312  0.371 -0.499  0.371 -0.693  0.333 -0.880  0.233 -1.045  0.147 -1.213  0.062 -1.359  -0.110 -1.443  -0.275 -1.523  -0.468 -1.523  -0.647 -1.451  -0.698 -1.294  -0.787 -1.138  -0.787 -0.944  -0.767 -0.753  -0.672 -0.632  -0.611 -0.462  -0.437 -0.387  -0.271 -0.287  -0.176 -0.122  0.003 -0.098  0.116 0.053  0.247 0.169  0.427 0.211  0.583 0.325  0.756 0.392  0.861 0.481
2#tos#f1#f1057065/C  0.601 0.158  0.689 0.206  0.722 0.300  0.756 0.394  0.821 0.478  0.843 0.581  0.843 0.688  0.843 0.796  0.843 0.904  0.839 1.011  0.777 1.085  0.670 1.085  0.562 1.085  0.454 1.085  0.351 1.056  0.247 1.027  0.152 0.990  0.112 0.890  0.065 0.795  -0.024 0.736  -0.104 0.663  -0.180 0.587  -0.263 0.518  -0.349 0.453  -0.427 0.380  -0.472 0.284  -0.507 0.182  -0.541 0.080  -0.581 -0.020  -0.645 -0.106  -0.698 -0.198  -0.724 -0.303  -0.729 -0.410  -0.729 -0.518  -0.729 -0.625  -0.729 -0.733  -0.729 -0.841  -0.729 -0.949  -0.669 -1.031  -0.582 -1.096  -0.486 -1.132  -0.381 -1.158  -0.275 -1.172  -0.167 -1.172  -0.059 -1.172  0.049 -1.172  0.156 -1.172  0.264 -1.172  0.372 -1.172  0.480 -1.172
2#tos#f1#f1057065/D  -0.303 1.351  -0.203 1.202  -0.153 1.002  -0.153 0.791  -0.153 0.580  -0.153 0.369  -0.170 0.159  -0.203 -0.049  -0.205 -0.259  -0.354 -0.409  -0.433 -0.605  -0.455 -0.812  -0.504 -1.017  -0.504 -1.229  -0.490 -1.085  -0.473 -0.874  -0.456 -0.664  -0.439 -0.453  -0.422 -0.242  -0.405 -0.032  -0.388 0.179  -0.370 0.389  -0.354 0.600  -0.354 0.811  -0.454 0.951  -0.291 0.999  -0.079 0.999  0.090 1.100  0.302 1.100  0.513 1.100  0.724 1.100  0.831 0.985  1.003 0.880  1.033 0.698  1.094 0.517  1.104 0.308  1.104 0.097  1.055 -0.103  0.924 -0.260  0.764 -0.396  0.635 -0.564  0.492 -0.718  0.314 -0.828  0.151 -0.959  -0.032 -1.054  -0.236 -1.107  -0.435 -1.162  -0.646 -1.162  -0.857 -1.160  -1.007 -1.061
2#tos#f1#f1057065/E  -0.877 1.057  -0.944 0.911  -0.890 0.813  -0.677 0.813  -0.484 0.864  -0.312 0.975  -0.106 1.028  0.088 1.114  0.297 1.155  0.509 1.163  0.707 1.242  0.919 1.253  0.781 1.264  0.574 1.212  0.367 1.161  0.160 1.109  -0.046 1.058  -0.096 0.853  -0.096 0.640  -0.096 0.426  -0.131 0.223  -0.194 0.029  -0.194 -0.184  -0.194 -0.398  -0.194 -0.611  -0.194 -0.825  -0.194 -1.038  -0.206 -1.251  -0.242 -1.460  -0.242 -1.487  -0.242 -1.274  -0.242 -1.060  -0.242 -0.847  -0.242 -0.633  -0.280 -0.457  -0.296 -0.410  -0.105 -0.315  0.091 -0.234  0.281 -0.143  0.491 -0.115  0.633 -0.024  0.523 -0.207  0.413 -0.390  0.304 -0.573  0.191 -0.753  0.050 -0.898  0.008 -1.108  0.084 -1.239  0.297 -1.239  0.490 -1.190
2#tos#f1#f1057065/F  -0.437 1.059  -0.437 0.886  -0.437 0.724  -0.305 0.794  -0.140 0.846  -0.004 0.944  0.157 1.001  0.309 1.080  0.478 1.101  0.631 1.176  0.788 1.229  0.887 1.217  0.723 1.162  0.560 1.107  0.396 1.053  0.245 0.976  0.086 0.944  -0.022 0.846  -0.139 0.766  -0.139 0.593  -0.139 0.420  -0.161 0.249  -0.182 0.078  -0.182 -0.095  -0.182 -0.267  -0.226 -0.433  -0.267 -0.599  -0.267 -0.772  -0.292 -0.941  -0.339 -1.108  -0.352 -1.279  -0.352 -1.451  -0.352 -1.624  -0.351 -1.780  -0.332 -1.608  -0.314 -1.436  -0.295 -1.265  -0.276 -1.093  -0.258 -0.921  -0.239 -0.749  -0.221 -0.577  -0.202 -0.406  -0.184 -0.234  -0.111 -0.301  0.061 -0.301  0.232 -0.291  0.396 -0.236  0.566 -0.216  0.734 -0.178  0.881 -0.089
2#tos#f1#f1057065/G  0.384 0.661  0.517 0.740  0.517 0.951  0.472 1.118  0.450 1.325  0.384 1.487  0.186 1.500  -0.025 1.500  -0.203 1.430  -0.338 1.268  -0.506 1.139  -0.632 0.970  -0.660 0.773  -0.809 0.636  -0.818 0.427  -0.898 0.239  -0.898 0.028  -0.898 -0.183  -0.898 -0.395  -0.898 -0.606  -0.898 -0.818  -0.863 -1.025  -0.692 -1.122  -0.487 -1.151  -0.285 -1.110  -0.080 -1.063  0.021 -0.922  0.188 -0.817  0.224 -0.615  0.243 -0.404  0.262 -0.194  0.281 0.017  0.242 0.175  0.040 0.119  0.006 0.042  0.218 0.042  0.429 0.042  0.633 0.086  0.845 0.086  0.871 0.130  0.695 0.044  0.485 0.042  0.472 -0.157  0.415 -0.312  0.384 -0.492  0.384 -0.703  0.384 -0.915  0.384 -1.126  0.384 -1.338  0.384 -1.549
2#tos#f1#f1057065/I  -0.170 1.130  -0.295 1.130  -0.359 1.024  -0.424 0.918  -0.512 0.830  -0.470 0.796  -0.346 0.801  -0.223 0.822  -0.100 0.837  0.025 0.837  0.131 0.899  0.240 0.959  0.358 0.981  0.462 1.046  0.587 1.046  0.619 1.039  0.496 1.018  0.380 0.982  0.276 0.913  0.173 0.844  0.050 0.837  0.038 0.725  0.038 0.600  0.038 0.476  0.060 0.355  0.080 0.233  0.080 0.109  0.080 -0.016  0.074 -0.139  0.028 -0.254  -0.003 -0.373  -0.003 -0.498  -0.071 -0.601  -0.110 -0.718  -0.156 -0.832  -0.212 -0.940  -0.212 -1.064  -0.212 -1.189  -0.299 -1.267  -0.398 -1.334  -0.439 -1.418  -0.403 -1.376  -0.279 -1.373  -0.157 -1.349  -0.040 -1.311  0.081 -1.293  0.203 -1.280  0.321 -1.240  0.436 -1.195  0.540 -1.126
2#tos#f1#f1057065/J  -0.673 0.764  -0.688 0.652  -0.780 0.594  -0.701 0.550  -0.577 0.550  -0.469 0.592  -0.349 0.622  -0.234 0.668  -0.121 0.718  -0.003 0.753  0.119 0.764  0.243 0.764  0.367 0.764  0.485 0.789  0.603 0.820  0.724 0.836  0.843 0.864  0.837 0.868  0.714 0.862  0.590 0.855  0.467 0.849  0.343 0.842  0.219 0.836  0.150 0.782  0.150 0.658  0.150 0.534  0.150 0.410  0.150 0.287  0.179 0.170  0.222 0.056  0.222 -0.068  0.222 -0.191  0.222 -0.315  0.222 -0.439  0.222 -0.563  0.222 -0.686  0.222 -0.810  0.169 -0.916  0.104 -1.020  0.065 -1.138  -0.006 -1.228  -0.098 -1.309  -0.211 -1.340  -0.310 -1.414  -0.433 -1.418  -0.542 -1.454  -0.665 -1.454  -0.789 -1.454  -0.910 -1.435  -1.031 -1.418
2#tos#f1#f1057065/N  -0.663 1.468  -0.706 1.276  -0.706 1.041  -0.706 0.805  -0.728 0.572  -0.750 0.339  -0.750 0.103  -0.750 -0.132  -0.750 -0.368  -0.793 -0.593  -0.793 -0.829  -0.793 -1.064  -0.788 -1.089  -0.777 -0.854  -0.766 -0.619  -0.755 -0.383  -0.744 -0.148  -0.732 0.087  -0.721 0.322  -0.710 0.557  -0.837 0.662  -0.771 0.770  -0.596 0.646  -0.457 0.493  -0.264 0.390  -0.126 0.200  0.051 0.049  0.177 -0.150  0.281 -0.359  0.455 -0.503  0.516 -0.704  0.633 -0.904  0.791 -1.077  0.870 -1.107  0.885 -0.872  0.899 -0.637  0.913 -0.402  0.928 -0.167  0.942 0.068  0.957 0.303  0.971 0.538  0.985 0.773  0.932 0.944  0.821 0.786  0.821 0.550  0.821 0.315  0.821 0.080  0.821 -0.156  0.821 -0.391  0.821 -0.627
2#tos#f1#f1057065/O  -0.039 0.566  -0.093 0.702  -0.119 0.843  -0.144 0.885  -0.263 0.820  -0.367 0.716  -0.471 0.613  -0.553 0.494  -0.598 0.358  -0.636 0.222  -0.711 0.097  -0.739 -0.046  -0.757 -0.191  -0.757 -0.338  -0.757 -0.484  -0.757 -0.631  -0.757 -0.777  -0.757 -0.924  -0.719 -1.064  -0.637 -1.177  -0.504 -1.190  -0.358 -1.190  -0.211 -1.190  -0.065 -1.190  0.082 -1.190  0.224 -1.155  0.318 -1.047  0.429 -0.957  0.540 -0.871  0.641 -0.770  0.731 -0.664  0.773 -0.524  0.832 -0.390  0.879 -0.253  0.879 -0.106  0.879 0.040  0.879 0.187  0.809 0.312  0.758 0.449  0.705 0.584  0.618 0.702  0.547 0.830  0.439 0.912  0.342 1.012  0.222 1.084  0.089 1.117  -0.038 1.164  -0.151 1.244  -0.298 1.244  -0.358 1.124
2#tos#f1#f1057065/Q  -0.182 -0.711  -0.325 -0.835  -0.513 -0.900  -0.651 -0.774  -0.715 -0.590  -0.820 -0.415  -0.910 -0.247  -0.936 -0.053  -0.936 0.152  -0.909 0.349  -0.832 0.535  -0.761 0.727  -0.613 0.862  -0.510 1.036  -0.359 1.174  -0.203 1.306  -0.094 1.465  0.108 1.478  0.308 1.459  0.448 1.327  0.629 1.256  0.784 1.132  0.890 0.964  0.913 0.762  0.913 0.557  0.913 0.352  0.875 0.153  0.829 -0.029  0.709 -0.179  0.625 -0.357  0.480 -0.502  0.319 -0.628  0.246 -0.796  0.104 -0.918  -0.091 -0.981  -0.292 -1.013  -0.493 -1.004  -0.559 -0.826  -0.559 -0.621  -0.559 -0.417  -0.454 -0.262  -0.326 -0.183  -0.121 -0.183  0.009 -0.258  0.186 -0.324  0.361 -0.406  0.512 -0.525  0.686 -0.620  0.853 -0.705  1.026 -0.786
