3#apb#apb02#app0263/E  -0.459 0.596  -0.352 0.871  -0.349 1.158  -0.362 1.060  -0.377 0.764  -0.406 0.469  -0.429 0.173  -0.446 -0.123  -0.459 -0.419  -0.444 -0.716  -0.432 -1.012  -0.446 -0.914  -0.463 -0.618  -0.469 -0.321  -0.475 -0.024  -0.481 0.272  -0.487 0.569  -0.493 0.866  -0.521 1.084  -0.355 1.156  -0.075 1.242  0.221 1.263  0.516 1.294  0.812 1.302  0.906 1.245  0.695 1.037  0.484 0.829  0.272 0.620  0.061 0.412  -0.150 0.204  -0.362 -0.005  -0.333 -0.266  -0.042 -0.287  0.251 -0.238  0.540 -0.171  0.788 -0.014  0.894 0.030  0.684 -0.180  0.474 -0.389  0.264 -0.599  0.055 -0.809  -0.155 -1.019  -0.365 -1.229  -0.522 -1.429  -0.249 -1.457  0.034 -1.370  0.327 -1.324  0.614 -1.249  0.898 -1.168  1.169 -1.168
3#apb#apb02#app0263/r  -0.972 0.437  -0.999 0.578  -0.967 0.723  -0.905 0.784  -0.887 0.638  -0.870 0.491  -0.785 0.374  -0.688 0.262  -0.622 0.132  -0.567 -0.006  -0.505 -0.139  -0.414 -0.256  -0.323 -0.373  -0.242 -0.496  -0.171 -0.625  -0.101 -0.756  -0.049 -0.894  -0.000 -1.033  0.032 -1.178  0.064 -1.322  0.129 -1.455  0.168 -1.527  0.168 -1.379  0.132 -1.237  0.089 -1.095  0.052 -0.952  0.023 -0.807  -0.006 -0.662  -0.035 -0.517  -0.064 -0.372  -0.073 -0.225  -0.089 -0.080  -0.147 0.056  -0.149 0.192  -0.091 0.328  -0.073 0.472  -0.059 0.618  -0.013 0.758  0.097 0.850  0.222 0.930  0.354 0.996  0.495 1.024  0.643 1.024  0.784 0.981  0.924 0.934  1.052 0.862  1.175 0.780  1.302 0.704  1.443 0.679  1.516 0.783
3#apb#apb02#app0263/a  0.086 0.680  0.038 0.848  -0.093 0.956  -0.250 1.009  -0.421 0.980  -0.573 0.897  -0.722 0.807  -0.858 0.698  -0.986 0.582  -1.102 0.452  -1.179 0.300  -1.228 0.134  -1.243 -0.040  -1.238 -0.210  -1.173 -0.372  -1.081 -0.517  -0.974 -0.655  -0.824 -0.741  -0.664 -0.806  -0.494 -0.845  -0.326 -0.843  -0.160 -0.793  -0.016 -0.696  0.102 -0.570  0.197 -0.426  0.242 -0.259  0.273 -0.088  0.286 0.085  0.278 0.258  0.252 0.430  0.221 0.601  0.187 0.772  0.142 0.890  0.086 0.739  0.086 0.565  0.113 0.393  0.146 0.223  0.218 0.065  0.297 -0.090  0.391 -0.236  0.501 -0.368  0.637 -0.477  0.784 -0.566  0.944 -0.634  1.118 -0.634  1.292 -0.627  1.464 -0.608  1.616 -0.543  1.741 -0.422  1.864 -0.299
3#apb#apb02#app0263/t  -0.269 1.073  -0.269 1.252  -0.280 1.430  -0.283 1.608  -0.269 1.786  -0.254 1.787  -0.205 1.616  -0.149 1.446  -0.099 1.274  -0.048 1.102  0.012 0.934  0.073 0.766  0.135 0.598  0.193 0.429  0.252 0.259  0.308 0.090  0.345 -0.086  0.381 -0.261  0.418 -0.436  0.455 -0.611  0.492 -0.786  0.517 -0.963  0.531 -1.141  0.572 -1.315  0.582 -1.487  0.520 -1.574  0.410 -1.434  0.323 -1.277  0.214 -1.136  0.112 -0.989  0.014 -0.839  -0.085 -0.690  -0.183 -0.540  -0.282 -0.391  -0.380 -0.242  -0.479 -0.093  -0.614 0.024  -0.731 0.133  -0.889 0.074  -0.936 -0.077  -0.800 -0.170  -0.622 -0.183  -0.443 -0.183  -0.264 -0.173  -0.086 -0.158  0.091 -0.131  0.267 -0.103  0.444 -0.071  0.608 -0.089  0.648 -0.051
3#apb#apb02#app0263/i  -0.002 -0.035  -0.024 0.084  -0.034 0.202  -0.058 0.283  -0.012 0.183  0.008 0.063  0.028 -0.057  0.048 -0.177  0.065 -0.297  0.082 -0.418  0.099 -0.538  0.115 -0.658  0.131 -0.779  0.164 -0.895  0.202 -1.011  0.234 -1.128  0.256 -1.247  0.288 -1.363  0.364 -1.450  0.402 -1.454  0.407 -1.334  0.379 -1.215  0.347 -1.098  0.312 -0.982  0.278 -0.865  0.243 -0.749  0.209 -0.632  0.174 -0.516  0.139 -0.399  0.105 -0.283  0.070 -0.166  0.036 -0.050  0.001 0.067  -0.033 0.183  -0.068 0.300  -0.103 0.416  -0.137 0.532  -0.172 0.649  -0.206 0.765  -0.241 0.882  -0.276 0.998  -0.310 1.115  -0.345 1.231  -0.379 1.348  -0.414 1.464  -0.448 1.581  -0.483 1.697  -0.485 1.814  -0.456 1.931  -0.501 2.007
3#apb#apb02#app0263/o  0.007 0.670  -0.045 0.799  -0.168 0.882  -0.301 0.898  -0.416 0.800  -0.519 0.691  -0.616 0.575  -0.708 0.456  -0.795 0.334  -0.862 0.199  -0.928 0.063  -0.990 -0.074  -1.028 -0.215  -1.016 -0.365  -0.998 -0.515  -0.969 -0.663  -0.908 -0.797  -0.824 -0.923  -0.694 -0.984  -0.549 -1.026  -0.402 -1.054  -0.252 -1.054  -0.101 -1.054  0.048 -1.044  0.195 -1.008  0.341 -0.971  0.474 -0.907  0.593 -0.815  0.712 -0.723  0.810 -0.609  0.901 -0.489  0.988 -0.366  1.064 -0.236  1.140 -0.106  1.137 0.042  1.122 0.192  1.069 0.333  1.016 0.474  0.953 0.607  0.829 0.693  0.704 0.775  0.556 0.806  0.409 0.838  0.259 0.848  0.109 0.848  -0.034 0.820  -0.159 0.737  -0.275 0.642  -0.381 0.535  -0.500 0.442
3#apb#apb02#app0263/n  -0.940 0.521  -0.940 0.684  -0.940 0.848  -0.871 0.909  -0.824 0.752  -0.787 0.592  -0.762 0.430  -0.735 0.269  -0.701 0.108  -0.667 -0.052  -0.629 -0.212  -0.589 -0.371  -0.562 -0.532  -0.547 -0.695  -0.541 -0.859  -0.529 -1.021  -0.467 -1.160  -0.476 -1.071  -0.454 -0.909  -0.441 -0.746  -0.429 -0.582  -0.416 -0.419  -0.404 -0.255  -0.376 -0.094  -0.339 0.066  -0.298 0.224  -0.246 0.380  -0.165 0.520  -0.066 0.651  0.028 0.785  0.122 0.919  0.269 0.973  0.377 1.091  0.513 1.117  0.587 0.971  0.649 0.819  0.710 0.667  0.783 0.520  0.855 0.373  0.892 0.213  0.929 0.054  0.958 -0.108  0.982 -0.270  1.010 -0.431  1.043 -0.592  1.069 -0.754  1.072 -0.916  1.054 -1.079  1.072 -1.199  1.168 -1.131
3#apb#apb02#app0263/s  0.622 0.624  0.728 0.704  0.818 0.799  0.797 0.929  0.684 0.989  0.557 1.010  0.425 0.999  0.293 0.987  0.161 0.973  0.029 0.958  -0.103 0.943  -0.231 0.910  -0.359 0.875  -0.487 0.840  -0.615 0.805  -0.730 0.743  -0.841 0.669  -0.949 0.594  -1.017 0.480  -1.085 0.366  -1.116 0.238  -1.044 0.129  -0.948 0.049  -0.819 0.019  -0.690 -0.012  -0.560 -0.040  -0.429 -0.059  -0.298 -0.078  -0.166 -0.097  -0.035 -0.116  0.096 -0.138  0.227 -0.160  0.357 -0.181  0.478 -0.235  0.597 -0.294  0.703 -0.369  0.790 -0.470  0.831 -0.591  0.820 -0.717  0.755 -0.832  0.681 -0.941  0.594 -1.042  0.490 -1.122  0.375 -1.187  0.253 -1.239  0.129 -1.286  0.001 -1.318  -0.131 -1.333  -0.258 -1.368  -0.382 -1.410
3#apb#apb02#app0263/D  -0.091 0.674  -0.132 0.891  -0.241 1.072  -0.321 0.876  -0.322 0.655  -0.305 0.434  -0.274 0.215  -0.239 -0.003  -0.203 -0.222  -0.167 -0.440  -0.129 -0.658  -0.077 -0.872  -0.023 -1.085  0.002 -1.291  0.002 -1.069  -0.069 -0.867  -0.181 -0.676  -0.292 -0.485  -0.403 -0.293  -0.514 -0.102  -0.625 0.090  -0.736 0.281  -0.848 0.472  -0.980 0.628  -1.153 0.707  -1.006 0.859  -0.811 0.958  -0.598 1.016  -0.379 1.049  -0.160 1.073  0.060 1.048  0.278 1.012  0.486 0.937  0.685 0.844  0.869 0.722  1.021 0.565  1.153 0.387  1.209 0.173  1.211 -0.043  1.160 -0.257  1.058 -0.453  0.935 -0.636  0.789 -0.802  0.627 -0.953  0.448 -1.082  0.251 -1.174  0.033 -1.196  -0.173 -1.130  -0.347 -0.995  -0.476 -0.851
3#apb#apb02#app0263/i  0.197 -0.375  0.117 -0.295  0.065 -0.197  0.025 -0.091  -0.021 -0.080  -0.038 -0.189  -0.027 -0.301  0.011 -0.407  0.050 -0.514  0.096 -0.617  0.147 -0.719  0.197 -0.820  0.260 -0.915  0.323 -1.009  0.370 -1.111  0.401 -1.220  0.436 -1.328  0.458 -1.403  0.458 -1.290  0.439 -1.179  0.402 -1.072  0.366 -0.964  0.330 -0.857  0.294 -0.749  0.258 -0.642  0.222 -0.534  0.185 -0.427  0.149 -0.319  0.113 -0.212  0.077 -0.104  0.041 0.003  0.005 0.111  -0.032 0.218  -0.068 0.326  -0.104 0.434  -0.140 0.541  -0.176 0.649  -0.212 0.756  -0.248 0.864  -0.285 0.971  -0.321 1.079  -0.357 1.186  -0.393 1.294  -0.429 1.401  -0.465 1.509  -0.502 1.616  -0.542 1.722  -0.625 1.793  -0.736 1.778  -0.770 1.688
3#apb#apb02#app0263/r  -0.490 0.069  -0.563 0.179  -0.622 0.295  -0.726 0.352  -0.717 0.243  -0.676 0.118  -0.636 -0.008  -0.597 -0.134  -0.559 -0.260  -0.520 -0.385  -0.481 -0.511  -0.443 -0.637  -0.376 -0.749  -0.300 -0.857  -0.224 -0.965  -0.145 -1.070  -0.066 -1.175  0.007 -1.285  0.105 -1.347  0.115 -1.395  0.056 -1.277  0.018 -1.151  -0.017 -1.024  -0.051 -0.897  -0.085 -0.770  -0.119 -0.643  -0.152 -0.515  -0.180 -0.387  -0.208 -0.258  -0.235 -0.129  -0.250 0.002  -0.263 0.133  -0.263 0.264  -0.244 0.391  -0.185 0.509  -0.101 0.610  -0.013 0.708  0.080 0.799  0.189 0.874  0.297 0.949  0.405 1.024  0.528 1.071  0.651 1.116  0.775 1.160  0.903 1.191  1.032 1.217  1.161 1.213  1.288 1.182  1.409 1.130  1.492 1.032
3#apb#apb02#app0263/e  -0.116 -0.310  -0.152 -0.162  -0.211 -0.043  -0.057 -0.043  0.097 -0.043  0.250 -0.043  0.402 -0.029  0.550 0.012  0.684 0.088  0.807 0.180  0.887 0.308  0.930 0.454  0.919 0.604  0.819 0.720  0.735 0.849  0.659 0.981  0.512 1.025  0.366 1.072  0.221 1.125  0.075 1.127  -0.072 1.081  -0.216 1.031  -0.358 0.970  -0.499 0.909  -0.624 0.820  -0.748 0.730  -0.844 0.611  -0.932 0.485  -0.989 0.343  -1.041 0.199  -1.041 0.045  -1.041 -0.109  -1.005 -0.257  -0.960 -0.404  -0.883 -0.535  -0.790 -0.657  -0.694 -0.776  -0.554 -0.840  -0.415 -0.905  -0.269 -0.954  -0.122 -0.999  0.029 -1.016  0.182 -1.016  0.336 -1.016  0.489 -1.005  0.643 -0.993  0.789 -0.950  0.938 -0.919  1.090 -0.903  1.222 -0.846
3#apb#apb02#app0263/c  0.276 0.314  0.235 0.419  0.208 0.528  0.208 0.643  0.183 0.755  0.137 0.854  0.041 0.917  -0.052 0.986  -0.163 0.986  -0.277 0.975  -0.389 0.947  -0.500 0.917  -0.593 0.855  -0.674 0.774  -0.755 0.692  -0.819 0.597  -0.880 0.499  -0.940 0.401  -0.979 0.294  -1.013 0.184  -1.041 0.073  -1.030 -0.041  -1.012 -0.153  -0.948 -0.249  -0.884 -0.345  -0.812 -0.433  -0.720 -0.502  -0.628 -0.571  -0.530 -0.628  -0.420 -0.659  -0.309 -0.690  -0.198 -0.720  -0.085 -0.722  0.029 -0.706  0.143 -0.689  0.256 -0.673  0.370 -0.653  0.482 -0.630  0.595 -0.606  0.707 -0.582  0.817 -0.549  0.925 -0.509  1.033 -0.470  1.141 -0.430  1.246 -0.383  1.349 -0.332  1.452 -0.280  1.534 -0.201  1.623 -0.131  1.663 -0.073
3#apb#apb02#app0263/t  -0.353 1.761  -0.330 1.922  -0.316 1.881  -0.285 1.721  -0.252 1.562  -0.218 1.403  -0.185 1.244  -0.151 1.085  -0.118 0.926  -0.081 0.768  -0.044 0.610  -0.006 0.452  0.034 0.295  0.076 0.138  0.119 -0.019  0.162 -0.176  0.199 -0.334  0.236 -0.492  0.273 -0.650  0.307 -0.809  0.339 -0.968  0.366 -1.128  0.384 -1.289  0.384 -1.452  0.304 -1.553  0.183 -1.468  0.060 -1.377  -0.018 -1.234  -0.092 -1.090  -0.163 -0.944  -0.234 -0.798  -0.305 -0.652  -0.376 -0.505  -0.447 -0.359  -0.570 -0.255  -0.625 -0.103  -0.761 -0.018  -0.747 0.042  -0.585 0.042  -0.423 0.050  -0.261 0.061  -0.100 0.085  0.058 0.120  0.217 0.155  0.378 0.172  0.540 0.182  0.699 0.203  0.837 0.289  0.992 0.312  0.899 0.190
3#apb#apb02#app0263/o  -0.500 0.060  -0.393 0.168  -0.350 0.302  -0.350 0.453  -0.465 0.512  -0.611 0.486  -0.749 0.422  -0.875 0.338  -0.969 0.218  -1.056 0.096  -1.085 -0.053  -1.097 -0.203  -1.082 -0.354  -1.022 -0.492  -0.947 -0.623  -0.834 -0.725  -0.722 -0.827  -0.590 -0.895  -0.445 -0.940  -0.297 -0.966  -0.146 -0.957  0.006 -0.947  0.153 -0.913  0.298 -0.868  0.443 -0.822  0.584 -0.767  0.725 -0.710  0.856 -0.640  0.959 -0.527  1.061 -0.415  1.151 -0.293  1.238 -0.169  1.283 -0.026  1.294 0.121  1.237 0.262  1.160 0.390  1.058 0.503  0.947 0.604  0.810 0.668  0.673 0.733  0.533 0.792  0.384 0.819  0.234 0.845  0.085 0.857  -0.065 0.832  -0.215 0.807  -0.365 0.781  -0.514 0.754  -0.653 0.701  -0.776 0.613
3#apb#apb02#app0263/r  -1.081 0.235  -1.081 0.364  -1.081 0.494  -1.124 0.553  -1.037 0.499  -0.932 0.424  -0.847 0.326  -0.764 0.227  -0.690 0.120  -0.616 0.014  -0.542 -0.093  -0.480 -0.206  -0.426 -0.324  -0.372 -0.442  -0.316 -0.559  -0.258 -0.675  -0.200 -0.791  -0.163 -0.915  -0.126 -1.039  -0.068 -1.155  -0.004 -1.267  0.025 -1.372  0.027 -1.275  0.005 -1.147  -0.015 -1.019  -0.035 -0.891  -0.055 -0.763  -0.046 -0.634  -0.028 -0.506  -0.009 -0.378  0.004 -0.249  0.013 -0.119  0.023 0.010  0.046 0.138  0.071 0.265  0.115 0.386  0.173 0.502  0.240 0.613  0.313 0.719  0.423 0.788  0.533 0.857  0.654 0.902  0.776 0.946  0.901 0.972  1.031 0.972  1.160 0.972  1.289 0.954  1.409 0.914  1.522 0.850  1.643 0.802
3#apb#apb02#app0263/T  -1.128 0.498  -1.288 0.455  -1.448 0.412  -1.476 0.371  -1.312 0.392  -1.147 0.408  -0.982 0.408  -0.816 0.408  -0.651 0.419  -0.486 0.433  -0.321 0.447  -0.155 0.451  0.011 0.456  0.176 0.460  0.342 0.460  0.507 0.460  0.673 0.463  0.839 0.469  1.004 0.475  1.170 0.482  1.335 0.491  1.498 0.517  1.439 0.517  1.283 0.463  1.126 0.409  0.969 0.355  0.813 0.301  0.656 0.247  0.500 0.193  0.343 0.139  0.186 0.085  0.030 0.031  -0.127 -0.023  -0.284 -0.077  -0.349 -0.034  -0.360 0.129  -0.395 0.060  -0.372 -0.104  -0.350 -0.268  -0.336 -0.433  -0.316 -0.597  -0.293 -0.761  -0.264 -0.924  -0.222 -1.084  -0.163 -1.238  -0.087 -1.385  0.002 -1.525  0.102 -1.600  0.082 -1.438  0.043 -1.277
3#apb#apb02#app0263/r  -0.685 0.280  -0.692 0.407  -0.770 0.510  -0.800 0.453  -0.800 0.323  -0.775 0.198  -0.737 0.074  -0.699 -0.049  -0.651 -0.169  -0.598 -0.287  -0.544 -0.405  -0.490 -0.523  -0.436 -0.640  -0.381 -0.757  -0.304 -0.860  -0.218 -0.956  -0.133 -1.054  -0.057 -1.159  0.018 -1.264  0.096 -1.367  0.103 -1.362  0.063 -1.239  0.025 -1.115  -0.013 -0.992  -0.050 -0.868  -0.069 -0.740  -0.087 -0.612  -0.105 -0.484  -0.114 -0.355  -0.122 -0.225  -0.130 -0.096  -0.132 0.033  -0.119 0.161  -0.104 0.290  -0.067 0.414  -0.030 0.538  0.043 0.642  0.127 0.741  0.225 0.825  0.328 0.902  0.437 0.971  0.553 1.029  0.669 1.086  0.797 1.102  0.926 1.117  1.054 1.132  1.182 1.143  1.310 1.122  1.418 1.056  1.539 1.031
