2#app#app18#app1878/8  0.061 1.276  -0.120 1.253  -0.166 1.096  -0.369 1.096  -0.480 1.003  -0.596 0.915  -0.660 0.776  -0.823 0.735  -0.840 0.549  -0.840 0.346  -0.788 0.195  -0.607 0.141  -0.456 0.014  -0.267 -0.019  -0.123 -0.163  0.021 -0.307  0.208 -0.346  0.241 -0.517  0.421 -0.540  0.458 -0.707  0.601 -0.767  0.601 -0.970  0.601 -1.174  0.510 -1.339  0.421 -1.506  0.319 -1.608  0.116 -1.608  -0.044 -1.503  -0.120 -1.331  -0.204 -1.162  -0.300 -0.999  -0.300 -0.795  -0.300 -0.592  -0.162 -0.526  -0.120 -0.365  0.061 -0.342  0.080 -0.146  0.224 -0.003  0.421 0.014  0.421 0.217  0.421 0.421  0.490 0.555  0.601 0.647  0.520 0.817  0.421 0.980  0.421 1.183  0.311 1.276  0.107 1.276  -0.096 1.276  -0.300 1.276
2#app#app18#app1878/;  -0.182 1.418  -0.377 1.418  -0.452 1.537  -0.408 1.687  -0.214 1.687  -0.019 1.687  -0.001 1.687  -0.182 1.674  -0.182 1.480  -0.161 1.288  -0.129 1.096  -0.097 0.904  -0.065 0.713  -0.033 0.521  -0.001 0.330  0.031 0.138  0.063 -0.054  0.087 -0.246  0.087 -0.440  -0.030 -0.352  -0.167 -0.214  -0.060 -0.077  0.077 0.060  0.268 0.070  0.357 -0.035  0.326 -0.199  0.132 -0.199  0.087 -0.349  0.013 -0.469  -0.181 -0.469  -0.182 -0.276  -0.064 -0.199  0.087 -0.242  0.087 -0.436  -0.075 -0.469  -0.182 -0.382  -0.171 -0.199  0.023 -0.199  0.087 -0.330  0.126 -0.508  0.264 -0.645  0.357 -0.801  0.357 -0.995  0.357 -1.190  0.250 -1.277  0.087 -1.309  0.087 -1.503  0.087 -1.697  0.012 -1.816  -0.182 -1.816
2#app#app18#app1878/>  -0.883 0.812  -1.009 0.812  -1.135 0.812  -1.155 0.918  -1.155 1.043  -1.095 1.024  -1.006 0.935  -0.917 0.847  -0.806 0.812  -0.680 0.812  -0.572 0.772  -0.483 0.683  -0.394 0.595  -0.291 0.541  -0.165 0.541  -0.039 0.541  0.086 0.541  0.203 0.532  0.203 0.407  0.203 0.281  0.317 0.269  0.442 0.269  0.568 0.269  0.694 0.269  0.819 0.269  0.945 0.269  1.018 0.217  1.018 0.091  0.986 -0.002  0.860 -0.002  0.746 -0.014  0.746 -0.140  0.746 -0.265  0.629 -0.274  0.504 -0.274  0.406 -0.342  0.318 -0.431  0.229 -0.520  0.203 -0.635  0.203 -0.760  0.154 -0.866  0.066 -0.954  -0.023 -1.043  -0.069 -1.150  -0.069 -1.275  -0.109 -1.360  -0.235 -1.360  -0.340 -1.381  -0.340 -1.506  -0.340 -1.632
2#app#app18#app1878/S  0.682 0.815  0.682 0.967  0.615 1.052  0.462 1.052  0.310 1.052  0.158 1.052  0.005 1.052  -0.147 1.052  -0.300 1.052  -0.452 1.052  -0.507 0.955  -0.519 0.815  -0.671 0.815  -0.824 0.815  -0.976 0.815  -0.982 0.668  -0.921 0.577  -0.768 0.577  -0.744 0.449  -0.701 0.339  -0.549 0.339  -0.396 0.339  -0.269 0.315  -0.269 0.162  -0.177 0.102  -0.025 0.102  0.128 0.102  0.206 0.028  0.206 -0.124  0.347 -0.136  0.499 -0.136  0.652 -0.136  0.682 -0.258  0.682 -0.411  0.682 -0.563  0.682 -0.715  0.682 -0.868  0.682 -1.020  0.682 -1.172  0.681 -1.324  0.529 -1.324  0.376 -1.324  0.224 -1.324  0.071 -1.324  -0.031 -1.274  -0.031 -1.122  -0.148 -1.086  -0.291 -1.064  -0.399 -0.957  -0.507 -0.849
2#app#app18#app1878/i  0.454 1.351  0.377 1.351  0.300 1.351  0.222 1.351  0.145 1.351  0.068 1.351  -0.009 1.351  -0.086 1.351  -0.086 1.274  -0.086 1.197  -0.086 1.119  -0.086 1.042  -0.086 0.965  -0.086 0.888  -0.086 0.811  -0.086 0.733  -0.086 0.656  -0.086 0.579  -0.086 0.502  -0.086 0.425  -0.086 0.347  -0.086 0.270  -0.086 0.193  -0.086 0.116  -0.086 0.039  -0.086 -0.039  -0.086 -0.116  -0.086 -0.193  -0.086 -0.270  -0.086 -0.347  -0.086 -0.425  -0.086 -0.502  -0.086 -0.579  -0.086 -0.656  -0.086 -0.733  -0.086 -0.811  -0.086 -0.888  -0.086 -0.965  -0.086 -1.042  -0.086 -1.119  -0.086 -1.197  -0.086 -1.274  -0.086 -1.351  -0.009 -1.351  0.068 -1.351  0.145 -1.351  0.222 -1.351  0.300 -1.351  0.377 -1.351  0.454 -1.351
2#app#app18#app1878/m  -0.973 0.452  -1.142 0.452  -1.190 0.330  -1.190 0.160  -1.190 -0.009  -1.190 -0.179  -1.190 -0.349  -1.190 -0.519  -1.190 -0.583  -1.185 -0.418  -1.015 -0.418  -0.973 -0.291  -0.916 -0.144  -0.796 -0.024  -0.755 0.129  -0.691 0.235  -0.537 0.251  -0.537 0.421  -0.440 0.550  -0.320 0.670  -0.320 0.500  -0.198 0.452  -0.102 0.378  -0.102 0.208  -0.102 0.038  -0.102 -0.132  -0.102 -0.301  -0.049 -0.418  0.116 -0.413  0.116 -0.243  0.116 -0.073  0.195 0.017  0.333 0.049  0.333 0.219  0.487 0.235  0.657 0.235  0.768 0.293  0.779 0.452  0.949 0.452  1.119 0.452  1.204 0.367  1.204 0.198  1.204 0.028  1.316 -0.095  1.421 -0.222  1.421 -0.392  1.421 -0.561  1.421 -0.731  1.469 -0.853  1.639 -0.853
2#app#app18#app1878/i  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#app#app18#app1878/l  -0.010 1.582  -0.010 1.505  -0.010 1.428  -0.020 1.362  -0.097 1.362  -0.174 1.362  -0.231 1.342  -0.231 1.265  -0.231 1.188  -0.231 1.111  -0.231 1.035  -0.231 0.958  -0.213 0.885  -0.179 0.817  -0.144 0.748  -0.110 0.679  -0.076 0.610  -0.041 0.542  -0.010 0.472  -0.010 0.396  -0.010 0.319  -0.010 0.242  -0.010 0.165  -0.010 0.088  0.009 0.019  0.063 -0.035  0.117 -0.089  0.172 -0.143  0.210 -0.204  0.210 -0.281  0.210 -0.358  0.210 -0.435  0.210 -0.511  0.210 -0.588  0.210 -0.665  0.210 -0.742  0.210 -0.819  0.174 -0.880  0.119 -0.934  0.065 -0.989  0.011 -1.043  -0.010 -1.111  -0.010 -1.188  -0.010 -1.265  -0.010 -1.342  -0.010 -1.418  -0.010 -1.495  -0.010 -1.572  -0.010 -1.649  -0.010 -1.725
2#app#app18#app1878/a  0.169 0.669  0.380 0.669  0.431 0.508  0.431 0.516  0.390 0.710  0.240 0.859  0.059 0.930  -0.152 0.930  -0.363 0.930  -0.574 0.930  -0.784 0.930  -0.878 0.812  -0.944 0.669  -1.139 0.652  -1.139 0.442  -1.139 0.231  -1.139 0.020  -1.139 -0.191  -1.122 -0.395  -0.973 -0.544  -0.824 -0.693  -0.675 -0.842  -0.489 -0.902  -0.354 -0.825  -0.329 -0.640  -0.118 -0.640  -0.092 -0.454  0.042 -0.378  0.169 -0.294  0.169 -0.084  0.169 0.127  0.169 0.338  0.027 0.407  -0.092 0.498  -0.092 0.628  -0.092 0.417  0.108 0.407  0.169 0.257  0.169 0.046  0.203 -0.151  0.352 -0.300  0.502 -0.449  0.651 -0.598  0.800 -0.747  0.949 -0.896  1.158 -0.902  1.368 -0.902  1.579 -0.902  1.790 -0.902  2.001 -0.902
2#app#app18#app1878/r  -0.437 0.608  -0.437 0.461  -0.437 0.315  -0.437 0.169  -0.437 0.023  -0.437 -0.123  -0.437 -0.269  -0.437 -0.416  -0.361 -0.530  -0.257 -0.634  -0.154 -0.737  -0.083 -0.854  -0.083 -1.000  -0.083 -1.146  -0.083 -1.292  -0.083 -1.439  -0.132 -1.467  -0.235 -1.363  -0.339 -1.260  -0.437 -1.154  -0.437 -1.008  -0.437 -0.862  -0.437 -0.716  -0.437 -0.570  -0.437 -0.423  -0.437 -0.277  -0.437 -0.131  -0.437 0.015  -0.437 0.161  -0.437 0.308  -0.437 0.454  -0.437 0.600  -0.298 0.608  -0.152 0.608  -0.083 0.685  -0.083 0.831  -0.067 0.961  0.079 0.961  0.225 0.961  0.371 0.961  0.517 0.961  0.663 0.961  0.810 0.961  0.956 0.961  1.066 0.874  1.169 0.771  1.273 0.667  1.394 0.608  1.540 0.608  1.686 0.608
2#app#app18#app1878/?  -0.811 0.931  -0.811 1.074  -0.811 1.216  -0.750 1.299  -0.608 1.299  -0.465 1.299  -0.358 1.213  -0.256 1.115  -0.113 1.115  0.030 1.115  0.172 1.115  0.315 1.115  0.458 1.115  0.476 0.990  0.392 0.931  0.262 0.901  0.161 0.800  0.060 0.699  -0.041 0.598  -0.169 0.563  -0.259 0.511  -0.259 0.368  -0.259 0.226  -0.180 0.116  -0.079 0.015  -0.076 -0.126  0.022 -0.172  0.108 -0.228  0.114 -0.369  0.167 -0.502  0.220 -0.634  0.273 -0.767  0.326 -0.899  0.379 -1.032  0.432 -1.164  0.452 -1.274  0.309 -1.274  0.292 -1.149  0.207 -1.091  0.065 -1.091  -0.076 -1.088  -0.076 -0.946  -0.180 -0.907  -0.197 -0.907  -0.054 -0.907  0.089 -0.907  0.231 -0.907  0.292 -0.989  0.292 -1.132  0.292 -1.274
