3#app#app19#app1916/!  -0.200 1.428  -0.200 1.501  -0.200 1.573  -0.200 1.520  -0.200 1.448  -0.200 1.375  -0.200 1.302  -0.200 1.229  -0.200 1.157  -0.200 1.084  -0.200 1.011  -0.200 0.938  -0.200 0.866  -0.200 0.793  -0.200 0.720  -0.200 0.648  -0.200 0.575  -0.200 0.502  -0.170 0.436  -0.137 0.371  -0.105 0.306  -0.072 0.241  -0.044 0.175  -0.044 0.102  -0.044 0.030  -0.044 -0.043  -0.044 -0.116  -0.044 -0.188  -0.044 -0.261  -0.044 -0.334  -0.044 -0.407  -0.025 -0.475  0.008 -0.540  0.040 -0.605  0.073 -0.670  0.105 -0.735  0.138 -0.800  0.170 -0.865  0.203 -0.930  0.235 -0.995  0.268 -1.060  0.300 -1.125  0.333 -1.190  0.365 -1.255  0.398 -1.320  0.422 -1.388  0.422 -1.460  0.412 -1.523  0.339 -1.523  0.266 -1.523
3#app#app19#app1916/~  -1.483 -1.041  -1.396 -0.953  -1.309 -0.866  -1.285 -0.752  -1.270 -0.645  -1.146 -0.645  -1.087 -0.580  -1.087 -0.457  -1.037 -0.345  -0.981 -0.235  -0.926 -0.124  -0.860 -0.021  -0.773 0.066  -0.686 0.153  -0.598 0.240  -0.511 0.328  -0.395 0.346  -0.295 0.369  -0.295 0.493  -0.244 0.595  -0.157 0.682  -0.058 0.742  0.066 0.742  0.101 0.830  0.114 0.940  0.238 0.940  0.299 0.878  0.299 0.754  0.299 0.631  0.299 0.507  0.299 0.384  0.299 0.261  0.299 0.137  0.299 0.014  0.359 -0.050  0.482 -0.050  0.497 -0.159  0.497 -0.282  0.497 -0.406  0.580 -0.446  0.703 -0.446  0.827 -0.446  0.950 -0.446  1.074 -0.446  1.166 -0.372  1.254 -0.284  1.354 -0.216  1.465 -0.161  1.575 -0.106  1.686 -0.050
3#app#app19#app1916/  -1.391 -0.315  -1.391 -0.240  -1.391 -0.165  -1.391 -0.091  -1.391 -0.016  -1.391 0.059  -1.378 0.121  -1.303 0.121  -1.228 0.121  -1.153 0.121  -1.078 0.121  -1.003 0.121  -0.928 0.121  -0.853 0.121  -0.779 0.121  -0.704 0.121  -0.629 0.121  -0.554 0.121  -0.479 0.121  -0.404 0.121  -0.329 0.121  -0.254 0.121  -0.179 0.121  -0.105 0.121  -0.030 0.121  0.045 0.121  0.120 0.121  0.195 0.121  0.270 0.121  0.345 0.121  0.420 0.121  0.495 0.121  0.570 0.121  0.644 0.121  0.719 0.121  0.793 0.118  0.846 0.065  0.899 0.012  0.952 -0.041  1.005 -0.094  1.058 -0.147  1.111 -0.200  1.164 -0.253  1.217 -0.306  1.288 -0.315  1.362 -0.315  1.437 -0.315  1.512 -0.315  1.587 -0.315  1.662 -0.315
3#app#app19#app1916/_  -1.503 -0.220  -1.503 -0.149  -1.503 -0.079  -1.503 -0.009  -1.452 0.010  -1.381 0.010  -1.311 0.010  -1.241 0.010  -1.170 0.010  -1.100 0.010  -1.030 0.010  -0.959 0.010  -0.889 0.010  -0.819 0.010  -0.748 0.010  -0.678 0.010  -0.608 0.010  -0.537 0.010  -0.467 0.010  -0.397 0.010  -0.326 0.010  -0.256 0.010  -0.186 0.010  -0.115 0.010  -0.045 0.010  0.025 0.010  0.096 0.010  0.166 0.010  0.236 0.010  0.307 0.010  0.377 0.010  0.447 0.010  0.517 0.010  0.588 0.010  0.658 0.010  0.728 0.010  0.799 0.010  0.869 0.010  0.939 0.010  1.010 0.010  1.080 0.010  1.150 0.010  1.221 0.010  1.291 0.010  1.361 0.010  1.432 0.010  1.502 0.010  1.572 0.010  1.643 0.010  1.713 0.010
3#app#app19#app1916/+  0.288 1.123  0.288 1.297  0.288 1.472  0.288 1.589  0.288 1.414  0.288 1.240  0.314 1.071  0.392 0.915  0.470 0.759  0.536 0.600  0.536 0.426  0.536 0.251  0.536 0.076  0.536 -0.098  0.536 -0.273  0.596 -0.423  0.719 -0.546  0.784 -0.694  0.784 -0.868  0.784 -1.043  0.677 -1.070  0.512 -1.015  0.346 -0.960  0.181 -0.905  0.015 -0.849  -0.151 -0.794  -0.316 -0.739  -0.482 -0.684  -0.648 -0.629  -0.813 -0.573  -0.979 -0.518  -1.144 -0.463  -1.310 -0.408  -1.444 -0.330  -1.444 -0.156  -1.350 -0.020  -1.226 0.103  -1.064 0.132  -0.889 0.132  -0.715 0.132  -0.540 0.132  -0.365 0.132  -0.191 0.132  -0.016 0.132  0.158 0.132  0.333 0.132  0.507 0.132  0.682 0.132  0.857 0.132  1.031 0.132
3#app#app19#app1916/=  -0.303 0.421  -0.303 0.546  -0.303 0.671  -0.247 0.740  -0.122 0.740  0.004 0.740  0.016 0.853  0.016 0.978  0.060 1.059  0.185 1.059  0.310 1.059  0.435 1.059  0.561 1.059  0.686 1.059  0.811 1.059  0.936 1.059  0.916 0.992  0.835 0.897  0.753 0.802  0.672 0.707  0.590 0.612  0.509 0.517  0.427 0.422  0.346 0.327  0.264 0.232  0.183 0.137  0.101 0.042  0.020 -0.053  -0.062 -0.149  -0.143 -0.244  -0.224 -0.339  -0.306 -0.434  -0.387 -0.529  -0.469 -0.624  -0.550 -0.719  -0.632 -0.814  -0.713 -0.909  -0.795 -1.004  -0.876 -1.099  -0.917 -1.175  -0.792 -1.175  -0.666 -1.175  -0.541 -1.175  -0.416 -1.175  -0.291 -1.175  -0.166 -1.175  -0.041 -1.175  0.085 -1.175  0.210 -1.175  0.335 -1.175
3#app#app19#app1916/[  0.473 0.483  0.584 0.483  0.592 0.586  0.592 0.697  0.505 0.721  0.473 0.800  0.473 0.911  0.411 0.960  0.300 0.960  0.234 1.005  0.197 1.079  0.086 1.079  -0.025 1.079  -0.136 1.079  -0.247 1.079  -0.358 1.079  -0.469 1.079  -0.480 0.979  -0.480 0.868  -0.480 0.757  -0.405 0.721  -0.361 0.654  -0.361 0.543  -0.310 0.483  -0.242 0.440  -0.242 0.329  -0.242 0.218  -0.242 0.107  -0.235 -0.001  -0.156 -0.079  -0.123 -0.176  -0.098 -0.281  -0.048 -0.381  -0.004 -0.481  -0.004 -0.592  -0.004 -0.703  -0.004 -0.814  -0.004 -0.925  -0.004 -1.036  -0.004 -1.147  -0.004 -1.258  -0.069 -1.304  -0.123 -1.361  -0.123 -1.472  -0.082 -1.542  0.029 -1.542  0.140 -1.542  0.251 -1.542  0.362 -1.542  0.473 -1.542
3#app#app19#app1916/]  -0.720 1.224  -0.629 1.224  -0.539 1.224  -0.448 1.224  -0.393 1.189  -0.376 1.115  -0.286 1.115  -0.195 1.115  -0.105 1.115  -0.014 1.115  0.076 1.115  0.153 1.101  0.153 1.010  0.239 1.006  0.215 0.958  0.153 0.893  0.153 0.802  0.153 0.712  0.113 0.638  0.049 0.574  0.044 0.485  0.044 0.395  0.044 0.304  0.044 0.214  0.044 0.123  0.044 0.033  0.044 -0.058  0.044 -0.148  0.044 -0.239  0.044 -0.329  0.044 -0.420  0.044 -0.511  0.100 -0.578  0.153 -0.646  0.153 -0.737  0.153 -0.828  0.202 -0.898  0.262 -0.963  0.262 -1.054  0.262 -1.145  0.262 -1.235  0.262 -1.326  0.241 -1.395  0.151 -1.395  0.060 -1.395  -0.030 -1.395  -0.121 -1.395  -0.174 -1.358  -0.193 -1.286  -0.283 -1.286
3#app#app19#app1916/{  0.360 1.046  0.360 1.163  0.360 1.281  0.360 1.399  0.267 1.424  0.235 1.510  0.174 1.453  0.093 1.417  0.081 1.311  0.054 1.204  -0.012 1.114  -0.012 0.996  -0.012 0.878  -0.012 0.760  -0.012 0.643  -0.068 0.582  -0.104 0.500  -0.104 0.382  -0.143 0.303  -0.197 0.240  -0.197 0.122  -0.290 0.097  -0.335 0.025  -0.383 -0.046  -0.381 0.025  -0.271 0.044  -0.184 0.117  -0.077 0.090  0.013 0.025  0.081 -0.025  0.134 -0.121  0.174 -0.222  0.174 -0.340  0.161 -0.452  0.077 -0.532  -0.012 -0.562  -0.050 -0.664  -0.104 -0.759  -0.151 -0.857  -0.197 -0.956  -0.197 -1.074  -0.197 -1.191  -0.197 -1.309  -0.156 -1.409  -0.072 -1.493  0.020 -1.554  0.138 -1.554  0.174 -1.635  0.277 -1.656  0.360 -1.739
3#app#app19#app1916/}  -0.333 1.542  -0.299 1.621  -0.187 1.621  -0.075 1.621  -0.016 1.567  -0.016 1.454  -0.016 1.342  -0.016 1.229  -0.095 1.196  -0.123 1.090  -0.173 0.990  -0.174 0.877  -0.174 0.765  -0.174 0.652  -0.174 0.540  -0.174 0.428  -0.147 0.327  -0.095 0.235  -0.030 0.163  0.071 0.117  0.184 0.117  0.274 0.064  0.376 0.038  0.459 0.067  0.396 0.117  0.283 0.117  0.186 0.081  0.091 0.038  0.003 -0.022  -0.022 -0.121  -0.095 -0.160  -0.095 -0.272  -0.095 -0.385  -0.053 -0.480  -0.016 -0.577  0.063 -0.610  0.097 -0.708  0.142 -0.802  0.200 -0.891  0.221 -0.994  0.221 -1.107  0.221 -1.219  0.205 -1.325  0.142 -1.411  0.085 -1.466  -0.024 -1.474  -0.107 -1.546  -0.207 -1.513  -0.299 -1.466  -0.412 -1.466
3#app#app19#app1916/\\  -0.955 0.830  -0.955 0.903  -0.955 0.976  -0.955 1.050  -0.955 1.123  -0.909 1.086  -0.857 1.034  -0.805 0.982  -0.804 0.909  -0.804 0.836  -0.756 0.782  -0.705 0.730  -0.653 0.678  -0.601 0.627  -0.549 0.575  -0.497 0.523  -0.445 0.471  -0.393 0.419  -0.341 0.367  -0.290 0.315  -0.238 0.263  -0.189 0.209  -0.148 0.148  -0.107 0.087  -0.067 0.026  -0.026 -0.035  0.015 -0.096  0.055 -0.157  0.096 -0.218  0.146 -0.271  0.198 -0.323  0.250 -0.375  0.302 -0.427  0.354 -0.479  0.406 -0.531  0.457 -0.583  0.509 -0.635  0.563 -0.684  0.628 -0.717  0.694 -0.750  0.760 -0.783  0.825 -0.815  0.884 -0.858  0.936 -0.910  0.987 -0.962  1.048 -1.002  1.113 -1.035  1.179 -1.068  1.244 -1.101  1.310 -1.133
3#app#app19#app1916/,  -0.348 1.670  -0.348 1.590  -0.348 1.510  -0.348 1.430  -0.348 1.350  -0.348 1.270  -0.348 1.190  -0.348 1.110  -0.348 1.030  -0.348 0.950  -0.348 0.870  -0.348 0.790  -0.348 0.710  -0.348 0.630  -0.348 0.550  -0.277 0.541  -0.197 0.541  -0.117 0.541  -0.037 0.541  0.028 0.527  0.028 0.447  0.028 0.367  0.028 0.287  0.028 0.207  0.028 0.127  0.028 0.047  0.028 -0.033  0.028 -0.113  0.028 -0.193  0.028 -0.274  0.028 -0.354  0.028 -0.434  0.028 -0.514  0.032 -0.592  0.088 -0.649  0.145 -0.705  0.202 -0.762  0.258 -0.818  0.315 -0.875  0.371 -0.932  0.405 -0.998  0.405 -1.078  0.405 -1.158  0.405 -1.238  0.405 -1.318  0.405 -1.398  0.405 -1.478  0.405 -1.558  0.405 -1.638  0.405 -1.718
3#app#app19#app1916/  0.848 0.472  0.929 0.472  1.003 0.481  1.003 0.562  1.014 0.639  1.072 0.696  1.129 0.754  1.116 0.782  1.034 0.782  0.967 0.747  0.910 0.689  0.852 0.631  0.772 0.627  0.693 0.625  0.693 0.544  0.683 0.472  0.601 0.472  0.525 0.459  0.468 0.402  0.410 0.344  0.353 0.287  0.295 0.229  0.238 0.171  0.160 0.163  0.078 0.163  0.005 0.128  -0.068 0.092  -0.141 0.055  -0.214 0.019  -0.276 -0.032  -0.333 -0.090  -0.391 -0.148  -0.448 -0.205  -0.506 -0.263  -0.564 -0.320  -0.621 -0.378  -0.679 -0.435  -0.736 -0.493  -0.794 -0.551  -0.852 -0.608  -0.909 -0.666  -0.967 -0.723  -1.024 -0.781  -1.082 -0.839  -1.140 -0.896  -1.163 -0.968  -1.163 -1.049  -1.203 -1.114  -1.260 -1.172  -1.318 -1.229
3#app#app19#app1916/?  -1.081 0.841  -0.969 0.841  -0.878 0.890  -0.799 0.969  -0.698 0.995  -0.586 0.995  -0.474 0.995  -0.363 0.995  -0.251 0.995  -0.139 0.995  -0.027 0.995  0.084 0.995  0.196 0.995  0.308 0.995  0.387 0.916  0.467 0.841  0.579 0.841  0.617 0.767  0.617 0.655  0.617 0.543  0.617 0.431  0.559 0.378  0.463 0.362  0.463 0.251  0.403 0.164  0.324 0.085  0.219 0.069  0.154 0.022  0.151 -0.089  0.072 -0.168  -0.010 -0.240  -0.122 -0.240  -0.210 -0.295  -0.290 -0.374  -0.309 -0.478  -0.309 -0.590  -0.309 -0.701  -0.309 -0.813  -0.267 -0.910  -0.197 -0.997  -0.127 -1.085  -0.057 -1.172  0.012 -1.259  0.082 -1.346  0.152 -1.434  0.222 -1.521  0.292 -1.608  0.308 -1.544  0.266 -1.474  0.154 -1.474
3#app#app19#app1916/'  1.574 0.664  1.488 0.664  1.402 0.664  1.316 0.664  1.229 0.664  1.143 0.664  1.057 0.664  0.971 0.664  0.885 0.664  0.799 0.664  0.713 0.664  0.627 0.664  0.571 0.634  0.571 0.548  0.571 0.462  0.571 0.376  0.571 0.290  0.571 0.204  0.526 0.163  0.440 0.163  0.354 0.163  0.268 0.163  0.182 0.163  0.096 0.163  0.027 0.120  -0.033 0.059  -0.094 -0.002  -0.155 -0.062  -0.216 -0.123  -0.277 -0.184  -0.338 -0.245  -0.398 -0.306  -0.471 -0.338  -0.557 -0.338  -0.643 -0.338  -0.729 -0.338  -0.815 -0.338  -0.901 -0.338  -0.932 -0.394  -0.932 -0.480  -0.932 -0.566  -0.932 -0.652  -0.932 -0.738  -0.932 -0.824  -1.003 -0.839  -1.089 -0.839  -1.175 -0.839  -1.261 -0.839  -1.347 -0.839  -1.433 -0.839
3#app#app19#app1916/\"  -0.870 0.245  -0.711 0.245  -0.552 0.245  -0.453 0.305  -0.453 0.464  -0.453 0.623  -0.453 0.783  -0.453 0.942  -0.453 1.055  -0.453 0.896  -0.453 0.737  -0.536 0.661  -0.695 0.661  -0.855 0.661  -0.870 0.518  -0.870 0.359  -0.870 0.199  -0.870 0.040  -0.870 -0.119  -0.870 -0.278  -0.870 -0.437  -0.870 -0.596  -0.870 -0.755  -0.870 -0.914  -0.809 -0.975  -0.667 -0.904  -0.524 -0.832  -0.382 -0.761  -0.240 -0.690  -0.098 -0.619  0.045 -0.548  0.187 -0.477  0.329 -0.406  0.472 -0.334  0.614 -0.263  0.756 -0.192  0.898 -0.121  1.041 -0.050  1.183 0.021  1.325 0.092  1.467 0.164  1.610 0.235  1.494 0.245  1.334 0.245  1.213 0.207  1.213 0.048  1.213 -0.111  1.115 -0.172  0.956 -0.172  0.797 -0.172
3#app#app19#app1916/<  1.398 0.844  1.276 0.844  1.153 0.844  1.031 0.844  0.909 0.844  0.787 0.844  0.665 0.844  0.543 0.844  0.420 0.844  0.298 0.844  0.201 0.785  0.114 0.698  0.026 0.616  -0.096 0.616  -0.212 0.600  -0.298 0.513  -0.384 0.427  -0.491 0.389  -0.613 0.389  -0.735 0.389  -0.857 0.389  -0.878 0.287  -0.878 0.165  -0.996 0.161  -1.105 0.148  -1.105 0.026  -1.076 -0.066  -0.954 -0.066  -0.878 -0.113  -0.878 -0.235  -0.815 -0.294  -0.692 -0.294  -0.594 -0.351  -0.507 -0.437  -0.420 -0.521  -0.298 -0.521  -0.181 -0.535  -0.095 -0.622  -0.009 -0.708  0.096 -0.749  0.219 -0.749  0.332 -0.785  0.442 -0.840  0.551 -0.894  0.660 -0.949  0.776 -0.977  0.898 -0.977  0.997 -1.031  1.084 -1.118  1.170 -1.204
3#app#app19#app1916/|  0.134 1.342  0.134 1.415  0.134 1.489  0.134 1.465  0.134 1.391  0.134 1.317  0.134 1.243  0.134 1.169  0.134 1.096  0.134 1.022  0.085 0.997  0.011 0.997  -0.038 0.972  -0.038 0.899  -0.038 0.825  -0.038 0.751  -0.038 0.677  -0.038 0.603  -0.038 0.530  -0.038 0.456  -0.038 0.382  -0.038 0.308  -0.038 0.234  -0.038 0.160  -0.038 0.087  -0.038 0.013  -0.038 -0.061  -0.038 -0.135  -0.038 -0.209  -0.038 -0.282  -0.038 -0.356  -0.038 -0.430  -0.038 -0.504  -0.038 -0.578  -0.038 -0.652  -0.038 -0.725  -0.038 -0.799  -0.038 -0.873  -0.038 -0.947  -0.038 -1.021  -0.038 -1.095  -0.038 -1.168  -0.038 -1.242  -0.038 -1.316  -0.038 -1.390  -0.038 -1.464  -0.038 -1.537  -0.038 -1.611  -0.038 -1.685  -0.038 -1.759
3#app#app19#app1916/>  -1.040 1.442  -1.040 1.319  -0.984 1.254  -0.861 1.254  -0.852 1.140  -0.804 1.065  -0.682 1.065  -0.617 0.972  -0.562 0.862  -0.507 0.753  -0.424 0.689  -0.302 0.689  -0.179 0.689  -0.069 0.659  0.018 0.572  0.110 0.501  0.233 0.501  0.333 0.445  0.419 0.359  0.506 0.272  0.593 0.185  0.690 0.124  0.812 0.124  0.842 0.032  0.869 -0.064  0.992 -0.064  1.031 -0.148  1.013 -0.252  0.890 -0.252  0.842 -0.327  0.833 -0.441  0.711 -0.441  0.588 -0.441  0.466 -0.441  0.379 -0.527  0.292 -0.614  0.176 -0.629  0.054 -0.629  -0.069 -0.629  -0.099 -0.722  -0.126 -0.817  -0.248 -0.817  -0.287 -0.901  -0.305 -1.006  -0.428 -1.006  -0.550 -1.006  -0.664 -1.015  -0.664 -1.137  -0.664 -1.260  -0.664 -1.382
